,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,palm_ingredients,labels,traceability_code,link,manufacturing,ingredients_origins,brand_owner,origin_detail,producer_info
1069,Gaufre Mammoet - Thijs,5411423100287,C,Gaufre Mammoet,,"['Sachet', 'Plastique']",['Thijs'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Gaufres', 'Gaufre chocolatée', 'Gaufres liégeoises']",,['France'],"['Farine de blé', 'nappage cacao ', '30 %', ' ', 'sucre', 'graisses végétales ', 'coco et palme', 'cacao maigre en poudre', 'stabilisant: E492', 'émulsifiant: lécithine de soja', 'arôme naturel: vanille', 'sucre', 'margarine ', 'huiles et graisses végétales ', 'palme et colza proportions variables', 'eau', ""émulsifiants: lécithine de soja mono et diglycérides d'acides gras"", 'sel', 'acidifiant: acide citrique', 'arômes naturels', 'colorant: bêta-carotène', 'œufs', 'huile de colza', 'farine de soja', 'sucre inverti', 'stabilisant: sorbitol', 'humectant:glycérol', ""poudre à lever: carbonate acide d'ammonium"", 'sel', 'émulsifiant: lécithine de soja', 'arôme']","['E492 - Tristéarate de sorbitane', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine', 'E330 - Acide citrique', 'E160ai - Bêta-carotène', 'E420 - Sorbitol', 'E422 - Glycérol', ""E503ii - Carbonate acide d'ammonium""]","['Œufs', 'Gluten', 'Soja']","['Huile de palme', 'Non végétalien']",4,24.6 g,en quantité élevée,14.1 g,en quantité élevée,30.4 g,en quantité élevée,0.6 g,en quantité modérée,?,,474,+3%,1983 kj(474 kcal),+2%,"24,6",-2%,"14,1",+5%,"55,9",+5%,"30,4",+6%,"6,2",+8%,"0,6",+4%,"0,24",+4%,23,+3%,E,+3%,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,,,,,,,,,
1070,Brouilly A.O.C. 2017 - Marque Repère - 75cl,3564700799635,,,75 cl,,"['Marque Repère', 'Antoine Barrier']",,['Leclerc'],"['France', 'Suisse']",['Contient des sulfites'],,['Anhydride sulfureux et sulfites'],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,
1071,Saucisse de poulet - 2600g,4031759402117,,,2600 g,,,,,['France'],[],,,[],,,,,,,,,,?,,196,,820 kj(196 kcal),,13,,"4,7",,"8,2",,"0,7",,12,,"2,6",,"1,04",,,,,,,,,,,,,,['Halal'],,,,,,,
1072,Salted Chips,2011964399992,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,555,,2322 kj(555 kcal),,35,,"3,1",,52,,"0,5",,"5,8",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,
1073,Fromage de chèvre cendré,3224339400004,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,262,,1096 kj(262 kcal),,21,,17,,"1,2",,"0,5",,17,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,
1074,Potage bio - crealine - 950ml,3422440003835,,,950 ml,['bouteille plastique'],['Crealine'],"['Plats préparés', 'Soupes']",,['France'],"['Légumes 50% ', 'potirons butternut 31% caroes courgettes""', 'oignons""', 'eau', 'quinoa 4%', ""huile d'olive vierge extra sel"", 'poivre', 'curry', "" Ingrédients Issus de l'agriculture biologique""]",,,[],3,1.1 g,en faible quantité,0.1 g,en faible quantité,1.5 g,en faible quantité,0.6 g,en quantité modérée,?,,26,-54%,109 kj(26 kcal),-54%,"1,1",-43%,"0,1",-83%,"2,7",-53%,"1,5",-13%,"0,6",-73%,"0,6",-31%,"0,24",-31%,0,-100%,B,-100%,,,,,,,,,"['Bio', 'Fabriqué en France', 'Sans conservateurs']",,,,,,,
1075,Breakfast Soft Bakes Red Berries - Belvita - 5,7622210443144,C,,5,"['card-box', 'mixed plastic-packet']","['Belvita', 'Superdrug']","['Snacks', 'Snacks sucrés', 'Petit-déjeuners', 'Biscuits et gâteaux', 'Biscuits']",,"['France', 'Royaume-Uni', 'États-Unis']","['Cereals 42,7 % [WHEAT flour 22,3 %', 'wholegrain cereals 18 % ', 'wholegrain crushed buckwheat 14,3 %', 'wholegrain WHEAT flour 1 %', 'wholegrain BARLEY flour 0,9 %', 'wholegrain SPELT flour 0,9 %', 'OAT flakes 0,9 %', 'rice flour 2,3 %', 'malted WHEAT flour 0,1 %]', 'sugar', 'rapeseed oil', 'sweetened dried cranberries 7,6 % [cane sugar', 'cranberry pieces 2,5 %', 'stabiliser ', 'glycerol', 'acidity regulator ', 'citric acid', 'sunflower oil]', 'modified starch', 'isomaltulose***', 'inulin', 'humectant ', 'glycerol', 'raisins 1,9 %', 'bulking agent ', 'maltitol', 'WHEAT gluten', 'salt', 'raising agent ', 'sodium hydrogen carbonate', 'emulsifier ', 'SOYA lecithin', 'flavourings', 'redcurrant juice concentrate 0,3 %', 'minerals ', 'magnesium oxide', 'elemental iron', 'dextrose', 'vitamins [vitamin B6 ', 'pyridoxine', 'vitamin B9 ', 'folic acid', ']', ' *** isomaltulose is a source of glucose and fructose', ' MAY CONTAIN MILK']","['E422 - Glycérol', 'E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E965 - Maltitol', 'E500ii - Carbonate acide de sodium', 'E322i - Lécithine']","['Gluten', 'Avoine', 'Soja']",[],4,11 g,en quantité modérée,0.9 g,en faible quantité,22 g,en quantité élevée,0.6 g,en quantité modérée,?,,380,-20%,1590 kj(380 kcal),-20%,11,-47%,"0,9",-91%,65,+2%,22,-25%,"5,5",-15%,"0,6",+2%,"0,24",+2%,2,-90%,B,-90%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,
1076,Préparation pour Tarte à l'oignon,3271514167078,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,76,,318 kj(76 kcal),,"2,4",,"0,3",,11,,11,,"1,3",,"0,73",,"0,292",,,,,,,,,,,,,,,,,,,,,
1077,2 steaks hachés 5% - Jean Rozé,3250392726386,E,,,,['Jean Rozé'],"['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Steaks hachés', 'Steaks de bœuf hachés']",,['France'],[],,,[],,5 g,en quantité modérée,2.2 g,en quantité modérée,0.5 g,en faible quantité,0.22 g,en faible quantité,?,,125,-33%,523 kj(125 kcal),-33%,5,-60%,"2,2",-58%,"0,5",+144%,"0,5",+262%,20,+5%,"0,22",+0%,"0,088",+0%,-2,-173%,A,-173%,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,"['Bio', 'Bio européen', 'Viande Française', 'FR-BIO-10', 'Viande-bovine-francaise']","['FR 72.080.002 CE', 'Cherré (Sarthe, France)']",,,,,,
1078,Pileje Lactichoc 20 Gélules,3401560288322,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,
1079,Authentic veggies,3770001850122,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,45,,188 kj(45 kcal),,"0,1",,0,,"10,5",,10,,"0,2",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,
1080,4 Vol au vent feuilletés à garnir - 132g,3068220117509,,,132 g,,,"['Plats préparés', 'Feuilleté salé', 'Bouchée à la reine']",,['France'],[],,,[],,33.4 g,en quantité élevée,18.5 g,en quantité élevée,0.8 g,en faible quantité,1.31 g,en quantité modérée,?,,508,+76%,2125 kj(508 kcal),+69%,"33,4",+66%,"18,5",+65%,42,+76%,"0,8",-41%,"7,3",+2%,"1,31",+19%,"0,524",+19%,21,+59%,E,+59%,,,,,,,,,['Fabriqué en Belgique'],,,,,,,
1081,bannane bio République Dominicaine - la force verte,2600480009906,,,,,['la force verte'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-10']",,,,,,,
1082,Poulet Rôti et Pommes de Terre Grenailles - Fleury Michon - 300g,3302749807023,C,,300 g,"['sous vide', 'Frais', 'Carton']",['Fleury Michon'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au poulet']",['Carrefour'],['France'],"['Pommes de terre 41%', 'poulet 40%,\xa0fond de\xa0volaille ', 'eau', 'os de poulet', 'sel', 'tomates semi-déshydratées 3%', 'eau', 'herbes de Provence 0', '7% ', 'basilic', 'origan', 'romarin', 'thym', 'huile de colza', 'farine de blé', 'vin rouge,\xa0moutarde de Dijon ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'beurre', 'oignons', 'sel', 'ail,\xa0épices', 'huile de tournesol', ""extrait de malt d'orge""]",,"['Gluten', 'Lait', 'Moutarde']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,9.1 g,en quantité modérée,1.6 g,en quantité modérée,1 g,en faible quantité,0.79 g,en quantité modérée,712,+22%,?,,712 kj(170 kcal),+16%,"9,1",+54%,"1,6",-5%,11,-20%,1,-49%,12,+49%,"0,79",-6%,"0,316",-6%,0,-100%,B,-100%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,,"['Viande Française', 'Volaille Française', 'Sans colorants', 'Sans huile de palme', 'Sans conservateurs', 'Nutriscore', 'Nutriscore B']","['FR 85.154.002 CE', 'Mouilleron-en-Pareds (Vendée, France)']",,['France'],['France'],,,
1083,Eku Beer - One Of The Strongest Beer In The World,41041857,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,62,,259 kj(62 kcal),,"4,6",,,,"4,6",,"1,26",,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
1084,Priméal,3380380078682,,,,,['Priméal'],,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1085,Morue aux cocos de Paimpol -,3770007811103,,,,,,['Produits de la mer'],,['France'],"['COCOS DE PAIMPOL AOP ', '38%', 'MORUE ', '29%', 'PEQUILLOS ', '3,6%', 'CRÈME', 'VIN BLANC ', 'SULFITES', 'OIGNON', 'AIL FRAIS', 'SEL', 'POIVRE']",,"['Poisson', 'Lait', 'Anhydride sulfureux et sulfites']","['Non végétalien', 'Non végétarien']",3,7.9 g,en quantité modérée,5.1 g,en quantité élevée,1 g,en faible quantité,2.3 g,en quantité élevée,?,,660,+255%,2761 kj(660 kcal),+259%,"7,9",-26%,"5,1",+130%,"6,8",+200%,1,+72%,10,-43%,"2,3",+54%,"0,92",+54%,23,+252%,E,+252%,,,,,,,,,"['en:gluten-free', 'Fabriqué en France', 'Sans conservateurs', 'AOP']","['FR 22.113.003 CE', ""Lannion (Côtes-d'Armor, France)""]",,,,,,
1086,Émincés de poulet cuit rôti - Métro chef - 500gr,3439496300719,,,500gr,"['Film en plastique', 'Barquette']",['Métro chef'],,,['France'],[],,,[],,,,,,,,,,?,,181,,757 kj(181 kcal),,10,,"2,7",,"3,8",,"0,5",,19,,"1,4",,"0,56",,,,,,,,,,,,,,['Produits destinés aux professionnels'],"['EMB 85215B', 'Saint-Fulgent (Vendée, France)']",,,,,,
1087,Miel - Famille Mary - 360g,3760115091245,B,,360 g,,['Famille Mary'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'agrumes"", ""Miels d'oranger""]",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,['Point Vert'],,,,['Espagne'],,,
1088,American Garden Original BBQ Sauce,0717273501577,B,,,,,"['Epicerie', 'Sauces', 'Sauces barbecue']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,,,,,,,,,
1089,Aceto balsamico di modena - 250ml,8024267090071,B,,250 ml,,,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,
1090,La creme à la vanille - Rians,3184670006559,,,,,['Rians'],,,['France'],[],,,[],,,,,,,,,,?,,213,,891 kj(213 kcal),,14,,"8,1",,19,,19,,5,,"0,2",,"0,08",,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,
1091,Romon Nature,3388742802012,,,,,['Romon Nature'],,,['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'ES-ECO-020-CV', 'Sans colorants']",,,,,,,
1092,Magina - De nuestra tierra,8431876060805,D,,,,['De nuestra tierra'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['Carrefour'],"['France', 'Espagne']",[],,['Aucun'],[],,100 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,3697,+5%,899,+5%,3697 kj(899 kcal),+3%,100,+5%,14,0%,0,,0,,0,,0,-100%,0,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,['Non-bio'],,,,,,,
1093,Châtaigner de France - Miel l'Apiculteur - 250g,3088541001851,B,,250 g,,"[""Miel l'Apiculteur""]","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français', 'Miels de châtaignier']",['Delhaize'],"['Belgique', 'France']",[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,['France'],,,
1094,Carotte des sables,3250392104405,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1095,Miel de fleur cremeux - Gabriel Perronneau - 500g,3263620416010,B,,500 g,,"['Gabriel Perronneau', 'Apidis']","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,['France'],,,
1096,Delical,1145692,,,,,['Delical'],,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Fabriqué en France']",,,,,,,
1097,Miel D'oranger D'espagne - Albert Ménès,3162900033032,,,,,['Albert Ménès'],,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1098,Koutoubia Jambon De Dinde Fume,6111050005564,,,,,['Koutoubia'],,,"['France', 'Maroc']",[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1099,Peanut ladoo - Gulab - 200g,5001111929476,,,200g,,['Gulab'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés']",,['France'],"['Peant 53%', 'Jaggery 25%', 'Sugar 15%', 'Liquid Glucose 7%']",,,[],,40 g,en quantité élevée,35.5 g,en quantité élevée,25 g,en quantité élevée,0 g,en faible quantité,?,,620,+11%,2594 kj(620 kcal),+11%,40,-7%,"35,5",+537%,40,+111%,25,+173%,25,+56%,0,-100%,0,-100%,22,+243%,E,+243%,,,,,,,,,,,,,,,,
1100,Eau minerale naturelle,8024884248299,,,,,,"['Boissons', 'Eaux', 'Eaux de sources', 'Eaux minérales', 'Eaux minérales naturelles']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,0,-100%,A,-100%,,,,,,,,,,,,,,,,
1101,Pommette bio carotte - 240g,3250392589936,,,240g,['pot individuel'],['Pommette'],"['Aliments pour bébé', 'Dès 4 mois']",['Intermarché'],['France'],"['carotte 75 %', 'eau', ""\rIngrédients issus de l'Agriculture Biologique""]",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,20,-74%,84 kj(20 kcal),-74%,"0,5",-9%,"0,1",0%,"3,4",-75%,"3,1",-58%,"0,5",-54%,"0,132",+243%,"0,053",+243%,,,,,,,,,,,,,"['Bio', 'en:gluten-free']",,,,,,,
1102,Compote bio pomme banane - Pommette,3250392605292,,,,,['Pommette'],,,['France'],[],,,[],,,,,,,,,,?,,268,,1121 kj(268 kcal),,"0,5",,"0,1",,14,,14,,"0,6",,"0,01",,"0,004",,,,,,,,,,,,,,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique']",,,,,,,
1103,Pizza chèvre et lardons - Casino - 180g,3222477010321,D,Pizza garnie de lardons cuits fumés et de fromage de chèvre,180 g,,['Casino'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas chèvre-lardons']",['Casino'],['France'],"['Pâte cuite 42,2% ', 'farine de blé - eau - huile de colza - sel - levure - poudre à lever : carbonates de sodium', ' - lardons cuits fumés 15,5% [poitrine de porc ', 'origine : ue', "" - eau - sel - dextrose - antioxydant : érythorbate de sodium - conservateur : nitrite de sodium] - purée de tomates mi-réduite - emmental 9,7% - eau - fromage de chèvre 7,7% - farine de blé - fécule de pomme de terre - basilic déshydraté - origan déshydraté - purée d'ail - sel - huile d'olive vierge"", ' traces de crustacés', 'mollusques', 'moutarde', '&oeuf', 'poisson', 'fruits à coque']","['E500 - Carbonates de sodium', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,9 g,en quantité modérée,4.4 g,en quantité modérée,3.7 g,en faible quantité,1.3 g,en quantité modérée,996,-0%,237,+1%,996 kj(237 kcal),+0%,9,+0%,"4,4",-4%,28,+2%,"3,7",+33%,10,-4%,"1,3",-2%,"0,52",-2%,9,-9%,C,-9%,75.7%,10.7%,2.8%,3.3%,1.6%,6.0%,49,,,,,,,,,
1104,5 croissants + 5 pains choco margarine - Auchan,2030506546908,,,,,['Auchan'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Assortiment de croissants et pains au chocolat']",['Auchan'],['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1105,Onno Terrine Du Jour,3250390391951,,,,,['Onno'],,,['France'],[],,,[],,,,,,,,,,?,,311,,1301 kj(311 kcal),,"26,6",,10,,"2,6",,"0,5",,"15,2",,"1,81",,"0,724",,,,,,,,,,,,,,,,,,,,,
1106,Tortelli pesto basilico - hilcona - 250g,7610227903478,,Teigwaren mit Basilikum und Pinienkernen (Füllung 49%),250 g,"['Kunststoff', 'Tüte', 'Tüte']",['Hilcona'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",['Edeka'],"['France', 'Allemagne', 'Royaume-Uni']","['Teig 49% ', 'Hartweizengriess', 'Eier 13%', 'Wasser', 'Speisesalz', 'Füllung 49% ', 'Ricotta [Molkeneiweisskäse]', 'Weizenmehl', 'Frischkäsezubereitung [Sahne', 'Maniokstärke', 'Speisesalz]', 'Süssmolkenpulver', 'Spinat', 'Käse', 'Wasser', 'Basilikum 3,5%', 'Zitronensaft', 'Olivenöl', 'Pinienkerne 2%', 'Sonnenblumenkerne', 'Gewürze', 'Bärlauch', 'Speisesalz', 'Hartweizengriess', 'natürliches Aroma', 'Hefe', 'Reismehl']",,"['Œufs', 'Gluten', 'Lait', 'de:Frischkäsezubereitung', 'de:Molkeneiweisskäse']","['Non végétalien', 'Végétarien']",4,6.4 g,en quantité modérée,2.2 g,en quantité modérée,4.7 g,en faible quantité,1.4 g,en quantité modérée,?,,254,-23%,1063 kj(254 kcal),-24%,"6,4",+147%,"2,2",+216%,37,-40%,"4,7",+70%,11,-5%,"1,4",+560%,"0,56",+560%,12,,D,,,,,,,,,,"['Végétarien', 'Plein air', 'Œufs de poules élevées en plein air', 'Sans exhausteur de goût', 'Sans conservateurs']",,,,,,,
1107,Choucroute Garnie - Auchan,3596710343195,C,,,,['Auchan'],"['Plats préparés', 'Choucroutes', 'Choucroutes garnies']",['Auchan'],['France'],[],,,[],,7.9 g,en quantité modérée,3.1 g,en quantité modérée,1 g,en faible quantité,1.52 g,en quantité élevée,?,,472,+314%,1975 kj(472 kcal),+320%,"7,9",-7%,"3,1",-3%,"3,7",+68%,1,+72%,"5,1",-7%,"1,52",+15%,"0,608",+15%,14,+147%,D,+147%,59.3%,25.1%,6.2%,5.0%,2.6%,1.9%,70,,['Fabriqué en France'],"['FR 67.348.008 CE', 'Obernai (Bas-Rhin, France)']",,,,,,
1108,Dunn's River Jamaican Style Hot Sauce - 85ml,50761210,,,85 ml,"['Glass', 'Bottle', 'Plastic', 'Lid', 'Paper', 'Label']","[""Dunn's River"", 'Grace Foods UK Ltd']","['Epicerie', 'Sauces', 'Sauces chili']",,['France'],[],,,['Végétarien'],,0.5 g,en faible quantité,0.2 g,en faible quantité,4.8 g,en faible quantité,6.84 g,en quantité élevée,?,,27,-69%,113 kj(27 kcal),-68%,"0,5",-45%,"0,2",+20%,"5,1",-65%,"4,8",-53%,"0,5",-48%,"6,84",+73%,"2,736",+73%,10,-5%,C,-5%,,,,,,,,,['Végétarien'],,,,,,,
1109,Starbucks Frappuccino Mocha Chilled Coffee Drink - 9.5fl oz,01264904,,,9.5 fl oz,,"['Starbucks', 'Starbucks Coffee Company']",,,"['France', 'États-Unis']",[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,"3,5",,0,,0,,31,,0,,95,,38,,,,,,,,,,,,,,,,,,,,,
1110,Baron Fuente - Brut Millesime 2006,3591440002404,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,75,,314 kj(75 kcal),,"1,4",,"0,33",,"1,4",,"0,38",,"0,1",,0,,0,,,,,,,,,,,,,,,,,,,,,
1111,Petit Brie,3228021980157,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,356,,1490 kj(356 kcal),,31,,22,,1,,1,,17,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,
1112,Sesame figues,3760031830508,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,494,,2067 kj(494 kcal),,"25,5",,8,,"53,8",,"23,6",,"9,8",,0,,0,,,,,,,,,,,,,,"['Bio', 'en:gluten-free', 'Fabriqué en France']",,,,,,,
1113,La Cave d'Augustin Florent,3245414903661,,,,,"[""La Cave d'Augustin Florent""]",,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1114,Tesco Wholefoods Red Split Lentils,5051399833019,,,,['mixed plastic-bag'],['Tesco'],,,"['France', 'Royaume-Uni']",[],,,[],,,,,,,,,,?,,102,,427 kj(102 kcal),,"0,4",,0,,16,,"0,8",,"7,6",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,
1115,Madelaines,3254565783749,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1116,Viande des grisons,7613379204875,,,,,,"['Viandes', 'Bœuf', 'Préparations de viande', 'Préparations de viande bovine', 'Viandes séchées', 'Viande des grisons']",,['France'],[],,,[],,3.3 g,en quantité modérée,1.5 g,en quantité modérée,0 g,en faible quantité,5 g,en quantité élevée,?,,203,+3%,849 kj(203 kcal),+3%,"3,3",-14%,"1,5",-3%,0,-100%,0,-100%,43,+9%,5,+6%,2,+6%,13,+2%,D,+2%,,,,,,,,,,,,,,,,
1117,"Pfefferoni, Scharf - Freshona - 165g",20167288,,,165 g,,['Freshona'],,['Lidl'],"['France', 'Allemagne', 'Suisse']",[],,,[],,,,,,,,,,146,,?,,146 kj(35 kcal),,"0,4",,"0,1",,1,,1,,"1,9",,"1,5",,"0,6",,,,,,,,,,,,,,['Fabriqué en Allemagne'],,,,,,,
1118,Charles LAFITTE - 750ml,3267850010000,,,750ml,,['Charles LAFITTE'],,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1119,mini Fondentenero - novi - 160g,8006380230077,,,160 g,,['Novi'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']",,"['France', 'Italie']","['chocolats noir avec grain de caféPâte de cacao', 'sucre', 'beurre de cacao', 'cacao maigre', 'grain de café ', '2,5%', 'arôme naturel', 'Cacao: 72% minimum dans le chocolat noir']",,,[],,45 g,en quantité élevée,26.9 g,en quantité élevée,26.2 g,en quantité élevée,0.01 g,en faible quantité,?,,582,+5%,2435 kj(582 kcal),+6%,45,+24%,"26,9",+27%,"32,2",-30%,"26,2",-36%,"8,1",+12%,"0,01",-93%,"0,004",-93%,22,-6%,E,-6%,,,,,,,,,['en:gluten-free'],,,['Italie'],,,,
1120,Huile d'argan torréfiée Bio - Indhya,3770009294058,,,,,['Indhya'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', ""Huiles d'argan""]",,['France'],[],,,[],,98.7 g,en quantité élevée,17.6 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,889,+10%,3720 kj(889 kcal),+8%,"98,7",+8%,"17,6",+2%,0,,0,,0,,0,,0,,12,+8%,D,+8%,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,
