,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,traceability_code,markets,ingredients_origins,link,palm_ingredients,brand_owner,origin_detail,producer_info
978,BLEDINA LES RECOLTES BIO Panais 2x130g Dès 4/6 Mois - 260g,3041091302090,,Purée de légumes adaptée à bébé.,260 g,,"['Blédina', 'Les recoltes bio']",,"['Bio', 'en:gluten-free']",['France'],"['2/3 de panais* 70,0 % - Eau de cuisson', "" *Produits issus de l'agriculture biologique""]",,,[],,,,,,,,,,182,,43,,182 kj(43 kcal),,"0,3",,"0,048",,"8,5",,3,,"0,9",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,
979,Blédilait croissance de 10 mois à 3 ans - Blédina - 250mL,3041091897039,B,Lait de suite pour nourrissons et aliment lacté liquide pour enfants en bas âge,250 mL,"['Bouteille et bouchon plastique - opercule métal à recycler', 'Film plastique', 'Sous atmosphère protectrice']","['Blédina', 'Danone', 'Blédilait']","['Aliments pour bébé', 'Laits pour bébé', 'Dès 10 mois', 'Laits de croissance']","['Point Vert', 'Eco-Emballages', 'Precinutri™']",['France'],"['Eau - lait écrémé - perméat de lactosérum ', 'lait', ' - matières grasses végétales ', 'palme', 'coprah', 'colza', 'tournesol', ' - saccharose - arôme : vanilline - émulsifiant : lécithine de soja - antioxydant : extrait riche en tocophérols - Vitamines ', 'A', 'D3', 'E', 'C', 'B1', 'B2', 'PP', 'B6', 'acide folique', 'B12', 'biotine', 'pantothénate de calcium', 'K1 - Minéraux : citrates de calcium', 'magnésium et sodium', 'phosphate de calcium', 'sulfates de fer', 'zinc et cuivre', 'bicarbonate de sodium', 'iodure de potassium']","['E322i - Lécithine', 'E306 - Extrait riche en tocophérols']","['Lait', 'Soja']","['Huile de palme', 'Non végétalien']",4,,,,,,,,,257,-43%,61,-70%,257 kj(61 kcal),-66%,"2,5",-39%,"1,2",+7%,8,-73%,8,-27%,"1,7",-51%,"0,071",-14%,"0,028",-14%,,,,,71.8%,1.0%,10.1%,9.4%,6.0%,1.7%,94,"[""Babydrink (Filiale Lact'Union) - Route de Vauchelles - Zone Industrielle - 80100 Abbeville"", 'Somme', 'Picardie', 'France']","['FR 80.001.008 CE', 'Abbeville (Somme, France)']",['Banque alimentaire'],,http://www.bledina.com/fr/produits/bledilait-croissance,['Huile de palme'],,,
980,Pastis - Berger - 1l,3041311025853,C,,1 l,"['Bouteille', 'Verre']",['Berger'],"['Boissons', 'Boissons alcoolisées', 'Pastis']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.6%,2.0%,57,['Marseille'],,['Magasins U'],,,,,,
981,Confiture abricot - Bonne Maman - 370g,3045320002621,B,,370 g,"['Bocal', 'Verre', 'métal']",['Bonne Maman'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]","['Point Vert', 'Fabriqué en France']","['France', 'Suisse']","['Abricots', 'sucre', 'sucre roux de canne', 'jus de citrons concentré', 'gélifiant : pectine de fruits']",['E440 - Pectines'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.1 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,0 g,en faible quantité,1024,+12%,241,+10%,1024 kj(241 kcal),+12%,"0,1",-56%,0,-100%,59,+11%,59,+17%,"0,5",-0%,0,-100%,0,-100%,11,+22%,D,+22%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,['France'],,,,,,,,
982,Confiture de Framboise - Bonne Maman - 370g e,3045320094084,C,,370 g e,"['Bocal', 'Verre', 'métal', 'glass-jar']",['Bonne Maman'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",['Fabriqué en France'],"['France', 'Royaume-Uni']","['Framboises', 'sucre', 'sucre de canne roux', 'jus de citron concentré', 'gélifiant : pectine de fruits']",['E440 - Pectines'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.2 g,en faible quantité,0 g,en faible quantité,57 g,en quantité élevée,0 g,en faible quantité,?,,239,+7%,1000 kj(239 kcal),+6%,"0,2",-26%,0,-100%,57,+7%,57,+11%,"0,7",+4%,0,-100%,0,-100%,8,-10%,C,-10%,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,['France'],,,,,,,,
983,Compotes pomme-fraise - Andros,3045320509496,B,,,['Produit'],['Andros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes fraise']","['Sans colorants', 'Sans conservateurs']",['France'],"['Pommes 66%', 'fraises 25%', 'sucre', 'cassis', 'antioxydant: acide ascorbique', ' APPELEN - EN AARDBEIENDESSERT', ' Ingrediënten: appelen 66%', 'aardbeien 25%', 'suiker', 'cassis', 'antioxidant: ascorbinezuur', "" Équivaut à l'une des 5 portions de fruits et légumes recommandées par jour""]",,,[],,0.2 g,en faible quantité,0 g,en faible quantité,17 g,en quantité élevée,0 g,en faible quantité,?,,75,+23%,314 kj(75 kcal),+22%,"0,2",-41%,0,-100%,17,+26%,17,+37%,"0,3",-20%,0,-100%,0,-100%,-3,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,,,,,,,
984,Biscuit Foure PP - Biscuits Poult - 300g (x15),3045479015114,D,,300g (x15),,['Biscuits Poult'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",,['France'],"['Farine de blé ', '57%', 'sucre', 'graisses végétales ', 'palme', 'palmiste', 'sirop de glucose', 'cacao maigre en poudre ', '1,5%', 'poudres à lever ', ""carbonates d'ammonium"", 'carbonates de sodium', 'phosphates de calcium', 'sel', 'arôme artificiel', 'lait écrémé en poudre', 'protéines de lait en poudre']","[""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition']",['Gluten'],"['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,14 g,en quantité modérée,6.5 g,en quantité élevée,28 g,en quantité élevée,0.77 g,en quantité modérée,?,,435,-12%,1820 kj(435 kcal),-12%,14,-40%,"6,5",-45%,70,+12%,28,-14%,"6,1",-7%,"0,77",+39%,"0,308",+39%,18,-16%,D,-16%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,,,,,,
985,Lindt Excellence Extra Fondant Lait - 100g,3046920011013,E,tablette de chocolat,100 g,"['Aluminium', 'Papier', 'card-sleeve']",['Lindt'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Chocolats', 'Chocolats au lait']",['Fabriqué en France'],"['Australie', 'Danemark', 'Finlande', 'France', 'Norvège', 'Suède', 'Royaume-Uni']","['sucre', 'beurre de cacao', 'poudre de lait,pâte de cacao', 'beurre laitier concentré', 'lactose', 'poudre de lait écrémé', ""extrait de malt d'orge"", 'émulsifiant : lécithine de soja', 'arôme : vanille']",['E322i - Lécithine'],"['Gluten', 'Lait', 'Soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",4,37 g,en quantité élevée,23 g,en quantité élevée,50 g,en quantité élevée,0.28 g,en faible quantité,2387,+5%,567,+3%,2387 kj(567 kcal),+3%,37,+7%,23,+17%,51,-2%,50,+2%,"6,4",-11%,"0,28",+20%,"0,112",+20%,28,+10%,E,+10%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,['France'],"['EMB 64422', 'Oloron-Sainte-Marie (Pyrénées-Atlantiques, France)']","['Carrefour', 'Tesco', 'Woolworths']",,,,,,
986,Danatine Toonuts Crunchy - Dakatine,3051106303554,,,,,['Dakatine'],,,['France'],"['Arachides grillées ', '91%', 'sucre', 'matière grasse végétale hydrogénée ', 'huile de palme', 'sel']",,,"['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,619,,2590 kj(619 kcal),,"49,9",,"14,3",,"14,6",,"9,5",,"24,2",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,['Huile de palme'],,,
987,"Spaetzle Aux Oeufs Schneider,",3052420400226,,,,['Barquette'],['Schneider'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Spätzle']",,['France'],[],,,[],,6.5 g,en quantité modérée,1 g,en faible quantité,0.4 g,en faible quantité,1.1 g,en quantité modérée,?,,185,-24%,774 kj(185 kcal),-22%,"6,5",+59%,1,+11%,25,-37%,"0,4",-72%,"5,8",-36%,"1,1",+59%,"0,44",+59%,3,+417%,C,+417%,,,,,,,,,,,,,,,,
988,Le Sirop De Monin Menthe Verthe - 1l,3052910056094,A,Sirop de Menthe Verte,1 l,['Bouteilles en Verre'],['Monin'],"['Boissons', 'Sirops', 'Boissons sans alcool', 'Sirops aromatisés', 'Sirops de menthe', 'Boissons avec sucre ajouté']",,['France'],"['Sucre', 'eau', 'arôme naturel de mente', 'colorants ', 'E102', 'E133', 'E102']","['E102 - Tartrazine', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",['E102'],[],4,,,,,,,,,?,,307,+28%,1284 kj(307 kcal),+25%,0,-100%,0,-100%,76,+24%,76,+28%,0,-100%,"0,03",+36%,"0,012",+36%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,https://www.monin.com/fr/sirop-menthe-verte-70-cl.html,,,,
989,PELFORTH Brune - 33cl,3053791600734,C,,33cl,"['Canette', 'métal']","['Pelforth', 'Perlfort']","['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières brunes']",,['France'],"['Eau minérale naturelle', ""malt d'orge"", 'houblon', 'caramel']",,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,,,,,,,,,?,,61,+20%,255 kj(61 kcal),+16%,"5,2",+800%,"5,2",,"5,2",+36%,"1,43",+145%,"0,48",-9%,0,-100%,0,-100%,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,
990,Eau minérale - Volvic - 75cl,3057640243318,,,75cl,,['Volvic'],,,['France'],[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
991,Eau minerale naturelle - Volvic,3057640248283,,,,,['Volvic'],"['Boissons', 'Eaux', 'Eaux de sources', 'Eaux minérales', 'Eaux minérales naturelles']",,['France'],['eau minérale naturelle'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,-100%,0,-100%,0,-100%,A,-100%,,,,,,,,,,,,,,,,
992,Volvic kids multi fruits - 25cl,3057640504938,,,25cl,,['Volvic'],"['Boissons', 'Eaux', 'Eaux aromatisées']",,['France'],"['Eau minérale naturelle Volvic ', '86%', 'Jus del fruits BIO à base de concentré 10% ', 'Pomme 3,1%', 'Orange 3%', 'Ananas 2% ', 'Citron 1,9%', 'sucre de canne BIO ', '2,5%', 'arômes naturels', 'concentré BIO de carotte et de pomme', "" La formation d'un léger dépôt est naturelle""]",,,[],4,0.5 g,en faible quantité,0 g,en faible quantité,3.6 g,en quantité modérée,0.01 g,en faible quantité,?,,15,+67%,63 kj(15 kcal),+70%,"< 0,5",+414%,0,-100%,"3,6",+69%,"3,6",+82%,"< 0,5",+339%,"0,01",-22%,"0,004",-22%,6,+77%,D,+77%,,,,,,,,,,,,,,,,
993,BN Pocket goût Chocolat - 150g,3061990136800,C,Biscuits fourrés goût Chocolat,150 g,['Carton'],"['BN', 'United Biscuits France SAS']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits fourrés']","['Végétarien', 'Fabriqué en France']",['France'],"['Céréales [farine de froment ', '31%', 'céréales complètes ', '15', '1%', ' ', 'farine complète de seigle', ""farine complète d'orge"", '] - sucre - matières grasses végétales - lactose - protéine de lait - cacao maigre ', '4', '4%', ""amidon - poudres à lever: carbonate acide d'ammonium - carbonate acide de sodium - sel - lait entier en poudre - arômes""]","[""E503ii - Carbonate acide d'ammonium"", 'E500ii - Carbonate acide de sodium']","['Gluten', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Végétarien']",4,17.5 g,en quantité modérée,10 g,en quantité élevée,36.3 g,en quantité élevée,0.52 g,en quantité modérée,?,,467,-1%,1954 kj(467 kcal),-1%,"17,5",-9%,10,+18%,"68,6",+3%,"36,3",+10%,"6,7",+15%,"0,52",-6%,"0,208",-6%,20,+1%,E,+1%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,['France'],,,,,,,,
994,BN a la pulpe de fraise,3061990141453,D,,,,['BN'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits fourrés']",,['France'],"['Céréales [farine de froment ', '33%', 'céréales complètes ', '15,1 ', 'fre de froment ', '15 fcme complète de seigle', ""farine complète d'orge"", '] - sirop de glucose?frudose sucre - m:tiere grasse végétale ', 'palme', ' ? stabilisant : glycérol - sirop de glucose - pulpe de fraise concentrée frc?2 5%', ' - am']",['E422 - Glycérol'],['Gluten'],['Huile de palme'],4,8.4 g,en quantité modérée,3.9 g,en quantité modérée,36.7 g,en quantité élevée,0.53 g,en quantité modérée,?,,403,-14%,1686 kj(403 kcal),-14%,"8,4",-56%,"3,9",-54%,"76,4",+14%,"36,7",+11%,"5,5",-5%,"0,53",-4%,"0,212",-4%,18,-9%,D,-9%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,['Huile de palme'],,,
995,Biscuits goût chocolat - BN,3061990141460,D,,,,['BN'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits fourrés']",,['France'],"['Céréales [farine de froment ', '33%', 'céréales ètes ', '1 0%', ' ', 'farine complète de froment ', '15 %', 'farine complète de seigle', 'farine complète e', ' - sucre ? matières grasses végétales ', 'palme', 'palmiste', 'colza', ' ? cacao maigre ', '3,4%', "" ? amidons ? sirop de glucose lactose et protéines de lait - poudres à lever : carbonates d'ammonium et de ? sel - lait écrémé en poudre ? émulsifiant : lécithines de tournesol - arôme"", ' Peut contenir des de fruits à coque et de soja']","[""E503 - Carbonates d'ammonium"", 'E322i - Lécithine']","['Gluten', 'Lait']",['Huile de palme'],4,17 g,en quantité modérée,9.5 g,en quantité élevée,32 g,en quantité élevée,0.5 g,en quantité modérée,?,,465,-1%,1946 kj(465 kcal),-1%,17,-11%,"9,5",+12%,"69,8",+4%,32,-3%,0,-100%,"0,5",-10%,"0,2",-10%,23,+16%,E,+16%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,,,,,,
996,Spaetzele Grand Mère - 500g,3065620082215,,,500 g,['Sachet'],['Grand Mère'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes aux œufs']",,['France'],[],,,[],,5 g,en quantité modérée,1.3 g,en faible quantité,2.6 g,en faible quantité,0.12 g,en faible quantité,?,,367,+10%,1536 kj(367 kcal),+9%,5,+21%,"1,3",+15%,64,+8%,"2,6",+2%,15,+15%,"0,12",-50%,"0,048",-50%,0,,B,,,,,,,,,,,,,,,,,
997,Cassoulet au confit de canard - Delpeyrat - 1500g pour 4/5personnes,3067162196108,A,Cassoulet au confit de canard,1 500 g pour 4/5 personnes,"['Conserves appérisées', 'Boite métal', 'Etiquette papier']",['Delpeyrat'],"['Conserves', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats à base de haricots', 'Plats préparés en conserve', 'Plats au canard', 'Cassoulets']",['Point Vert'],['France'],"['Haricots lingots cuits 40%', 'eau', 'manchon confit de canard 20%', 'manchon de canard', 'sel', 'conservateur : nitrite de sodium', 'saucisse de Toulouse 8% ', 'maigre et gras de porc', 'sel', 'exhausteur de  goût E621', 'sirop de glucose', 'dextrose', 'lactose', 'acidifiant E262', 'sucres', 'colorant E162', 'arômes', 'antioxydant E316', 'lactate de sodium E325', 'contient du soja', 'carotte', 'oignons', 'arômes naturels', 'graisse de canard', ""pulpe d'ail"", 'sel', 'concentré de tomate', 'sucre', 'poivre', 'paprika']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E262 - Acétates de sodium', 'E162 - Rouge de betterave', 'E316 - Érythorbate de sodium', 'E325 - Lactate de sodium']","['Lait', 'Soja']","['Non végétalien', 'Non végétarien']",4,5.2 g,en quantité modérée,1.8 g,en quantité modérée,1.5 g,en faible quantité,1.02 g,en quantité modérée,?,,123,-13%,515 kj(123 kcal),-12%,"5,2",-25%,"1,8",-29%,"5,3",-34%,"1,5",+92%,"11,6",+22%,"1,02",+16%,"0,408",+16%,1,+56%,B,+56%,14.6%,32.7%,20.0%,15.1%,8.8%,8.8%,95,"['France', 'St Pierre du Mont']","['FR 40.281.001 CE', 'Saint-Pierre-du-Mont (Landes, France)']",['Super U'],,http://www.delpeyrat.fr,,,,
998,Farine de Blé Tous usages T45 - Francine - 500g,3068110360077,B,,500 g,"['Sachet', 'Plastique']",['Francine'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé', 'Farines de blé type T45']",['Blé français'],['France'],['Farine de blé type 45'],,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1.3 g,en faible quantité,0.2 g,en faible quantité,1.5 g,en faible quantité,0 g,en faible quantité,1462,+0%,?,,1462 kj(349 kcal),+1%,"1,3",+20%,"0,2",+3%,72,-1%,"1,5",+5%,10,+2%,0,-100%,0,-100%,-4,,A,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,['France'],,['Carrefour'],['France'],,,,,
999,Mélange de raisins moelleux - Sun,3068230004134,,,,,['Sun'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs']",['Sans sucre ajouté'],['France'],"['Raisins secs 92% ', 'raisin Flame et Golden', ""agent d'enrobage huiles de tournesol"", 'colza et coton conservateur : anhydride sulfureux', ' eau', 'conservateur: sorbate de potassium']","['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,[],3,0.7 g,en faible quantité,0.2 g,en faible quantité,56 g,en quantité élevée,0.02 g,en faible quantité,?,,254,-24%,1063 kj(254 kcal),-25%,"0,7",-90%,"0,2",-91%,58,-0%,56,+29%,"2,2",-46%,"0,02",-77%,"0,008",-77%,4,-16%,C,-16%,,,,,,,,,,,,,,,,
1000,Croquandises non salé L'Exotique - 250g,3068239256473,,,250 g,,,,,['France'],[],,,[],,,,,,,,,,?,,406,,1699 kj(406 kcal),,14,,12,,67,,60,,"2,2",,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,,,
1001,Evian,3068320002965,,,,,['Evian'],,,['France'],[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,
1002,Badoit - 1l,3068320110042,,Eau minérale naturelle avec adjonction de gaz carbonique,1 l,"['Bouteille plastique', 'PETE 1']",['Badoit'],"['Boissons', 'Boissons gazeuses', 'Eaux', 'Eaux de sources', 'Eaux minérales', 'Eaux gazeuses', 'Eaux minérales gazeuses']",,"['Belgique', 'France', 'Suisse']","['Eau minérale naturelle', 'gaz carbonique']",['E290 - Dioxyde de carbone'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.02 g,en faible quantité,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,-100%,"0,02",-80%,"0,008",-80%,0,-100%,A,-100%,,,,,,,,['France'],,['Leclerc'],"['France', 'Saint Galmier']",,,,,
1003,Eau minérale naturelle des alpes françaises - Évian - 330ml,3068320110752,,,330 ml,['Bouteille plastique'],['Évian'],"['Boissons', 'Eaux', 'Eaux de sources', 'Eaux minérales', 'Eaux minérales naturelles']",,['France'],['Eau minérale naturelle'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.0065 g,en faible quantité,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,"0,006",-85%,"0,003",-85%,0,-100%,A,-100%,,,,,,,,,,,,,,,,
1004,Framboise & Verveine - Evian - 37cl,3068320112558,C,,37 cl,"['Bouteille', 'Plastique']",['Evian'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Boissons avec sucre ajouté', 'Boissons sans sucre ajouté']",['Sans conservateurs'],"['France', 'Suisse']","['Eau minérale naturelle Evian ', '84,3 %', 'jus de framboise à base de concentré ', '10 %', 'sucre ', '5,4 %', 'acidifiant : acide malique', 'arômes naturels', 'arôme naturel de verveine']",['E296 - Acide malique'],,[],4,0.5 g,en faible quantité,0 g,en faible quantité,4.9 g,en quantité modérée,0.01 g,en faible quantité,?,,20,-55%,84 kj(20 kcal),-57%,"< 0,5",+49%,0,-100%,"4,9",-43%,"4,9",-28%,"< 0,5",+0%,"< 0,01",-79%,"0,004",-79%,7,+27%,D,+27%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,,,,,,,,
1005,Evian fruits & plantes eau des alpes + citron + sureau - 37cl e,3068320113593,B,,37 cl e,"['Bouteille', 'Plastique']",['Évian'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Boissons avec sucre ajouté']","['Sans arômes artificiels', 'Point Vert', 'Sans conservateurs']","['France', 'Suisse']","['Eau minérale naturelle Évian 84,6 % jus de fruits à base de concentré 10 % ', 'citron 5,1 % raisin 4,9 %', 'sucre 4,6 %', 'arômes naturels de fleur de sureau', 'arôme naturel de citron-citron vert', 'acidifiant : acide malique', 'extrait de carthame']",['E296 - Acide malique'],,[],4,0.5 g,en faible quantité,0 g,en faible quantité,5.5 g,en quantité modérée,0.01 g,en faible quantité,?,,24,-72%,100 kj(24 kcal),-73%,"< 0,5",+33%,0,-100%,"5,5",-72%,"5,5",-70%,"< 0,5",-7%,"< 0,01",-73%,"0,004",-73%,8,-33%,D,-33%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,['France'],,,['France'],,,,,
1006,Bloc noir noisettes entieres - Côte D’or,30610651,,,,,['Côte D’or'],,,['France'],"['Sucre', 'pâte de cacao', 'noisettes ', '22 %', 'beurre de cacao', 'beurre concentré', 'émulsifiant ', 'lécithine de soja', 'arôme', 'lait entier en poudre', ' Peut contenir autres fruits à coque', ' Cacao : 46 % minimum dans le chocolat noir -utra-suoérieur', "" A conserver à l'abri de la chaleur et de l'humidité""]",['E322i - Lécithine'],"['Lait', 'Fruits à coque', 'Soja']",['Non végétalien'],4,,,,,,,,,?,,565,,2364 kj(565 kcal),,38,,16,,45,,41,,"7,1",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,
1007,Fondant au Chèvre - Sylphide - 12portions - 200g,3073780853767,B,,12 portions - 200 g,"['Carton', 'Carton']","['Sylphide', 'Bel']","['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages de chèvre', 'Fromages à tartiner', 'Fromages allégés']","['Peu ou pas de matière grasse', 'Peu de matière grasse', 'Allégé en matière grasse', 'Sans conservateurs']",['France'],"['Lait de vache écrémé réhydraté ', 'origine : France', 'fromages ', 'dont fromage de chèvre 10%', 'protéines de lait', 'sels de fonte ', 'polyphosphates', 'citrates de sodium', 'diphosphates', 'phosphates de sodium', 'acide citrique', 'arômes naturels', 'sel']","['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",['Lait'],['Non végétalien'],4,7 g,en quantité modérée,4.7 g,en quantité modérée,4 g,en faible quantité,2.3 g,en quantité élevée,?,,142,-8%,594 kj(142 kcal),-13%,7,-23%,"4,7",-28%,4,+102%,4,+168%,15,-23%,"2,3",+97%,"0,92",+97%,10,+39%,C,+39%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,"['FR 39.198.001 CE', 'Dole (Jura, France)', 'FR 30.198.001 CE', 'Plantiers (Gard, France)']",['Leclerc'],,,,,,
1008,Light Reduced Fat Natural Cheese Snacks x (240g) - Babybel,3073780897358,D,,,,['Babybel'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",['Sans lactose'],['France'],[],,,[],,12 g,en quantité modérée,8 g,en quantité élevée,0 g,en faible quantité,1.8 g,en quantité élevée,?,,208,-37%,870 kj(208 kcal),-36%,12,-55%,8,-55%,0,-100%,0,-100%,25,+23%,"1,8",+38%,"0,72",+38%,11,-20%,D,-20%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,
