,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,labels,ingredients_origins,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,nova_score,packaging,manufacturing,traceability_code,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,markets,palm_ingredients,link
1057,Forge Adour - Spray Huile Truffe,3760235460020,,['France'],[],[],?,924,3866 kj(924 kcal),100,20,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,Moutarde au piment d'espelette,3760235460136,,['France'],[],[],?,173,724 kj(173 kcal),"13,4","1,1","4,5","2,7","6,3","5,2","2,08",B,,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,,13.4 g,en quantité modérée,1.1 g,en faible quantité,2.7 g,en faible quantité,5.2 g,en quantité élevée,,+2%,+2%,+24%,+34%,-35%,-30%,-4%,+10%,+10%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,13,+12%,D,+12%,,,,
1059,La menthe douce,3760235560041,,['France'],[],[],?,0,0 kj(0 kcal),3,1,3,2,1,1,"0,4",,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,Legerete interieure,3760235561017,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,L'ail des ours,3760235562137,,['France'],[],[],?,1,4 kj(1 kcal),"0,1","0,1","0,2","0,1",1,1,"0,4",,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,Farine artisanale (55) - Moulin de st desire - 1kg,3760235860004,['Moulin de st desire'],['France'],[],[],?,?,,?,,?,,?,,,,1kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,Terrine de campagne,3760236470004,,['France'],[],[],?,337,1410 kj(337 kcal),30,11,"3,2","1,5",14,"2,1","0,84",,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de campagne']",,,30 g,en quantité élevée,11 g,en quantité élevée,1.5 g,en faible quantité,2.1 g,en quantité élevée,,+4%,+4%,+6%,+2%,+40%,+73%,0%,+31%,+31%,,,,,,,,,,,,,,23,+19%,E,+19%,,,,
1064,Terrine a l'ail des ours,3760236477348,,['France'],[],[],?,321,1343 kj(321 kcal),"28,5","10,5","3,2","1,6","13,3",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,Le café - Brûlerie Caron - 250g,3760236770005,['Brûlerie Caron'],['France'],"[""100% Grands Crus d'Arabica""]",[],?,26,,"1,54",,"1,51",,"0,826",,,E,250 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Grains de café']","['Sans colorants', 'Produit-artisanal-d-ile-de-france']",,,,,,,,,,,,,,,,,,,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,,,['Sac'],"['Ile-de-France', 'France']",,,,,,Café en grains,['www.cafecaron.com'],,
1066,Blend Signature,3760236770074,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,"0,1","0,002","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,Terrine de cailles,3760236940767,,['France'],[],[],?,280,1172 kj(280 kcal),24,"8,9","0,01","0,01",16,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,Terrine de Cailles Noisette,3760236940774,,['France'],[],[],?,324,1356 kj(324 kcal),29,"8,5",2,2,16,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,LES TERRINES DE CAILLE DU PÈRE LOUIS - DRÕME CAIĹLES,3760236944468,['DRÕME CAIĹLES'],['France'],"['Fabriqué en France', 'peut contenir des traces de céleri', 'de lait', 'dlœUfS', 'de céréales contenant du gluten ', 'blé', 'de fruits à coque et de moutarde']",[],?,324,1356 kj(324 kcal),29,"8,5","0,3","0,3",16,"1,1","0,44",,,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,Terrine de Caille Pistavhe - Drôme Cailles - 160g,3760236945243,['Drôme Cailles'],['France'],"['Filets de caille 50 %', 'viande de porc', 'pistache 3 %', 'oignons', 'vin blanc', 'porto', 'sel', 'épices', 'sucre', 'poivre', 'muscade']","['Non végétalien', 'Non végétarien']",1280,?,1280 kj(306 kcal),25,"8,6","0,8","0,2",21,"1,1","0,44",,160 g,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles']","['Viande-francaise', 'Fabriqué en France', 'Sans colorants', 'Sans conservateurs', 'Volaille-francaise']",['France'],25 g,en quantité élevée,8.6 g,en quantité élevée,0.2 g,en faible quantité,1.1 g,en quantité modérée,+14%,,+2%,-3%,-8%,-55%,-69%,+47%,-29%,-29%,,,,,,,,,['Fruits à coque'],3,"['Frais', 'Plastique']",['France'],"['FR 26.208.011 CE', 'Montoison (Drôme, France)']",15,-15%,D,-15%,,,,
1071,3760237060181,3760237060181,,['France'],[],[],?,?,,?,,?,,?,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,Huile d’olive - Oliversion,3760237064004,['Oliversion'],['France'],[],[],?,900,3766 kj(900 kcal),"99,8","15,1",0,0,0,0,0,,,['Matières grasses'],['Bio'],,99.8 g,en quantité élevée,15.1 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+12%,+12%,+13%,-34%,-100%,-100%,-100%,-100%,-100%,,,,,,,,,,,,,,11,-3%,D,-3%,,,,
1073,Tapenade noire bio -,3760237064301,,['France'],[],[],?,269,1125 kj(269 kcal),"26,1","2,91","0,2","0,2","2,1","3,55","1,42",C,,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades noires']",['Bio'],,26.1 g,en quantité élevée,2.91 g,en quantité modérée,0.2 g,en faible quantité,3.55 g,en quantité élevée,,-2%,-2%,-3%,-17%,-94%,-57%,+19%,+13%,+13%,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,,,,15,+1%,D,+1%,,,,
1074,Rilettes de saumon,3760237210050,,['France'],[],[],?,257,1075 kj(257 kcal),21,"9,4","2,4","0,7",14,1,"0,4",E,,"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Plats préparés', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Plats préparés au poisson', 'Rillettes de poissons', 'Rillettes de saumon', 'en:preparations-made-from-fish-meat']",,,21 g,en quantité élevée,9.4 g,en quantité élevée,0.7 g,en faible quantité,1 g,en quantité modérée,,+17%,+17%,+22%,+94%,+8%,-23%,+4%,-12%,-12%,88.2%,4.1%,1.6%,5.2%,0.7%,0.2%,25,,,,,,,16,+82%,D,+82%,,,,
1075,Confiture de fraise,3760237210135,,['France'],[],[],?,?,,?,,?,,?,,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,,,,,,,,,,,,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,
1076,Pâtė de campagne à l'andouille Guéméné - Magdeleine,3760237210326,['Magdeleine'],['France'],[],[],?,245,1025 kj(245 kcal),20,8,"1,3","0,7",15,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,Pâté de campagne,3760237210364,,['France'],[],[],?,259,1084 kj(259 kcal),22,"8,4","1,6","0,8",13,"0,88","0,352",D,,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']",,,22 g,en quantité élevée,8.4 g,en quantité élevée,0.8 g,en faible quantité,0.88 g,en quantité modérée,,-17%,-17%,-19%,-17%,-34%,-13%,-8%,-47%,-47%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,"['FR 29.160.021 CE', 'Plabennec (Finistère, France)']",14,-26%,D,-26%,,,,
