,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,labels,ingredients_origins,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,nova_score,packaging,manufacturing,traceability_code,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,markets,palm_ingredients,link
482,Preparation pour gâteau aux noisettes,3760214021044,,['France'],[],[],?,399,1669 kj(399 kcal),"5,5","0,5",81,36,6,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,Epicerie / Plats Et Produits Cuisinés / Préparations Desserts,3760214023017,,['France'],[],[],?,375,1569 kj(375 kcal),"1,5","0,3",85,"38,5",6,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,Epicerie / Plats Et Produits Cuisinés / Préparations Desserts - mirontaine,3760214023048,['Mirontaine'],['France'],"['Mirontaine - Réf', "" 304 ocll ux chocolat/ orccs d'oran e - In édients : sucre bio"", 'farine de blé bio T65', '15 % de cacao non dégraissé io', ""6 00 d'éclats d'orange bio"", 'poudre à lever bio', ' Peut contenir des traces de fiouits à coques', 'gluten', 'Œufs', 'lait', 'graines de sésame', 'lupin', 'soja', ' Conservation :']",['Non végétalien'],?,381,1594 kj(381 kcal),"3,7","2,29","76,9","60,8","6,1","0,21","0,084",,,,"['Bio', 'Fabriqué en France', 'Entrepreneurs + Engagés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
485,Epicerie / Plats Et Produits Cuisinés / Préparations Desserts,3760214024021,,['France'],[],[],?,404,1690 kj(404 kcal),7,"2,7",78,31,7,"0,32","0,128",,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'Fabriqué en France', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,Chocolat en poudre - Fleur de sel - Mirontaine,3760214025028,['Mirontaine'],['France'],"['Sucre bio', '47% de cacao dégraissé bio', '2% de sel de Guérande', ' Peut contenir des traces de fruits à coques', 'gluten', 'oeufs', 'lait', 'graines de sésame', 'lupin', 'soja']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,368,1540 kj(368 kcal),10,6,59,53,10,"0,04","0,016",C,,"['Boissons', 'Petit-déjeuners', 'Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Boissons instantanées', 'Chocolats en poudre', 'Boissons avec sucre ajouté']","['Bio', 'Bio européen', 'en:gluten-free']",,,,,,,,,,,+11%,+8%,+133%,+135%,-7%,-6%,+58%,-81%,-81%,75.0%,1.1%,15.1%,5.7%,3.2%,0.0%,52,,,3,,,,,,,,,,,
487,Colorant alimentaire vert 10g,3760214029507,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,"['Additifs alimentaires', 'Colorants alimentaires']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,,,,,,,,,,,,,,,,,
488,Colorant alimentaire rouge rosé,3760214029514,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,"['Additifs alimentaires', 'Colorants alimentaires']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,,,,,,,,,,,,,,,,,,,
489,"Acerola 1000 Vitamine C, 60 Comp Phyto-terra",3760214050099,,['France'],[],[],?,261,1092 kj(261 kcal),0,0,82,"0,2","0,5",0,0,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,Acerola bio 1000,3760214051379,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Fabriqué en France']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,Gaudrioles natures - Les Gaudélices,3760214070011,['Les Gaudélices'],['France'],[],[],?,523,2188 kj(523 kcal),"23,8","15,1","69,4","24,8","7,6","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Gaudrioles Caramel - Les Gaudélices,3760214070042,['Les Gaudélices'],['France'],[],[],?,478,2000 kj(478 kcal),"21,8","13,8","63,5","22,8",7,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,GAUDRIOLES - Persillades - Les Gaudélices,3760214070158,['Les Gaudélices'],['France'],[],[],?,528,2209 kj(528 kcal),"30,5","18,7","53,4","2,8","9,9","2,28","0,912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,Madeleines - Les Gaudélices,3760214075177,['Les Gaudélices'],['France'],[],[],?,423,1770 kj(423 kcal),"18,7","11,8","53,1","20,7","7,3","0,14","0,056",B,,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,,18.7 g,en quantité modérée,11.8 g,en quantité élevée,20.7 g,en quantité élevée,0.14 g,en faible quantité,,-4%,-4%,-18%,+70%,+1%,-25%,+29%,-83%,-83%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,,,19,+3%,E,+3%,,,,
495,Sablé beurre - Les Gaudélices,3760214076402,['Les Gaudélices'],['France'],[],[],?,532,2226 kj(532 kcal),"26,4",18,"66,1","28,2","6,6","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,Les gaudélices - Biscuiterie Les Gaudélices,3760214079151,['Biscuiterie Les Gaudélices'],['France'],"['Gaudinettes comté Composition : farine de blé T65* Beurre* ', 'Comté* ', '16', '9%', 'Farine de gaudes', 'Œufs entiers* ', 'Sel', ""huile d'olives"", 'Ail', 'Poudre à lever ', 'amidon de blé* ,E 450i', 'E500ii ', 'poivre']",['Non végétalien'],?,513,2146 kj(513 kcal),"30,5",18,"45,8","1,2","13,7","1,96","0,784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']",['Lait'],4,,,,,,,,,,,
497,Gaudrioles chocolat au lait - Les Gaudélices,3760214079175,['Les Gaudélices'],['France'],[],[],?,660,2761 kj(660 kcal),"31,8","19,9","50,9","37,7","9,5","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,Tuiles artisanales bressanes Amande - Les Gaudélices,3760214079458,['Les Gaudélices'],['France'],[],[],?,?,,?,,?,,?,,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Croquants aux amandes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gâteaux,,,
499,tuiles artisanales bressanes Coco - Les Gaudélices,3760214079489,['Les Gaudélices'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gâteaux,,,
500,Tuiles artisanales bressanes - Les Gaudélices,3760214079496,['Les Gaudélices'],['France'],[],[],?,541,2264 kj(541 kcal),"25,6","17,8","67,4","40,6","8,6","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,tuiles artisanales bressanes Pistache - Les Gaudélices,3760214079502,['Les Gaudélices'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gâteaux,,,
502,Raisin,3760214147102,,['France'],[],[],?,336,1406 kj(336 kcal),"0,1","0,07",77,71,3,"0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,Cranberries Moelleux - Simply Deli,3760214148260,['Simply Deli'],['France'],[],[],?,354,1481 kj(354 kcal),?,"0,5",?,65,"0,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Fruits Moelleux Seches Figues - Simply Deli,3760214148284,['Simply Deli'],['France'],"['figues moelleuses lngredients: 99% figues séchées', 'conservateur: acide sorbique']",[],?,272,1138 kj(272 kcal),"1,3","0,2","55,1","55,1","3,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E200 - Acide sorbique', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,,,
505,Fruits Moelleux Séchés Noix De Coco,3760214148321,,['France'],[],[],?,450,1883 kj(450 kcal),"18,8","17,3","63,6","39,8","3,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,Melange de noix - Simply Deli,3760214148406,['Simply Deli'],['France'],[],[],?,685,2866 kj(685 kcal),"64,7","14,5","4,8","3,2","17,3","0,01","0,004",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés']",,,64.7 g,en quantité élevée,14.5 g,en quantité élevée,3.2 g,en faible quantité,0.01 g,en faible quantité,,+23%,+22%,+50%,+160%,-75%,-65%,+8%,-97%,-97%,,,,,,,,,,,,,,18,+180%,D,+180%,,,,
507,Energy Fruit - BrainFood News - 50g e,3760214149632,['BrainFood News'],"['Belgique', 'France']","['Morceaux de fruits', 'dont certains en purée 100% morceaux de fruits secs ', 'poire', 'pêche', 'pomme', 'abricot', ' arôme : myrtille', 'banane', ' ', ' concentré de baies: fraise', 'aronia', 'framboise', 'cassis ', ' purée de banane', 'additif: isomalt', 'ﬁbre de bambou', 'acidifiant : acide citrique', 'conservateur : métabisulﬁte de sodium E223', 'contient du dioxyde soufre']",[],921,?,921 kj(220 kcal),"0,1","0,1","47,6","46,3","3,7","0,41","0,164",,50 g e,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Mélanges de fruits secs']","['Point Vert', 'Sans sucre ajouté']",,0.1 g,en faible quantité,0.1 g,en faible quantité,46.3 g,en quantité élevée,0.41 g,en quantité modérée,-48%,,-50%,-100%,-98%,-4%,+17%,-60%,+233%,+233%,,,,,,,,"['E953 - Isomalt', 'E330 - Acide citrique']","['Dioxyde soufre', 'Métabisulﬁte']",4,"['Sachet', 'Plastique']",,,1,-87%,B,-87%,,,,
508,Sachet De Fruits Secs Cranberries - Noix De Cajou - Brand Food News,3760214149649,['Brand Food News'],['France'],"['70 % ', 'ranberries ', '61 % cranberries', 'sucre', 'huile de tournesol', '30 % noix de cajou', "" Peut contenir des traces d'autres fruits à coque et diarachides""]",[],?,431,1803 kj(431 kcal),"14,7","2,9","65,7",52,"6,6","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,Sachet Fruits Secs Berry Boost - Brain Food,3760214149656,['Brain Food'],['France'],"['40 % raisins secs', '24 % cranberries séchées', '20 % physalis séchées', 'sucre', 'huile de tournesol', "" Peut contenir des traces de fruits à coque et d'arachides""]",[],?,318,1331 kj(318 kcal),"0,2","0,1",71,61,"3,2","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,Sachet Fruits Secs - BrainFood - 50g e,3760214149663,"['BrainFood', 'Brainfood News']",['France'],"['60% Pruneaux ', 'huile végétale', 'conservateur : E202', '40% cerneaux de noix']","[""Pourrait contenir de l'huile de palme"", 'Végétalien', 'Végétarien']",?,404,1690 kj(404 kcal),25,"2,4","32,3",27,7,0,0,,50 g e,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Mélanges de fruits secs']",['Point Vert'],,25 g,en quantité élevée,2.4 g,en quantité modérée,27 g,en quantité élevée,0 g,en faible quantité,,-9%,-8%,+20%,-53%,-35%,-32%,-24%,-100%,-100%,,,,,,,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Fruits à coque'],3,"['Sachet', 'Plastique']",,,-2,-126%,A,-126%,,,,
511,Superfruit Edition - Brainfood News,3760214149724,['Brainfood News'],['France'],"['27% cerises', '21% de cerises', '12 % baies de Goji', '10 % graines de ', 'hia ', 'salva hispanica', 'huile de tournesol', 'conservateur: anhydride sulfureux', "" Peut contenir des traces de fruits à coque et d'arachide""]",[],?,327,1368 kj(327 kcal),4,"0,4",60,"51,5","5,8","0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,,,
512,Sachet Super Fruit Et éclat De Cacao - Brain Food,3760214149731,['Brain Food'],['France'],"['4033 raisins bionds huile de tournesol', 'conservateu: anhydri± sulfureux eclats de de']",[],?,342,1431 kj(342 kcal),"7,2","3,5","56,3","49,3","5,4","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,Miel de lavande - La Source au miel,3760214210134,['La Source au miel'],['France'],[],[],?,?,,?,,?,,?,,,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
514,Confiture trois agrumes,3760214255005,,['France'],[],[],?,233,975 kj(233 kcal),"0,5",0,"57,9","57,9","0,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,"Pommes de terre boi ""non lavées"" à chair tendre",3760214470118,,['France'],[],[],?,85,356 kj(85 kcal),0,0,19,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,"Pommes de terre  bio ""non lavées"" à chair ferme - La Ferme de Tante Lucie - 2,5kg",3760214470125,['La Ferme de Tante Lucie'],['France'],[],[],?,85,356 kj(85 kcal),0,0,19,0,1,,,B,"2,5 kg","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Pommes de terre']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,-13%,-13%,-100%,-100%,+8%,-100%,-51%,,,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,,,,,,,,,,,,,,
517,Œufs frais biologiques - Les œufs de Tante Lucie - 6g,3760214470293,['Les œufs de Tante Lucie'],['France'],[],[],?,?,,?,,?,,?,,,C,6 g,"[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'Œufs de poules élevées en plein air', 'Œufs frais', 'Organic eggs']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,,,['0FRMG001'],,,,,,,,
518,Limona e Menta,3760214530034,,['France'],[],[],?,42,176 kj(42 kcal),0,0,10,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Thé Vert Sencha au Jus de Citron vert (produit arrêté) - Herbalist Infusions Véritables - 50cl,3760214930087,['Herbalist Infusions Véritables'],['France'],"['""Infusion de Sencha 95% ', 'Eau', 'feuilles de Thé Sencha', 'jus de raisin blanc* 4,5%', 'pur jus de citron vert 0,5%', '\r*A base de concentré""']",[],12,?,12 kj(3 kcal),0,,"2,8",,0,,,C,50 cl,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons au thé', 'Thés glacés']","['Sans sucre ajouté', 'Sans additifs']",,0 g,en faible quantité,,,,,,,-87%,,-86%,-100%,,-41%,,-100%,,,45.5%,1.5%,24.0%,16.3%,10.0%,2.7%,68,,,1,['Tétra Pak'],,,,,,,Infusion naturelle de thé au jus de fruits,"['Carrefour', 'Carrefour City', 'Auchan', 'Franprix', 'La Grande Epicerie', 'Houra.fr']",,https://herbalist-infusions.com/collections/the-vert-antioxydants
520,Rooibos Rouge au Jus de Framboise (produit arrêté) - Herbalist - 50cl,3760214930094,['Herbalist'],['France'],"['Infusion de Rooibos 94% ', 'Eau', 'feuilles de Rooibos', 'jus de raisin blanc* 2,8%', 'sucre 2,1%', 'jus de framboise* 1,1%', '\r*A base de concentré']",[],45,?,45 kj(11 kcal),0,,"2,8",,0,,,,50 cl,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons avec sucre ajouté']","['Sans colorants', 'Sans arômes ajoutés', 'Sans conservateurs', 'Clean Label']",,0 g,en faible quantité,,,,,,,-90%,,-88%,-100%,,-86%,,-100%,,,,,,,,,,,,3,['Tétra Pak'],,,,,,,Infusion,"['Auchan', 'Carrefour', 'Carrefour City', 'Franprix', 'La Grande Epicerie', 'Houra.fr']",,
521,Herbalist Bio Verveine au Jus de Cerise Griotte - 33cL,3760214930155,"['Herbalist', 'Herbalist Infusions Véritables']",['France'],"['Infusion de Verveine* Menthe* 92,9% ', 'eau', 'feuilles de Verveine*', 'feuilles de Menthe*', 'jus', '1', ' de raisin blanc * 4,2%', 'jus', '1', ' de cerise griotte* 2,9%', "" \r*Issu de l'agriculture biologique"", ' \r', '1', ' A base de concentré']",[],?,17,71 kj(17 kcal),0,0,"4,3","4,3",0,0,0,B,33 cL,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons au thé']","['Peu ou pas de sucre', 'Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France', 'Sans sucre ajouté', 'Sans additifs', 'Sans colorants', 'Sans arômes ajoutés', 'Sans conservateurs', 'AB Agriculture Biologique']",,0 g,en faible quantité,0 g,en faible quantité,4.3 g,en quantité modérée,0 g,en faible quantité,,-15%,-16%,-100%,-100%,-9%,-4%,-100%,-100%,-100%,45.5%,1.5%,24.0%,16.3%,10.0%,2.7%,68,,,1,"['Carton', 'Brique', 'Tetra Pak']",['France'],,6,-10%,D,-10%,Infusion naturelle de plantes au jus de fruits,"['Monoprix', 'Franprix', 'Casino Géant', 'Carrefour Bio', 'Carrefour Hyper', 'Carrefour City', 'Carrefour Market', 'La Grande Epicerie de Paris']",,http://www.herbalist-infusions.com
522,Baies Séchées De Goji Du Tibet Bio 250g - Biossens - 250g,3760215050012,['Biossens'],['France'],"[""Baies séchées de goji biologiques - Authentique Lycium barbarum Origine certifée Hautes Vallées du Tibet L'unique cultivée à + de 2800m Séchée naturellement au soleil""]",[],?,362,1515 kj(362 kcal),"7,14","1,1","57,82",0,0,0,0,,250 g,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,Baies GOJI,3760215050036,,['France'],[],[],?,362,1515 kj(362 kcal),"7,141","1,1","57,82",0,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,Lentilles Vertes - Biocoop - 500g,3760215380126,['Biocoop'],['France'],[],[],?,112,469 kj(112 kcal),"0,55","0,05","16,6","1,23","8,1","0,312","0,125",B,500 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles vertes']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Fabriqué en France', 'Agriculture France']",['France'],0.55 g,en faible quantité,0.05 g,en faible quantité,1.23 g,en faible quantité,0.312 g,en quantité modérée,,-61%,-62%,-59%,-77%,-57%,-7%,-63%,+114%,+114%,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,,,,,,-7,,A,,,,,
525,Mix pates et patisseries,3760215380355,,['France'],[],[],?,1,4 kj(1 kcal),1,1,1,1,1,1,"0,4",,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,Yaourt bio des monts du lyonnais aux fruits  - Les p’tits bio - 125g,3760215500067,['Les p’tits bio'],['France'],[],[],?,?,,?,,?,,?,,,,125g,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-10']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,Emmental bio - Valmartin - 500g,3760215500081,['Valmartin'],['France'],"['lait de vache 97,3%', 'antimottant : fécule', 'sel', 'ferments lactiques', ""enzymes coagulantes d'origine microbienne""]",['Non végétalien'],?,387,1619 kj(387 kcal),29,19,2,"0,5",29,"0,7","0,28",C,500 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages râpés', 'Emmentals râpés']","['Bio', 'Bio européen', 'Agriculture UE', 'AB Agriculture Biologique']",['Union européenne'],29 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,0.7 g,en quantité modérée,,+4%,+4%,+0%,-4%,+121%,+24%,+6%,-8%,-8%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,['Lait'],3,"['Sachet', 'Plastique', 'Frais']",,,12,+1%,D,+1%,Emmental rapé. Fromage à pâte pressée cuite issu de l'agriculture biologique au lait de vache pasteurisé,,,
528,Le p'tit Flan - La p’tite Ferme,3760215810296,['La p’tite Ferme'],['France'],[],[],?,?,,?,,?,,?,,,,,"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Desserts lactés aux œufs']","['Bio', 'Bio européen', 'FR-BIO-07']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,La p'tite glace Vanille,3760215810371,,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Bio', 'Bio européen', 'FR-BIO-07']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,Dieti snack,3760215890007,,['France'],[],[],?,353,1477 kj(353 kcal),"12,7","7,1","14,5","1,5","35,3","0,73","0,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Preparation en poudre pour dessert,3760215890106,,['France'],[],[],?,359,1502 kj(359 kcal),"2,7","1,6","5,8","1,4",75,"0,73","0,292",,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,Muesli,3760215890380,,['France'],"[""Grain d'avoine entier "", 'gluten', 'mélange pro - 4', 'NL / ingrediêntenlijst : Volkoren havervlokken ', 'gluten', 'eiwit - VALEURS ENERGETIQUES /ENERGIEWAARDEN mengsel ', 'so it isolaat', 'melkeiwit concentraat', 'suiker', 'NRG MUS gedroogd fruit 3%', ' ', 'frambozen', 'aardbeien', 'cranberries', 'tarwe - gluten ', 'gluten', 'koolzaadolie', 'basterdsuiker', 'fructo-oligosaccha - riden', 'smaakstoffen', 'zoetstof: sucralose', 'Allergenen : Gluten', 'VALEURS NUTMONGLE /VOEDINGSWAANDEN soja en melk ', 'zie vetgedrukt', 'Geproduceerd met apparatuur die mCANTIN TYPICAL MUTAITON IT Lipides/Vete/ Fa Saturés/Veradige Glucides/ouly Sucres/Sulen Sp Amidan/Zeme Fibres/Fiores Protéines/Ewiten Pe Sel/Zout/Sat walnoten verwerkt', 'EN / Ingredients: Whole grain rolled oats ', 'gluten', 'protein blend ', 'soy protein isolate', 'milk protein concentrate', 'sugar', 'dehydrated fruits ', '9,3%', ' ', 'raspberries', 'strawberries', 'cranberries', 'wheat gluten', 'canola oil', 'brown sugar', 'fructooligossacharides', 'flavours Sweetener: sucralose', 'Allergens : Gluten', 'soy and milk ', 'see in bold', 'Manufactured on equipment that processes tree nuts', '*1 portion,3 dosettes/1 portie', '3 doses/1 serving,3doses Mlesel est exclusivenent i']",['Non végétalien'],?,406,1699 kj(406 kcal),"9,9",1,39,"19,3","36,6","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E955 - Sucralose'],"['Gluten', 'Lait']",4,,,,,,,,,,,
533,Gaufrettes Arôme Beurre de Cacahuètes - Dietisnack,3760215891608,['Dietisnack'],['France'],"['Mélange protéique ', 'protéine de lait', 'gélatine hydrolysée', ' ', ' farine de blé fortifiée ', 'farine de blé ', 'gluten', ' carbonate de calcium', 'fer', 'niacine', 'thiamine', ' ', ' huile de palme ', ' sucre ', ' fructose ', ' beuttc de ', ' lait écrémé en poudre ', ' pâte de cacao ', ' émulsifiant : lécithine de soja ', "" arôme'"", ' matière laitière ', 'lait', ' ', ' protéine de pois ', ' farine de soja ', ' huile de ', ' poudre de ', ' sel ', ' agent levant : bicarbonate de sodium ', ' édulcorant : sucralose ', ' farine de majst AllERGËN6 : tait', 'soja et gluten ', 'blé', ' ', 'voir en gras', ' fabriqué sur des équipement% ou sont également utilisés des fruits à coques', ' Contient de la réglisse,']","['Huile de palme', 'Non végétalien']",?,481,2013 kj(481 kcal),"22,9","14,3","31,5","14,4","36,5","0,49","0,196",C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Gaufrettes', 'Gaufrettes fourrées']",,,22.9 g,en quantité élevée,14.3 g,en quantité élevée,14.4 g,en quantité élevée,0.49 g,en quantité modérée,,-4%,-4%,-7%,-4%,-49%,-59%,+599%,+52%,+52%,76.6%,12.3%,5.4%,2.8%,2.9%,0.0%,70,"['E428 - Gélatine', 'E505 - Carbonate de fer', 'E322i - Lécithine', 'E500ii - Carbonate acide de sodium', 'E955 - Sucralose']","['Gluten', 'Lait', 'Soja']",4,"['Carton', 'Plastique']",,,20,-10%,E,-10%,Gaufrettes Arôme Beurre de Cacahuètes,,['Huile de palme'],
534,Boisson arome chocolat,3760215891714,,['France'],[],[],?,39,163 kj(39 kcal),"1,3","0,8","0,6","0,3","5,9","0,29","0,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,Barre chocolat,3760215892223,,['France'],[],[],?,349,1460 kj(349 kcal),"13,6","7,5","10,4","2,5","34,1","0,8","0,32",,,,['Sans sucre ajouté'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,Barre croustillante noix de coco,3760215892230,,['France'],[],[],?,361,1510 kj(361 kcal),"15,4","7,7","9,4","2,5","34,1","0,85","0,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
