,name,bar_code,eco_score,quantity,packaging,brand,categories,manufacturing,traceability_code,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,ingredients_origins,markets,link,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,generic_name,palm_ingredients,brand_owner
879,Kroustade - demi melo - 2x50gr,5420030610843,,2x50gr,,['demi melo'],,,,"['Belgique', 'France']","['pâte feuilletée précuite 50% ', 'farine de blé', 'huiles et graisses végétales partiellement hydrogénées ', 'palme', 'colza', ' et totalement hydrogénées ', 'coprah', 'beurre', 'eau', ""émulsifiants: lécithines de tournesol - mono - et diglycérides d'acides gras"", 'arômes', 'sel', 'sucre', 'acidifiant: acide citrique', 'conservateur : sorbate de potassium', 'vitamine A et D3', 'colorant: bêta-carotène', 'préparation au fromage de chèvre 49% ', 'lait de chèvre pasteurisé', 'sel', ""fibres d'agrumes"", 'conservateur : sorbate de potassium', 'ferments lactiques', 'présure microbienne', 'herbes de Provence 0,5%', ""jaune d'ceuf 0,5%"", ' Peut contenir des traces de crustacés', 'poisson', 'soja', 'fruits à coque', 'céleri', 'moutarde', 'graines de sésame et mollusques', ' oridina de producten uit vernakkina nemen Bakken gedurende 12 tot 14 mi']","['Gluten', 'Lait']","['Huile de palme', 'Non végétalien']",4,?,,374,,1565 kj(374 kcal),,27,,18,,21,,"3,6",,11,,"0,95",,"0,38",,,,,,,,,,,['Delhaize'],,,,,,,,,,,,,,"['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E160ai - Bêta-carotène']",,['Huile de palme'],
880,Amandes Brunes - RANOBO,5420036400752,,,,['RANOBO'],,,,['France'],['Ingrédients: amandes'],,[],,?,,659,,2757 kj(659 kcal),,"55,8",,"3,7",,14,,"3,8",,"21,7",,"0,013",,"0,005",,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,Casse Noisette Pâte à tartiner,5420038144401,,,,,,,,['France'],[],,['Sans huile de palme'],,?,,577,,2414 kj(577 kcal),,44,,"7,1",,34,,33,,13,,"0,2",,"0,08",,,,,,,,,"['Sans conservateurs', 'en:palm-oil-free']",,,,,,,,,,,,,,,,,,,
882,Pois chiches - Tagine,5420038400019,B,,,['Tagine'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Pois chiches']",,,['France'],['Pois chiches'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,,310,+63%,1297 kj(310 kcal),+65%,"1,5",-50%,"0,3",-23%,68,+188%,3,+83%,18,+76%,"0,02",-96%,"0,008",-96%,56.9%,0.0%,16.0%,22.6%,4.5%,0.0%,96,,,,,1.5 g,en faible quantité,0.3 g,en faible quantité,3 g,en faible quantité,0.02 g,en faible quantité,-7,,A,,,,,
883,Zina - 350g,5420038406721,,350 g,,,,,,['France'],[],,[],,?,,2,,8 kj(2 kcal),,0,,0,,"82,45",,"76,15",,"0,2",,"0,044",,"0,018",,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,MOUSSE -,5420047401625,,,,,,,,['France'],[],,[],,?,,210,,879 kj(210 kcal),,11,,"6,6",,24,,22,,"2,4",,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,Little cheesecakes - 213g,5420047405326,,213 g,,,,,,['France'],[],,[],,?,,289,,1209 kj(289 kcal),,19,,11,,25,,18,,"5,2",,"0,48",,"0,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,Mini Cakes Épinard & Pesto - Pure Pleasure - 180g,5420047406170,,180 g,"['Carton', 'boîte', 'surgelé', 'Plastique']",['Pure Pleasure'],"['Surgelés', 'Plats préparés', 'Plats préparés surgelés']",['Belgique'],,['France'],"['Œufs entiers pasteurisés', 'farine de riz', 'amidon de pomme de terre', 'eau', 'huile de tournesol', 'sucre', 'ail', 'basilic 0,6 %', 'sel', 'persil', 'échalote', 'épinard 0,4 %', 'curcuma', 'poivre', 'épaississant: gomme guar', 'poudres à lever: tartrates de potassium', 'disphosphates', 'carbonates de sodium', ""émulsifiant: mono-et diglycérides d'acides gras""]",['Œufs'],"['Sans huile de palme', 'Non végétalien']",4,?,,343,+130%,1435 kj(343 kcal),+129%,19,+171%,0,-100%,36,+175%,"4,8",+130%,5,-26%,"1,64",+115%,"0,656",+115%,,,,,,,,"['en:gluten-free', 'Sans lactose', 'Sans conservateurs', 'en:palm-oil-free']",,['Carrefour'],,19 g,en quantité modérée,0 g,en faible quantité,4.8 g,en faible quantité,1.64 g,en quantité élevée,12,+396%,D,+396%,"['E412 - Gomme de guar', 'E336 - Tartrates de potassium', 'E500 - Carbonates de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",,,
887,Dexsil Pharma Articulations 1000ML (joints),5420050204350,,,,,,,,['France'],[],,[],,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,['Fabriqué en Belgique'],,,,,,,,,,,,,,,,,,,
888,Dexsil Pharma Duo 2arti Forte Sol Buv. 1l+gel 50ML,5420050211839,,,,,,,,['France'],[],,[],,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,Chocolat Noix de Coco - Ethiquable - 100g,5420051400096,D,100 g,"['Boite', 'Carton', 'Aluminium']",['Ethiquable'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats au lait à la noix de coco']",,,"['Belgique', 'France']","['Sucre de canne', 'Lait entier en poudre', 'beurre de cacao', 'éclats de noix de coco râpée 10%', 'pâte de cacao de la République Dominicaine 9%', 'émulsifiant : lécithine de soja', 'arôme naturel de noix de coco', 'extrait de vanille']","['Lait', 'Soja']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,2328,,559,-1%,2328 kj(559 kcal),-1%,"36,5",-2%,21,-12%,"46,8",-1%,"45,7",+3%,"8,1",+16%,"0,23",+11%,"0,092",+11%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,"['Bio', 'Bio européen', 'Commerce équitable', 'BE-BIO-01', 'Agriculture UE/Non UE', 'Max Havelaar']",['République dominicaine'],"['Carrefour', 'Noz']",,36.5 g,en quantité élevée,21 g,en quantité élevée,45.7 g,en quantité élevée,0.23 g,en faible quantité,22,-8%,E,-8%,['E322i - Lécithine'],Chocolat au lait à la noix de coco,,
890,Chocolat Noir 75% Nicaragua - Ethiquable - 100g,5420051400799,D,100 g,"['Carton', 'Tablette', 'métal']",['Ethiquable'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats noirs extra fin']",,,"['Belgique', 'France']","['Pâte de cacao du Nicaragua 66 %', 'sucre de canne', 'beurre de cacao']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,,593,+7%,2481 kj(593 kcal),+7%,"45,1",+16%,27,+15%,"32,4",-16%,"24,4",-27%,"9,5",+24%,0,-100%,0,-100%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,"['Bio', 'Bio européen', 'Commerce équitable', 'Fairtrade International', 'IT-BIO-014', 'Max Havelaar', 'Agriculture non UE', 'AB Agriculture Biologique']",['Nicaragua'],,,45.1 g,en quantité élevée,27 g,en quantité élevée,24.4 g,en quantité élevée,0 g,en faible quantité,17,-22%,D,-22%,,,,
891,Macarons De Pauline fraise-pistache-citron - 12X72G,5420052040017,,12X72G,,['Macarons de Pauline'],['Desserts'],['Belgique'],,['France'],"['sucre', 'amandes 22%', ""blanc d'oeuf"", 'huiles végétales ', 'palme', 'tournesol', 'eau', 'sirop de glucose', 'stabilisants ', 'glycérol', 'sorbitol', 'gomme xanthane', 'amidon', 'concentrés de fruits 0,6% ', 'fraise 56%', 'citron 44%', 'pistaches 0,5%', 'arômes naturels', 'émulsifiants ', ""mono - et diglycérides d'acides gras"", ""esters polyglycériques d'acides gras"", 'lécithine de soja', 'noisettes', 'conservateur ', 'acide sorbique', 'colorants ', 'bêta-carotène', 'carmins', 'complexe cuivrique de la chlorophylline sodique', 'acidifiant ', 'acide citrique', ' Contient des fruits à coque', 'des ceufs et du soja', ' Peut contenir du lait', ""d'arachides"", ""gluten et d'autres fruits à coque""]","['Œufs', 'Fruits à coque', 'Soja']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,?,,463,+162%,1937 kj(463 kcal),+163%,22,+224%,"4,9",+36%,59,+149%,52,+183%,"7,3",+131%,"0,08",-40%,"0,032",-40%,,,,,,,,,,,,22 g,en quantité élevée,4.9 g,en quantité modérée,52 g,en quantité élevée,0.08 g,en faible quantité,19,+181%,E,+181%,"['E422 - Glycérol', 'E420 - Sorbitol', 'E415 - Gomme xanthane', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E475 - Esters polyglycériques d'acides gras"", 'E322i - Lécithine', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E160ai - Bêta-carotène', 'E120 - Acide carminique', 'E330 - Acide citrique']",assortiment de macarons,['Huile de palme'],
892,Macarons Vanille-moka-chocolat - Macarons de Pauline - 72g,5420052040024,E,72 g,['Boite'],['Macarons de Pauline'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",,,['France'],"['sucre', 'amandes 22%', ""blanc d'œuf"", 'huiles végétales ', 'palme', 'tournesol', 'eau', 'sirop de glucose', 'stabilisants ', 'glycérol', 'sorbitol', 'gomme xanthane', 'chocolat 1,296 [pâte de cacao', 'sucre', 'cacao maigre en poudre', 'émulsifiant ', 'lécithine de soja', 'arôme naturel de vanille]', 'amidon', 'cacao maigre en poudre', 'émulsifiants ', ""mono - et diglycérides d'acides gras"", ""esters polyglycériques d'acides gras"", 'lécithine de soja', 'conservateur ', 'acide sorbique', 'café torréfié 0,12%', 'arômes naturels', 'extrait de café 0,07%', 'acidifiant ', 'acide citrique', 'extrait de vanille Bourbon', 'gousses de vanille Bourbon pilées', 'colorants ', 'carmins', 'bêta-carotène', ' Contient des amandes', 'des œufs et du soja']","['Œufs', 'Fruits à coque', 'Soja']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,?,,460,+8%,1925 kj(460 kcal),+8%,22,+24%,5,+11%,59,+6%,51,+1%,"7,4",-14%,"0,09",-37%,"0,036",-37%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,22 g,en quantité élevée,5 g,en quantité modérée,51 g,en quantité élevée,0.09 g,en faible quantité,16,-9%,D,-9%,"['E422 - Glycérol', 'E420 - Sorbitol', 'E415 - Gomme xanthane', 'E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E475 - Esters polyglycériques d'acides gras"", 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E120 - Acide carminique', 'E160ai - Bêta-carotène']",,['Huile de palme'],
893,Macarons Fraise-pistache-chocolat - Macarons de Pauline - 36g,5420052040543,D,36 g,['Carton'],['Macarons de Pauline'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",,,['France'],[],,[],,?,,462,+8%,1933 kj(462 kcal),+9%,22,+24%,"5,1",+13%,58,+4%,51,+1%,"7,5",-12%,"0,09",-37%,"0,036",-37%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,22 g,en quantité élevée,5.1 g,en quantité élevée,51 g,en quantité élevée,0.09 g,en faible quantité,17,-3%,D,-3%,,,,
894,Macaron Fraise - Pistache - Citron - Macarons de Pauline,5420052045005,E,,,['Macarons de Pauline'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",,,['France'],"['sucre', 'amandes 22%', ""blanc d'œuf"", 'huiles végétales ', 'palme', 'tournesol', 'eau', 'sirop de glucose', 'stabilisants ', 'glycérol', 'sorbitol', 'gomme xanthane', 'amidon', 'concentrés de fruits 0,6% ', 'fraise 56%', 'citron 44%', 'pistaches 0,5%', 'arômes naturels', 'émulsifiants ', ""mono - et diglycérides d'acides gras"", ""esters polyglycériques d'acides gras"", 'lécithine de soja', 'noisettes', 'conservateur ', 'acide sorbique', 'colorants ', 'bêta-carotène', 'carmins', 'complexes cuivriques de la chlorophylline sodique', 'acidifiant ', 'acide citrique', ' Contient des fruits à coque', 'des œufs et du soja', ' Peut contenir de lait', 'dlarachides', ""de gluten et d'autres fruits à coque""]","['Œufs', 'Fruits à coque', 'Soja']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,?,,463,+9%,1937 kj(463 kcal),+9%,22,+24%,"4,9",+8%,59,+6%,52,+3%,"7,3",-15%,0,-100%,0,-100%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,22 g,en quantité élevée,4.9 g,en quantité modérée,52 g,en quantité élevée,0 g,en faible quantité,17,-3%,D,-3%,"['E422 - Glycérol', 'E420 - Sorbitol', 'E415 - Gomme xanthane', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E475 - Esters polyglycériques d'acides gras"", 'E322i - Lécithine', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E160ai - Bêta-carotène', 'E120 - Acide carminique', 'E330 - Acide citrique']",,['Huile de palme'],
895,Macarons de Pauline - 144g,5420052055455,D,144 g,['Carton'],['Macarons de Pauline'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",,,['France'],[],,[],,?,,461,+8%,1929 kj(461 kcal),+8%,22,+24%,5,+11%,59,+6%,52,+3%,"7,3",-15%,"0,09",-37%,"0,036",-37%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,22 g,en quantité élevée,5 g,en quantité modérée,52 g,en quantité élevée,0.09 g,en faible quantité,19,+8%,E,+8%,,,,
896,Carbonade flamande -,5420055703285,,,,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Ragoûts de boeuf', 'Carbonade flamande']",,,['France'],[],,[],,?,,99,-7%,414 kj(99 kcal),-7%,"4,7",+34%,"1,1",-4%,"6,7",-19%,"2,4",-22%,"7,2",-16%,"1,33",+50%,"0,532",+50%,,,,,,,,,,,,4.7 g,en quantité modérée,1.1 g,en faible quantité,2.4 g,en faible quantité,1.33 g,en quantité modérée,3,+178%,C,+178%,,,,
897,Sucre brun - Couplet - 1kg,5420055780026,,1 kg,,['Couplet'],,,,['France'],"['Sucre', 'sirop de sucre inverti', 'colorant: caramel E150d', ' Contient des sulfites']",['Anhydride sulfureux et sulfites'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,?,,392,,1640 kj(392 kcal),,0,,0,,98,,98,,0,,"0,025",,"0,01",,,,,,,,,,,,,,,,,,,,,,,,,"[""E150d - Caramel au sulfite d'ammonium""]",,,
898,Sauce Burger,5420058001371,D,,,,"['Epicerie', 'Sauces', 'Sauces burger']",,,['France'],[],,[],,?,,541,+33%,2264 kj(541 kcal),+35%,58,+48%,"3,4",+2%,"3,6",-70%,"3,3",-64%,"1,05",-12%,"1,32",-29%,"0,528",-29%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,['Halal'],,,,58 g,en quantité élevée,3.4 g,en quantité modérée,3.3 g,en faible quantité,1.32 g,en quantité modérée,14,-16%,D,-16%,,,,
899,Samouraï - 500ml,5420058002361,D,500 ml,,,"['Epicerie', 'Sauces', 'Sauces samouraï']",,,['France'],[],,[],,?,,678,+19%,2837 kj(678 kcal),+19%,"74,5",+20%,"4,4",-7%,"0,61",-81%,"0,15",-90%,"1,25",+12%,"2,8",+34%,"1,12",+34%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,['Halal'],,,,74.5 g,en quantité élevée,4.4 g,en quantité modérée,0.15 g,en faible quantité,2.8 g,en quantité élevée,22,+14%,E,+14%,,,,
900,Sauce Ch'ti - Altesse - 300ml,5420058005683,,300 ml,['Plastique'],['Altesse'],"['Epicerie', 'Sauces']",,,['France'],"['Huile de colza ', '49%', 'sucre ', 'eau', "" vinaigre d'alcool"", 'moutarde eau', ' vinaigre', ' graines de moutarde', 'sel', 'épices', ' concentré de tomates', 'oignons jaunes dmufs salés', 'extraits nature s et plantes aromatiques', 'sel', 'poudre de jaunes d oeufs', 'acidifiant ', 'acide citrique', 'epaississànt ', 'Fomme xanthane', 'colorants']",['Moutarde'],['Non végétalien'],4,?,,535,+125%,2238 kj(535 kcal),+127%,49,+171%,3,+39%,15,+51%,14,+117%,1,-63%,"1,975",-18%,"0,79",-18%,,,,,,,,,,,,49 g,en quantité élevée,3 g,en quantité modérée,14 g,en quantité élevée,1.98 g,en quantité élevée,18,+55%,D,+55%,['E330 - Acide citrique'],,,
901,Sauce chocolat noir - Pastador,5420058005966,,,,['Pastador'],,,,['France'],"['Sirop de glucose', 'sucre', 'eau', 'chocolat noir ', '5%', ' [masse de cacao', 'sucre', 'beurre de cacao', 'émulsifiant ', 'lécithine de son', ' arôme naturel vanille]', 'poudre de cacao maigre', 'acidifiant ', ""acid'a tartrique"", 'émulsifiant ', 'Lécithines', 'conservateur ', 'sorbate de potassiumj sel', ' ALLERGÈNE : contient du SOJA', ' Peut contenir des traces de gluten} œufs', 'lait', 'fruits à coque', 'sulfites', "" CONSEIL D'UTILISATION : Avant usage"", 'enlever la languette en-dessous du bouchon', ' Conserver le flacon avec le bouchon vers le bas', ' Avant cuvedure,']",['Soja'],['Non végétalien'],4,?,,294,,1230 kj(294 kcal),,"2,7",,"1,6",,66,,53,,"1,4",,"0,07",,"0,028",,,,,,,,,,,,,,,,,,,,,,,,,"['E322i - Lécithine', 'E322 - Lécithines']",,,
902,Sauce pita - 500ml,5420058007137,D,500 ml,,,"['Epicerie', 'Sauces', 'Sauces Pita']",,,['France'],[],,[],,?,,539,+5%,2255 kj(539 kcal),+2%,"59,6",+5%,"3,5",-20%,"0,2",-94%,0,-100%,"0,39",-60%,"0,72",-35%,"0,288",-35%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,['Halal'],,,,59.6 g,en quantité élevée,3.5 g,en quantité modérée,0 g,en faible quantité,0.72 g,en quantité modérée,12,-14%,D,-14%,,,,
903,Sauce marocaine - Halwa - 500ml,5420058007175,,500 ml,,['Halwa'],,,,['France'],"['Huile eau', 'vinaigre', ""jaunes d'oeufs sales"", 'moutarde ', 'eau} gtaihes de moutarde', 'Vinaigre', 'sel', ' curcuma', 'sucre ', '3%', 'extraits ', 'naturelS ', 'sucre brulé? chili', 'citron', 'curcuma safran', 'gingembre', ""} poudre de iaünes d'oeufs"", 'sel', 'purée de tomates ', '0,7%', 'aneth', 'acidifiant ', 'acide citrique', ""antioxydants '"", 'extraits de romarin', 'calcium disodium EDTA', 'extrait de thé vert', 'conserva - teurs ', 'sorbate de potassium,benzoate de sodium', 'arôme de yaourt', 'colorant ', 'bêta-carotène']",['Moutarde'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,?,,674,,2820 kj(674 kcal),,"72,88",,"4,28",,"3,45",,"3,18",,"0,97",,"2,2",,"0,88",,,,,,,,,['Halal'],,,,,,,,,,,,,,,,"['E330 - Acide citrique', 'E392 - Extrait de romarin', 'E385 - Éthylène diamine tétra-acétate de calcium disodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E160ai - Bêta-carotène']",,,
904,Sauce à l'ail,5420058007489,,,,,,,,['France'],[],,[],,?,,633,,2648 kj(633 kcal),,68,,"5,4",,"3,9",,"2,5",,"0,9",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,Sauce mayo allegée - Saint Christophe,5420058007649,D,,,['Saint Christophe'],"['Epicerie', 'Matières grasses', 'Sauces', 'Mayonnaises']",,,['France'],"['Sauce émulsi n ée froide Ingrédients• H die colza ', '58,5%', ' eau', 'moutarde He Dijon ', 'eau', 'grainep de moutarde', 'vinaigre', 'sulfite acide e conservateur sodium', 'vinai re', 'sucre', 'jaunes deufs salés', 'se ', 'amidon modifié de maïs', 'acidifiant ', 'acide citrique', 'paississant ', 'gomme_xanthane']",,[],4,?,,85,-86%,356 kj(85 kcal),-86%,"60,5",-9%,"4,7",-24%,"3,3",+23%,2,+37%,"1,1",-11%,"1,6",+20%,"0,64",+20%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,60.5 g,en quantité élevée,4.7 g,en quantité modérée,2 g,en faible quantité,1.6 g,en quantité élevée,8,-55%,C,-55%,"['E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E415 - Gomme xanthane']",,,
906,Sauce Samouraï,5420058007694,D,,,,"['Epicerie', 'Sauces', 'Sauces samouraï']",,,['France'],[],,[],,?,,708,+24%,2962 kj(708 kcal),+24%,"77,7",+25%,"6,2",+31%,"0,5",-85%,"0,1",-93%,"1,2",+7%,"2,7",+29%,"1,08",+29%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,77.7 g,en quantité élevée,6.2 g,en quantité élevée,0.1 g,en faible quantité,2.7 g,en quantité élevée,24,+24%,E,+24%,,,,
907,Mayonnaise aux petits légumes - Saint Christophe,5420058007847,D,,,['Saint Christophe'],"['Epicerie', 'Sauces', 'Mayonnaises']",,,['France'],"['Sauce fimulsionnée froig Ingre$1eaU4 e its égume« fille de çolza ', '70010', 'carotte oeufs salés', 'Vinaicr Jaunes ', 'eau', ""grines 'È moutar e moutar e"", 'vinaigre', 'se curcuma eau', 'oignon', 'câpres ', 'âtpres', 'vinaigre', 'sel', 'pers!i', 'aci i lant ', 'acid citriqueà citron concentré se ', 'extraiV naturel de poivre', 'antioxydant', ' D uggestio : Accompagne vos pats i et amértcatn', 'ondue rites', 'our ui none', ' barbecue 100x oar DOrtion IE']",,[],,?,,640,+4%,2678 kj(640 kcal),+5%,"70,3",+6%,"4,1",-34%,"0,2",-93%,0,-100%,"1,3",+6%,"2,875",+116%,"1,15",+116%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,70.3 g,en quantité élevée,4.1 g,en quantité modérée,0 g,en faible quantité,2.88 g,en quantité élevée,21,+17%,E,+17%,,,,
908,Sauce Brazil,5420058008127,,,,,,,,['France'],[],,[],,?,,569,,2381 kj(569 kcal),,"57,3",,"4,6",,"11,4",,"10,6",,"1,2",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,Dark 72% - Bianca,5420066384084,E,,,['Bianca'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,,['France'],"['masse de cacao', 'sucre', 'beurre de cacao', 'émulsifiant : lécithine de soja', ' Chocolat noir : teneur en cacao minimum 72%', ' Contient du soja', "" Peut contenir des traces d'arachides"", 'de noix', 'de gluten et de lait']",['Soja'],[],4,?,,565,+2%,2364 kj(565 kcal),+2%,42,+7%,26,+13%,34,-12%,29,-9%,8,+4%,"0,09",+93%,"0,036",+93%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,42 g,en quantité élevée,26 g,en quantité élevée,29 g,en quantité élevée,0.09 g,en faible quantité,23,+8%,E,+8%,['E322i - Lécithine'],,,
910,Le Blanc 2015 - Domaine de Mellemont,5420069713010,,,"['Bouteille', 'Verre']",['Domaine de Mellemont'],"['Boissons', 'Boissons alcoolisées', 'Vins']",['Belgique'],,['France'],[],,[],,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,Original Boisson végétale de noix - NUT DREAM - 1l,5425000191025,D,1 l,['Carton'],['NUT DREAM'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de fruits à coque', ""Laits d'amande"", 'Boissons végétales de noisette', 'Boissons multivégétaux', 'Boissons sans sucre ajouté', 'Cashew milks']",,['FSC-C014047'],"['Belgique', 'France']","['Eau', 'sirop de maïs', 'noix ', '2,6%', ' ', 'amandes', 'noisettes', 'noix de cajou', 'amidon de riz', 'carbonate de calcium', 'épaississant : gomme gellane', 'sel marin', 'vitamines E', 'D2 & B12', 'émulsifiant : lécithine de toursenol']",['Fruits à coque'],[],4,124,,30,-41%,124 kj(30 kcal),-41%,"1,7",-36%,"0,2",-29%,"2,7",-53%,"2,5",-30%,"0,6",-14%,"0,1",0%,"0,04",0%,82.5%,2.9%,5.0%,5.8%,2.9%,0.8%,27,"['en:FSC', 'en:gluten-free', 'Kascher']",,"['proxy delhaize', 'Noz']",http://www.ricedream.eu,1.7 g,en quantité modérée,0.2 g,en faible quantité,2.5 g,en quantité modérée,0.1 g,en faible quantité,0,-100%,B,-100%,"['E418 - Gomme gellane', 'E322i - Lécithine']",Boisson végétale de noix,,
912,Oat Dream Gluten Free,5425000191520,,,,,,,,['France'],[],,[],,?,,42,,176 kj(42 kcal),,"0,8",,"0,1",,"7,7",,"4,5",,"0,7",,"0,09",,"0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,Makeuttamaton Luomu Mantelijuoma - Almond Dream - L,5425000191841,E,L,,['Almond Dream'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de fruits à coque', ""Laits d'amande""]",,,['France'],"['eau', ""d'amandes* 2,5%"", 'maltodextrine', 'émulsifiant: lécithine', 'sel', "" Système de Controle EE pour l'Agriculture Biologique"", ' PEUT CONTENIR DES TRACES DAUTRES FRUITS A COQUE']",['Fruits à coque'],"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,?,,21,-45%,88 kj(21 kcal),-45%,"1,4",-34%,"0,2",-19%,"1,2",-68%,0,-100%,"0,7",-19%,"0,12",+37%,"0,048",+37%,82.5%,2.9%,5.0%,5.8%,2.9%,0.8%,27,['Bio'],,,,1.4 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,0.12 g,en faible quantité,0,-100%,B,-100%,['E322i - Lécithine'],,,
