,name,bar_code,eco_score,quantity,packaging,brand,categories,manufacturing,traceability_code,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,ingredients_origins,markets,link,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,generic_name,palm_ingredients,brand_owner
20,Libonne/Lissabon,5410238930225,,,,,,,,['France'],[],,[],,?,,91,,381 kj(91 kcal),,"3,7",,"0,7",,"9,5",,"1,3",,"5,5",,1,,"0,4",,,,,,,,,['Fabriqué en Belgique'],,,,,,,,,,,,,,,,,,,
21,Aller simple pour Phuket Soupe crevettes sauvages Champignons et tomates - Food Partners Co - 350g,5410238935039,,350g,"['Bol', 'Plastique', 'Carton']","['Food Partners Co', 'Aller simple']","['Plats préparés', 'Soupes', 'Plats préparés à réchauffer au micro-ondes']",['Belgique'],"['BE B252 EC', 'BE VE6025 EC']",['France'],"['Eau', ""crevettes d'Argentine "", '11,6%', ' ', 'Pleoticus muelleri', ""pêchées dans l'océan Atlantique sud-ouest - contient sulfites"", 'tomates ', '5,8%', 'pâtes ', '4,4%', ' ', 'semoule de blé dur', 'eau', 'œuf', 'champignons ', '3,9%', 'pommes de terre ', '2,3%', 'purée de pommes de terre ', 'pommes de terre', 'émulsifiant : E471', 'stabilisant : E450i', 'épice', 'jus de citron à base de concentré ', 'eau', 'jus de citron concentré', 'lait de coco ', 'contient des traces de lait', 'oignons jeunes', 'purée de tamarin ', 'tamarin ', '86%', 'eau', 'sel', 'amidon de maïs', 'lait', 'sucre', 'pâte de curry rouge ', '0,7%', ' ', 'chili', 'ail', 'citronnelle', 'sel', 'échalotes', 'galanga', 'pâte de crevettes ', 'crevettes ', '83%', 'sel', 'feuille de lime Kaffir', 'poivre', 'sauce poisson ', 'anchois', 'sucre', 'sel', 'arôme naturel de paprika', 'fumet de poissons ', 'contient poissons', 'crustacés', 'lactose', 'mollusques', 'gingembre', 'citronnelle', 'sel', 'feuille de citron vert', 'épice']","['Crustacés', 'Œufs', 'Poisson', 'Gluten', 'Lait', 'Mollusques', 'Anhydride sulfureux et sulfites']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,208,-63%,49,-63%,208 kj(49 kcal),-63%,"1,3",-76%,"< 0,1",-95%,"6,2",-52%,2,+14%,"3,3",-51%,"0,91",+17%,"0,364",+17%,,,,,,,,"['Sans additifs', 'en:palm-oil-free', 'Sans additifs ajoutés']",,,,1.3 g,en faible quantité,0.1 g,en faible quantité,2 g,en faible quantité,0.91 g,en quantité modérée,2,+42%,B,+42%,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E450i - Pyrophosphate de sodium acide']",,,
22,Délice à Tartiner de Cabillaud,5410238955037,,,,,,,,['France'],[],,[],,?,,217,,908 kj(217 kcal),,19,,"1,8",,"2,4",,"0,9",,"9,1",,"1,2",,"0,48",,,,,,,,,['Fabriqué en Belgique'],,,,,,,,,,,,,,,,,,,
23,Grimbergen Dubbel - 33cl,5410263010664,C,33 cl,['Bouteille'],['Grimbergen'],"['Boissons', 'Boissons alcoolisées', 'Bières']","['Alken', 'Tongeren (distrito)', 'Limburgo (provincia)', 'Flandes', 'Belgique']","['FABRICANTE Y ENVASADOR:', 'N.V. BROUWERIJEN ALKEN-MAES BRASSERIES S.A.', 'PERTENECIENTE A:', 'HEINEKEN N.V.', 'Y', 'CARLSBERG A/S']","['Belgique', 'France', 'Espagne']",[],['Gluten'],[],,?,,?,,,,?,,,,?,,,,?,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,"[""Bière belge d'Abbaye reconnue""]",,"['Carrefour', 'Colruyt', 'Delhaize']",https://www.grimbergenbier.be,,,,,,,,,,,,,,Grimbergen Double,,
24,Grimbergen Rouge Amber 33 CL Fles - 33cl,5410263917864,,33cl,,['Grimbergen'],,,,['France'],[],,[],,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Lait Fraise Red Fruit - Yogho!,5410266402305,D,,,['Yogho!'],"['Produits laitiers', 'Laits']",,,['France'],"['lait écrémé fermenté ', '41%', 'eau', 'sucre', 'lactose ', 'lait', 'dextrose', 'jus de fruits à base de concentré ', 'fraise 75% et framboise 25%', 'stabilisant : pectine', 'gomme guar', 'arôme', 'acidifiant: acide lactique', 'colorant', ' acide carminique']",['Lait'],"['Non végétalien', 'Non végétarien']",4,?,,64,-3%,268 kj(64 kcal),-2%,"13,7",+565%,"0,5",-58%,"13,7",+128%,"13,7",+152%,"1,5",-58%,0,-100%,0,-100%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,"['Kascher', 'en:Orthodox Union Kosher']",,,,13.7 g,en quantité modérée,0.5 g,en faible quantité,13.7 g,en quantité élevée,0 g,en faible quantité,-2,-448%,A,-448%,"['E440 - Pectines', 'E412 - Gomme de guar', 'E270 - Acide lactique', 'E120 - Acide carminique']",,,
26,Lait Chocolaté Demi-écrémé - Choco! Choco! - 1l e,5410266403012,C,1 l e,"['Brique', 'Carton']","['Choco! Choco!', 'Milcobel']","['Boissons', 'Produits laitiers', 'Boissons lactées', 'Laits aromatisés', 'Laits aromatisés au chocolat', 'Boissons avec sucre ajouté', 'Boissons sans sucre ajouté']",,,['France'],"['Lait demi-écrémé', 'poudre de petit-lait ', 'lait', 'sirop de glucose-fructose', 'sucre', 'chocolat en poudre ', '3,5 %', 'arômes', 'stabilisants : cellulose micro cristalline', 'gomme de cellulose', 'carraghénanes']",['Lait'],['Non végétalien'],4,310,-2%,?,,310 kj(74 kcal),0%,"1,6",-6%,"1,1",-1%,"11,5",+5%,11,+6%,"3,2",-1%,"0,13",+2%,"0,052",+2%,68.9%,1.0%,13.8%,9.0%,5.7%,1.6%,49,"['en:FSC', 'en:fsc-c014047', 'FSC Mix', 'Sans colorants']",,,,1.6 g,en quantité modérée,1.1 g,en quantité modérée,11 g,en quantité élevée,0.13 g,en faible quantité,19,+53%,E,+53%,"['E460 - Cellulose', 'E466 - Carboxyméthylcellulose', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",Lait chocolaté demi-écrémé,,
27,Choco Choco - Milcobel - 472ml,5410266403319,,472ml,,['Milcobel'],,,,"['Belgique', 'France']",[],,[],,?,,63,,264 kj(63 kcal),,"0,5",,"0,33",,"10,9",,"10,8",,"3,4",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Croky Hula Hoops Paprika 20X75G,5410276114007,,,,['Croky'],,,,['France'],"['Pommes de terre ', 'fécule de pommes de terre et pommes de terre séchées', 'huile de tournesol ', '26%', 'goût paprika ', 'épices ', 'paprika séché', 'ail séché', 'chapelure ', 'farine de BLE', 'sel', ""poudre à lever: bicarbonate d'ammonium"", 'sel', 'dextrose', 'sucre', 'oignons séchés', 'exhausteurs de goût : glutamate de sodium', 'tomates séchées', 'colorants : extrait de paprika', 'herbes', 'acide citrique', 'arôme de fumée', 'extrait de poivron', 'farine de riz', 'farine de mais', 'sel']",['Gluten'],[],4,?,,515,,2155 kj(515 kcal),,26,,"2,4",,64,,"0,6",,"3,5",,"2,5",,1,,,,,,,,,,,,,,,,,,,,,,,,,"[""E503ii - Carbonate acide d'ammonium"", 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E160c - Extrait de paprika', 'E330 - Acide citrique']",,,
29,Crème entière - Campina,5410281000333,,,,['Campina'],['Boissons'],,,['France'],"['crème', '33%m', ' ', ' stabilisants:carra héna estÈ407', 'et lactate de calcium2E327', ' 000333']",['Lait'],['Non végétalien'],1,?,,319,+470%,1335 kj(319 kcal),+454%,33,+9410%,"23,4",+19731%,"3,2",-72%,"3,2",-66%,"2,3",+364%,"0,08",+93%,"0,032",+93%,,,,,,,,,,,,33 g,en quantité élevée,23.4 g,en quantité élevée,3.2 g,en quantité modérée,0.08 g,en faible quantité,23,+200%,E,+200%,,,,
30,Crème culinaire légère - Campina,5410281022106,,,,['Campina'],,,,['France'],[],,[],,?,,215,,900 kj(215 kcal),,"20,2",,"14,4",,"5,2",,"3,7",,"2,7",,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,5410291021076,5410291021076,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner au chocolat']",,,['France'],[],"['Lait', 'Fruits à coque']",[],,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Pasta Plus -,5410291044402,D,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",,,['France'],[],,[],,?,,562,+2%,2351 kj(562 kcal),+2%,37,+9%,"8,9",+16%,51,-1%,44,-8%,"3,3",-52%,"0,04",-61%,"0,016",-61%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,,,,,37 g,en quantité élevée,8.9 g,en quantité élevée,44 g,en quantité élevée,0.04 g,en faible quantité,20,-3%,E,-3%,,,,
33,Emmentale,5410298060528,,,,,,,,['France'],[],,[],,?,,368,,1540 kj(368 kcal),,29,,20,,0,,0,,27,,1,,"0,4",,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,
