,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,salt_quantity,salt_comment,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,nova_score,generic_name,packaging,additives,allergens,ingredients_origins,markets,traceability_code,link,manufacturing,palm_ingredients
1795,Inca berry - Roo'Bar - 30g,3800225477895,,"[""Roo'Bar"", 'Dragon Superfoods']","['Snacks', 'Snacks sucrés', 'Barres', 'Barres aux fruits']","['France', 'Pays-Bas']","['Dates', 'coqueret du Pérou ', 'physalis', ' ', '15%', 'amande', 'gingembre', ""huile d'orange "", '0,05%']","['Végétalien', 'Végétarien']",7.9 g,en quantité modérée,0.7 g,en faible quantité,51 g,en quantité élevée,1369,-9%,326,-16%,1369 kj(326 kcal),-14%,"7,9",-36%,"0,7",-74%,53,-9%,51,+25%,"5,6",-15%,,,,,,,,30 g,"['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'BG-BIO-02', 'en:Raw']",0 g,en faible quantité,0,-100%,0,-100%,9,-7%,C,-7%,3,Barre énergétique,"['Plastique', 'PP', 'Tidyman wastebasket', '♷']",,['Fruits à coque'],,['Albert Heijn XL'],,http://www.roobar.com,"['Sofia', 'Bulgarie', 'ul. Banat 28', '1407', 'Roo Brands OOD']",
1796,Double chocolat - Coppa della Maga,3800229511014,,['Coppa della Maga'],,['France'],"['Lait écrémé réhydraté', 'beurre', 'creme', 'édulcorants naturels: maltitol', 'glycosides de stéviol ', 'stévia', 'lait pasteurisé', 'cacao ', '6%', ""émulsifants naturels: mono-et diglycérides d'acides gras végétaux"", 'gomme de caroube', 'gomme de guar', 'carraghénanes', 'morceaux de chocolat ', '6%', 'feves de cacao 71%', 'farine de caroube', 'beurre de cacao 7%', 'Une consommation excessive peut entrainer des effets laxatifs Allergènes: voir les ingrédients en gras', 'Peut contenir des traces de fruits à coque ', 'pistaches', 'noisettes', 'amandes', 'graines de sésame']",['Non végétalien'],,,,,,,?,,219,,916 kj(219 kcal),,17,,"9,9",,14,,10,,"3,64",,,,,,,,,,,,,"0,1",,"0,04",,,,,,4,,,"['E965 - Maltitol', 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition', 'E410 - Gomme de caroube', 'E412 - Gomme de guar']",['Lait'],,,,,,
1797,Caramel bar,3800230251039,,,,['France'],[],[],,,,,,,?,,562,,2351 kj(562 kcal),,"34,6",,"3,8",,"46,7",,"27,8",,"14,4",,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,
1798,Caramel bar Peanut,3800230251046,,,,['France'],[],[],,,,,,,?,,529,,2213 kj(529 kcal),,"28,56",,"4,1",,"51,2",,"28,3",,"21,35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1799,Farine de coco - Dragon Superfoods,3800232730945,,['Dragon Superfoods'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Noix de coco sèches', 'Farine de noix de coco séchée']",['France'],[],"['Végétalien', 'Végétarien']",8.5 g,en quantité modérée,8 g,en quantité élevée,8 g,en quantité modérée,?,,335,-11%,1402 kj(335 kcal),-11%,"8,5",-36%,8,-32%,26,-7%,8,-44%,19,+15%,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien']",0.28 g,en faible quantité,"0,28",+126%,"0,112",+126%,3,-38%,C,-38%,,,,,,,,,,,
1800,Protéine shake,3800232735087,,,,['France'],[],[],,,,,,,?,,414,,1732 kj(414 kcal),,12,,"8,5",,22,,"18,5",,"50,6",,,,,,,,,,,,,"0,24",,"0,096",,,,,,,,,,,,,,,,
1801,Protein shake,3800232735094,,,['es:proteinas'],"['France', 'Espagne']",[],[],0 g,en faible quantité,0 g,en faible quantité,20.4 g,en quantité élevée,?,,410,+17%,1715 kj(410 kcal),+17%,0,-100%,0,-100%,"24,7",+337%,"20,4",+631%,"50,1",-30%,,,,,,,,,['Bio'],0.24 g,en faible quantité,"0,24",-62%,"0,096",-62%,5,+24%,C,+24%,,,,,,,,,,,
1802,Mini galettes de riz brun à grains entiers saveur fromage italien - Rice Up,3800233070200,,['Rice Up'],,['France'],"['riz brun à grains entiers 74%', 'huile 18%', 'mélange de saveur 8% [arômes naturels', 'poudre de lactosérum', 'sel', 'fromage 8%', 'maltodextrine de maïs', 'sirop de blé de glucose', ""régulateur d'acidité: phosphate de sodium"", 'pomme de terre maltodextrine', 'amidon de tapioca]']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",,,,,,,?,,446,,1866 kj(446 kcal),,"17,9",,"3,1",,61,,5,,"6,7",,,,,,,,,,,,,"0,8",,"0,32",,,,,,4,,,"['E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition']",['Lait'],,,,,,
1803,Brown Rice chips,3800233071023,,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,?,,402,,1682 kj(402 kcal),,14,,"2,8",,58,,"0,5",,"7,5",,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,"1,5",,"0,6",,,,,,,,,,,,,,,,
1804,Brown rice cakes with Belgian dark chocolats,3800233071092,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de riz soufflé']",['France'],[],[],21 g,en quantité élevée,12 g,en quantité élevée,26 g,en quantité élevée,?,,473,+9%,1979 kj(473 kcal),+9%,21,+78%,12,+88%,59,-17%,26,+105%,"7,3",-1%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,,['en:gluten-free'],0.59 g,en quantité modérée,"0,59",+224%,"0,236",+224%,22,+161%,E,+161%,,,,,,,,,,,
