,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,salt_quantity,salt_comment,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,nova_score,generic_name,packaging,additives,allergens,ingredients_origins,markets,traceability_code,link,manufacturing,palm_ingredients
90,Le Risotto aux Saint Jacques - Labeyrie - 300g,3760197633722,,['Labeyrie'],"['Surgelés', 'Plats préparés', 'Plats préparés surgelés', 'Plats préparés à réchauffer au micro-ondes']",['France'],"['Riz rond cuit salé 28% ', 'eau', 'riz 37%', 'sel', 'eau', 'noix de Saint-Jacques sans corail 10% ', 'Zygochlamys patagonica : USA ou Argentine ou Uruguay / Argopecten purpuratus : Chili ou Pérou / Argopecten circularis : Mexique / Chlamys opercularis : Royaume Unis ou Ile Feroe', 'oignons', 'crème ', 'crème', 'stabilisant : carraghénanes', 'carottes 5%', 'fromage Parmesan râpé 3,3%', 'vin blanc modifié ', 'vin blanc', 'mélange dénaturant ', 'sel', 'arôme naturel', 'conservateur : anhydrides sulfureux', 'beurre', 'farine de blé', 'lait entier en poudre', 'arômes naturels ', 'contient lait', 'crustacés et poissons', 'basilic 0,3%', 'sel', 'safran 0,004%']","['Non végétalien', 'Non végétarien']",6.2 g,en quantité modérée,4 g,en quantité modérée,1.3 g,en faible quantité,504,-17%,?,,504 kj(120 kcal),-20%,"6,2",-12%,4,+54%,"11,5",-12%,"1,3",-38%,"4,4",-35%,,,,,,,,300 g,,0.53 g,en quantité modérée,"0,53",-31%,"0,212",-31%,4,+65%,C,+65%,4,"Risotto aux Noix Saint-Jacques, aux petits légumes et au safran","['Carton', 'Surgelé']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']","['Crustacés', 'Poisson', 'Gluten', 'Lait', 'Mollusques']","['États-Unis', 'Argentine', 'Chili', 'Mexique', 'Pérou', 'Royaume-Uni', 'Uruguay', 'Île Féroe']","['Simply Market', 'Magasins U']","['FR 27.428.003 CE', 'Neubourg (Eure, France)']",,"['Le Neubourg', 'Eure', 'Haute-Normandie', 'France']",
91,Sorbet Chocolat Dégustation - Labeyrie - 550ml / 357.5g e,3760197633944,C,['Labeyrie'],"['Desserts', 'Surgelés', 'Biscuits et gâteaux', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Gâteaux et pâtisseries surgelés', 'Sorbets au chocolat']",['France'],"['Eau', 'chocolat noir 64 % de cacao 22 %* ', 'pâte de cacao 12 %*', 'sucre', 'beurre de cacao', 'arôme naturel de vanille', 'sucre', 'dextrose', 'sirop de sucre inverti cristallisé', 'cacao en poudre', ""fibres d'agrumes"", 'stabilisant : pectines', ' *Pourcentages exprimés sur le sorbet']",[],9.4 g,en quantité modérée,5.7 g,en quantité élevée,23.7 g,en quantité élevée,?,,219,-35%,916 kj(219 kcal),-35%,"9,4",-45%,"5,7",-38%,"29,6",-24%,"23,7",-7%,"2,2",-56%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,550 ml / 357.5 g e,"['Point Vert', 'Fabriqué en France', 'Triman']",0.01 g,en faible quantité,"0,01",-96%,"0,004",-96%,12,-24%,D,-24%,4,Sorbet Chocolat Dégustation,"['Bac', 'surgelé', 'Plastique']",['E440 - Pectines'],,,,"['EMB 25228', 'Étupes (Doubs, France)']",,"['France', 'Étupes']",
92,2 tourtes savoureuses aux 2 saumons & brocolis - Labeyrie,3760197634095,,['Labeyrie'],"['Plats préparés', 'Tartes', 'Plats préparés au poisson', 'Tourtes']",['France'],"['Pâte feuilletée au beurre ', '51 %*', ' - Garniture à base de saumon', 'brocbtis et saumon fumé : Farine de beurre 11%*', 'saumon Salmo salar 10%*', 'brocolis 8%*', 'purée de brocolis 7%* ', 'brocolis 6', '9%*', 'am*n modifié', 'crème fraîche', 'carottes', 'saumon fumé 2%* ', 'saumon Salmo salar 1', '9%*', 'sel', 'vin blanc modifié ', 'vin blanc', 'sel', 'arôme naturel', 'antioxyda tanftydride sulfureux', 'oiqnons', 'amidon modifié de blé', ""jaune et blanc d'oeufs liquide"", 'sel', 'jus de citron', 'base déshydratée type soupe de poissons ', 'tomates,fdfirie de huile de tournesol', 'sirop de glucose', 'protéines de bit', 'sel', 'amidon modifié', 'maltodextrine', 'arômes naturels', 'épices et plantes aromatiques', 'épaississant : gomme xanthane', 'extrait de crustacés', 'extrait de vin blanc', ""huile d'olive vierge extra"", 'persil', 'chapelure ', 'farine de blé', 'eau', 'sel', 'levure', 'paprika', ' *Pourcentages exprimés sur une tourte feuilletée garnie', ' Malgré toutes les précautions prises et les contrôles réalisés lors de la fabrication de ces tourtes', ""Va présence d'une arête n'est pas exclue"", ' Les informations soulignées dans la liste des ingrédients et reprises ci-dessous sont destinées aux personnes allergiques : CONTIENT : Céréales contenant du gluten', 'crustacés', 'lait', 'oeufs et poissons', ' PEUT CONTENIR des traces de : Sulfites', 'céleri', 'fruits à coque', 'graines de sésame', 'mollusques', 'moutarde et soja']","['Non végétalien', 'Non végétarien']",13.2 g,en quantité modérée,8 g,en quantité élevée,1.4 g,en faible quantité,?,,224,-19%,937 kj(224 kcal),-19%,"13,2",-8%,8,+90%,"19,5",-29%,"1,4",-50%,6,-25%,,,,,,,,,,0.8 g,en quantité modérée,"0,8",-35%,"0,32",-35%,12,+31%,D,+31%,4,,['Surgelé'],"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane']","['Crustacés', 'Œufs', 'Poisson', 'Gluten', 'Lait']",,,,,,
93,2 tourtes individuelles au canard 240 g - Labeyrie,3760197634101,,['Labeyrie'],,['France'],"['Pâte feuilletée au beurre ', '51%*', "" - Garniture à base d'effiloché de canard cuit et de cèpes "", '49%*', ' farine de blé', 'eau', 'courgettes', 'effilochés de canard cuit 8%* ', 'effilochés de canard cèpes de champignons 4%* ', 'bolets', 'cèpes shiitakes,pholiotes', 'lactaires', 'échalotes', 'bloc de foie gras de canard mi-cuit ', 'foie gras de canard', 'eau', 'Armagnac 0', '8%', 'sel', 'sucre', 'poivre', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium', 'armagnac modifié 0', '01%* ', 'armagnac 0', '7%*', 'sel', 'arôme naturel', 'colorant : caramel ordinaire', 'arôme naturel', ""jaune et blanc d'?uf liquide"", 'sel', 'ait 0', '4%*', 'persil mélange de baies ', 'coriandre', 'poivre vert', 'poivre noir', 'poivre blanc', 'piment', ' *Pourcentages exprimés sur une tourte feuilletée garnie', ' Malgré toutes les précautions prises et les contrôles réalisés lors de la fabrication de ces tourtes', ""la présence de petits morceaux d'os n'est pas exclue"", ' Les informations soulignées dans la liste des ingrédients et reprises ci-dessous sont destinées aux personnes allergiques : CONTIENT :Céréales contenant du gluten', 'lait et oeufs', ' PEUT CONTENIR des traces de : sulfites', 'à coque', 'graines de sésame', 'lupin', 'mollusques', 'moutarde', 'poissons et soja,']","['Non végétalien', 'Non végétarien']",,,,,,,?,,219,,916 kj(219 kcal),,"12,6",,"7,6",,"19,8",,1,,"6,1",,,,,,,,,,,,,"0,99",,"0,396",,,,,,4,,,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E150a - Caramel E150a']","['Œufs', 'Gluten', 'Lait']",,,,,,
94,Gougères aux deux saumons - Blini - 300g (2x 150g),3760197635498,C,['Blini'],"['Surgelés', 'Plats préparés', 'Plats préparés au poisson', 'Feuilleté salé', 'Plats préparés à réchauffer au micro-ondes', 'Gougère']",['France'],"['Oeufs 29 %', 'eau', 'farine de blé', 'beurre pâtissier fromage emmental râpé 7,9%', 'saumon fumé ', 'salmo salar', ' 6,5% ', 'saumon fumé 6,3%', 'sel', 'saumon cuit ', 'salmo salar', ' 4,3%', 'préparation à base de jus concentré de citron et de pulpe de citron jaune ', 'jus concentré de citron jaune', 'acidifiant acide citrique', 'eau', 'sucre', 'citron jaune', 'antioxydant acide ascorbique', 'aneth 0', '3%', 'sel', 'émulsifiant : lécithine de soja']","['Non végétalien', 'Non végétarien']",26.4 g,en quantité élevée,9.5 g,en quantité élevée,0.6 g,en faible quantité,1575,,378,+12%,1575 kj(378 kcal),+11%,"26,4",+19%,"9,5",-25%,"18,6",-6%,"0,6",-26%,"16,3",+12%,77.7%,11.0%,3.7%,4.0%,2.1%,1.5%,60,300 g (2 x 150 g),,0.69 g,en quantité modérée,"0,69",-37%,"0,276",-37%,16,-6%,D,-6%,4,,['Boites carton sous film plastique'],"['E330 - Acide citrique', 'E300 - Acide ascorbique', 'E322i - Lécithine']","['Œufs', 'Poisson', 'Gluten', 'Lait', 'Soja']",,,,,,
95,Esprit brasserie - Blini,3760197635726,,['Blini'],,['France'],"['Mini-feuilleté apéritif garni de saucisse de Strasbourg et moutarde ', '6', ':\rGarniture ', '56%', '- Pâte feuilletée ', '44%', ': saucisse de Strasbourg 40% ', 'viande et gras de porc 28%', 'eau', 'sel', 'protéines de lait', 'dextrose', 'stabilisant : diphosphates', 'arômes naturels', 'épices', 'antioxydant : acide ascorbique', 'colorants: carmins - extrait de paprika', 'eau', 'farine de blé', ' margarine ', 'huiles et graisses végétales de palme et de colza', 'eau', 'sel', ""émulsifiant: mono - et diglycérides d'acides gras"", ""correcteur d'acidité acide citrique"", 'préparation déshydratée pour sauce ', 'lactosérum', 'amidon', ' modifie', 'lait entier en poudre', 'sel', 'épaississant : gomme xanthane', 'poivre', 'muscade', 'moutarde 2', '2% ', 'eau', 'graines de moutarde', "" vinaigre d'alcool"", 'sel', 'graines de pavot', 'sel', 'œuf entier en poudre', ' \r Mini-feuilleté apéritif garni de boudin blanc et compote de pommes pâtissière ', '37%', ': \rGarniture ', '56%', ' - Pâte feuilletée ', '44%', ': boudin blanc 40% ', 'viande de dinde', 'glace', 'gras de porc', 'viande de porc', 'fécule de pomme de terre et de manioc', 'lait entier en poudre', 'Porto modifie ', 'Porto', 'sel', 'poivre', 'sel', 'protéines de lait', 'lactose', 'arômes naturels', 'dextrose', 'épices ', 'cardamome', 'gingembre', 'macis', 'muscade', 'poivre', 'saccharose]', 'farine de blé', 'compote de pommes pâtissière 15% ', 'purée de pommes concentrée 14%', 'sirop de glucose-fructose', 'antioxydant: acide ', 'ascorbique', 'margarine ', 'huiles et graisses végétales de palme et de colza', 'eau', 'sel', ""émulsifiant: mono - et diglycérides d'acides gras"", "" correcteur d'acidité: acide citrique"", 'eau', 'graines de pavot', 'sel', 'œuf entier en poudre']","['Huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,?,,288,,1205 kj(288 kcal),,20,,8,,19,,"3,4",,"7,4",,,,,,,,,,,,,"1,5",,"0,6",,,,,,4,,,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E120 - Acide carminique', 'E160c - Extrait de paprika', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E415 - Gomme xanthane']","['Œufs', 'Gluten', 'Lait', 'Moutarde']",,,,,,['Huile de palme']
96,Le sublime à la mangue passion & à la vanille - Labeyrie,3760197636198,,['Labeyrie'],"['Surgelés', 'Biscuits et gâteaux', 'Gâteaux et pâtisseries surgelés']",['France'],"['Macarons moelleux', 'Mousse à la Mangue et aux Fruits de la passion et Mousse à la Vanille ', '99%', ' : crème 20%* ', 'crème', 'stabilisant : carraghénanes', 'eau', 'sucre', 'préparation en poudre pour crème pâtissière ', 'sucre', 'amidon modifié', 'crème en poudre', 'dextrose', 'épaississant : alginate de sodium', 'arôme naturel de vanille', 'sel', 'colorant : caroténoïdes', 'purée de mangues sucrée 8,9%* ', 'mangues 8%*', 'sucre', 'amandes 7,1 %*', 'purée de fruits de la passion sucrée 5,9%* ', 'fruits de la passion 5,3%*', 'sucre', 'beurre', 'lait entier', 'stabilisant : glycérol', 'farine de maïs', ""blanc d'œuf en poudre "", ""blanc d'œuf"", ""correcteur d'acidité : acide citrique"", 'agent moussant : El 505', 'gélatine de bœuf', 'arôme naturel de vanille 0,08%*', 'colorant : caroténdides', 'vanille en poudre *Pourcentages exprimés sur les Macarons moelleux et les Mousses aux fruits', ' Décor ', '1%', "": zestes d'oranges"", 'chocolat noir ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'vanille naturelle', 'colorants : El 71 ', 'curcumine', ' Les informations soulignées dans la liste des ingrédients et reprises ci-dessous sont destinées aux personnes allergiques : CONTIENT : lait', 'fruits à coque ', 'amandes', ' et œufs', ' PEUT CONTENIR DES TRACES DE : céréales contenant du gluten', 'soja et autres fruits à coque ', 'noisettes', 'noix et pistaches']","['Non végétalien', 'Non végétarien']",17 g,en quantité modérée,8.2 g,en quantité élevée,23 g,en quantité élevée,?,,317,-5%,1326 kj(317 kcal),-6%,17,-1%,"8,2",-10%,35,-10%,23,-9%,"5,2",+3%,,,,,,,,,,0.15 g,en faible quantité,"0,15",-45%,"0,06",-45%,16,+2%,D,+2%,4,,['Surgelé'],"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E401 - Alginate de sodium', 'E160 - Caroténoïdes', 'E422 - Glycérol', 'E330 - Acide citrique', 'E428 - Gélatine', 'E100 - Curcumine']","['Œufs', 'Lait', 'Fruits à coque']",,,"['FR 82.033.006 CE', 'Castelsarrasin (Tarn-et-Garonne, France)']",,,
97,Le Sublime au Spéculoos & au Chocolat Noir - Labeyrie Patissier - 580g e,3760197636204,,['Labeyrie Patissier'],,['France'],"['Macarons moelleux', 'Mousse au Spéculoos et Mousse au Chocolat noir et à la Cardamome ', '99,1%', ' : crème 33% ', 'crème', 'stabilisant : carraghénanes', 'sucre', 'eau', 'spéculoos concassé 7,7% ', 'farine de blé', 'sucre', 'huiles et graisses végétales de palme et de colza', 'sirop de sucre candi', 'poudre à lever : carbonates de sodium', 'farine de soja', 'sel', 'cannelle', 'amandes 7,1%', 'œuf', 'chocolat noir 3,6% ', 'pâte de cacao 2,1%', 'sucre', 'beurre de cacao', 'émulsifiant : lécithines ', 'contient du soja', 'vanille naturelle en poudre', 'stabilisant : glycérol', 'beurre', 'farine de mais', ""blanc d'oeuf en poudre "", ""blanc d'œuf"", ""correcteur d'acidité acide citrique"", 'agent moussant : E1505', 'cacao en poudre 0,9%', 'chocolat noir 0,7% ', 'émulsifiant : lécithines ', 'contient du soja', 'cardamome 0,03%', 'Décors ', '0,9%', ' : copeaux de chocolat au lait ', 'sucre', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'lactosérum en poudre', 'lactose', 'émulsifiant : lécithines ', 'contient du soja', 'vanille', 'décoration en chocolat blanc ', 'chocolat blanc ', 'sucre', 'beurre de cacao', 'lait entier en poudre', 'arôme naturel de vanille', 'beurre de cacao', 'sucre', 'cacao maigre en poudre', 'pâte de cacao', 'Pourcentages exprimés sur le produit total']","['Huile de palme', 'Non végétalien']",,,,,,,?,,389,,1628 kj(389 kcal),,24,,"13,4",,36,,26,,"6,4",,,,,,,,,580 g e,,,,"0,14",,"0,056",,,,,,4,,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E322 - Lécithines', 'E422 - Glycérol', 'E330 - Acide citrique', 'E1505 - Citrate de triéthyle']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",,['Carrefour'],,,['Castelsarrasin France'],['Huile de palme']
98,Mini-paniers à la truffe d’été - Labeyrie,3760197636495,,['Labeyrie'],,['France'],"['Pâte feuilletée pur beurre ', '57%*', "" garnie d'une préparation à base de brisures de truffes blanches "", '1%*', ' : Eau', 'champignons émincés ', 'champignons ', ' antioxydant : sulfite acide de sodium', 'farine de beurre 9,6%*', 'préparation déshydratée pour sauce ', 'lactosérum', 'amidon modifié', 'lait entier en poudre', 'sel', 'épaississant : gomme xanthane ', ' poivre', 'muscade', 'graines de pavot entier en poudre', ""brisures de truffes blanches d'été* 1%* "", ""brisures de truffes blanches d'été** 0,9%*"", 'sel', 'eau', 'sel', 'arôme naturel', 'œuf entier en poudre', 'muscade', 'mélange de baies ', 'piment', 'poivre blanc', 'poivre noir', 'poivre vert', 'coriandre', ' *Pourcentages exprimés sur le mini-panier feuilleté garni', "" **Truffe blanche d'été Tuber aestivum vitt"", ' CONTIENT : anhydrides sulfureux', 'céréales contenant du gluten', 'lait et oeuf', ' TRACES DE : céleri', 'crustacés', 'fruits à coque ', 'amandes', 'noix', 'noisettes', 'pistaches', 'graines de sésame', 'lupin', 'mollusques', 'moutarde', 'poissons et soja']","['Non végétalien', 'Non végétarien']",,,,,,,?,,225,,941 kj(225 kcal),,14,,"6,7",,26,,"3,8",,"4,7",,,,,,,,,,,,,1,,"0,4",,,,,,4,,,"['E222 - Bisulfite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten', 'Lait', 'Anhydride sulfureux et sulfites']",,,,,,
99,12 macarons,3760197636815,D,,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,,,,,,,,,,,,,,,,,,,
100,12 macarons,3760197636815,D,,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,,,,,,,,,,,,,,,,,,,
101,4 Éclairs au Chocolat - Péché Mignon - 200g e (4 * 50g),3760197636853,,['Péché Mignon'],"['Snacks', 'Snacks sucrés', 'Surgelés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Éclairs', 'Éclairs au chocolat', 'Gâteaux et pâtisseries surgelés']",['France'],[],[],11 g,en quantité modérée,6.7 g,en quantité élevée,21 g,en quantité élevée,?,,254,-1%,1063 kj(254 kcal),-1%,11,-11%,"6,7",+16%,33,+4%,21,+4%,"4,9",+12%,,,,,,,,200 g e (4 * 50 g),,0.25 g,en faible quantité,"0,25",-35%,"0,1",-35%,13,+1%,D,+1%,,,"['Carton', 'Plastique', 'surgelé']",,,,,"['EMB 82033H', 'Castelsarrasin (Tarn-et-Garonne, France)']",,,
102,Champagne Malard cuvée  Premium - U,3760197910786,,['U'],['Boissons'],['France'],"[""CHAMPAGNE MALARD CUVÉE PREMIUM Cette Cuvée Premium est l'expression uroirs les plus nobles de la alampgeal le style de la Maison Malrif Sa jaune or"", ""sa ü'ès soa attaque en bouche ainsi que la finesse & eôaes se révèlent les meilleurs & d'excepüon"", ' OF PRODUIT DE FRANCE 760197 910786']",[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,,0 g,en faible quantité,0,-100%,0,-100%,0,-100%,B,-100%,,,,,,,,,,,
103,Barre choco lait praline,3760197940349,,,,['France'],[],[],,,,,,,?,,384,,1607 kj(384 kcal),,"13,7",,"5,6",,"32,5",,"13,8",,"29,2",,,,,,,,,,['Fabriqué en France'],,,"0,54",,"0,216",,,,,,,,,,,,,"['EMB 37109C', 'Fondettes (Indre-et-Loire, France)']",,,
104,Thé vert de chine,3760197940646,B,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Thé vert de Chine']",['France'],[],[],,,,,,,?,,4,+300%,17 kj(4 kcal),+183%,0,-100%,0,-100%,0,-100%,0,-100%,"0,5",+381%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,,,,,,,,,,
105,Ras el hanout rouge - Epice D’or,3760197941421,,['Epice D’or'],"['Epicerie', 'Condiments', ""Mélanges d'herbes et d'épices"", 'Ras el hanout']",['France'],"['Orlglne: Espagne Ingrédients•', ' coriandre', 'piment dotai', 'piment fort', 'sel', 'curcuma', 'cumin', 'laurier', 'fenugrec', 'polvre noir', 'carvl', 'plment fert Ct cayenne', ' Peut contenir des traces de SÉSAMEI MOUTARDE', 'GLUTEN et FRUITS']",[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,,0 g,en faible quantité,0,-100%,0,-100%,0,-100%,B,-100%,4,,,,"['Gluten', 'Moutarde']",,,,,,
106,Salade méchouia douce - Walima,3760197941506,,['Walima'],,['France'],[],[],,,,,,,?,,240,,1004 kj(240 kcal),,"21,5",,2,,"10,2",,0,,"1,3",,,,,,,,,,['Halal'],,,"1,64",,"0,656",,,,,,,,,,,,,,,,
107,Arachides coques grillées - Walima - 500g,3760197943234,D,"['Walima', 'Tradco']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coque grillés', 'Cacahuètes', 'Cacahuètes grillées']",['France'],"['Ce produit peut contenir des traces de gluten', 'arachides', 'soja', 'fruits à coque', 'sésame', 'lupin', 'anhydride sulfureux et sulfites']",[],49.2 g,en quantité élevée,9.84 g,en quantité élevée,5.1 g,en quantité modérée,?,,609,+0%,2548 kj(609 kcal),+0%,"49,2",+1%,"9,84",+37%,"19,5",+61%,"5,1",-3%,"26,5",+2%,91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,500g,,0.01 g,en faible quantité,"0,01",-99%,"0,004",-99%,7,+17%,C,+17%,1,,['Sachet'],"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",['Gluten'],['Chine'],,,http://www.tradcofrance.fr,,
108,Raisins secs golden - Walima,3760197946556,D,['Walima'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Raisins secs']",['France'],[],[],0.4 g,en faible quantité,0.14 g,en faible quantité,63.6 g,en quantité élevée,?,,337,+7%,1410 kj(337 kcal),+7%,"0,4",-31%,"0,14",0%,"85,6",+18%,"63,6",+2%,"3,2",+13%,37.4%,55.6%,3.3%,1.3%,2.3%,0.0%,44,,,0.08 g,en faible quantité,"0,08",+48%,"0,032",+48%,8,+42%,C,+42%,,,,,,,,,,,
109,Harissa Berbère - Walima,3760197948208,C,['Walima'],"['Epicerie', 'Sauces', 'Harissas']",['France'],[],[],0.6 g,en faible quantité,0.1 g,en faible quantité,1.5 g,en faible quantité,?,,44,-58%,184 kj(44 kcal),-59%,"0,6",-86%,"0,1",-84%,"7,5",-17%,"1,5",-59%,"1,5",-40%,78.7%,9.3%,4.7%,4.8%,2.0%,0.5%,57,,,6.5 g,en quantité élevée,"6,5",+77%,"2,6",+77%,10,+18%,C,+18%,,,,,,,,,,,
110,Thon Entier à l'Huile de Tournesol - Grand Pêcheur - 400g / 260g égoutté,3760197948246,E,['Grand Pêcheur'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile de tournesol"", 'Thons entiers']",['France'],"['Thon', 'huile de tournesol', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",15 g,en quantité modérée,2 g,en quantité modérée,0.5 g,en faible quantité,?,,237,+44%,992 kj(237 kcal),+46%,15,+122%,2,+101%,"0,5",+419%,"0,5",+742%,25,-1%,66.2%,13.9%,12.9%,6.2%,0.4%,0.4%,22,400 g / 260 g égoutté,,1 g,en quantité modérée,1,-6%,"0,4",-6%,2,+53%,B,+53%,3,,"['Boite', 'Conserve', 'métal']",,['Poisson'],,,,,,
111,Le Joly Blanc! 2011 - Domaine Virgile Joly - 75cl,3760198020101,B,['Domaine Virgile Joly'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Vins blancs', 'Languedoc']",['France'],['Contient des sulfites'],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,75 cl,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'AOC', 'Déconseillé aux femmes enceintes']",,,,,,,,,,,3,vin blanc,"['Bouteille', 'Verre']",,['Anhydride sulfureux et sulfites'],"['France', 'Languedoc']",,['34 RECOLTANT 18'],,['France'],
112,Terrine de foie de volaille,3760198112011,,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de foie', 'Terrines de foie de volaille']",['France'],[],[],35 g,en quantité élevée,15.3 g,en quantité élevée,4.6 g,en faible quantité,?,,213,-30%,891 kj(213 kcal),-30%,35,+30%,"15,3",+47%,5,+236%,"4,6",+733%,"11,1",-20%,,,,,,,,,,1.5 g,en quantité modérée,"1,5",0%,"0,6",0%,19,+4%,E,+4%,,,,,,,,,,,
113,Limonade pur citron bio,3760198300203,,,,['France'],[],[],,,,,,,?,,35,,146 kj(35 kcal),,0,,0,,"8,5",,8,,0,,,,,,,,,,['Bio'],,,"0,01",,"0,004",,,,,,,,,,,,,,,,
114,Propolime,3760198300333,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Graines germées déshydratées qualité crue sarrasin,3760198300760,,,,['France'],[],[],,,,,,,?,,346,,1448 kj(346 kcal),,"2,47",,0,,"70,05",,"2,81",,"10,83",,,,,,,,,,,,,"0,006",,"0,002",,,,,,,,,,,,,,,,
116,SÉSAME NOIR - BIOCRU,3760198300791,,['BIOCRU'],,['France'],[],[],,,,,,,?,,571,,2389 kj(571 kcal),,"47,9",,"7,54",,"5,5",,"2,26",,"23,6",,,,,,,,,,['Bio'],,,"0,004",,"0,002",,,,,,,,,,,,,,,,
117,Pommes - Vieux Pointet - 4unités,3760198580124,B,['Vieux Pointet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes', 'Fruits frais', 'Pommes reinette', 'Pommes acides', 'Pommes Reinettes du Canada', 'Pommes fraîches']",['France'],['Pommes bio origine Chili'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,?,,?,,,,?,,,,?,,,,?,,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,4 unités,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'Agriculture Chili']",,,,,,,,,,,1,,"['Barquette', 'Carton', 'Film', 'Plastique']",,,['Chili'],,"['EMB 84054R', 'Isle-sur-la-Sorgue (Vaucluse, France)']",,,
