,name,bar_code,brand,traceability_code,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,packaging,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,origin_detail,producer_info,manufacturing,ingredients_origins,link,palm_ingredients,brand_owner
1119,Sucuk,4047187000535,,,,['France'],[],,,[],,?,375,1569 kj(375 kcal),30,"12,9","0,7","0,3","16,9","2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,Hohes C Naturelle Weißer Tee Pfirsich,4048517600814,['Hohes C'],,,['France'],[],,,[],,?,15,63 kj(15 kcal),"0,5",0,"3,3","2,8","3,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,Orange avec Pulpe - Hohes C,4048517631603,['Hohes C'],,,['France'],['Orangensaft aus Orangensaftkonzentrat'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,43,180 kj(43 kcal),"0,5","0,1","8,8","8,8","0,7",0,0,D,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits à base de concentré', ""Jus d'orange"", ""Jus d'orange à base de concentré""]",,0.5 g,en faible quantité,0.1 g,en faible quantité,8.8 g,en quantité élevée,0 g,en faible quantité,,0%,-1%,+163%,+203%,-9%,-3%,+12%,-100%,-100%,2,-33%,C,-33%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,
1122,Chardonnay - Blanc FOUSSY,4049366003498,['Blanc FOUSSY'],,['Magasins U'],['France'],"['blanc désafoolisé', 'moût concentré rectifié', 'MCR', ' dioxyde de carbone ', ' concervateur: Sobrate de potassium ', ' dioxyde de Soufre', ' dioxyde de soufre']","['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",,[],,?,28,117 kj(28 kcal),"0,5",0,"6,7",6,"0,5",0,0,,,['Bottle'],['Boissons'],,0.5 g,en faible quantité,0 g,en faible quantité,6 g,en quantité modérée,0 g,en faible quantité,,-50%,-51%,+44%,-100%,-41%,-36%,+1%,-100%,-100%,8,+4%,D,+4%,,,,,,,,,,,,,,,
1123,Creme frischli - 200g,40455303,['Frischli'],,,"['France', 'Allemagne']",[],,,[],,?,248,1038 kj(248 kcal),24,16,"5,2","3,5","2,8","0,1","0,04",,200g,['Produkt'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,Krüger Family Cappuccino Classico Im Nachfüllbeutel 500 G,4052700069753,['Krüger'],,,['France'],[],,,[],,?,64,268 kj(64 kcal),1,"0,9","12,2",12,"1,3","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,Clausthaler alkoholfrei extra herb - Binding - 500ml,4053400003504,['Binding'],,,"['France', 'Allemagne']","['Eau', 'malt d’orge', 'extrait de houblon', 'acide carbonique']",['E290 - Dioxyde de carbone'],['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,85,20,85 kj(20 kcal),0,0,"4,3",0,"2,2",0,0,B,500 ml,"['72 GL', '40 FE']","['Boissons', 'Boissons sans alcool', 'Bières sans alcool']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-31%,-31%,-29%,-100%,-100%,-33%,-100%,+753%,-100%,-100%,2,-74%,C,-74%,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,['Deutschland'],['Allemagne'],https://www.clausthaler.de/produktuebersicht/#Clausthaler_extraherb,,
1126,Bonbon Ingwer - Wiedenbauer - 75g,4054411260504,['Wiedenbauer'],,['Dm'],"['France', 'Allemagne']","['sirop de glucose*', 'sucre*', 'acidifiant acide citrique', ""arôme de gingembre naturel avec d'autres arômes naturels"", 'arôme naturel', ""gingembre moulu* \r *issus de l'agriculture biologique""]",['E330 - Acide citrique'],,"['Végétalien', 'Végétarien']",4,1640,386,1640 kj(386 kcal),"0,1","0,1",96,70,"0,1","0,1","0,04",D,75 g,"['Tüte', '05 PP']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']","['Bio', 'Végétarien', 'Bio européen', 'Agriculture non UE', 'Végétalien', 'DE-ÖKO-001']",0.1 g,en faible quantité,0.1 g,en faible quantité,70 g,en quantité élevée,0.1 g,en faible quantité,+6%,+8%,+9%,-95%,-91%,+15%,+21%,-95%,-17%,-17%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,['Deutschland'],,https://www.wiedenbauer.com/de/unsere-produkte/bio-bonbons.html,,
1127,Biophar Honig - Waldhonig Flüssig,4055500011137,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,Bio Kokosöl - Meracus,4057824605153,['Meracus'],,,"['France', 'Espagne']",[],,,[],,?,900,3766 kj(900 kcal),100,"94,2",0,0,0,0,0,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de coco']",['Bio'],100 g,en quantité élevée,94.2 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,+5%,+3%,+11%,-100%,-100%,-100%,-100%,-100%,20,+3%,E,+3%,,,,,,,,,,,,,,,
