,name,bar_code,brand,traceability_code,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,packaging,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,origin_detail,producer_info,manufacturing,ingredients_origins,link,palm_ingredients,brand_owner
57,Tornades paprika - TokapiMarque Repère,3564700844007,['TokapiMarque Repère'],,['Leclerc'],['France'],[],,,[],,?,471,1971 kj(471 kcal),23,"2,3",60,"4,4","4,8","2,1","0,84",,,,"['Snacks', 'en:Apéritif', 'en:Biscuits apéritif soufflés au paprika', 'en:Biscuits apéritifs', 'en:Biscuits apéritifs soufflés', 'en:Biscuits apéritifs soufflés à base de maïs', 'en:Snacks salés']",,23 g,en quantité élevée,2.3 g,en quantité modérée,4.4 g,en faible quantité,2.1 g,en quantité élevée,,-4%,-4%,-4%,-78%,+10%,+30%,-47%,+8%,+8%,13,-31%,D,-31%,,,,,,,,,,,,,,,
58,"Fraises Gariguette Du Lot & Gne, Nos Régions Ont Du Talent 250g",3564709020730,"['Nos Régions ont du Talent', 'Leclerc']",,['Leclerc'],['France'],[],,,[],,?,35,146 kj(35 kcal),"0,3","0,02","7,02","5,08","0,65",0,0,B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits rouges', 'Fruits frais', 'Fraises', 'Fraises fraîches']",,0.3 g,en faible quantité,0.02 g,en faible quantité,5.08 g,en quantité modérée,0 g,en faible quantité,,+59%,+55%,-35%,-65%,+27%,+102%,+11%,-100%,-100%,-4,,A,,94.3%,0.0%,0.0%,3.0%,2.5%,0.1%,60,,,,,"['France', 'Lot-et-Garonne']",,,
59,Pomelo de Corse - Nos Régions ont du Talent - 2,3564709030326,"['Nos Régions ont du Talent', 'Leclerc']",,['Leclerc'],['France'],"['Pomelo rouge', 'variété star ruby', 'catégorie 1', 'calibre 2 ', '100/119 mm']",,,[],,?,32,134 kj(32 kcal),"0,1","0,1","6,2","6,2","0,8","0,01","0,004",,2,"['sachet plastique', 'barquette carton']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Agrumes', 'Pomélos', 'Pomélos frais']","['Catégorie I', 'IGP']",0.1 g,en faible quantité,0.1 g,en faible quantité,6.2 g,en quantité modérée,0.01 g,en faible quantité,,-9%,-9%,-51%,+219%,-19%,-6%,+22%,+8%,+8%,-5,,A,,,,,,,,,,,,"['France', 'Corse']","['France', 'Corse']",,,
60,Huile d'olive de Provence - Nos Régions ont du Talent,3564709176277,"['Nos Régions ont du Talent', 'Leclerc']",,['Leclerc'],['France'],[],,,[],,?,900,3766 kj(900 kcal),100,15,0,0,0,0,0,D,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive de France"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", ""Huile d'olive de Provence""]",['AOC'],100 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+3%,+3%,+3%,+6%,,,,-100%,-100%,6,0%,C,0%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,
61,Véritable Guimauve Framboise - Maison Taillefer - 75g,3564884007182,['Maison Taillefer'],,,['France'],"['Sucres', 'eau', ""blancs d'oeuf"", 'édulcorant : E420', 'gélatine', 'crunchies de framboise ', 'framboise ', 'extrait sec 33 %', 'saccharose', 'amidon de maïs', 'arôme naturel de framboise', 'acidifiant : E330', 'colorants : jus concentré de betterave - E120', 'anti-agglomérant : amidon de maïs', "" Contient de l'anhydride sulfureux et des sulfites""]","['E420 - Sorbitol', 'E428 - Gélatine', 'E330 - Acide citrique', 'E120 - Acide carminique']","['Œufs', 'Anhydride sulfureux et sulfites']","['Non végétalien', 'Non végétarien']",4,?,?,,?,,?,,?,,,B,75 g,"['Boite en plastique', 'Pot en plastique']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Guimauves']",,,,,,,,,,,,,,,,,,,,,,,,60.5%,21.9%,10.2%,5.2%,2.3%,0.0%,89,Guimauve aromatisée,,,,"['France', 'Agen']",http://www.maisontaillefer.fr/confis-erie/177-veritable-guimauve-framboise-pot-75g-3564884012018.html,,
62,Chocolat Lait Speculoos Cornet 150G - Maison Taillefer,3564884007960,['Maison Taillefer'],,,['France'],"['CHOÇOLAT AU LAIT 65% ', 'sucre', 'beurre de cacao', 'poudre de lait entier', 'pâte de cacao', 'émulsifiant : lécithine de soja', ' ', ' FOURRAGE AU SPECULOOS 31% ', 'sucre', 'huile de colza', 'farine de blé ', 'gluten', 'sirop de candi', 'beurre ', 'lait', ' concentré', 'beurre de cacao', 'poudre de lait entier', 'huile de colza hydrogénée', ': lécithine de tournesol - É472c', 'acidifiant : acide citrique', 'poudre à lever: carbonate acide de sodium', 'sel', 'cannelle', 'poudre de lait écrémé', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', ' ', ' BRISURES DE SPECULOOS 4% ', 'farine de blé ', 'gluten', 'sucre', 'huile de colza', ' sirop de candi', 'beurre ', 'lait', ' concentré', 'poudre à lever : carbonate acide de sodium', 'sel', 'cannelle', ' Chocolat au lait : cacao : 34% minimum', ' Chocolat pur beurre de cacao', ' Traces de fruits à coque', ' émulsifiants']","['E322i - Lécithine', ""E472c - Ester citrique des mono et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E500ii - Carbonate acide de sodium']","['Gluten', 'Lait', 'Aucun']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,?,406,1699 kj(406 kcal),"25,9","3,2",50,"37,8","4,3","0,25","0,1",,,,,['Sans huile de palme'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Pur jus pomme - Argel,3565270008530,['Argel'],,,['France'],[],,,[],,?,45,188 kj(45 kcal),0,0,"11,5","9,5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Capres a L'huile Olive - Bellenature,3565280003075,['Bellenature'],,,['France'],[],,,[],,?,367,1536 kj(367 kcal),37,"5,2",0,0,"1,4","3,05","1,22",,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Chips a la crevette - Maison Guy Mottard - 75g,3565308090001,['Maison Guy Mottard'],,,['France'],"['Fécule de manioc 44%', 'Huile de Tournesol', 'chair de CREVETTE ', '16,5%', 'sucre', 'sel', 'ail', 'acidifiant : acide citrique', 'poudre à lever : carbonate acide de sodium']","['E330 - Acide citrique', 'E500ii - Carbonate acide de sodium']",['Crustacés'],[],3,?,532,2226 kj(532 kcal),31,3,61,"7,2","2,1","1,9","0,76",C,75 g,['Plastique'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de manioc', 'Chips de manioc à la crevette']",,31 g,en quantité élevée,3 g,en quantité modérée,7.2 g,en quantité modérée,1.9 g,en quantité élevée,,+6%,+7%,+22%,+28%,-5%,-7%,+24%,-4%,-4%,16,-3%,D,-3%,65.0%,16.6%,5.2%,10.9%,2.4%,0.0%,61,,,,,,,,
66,Pâtes - Pâtes Fabre - 250g,3565490001687,['Pâtes Fabre'],,,['France'],['Semoule de blé dur complète de qualité supérieure'],,,[],,?,327,1368 kj(327 kcal),"2,4","0,5","62,6","2,5","12,6","0,01","0,004",C,250 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Tagliatelles']",,2.4 g,en faible quantité,0.5 g,en faible quantité,2.5 g,en faible quantité,0.01 g,en faible quantité,,+3%,+3%,+2%,-17%,+4%,+24%,+15%,-92%,-92%,-6,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,,,,,,
67,Confiture baies d'Argousier - Les Délices de Coline,3565701345142,['Les Délices de Coline'],,,['France'],"[""Baies d'Argousier biologique"", 'Sucre', ' Taux en sucre 63%', 'préparé avec 50g de fruit pour 100g']",,,[],,?,257,1075 kj(257 kcal),"0,3","0,3",62,61,"0,25","0,05","0,02",D,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'argousiers""]",,0.3 g,en faible quantité,0.3 g,en faible quantité,61 g,en quantité élevée,0.05 g,en faible quantité,,+16%,+16%,+15%,+504%,+16%,+19%,-52%,+116%,+116%,12,+29%,D,+29%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,
68,Taramalg - Marinoë - 130,3565840211131,['Marinoë'],,,['France'],"['Huile de colza désodorisée*', 'eau', '10% algue dulse*', 'jus de citron*', 'graines de tournesol*', 'chapelure de riz* ', 'farine de riz* ', 'eau', 'sel', 'arôme naturel* ', 'sel marin', 'acidifiant naturel : acide lactique', 'épaississants : gomme de guar*', 'gomme de xanthane', 'betterave* ', ""* Issus de l'agriculture biologique""]","['E270 - Acide lactique', 'E412 - Gomme de guar', 'E415 - Gomme xanthane']",,[],4,?,356,1490 kj(356 kcal),33,"2,5","9,8","0,9","5,7","1,375","0,55",,130,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Kombu Royal - Marinoë - 20g,3565840401204,['Marinoë'],,,['France'],"['algue marine* ', 'Saccharina latissima', "" *Issue de l'agriculture biologique""]",,,"['Végétalien', 'Végétarien']",,851,204,851 kj(204 kcal),"1,1","< 0,3",24,"< 0,5",10,"9,2","3,68",,20 g,['Sachet'],,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'FR-BIO-01', 'en:The Vegan Society']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Crème de Marron Vanillée - Sanofruit - 320g,3566140020140,['Sanofruit'],,['Biocoop'],['France'],"['Châtaignes 50%', 'sucre de canne blond', 'eau', 'arôme naturel de vanille']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,?,290,1213 kj(290 kcal),"1,18","0,23","67,21","52,97","0,36",0,0,B,320 g,['Verre'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Crèmes de marrons']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",1.18 g,en faible quantité,0.23 g,en faible quantité,53 g,en quantité élevée,0 g,en faible quantité,,+16%,+16%,+57%,+59%,+12%,+6%,-67%,-100%,-100%,12,+4%,D,+4%,66.1%,22.5%,5.7%,3.0%,2.6%,0.0%,66,,,,,['UE / Non UE'],,,
71,Robin le lapin - Réauté - 150g,3566400000004,['Réauté'],,['Réauté'],['France'],"['Sucre', 'beurre de cacao', 'poudre de lait entier', 'pâte de cacao', 'beurre pâtissier', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille']",['E322i - Lécithine'],"['Lait', 'Soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Végétarien']",4,?,562,2351 kj(562 kcal),"36,2","22,7","50,7","49,6","6,8","0,2","0,08",E,150 g,"['Sachet', 'Plastique']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Chocolats au lait', 'Aliments de Pâques', 'Lapins en chocolat', 'Chocolats au lait extra fin']","['Point Vert', 'Fabriqué en France']",36.2 g,en quantité élevée,22.7 g,en quantité élevée,49.6 g,en quantité élevée,0.2 g,en faible quantité,,+2%,+3%,+8%,+14%,-6%,-5%,+1%,-8%,-8%,27,+4%,E,+4%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,Moulage de chocolat au lait et fritures de chocolat.,,,['France'],,,,
72,Tarte aux fruits -,3567741001750,,,,['France'],[],,,[],,?,251,1050 kj(251 kcal),11,"7,7",36,17,"3,5","0,21","0,084",C,,,"['Tartes', 'Tartes sucrées', 'Tartelettes', 'Biscuit sec nappé aux fruits']",,11 g,en quantité modérée,7.7 g,en quantité élevée,17 g,en quantité élevée,0.21 g,en faible quantité,,-25%,-26%,-18%,+2%,-26%,-39%,-19%,-20%,-20%,13,-20%,D,-20%,81.3%,10.4%,3.5%,2.6%,2.1%,0.0%,56,,,,,,,,
73,Poelée Provençale,3570250003702,,,,['France'],[],,,[],,?,33,138 kj(33 kcal),"0,2",0,"5,8","4,5","1,2","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,ANANAS MORCEAU 250G - 250g,3570250009131,,,,['France'],[],,,[],,?,50,209 kj(50 kcal),"0,2","0,1",11,10,10,0,0,,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,L’aperitif gourmet provençal Croquets - Biscuiterie de Provence - 150g,3571371987650,['Biscuiterie de Provence'],,,['France'],"['Farine de blé', 'lait', 'olives noires de Nyons AOP 11%', 'olives noires du bassin méditerranéen', 'œufs', 'amandes', 'farine de petit épeautre du Mont Ventoux', 'sucre', 'poudre à lever naturelle ', 'amidon de blé', 'bicarbonate de sodium', 'tartrate monopotassique', 'sel', '\rFarine de blé', 'tomates de Provence 27% ', 'œufs', 'lait', 'amandes', 'farine de petit épeautre du Mont Ventoux', 'sucre', 'parmesan AOP', 'huile d’olive vierge extra', 'sel', 'oignons', 'olives noires', 'vinaigre balsamique de Modène IGP', 'ail', 'piment d’Espelette AOP 0,2%', 'coriandre', 'romarin', 'thym', 'poivre', 'poudre à lever naturelle ', 'amidon de blé', 'bicarbonate de sodium', 'tartrate monopotassique', '\rFarine de blé', 'lait', 'basilic de Provence 17%', 'pistou 14% ', 'Basilic de Provence 46%', 'huile de tournesol', ""huile d'olive"", 'ail', 'parmesan AOP 2%', 'pignons de pin', 'sel', 'jus de citron', 'poivre', 'oeuf', 'amandes', 'parmesan AOP 9%', 'farine de petit épeautre du Mont Ventoux', 'sucre', 'sel', 'ail', 'poivre', 'poudre à lever naturelle ', 'amidon de blé', 'bicarbonate de sodium', 'tartrate monopotassique']","['E500ii - Carbonate acide de sodium', 'E336i - Tartrate monopotassique']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",['Non végétalien'],3,?,429,1795 kj(429 kcal),10,"1,3",69,"9,6",13,"3,2","1,28",B,150 g,"['Sachet', 'Plastique', 'Carton', 'boîte', 'Etui en carton']","['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Croquets']","['Point Vert', 'Fabriqué en France', 'Triman']",10 g,en quantité modérée,1.3 g,en faible quantité,9.6 g,en quantité modérée,3.2 g,en quantité élevée,,+5%,+6%,-20%,+9%,+10%,-58%,+48%,+139%,+139%,13,+5%,D,+5%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,['France'],"['France', 'Italie', 'Hors France']",,,
76,Farine T110 Bio - Moulin pichard,3572520000053,['Moulin pichard'],,,['France'],[],,,[],,?,356,1490 kj(356 kcal),"1,5","0,5",73,"2,3",12,0,0,,,['Papier'],,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Glace Fraise Jampi 550ML - 550ml/360g,3574100075154,['Jampi'],,,['France'],"['Purée de fraise 66% ', 'fraise 85%', 'sirop de sucre inverti 15%', 'sucre de canne', 'eau purifiée par osmose', 'glucose', 'stabilisant ', 'pectine', 'farine de caroube', 'farine de guar', 'saccharose', 'protéines de pois']","['E440 - Pectines', 'E410 - Gomme de caroube', 'E412 - Gomme de guar']",,[],4,?,128,536 kj(128 kcal),"0,1",0,"27,5",24,"0,3",0,0,C,550 ml/360 g,,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets à la fraise']",,0.1 g,en faible quantité,0 g,en faible quantité,24 g,en quantité élevée,0 g,en faible quantité,,+9%,+10%,-57%,-100%,+1%,+3%,-29%,-100%,-100%,5,+1%,C,+1%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,,,,,,,,
78,Glace Passion Jampi 550ML - 360g - 550ml,3574100075185,['Jampi'],,"['Leclerc', 'E.Leclerc', 'Intermarché', 'Jampi Glacier', 'Boutique Léonidas']",['France'],"['Eau purifiée par osmose', 'purée de passion 33%', 'sucre de canne', 'dextrose', 'stabilisant ', 'farine de caroube et guar', 'dextrose', 'E464']","['E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E464 - Hydroxypropylméthylcellulose']",,[],4,?,139,582 kj(139 kcal),"0,1",0,32,32,"0,8",0,0,C,360 g - 550 ml,"['Bac', 'Plastique', 'Surgelé']","['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Produits artisanaux', 'Sorbets', 'Sorbets au fruit de la passion']",,0.1 g,en faible quantité,0 g,en faible quantité,32 g,en quantité élevée,0 g,en faible quantité,,+14%,+13%,-60%,-100%,+5%,+23%,+29%,-100%,-100%,8,+40%,C,+40%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,,,,"['Jampi Glacier', 'Hameaux de Kerguillo', '29820', 'Bohars']",,http://www.jampiglacier.com/les-glaces-jampi/,,
79,fraise bio - Parole Gourmande - 370g,3574311741442,['Parole Gourmande'],,,['France'],[],,,[],,?,237,992 kj(237 kcal),"0,1","0,02","57,4",57,"0,4","0,02","0,008",C,370 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-09']",0.1 g,en faible quantité,0.02 g,en faible quantité,57 g,en quantité élevée,0.02 g,en faible quantité,,+9%,+9%,-59%,-56%,+8%,+12%,-10%,-12%,-12%,7,-20%,C,-20%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,
80,Neufchâtel - Dany Leveque,3575450002005,"['Dany Leveque', 'Ferme Leveque']","['FR 76.052.003 CE', 'Bailleul-Neuville (Seine-Maritime, France)']",,['France'],"['Lait cru', 'ferments lactiques penicillium', 'présure']",,['Lait'],['Non végétalien'],3,?,288,1205 kj(288 kcal),"23,9",20,"0,4","0,2","18,8","1,87","0,748",D,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Neufchâtel']",['AOP'],23.9 g,en quantité élevée,20 g,en quantité élevée,0.2 g,en faible quantité,1.87 g,en quantité élevée,,-1%,-1%,-2%,+20%,-38%,-54%,+1%,+4%,+4%,16,+7%,D,+7%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,
81,Marlin fumé des Antilles - Cap Créole - 100g,3575650001006,['Cap Créole'],"['FR 97.106.002 CE', 'Bouillante (Guadeloupe, France)']",,['France'],"['Espadon', 'sel', 'sucre', 'épices']",,,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,?,?,,?,,?,,?,,,D,100 g,['Plastique'],"['Produits de la mer', 'Poissons', 'Poissons fumés', 'Espadon', 'Espadons fumés']",['Fumé au feu de bois'],,,,,,,,,,,,,,,,,,,,,,,86.6%,0.0%,2.5%,9.2%,1.3%,0.3%,42,Espadon fumé,,,,['Antilles'],,,
82,Ossau Iraty - Agour,3575883000760,['Agour'],,,['France'],"[""Fromage à Rtd À conse e 40C et eep's milk Fat in tow ht: za*tpa rize Francs EPREFRIGERATED /,Qupsoc do deleèhè asfeurizada de oveja ? Vtotal"", 'Oar ente4àbC y 80C', ' /Ardi esnea D àtuz egin gi beiratu']",,,[],,?,422,1766 kj(422 kcal),35,25,"1,7","0,5",25,"1,6","0,64",E,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Fromages de brebis', 'Ossau-Iraty']",['AOP'],35 g,en quantité élevée,25 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,,0%,+0%,-3%,+1%,+81%,+71%,+6%,-10%,-10%,17,-3%,D,-3%,89.1%,5.2%,2.2%,2.3%,1.0%,0.3%,34,,,,,,,,
83,Crêpes de froment - Creperie Menez Du,3576051100015,['Creperie Menez Du'],,,['France'],"['56110GOUm-TéLl Ingédients : Farine* de froment ', 'blé', ' 27 %', 'de blé noir', 'Iah*', '*Contient des allergènes']",,['Gluten'],[],,?,207,866 kj(207 kcal),"3,8","1,5","36,2","13,3","6,3","0,25","0,1",B,,,"['Crêpes et galettes', 'Crêpes', 'Crêpes de froment']",,3.8 g,en quantité modérée,1.5 g,en quantité modérée,13.3 g,en quantité élevée,0.25 g,en faible quantité,,-29%,-29%,-51%,-48%,-23%,-35%,-18%,-68%,-68%,2,-81%,B,-81%,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,,,,,,,,
84,Moules farcies à la persillade - Française de gastronomie restauration - 250g,3576280251502,['Française de gastronomie restauration'],,,['France'],"['Chair de moules ', 'mollusque', ' 55%', 'beurre ', 'lait', ' 31,6%', ' persil 5,1', 'ail 44lh', 'vin blanc', 'chapelure ', 'farine de blé', 'levure', 'échalote', 'sel', 'épices', ' Les informations en gras sont destinées aux personnes intolérantes et/ou allergiques']",,"['Gluten', 'Lait', 'Mollusques']","['Non végétalien', 'Non végétarien']",3,?,302,1264 kj(302 kcal),"27,5",19,"4,9","1,5","8,2","1,2","0,48",C,250g,"['surgelé', 'Sachet', 'Plastique']","['Produits de la mer', 'Mollusques', 'Moules', 'Moules farcies']",,27.5 g,en quantité élevée,19 g,en quantité élevée,1.5 g,en faible quantité,1.2 g,en quantité modérée,,+100%,+101%,+231%,+1118%,+28%,+349%,-43%,+1%,+1%,18,+457%,D,+457%,67.3%,17.7%,4.3%,6.5%,2.4%,1.7%,67,,,,,,,,
85,Escargots De Bourgogne - Française de Gastronomie,3576285655015,['Française de Gastronomie'],"['EMB 67447', 'Schiltigheim (Bas-Rhin, France)']",['Magasins U'],['France'],[],,,[],,?,79,331 kj(79 kcal),"1,6","0,5","1,1","0,5",15,1,"0,4",C,,['boîte'],"['Viandes', 'Escargots', 'Escargots de Bourgogne']",,1.6 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,1 g,en quantité modérée,,-69%,-69%,-92%,-96%,-53%,-27%,+35%,-16%,-16%,-1,-108%,A,-108%,65.7%,14.4%,4.7%,3.9%,2.4%,9.0%,66,,,,,,,,
86,Sojami Curcuma - 125g,3576560150006,['Sojami'],"['EMB 47091K', 'Estillac (Lot-et-Garonne, France)']","['Biocoop', 'Biomonde', 'So Bio']",['France'],"['Soja* lactofermenté 91% ', 'eau filtrée', 'soja* dépelliculé', 'ferments sélectionnés', ""huile d'olive* 1ère pression à froid"", 'huile de colza* 1ère pression à froid', 'sel non raffiné', 'curcuma* 0,6%', 'oignon*', 'poivre*', ""\r*issu de l'agriculture biologique""]",,['Soja'],"['Végétalien', 'Végétarien']",3,708,171,708 kj(171 kcal),13,"2,1","1,7",0,12,,,,125g,['Frais Carton Plastique Pot'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Produits à tartiner', 'Graines de légumineuses', 'Produits à tartiner salés', 'Soja']","['Bio', 'Végétarien', 'Bio européen', 'Sans gluten', 'Végétalien', '100% végétal', 'FR-BIO-01', 'Riche en protéines', 'Fabriqué en France', 'Sans OGM', 'Riche en protéines végétales', 'Soja Français', 'Soja Français sans OGM']",13 g,en quantité modérée,2.1 g,en quantité modérée,0 g,en faible quantité,,,-22%,-11%,-15%,+38%,+27%,-78%,-100%,-18%,,,,,,,,,,,,,,"Spécialité à tartiner à base de soja lactofermenté, saveur Curcuma.",,,"['AGEN', 'FRANCE']","['France', 'Union Européenne et Non Union Européenne']",https://www.lesojami.com/produit-tartiner-aperitif-curcuma,,
87,Pizza Royale 140G - Laborie - 140g,3577371900088,['Laborie'],,,['France'],"['Farine de blé T65*', 'eau', 'levure naturelle', 'sel marin raffiné', 'huile de tournesol désodorisée*', '\rGarniture : coulis de tomate*', 'champignons* ', '14%', 'fromage ', 'emmental', '*', 'persil*', 'ail*', 'basilic*', ""huile d'olives 1ère pression à froid*"", 'olives noires*', 'herbes de Provence*', 'sel marin non raffiné']",,['Lait'],['Non végétalien'],3,?,249,1042 kj(249 kcal),"8,1","4,7","32,4","2,2","11,6","1,4","0,56",B,140 g,,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas royales']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",8.1 g,en quantité modérée,4.7 g,en quantité modérée,2.2 g,en faible quantité,1.4 g,en quantité modérée,,+21%,+21%,+19%,+55%,+27%,-28%,+22%,+15%,+15%,13,+191%,D,+191%,60.0%,15.9%,6.3%,5.5%,2.6%,9.8%,70,,,,,,,,
88,Chiquetaille de morue - Ti Delice,3577721100069,['Ti Delice'],,,['France'],"['Morue ', '24%', 'poisson salé ', 'Colin : Therragra chalcogramma', 'min 20 %', 'carotte', 'eau', 'huile de tournesol', 'oignon', 'vinaigre', 'amidon transformé', 'piment fort ', '0,59%', 'ail']",['E14XX - Amidons modifiés'],['Poisson'],"['Non végétalien', 'Non végétarien']",4,?,141.79,593 kj(141 kcal),"8,73","0,95","4,02","1,27","11,3","3,09","1,236",,,,"['Produits de la mer', 'Poissons', 'Plats préparés', 'Préparations de poisson', 'Plats préparés au poisson']",,8.73 g,en quantité modérée,0.95 g,en faible quantité,1.27 g,en faible quantité,3.09 g,en quantité élevée,,-27%,-26%,-27%,-69%,-50%,-15%,-4%,+162%,+162%,11,+80%,D,+80%,,,,,,,,,,,,,,,
89,Brebis cerises noires - Kayola,3578840003149,['Kayola'],,,['France'],"['oz y3AY3SNOD V - SNvs signa édients : lait de brebis pasteurisé ', 'origine France', 'confiture de cerises noires ', 'cerises,']",,,['Non végétalien'],,?,129,540 kj(129 kcal),"5,4","4,1","15,6","12,9","4,6","0,1","0,04",,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Miel de fleurs,3579720110001,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
