,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,manufacturing,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,generic_name,ingredients_origins,nova_score,sugar_quantity,sugar_comment,nutriment_sugars_tr_diff,saturated_acids_quantity,saturated_acids_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,nutriment_saturated-fat_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,allergens,additives,palm_ingredients,link
592,Oeufs au chocolat au lait Infinimix pour garçons - Ferrero,3017620737770,,,,['Ferrero'],"['Aliments de Pâques', 'Œufs de Pâques']",,,,,['France'],[],[],34.2 g,en quantité élevée,?,,552,+0%,2310 kj(552 kcal),+0%,"34,2",+1%,"52,3",-3%,"8,1",+22%,,,,,,,,"22,6","52,1","0,3","0,12",,,,52.1 g,en quantité élevée,0%,22.6 g,en quantité élevée,0.3 g,en quantité modérée,27,E,+12%,+49%,+49%,+3%,+3%,,,,
593,Kinder schokobons t345 boite de 345 pieces - 2001g,3017620770036,E,2001 g,,"['Kinder', 'Ferrero']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Bonbons']",,,,,['France'],"['Chocolat supérieur au LAIT 50% ', 'sucre', 'LAIT en poudre', 'beurre de cacao', 'pâte de cacao', 'émulsifiants: lécithines [SOJA]', 'arômes', 'sucre', 'LAIT écrémé en poudre', 'huile de palme', 'NOISETTES 5,8%', 'BEURRE concentré', 'chocolat noir ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiants : lécithines [SOJA]', 'arômes', ""agents d'enrobage "", 'gomme arabique', 'shellac', 'sirop de glucose', 'émulsifiants: lécithines [SOJA]', 'arômes']","['Huile de palme', 'Non végétalien', 'Non végétarien']",36.6 g,en quantité élevée,2401,+8%,576,+9%,2401 kj(576 kcal),+9%,"36,6",+14%,"52,5",+0%,"8,3",+41%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,"21,2","52,2","0,28","0,112",KINDER SCHOKOBONS : Bonbons de chocolat supérieur au lait fourrés lait et noisettes,,4,52.2 g,en quantité élevée,+10%,21.2 g,en quantité élevée,0.28 g,en faible quantité,28,E,+22%,+83%,+83%,+15%,+15%,"['Lait', 'Fruits à coque', 'Soja']","['E322i - Lécithine', ""E414 - Gomme d'acacia"", 'E904 - Gomme-laque']",['Huile de palme'],
594,Duplo x14 - Ferrero,3017622817005,,,,"['Ferrero', 'Duplo']",,,,,,['France'],"['Chocolat au lait 31,5% ', 'sucre', 'beurre de cacao', 'pâte de cacao', 'lait écrémé en poudre', 'beurre concentré', 'émulsifiants: lécithines [soja]', 'vanilline', 'sucre', 'noisettes 17%', 'huile de palme', 'farine de froment', 'lactoserum en poudre', 'lait écrémé en poudre', 'chocolat noir ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiants: lécithines [soja]', 'vanilline', 'cacao maigre', 'émulsifiants: lécithines [soja]', 'poudres à lever ', 'carbonate acide de sodium', ""carbonate d'ammonium"", 'sel', 'vanilline']","['Huile de palme', 'Non végétalien']",,,2469,,?,,2469 kj(590 kcal),,"39,3",,"50,9",,"7,4",,,,,,,,,"16,1","41,9","0,229","0,092",,,4,,,,,,,,,,,,,,,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']","['E322i - Lécithine', 'E500ii - Carbonate acide de sodium', ""E503i - Carbonate d'ammonium""]",['Huile de palme'],
595,Kinder Bueno - 24*21.5g - 516g,3017626998106,C,24*21.5 g - 516 g,"['Plastique', 'Sachets fraicheurs']","['Kinder', 'Kinder Bueno', 'Ferrero']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Biscuits et gâteaux', 'Confiseries chocolatées', 'Biscuits', 'Gaufrettes', 'Barres chocolatées', 'Gaufrettes fourrées', 'Barres chocolatées biscuitées aux noisettes']",,,,,['France'],"['Chocolat au LAIT 31,5% ', 'sucre', 'beurre de cacao', 'pâte de cacao', 'LAIT écrémé en poudre', 'BEURRE concentré', 'émulsifiants: lécithines ', 'SOJA', 'vanilline', 'sucre', 'huile de palme', 'farine de FROMENT', 'NOISETTES broyées 10,8%', 'LAIT écrémé en poudre', 'LAIT en poudre', 'chocolat noir ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiants: lécithines ', 'SOJA', 'vanilline', 'cacao maigre', 'émulsifiants: lécithines ', 'SOJA', 'poudres à lever ', 'carbonate acide de sodium', ""carbonate acide d'ammonium"", 'sel', 'vanilline / Sur le total : produits laitiers 19,5% ', 'lait écrémé en poudre', 'lait en poudre: 18,4%', 'beurre concentré 1', '1%', ' / Le chocolat utilisé est un chocolat pur beurre de cacao']","['Huile de palme', 'Non végétalien']",37.3 g,en quantité élevée,?,,572,+0%,2393 kj(572 kcal),+1%,"37,3",+1%,"49,5",-1%,"8,6",-1%,76.6%,12.3%,5.4%,2.8%,2.9%,0.0%,70,"17,3","41,2","0,272","0,109",,,4,41.2 g,en quantité élevée,-1%,17.3 g,en quantité élevée,0.272 g,en faible quantité,27,E,-1%,-7%,-7%,+1%,+1%,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']","['E322 - Lécithines', 'E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium""]",['Huile de palme'],
596,Chocolat supérieur au lait avec fourrage au lait - Ferrero - 400g,3017627132509,E,400 g,"['Plastique', 'Carton']","['Ferrero', 'Kinder']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres de céréales', 'Barres chocolatées', 'Barres de céréales au chocolat', 'Barres chocolatées au lait']",,,,['LIDL'],['France'],"['Chocolat supérieur au LAIT 40% ', 'sucre', 'LAIT en poudre', 'beurre de cacao', 'pâte de cacao', 'émulsifiants : lécithine [SOJA]', 'vanilline', 'sucre', 'LAIT écrémé en poudre', 'huile de palme', 'BEURRE concentré', 'émulsifiants : lécithines [SOJA]', 'vanilline']","['Huile de palme', 'Non végétalien']",35 g,en quantité élevée,2360,+6%,566,+8%,2360 kj(566 kcal),+7%,35,+6%,"53,5",+7%,"8,7",+16%,83.0%,11.4%,2.3%,2.6%,0.7%,0.0%,43,"22,6","53,3","0,313","0,125",Chocolat supérieur au lait avec fourrage au lait,,4,53.3 g,en quantité élevée,+12%,22.6 g,en quantité élevée,0.313 g,en quantité modérée,28,E,+11%,+14%,+14%,+8%,+8%,"['Lait', 'Soja']",['E322i - Lécithine'],['Huile de palme'],
597,kinder - 182g,3017627454809,,182 g,"['Carton', 'Plastique']","['Kinder', 'Ferrero']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Aliments et boissons de Noël', 'Bonbons de chocolat', 'Chocolats', ""Calendriers de l'avent""]",['Eco Emballages'],"['Belgique', 'Ferrero Arlon', 'Allemagne', 'Pologne']",,['Cora'],"['Belgique', 'France', 'Suisse']","['Chocolat supérieure au lait 47% ', 'sucre', 'lait en poudre', 'beurre de cacao', 'pâte de cacao', 'émulsifiants : lécithines [soja]', 'vanilline', 'lait écrémé en poudre', 'sucre', 'graisses végétales ', 'palme', 'karité', 'beurre concentré', 'émulsifiants : lécithines [soja]', 'vanilline']","['Huile de palme', 'Non végétalien']",34.5 g,en quantité élevée,2323,+4%,?,,2323 kj(555 kcal),+8%,"34,5",+18%,"52,3",-7%,"8,7",+46%,,,,,,,,"22,8","52,1","0,323","0,129",Chocolats,,4,52.1 g,en quantité élevée,+1%,22.8 g,en quantité élevée,0.323 g,en quantité modérée,27,E,+30%,+68%,+68%,+8%,+8%,"['Lait', 'Soja']",['E322 - Lécithines'],,
598,Ferrero,3017644422003,,,,['Ferrero'],,,,,,['France'],[],[],,,?,,?,,,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,2X200G 24 Veritable Petit Beurre Lu,3017760000192,,,,['Lu'],,,,,,['France'],"['farine de blé 73,5%', 'sucre', 'beurre 13,6%,lait écrémé en poudre 1,3% ', 'équivalent Lait écrémé 13%', ',sel,poudre à lever ', 'carbonate acide de sodium', ""carbonate acide d'ammonium"", "",correcteur d'acidité "", 'acide citrique', 'sucre glace ', 'sucre', 'amidon de maïs']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,?,,435,,1820 kj(435 kcal),,12,,73,,8,,,,,,,,,"7,5",23,"1,38","0,552",,,,,,,,,,,,,,,,,,"['Gluten', 'Lait']","['E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium"", 'E330 - Acide citrique']",,
600,"Thé - LU - 1,700kg e",3017760010368,C,"1,700 kg e","['Boîte', 'Métal']",['LU'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', ""Produits vendus avant l'an 2000""]",['Fabriqué en France'],['France'],"['EMB 62193', 'Calais (Pas-de-Calais, France)']",,['France'],"['Farine de froment', 'sucre', 'graisse végétale et animale', 'lait écrémé en poudre', 'sucre inverti', ""jaune d'œuf en poudre"", 'arômes naturels et artificiels', 'sel', 'poudre à lever : bicarbonate de sodium', 'acide tartrique', 'pyrophosphate', 'acide de sodium', ""antioxydant : tocophérols d'origine naturelle""]",['Non végétalien'],,,?,,?,,,,?,,?,,?,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,4,,,,,,,,,,,,,,,"['Œufs', 'Gluten', 'Lait']","['E500ii - Carbonate acide de sodium', 'E334 - Acide L-tartrique', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E307c - Tocophérol']",,
601,Goûter Rem - Mondelez,3017760021593,,,,['Mondelez'],,['100% végétal'],,,,['France'],"['@ Biscuit fourré parfum chocolat', "" Ingrédien5•' Farine de blé"", 'sucre', 'végétales ', 'palme', 'palmiste', 'cacao maigre en 7 glucose', 'amidon de riz', 'amidon blé', 'poudre à lever ', 'carbonate acide acide de sodium', 'diphosphate disodiquej', 'émulsifiant ', 'lécithine de tournesol', 'arômÈ vanille', ' Peut contenir oeuf', 'lait']",['Huile de palme'],,,?,,465,,1946 kj(465 kcal),,"17,62",,70,,"6,67",,,,,,,,,"9,4",28,"0,9","0,36",,,4,,,,,,,,,,,,,,,,"['E502 - Carbonates', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine']",['Huile de palme'],
602,Le véritable petit beurre - Lu - 66g,3017760227797,C,66g,,['Lu'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Petits beurres']",,,,,"['Belgique', 'France']",[],[],,,?,,?,,,,?,,?,,?,,75.0%,14.2%,4.8%,3.0%,2.9%,0.0%,71,,,,,,,,,,,,,,,,,,,,,,,,,
603,Prince petit dej - Lu,3017760306409,C,,,['Lu'],"['Snacks', 'Snacks sucrés', 'Petit-déjeuners', 'Biscuits et gâteaux', 'Biscuits']",,,,,['France'],[],[],17 g,en quantité modérée,?,,475,+0%,1987 kj(475 kcal),-0%,17,-18%,71,+11%,"7,2",+11%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"8,4",29,"0,56","0,224",,,,29 g,en quantité élevée,-2%,8.4 g,en quantité élevée,0.56 g,en quantité modérée,21,E,-17%,-5%,-5%,+6%,+6%,,,,
604,Belvita,3017760314121,,,,['Belvita'],,,,,,['France'],[],[],,,?,,?,,,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,Pain d'épices Vandame gourmand au Miel - Lu - 340g,3017760423397,B,340 g,"['Sachet', 'Plastique']",['Lu'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices"", ""Pains d'épices au miel""]",,,,,['France'],"['Sirop de glucose-fructose', 'farine de seigle 58,9%', 'miel 16,8%', 'matière grasse végétale', 'poudre à lever ', 'carbonate acide de sodium', 'diphosphate disodique', 'sel', ""correcteur d'acidité "", 'acide citrique', 'arômes', 'lait entier en poudre', 'épaississant ', 'gluten de blé', 'cannelle en poudre', 'émulsifiant ', 'lécithine de soja', '\r Contient BLE', 'GLUTEN', 'SOJA', 'LAIT']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",2.3 g,en faible quantité,1440,,?,,1440 kj(344 kcal),+7%,"2,3",+21%,75,+5%,"2,9",-21%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,"0,62",41,"0,356","0,142",Pain d'épices au miel,,4,41 g,en quantité élevée,-5%,0.62 g,en faible quantité,0.356 g,en quantité modérée,10,C,+40%,-25%,-25%,-28%,-28%,"['Gluten', 'Lait', 'Soja']","['E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide', 'E330 - Acide citrique', 'E322i - Lécithine']",,
606,Prosper au lait - Pain d'épices - Lu -  470g,3017760424493,B,470 g,['Plastique'],['Lu'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices"", ""Pains d'épices au lait""]",,,,,['France'],"['Sirop de glucose-fructose', 'farine de seigle 39,4%', 'lait entier en poudre 1,4% ', 'équivalent lait entier 11%', 'matière grasse végétale', 'miel', 'poudre à lever : carbonate acide de sodium', 'diphosphate disodique', 'gluten', 'sel', ""correcteur d'acidité : acide citrique"", 'arômes', 'cannelle en poudre', 'émulsifiant : lécithine de soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",2.7 g,en faible quantité,?,,340,+1%,1423 kj(340 kcal),+0%,"2,7",-23%,74,+5%,"3,5",-19%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,"0,85",37,"0,483","0,193",,,4,37 g,en quantité élevée,-9%,0.85 g,en faible quantité,0.483 g,en quantité modérée,11,D,-31%,+11%,+11%,-22%,-22%,"['Gluten', 'Lait', 'Soja']","['E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide', 'E330 - Acide citrique', 'E322i - Lécithine']",,
607,Véritable Petit écolier Chocolat au lait (lot de 4 x 150 g) LU - 600g (4x 150g),3017760433297,D,600 g (4 x 150 g),"['film plastique', 'Carton', 'sachet plastique']","['LU', 'Mondelez']","['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Petits beurres', 'Biscuits tablette de chocolat', 'Petit beurre au chocolat', 'Biscuits au chocolat au lait', 'Biscuits tablette de chocolat au lait']",,,,['Intermarché'],['France'],"['Petit beurre 52% : farine de blé 68', '1%', 'sucre', 'beurre pâtissier 14', '7%', 'lait écrémé en poudre', 'poudre à lever ', ""carbonate acide d'ammonium"", 'carbonate acide de sodium', 'diphosphate disodique', 'sel', ""correcteur d'acidité "", 'acide citrique', '\rChocolat au lait 48% : sucre', 'beurre de cacao', 'pâte de cacao', 'lait écrémé en poudre', 'sirop de glucose', 'beurre pâtissier', 'émulsifiant ', 'lécithine de soja', 'arôme vanille']","['Sans huile de palme', 'Non végétalien']",24 g,en quantité élevée,2095,+0%,?,,2095 kj(501 kcal),-0%,24,+1%,65,+1%,"6,5",-4%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,15,40,"0,599","0,24",Petit beurre avec tablette de chocolat au lait,,4,40 g,en quantité élevée,+8%,15 g,en quantité élevée,0.599 g,en quantité modérée,24,E,+3%,+5%,+5%,-1%,-1%,"['Lait', 'Soja']","[""E503ii - Carbonate acide d'ammonium"", 'E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide', 'E330 - Acide citrique', 'E322i - Lécithine']",,
608,Box à partager Chocolat au lait - Mikado - 100g - 4x 25g,3017760468299,D,100 g - 4 x 25g,"['Boîte', 'Carton', 'Sachet', 'Plastique']","['Mikado', 'Lu', 'Mondelez', 'Glico']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits bâtonnets au chocolat']",['Fabriqué en France'],['France'],,,['France'],"['Farine de blé', 'sucre', 'beurre de cacao', 'pâte de cacao', 'lait écrémé en poudre', 'graisses végétales ', 'palme', 'noix de coco', 'sirop de glucose', 'beurre concentré', 'lactosérum en poudre ', 'de lait', 'sel', 'émulsifiant ', 'lécithine de soja', 'poudre à lever ', 'E503', 'levure', 'arôme']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",19.5 g,en quantité modérée,2010,-5%,?,,2010 kj(480 kcal),-4%,"19,5",-18%,68,+7%,"6,8",+0%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,"11,5",35,"0,7","0,28",Biscuits nappés de chocolat au lait (49%),,4,35 g,en quantité élevée,-1%,11.5 g,en quantité élevée,0.7 g,en quantité modérée,22,E,-17%,+42%,+42%,-4%,-4%,"['Gluten', 'Lait', 'Soja']","['E322i - Lécithine', ""E503 - Carbonates d'ammonium""]",,https://www.facebook.com/mikado.fr
609,La Paille D'Or aux framboises - LU - 340g (8x 42.5g),3017760542791,C,340g (8 x 42.5g),"['Carton', 'Plastique', 'Sachets individuels']",['LU'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Gaufrettes', 'Gaufrettes fourrées', 'Gaufrettes fourrées aux fruits']",,,,['Grand Frais'],['France'],"['Sirop de glucose-fructose', 'framboises 34%', 'farine de blé 32', '4%', 'sucre', 'groseilles rouges 4', '5%', 'amidon de blé', 'lactosérum en poudre de lait', 'huile de colza', ""jaunes d'oeufs en poudre"", 'émulsifiant ', 'lécithine de soja', 'poudre à lever ', 'carbonate acide sodium', 'levure sèche']",['Non végétalien'],1.1 g,en faible quantité,1565,+2%,?,,1565 kj(374 kcal),-2%,"1,1",-75%,84,+7%,"4,2",+10%,76.6%,12.3%,5.4%,2.8%,2.9%,0.0%,70,"0,2",55,"0,08","0,032",Gaufrettes fourrées à la framboise,,4,55 g,en quantité élevée,+37%,0.2 g,en faible quantité,0.08 g,en faible quantité,12,D,-91%,-70%,-70%,-8%,-8%,"['Œufs', 'Gluten', 'Lait', 'Soja']","['E322i - Lécithine', 'E500ii - Carbonate acide de sodium']",,
610,Petit LU Beurre et Sel de Guérande - 130g,3017760548892,C,130 g,"['Carton', 'Papier']",['LU'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Petits beurres']","['en:Charte LU Harmony', 'Pur beurre', 'Au sel de Guérande']",,,,['France'],"['Farine de BLÉ 59 %', 'BEURRE 25 %', 'sucre', 'poudre à lever ', ""carbonate acide d'ammonium"", 'diphosphate disodique', 'carbonate acide de sodium', 'LAIT écrémé en poudre', 'sel de Guérande 0,8 %', 'sel', 'émulsifiant ', 'E472e']","[""Pourrait contenir de l'huile de palme""]",21 g,en quantité élevée,2025,+2%,?,,2025 kj(484 kcal),+2%,21,+13%,65,-5%,"6,6",-7%,75.0%,14.2%,4.8%,3.0%,2.9%,0.0%,71,13,25,"1,65","0,66",Petit beurre sablé au sel de Guerande,,4,25 g,en quantité élevée,-12%,13 g,en quantité élevée,1.65 g,en quantité élevée,26,E,+11%,+113%,+113%,+20%,+20%,,"[""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras""]",,
611,Monaco au fromage de chèvre - Belin,3017760555494,,,['Carton'],['Belin'],"['Snacks', 'Snacks salés', 'Apéritif']",,,,,['France'],"['Farine de blé', 'matière grasse végétale', 'fromage de chèvre 5%', 'protéines de lait et lactose', 'sucre', 'sel', 'sirop de glucose-fructose', ""poudre à lever : carbonate acide d'ammonium"", 'carbonate acide de sodium', 'amidon transformé', ""farine d'orge malté"", 'extrait de levure', 'arôme', 'émulsifiant : lécithine de soja', 'colorant : E171']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",33 g,en quantité élevée,?,,?,,,,33,+37%,?,,11,+44%,,,,,,,,,,"1,651","0,66",,,4,,,,,,1.65 g,en quantité élevée,,,,+6%,+6%,,,"['Gluten', 'Lait']","[""E503ii - Carbonate acide d'ammonium"", 'E500ii - Carbonate acide de sodium', 'E14XX - Amidons modifiés', 'E322i - Lécithine', 'E171 - Oxyde de titane']",,
612,Monaco à l'emmental - Belin - 160g,3017760555593,B,160 g,['Carton'],['Belin'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",,,,,['France'],"['Farine de blé', 'huile de palme', 'emmental râpé séché ', '17%', 'sucre', 'sirop de glucose-fructose', 'poudre à lever ', ""carbonate acide d'ammonium"", 'carbonate acide de sodium', 'lactosérum en poudre ', 'de lait', ""farine d'orge malté"", 'extrait de levure', 'sel', 'gluten ', 'de blé', 'émulsifiant ', 'lécithine de soja']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",33 g,en quantité élevée,2265,+13%,545,+17%,2265 kj(545 kcal),+16%,33,+66%,47,-21%,13,+31%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,16,"6,7","1,33","0,532",,,4,6.7 g,en quantité modérée,+71%,16 g,en quantité élevée,1.33 g,en quantité modérée,20,E,+195%,-34%,-34%,+30%,+30%,"['Gluten', 'Lait', 'Soja']","[""E503ii - Carbonate acide d'ammonium"", 'E500ii - Carbonate acide de sodium', 'E322i - Lécithine']",['Huile de palme'],
613,Cracottes Craquinette Chocolat 3 - Lu,3017760557290,B,,,['Lu'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Tartines craquantes', 'Tartines craquantes grillées fourrées au chocolat']",,,,,['France'],"['Farine de blé 47 %', 'sucre', 'huiles végétales ', 'palme', 'colza en proportions variables', 'chocolat 10 % ', 'cacao maigre en poudre', 'pâte de cacao', 'sucre', 'lactosérum en poudre ', 'de lait', 'émulsifiants ', 'lécithine de soja', 'lécithine de tournesol', 'sel', 'minéral ', 'diphosphate ferrique', ' Peut contenir fruits à coque']","['Huile de palme', 'Non végétalien']",16 g,en quantité modérée,?,,450,+18%,1883 kj(450 kcal),+18%,16,+251%,66,-7%,"7,3",-26%,62.3%,18.9%,8.2%,5.7%,4.9%,0.0%,89,"5,2",31,"0,27","0,108",Bâtonnets au blé fourrés au chocolat enrichis en fer,,4,31 g,en quantité élevée,+456%,5.2 g,en quantité élevée,0.27 g,en faible quantité,13,D,+405%,-69%,-69%,+326%,+326%,"['Gluten', 'Lait', 'Soja']",['E322i - Lécithine'],['Huile de palme'],
614,Monaco au fromage de Hollande - Belin - 100g,3017760599993,B,100 g,['Carton'],['Belin'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",,,,['Leclerc'],['France'],"[""Farine de blé - matière grasse végétale - fromage de Hollande 5% - protéines de lait et lactose - sucre - sel - sirop de glucose-fructose - poudre à lever : carbonate acide d'ammonium"", ""carbonate acide de sodium - farine d'orge malté - extrait de levure - arômes - amidon transformé - émulsifiants : citrates de sodium"", 'lécithine de soja - colorant E 160b']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",35 g,en quantité élevée,2250,+12%,540,+16%,2250 kj(540 kcal),+15%,35,+76%,45,-24%,10,+1%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,14,"5,2","1,897","0,759",Biscuits crackers,,4,5.2 g,en quantité modérée,+33%,14 g,en quantité élevée,1.9 g,en quantité élevée,23,E,+158%,-5%,-5%,+49%,+49%,"['Gluten', 'Lait', 'Soja']","[""E503ii - Carbonate acide d'ammonium"", 'E500ii - Carbonate acide de sodium', 'E14XX - Amidons modifiés', 'E331 - Citrates de sodium', 'E322i - Lécithine', 'E160b - Rocou']",,
615,Lu Craquinette Fraise 3x200g +1 Paquet Gratuit,3017760615891,B,,,['Lu'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Tartines craquantes']",,,,,['France'],[],[],4.9 g,en quantité modérée,?,,372,-2%,1556 kj(372 kcal),-3%,"4,9",+7%,79,+12%,"5,6",-44%,65.1%,19.7%,8.5%,5.9%,0.7%,0.0%,90,"2,3",33,"0,36","0,144",Bâtonnets au blé fourrés à la fraise enrichis en fer,,,33 g,en quantité élevée,+491%,2.3 g,en quantité modérée,0.36 g,en quantité modérée,14,D,+123%,-59%,-59%,+359%,+359%,,,,
616,Glico Mikado bundle 24 boites - Lu,3017760628280,,24 boîtes,,"['Lu', 'Mikado']",,,,,,['France'],[],[],,,?,,?,,,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,Napolitain biscuits 3 chocolats - LU - 174g,3017760659192,D,174 g,"['Carton', 'emballage individuel']",['LU'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat']",,,,,['France'],"['Matière grasse végétales non hydrogénée et hydrogénée', 'sucre', 'oeufs', 'sirop de glucose-fructose', 'farine de blé', 'chocolat noir 4', '1% [pâte de cacao', 'sucre', 'émulsifiant ', 'lécithine de soja', 'arôme vanille]', 'sucre glace ', 'sucre', 'amidon de maïs', 'stabilisant ', 'glycérol', 'margarine ', 'matière grasse végétale', 'émulsifiant ', 'E471', ""correcteur d'acidité "", 'citrate de sodium', 'acidifiant ', 'acide citrique', 'colorant ', 'bêta-carotène', 'cacao maigre en poudre', 'chocolat au lait 3', '2% [sucre', 'pâte de cacao', 'beurre de cacao', 'lait écrémé en poudre', 'beurre pâtissier', 'lactose', 'émulsifiant ', 'lécithine de soja', 'arôme vanille]', 'lactose et protéines de lait', 'chocolat blanc 1% ', 'sucre', 'lait entier en poudre', 'beurre de cacao', 'émulsifiant ', 'lécithine de soja', 'arôme vanille', 'arômes', 'émulsifiants ', 'lécithine de soja', 'E472b', 'E471', 'E475', 'sirop de glucose', 'poudre à lever ', 'diphosphate disodique', 'carbonate acide de sodium', 'sel', 'amidon transformé', 'lait écrémé en poudre', 'conservateur ', 'sorbate de potassium', 'gélifiant ', 'gomme xanthane', 'lait entier en poudre', 'beurre pâtissier', 'colorant ', 'E153', ""correcteur d'acidité "", 'acide citrique']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",25 g,en quantité élevée,1925,+6%,?,,1925 kj(460 kcal),+5%,25,+6%,54,+10%,"4,3",-25%,82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,12,39,"0,508","0,203",,,4,39 g,en quantité élevée,+27%,12 g,en quantité élevée,0.508 g,en quantité modérée,23,E,+51%,-2%,-2%,+24%,+24%,"['Œufs', 'Gluten', 'Lait', 'Soja']","['E322i - Lécithine', 'E422 - Glycérol', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E331 - Citrates de sodium', 'E330 - Acide citrique', 'E160ai - Bêta-carotène', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", ""E475 - Esters polyglycériques d'acides gras"", 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium', 'E14XX - Amidons modifiés', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E153 - Charbon végétal médicinal']",,
