,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,link,ingredients_origins,traceability_code,allergens,palm_ingredients
10,Confiture 4 fruits Bonne Maman,3045320091694,,,,,['Bonne Maman'],,,,"['Belgique', 'France']",[],,[],,,,,,,,,,?,,239,,1000 kj(239 kcal),,"0,1",,0,,58,,58,,"0,6",,,,,,,,,,,,,,,,,,,,,,
11,Bonne Maman Honey,3045320099416,,,,,['Bonne Maman'],,,,['France'],['Nutritional value per 100g: energy 1371kJ/'],,[],,,,,,,,,,?,,323,,1351 kj(323 kcal),,"0,1",,0,,80,,79,,"0,4",,0,,0,,,,,,,,,,,,,,,,,,
12,"Oranges Pressées - Andros - 1,5L",3045320104745,B,Jus d'Orange,"1,5 L","['Bouteille', 'Plastique', 'Frais']",['Andros'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits frais', 'Jus de fruits pur jus', ""Jus d'orange frais"", ""Jus d'orange pur jus""]","['Point Vert', 'Sans colorants', 'Sans conservateurs']",,['France'],"[""jus d'oranges""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.1 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0 g,en faible quantité,209,,49,,209 kj(49 kcal),+14%,"0,1",+17%,0,-100%,11,+12%,11,+25%,"0,7",+19%,0,-100%,0,-100%,5,+95%,C,+95%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,"['France', 'Biars']",,,
13,Fruit au sirop bigarreaux - Andros,3045320300048,,,,,['Andros'],,,,['France'],"['Bigarreaux', ' eau', ' sucre', ' colorant: E 127']",['E127 - Érythrosine'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,,,,,,,,,?,,70,,293 kj(70 kcal),,"0,2",,0,,16,,16,,"0,5",,0,,0,,,,,,,,,,,,,,,,,,
14,Fruit au Sirop Mirabelles - Andros,3045320300062,,,,"['Bocal', 'Verre', 'Couvercle', 'Métal']",['Andros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Desserts', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve', 'Fruits au sirop']",,,['France'],[],,[],,0.1 g,en faible quantité,0 g,en faible quantité,16 g,en quantité élevée,0 g,en faible quantité,?,,68,-7%,285 kj(68 kcal),-4%,"0,1",-48%,0,-100%,16,+4%,16,+14%,"0,4",+3%,0,-100%,0,-100%,-2,,A,,,,,,,,,,,,,,
15,Citrons pressés - Andros,3045320417043,,,,,['Andros'],,,,['France'],[],,[],,,,,,,,,,?,,44,,184 kj(44 kcal),,0,,0,,11,,11,,"0,1",,,,,,,,,,,,,,,,,,,,,,
16,Compote de peche -,3045320449419,B,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pêche']",,,['France'],[],,[],,0.2 g,en faible quantité,0 g,en faible quantité,24 g,en quantité élevée,0.001 g,en faible quantité,?,,104,+9%,435 kj(104 kcal),+10%,"0,2",+8%,0,-100%,24,+11%,24,+15%,"0,6",-12%,"0,001",-90%,0,-90%,1,,B,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,,,,,,
17,Dessert pommes fraises x8 - Andros,3045320509571,,,,,['Andros'],,"['Sans colorants', 'Sans conservateurs']",,['France'],['Pomme Frais SANS COLORA % r'],,[],,,,,,,,,,?,,318,,1331 kj(318 kcal),,"0,2",,0,,17,,17,,"0,4",,0,,0,,,,,,,,,,,,,,,,,,
18,Dessert pommes abricots x8 - Andros,3045320509588,,,,,['Andros'],,"['Sans colorants', 'Sans conservateurs']",,['France'],"['pommes 64% poires acide 28%', 'sucre', 'antioxydant: acide ascorbique']",['E300 - Acide ascorbique'],[],,,,,,,,,,?,,75,,314 kj(75 kcal),,"0,2",,0,,17,,17,,"0,3",,0,,0,,,,,,,,,,,,,,,,,,
19,Pomme Pêche Abricot sans sucres ajoutés - Andros - 388g,3045320509816,B,"compote multifruits de pommes, pêches et abricots",388g,"['Pot', 'Plastique']",['Andros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes']","['Peu ou pas de sucre', 'Sans arômes artificiels', 'Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs']",,['France'],"['purée de pommes 57%', ""purée de pêches  40% purée d'abricots 3%"", 'antioxydant : acide ascorbique', 'arôme naturel']",['E300 - Acide ascorbique'],[],4,0.2 g,en faible quantité,0 g,en faible quantité,10 g,en quantité modérée,0.00508 g,en faible quantité,204,-24%,48,-28%,204 kj(48 kcal),-27%,"0,2",-39%,0,-100%,10,-32%,10,-25%,"0,6",+44%,"0,005",-49%,"0,002",-49%,-5,,A,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,,,,,,
20,"Déssert Pomme, Sans Sucre Ajouté, Marque Andros",3045320509915,,,,,['Andros'],,['Sans sucre ajouté'],,['France'],[],,[],,,,,,,,,,?,,51,,213 kj(51 kcal),,"0,2",,"0,2",,11,,11,,"0,3",,0,,0,,,,,,,,,,,,,,,,,,
21,P'tit Dros Pomme Nature - Andros - 100g,3045320510164,B,Compote de pommes allégée en sucres (30% de sucres en moins),100 g,['Plastique'],['Andros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes nature', 'Compotes à boire', 'Compotes allégées']","['Peu ou pas de sucre', 'Peu de sucre', 'Allégé en sucre', 'Moins 30% de sucre']",,['France'],"['Pommes ', '96%', 'sucre', 'antioxydant : acide ascorbique']",['E300 - Acide ascorbique'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.2 g,en faible quantité,0 g,en faible quantité,14 g,en quantité élevée,0 g,en faible quantité,265,-4%,63,-5%,265 kj(63 kcal),-5%,"0,2",-35%,0,-100%,14,-5%,14,+1%,"0,2",-41%,0,-100%,0,-100%,-4,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,,,,
22,Compote de pomme - Andros,3045320510577,B,,,,['Andros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme']",,,['France'],[],,[],,0.1 g,en faible quantité,0 g,en faible quantité,20 g,en quantité élevée,0 g,en faible quantité,?,,86,+32%,360 kj(86 kcal),+32%,"0,1",-70%,0,-100%,20,+40%,20,+54%,"0,3",-20%,0,-100%,0,-100%,0,,B,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,,,,
23,3045320511475,3045320511475,,,,,,,,['Intermarché'],['France'],"['framboises', 'sucre', 'sirop de glucose-fructose', 'gélifiant : pectine de fruits\r# préparé avec 50g de fruits pour 100g']",['E440 - Pectines'],[],4,,,,,,,,,717,,?,,717 kj(171 kcal),,"0,5",,0,,39,,37,,"0,7",,"0,102",,"0,041",,,,,,,,,,,,,,,,,,
24,Liégeois de fruits Pomme-Framboise sur coulis de Cassis - Andros - 400g,3045320514674,B,Liégeois de fruits,400g,"['pot plastique', 'Carton', 'Frais']",['Andros'],"['Desserts', 'Liégeois']","['Sans arômes artificiels', 'Sans colorants', 'Sans conservateurs']",['Leclerc'],['France'],"['Fruits 70,6% ', 'pommes 48,7%', 'framboises 15,9%', 'cassis 6%', 'crème fraîche 19,1%', 'sucre 9,6%', 'amidon', 'épaississant ', 'pectine de fruits', ""correcteur d'acidité "", 'citrate de sodium', 'antioxydant ', 'acide ascorbique']","['E440 - Pectines', 'E331 - Citrates de sodium', 'E300 - Acide ascorbique']","['Sans huile de palme', 'Non végétalien']",4,6.9 g,en quantité modérée,,,,,,,590,-3%,141,-11%,590 kj(141 kcal),-8%,"6,9",-3%,,,"18,8",+2%,,,"0,9",-67%,,,,,,,,,72.9%,16.3%,3.6%,4.6%,2.0%,0.5%,58,,,['France'],"['FR 62.853.030 CE', 'Vieil-Moutier (Pas-de-Calais, France)']",['Lait'],
25,Confiture allégée exotiques - Andros - 350g,3045320519631,C,,350 g,"['Pot', 'Verre']",['Andros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits tropicaux', 'Confiture de fruits allégée en sucres']","['Peu ou pas de sucre', 'Peu de sucre', 'Allégé en sucre']",['Casino'],['France'],"['Fruits exotiques ', 'ananas', 'fruits de la passion', 'mangues', 'sucre', 'gélifiant : pectine de fruits']",['E440 - Pectines'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.2 g,en faible quantité,0 g,en faible quantité,39 g,en quantité élevée,0 g,en faible quantité,693,+4%,163,0%,693 kj(163 kcal),+1%,"0,2",-16%,0,-100%,39,0%,39,+3%,"0,4",-22%,0,-100%,0,-100%,7,+7%,C,+7%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,
26,Yaourts Fraise - Bonne Maman,3045320524741,,,,,['Bonne Maman'],,,,['France'],[],,[],,,,,,,,,,?,,111,,464 kj(111 kcal),,?,,"2,6",,?,,16,,"2,4",,"0,08",,"0,032",,,,,,,,,,,,,,,,,,
27,Confiture De Fraises - Andros,3045320524802,D,,,,['Andros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,['France'],"['CONFITURE OE FRAISES préparée avec 35 g de fruits pour 100 g', ' Teneur totale en sucres : 60 g pour 1008 : srop de Sucose•fructose', 'fraises', 'ptctine de fruits acidifiant : À c-- de pré!érence fin : au fris aptes ouverture', ' Atsoaos RESTAURATION a • CIARS-SUR&CÈRE']",,[],,0.1 g,en faible quantité,0 g,en faible quantité,58 g,en quantité élevée,0 g,en faible quantité,?,,239,+10%,1000 kj(239 kcal),+10%,"0,1",-59%,0,-100%,59,+11%,58,+14%,"0,2",-55%,0,-100%,0,-100%,7,-20%,C,-20%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,
28,Confiture D'abricots - Andros restauration,3045320524888,B,,,,['Andros restauration'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",,,['France'],"['sirop de glucose-fructose', 'abricots sUcre', 'gélifiant : pectine de fruits', 'acidifiant: acide citrique']","['E440 - Pectines', 'E330 - Acide citrique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.1 g,en faible quantité,0 g,en faible quantité,47 g,en quantité élevée,,,?,,240,+10%,1004 kj(240 kcal),+9%,"0,1",-56%,0,-100%,59,+11%,47,-7%,"0,3",-40%,,,,,,,,,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,
29,Pommes tatin - Bonne Maman - 250g (2x 125g),3045320525083,,Dessert patissier,250 g (2 x 125 g),"['Frais', 'Pot plastique à jeter', 'Opercule métal et étui carton à recycler']",['Bonne Maman'],"['Desserts', 'Frais', 'Desserts aux pommes']",['Info-Tri Point Vert'],['Géant Casino'],['France'],"['Pommes 55 %', 'caramel', 'beurre', 'farine de blé', 'eau', 'sucre', 'œufs entier frais', 'gélifiant : pectine de fruits', 'sel', 'sirop de sucre inverti']",['E440 - Pectines'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,7.5 g,en quantité modérée,4.5 g,en quantité modérée,27 g,en quantité élevée,0.15 g,en faible quantité,?,,215,+26%,900 kj(215 kcal),+27%,"7,5",-23%,"4,5",-1%,34,+290%,27,+868%,"1,5",-82%,"0,15",-84%,"0,06",-84%,8,+39%,C,+39%,,,,,,,,"['Novandie (Filiale Groupe Andros) - Route de Roinville - 28700 Auneau', 'Eure-et-Loir', 'Centre-Val de Loire', 'France']",,,"['FR 28.015.011 CE', 'Auneau (Eure-et-Loir, France)']","['Œufs', 'Gluten', 'Lait']",
30,"Oranges pressées - Andros - 1,5l",3045320617887,D,,"1,5 l","['Bouteille', 'Plastique']",['Andros'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange pur jus""]",,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,
31,Minimix - Pierrot Gourmand - 80g,3045320653731,E,,80 g,"['Sachet', 'Plastique']",['Pierrot Gourmand'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,
32,Bag Oiled Worms,3045320653809,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,328,,1372 kj(328 kcal),,"0,1",,"0,1",,77,,60,,"4,7",,,,,,,,,,,,,,,,,,,,,,
33,Confiture allegee figues - Andros,3045320689648,D,,,,['Andros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']","['Peu ou pas de sucre', 'Peu de sucre', 'Allégé en sucre']",,['France'],[],,[],,0.2 g,en faible quantité,0 g,en faible quantité,40 g,en quantité élevée,,,?,,167,-28%,699 kj(167 kcal),-28%,"0,2",-56%,0,-100%,40,-28%,40,-25%,"0,7",-5%,,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,
34,Kb Violet Candy In Glass Jar - Kubli,3045431005047,,,,,['Kubli'],,,,['France'],"['lette -V I de glucose de ', 'eqse sytup']",,[],,,,,,,,,,?,,389,,1628 kj(389 kcal),,"0,1",,"0,1",,"95,6",,"57,7",,"0,1",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,
35,Soupe petits pois carottes et Kiri - Liebig,3045431234560,,,,,['Liebig'],,['Fabriqué en France'],,['France'],"['eau', 'légumes 33 % ', 'oignon', 'petits pois 9,9 0%', 'carottes 8,6 0%', 'panais', 'fromage blanc fondu Kiri@ 3,1 % ', 'fromage blanc', 'crème', 'protéines de lait', 'sels de fonte : polyphosphates', 'phosphates et citrates de sodium', 'acide citrique', 'sel', 'amidon transformé de maïs', 'crème fraîche', 'sel', 'arômes', ' Peut contenir des traces de céleri', 'blé et œuf']","['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E14XX - Amidons modifiés']",['Non végétalien'],4,,,,,,,,,?,,36,,151 kj(36 kcal),,"1,4",,"0,8",,"3,7",,"0,5",,"1,3",,"0,7",,"0,28",,,,,,,,,,,,,,,,,['Lait'],
36,Gaufrettes Fourrées Enrobées de Chocolat Fin - Poult - 150g e,3045470039119,C,,150 g e,"['Carton', 'boîte', 'Plastique']","['Poult', 'Biscuits Poult']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Gaufrettes', 'Gaufrettes fourrées']",['Fabriqué en France'],,['France'],"['Chocolat 36 % ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'lait écrémé en poudre', 'matière grasse laitière', 'émulsifiant : lécithines ', 'soja', 'arôme', 'farine de blé', 'graisse végétale totalement hydrogénée ', 'coprah', 'sucre', 'cacao maigre en poudre', 'lait écrémé en poudre', 'dextrose', 'farine de lupin', ""jaunes d'œufs en poudre"", 'sel', 'huile végétale ', 'tournesol', 'émulsifiant : lécithines', 'poudres à lever : carbonates de sodium - carbonates de magnésium']","['E322 - Lécithines', 'E500 - Carbonates de sodium', 'E504 - Carbonates de magnésium']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,31 g,en quantité élevée,25 g,en quantité élevée,37 g,en quantité élevée,0.2 g,en faible quantité,?,,537,+7%,2247 kj(537 kcal),+8%,31,+26%,25,+68%,55,-11%,37,+5%,7,+34%,"0,2",-38%,"0,08",-38%,24,+9%,E,+9%,76.6%,12.3%,5.4%,2.8%,2.9%,0.0%,70,['France'],,,,"['Œufs', 'Gluten', 'Lupin', 'Lait', 'Soja']",
37,Sables nappes au chocolat noir -,3045470057113,D,,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Sablés nappés de chocolat']",['Fabriqué en France'],,['France'],"['Farine de blé', 'chocolat noir 27% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'matière grasse laitière anhydre', 'émulsifiant : lécithines ', 'soja', 'arôme', 'graisse végétale de palme""', 'sucre', 'sirop de glucose', 'poudres à lever ', ""carbonates d'ammonium"", 'carbonates de sodium', 'phosphates de calcium', 'noix de cOco râpée', 'sel', 'protéines de lait', 'lait écrémé en poudre', ' Contient : gluten', 'soja', 'lait', ' Peut contenir : œufs et fruits à coque']","['E322i - Lécithine', ""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition']","['Huile de palme', 'Non végétalien']",4,24 g,en quantité élevée,13 g,en quantité élevée,28 g,en quantité élevée,0.5 g,en quantité modérée,?,,509,+2%,2130 kj(509 kcal),+2%,24,+1%,13,+8%,65,+4%,28,+3%,"6,4",-8%,"0,5",-34%,"0,2",-34%,24,+12%,E,+12%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,,"['Gluten', 'Lait', 'Soja']",['Huile de palme']
