,name,bar_code,packaging,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,labels,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,markets,quantity,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,manufacturing,additives,generic_name,traceability_code,link,brand_owner
1512,Bananes -,2807251011285,['Barquette filmée'],['France'],[],[],?,?,?,?,?,,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,Pringles cheesy,5053990123711,,['France'],[],[],?,?,?,?,?,,B,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Tuiles salées']",,,,,,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,['Pringles'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,Parmigiano Reggiano AOP,2449185034314,,['France'],[],[],?,402,30,0,32,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",,+0%,+1%,-100%,-1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,1682 kj(402 kcal),20,0,"1,6","0,64",,,,,30 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,+1%,+1%,,0%,0%,17,+2%,D,+2%,,,,,,,
1515,Terrine de campagne à l'ancienne - U Saveurs,2871753014822,,['France'],[],[],?,325,"28,6","3,53","13,33",,,"['Viandes', 'Charcuteries', 'Charcuteries diverses']",,+11%,+17%,+102%,-11%,,,,,,,,['U Saveurs'],1360 kj(325 kcal),"11,25","1,95","1,4","0,56",['Magasins U'],,,,28.6 g,en quantité élevée,11.2 g,en quantité élevée,1.95 g,en faible quantité,1.4 g,en quantité modérée,+12%,+22%,+149%,-28%,-28%,20,+6%,E,+6%,,,,,,,
1516,Bisque de homard,3365627777726,,['France'],[],[],?,50,"2,8",4,"2,1",,,"['Produits de la mer', 'Bisques de homard']",,-9%,+6%,+12%,-32%,,,,,,,,,209 kj(50 kcal),"1,2","1,1","1,2","0,48",,,,,2.8 g,en faible quantité,1.2 g,en faible quantité,1.1 g,en faible quantité,1.2 g,en quantité modérée,-10%,+41%,+9%,+7%,+7%,5,+46%,C,+46%,,,,,,,
1517,Schoko Rosinen in Zartbitterschokolade -,4337185492914,,['France'],[],[],?,436,19,59,"4,1",,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Confiseries aux fruits', 'Fruits enrobés de chocolat', 'Raisins secs enrobés de chocolat']",,+3%,+17%,-3%,+8%,,,,,,,,,1824 kj(436 kcal),12,57,"0,03","0,012",,,,,19 g,en quantité modérée,12 g,en quantité élevée,57 g,en quantité élevée,0.03 g,en faible quantité,+3%,+29%,+10%,-64%,-64%,25,+14%,E,+14%,,,,,,,
1518,Poudre de cèpes - Maison Wurfel,3760237381095,,['France'],[],[],?,299,"2,9","9,7","27,6",['Fabriqué en France'],,,,,,,,,,,,,,,,1251 kj(299 kcal),"0,4","5,4","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,Saint Georges Graineline 250g,,,['France'],[],[],?,0,0,0,0,,,,,,,,,,,,,,,,,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1520,Reis Dessert Milchreis,5411193094304,,['France'],[],[],?,97,"1,3","17,9","3,4",,,,,,,,,,,,,,,,,406 kj(97 kcal),"0,9","10,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,Piccalilli - Haywards,5060336504486,,['France'],[],[],?,66,"0,7","7,4","0,6",,,,,,,,,,,,,,,,['Haywards'],276 kj(66 kcal),"0,2","7,4","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1522,Tagliolini all'uova e spinaci - Dalla Costa,8016419158005,,['France'],[],[],?,0,"3,4",68,14,,,,,,,,,,,,,,,,['Dalla Costa'],0 kj(0 kcal),1,3,"0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1523,Champagne gosset,3353210058529,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1524,Ile flottante x2,0202655019356,,['France'],[],[],?,864,"2,3",36,11,,,,,,,,,,,,,,,,,3615 kj(864 kcal),"1,4",33,"0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525,Haechandle Taeyangcho Rice Hot Pepper Paste,8801007166599,,['France'],[],[],?,240,"2,7","51,2","4,2",,,,,,,,,,,,,,,,,1004 kj(240 kcal),"0,6","26,6","4,6","1,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1526,Energy blend pulpa de açaí y guaraná ecológico - Coraçaí,8438001508720,,['France'],[],[],?,111,6,13,1,['Bio'],,,,,,,,,,,,,,,['Coraçaí'],464 kj(111 kcal),"1,4",11,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1527,Sauce Provençale - Saint Christophe,5420058007670,,['France'],[],[],?,52,"0,3","10,8","1,1",,,,,,,,,,,,,,,,['Saint Christophe'],218 kj(52 kcal),0,"9,2","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1528,Salsa suave para taco ecológica tarro 230 g - Santa Maria,7311312000811,,['France'],[],[],?,37,0,"6,1","1,6",['Bio'],,,,,,,,,,,,,,,['Santa Maria'],155 kj(37 kcal),0,"4,5",1,"0,4",,230 g,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,Biscotti biologici con grano saraceno e mandorle - 300g,8026888991119,,['France'],[],[],?,417,17,"30,2","5,1",,,,,,,,,,,,,,,,,1745 kj(417 kcal),"3,6","18,1","0,03","0,012",,300 g,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,Barre céréales miel et gelée royale - MelTonic - 30g,3760115098169,,['France'],[],[],?,427,20,47,10,['en:gluten-free'],,,,,,,,,,,,,,,['MelTonic'],1787 kj(427 kcal),"8,8",24,"0,17","0,068",,30 g,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,Mélange Tokyo,2600803016468,,['France'],[],[],?,467,"20,9","54,8","13,2",,,,,,,,,,,,,,,,,1954 kj(467 kcal),"5,7","11,3","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,Pâte à sucre - Vahiné,3179142058686,,['France'],[],['Sans huile de palme'],?,397,"4,2",89,0,"['Sans colorants', 'en:palm-oil-free']",,,,,,,,,,,,,,,['Vahiné'],1661 kj(397 kcal),"2,6",79,"0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,Gourmet picos rústicos con masa madre y aceite - Mas Trigo - 140g,8414139005966,,['France'],[],[],?,371,"1,7","74,7","11,6",,,,,,,,,,,,,,,,['Mas Trigo'],1552 kj(371 kcal),"0,34","1,8","2,4","0,96",,140 g,,,,,,,,,,,,,,,,,,,,,,,,,,
1534,Khapta,411421094103,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535,Dragée Élysée Ii Decor - Jeff de Bruges - 250g,3660523327410,,['France'],[],[],?,499,"22,8","66,4","7,25",,,,,,,,,,,,,,,,['Jeff de Bruges'],2088 kj(499 kcal),"2,1","61,4","0,017","0,007",,250 g,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 45145A', 'Ferrières-en-Gâtinais (Loiret, France)']",,
1536,Pop corn,8480017099341,,['France'],[],[],?,468,18,"70,1",5,,,,,,,,,,,,,,,,,1958 kj(468 kcal),"5,2","60,1","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,Speculoos - Monoprix,3350033108844,,['France'],[],['Sans huile de palme'],?,478,18,72,6,['en:palm-oil-free'],,,,,,,,,,,,,,,['Monoprix'],2000 kj(478 kcal),"4,9",38,"0,83","0,332",['Monoprix'],,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,Bûche graine,3330160008170,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1539,Cheese,8711258009913,,['France'],[],[],?,385,31,"0,5",26,,,,,,,,,,,,,,,,,1611 kj(385 kcal),19,"0,5",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1540,Crème Glacée (vanille Et Amandes),0055000681858,,['France'],[],[],?,310,21,25,5,,,,,,,,,,,,,,,,,1297 kj(310 kcal),12,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,Pain chocolat pur beurre x4,0203103015098,,['France'],[],[],?,522,30,54,"9,1",,,,,,,,,,,,,,,,,2184 kj(522 kcal),20,16,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1542,Haricots verts très fin,3389153100322,,['France'],[],[],?,98,0,"2,8","1,4",['Fabriqué en France'],B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Légumes et dérivés', 'Haricots verts']",,+263%,-100%,-8%,-11%,71.3%,0.0%,0.0%,9.8%,14.0%,4.9%,95,,410 kj(98 kcal),0,"0,9","0,7","0,28",,,,,0 g,en faible quantité,0 g,en faible quantité,0.9 g,en faible quantité,0.7 g,en quantité modérée,+273%,-100%,-4%,+35%,+35%,-1,,A,,,,,,"['EMB 86137', 'Loudun (Vienne, France)']",,
1543,vodka,8427201008086,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544,Cédrats - Amenita Confiture - 220g,3268387015032,,['France'],[],[],?,195,0,47,"0,6",,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de cédrats']",,-17%,-100%,-19%,+108%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['Amenita Confiture'],816 kj(195 kcal),0,47,0,0,,220 g,,,0 g,en faible quantité,0 g,en faible quantité,47 g,en quantité élevée,0 g,en faible quantité,-17%,-100%,-10%,-100%,-100%,11,-1%,D,-1%,,,,,,,
1545,cuisse de poulet - Picondin - 0.518kg,0256812011875,['Atmosphère protectrice'],['France'],[],[],?,?,?,?,?,['Certifiée NAPSI'],,['A'],,,,,,,,,,,,,['Picondin'],,,,,,['Auchan'],0.518 kg,,,,,,,,,,,,,,,,,,,,['France'],['France'],,,['59.578.001'],,
1546,100% WHEY PRIME ISOLATE,5600499518380,,['France'],[],[],?,375,"1,2",0,91,,,,,,,,,,,,,,,,,1569 kj(375 kcal),"0,5",0,"0,28","0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547,Harissa,6130098031823,,['France'],[],[],?,56,0,"7,3","2,5",,C,"['Epicerie', 'Sauces', 'Harissas']",,-47%,-100%,-20%,-1%,78.7%,9.3%,4.7%,4.8%,2.0%,0.5%,57,,234 kj(56 kcal),0,0,0,0,,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-48%,-100%,-100%,-100%,-100%,-1,-112%,A,-112%,,,,,,,
1548,Chair a tomate,0255180030709,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 10.095.001 CE', 'Chêne (Aube, France)']",,
