,name,bar_code,eco_score,quantity,brand,categories,labels,traceability_code,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,packaging,ingredients_origins,allergens,markets,generic_name,palm_ingredients,link,brand_owner,producer_info,origin_detail
878,"4 Coquilles Saint-Jacques, Recette à la Charentaise, Surgelé - Monique Ranou - 360g",3250390257127,,360 g,"['Monique Ranou', 'Sélection des Mousquetaires', 'Les Mousquetaires']","['Produits de la mer', 'Surgelés', 'Plats préparés', 'Mollusques', 'Plats préparés surgelés', 'Plats aux fruits de mer', 'Entrées', 'Plats aux noix de Saint-Jacques', 'Coquilles Saint-Jacques', 'Coquilles Saint-Jacques à la charentaise']","['Labels de distributeurs', 'Point Vert', 'Sélection Intermarché', 'Eco-Emballages', 'Ecolopass']","['FR 35.139.001 CE', 'Laillé (Ille-et-Vilaine, France)', 'EMB 35139A', 'Laillé (Ille-et-Vilaine, France)']",['France'],"['Eau', 'noix de Saint-Jacques 25,6 % ', 'mollusque', ' [Argopecten purpuratus Chili ', 'A', ' ou Pérou ', 'B', 'Zygochlamys patagonica Argentine ', 'C', ' ou Uruguay ', 'D', 'Chlamys opercularis France ', 'F', ' ou Iles Féroés ', 'H', ' ou Ecosse ', 'I', 'Argopecten circularis US ', 'G', ' *]', 'crème fraîche 16,3 % ', 'dont lait', 'farine de blé', 'champignons de Paris 7,2 %', 'margarine ', 'palme', 'colza', ""pulpe d'oignons "", 'oignons', 'sel', 'acidifiant : acide citrique', 'épaississant : amidon transformé de maïs', 'échalotes 1,3 % ', 'échalotes', 'sel', 'acidifiant : acide citrique', 'chapelure 1,3 % ', 'dont blé', 'sel arômes ', 'dont gluten', 'céleri', 'œuf_', 'lait', 'exhausteur de goût : glutamate de sodium', 'cognac 0,4 %', 'ail', 'persil 0,1 %', 'poivre']","['E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,6.5 g,en quantité modérée,4.3 g,en quantité modérée,1.3 g,en faible quantité,1.1 g,en quantité modérée,?,,114,-5%,477 kj(114 kcal),-7%,"6,5",+0%,"4,3",+2%,"7,9",+13%,"1,3",-15%,"5,6",-22%,"1,1",+34%,"0,44",+34%,6,+22%,C,+22%,,,,,,,,"['Sveltic (Filiale du Groupement Les Mousquetaires) - ZI Bout de Lande - 35890 Laillé', 'Ille-et-Vilaine', 'Bretagne', 'France']","['Surgelé', 'Sachet plastique à jeter', 'Emballage non recyclable']","['France', 'États-Unis', 'Argentine', 'Chili', 'Îles Féroé', 'Pérou', 'Uruguay', 'Ecosse', 'Lettre (A)', 'Lettre (B)', 'Lettre (C)', 'Lettre (D)', 'Lettre (F)', 'Lettre (G)', 'Lettre (H)', 'Lettre (I)', 'Noix de Saint-Jacques (Argopecten circularis)', 'Noix de Saint-Jacques (Argopecten purpuratus)', 'Noix de Saint-Jacques (Chlamys opercularis)', 'Noix de Saint-Jacques (Zygochlamys patagonica)']","['Céleri', 'Œufs', 'Gluten', 'Lait', 'Mollusques']",['Intermarché'],"Coquilles Saint-Jacques, recette à la charentaise",['Huile de palme'],,,,
879,Riz Thaï naturellement parfumé sachet - Saint Eloi - 500g,3250390257233,C,500 g,"['Saint Eloi', 'Intermarché']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz thaï', 'Riz blanc', 'Riz thaï blanc']","['Labels de distributeurs', 'Point Vert', 'Sélection Intermarché']",,['France'],"['Riz long grain de qualité supérieure origine Thaïlande', 'naturellement parfumé']",,[],1,0.9 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,1476,-1%,?,,1476 kj(353 kcal),-0%,"0,9",+21%,"0,1",-48%,78,0%,0,-100%,"6,7",-7%,0,-100%,0,-100%,0,,B,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,"['Sachet', 'Plastique']",['Thaïlande'],"['Gluten', 'Soja']",['Intermarché'],,,,,,
880,Crêpes jambon emmental - Monique Ranou - 1kg (20x 50g),3250390308003,B,1 kg (20 x 50 g),['Monique Ranou'],"['Plats préparés', 'Crêpes au fromage', 'Crêpes au jambon']","['Nutriscore', 'Viande-francaise', 'Nutriscore B', 'Viande-porcine-francaise']","['EMB 56251C', 'Theix (Morbihan, France)']",['France'],"['garniture 52,6%:eau,jambon cuit,6,7%', 'jambon de porc 5,2 France,sirop de glucose,sel,bouillon de legumes', 'blette,carotte', ',arôme naturel ,ferments', 'farine de blé', 'emmental3,6%,lait écrémé en poudre,huile de colza,crème fraîche', 'sel,oeufs frais,muscade,poivre', '\r pâte cuite 47', '6%: eau', 'farine de blé', 'oeufs frais', 'lait écrémé en poudre', 'huile de colza', 'sel']",,"['Non végétalien', 'Non végétarien']",4,7.2 g,en quantité modérée,1.9 g,en quantité modérée,3.6 g,en faible quantité,1.65 g,en quantité élevée,?,,165,-4%,690 kj(165 kcal),-3%,"7,2",+6%,"1,9",-22%,"17,5",-3%,"3,6",+11%,"6,9",-7%,"1,651",+72%,"0,66",+72%,5,+34%,C,+34%,57.1%,15.7%,5.5%,6.6%,3.2%,11.9%,79,"['Theix', 'Morbihan', 'France']","['Boite', 'Carton', 'Surgelé']",,"['Œufs', 'Gluten', 'Lait']",['Intermarché'],,,,,,
881,Le Tendrichon Pur Porc - Monique Ranou - 250g,3250390308058,C,250 g,['Monique Ranou'],"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']","['Labels de distributeurs', 'Viande-francaise', 'Sélection Intermarché', 'Viande-porcine-francaise']","['FR 43.211.009 CE', 'Saint-Maurice-de-Lignon (Haute-Loire, France)']",['France'],"['Viande de porc', 'sel', 'lactose', 'saccharose', 'dextrose', 'épices :', ' conservateurs : nitrate de potassium', 'nitrite de sodium,', ' Ferments : boyau naturel de porc']","['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,34.1 g,en quantité élevée,13.2 g,en quantité élevée,1.4 g,en faible quantité,4.94 g,en quantité élevée,?,,416,+3%,1741 kj(416 kcal),+3%,"34,1",+8%,"13,2",+7%,"1,7",-24%,"1,4",+2%,"25,6",-7%,"4,94",+6%,"1,976",+6%,25,+4%,E,+4%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,['Saint-Maurice-de-Lignon'],['Plastique'],['France'],['Lait'],['Intermarché'],Saucisson sec pur porc supérieur,,,,,
882,Saucisse sėche - Groupe louis delhaize - 250g,3250390330189,D,250 g,['Groupe louis delhaize'],"['Viandes', 'Charcuteries', 'Saucissons', 'Saucisses sèches']",,,['France'],"['Viande de porc ', 'origine:France', 'sel', 'lactose ', 'lait', 'sucre', 'dextrose', 'épices', ' conservateurs nitrate de potassium', 'nitrite de sodium: Ferments']","['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,36.3 g,en quantité élevée,13.3 g,en quantité élevée,1.9 g,en faible quantité,4.8 g,en quantité élevée,?,,441,+7%,1845 kj(441 kcal),+7%,"36,3",+13%,"13,3",+6%,"1,9",-15%,"1,9",+28%,"26,7",-8%,"4,8",+4%,"1,92",+4%,25,+4%,E,+4%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,['Lait'],,,,,,,
883,Saucisse sèche Aux Noisettes Qualité Supérieure - Monique Ranou - 250g,3250390331766,C,250 g,['Monique Ranou'],"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",,,['France'],"['Viande de porc ', 'origine France', 'noisettes entières ', '8%', 'sel', 'lactose', ' sucre', 'dextrose', 'épices', 'nitrate de potassium', 'nitrite de sodium', 'ferments']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,37.6 g,en quantité élevée,13 g,en quantité élevée,2 g,en faible quantité,3.82 g,en quantité élevée,?,,460,+14%,1925 kj(460 kcal),+14%,"37,6",+19%,13,+6%,"4,4",+97%,2,+46%,"25,9",-6%,"3,82",-18%,"1,528",-18%,25,+4%,E,+4%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,['Saint Maurice du Lignon'],['Plastique'],['France'],"['Lait', 'Noisettes entières']",['Intermarché'],,,,,,
884,Palmiers feuilletés - Netto - 100g,3250390383574,D,100 g,['Netto'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits feuilletés', 'Palmiers']","['Point Vert', 'Fabriqué en France']","['EMB 40001F', ""Aire-sur-l'Adour (Landes, France)""]",['France'],"['Farine de blé  58%', 'margarine ', 'huiles et graisses végétales ', 'palme', 'colza', ',eau', ' sel', ""émulsifiant : mono - et diglycérides d'acides gras"", ""correcteur d'acidité : acide citrique"", 'colorant : bêta-carotène', 'arôme', 'sucre', 'dextrose', 'sel', 'arôme', 'protéine de blé', 'poudre à lever : carbonates de sodium', 'arôme']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E160ai - Bêta-carotène', 'E500 - Carbonates de sodium']",['Huile de palme'],4,28.2 g,en quantité élevée,15.7 g,en quantité élevée,20 g,en quantité élevée,0.89 g,en quantité modérée,2209,+1%,528,+3%,2209 kj(528 kcal),+2%,"28,2",+3%,"15,7",0%,"61,7",+3%,20,-9%,"6,1",+3%,"0,89",-12%,"0,356",-12%,21,-9%,E,-9%,79.4%,12.3%,3.8%,2.3%,2.3%,0.0%,59,['France'],"['Carton', '2 sachets fraîcheur', 'Plastique', 'Boîte']",,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Avoine', 'Graines de sésame', 'Soja', 'Anhydride sulfureux et sulfites']",['Netto'],Biscuits Feuilletés,,,,,
885,Look Iced Tea 33cl - Saveur Pêche - Intermarché - 33cL,3250390389019,,33 cL,['Intermarché'],"['Boissons', 'Thés glacés', 'Boissons sans sucre ajouté']",,,['France'],"['Eau', 'sucre,jus de pêche à base de concentré ', '0,5%', ',acidifiant : acide citrique', 'extrait  de thé ', '1', '2 g/l', ""correcteur d'acidité : citrate de sodium"", 'arôme naturels', 'antioxydant : acide ascorbique']","['E330 - Acide citrique', 'E331 - Citrates de sodium', 'E300 - Acide ascorbique']",[],4,0.5 g,en faible quantité,0.1 g,en faible quantité,6.1 g,en quantité modérée,0.1 g,en faible quantité,?,,25,+14%,105 kj(25 kcal),+14%,"0,5",+257%,"0,1",+279%,"6,3",+20%,"6,1",+21%,"0,5",+240%,"0,1",+257%,"0,04",+257%,9,+23%,D,+23%,,,,,,,,,['Canette'],,,['Intermarché'],,,,,,
886,Compote Pomme Poire - Paquito - 4x 100g,3250390402688,B,4 x 100g,"['Paquito', 'intermarché']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes poires']","['Nutriscore', 'Nutriscore A']","['EMB 19123', 'Malemort-sur-Corrèze (Corrèze, France)']",['France'],"['purée de pommes 63,3%', 'purée de poires 30%', 'sucre', 'arôme naturel', 'antioxydant : acide ascorbique']",['E300 - Acide ascorbique'],"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0.5 g,en faible quantité,0.5 g,en faible quantité,14.9 g,en quantité élevée,0.01 g,en faible quantité,?,,75,+21%,314 kj(75 kcal),+20%,"< 0,5",+53%,"< 0,5",+483%,"17,4",+27%,"14,9",+20%,"< 0,5",+42%,"< 0,01",+19%,"0,004",+19%,-3,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,['france 19361 malemort-sur-corrèze'],"['étui carton recyclable', 'pot plastique jetable', 'opercule jetable', 'pot']",['Pommes france'],,['Intermarché'],,,http://www.intermarche.com,,,
887,Paturette Mousse A La Liegeoise - Paturages,3250390466888,,,['Paturages'],,,,['France'],"['babeurre', 'crème 24%', 'sucre', 'chocolat 4,8% ', 'sucre', 'beurre de cacao', 'cacao sec dégraissé', 'cacao maigre', 'cacao maigre', 'poudre de babeurre', 'gélatine bovine', 'émulsifiant : E471', 'amidons modifiés de manioc', 'arômes', 'gélifiants : E407', 'sel']","['E428 - Gélatine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,184,,769 kj(184 kcal),,"9,75",,"6,62",,19,,"17,2",,4,,"0,138",,"0,055",,,,,,,,,,,,,,,,['Lait'],['Intermarché'],,,,,,
888,Julienne de légumes - Saint Eloi - 600g,3250390500940,,600 g,"['Saint Eloi', 'Intermarché']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés', 'en:raw-thinly-shredded-vegetables']","['Labels de distributeurs', 'Point Vert', 'Riche en fibres']",,"['Belgique', 'France']","['Carottes ', '30% mini', 'poireaux ', '25% mini', 'céleri-rave ', '25% mini']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.5 g,en faible quantité,0.1 g,en faible quantité,2 g,en faible quantité,0.11 g,en faible quantité,104,+4%,?,,104 kj(25 kcal),-5%,"< 0,5",+59%,"< 0,1",+68%,"3,5",-5%,2,-26%,"1,1",+2%,"0,11",+18%,"0,044",+18%,-8,,A,,,,,,,,,['Belgique'],"['Sachet', 'Plastique', 'Surgelé']",,['Céleri'],['Intermarché'],Mélange de légumes surgelés,,,,,
889,Mon Gourmand au Torchon - Monique ranou - 4tranches / 160g,3250390636038,,4 tranches / 160g,['Monique ranou'],,['Sans gluten'],,['France'],[],,[],,,,,,,,,,?,,110,,460 kj(110 kcal),,"2,3",,"0,53",,"0,7",,"0,7",,"21,6",,"1,9",,"0,76",,,,,,,,,,,,,,,,,['Intermarché'],,,,,,
890,Pané au colin d'Alaska Odyssée - 5x 100g,3250390643203,E,5 x 100 g,['Odyssee'],"['Produits de la mer', 'Poissons', 'Plats préparés', 'Préparations de poisson', 'Produits panés', 'Poissons panés', 'Poissons panés de colin']","['Labels de distributeurs', 'Sélection Intermarché']","['FR 56.094.004 CE', 'Kervignac (Morbihan, France)']",['France'],"['Préparation à base de colin d’Alaska 70% : colin d’Alaska 48 % ', 'poisson', 'eau', 'calamar ', 'mollusques', 'amidon modifié', 'sel', 'épaississant : E461', ' ', '% exprimés sur la totalité du produit', ' \r Panure 30% : chapelure ', 'farine de blé', 'levure', 'sel', 'épices ', 'curcuma', 'paprika', 'enrobant ', 'eau', 'farine de blé', 'huiles végétales ', 'tournesol', 'colza']","['E14XX - Amidons modifiés', 'E461 - Méthylcellulose']","['Non végétalien', 'Non végétarien']",4,8.4 g,en quantité modérée,0.9 g,en faible quantité,0.5 g,en faible quantité,0.79 g,en quantité modérée,?,,195,+5%,816 kj(195 kcal),+5%,"8,4",+4%,"0,9",+4%,18,+14%,"0,5",-53%,11,-10%,"0,79",+1%,"0,316",+1%,0,,B,,88.5%,2.2%,1.2%,5.1%,0.6%,2.3%,21,,['Plastique'],,"['Poisson', 'Gluten', 'Mollusques']",['Carrefour'],Poisson pané,,,,,
891,Compote pomme fraise - Paquito - (4×100),3250390645375,B,(4×100),['Paquito'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes fraise']",,,['France'],"['Purée de pommes 72%', 'purée |de fraises 21,6%', 'sucre', 'ingrédient alimentaire colorant: concentré de carottes pourpres', 'antioxydant: acide ascorbique']",['E300 - Acide ascorbique'],[],3,0.5 g,en faible quantité,0.1 g,en faible quantité,15.4 g,en quantité élevée,0.01 g,en faible quantité,?,,66,+8%,276 kj(66 kcal),+7%,"0,5",+47%,"0,1",+10%,16,+19%,"15,4",+24%,"0,5",+33%,"0,01",+122%,"0,004",+122%,-2,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,,,['Intermarché'],,,,,,
892,Lait écrémé en poudre - Netto - 300g,3250390682882,,300 g,['Netto'],"['Boissons', 'Produits laitiers', 'Produits déshydratés', 'Laits', 'Produits lyophilisés à reconstituer', 'Boissons lyophilisées', 'Laits écrémés', 'Laits en poudre']",['Riche en calcium'],"['FR 71.448.001 CE', 'Saint-Martin-Belle-Roche (Saône-et-Loire, France)']",['France'],['Lait en poudre écrémé à dissolution instantanée'],,[],,,,,,,,,,?,,359,+12%,1502 kj(359 kcal),+8%,"0,8",-90%,"0,5",-89%,52,+37%,52,+45%,36,+49%,"1,1",+56%,"0,44",+56%,,,,,,,,,,,,"['Mâcon', 'Saône-et-Loire', 'France']",['Carton'],,['Lait'],['Netto'],,,,,,
893,Source Des Fées - Netto - 2L,3250390725084,,2 L,['Netto'],"['Boissons', 'Eaux', 'Eaux de sources', 'Eaux minérales']",['Point Vert'],,['France'],['Eau de source'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,,0 kj(0 kcal),,0,,0,,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,A,-100%,,,,,,,,,"['Bouteille', 'Plastique', '1', 'PET']",,,['Netto'],,,,,,
894,Bolognaise - Fiorini - 190g,3250390765301,D,190 g,['Fiorini'],"['Epicerie', 'Conserves', 'Produits à la viande', 'Sauces', 'Sauces à la viande', 'Sauces pour pâtes', 'Sauce tomate à la viande', 'Sauces bolognaises']","['Labels de distributeurs', 'Viande-francaise', 'Point Vert', 'Sélection Intermarché', 'Viande-bovine-francaise', 'Eco-Emballages']","['FR 84.080.002 CE', 'Monteux (Vaucluse, France)', 'EMB 84080B', 'Monteux (Vaucluse, France)']",['France'],"['Purée de tomates 45 %', 'pulpe de tomates 20 %', 'viande bovine précuite 14 %  ', 'équivalent viande crue 20 %', 'oignons 5 %', 'carottes 4 %', 'huile de tournesol', 'sucre', 'sel', ' amidon transformé de pomme de terre', 'ail', 'acidifiant : acide lactique', 'arôme naturel ', 'dont blé', 'céleri feuilles', 'poivre', 'thym 0,02 %']","['E14XX - Amidons modifiés', 'E270 - Acide lactique']","['Non végétalien', 'Non végétarien']",4,3.2 g,en quantité modérée,0.9 g,en faible quantité,5.5 g,en quantité modérée,1.3 g,en quantité modérée,327,-6%,?,,327 kj(78 kcal),-9%,"3,2",-22%,"0,9",-26%,"6,4",-2%,"5,5",+16%,"4,5",+0%,"1,3",+18%,"0,52",+18%,2,-12%,B,-12%,91.7%,4.0%,1.7%,1.5%,0.7%,0.5%,24,"['Louis Martin Production - Quartier La Peyrouse - Chemin de la Buire - 84170 Monteux', 'Vaucluse', ""Provence-Alpes-Côte d'Azur"", 'France']","['Bocal', 'Verre', 'Couvercle', 'Métal', 'Conserve']","['France', 'Viande de Bœuf']",['Gluten'],['Intermarché'],Sauce bolognaise à la viande de bœuf,,,,,
895,Petit Salé aux Lentilles - Claude Léger,3250390787266,C,,['Claude Léger'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Petits salés aux lentilles']",,,['France'],"['Sauce cuistiiée eau', 'amidon modifié de terre de sel', 'saindoux', 'farine de Lentilles réhydratées 32%', ' Viande de porc traitée en salaison 24% : viande de porc ', 'ori eau', 'plasma de norc', 'conservateurs : sel nitrité et diacétate stabilisants : phosphates ei un ule de sodium', 'arômes', ' lardons fumés 15%: oitrine de porc ', 'origine : France', 'sel', 'arôme de fumee', "" 'acidifiantt acide citrique"", 'conservateurs : sel nitrg erythorbate de sodium', ' légumes 2,4% : carottes', 'oignons ', 'dont conservateur : sulfites', ' INFORMATIONS :']","['E14XX - Amidons modifiés', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",4,4 g,en quantité modérée,1.7 g,en quantité modérée,0.5 g,en faible quantité,0.8 g,en quantité modérée,?,,115,-9%,481 kj(115 kcal),-5%,4,-16%,"1,7",+4%,"8,4",+8%,"0,5",-34%,"10,2",+8%,"0,8",-13%,"0,32",-13%,0,,B,,64.9%,20.7%,7.0%,3.9%,2.1%,1.5%,59,,,,,,,,,,,
896,Pots De Crème Au Chocolat - Paturages,3250390803409,B,,['Paturages'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Crèmes dessert', 'Desserts au chocolat', 'Crèmes dessert rayon frais', 'Crèmes dessert chocolat']",,,['France'],"['Lait entier 59,8%', 'sucre', 'crème 9,2%', 'chocolat 8,8% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant : lécithine de tournesol', 'arôme naturel de vanille', 'oeufs entiers extra-frais 8,1%', 'poudre de cacao maigre', 'poudre de lait écrémé', 'épaississants : cellulose', 'gomme de cellulose', 'gélifiant : carraghénanes']","['E322i - Lécithine', 'E460 - Cellulose', 'E466 - Carboxyméthylcellulose', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,7.4 g,en quantité modérée,4.6 g,en quantité modérée,18.5 g,en quantité élevée,0.12 g,en faible quantité,?,,166,+23%,695 kj(166 kcal),+23%,"7,4",+62%,"4,6",+60%,"20,3",+9%,"18,5",+16%,"4,7",+30%,"0,12",-20%,"0,048",-20%,8,+69%,C,+69%,72.7%,12.5%,5.4%,5.5%,3.0%,0.8%,77,,,,['Lait'],['Intermarché'],,,,,,
897,Thon albacore au Naturel - Odyssee - 132g,3250390806035,E,132 g,"['Odyssee', 'Sélection Intermarché']","['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', 'Thons tropicaux', 'Thons au naturel', 'Thons albacore', 'Thons albacore au naturel']","['Labels de distributeurs', 'Point Vert', 'Sélection Intermarché', 'Eco-Emballages']",['ES 12.06648/C C CE'],['France'],"['Thon albacore', 'eau', 'sel']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,0.8 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,1.15 g,en quantité modérée,?,,113,-3%,473 kj(113 kcal),-2%,"0,8",-47%,"0,2",-57%,0,-100%,0,-100%,"26,3",+4%,"1,15",+6%,"0,46",+6%,1,+162%,B,+162%,71.8%,6.5%,14.0%,6.7%,0.4%,0.5%,24,"['Frinsa del Noroeste S.A. - Avenida Ramiro Carregal Rey P.29 - Poligono Industrial de Xaras', '15960 Ribeira', 'Province de La Corogne', 'Galice', 'Espagne']","['Boîte', 'Conserve', 'Métal']",,,['Intermarché'],Poisson en conserve,,,,,
898,Assortiment asiatique - Itinéraire des saveurs - 380g,3250390834267,,380g,['Itinéraire des saveurs'],,,"['FR69243004', 'Tarare (Rhône, France)', 'EMB 69243F', 'Tarare (Rhône, France)']",['France'],[],,[],,,,,,,,,,?,,207,,866 kj(207 kcal),,"9,3",,"1,7",,"21,6",,4,,"8,2",,"1,4",,"0,56",,,,,,,,,,,,,,,,,['Intermarché'],,,,,,
899,Pâte à Tartiner Duo - Netto - 750g,3250390860563,D,750 g,['Netto'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",,,['France'],"['Sucre', 'huiles et graisses végétales ', 'palme', 'colza et tournesol', 'lactosérum ', 'dont lait', 'lactose ', 'dont lait', 'noisettes 4,5 %', 'cacao maigre en poudre 3,5 %', 'lait écrémé en poudre 2,4 %', 'émulsifiant : lécithines de tournesol', 'arômes : vanilline']",['E322i - Lécithine'],"['Huile de palme', 'Non végétalien']",4,29.2 g,en quantité élevée,11.2 g,en quantité élevée,60.4 g,en quantité élevée,0.19 g,en faible quantité,?,,535,-3%,2238 kj(535 kcal),-3%,"29,2",-14%,"11,2",+46%,"63,3",+23%,"60,4",+27%,"3,4",-50%,"0,19",+84%,"0,076",+84%,26,+26%,E,+26%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,['Italie'],"['Pot', 'Verre', 'Couvercle', 'Plastique', 'Opercule', 'Papier', 'Recyclable']",,"['Lait', 'Fruits à coque']",['Netto'],Pâte à tartiner aux noisette et au lait,,,,,
900,Pat Creme Uht LIQ.30% BT2 - Pâturages - 50cl (2 * 25cl e),3250390895398,B,50 cl (2 * 25 cl e),"['Pâturages', 'Intermarché']","['Produits laitiers', 'Crèmes', 'Crèmes entières', 'Crèmes liquides']","['Labels de distributeurs', 'Point Vert', 'Sélection Intermarché', 'en:Lait-francais-french-milk']","['FR 59.039.030 CE', 'Awoingt (Nord, France)']",['France'],"['Crème de lait', 'stabilisant : E407', 'émulsifiant : E472b']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",4,30 g,en quantité élevée,20 g,en quantité élevée,3.2 g,en faible quantité,0.1 g,en faible quantité,?,,292,-5%,1222 kj(292 kcal),-4%,30,-4%,20,-5%,"3,2",+1%,"3,2",+5%,"2,11",-8%,"0,1",+18%,"0,04",+18%,13,-2%,D,-2%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,['France'],"['Bouteille', 'Plastique']",['France'],['Lait'],['Intermarché'],,,,,,
