,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand,traceability_code,packaging,markets,quantity,additives,palm_ingredients,allergens,nova_score,ingredients_origins,manufacturing,generic_name,link,brand_owner,producer_info
683,Peanutter Shots - Mister CHOC - 150g,20045142,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées']","['Finlande', 'France', 'Allemagne']","['28% jauhettua ja paahdettua maapähkinää', 'sokeri', 'palmurasva', 'kaakaomassa', 'kaakaovoi', 'laktoosi ', 'maidosta', 'täysmaitojauhe', 'rypälesokeri', 'emulgointiaine ', 'auringonkukkalesitiini', 'suola', 'aromi', ' Saattaa sisältää pieniä määriä pähkinää', 'soijaa ja gluteenia']","['Huile de palme', 'Non végétalien']",40.2 g,en quantité élevée,18.2 g,en quantité élevée,38.9 g,en quantité élevée,0.53 g,en quantité modérée,2407,+9%,579,+11%,2407 kj(579 kcal),+10%,"40,2",+32%,"18,2",+10%,"41,2",-23%,"38,9",-17%,11,+79%,"0,53",+170%,"0,212",+170%,27,+11%,E,+11%,,,,,,,,"['Agriculture durable', 'en:UTZ Certified', 'en:utz-certified-cacao']",['Mister CHOC'],,"['5 PP', 'pp film-packet']",['Lidl'],150g,,,"['Lait', 'Arachides']",4,,,Maapähkinätäytteinen maitosuklaa,,,
684,Butterkäse - Milbona - 400g ℮,20045197,C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages en tranches']","['Danemark', 'Finlande', 'France', 'Suède']","['Pastöroitu maito', 'suola', 'hapatteet', 'mikrobiologinen juoksete']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",26 g,en quantité élevée,17.9 g,en quantité élevée,0.1 g,en faible quantité,1.8 g,en quantité élevée,1391,+0%,335,-1%,1391 kj(335 kcal),-2%,26,-3%,"17,9",-2%,"< 0,1",-90%,"< 0,1",-85%,24,+4%,"1,8",+5%,"0,72",+5%,16,+2%,D,+2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,"['Milbona', 'Lidl']","['DE MV-026 EG', 'DE NI-058 EG', 'DE NI-086 EG']","['PET/PE/EVOH', '♺']",['Lidl'],400g ℮,,,['Lait'],3,,['Germany'],Kermajuustoviipale,,,
685,Pain de mie spécial sandwich nature - MAÎTRE JEAN PIERRE - 750g,20067878,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Tartines craquantes']","['Finlande', 'France']","['Farine de blé ', '65%', 'eau', 'huile végétale ', 'colza', 'levure', 'sucre', ' sel', ""correcteur d'acidité : acétates de sodium "", ' conservateur : acide sorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4 g,en quantité modérée,0.5 g,en faible quantité,4 g,en faible quantité,1.25 g,en quantité modérée,1116,-31%,264,-31%,1116 kj(264 kcal),-30%,4,-12%,"0,5",-51%,48,-32%,4,-28%,"7,5",-24%,"1,25",+41%,"0,5",+41%,-1,-133%,A,-133%,65.1%,19.7%,8.5%,5.9%,0.7%,0.0%,90,['fi:valmistettu Suomessa'],['MAÎTRE JEAN PIERRE'],,['Kartonki'],['Lidl'],750 g,"['E262 - Acétates de sodium', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition']",,['Gluten'],3,,,Pain de mie nature,,,
686,pâte aux oeufs frais farcie d'une préparation à base de fromages - Villa gusto - 300g,20073350,,['en:fresh cheese ravioli'],['France'],"['pâte aux œufs frais ', '65%', ': semoule de blé dur de qualité supérieure', 'eau', 'œufs frais g', ' i0e3% ', '140g/kg de semoule', ' Pourcentage exprimé sur la pâte', ' Farce ', '35%', ' : fromages ', '57%', ' ', 'fromage blanc ricotta', 'comte fromage', 'chapelure ', 'farine de blé', 'eau', 'levure', 'flocons de pomme de terre', 'amidon', 'huile de tournesol', 'crème fraîche', 'protéines de lait', 'persil', 'sel', 'épice', ' Fabriqué dans un atelier utilisant du céleri']",['Non végétalien'],26.1 g,en quantité élevée,3.1 g,en quantité modérée,0.9 g,en faible quantité,0.56 g,en quantité modérée,1174,,325,,1174 kj(325 kcal),,"26,1",,"3,1",,"12,7",,"0,9",,"7,7",,"0,56",,"0,224",,2,,B,,,,,,,,,,['Villa gusto'],"['FR 57.474.001 CE', 'Mondelange (Moselle, France)']","['Barquette', 'Film en plastique']",,300 g,,,"['Gluten', 'Lait']",4,,,pâte aux oeufs frais farcie d'une préparation à base de fromages,,,
687,Yaourt Brassé Nature - Norma,20077259,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature', 'Yaourts brassés', 'Yaourts brassés nature']",['France'],[],[],3.5 g,en quantité modérée,2.3 g,en quantité modérée,3.6 g,en faible quantité,0.1 g,en faible quantité,?,,60,-25%,251 kj(60 kcal),-24%,"3,5",-25%,"2,3",-24%,"3,6",-24%,"3,6",-18%,"3,7",-8%,"0,1",-17%,"0,04",-17%,0,-100%,B,-100%,,,,,,,,,['Norma'],,,,,,,,,,,,,,
688,Lardons allumettes - Dufaure Et Fils - 2x 100g,20087357,,,['France'],[],[],,,,,,,,,?,,261,,1092 kj(261 kcal),,22,,"8,5",,"0,7",,"0,5",,15,,"2,6",,"1,04",,,,,,,,,,,,,,['Dufaure Et Fils'],,['Frais'],,2 x 100 g,,,,,,,,,,
689,Pâté lorrain,2010000004975,,,['France'],[],[],,,,,,,,,?,,319,,1335 kj(319 kcal),,18,,"0,6",,27,,0,,"6,8",,"3,1",,"1,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,Maltitol Pralin,2010005530011,,,['France'],[],[],,,,,,,,,?,,483,,2021 kj(483 kcal),,36,,"13,5",,"47,34",,"3,2",,"6,81",,"19,38",,"7,752",,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,Roomboter Appelkoeken - Hema - 375g,2010194599998,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']","['France', 'Royaume-Uni']","['FARINE DE BLÉ', 'sirop de glucose-fructose', 'sucre', '12,7% CONCENTRE DE BEURRE', '4,1% purée de pommes', '1,6% pomme séchée', '1,6% raisins de Corinthe', 'FÈVES DE SOJA', 'dextrose', 'amidon de mails modifié', 'sirop de glucose', 'émulsifiants LÉCITHINE DE SOJA E440', 'FARINE DE SOJA', 'sel', 'stabilisant E420', 'huile ecolza', 'farine de riz', 'cannelle', 'arôme naturel de pomme', 'acidifiant E332', 'affermissant E509', ""correcteur d'acidité noyaux d'abricots"", 'PROTÉINE DE LAIT', 'arôme naturel de cifron', ""arome d'amande"", 'huile de palme poudres à eer E450 E500 E503', 'LACTOSE', 'Conservateurs E202 E281', 'colorant El60a']",['Non végétalien'],13.7 g,en quantité modérée,9.1 g,en quantité élevée,36.7 g,en quantité élevée,0.3 g,en quantité modérée,?,,392,-17%,1640 kj(392 kcal),-18%,"13,7",-34%,"9,1",-10%,63,-2%,"36,7",+24%,"3,5",-46%,"0,3",-49%,"0,12",-49%,21,+6%,E,+6%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,['Hema'],,['Plastique'],['Hema'],375 g,"['E420 - Sorbitol', 'E332 - Citrates de potassium', 'E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition', 'E500 - Carbonates de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E281 - Propionate de sodium']",['Huile de palme'],"['Gluten', 'Lait', 'Soja']",4,,,,,,
692,ORGANIC Camomile & Lemongrass Infusion - Hema,2018432899992,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions']",['France'],"['73,5% camomille*', '25% herbe à citron*', 'arôme']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,"['Bio', 'Bio européen', 'Agriculture non UE', 'en:IN-BIO-134']",['Hema'],,,,,,,,4,,,,,,
693,Almonds and peanuts with seaweed,2018514699991,,,['France'],"['of which saturates 6', '2g', 'carbohydrates 14', '8g/of ergy 2594 k', ' which sugars 4', '5g', 'fibre 9', '7g', 'protein 23', '5g', 'salt 1', '52g', ' keep in a cool', 'dry place', ' packaged in a protective atmosphere', ' best before: see packaging', "" nl pinda's en amandelen met kruiden en stukjes zeewier ingrediënten: 49,5% pinda"", '43,5% amandel', 'maltodextrine', 'tapioca dextrine', 'zout', 'pindaolie', '0,5% zeewier', 'zeezout', 'gistextract', 'specerijen', '0,2% kruiden ', 'bevat selderij', 'zonnebloemolie', 'uipoeder', 'knoflookpoeder', 'natuurlijk aroma ', 'bevat schaaldieren', 'selderij', 'voedingszuur e330', ' bevat mogelijk andere noten', '""is', 'weekdieren', ' voedingswaarde per 100g: energie']",[],,,,,,,,,?,,626,,2619 kj(626 kcal),,"50,4",,"6,2",,"14,8",,"4,5",,"23,5",,"1,52",,"0,608",,,,,,,,,,,,,,,,,,,['E330 - Acide citrique'],,,,,,,,,
694,Tortellini Mit Lachsfüllung - Italiamo - 500g,20114787,,,"['France', 'Suisse']","['tallen', "" I Stl un Biscuits apéritifs avec 14% d'huile d'olive et du piment ngrédients: farine de blé"", ""14% huile d'olive"", 'vin blanc ', 'sulfites', 'sel de uisine', '1% piment rouge', ""huile d'olive vierge extra"", 'levure-mère ', 'farine de lé tendre', 'eau']",[],,,,,,,,,1675,,397,,1675 kj(397 kcal),,"8,1",,2,,72,,"2,6",,"10,1",,"2,425",,"0,97",,,,,,,,,,,,,,['Italiamo'],,,['Lidl'],500 g,,,['Anhydride sulfureux et sulfites'],,,,,,,
695,Citron citron vert - Surf - 1.5L,20117368,,"['Boissons', 'Boissons sans alcool', 'Boissons sans sucre ajouté']",['France'],"['eau minérale naturelle renforcée au gaz de la source Puits St Georges', 'arôme naturel de citron et citron vert']",[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.12 g,en faible quantité,?,,0.5,-99%,2 kj(0 kcal),-99%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,"0,12",+477%,"0,048",+477%,1,-86%,B,-86%,,,,,,,,,['Surf'],,['Plastique'],,1.5L,,,,4,,,,,,
696,Champignons de Paris entiers,20124205,,,['France'],[],[],,,,,,,,,?,,20,,84 kj(20 kcal),,"0,5",,"0,3",,"0,1",,0,,"2,3",,"0,75",,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,Linguas de gato - Sondey,20127244,,,['France'],['PORTUGAL ORIGINAL'],[],,,,,,,,,?,,390,,1632 kj(390 kcal),,"3,9",,"1,9",,"82,6",,"44,6",,"4,9",,"0,4",,"0,16",,,,,,,,,,,,,,['Sondey'],,,['Lidl'],,,,,,,,,,,
698,Napoli pasta sauce - Villa Gusto,20161873,,"['Epicerie', 'Sauces']",['France'],"['Purée et pulpe de tomates 82%', 'oignons 6%', 'carottes 5%', 'céleri 2%', 'sucre', 'amidon modifie de mais', 'sel', 'plantes aromatiques', 'huile de tournesol', 'acidifiant : acide citrique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.6 g,en faible quantité,0.1 g,en faible quantité,4.7 g,en faible quantité,1.2 g,en quantité modérée,?,,38,-84%,159 kj(38 kcal),-84%,"0,6",-97%,"0,1",-95%,"5,7",-42%,"4,7",-27%,"1,6",-41%,"1,2",-50%,"0,48",-50%,0,-100%,B,-100%,,,,,,,,,['Villa Gusto'],,,,,"['E14XX - Amidons modifiés', 'E330 - Acide citrique']",,['Céleri'],4,,,,,,
699,Chopped tomatoes - Simply - 400g,20164072,,,['France'],[],[],,,,,,,,,?,,20,,84 kj(20 kcal),,"0,2",,"0,1",,"3,6",,"2,7",,"0,7",,"0,01",,"0,004",,,,,,,,,,,,,,['Simply'],,"['aluminium-can', 'paper-unknown']",,400g,,,,,,,,,,
700,Eis-Sandwich Classic - Riva - 720ml (8x90ml),20169220,B,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Sandwichs à la crème glacée']","['Autriche', 'République tchèque', 'France', 'Allemagne']","['Entrahmte Milch', 'Molkenerzeugnis', 'pflanzliche Fette ', 'Kokos', 'Palm', 'Zucker', 'Glukose-Fruktose-Sirup', 'Glukosesirup', 'Weizenmehl', 'fettarmer Kakao', 'Weizengluten', 'Emulgatoren: Mono - und Diglyceride von Speisefettsäuren', 'Lecithine ', 'Soja', ' Stabilisatoren: Johannisbrotkernmehl', 'Guarkernmehl', ' färbendes Karottenkonzentrat', 'Backtriebmittel: Natriumcarbonate', ' natürliches Vanillearoma', 'Speisesalz']","['Huile de palme', 'Non végétalien']",16.6 g,en quantité modérée,13.7 g,en quantité élevée,19.7 g,en quantité élevée,0.1 g,en faible quantité,1119,,268,-5%,1119 kj(268 kcal),-5%,"16,6",+29%,"13,7",+52%,"26,9",-24%,"19,7",-8%,"2,4",-38%,"0,1",-53%,"0,04",-53%,17,+12%,D,+12%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,"['en:German Agricultural Society', ""Médaille d'argent de la Société Allemande d'Agriculture"", 'Agriculture durable', ""Médaille d'argent 2019 de la Société Allemande d'Agriculture"", 'en:FSC', 'FSC Mix', 'Fabriqué en Allemagne', 'en:UTZ Certified', 'en:utz-certified-cacao']",['Riva'],,"['21', 'PAP', 'Papier']",['Norma'],720ml (8x90ml),"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322 - Lécithines', 'E412 - Gomme de guar', 'E500 - Carbonates de sodium']",,"['Gluten', 'Lait', 'Soja']",4,,['Deutschland'],Eis Vanille mit kakaohaltiger Fettglasur zwischen zwei Waffelblättern,,,
701,Deluxe Frutti Di Mare - Italiamo - 300g,20173425,,"['Surgelés', 'Plats préparés', 'Plats préparés surgelés', 'Plats aux fruits de mer']",['France'],"['84% fruits de mer ', '50% calamar cru ', 'mosllusque', '30% moules precuit ', 'mollusque', '20% crevettes cru [crevettes ', 'crustacés', 'sel]', '16% marinade aux plantes aromatiques ', 'eau', 'huiles végétales [colza', 'noix de coco]', 'sirop de glucose', ""9% huile d'olive"", '7% basilic', 'sel', 'amidon modifié ', 'pomme de terre', 'épices', 'arôme naturel']","['Non végétalien', 'Non végétarien']",3.9 g,en quantité modérée,1.2 g,en faible quantité,0.5 g,en faible quantité,0.88 g,en quantité modérée,407,-35%,97,-41%,407 kj(97 kcal),-39%,"3,9",-49%,"1,2",-61%,"3,5",-75%,"0,5",-75%,"11,7",+70%,"0,88",-6%,"0,352",-6%,0,-100%,B,-100%,,,,,,,,"['Pêché à la ligne', 'en:FSC', 'FSC Mix', 'Pêché au chalut', 'Fsc-c023094']",['Italiamo'],"['FR 67.482.004 CE', 'Strasbourg (Bas-Rhin, France)']","['Carton', 'surgelé']",['LIDL'],300 g,['E14XX - Amidons modifiés'],,"['Crustacés', 'Œufs', 'Poisson', 'Lait', 'Mollusques', 'Soja', 'Anhydride sulfureux et sulfites']",4,"['Chili', 'Atlantique Sud-Ouest', 'FAO 41', 'FAO 51', 'FAO 57', 'Océan Indien']",,"Mélange de fruits de mer assaisonné avec huile d'olive et basilic, surgelé",,,
702,Croustillants Cacahuète - Crusti Croc - 140g,20181482,B,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",['France'],"['Semoule de mais,cacahuètes grillées moulues,huile de tournesol,sel,arôme naturel,maltodextrine']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",22.5 g,en quantité élevée,2.8 g,en quantité modérée,2.2 g,en faible quantité,1.57 g,en quantité élevée,2043,+2%,488,+5%,2043 kj(488 kcal),+4%,"22,5",+13%,"2,8",-48%,"54,8",-8%,"2,2",-44%,15,+52%,"1,575",-21%,"0,63",-21%,11,-29%,D,-29%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,['Crusti Croc'],,['Sachet plastique'],['Lidl'],140 g,,,,4,,['France'],Snacks au maïs et à la cacahuète,,,
703,Farine de blé Bio Sonne type 65,20187484,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé', 'Farines de froment', 'Farines de blé type T65']",['France'],"[""Farine de blé issue de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",1.5 g,en faible quantité,0.2 g,en faible quantité,0.5 g,en faible quantité,0.01 g,en faible quantité,?,,340,-1%,1423 kj(340 kcal),-1%,"1,5",+27%,"0,2",+1%,69,-2%,"0,5",-71%,11,-2%,"0,01",+36%,"0,004",+36%,-5,,A,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,"['Bio', 'Fabriqué en Allemagne']",['BIO SONNE'],,,,,,,,1,,,,,,
704,Anchoas del cantabrico,20190163,,,['France'],[],[],,,,,,,,,?,,175,,732 kj(175 kcal),,"7,6",,1,,0,,0,,"26,6",,"14,25",,"5,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Fromage,20191184,,,['France'],[],[],,,,,,,,,?,,347,,1452 kj(347 kcal),,27,,"19,2",,0,,0,,26,,"1,35",,"0,54",,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,Caffè latte Machiato - Caffeciao,20194277,,,['France'],[],[],,,,,,,,,?,,79,,331 kj(79 kcal),,"3,9",,"2,5",,"8,1",,"8,1",,"2,8",,"0,15",,"0,06",,,,,,,,,,,,,,['Caffeciao'],,,,,,,,,,,,,,
707,Mélange de Fruit à Coque et de Raisins Secs,20197193,,,['France'],[],[],,,,,,,,,?,,488,,2042 kj(488 kcal),,"31,8",,"4,3",,"36,4",,"33,3",,"10,4",,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,La lune de Landerneau - La Chocolaterie,2020000261599,,,['France'],"[""'Lune de Landerneau noir "", 'praliné ', 'sucre', 'noisettes', 'amandes', 'graisse végétale ', 'tournesol', 'émulsifiant : lécithine de soja', 'pailleté feuilletine ', 'farine de blé', 'sucre', 'matière grasse laitière anhydre', 'sucre du lait', 'protéine du lait', 'sel', 'extrait de malt ', 'orge', 'chocolat noir ', 'fève de cacao', 'sucre de canne', 'beurre de cacao', 'émulsifiant : lécithine de soja', 'chocolat lait ', 'sucre de canne', 'beurre de cacao', 'lait en poudre', 'fève de cacao', 'émulsifiant: lécithine de soja', 'beurre', 'beurre de cacao', 'Lune de Landerneau lait ', 'praliné ', 'sucre', 'noisettes', 'amandes', 'graisse végétale ', 'tournesol', 'émulsifiant : lécithine de soja', 'chocolat lait ', 'sucre de canne', 'beurre de cacao', 'lait en poudre', 'fève de cacao', 'émulsifiant :lécithinedesoja', 'pailleté feuilletine ', 'farine de blé', 'sucre', 'matière grasse laitière anhydre', 'sucre du lait', 'protéine du lait', 'sel', 'extrait de malt ', 'orge', 'beurre', 'beurre de cacao', ""Informations et boutique en' ligne www"", 'la-chocolaterie', 'fr']",['Non végétalien'],,,,,,,,,?,,556,,2326 kj(556 kcal),,"34,8",,"13,3",,"52,2",,"43,9",,"6,6",,"0,3",,"0,12",,,,,,,,,,,,,,['La Chocolaterie'],,,,,['E322i - Lécithine'],,"['Gluten', 'Lait', 'Fruits à coque']",4,,,,,,
709,Rochers coco/Galleta de coco - Hema,2020203699991,C,"['Biscuits et gâteaux', 'Pâtisseries', 'Rochers à la noix de coco']",['France'],"['Noix de coco 36,4%', 'sucre', 'farine de riz', 'sirop de glucose-fructose', 'OEUF DE POUE ELEVÉE AU SOL', 'eau', 'amidon de tapioca', 'FARINE DE BLÉ', 'AMIDON DE BLE', 'poudres à lever E450 E500', 'épaississant E466', 'fécule de pommes de ferre', 'zeste de citron', 'arôme naturel de ciron', ' Peut contenir: SOJA', 'LAIT', 'FRUITS À COQUE']",[],24 g,en quantité élevée,21 g,en quantité élevée,37.2 g,en quantité élevée,0.25 g,en faible quantité,?,,461,+3%,1929 kj(461 kcal),+3%,24,+2%,21,+2%,"54,2",+5%,"37,2",-14%,"3,8",-11%,"0,25",+69%,"0,1",+69%,19,-16%,E,-16%,73.2%,12.2%,5.9%,5.6%,3.1%,0.0%,74,,['Hema'],,,['Hema'],,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E466 - Carboxyméthylcellulose']",,"['Œufs', 'Gluten']",4,,,,,,
710,Gateau aux oeufs - HEMA - 250g,2026626199995,,"['Biscuits et gâteaux', 'Gâteaux']","['Autriche', 'France', 'Royaume-Uni']","['FARINE DE BLÉ', 'Sucre', ""14% POUDRE D'ŒUF DE POULE ÉLEVÉE AU SOL"", 'dextrose', 'sirop de glucose', 'FARINE DE SOJA', 'poudres à lever E450 E500 E503', 'amidon de maïs', 'PROTÉINE DE SOJA', 'acidifiant E330', 'PROTÉINE DE LAIT', 'arôme naturel', 'sel']",['Non végétalien'],2.4 g,en faible quantité,0.7 g,en faible quantité,33.7 g,en quantité élevée,0.7 g,en quantité modérée,?,,300,-26%,1255 kj(300 kcal),-25%,"2,4",-88%,"0,7",-91%,"59,8",+20%,"33,7",+21%,"8,8",+62%,"0,7",+15%,"0,28",+15%,12,-33%,D,-33%,,,,,,,,,['HEMA'],,['Stück'],,250 g,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E330 - Acide citrique']",,"['Gluten', 'Lait', 'Soja']",4,,,,,,
711,Gaufres hollandaises café,2027329399996,,,['France'],[],[],,,,,,,,,?,,450,,1883 kj(450 kcal),,21,,12,,60,,35,,0,,"3,5",,"1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,Cacahuètes non salées,2027341199994,,,['France'],[],[],,,,,,,,,?,,623,,2607 kj(623 kcal),,"51,3",,8,,"11,2",,"5,4",,"24,9",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,Nacho Cheese - Hema,2029692999995,C,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de maïs']",['France'],"['Mais 65,9%', 'huile de tournesol 26,1%', 'sel', 'extrait de lactosérum ', 'lait', 'huile de palme', 'dextrose', ""poudre d'oignon"", 'lait', 'présure', 'ferment', 'lactosérum ', 'lait', 'acidifiant E330 E339', 'colorants E160c E160b', 'arôme', 'antiagglomérants E341iii E551', 'ail en poudre', 'épices', 'extrait de paprika', 'arômes', 'antioxydant E392']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",25.7 g,en quantité élevée,3 g,en quantité modérée,4.2 g,en faible quantité,3 g,en quantité élevée,?,,457,-6%,1912 kj(457 kcal),-5%,"25,7",+13%,3,+2%,"48,9",-19%,"4,2",+122%,"1,7",-73%,3,+156%,"1,2",+156%,12,+24%,D,+24%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,['Hema'],,,['Hema'],,"['E330 - Acide citrique', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E160c - Extrait de paprika', 'E160b - Rocou', 'E341iii - Phosphate tricalcique', 'E551 - Dioxyde de silicium', 'E392 - Extrait de romarin']",['Huile de palme'],['Lait'],4,,,"CHIPS TORTILLA AU FROMAGE 0,6%",,,
714,Gouda,20205447,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas']",['France'],[],[],30 g,en quantité élevée,18.3 g,en quantité élevée,0 g,en faible quantité,2 g,en quantité élevée,?,,370,-1%,1548 kj(370 kcal),-0%,30,-2%,"18,33",-11%,0,-100%,0,-100%,25,+4%,2,+6%,"0,8",+6%,17,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['IGP'],,,,,,,,,,,,,,,
715,Thé glacé - Pataya - 0.5L,20207564,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons au thé', 'Thés glacés', 'Boissons sans sucre ajouté']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,6.5 g,en quantité élevée,0.06 g,en faible quantité,?,,27,+35%,113 kj(27 kcal),+33%,0,-100%,0,-100%,"6,6",+40%,"6,5",+45%,0,-100%,"0,06",+137%,"0,024",+137%,9,+35%,D,+35%,45.5%,1.5%,24.0%,16.3%,10.0%,2.7%,68,,['Pataya'],,"['Bouteille', 'Plastique']",['Lidl'],0.5 L,,,,,,,,,,
716,Ace - Solevita,20218447,,,['France'],[],[],,,,,,,,,?,,41,,172 kj(41 kcal),,"0,1",,"0,1",,"9,8",,"9,7",,"0,2",,"0,01",,"0,004",,,,,,,,,,,,,,['Solevita'],,,,,,,,,,,,,,
717,I Fruttati - Deluxe,20228477,,,['France'],"['65 % \'Aceto Balsamico di Modena IGP"" [vinaigre de vin sulfites', ""colorant caramel au sulfite d'ammoniuml"", '35 % moût de poire', ' Non consommerde préférence avant le: voir bouchon', ' Valeurs nuÙiüonnetles moyennes pour 100 ml: Energe: 700 Glucides: 36,6g', 'dont sucres: 36,0 g', ' Protéines: g Sel: 0 g', ' Hergestelltund abgefülttin ttafien', '/Élaboréetmisen bouteille en Italie', ' AcetificioM', ' de Caivano', 'NA', ' 250 ml e Nettoinhatt/Volume net']",[],,,,,,,,,?,,164,,686 kj(164 kcal),,0,,0,,"36,6",,36,,"1,5",,0,,0,,,,,,,,,,,,,['IGP'],['Deluxe'],,,['Lidl'],,,,,,,,,,,
718,Confiture de fraise - Maribel - 420g,20270308,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']","['France', 'Pays-Bas']",[],[],0.1 g,en faible quantité,0.1 g,en faible quantité,41 g,en quantité élevée,0.03 g,en faible quantité,?,,172,-21%,720 kj(172 kcal),-21%,"0,1",-59%,"0,1",+122%,41,-23%,41,-19%,"0,4",-10%,"0,03",+32%,"0,012",+32%,10,+15%,C,+15%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['Fabriqué en Allemagne'],['Maribel'],,,['Lidl'],420 g,,,,,,,,,,
719,Baguette Energus 200g - 200g,2030000025817,,,['France'],[],[],,,,,,,,,?,,270,,1130 kj(270 kcal),,"13,4",,"1,8",,"5,9",,"1,9",,"26,5",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,
720,Muffin vanille cacao noisettes,2030500110709,,,['France'],[],[],,,,,,,,,?,,462,,1933 kj(462 kcal),,24,,"2,5",,55,,29,,"5,5",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,
