,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,traceability_code,quantity,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,allergens,packaging,nova_score,generic_name,markets,additives,origin_detail,producer_info,ingredients_origins,manufacturing,link,palm_ingredients,brand_owner
1034,Infusion detox hibiscus citron - U Bio - 30g,3256228103703,['France'],"['Hibiscus* 30%', 'cynorrhodon * 30%', 'citronnelle * 30%', 'arôme naturel de citron* 10%', "" *ingrédient issu de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,"['U Bio', 'U']",,30 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'en:FSC', 'Transformé en France']",,,4,,"['Magasins U', 'Super U']",,,,,,,,
1035,Salade Bowl Riz et Quinoa / Courgette & Feta - Monoprix,3350033701885,['France'],[],[],?,132,552 kj(132 kcal),"7,5","2,2",12,"3,1","3,2",1,"0,4",['Monoprix'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Monoprix'],,,,,,,,
1036,Orange a jus,8412276323615,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,Brioche tressée en tranches épaisses pur beurre,3173310023698,['France'],[],[],?,383,1602 kj(383 kcal),16,12,50,15,"9,2","0,77","0,308",,,,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches tressées']",16 g,en quantité modérée,12 g,en quantité élevée,15 g,en quantité élevée,0.77 g,en quantité modérée,,+7%,+8%,+25%,+88%,-3%,+4%,+14%,-23%,-23%,20,+25%,E,+25%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,,,
1038,Kariot,0084685000883,['France'],[],[],?,465,1946 kj(465 kcal),"16,1","3,4","73,2","39,6","6,7","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,Badoit bulles et thé,3068320124308,['France'],[],[],?,1,4 kj(1 kcal),"0,5",0,"10,9","3,3","0,5","0,2","0,08",['Badoit'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,Filetes de anchoa aceite de oliva pesca del cantábrico,8433329059442,['France'],[],[],?,175,732 kj(175 kcal),"7,6",1,0,0,27,12,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,Bac vanille macadamia - U - 509g,3256228102799,['France'],"['LAIT entier ', 'France', 'sirops de glucose', 'eau', 'CREME ', 'France', ' 13,8%', 'LAIT ÉCRÉMÉ réhydraté ', 'France', 'sucre', 'LACTOSERUM en poudre', 'morceaux de NOIX DE MACADAMIA caramélisés 2,9% ', 'NOIX DE MACADAMIA 2%', 'sucre', 'sucre caramélisé avec morceaux de macadamia 2% ', 'sucre', 'sirop de glucose', 'NOIX DE MACADAMIA 0,3%', 'BEURRE', 'sel', 'émulsifiant : lécithines de tournesol', 'arôme naturel de vanille', 'poudre à lever : carbonates de sodium', 'caramel au BEURRE salé 1,4% ', 'sirop de glucose', 'LAIT concentré sucré', 'BEURRE salé 0,2%', 'eau', 'sucre', 'sel', 'LAIT concentré', ""émulsifiant : mono et diglycérides d'acides gras"", ""esters lactiques des mono et diglycérides d'acides gras"", 'gélifiants : farine de graines de caroube', 'gomme guar', 'gomme xanthane', 'pectines', 'concentré de carotte', 'arôme naturel de vanille', 'gousses de vanille épuisées broyées', 'sirop de sucre caramélisé', 'concentré de carthame', 'sel', ' Traces éventuelles de gluten', 'arachide', 'autres fruits à coque', 'soja et oeuf']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",902,215,902 kj(215 kcal),9,"5,1",31,23,2,"0,15","0,06",['U'],,509 g,,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets']",9 g,en quantité modérée,5.1 g,en quantité élevée,23 g,en quantité élevée,0.15 g,en faible quantité,0%,+6%,+6%,+4%,-9%,+10%,-3%,-18%,+24%,+24%,12,+5%,D,+5%,,,,,,,,"['Sans arômes artificiels', 'Transformé en France']","['Lait', 'Fruits à coque']",['Surgelés'],4,,['Magasins U'],"['E322i - Lécithine', 'E500 - Carbonates de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E440 - Pectines']",,,,,,,
1042,Pan di stelle crema - Barilla - 330g,46536143,['France'],[],[],?,527,2205 kj(527 kcal),"30,2","5,3","53,1",51,"8,3","0,113","0,045",['Barilla'],,330 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,Mentos fresh cola,87345285,['France'],[],[],?,389,1628 kj(389 kcal),"1,9","1,7",92,69,0,"0,1","0,04",['Mentos'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,Easter moment,8714601011014,['France'],[],[],?,546,2284 kj(546 kcal),33,18,54,53,"7,1","0,36","0,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,Chips,0059749878692,['France'],[],[],?,520,2176 kj(520 kcal),32,3,64,4,4,"1,75","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,Novalac AR+,3518073923012,['France'],[],[],?,498,2084 kj(498 kcal),"25,1",9,56,25,5,"0,413","0,165",,,,B,"['Aliments pour bébé', 'Laits pour bébé']",,,,,,,,,,+114%,+121%,+153%,+177%,+111%,+45%,+4%,+131%,+131%,,,,,71.8%,1.0%,10.1%,9.4%,6.0%,1.7%,94,,,,,,,,,,,,,,
1047,Brooklyn bel air sour - 335ml,5707643300836,"['France', 'Italie']","['eau', ""malt d'orge"", 'malt de blé', 'houblon', 'levure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,0,0,"['Brooklyn', 'The Brooklyn Brewery']",,335 ml,C,"['Boissons', 'Boissons alcoolisées', 'Bières', ""Bière à 4-5° d'alcool"", 'Bières américaines']",,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,['Déconseillé aux femmes enceintes'],"['Gluten', 'Malt de blé']","['Bouteille', 'Verre', 'métal', 'Capsule']",3,Bière sour ale,['Carrefour Market'],,,,,"['États-Unis', 'New York']",https://brooklynbrewery.com/brooklyn-beers/year-round/bel-air-sour/,,
1048,Sodastream pepsi - 440ml,8719128117409,['France'],"['sucre', 'eau', 'Colorant caramel E150d', 'acidifiants ', 'acide phosphorique', 'acide citrique', ""correcteur d'acidité "", 'citrate de sodium', 'édulcorants ', 'sucralose', 'acésulfame-K', 'arômes dont caféine', 'stabilisateur ', 'gomme arabique', 'conservateur ', 'benzoate de sodium']",['Sans huile de palme'],57,14,57 kj(14 kcal),0,0,"3,4","3,3",0,"0,02","0,008","['Pepsi', 'Sodastream']",,440ml,B,"['Boissons', 'Sirops', 'Boissons édulcorées', 'Sirops aromatisés', 'Boissons avec sucre ajouté', 'Concentré']",,,,,,,,,+46%,-7%,-3%,-100%,-100%,+26%,+41%,-100%,-43%,-43%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,['Bouteille plastique'],4,,,"[""E150d - Caramel au sulfite d'ammonium"", 'E338 - Acide orthophosphorique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E955 - Sucralose', 'E950 - Acésulfame K', ""E414 - Gomme d'acacia"", 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition']",,,,,https://sodastream.fr/products/pepsi,,
1049,Côtes du Rhône Belis,3760052891212,['France'],[],[],?,?,,?,,?,,?,,,,,,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Côtes du Rhône']",,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,['France'],,,,
1050,Barilla penne lisce,8076809519618,['France'],[],[],?,85,356 kj(85 kcal),2,"0,5","71,2","3,5","12,5",,,['Barilla'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,Tiramisu - Yarden - 82g,7290005431937,['France'],[],[],?,294,1230 kj(294 kcal),20,11,27,18,3,"0,97","0,388",['Yarden'],,82 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,Fruit Shoot au jus de pomme - Teisseire,3092718629090,['France'],[],[],?,24,100 kj(24 kcal),0,0,"5,1","4,2",0,0,0,['Teisseire'],,,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits']",0 g,en faible quantité,0 g,en faible quantité,4.2 g,en quantité modérée,0 g,en faible quantité,,-48%,-48%,-100%,-100%,-52%,-57%,-100%,-100%,-100%,-3,-179%,B,-179%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,
1053,Fromage blanc - Leader Price,3263859715397,['France'],[],[],?,107,448 kj(107 kcal),"7,6",5,"3,9","3,9","5,7","0,13","0,052",['Leader Price'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leader Price'],,,,,,,,
1054,Pleurotes en lanières - Thiriet,3292590834227,['France'],[],[],?,27,113 kj(27 kcal),"0,5","0,2","2,3","1,1","1,7",0,0,['Thiriet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Thiriet'],,,,,,,,
1055,Seitan gourmet grill,2550208002781,['France'],[],[],?,144,602 kj(144 kcal),"4,6","0,3","6,2","0,5",19,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'BE-BIO-01']",,,,,,,,,,,,,
1056,Le caldarroste express - Noberasco,8005120220811,"['France', 'Italie']",[],[],?,187,782 kj(187 kcal),"0,2",0,39,"7,9","3,9",0,0,['Noberasco'],,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Châtaignes']",0.2 g,en faible quantité,0 g,en faible quantité,7.9 g,en quantité modérée,0 g,en faible quantité,,+12%,+14%,-85%,-100%,+25%,+14%,+50%,-100%,-100%,-4,,A,,93.6%,0.0%,0.0%,2.6%,3.4%,0.4%,58,,,,,,,,,,,,,,
1057,Muffins au saumon,3261080165011,['France'],[],[],?,236,987 kj(236 kcal),17,10,16,"0,6","4,3","0,96","0,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,Genoise aux fruits,3276550601036,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,Imperial aloe berrymix - 500ml,8809041429922,['France'],[],[],?,20,84 kj(20 kcal),0,0,5,5,0,0,0,,,500 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,Marmelade d'orange - Kalios,3770003906490,['France'],[],[],?,255,1067 kj(255 kcal),"0,3",0,60,54,"1,2",0,0,['Kalios'],,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Marmelades', ""Marmelades d'oranges""]",0.3 g,en faible quantité,0 g,en faible quantité,54 g,en quantité élevée,0 g,en faible quantité,,+6%,+6%,+76%,-100%,+1%,-5%,+251%,-100%,-100%,13,+7%,D,+7%,35.9%,18.8%,27.1%,12.6%,4.4%,1.2%,89,,,,,,,,,,,,,,
1061,Biscuit gingembre citron - Gerblé,3175681265011,['France'],[],[],?,456,1908 kj(456 kcal),16,"1,4",67,17,"8,3","0,44","0,176",['Gerblé'],,,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",16 g,en quantité modérée,1.4 g,en faible quantité,17 g,en quantité élevée,0.44 g,en quantité modérée,,-4%,-4%,-23%,-86%,+5%,-42%,+28%,-25%,-25%,0,-100%,B,-100%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Nutriscore', 'Nutriscore B']",,,,,,,,,,,,,
1062,6 canelés de Bordeaux - Carrefour - 360g,3276557843774,['France'],"['Sucre', 'lait demi-écrémé', 'eau', 'farine de blé', 'œufs entiers plein air', 'rhum', 'poudre de lait entier', 'arôme naturel', ' Peut contenir des traces de fruits à coque et soja']",['Non végétalien'],?,296,1238 kj(296 kcal),"3,6","1,4",60,42,"5,1","0,1","0,04",['Carrefour'],,360 g,B,"['Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Canelés']",3.6 g,en quantité modérée,1.4 g,en faible quantité,42 g,en quantité élevée,0.1 g,en faible quantité,,+4%,+4%,+27%,+10%,+1%,0%,+16%,-20%,-20%,12,-5%,D,-5%,70.8%,15.1%,6.9%,3.5%,3.7%,0.0%,81,,"['Gluten', 'Lait']",,4,,['Carrefour'],,,,,,,,
1063,Boeuf aux carottes - U - 300g,3256228125507,['France'],"['Carottes 50%,viande bovine traitée en salaison et précuite 25 % ', 'viande bovine [origine : France]', 'eau', 'amidon de pois', 'sel', 'eau', 'oignons', 'amidon de maïs', 'CREME ', 'dont stabilisant: carraghénanes', 'concentré de tomates', 'amidon de manioc', 'huile de colza', 'sel', 'persil', 'arômes naturels', 'ail en poudre', 'curcuma en poudre', ""extrait de malt d'ORGE"", ' Traces éventuelles de céréales contenant du gluten']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",257,61,257 kj(61 kcal),"1,6","0,6","5,8","3,8","5,1","0,8","0,32",['U'],,300 g,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Plats préparés à réchauffer au micro-ondes']",1.6 g,en faible quantité,0.6 g,en faible quantité,3.8 g,en faible quantité,0.8 g,en quantité modérée,-52%,-55%,-55%,-73%,-72%,-38%,+110%,-42%,-6%,-6%,-2,-187%,A,-187%,,,,,,,,"['Viande Française', 'Cuisiné en France', 'Viande-bovine-francaise']","['Gluten', 'Lait']",,4,,['Magasins U'],"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,,,,,,
1064,Carpaccio - Charal - 2x 100g,3181238976446,['France'],[],[],?,210,879 kj(210 kcal),15,"1,9","1,7","1,5",17,"0,79","0,316",['Charal'],,2 x 100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Nutriscore', 'Nutriscore B', 'Viande-bovine-francaise']",,['Barquette'],,,,,,,,,,,
1065,Vegan Mediterranean,7630048345097,['France'],[],[],?,229,958 kj(229 kcal),"9,4","5,2",28,4,"6,6","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,"Salade à l'orientale Boulgour, veggie balls, carottes & raisins",3083681125351,['France'],[],[],?,157,657 kj(157 kcal),7,"0,6",17,3,"4,5","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,Je suis ce que je mange -,3780232806409,['France'],[],[],?,0,0 kj(0 kcal),36,22,9,8,6,,,,,,,"['Non alimentaire', 'Open Beauty Facts']",36 g,en quantité élevée,22 g,en quantité élevée,8 g,en quantité modérée,,,,-100%,-100%,+700%,+547%,+19%,+54%,+80%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,Vers de farine,7613312285022,['France'],[],[],?,505,2113 kj(505 kcal),28,"7,8","5,5","0,5",55,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,Grelos hojas,8410074005528,['France'],[],[],?,25,105 kj(25 kcal),"0,8",0,"0,2","0,2",3,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,Mozzarella râpée - Eden Gourmet - 200g,3760059041108,['France'],[],[],?,217,908 kj(217 kcal),15,10,"0,5","0,5",20,"1,2","0,48",['Eden Gourmet'],,200 g,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella', 'Fromages râpés', 'Mozzarella râpée']",15 g,en quantité modérée,10 g,en quantité élevée,0.5 g,en faible quantité,1.2 g,en quantité modérée,,-22%,-22%,-29%,-30%,-74%,-16%,-17%,+9%,+9%,11,-8%,D,-8%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,
1071,Choco Bananica,8600939365731,['France'],[],[],?,370,1548 kj(370 kcal),"7,6","4,4",74,48,"1,5","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,Gourde de compote sans sucres ajoutés - Paquito - 90g,3250392915070,['France'],[],[],234,55,234 kj(55 kcal),"< 0,5","< 0,1","12,9","10,9","< 0,5","< 0,01","0,004",['Paquito'],,90g,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme']",0.5 g,en faible quantité,0.1 g,en faible quantité,10.9 g,en quantité modérée,0.01 g,en faible quantité,-13%,-15%,-14%,+52%,+15%,-10%,-16%,+33%,+18%,+18%,-4,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,"['Sans sucre ajouté', 'Nutriscore', 'Nutriscore A']",,['Gourde individuelle'],,,['Inter-marché'],,,,['France'],['France'],,,
1073,Bacon Rashers,4056489239819,['France'],[],[],?,339,1418 kj(339 kcal),"25,6","9,7","1,4","1,4","25,4","2,88","1,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,Carottes râpées au citron - Auchan,3596710484164,['France'],[],[],?,78,326 kj(78 kcal),"4,8","0,3","6,3","5,5","0,9","0,28","0,112",['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Film en plastique'],,,['Auchan'],,,,,,,,
1075,Cuisse de canard aux morilles - 240g,3356067760515,['France'],[],[],?,241,1008 kj(241 kcal),21,"6,8","3,6","0,8",10,"0,54","0,216",,"['FR 62.865.007 CE', 'Vitry-en-Artois (Pas-de-Calais, France)']",240 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,Navette de Provence - 300g,3307484001408,['France'],[],[],?,422,1766 kj(422 kcal),13,"1,5",69,22,"6,7","0,61","0,244",,,300 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,Confiture cassis - Biolo Klock,3560000415022,['France'],[],[],1020,240.7,1020 kj(240 kcal),"0,3","0,1",56,"53,6","0,5",0,0,['Biolo Klock'],,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de cassis']",0.3 g,en faible quantité,0.1 g,en faible quantité,53.6 g,en quantité élevée,0 g,en faible quantité,+12%,+5%,+6%,+6%,+63%,+3%,+3%,-17%,-100%,-100%,12,+30%,D,+30%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Sans additifs']",,,,,,,,,,,,,
1078,Cookie Dough mix - Lidl,4056489127048,['France'],[],[],?,414,1732 kj(414 kcal),"16,3","5,5",61,"37,3","4,5","0,18","0,072",['Lidl'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,
1079,Farine de blé blanche type 55 - Moulin des moines,3347430018425,['France'],[],[],?,350,1464 kj(350 kcal),1,"0,19","73,7","1,5","9,9","0,13","0,052",['Moulin des moines'],,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']",1 g,en faible quantité,0.19 g,en faible quantité,1.5 g,en faible quantité,0.13 g,en faible quantité,,+2%,+2%,-25%,-19%,+6%,-2%,-9%,+444%,+444%,-1,,A,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,,,,,,,
1080,Grillade de porcelet marine - Bofrost,69163265,['France'],[],[],?,128,536 kj(128 kcal),"4,9","1,5","1,5","0,5","19,3","0,83","0,332",['Bofrost'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,
1081,Tortilla chips boosted,20771034,['France'],[],[],?,472,1975 kj(472 kcal),20,2,"64,4","2,5","6,6","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,Filets de cabillaud - Pêche Océan,3564706599260,['France'],[],[],?,68,285 kj(68 kcal),"0,5","0,1","0,5","0,5",17,"0,16","0,064","['Pêche Océan', 'Marque Repère']",['MSC-C-52144'],,E,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Morues', 'Filets de cabillaud']",0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.16 g,en faible quantité,,-42%,-40%,-83%,-75%,-91%,+0%,+9%,-66%,-66%,-5,,A,,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,"['Nutriscore', 'Nutriscore E']",,,,,['Leclerc'],,,,,,,,
1083,Ravioles du Dauphiné - Saint Jean,3266140062071,['France'],[],[],?,285,1192 kj(285 kcal),12,"8,1",30,"1,5",13,"1,5","0,6",['Saint Jean'],,,C,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioles', 'Ravioles du Dauphiné']",12 g,en quantité modérée,8.1 g,en quantité élevée,1.5 g,en faible quantité,1.5 g,en quantité modérée,,+1%,+1%,+3%,+7%,+1%,+2%,0%,+2%,+2%,17,+5%,D,+5%,72.9%,12.7%,5.5%,4.6%,2.4%,1.7%,66,"['IGP', 'Label Rouge']",,,,,,,,,,,,,
1084,Puree de tomate biologique,8032793342168,['France'],[],[],?,30,126 kj(30 kcal),"0,2",0,"4,6","4,6","1,5","0,55","0,22",,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Sauces', 'Sauces tomate', 'Purées de tomates']",0.2 g,en faible quantité,0 g,en faible quantité,4.6 g,en faible quantité,0.55 g,en quantité modérée,,-42%,-38%,-82%,-100%,-20%,+2%,-5%,+24%,+24%,-2,,A,,22.8%,37.1%,17.7%,10.6%,8.4%,3.3%,96,['Bio'],,,,,,,,,,,,,
1085,eiskalter genuss,4061458002967,['France'],[],[],?,90,377 kj(90 kcal),"3,6","2,3",11,11,0,"0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086,Extra mie nature - Belle France - 475g,3258561400457,['France'],[],[],?,281,1176 kj(281 kcal),"3,9","0,4",51,"7,6","9,4","1,1","0,44",['Belle France'],,475 g,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']",3.9 g,en quantité modérée,0.4 g,en faible quantité,7.6 g,en quantité modérée,1.1 g,en quantité modérée,,+6%,+5%,-13%,-38%,+11%,+46%,+12%,-4%,-4%,3,+107%,C,+107%,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,['Point Vert'],,,,,,,,,,,,,
1087,Poivre blanc moulu - La Vie Claire,3266191021355,['France'],[],[],?,?,,?,,?,,?,,,['La Vie Claire'],,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Poivres moulus', 'Poivres blancs', 'Poivre blanc moulu']",,,,,,,,,,,,,,,,,,,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,,,,,['La Vie Claire'],,,,,,,,
1088,Energy balls,3700153141403,['France'],[],[],?,361,1510 kj(361 kcal),"9,2","0,1",60,31,4,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,
1089,Galletas con leche,7702025113217,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,The vert infusé - Cora,3257986883920,['France'],[],[],?,19,79 kj(19 kcal),0,0,"4,7","4,6",0,"0,01","0,004",['Cora'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,Nectar de poire,3770014286017,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de poire']",,,,,,,,,,-100%,-100%,,,,,,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,
1092,Cupper - 2,5021991941504,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'GB-ORG-05']",,,,,,,,,,,,,
1093,Tonic et Matcha Schweppes,8414100956143,['France'],[],[],?,37,155 kj(37 kcal),0,0,"8,8","8,8",0,0,0,['Schweppes'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,Nos tomates bio - Blini,3292070009985,['France'],[],[],?,175,732 kj(175 kcal),"12,7","1,4",11,"7,1","1,9","1,56","0,624",['Blini'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,
1095,Pistachio,4056546101073,['France'],[],[],?,568,2377 kj(568 kcal),"42,2","6,1","21,6","5,3","20,1","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
