,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,brand,categories,labels,traceability_code,markets,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,ingredients_origins,link,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,manufacturing,palm_ingredients,origin_detail
36,Saucisson sec - Le Mazet - 80g (26tr.),3449865333491,['France'],"['viande de porc', 'sel', 'lactose', 'épices', 'dextrose', 'sucre', 'ail', 'acide ascorbique', 'nitrate de potassium', 'ferments']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,429,1795 kj(429 kcal),35,15,"3,4","2,8",25,0,0,80 g (26 tr.),"['Frais', 'Plastique']","['Le Mazet', 'Aoste']","['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs', 'Saucisson sec pur porc qualité supérieure']",['Point Vert'],,,,4,35 g,en quantité élevée,15 g,en quantité élevée,2.8 g,en faible quantité,0 g,en faible quantité,,+6%,+6%,+11%,+22%,+52%,+104%,-9%,-100%,-100%,15,-38%,D,-38%,,,,D,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,['Lait'],,,
37,Rochers aux noisettes du Sud-Ouest,3441804623083,['France'],[],[],?,326,1364 kj(326 kcal),"11,2","0,9",49,"46,5",6,"0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Huile d’olive chateau virant,3760081694440,['France'],[],[],?,884,3699 kj(884 kcal),100,12,0,0,0,0,0,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,,100 g,en quantité élevée,12 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+3%,+3%,+5%,-14%,,,,-100%,-100%,6,-2%,C,-2%,,,,D,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,
39,Charbon végétal,3700446417802,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Terrine gourmande aux cèpes,3397133103201,['France'],[],[],?,999,4180 kj(999 kcal),21,8,"0,7","0,3",13,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Pogne de Romans,3021885018031,['France'],[],[],?,377,1577 kj(377 kcal),"13,6","7,6","52,9","18,4","8,6","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Asperges blanches moyennes,3574980095075,['France'],[],[],?,12.5,52 kj(12 kcal),"0,08","0,04","1,4",1,1,1,"0,4",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes tiges', 'Asperges', 'Asperges blanches', 'Asperges en conserve']",,,,,,0.08 g,en faible quantité,0.04 g,en faible quantité,1 g,en faible quantité,1 g,en quantité modérée,,-34%,-32%,-65%,-14%,-26%,-18%,-37%,+23%,+23%,-1,,A,,,,,C,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,,,,
43,miel de lavande,3424150090488,['France'],[],[],?,?,,?,0,?,,?,,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,,,,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,
44,Magmer,3700607000683,['France'],[],[],?,60,251 kj(60 kcal),"0,1",0,10,0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Tiffany Everyday Marie Biscuit 100G,6291003000102,['France'],[],[],?,426,1782 kj(426 kcal),"13,5",7,"68,6","19,8","6,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
