,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,brand,categories,labels,traceability_code,markets,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,ingredients_origins,link,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,manufacturing,palm_ingredients,origin_detail
690,Poudre de dattes,3760159013456,['France'],[],[],?,353,1477 kj(353 kcal),"0,5","0,01",80,"74,4","2,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,Classeur,3254564135846,['France'],[],[],?,?,,?,,?,,?,,,,['non alimentaire'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,Madame Loik - Paysan breton - 460,3412290070066,['France'],[],[],?,252,1054 kj(252 kcal),?,,4,,"5,9","1,1","0,44",460,['boîte'],['Paysan breton'],"['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages à tartiner']",,,,,,,,,,,,1.1 g,en quantité modérée,,+8%,+7%,,,+19%,,-30%,-6%,-6%,,,,,,,,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,
693,Sauce chili douce,0816412010540,['France'],[],[],?,64,268 kj(64 kcal),0,0,"15,7","5,3","0,3","0,908","0,363",,,,"['Epicerie', 'Sauces']",,,,,,0 g,en faible quantité,0 g,en faible quantité,5.3 g,en quantité modérée,0.908 g,en quantité modérée,,-73%,-73%,-100%,-100%,+58%,-18%,-89%,-62%,-62%,5,-57%,C,-57%,,,,,,,,,,,,,,,
694,Mule Sauce,9421905295253,['France'],[],[],?,81,339 kj(81 kcal),0,0,19,18,"0,9",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,Ameixas secas - Pingo Doce,5601009990962,['France'],[],[],?,282,1180 kj(282 kcal),"1,2","0,2",60,60,"3,5",,,,,['Pingo Doce'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,Septilin 100 Tabs,8901138170714,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,Le Bento petit epeautre - Karine & Jeff,3760052239793,['France'],[],[],?,79,331 kj(79 kcal),"2,3","0,3",12,"3,5","2,6",0,0,,,['Karine & Jeff'],,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,Tricolor qinoa - Prozis,5600499574348,['France'],[],[],?,302,1264 kj(302 kcal),"3,1","1,4",41,11,10,"0,27","0,108",,,['Prozis'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,Green Vegetable Medley - Marks & Spencer,00857680,['France'],[],[],?,68,285 kj(68 kcal),"3,5",2,"4,1",2,"3,2","0,2","0,08",,,['Marks & Spencer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,Purée légèrement sucrée de framboises - Chez Béchet - 1,06244817,['France'],"['81% pomme', '15% framboise', '4% sucre', 'antioxydant : acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",285,68,285 kj(68 kcal),0,,15,14,0,0,0,1,['Verre'],['Chez Béchet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes framboise']",,,,['E300 - Acide ascorbique'],3,0 g,en faible quantité,,,14 g,en quantité élevée,0 g,en faible quantité,+8%,+3%,+3%,-100%,,+6%,+12%,-100%,-100%,-100%,,,,,,,,A,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,,
701,pastrami de boeuf - isla mondial - 100grs,3408660005132,['France'],[],[],?,?,,?,,?,,?,,,100grs,['Plastique'],['isla mondial'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Pastrami de bœuf']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,2205959044930,2205959044930,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,pomme poire,3329489030320,['France'],[],[],?,60,251 kj(60 kcal),14,0,14,"0,2","0,5",0,0,,,,,"['Bio', 'Bio européen', 'IT-BIO-007']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,18788082,18788082,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Mac&Greenz,5410355320558,['France'],[],[],?,131,548 kj(131 kcal),"6,5","3,7",11,"2,1","6,5","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,Italian Lasagnette,5410355320497,['France'],[],[],?,117,490 kj(117 kcal),"5,2","1,7",11,"3,2","5,1","0,56","0,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,Pousse Délice,3701086500695,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,5","0,5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,Orge Perlé - L'aliment sain AS - 500g,3398240006997,['France'],['Orge Pelée ingredient : orge de mouture biologigue'],[],1412,334,1412 kj(334 kcal),"1,8","0,25","63,6","2,1","10,3",,,500 g,['sac plastique transparent'],"[""L'aliment sain AS""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains']",['Bio'],['PAS PRÉSENT'],['La Vie Saine'],,,1.8 g,en faible quantité,0.25 g,en faible quantité,2.1 g,en faible quantité,,,-1%,-1%,-1%,-64%,-64%,+10%,+116%,+9%,,,,,,,,['Italie'],,,,,,,,,,,['Dijon'],,
709,Penne Sans Gluten,8009915006017,['France'],[],[],?,354,1481 kj(354 kcal),"0,8","0,13","79,49","0,63","6,37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,Sauce bolognaise,4912020181002,['France'],[],[],?,89,372 kj(89 kcal),"3,31","0,88","5,45","3,27","8,68","0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,Brandale de morue,3520760000517,['France'],[],[],?,403,1686 kj(403 kcal),"41,3",3,0,0,"7,8","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,Velouté de courgette-persil bio,3123456203706,['France'],[],[],?,?,,?,,?,,?,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,Cake 3 fromages,3276770248844,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,Mateus Blanco Vino X750ML,5601012021509,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,Andouillettes de jargeau,3700212511406,['France'],[],[],?,290,1213 kj(290 kcal),25,11,"0,8","0,5",15,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,Pecan pie,0091083153097,['France'],[],[],?,484,2025 kj(484 kcal),35,11,32,11,8,"0,43","0,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,Baguette artisanale,0202005005589,['France'],[],[],?,275,1151 kj(275 kcal),1,0,55,1,8,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,Chocolat à patisser,3395328330876,['France'],[],[],?,563,2356 kj(563 kcal),38,23,46,43,"5,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,Café Corsé,3228470052764,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,Riz cantonais,3270120613986,['France'],[],[],?,137,573 kj(137 kcal),"2,5","0,5",23,"0,5","4,8","0,55","0,22",,,,"['Plats préparés', 'Céréales préparées', 'Riz préparés', 'Riz cantonais']","['Nutriscore', 'Nutriscore B']",,,,,2.5 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,0.55 g,en quantité modérée,,-12%,-13%,-37%,-27%,-3%,-60%,-9%,-44%,-44%,1,-56%,B,-56%,,,,C,69.5%,13.6%,6.2%,6.3%,2.6%,1.8%,69,,,,
721,Nutriben Aplv1 1er Age,3401299556402,['France'],[],[],?,67,280 kj(67 kcal),27,"12,3","54,1",49,"12,3","0,58","0,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,Sharon Valley,3564040013491,['France'],[],[],?,?,,?,,?,,?,,,,,['Sharon Valley'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,Maadanot pizza,7290014218994,['France'],[],[],?,234,979 kj(234 kcal),"8,7","3,7","28,5","4,5","10,5",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,Burrata,8018731002189,['France'],[],[],?,255,1067 kj(255 kcal),"23,9","15,3",2,2,8,"0,54","0,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,Rocher coco,3464860011038,['France'],[],[],?,307,1284 kj(307 kcal),"12,8","10,46","45,03","40,98","24,25","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,Mr Waffle,8719326586380,['France'],[],[],?,459,1920 kj(459 kcal),"19,4","9,2","67,1","35,8","3,7","0,53","0,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,Poulpe cuit,8425876123073,['France'],[],[],?,72,301 kj(72 kcal),"0,5","0,5","0,5","0,5","16,1",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,Causalité -,3522930001133,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,8698613389869,8698613389869,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,Deco Melts,8719638163989,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,Biscuit,5425019203207,['France'],[],[],?,411,1720 kj(411 kcal),"8,4","4,8",75,20,"8,6","0,86","0,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,Jambon persille,2272809020338,['France'],[],[],?,140,586 kj(140 kcal),"5,8","2,2","0,5","0,5",22,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,Praliné noir - Collection Suisse,7624841063531,['France'],[],[],?,579,2423 kj(579 kcal),42,25,42,38,"5,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,Mazok blanche - 33cl,3000666000144,['France'],[],[],?,?,,?,,?,,?,,,33 cl,['Bouteille'],['Mazok'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blanches']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,
735,Le Brownie Coco - MaTatie,3770009601580,['France'],"['SUCRE DE CANNE', 'EAU', ""HUILE DE TOURNESOL'"", 'FARINES ', ""FARINE DE MILLET'"", 'FARINE DE RIZ ', 'SUCRE INVERTI', 'FECULE DE POMME DE TERRE', 'NOIX DE COCO RAPEE 72', 'BEURRE DE CACAO 6%', 'POUDRE DE CACAO 4%', 'ÉMUSIFIANT: LÉCITHINE DE TOURNESOL""', 'ÉPAISSISSANT GOMME DE XANTHANE', 'SEL MARIN']","['Végétalien', 'Végétarien']",585,140,585 kj(140 kcal),"8,2","3,3",15,"9,4",1,"0,04","0,016",,,['MaTatie'],['Gâteaux chocolat Coco'],"['Bio', 'Végétarien', 'Bio européen', 'Sans gluten', 'Agriculture non UE', 'Végétalien', 'Agriculture UE', 'Agriculture UE/Non UE', 'Union Végétarienne Européenne', 'Union Végétarienne Européenne - Vegan', 'FR-BIO-10', 'AB Agriculture Biologique']",,,"['E322i - Lécithine', 'E415 - Gomme xanthane']",4,8.2 g,en quantité modérée,3.3 g,en quantité modérée,9.4 g,en quantité modérée,0.04 g,en faible quantité,,,,,,,,,,,6,,C,,,,,,,,,,,,,,['Paris'],,
736,Pate a tartiner chocolat noir nusco,58221365,['France'],[],[],?,572,2393 kj(572 kcal),41,"7,7",39,35,"6,9",,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,Decoupe de poulet jaine fermier,0263213028012,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,Riz long,3513083001156,['France'],[],[],?,34,142 kj(34 kcal),"0,62","0,1","78,6","0,01","6,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,Terrine campagne aux 3 poivres,0211370013587,['France'],[],[],?,?,,?,,?,,?,,,,['Barquette en plastique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,Terrine de grand-Père,0212244013849,['France'],[],[],?,288,1205 kj(288 kcal),24,9,"3,7","0,9","14,4","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,caffé,8007525150755,['France'],[],[],?,2,8 kj(2 kcal),3,2,2,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,Vers Acide,8413178275460,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,Pavè saumon fumé,2462740076420,['France'],[],[],?,169,707 kj(169 kcal),"9,11","2,45","0,69",0,"21,8","1,27","0,508",,,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,,,,,9.11 g,en quantité modérée,2.45 g,en quantité modérée,0 g,en faible quantité,1.27 g,en quantité modérée,,-9%,-9%,-13%,+19%,+40%,-100%,-1%,-55%,-55%,4,-69%,C,-69%,,,,E,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,
744,Saucisse aux herbes,2223058023885,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,Baklavas,5200139070300,['France'],[],[],?,226,946 kj(226 kcal),"10,4",0,"41,7",0,"2,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,"Gammare, crustacés pour tortues et autres reptiles",4008239254184,['France'],[],[],?,66,276 kj(66 kcal),95,12,3,1,2,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,Viet spring rôles crevette,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,8719689267049,8719689267049,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,8413376020107,8413376020107,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,Filets de thon au piment de Cayenne - El Manar - 200g,6194029101061,['France'],"['filets de thon', ""huile d'olive vierge extra"", 'piment de Cayenne']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,420,1757 kj(420 kcal),36,"5,5","2,9","0,5",21,"0,32","0,128",200 g,"['bocal verre', 'Sec']",['El Manar'],"['Produits de la mer', 'Poissons', 'Poissons et viandes et oeufs', 'Thons', 'Filets de poissons', 'Filets de thon']","[""Huile d'olive vierge extra"", 'Préparé à la main']",,,,3,36 g,en quantité élevée,5.5 g,en quantité élevée,0.5 g,en faible quantité,0.32 g,en quantité modérée,,+82%,+88%,+171%,+157%,+692%,+191%,-14%,-68%,-68%,11,+149%,D,+149%,Filets de thon à l'huile d'olive vierge aromatisés au piment de Cayenne,,https://www.manarthon.com/nos-produits/filets-de-thon-au-piment-de-cayenne-200-g/,D,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,['Poisson'],['Tunisie'],,
751,Yarden,7290005431951,['France'],[],[],?,?,,?,,?,,?,,,,,['Yarden'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,7290003808519,7290003808519,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,3477320000169,3477320000169,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,Tuk Tuk Spicy,3477320001449,['France'],[],[],?,?,,?,,?,,?,,,,,['Tuk Tuk Spicy'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,8003185004629,8003185004629,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,8084692131565,8084692131565,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,Vinaigre balsamique blanc - Sharon Valley,3564040013422,['France'],"['Vinaigre de vin blanc', 'jus de raison concentré', 'conservateur : métabisulfite de potassium']",[],515,121,515 kj(121 kcal),0,0,26,25,0,0,0,,"['Bouteille', 'Verre']",['Sharon Valley'],"['Vinaigres', 'Vinaigres balsamiques']",['Kascher'],,,"['E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']",2,0 g,en faible quantité,0 g,en faible quantité,25 g,en quantité élevée,0 g,en faible quantité,-5%,-18%,-15%,-100%,-100%,-15%,-10%,-100%,-100%,-100%,,,,,,,,A,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,['Anhydride sulfureux et sulfites'],['Espagne'],,
758,8033844314554,8033844314554,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,8411211009539,8411211009539,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,5607552295127,5607552295127,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,3077317620341,3077317620341,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,5607552295134,5607552295134,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,8858271004799,8858271004799,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,Tuk Tuk Spicy,3477320001456,['France'],[],[],?,?,,?,,?,,?,,,,,['Tuk Tuk Spicy'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,7290011996109,7290011996109,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,Paskesz,0025675810648,['France'],[],[],?,?,,?,,?,,?,,,,,['Paskesz'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,Paskesz,0025675010093,['France'],[],[],?,?,,?,,?,,?,,,,,['Paskesz'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,Ravioli aux 4 Fromages - Mémé Hélène - 250g,8015104006508,['France'],"['Pâte: farine de BLÉ TENDRE', 'semoule de BLÉ DUR', 'ŒUFS 20%', ' Farce: FROMAGE MOZZARELLA 40% ', 'LAIT', 'sel', 'lactosérum', 'ferments lactiques', 'PROVOLONE dolce 22% ', 'FROMAGE', 'ricotta 22%', 'PECORINO 10%', 'FROMAGE', 'CHAPELURE ', 'FARINE 0', 'eau', 'sel', ""blancs d'ŒUFS"", 'sel']",['Non végétalien'],1238,295,1238 kj(295 kcal),11,"6,3","32,3","0,7","17,9","0,5","0,2",250 g,"['Barquette', 'Plastique']",['Mémé Hélène'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Plats préparés', 'Frais', 'Plats à base de pâtes', 'Pâtes alimentaires', 'Pâtes farcies', 'Plats préparés frais', 'Pâtes fraîches', 'Ravioli', 'Ravioli frais', 'Pâtes farcies au fromage', 'Ravioli au fromage', 'Pâtes fraîches farcies']","['Kascher', 'Fabriqué en Italie', 'Fabrication artisanale']",['IT G8R7L CE'],,,4,11 g,en quantité modérée,6.3 g,en quantité élevée,0.7 g,en faible quantité,0.5 g,en quantité modérée,+16%,+18%,+18%,+46%,+90%,-4%,-77%,+80%,-56%,-56%,11,+64%,D,+64%,pâtes farcies aux fromages,,,,,,,,,,,"['Œufs', 'Gluten', 'Lait', 'BLÉ TENDRE', 'CHAPELURE', 'FARINE', 'FROMAGE MOZZARELLA', 'PECORINO', 'PROVOLONE']",['Italie'],,
769,Sfoglia Per Lasagne - Mémé Hélène - 250g,8015104006553,['France'],"['Farine de BLÉ TENDRE', 'semoule de BLÉ DUR', 'OEUFS 20%']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1270,303.3,1270 kj(303 kcal),"3,7","0,9","57,5","0,9","12,8","0,07","0,028",250 g,"['Barquette', 'Plastique']",['Mémé Hélène'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes fraîches']","['Kascher', 'Kascher pareve']",['IT G8R7L CE'],,,1,3.7 g,en quantité modérée,0.9 g,en faible quantité,0.9 g,en faible quantité,0.07 g,en faible quantité,+19%,+18%,+19%,-36%,-63%,+49%,-62%,+30%,-92%,-92%,-2,-148%,A,-148%,,,,,,,,,,,,"['Œufs', 'Gluten']",['Italie'],,
770,B-B,3324321286293,['France'],[],[],?,?,,?,,?,,?,,,,,['B-B'],,,"['FR 36.089.001 CE', 'Jeu-les-Bois (Indre, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,Milrayas - ArruaBarrena,8413760005116,['France'],[],[],?,449,1879 kj(449 kcal),22,10,57,26,"4,5","0,92","0,368",,,['ArruaBarrena'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,Olives picholines france - Les Domaines des Oliviers,3025050190256,['France'],[],[],?,166,695 kj(166 kcal),"17,1","2,7","0,9","0,01","1,4","4,27","1,708",,"['Bocal', 'Verre']",['Les Domaines des Oliviers'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,Swiss milk Hazelnuts - Schmerling's - 100g,0097643098648,['France'],"['Sucre', 'beurre de cacao', 'noisettes ', '19%', 'poudre de lait entier', 'pâte de cacao', 'extrait de vanille', ' Cacao dans le ch0colat: 39% min', ' Informations allergènes: peut contenir des amandes', ' Fabriqué dans une usine qui utilise aussi: soja']",['Non végétalien'],?,606,2536 kj(606 kcal),45,21,42,40,"8,1","0,15","0,06",100 g,,"[""Schmerling's""]","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats aux noisettes', 'Chocolats au lait aux noisettes']","['Kascher', 'Fabriqué en Suisse']",,,,3,45 g,en quantité élevée,21 g,en quantité élevée,40 g,en quantité élevée,0.15 g,en faible quantité,,+7%,+7%,+18%,+20%,-10%,-9%,-3%,-21%,-21%,24,-2%,E,-2%,,,,E,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,['Fruits à coque'],,,
774,Schmerling's - 100g,0097643044560,['France'],[],[],?,?,,?,,?,,?,,,100 g,,"[""Schmerling's""]",,['Kascher'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,7290006775023,7290006775023,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,8422915240784,8422915240784,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,0030047140797,0030047140797,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,8422915240807,8422915240807,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,0025675880924,0025675880924,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,0084685000609,0084685000609,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,0030047112138,0030047112138,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,0030047112114,0030047112114,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,3477320001999,3477320001999,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,200g,3448270006280,['France'],[],[],?,?,,?,,?,,?,,,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,3477320002187,3477320002187,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
