,name,bar_code,eco_score,brand,categories,labels,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,nova_score,packaging,additives,allergens,manufacturing,traceability_code,ingredients_origins,generic_name,palm_ingredients,link,brand_owner,producer_info,origin_detail
1292,Blanc Noix de coco caramélisée - Auchan - 200g,3254560713741,E,['Auchan'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs', 'Chocolats blancs à la noix de coco']","['Fabriqué en France', 'Pur beurre de cacao']",['Auchan'],['France'],"['Sucre', 'beurre de cacao', 'noix de coco râpée caramélisée 20 % ', 'noix de coco râpée', 'sucre', 'sel', 'poudre de lait entier', 'lactosérum en poudre ', 'lait', 'matière grasse de lait anhydre', 'émulsifiant : lécithines ', 'tournesol', 'arômes']",['Non végétalien'],38.3 g,en quantité élevée,27.1 g,en quantité élevée,51.6 g,en quantité élevée,0.28 g,en faible quantité,2465,+4%,591,+5%,2465 kj(591 kcal),+4%,"38,3",0%,"27,1",+6%,55,+10%,"51,6",+12%,"6,3",-1%,"0,28",+4%,"0,112",+4%,28,+7%,E,+7%,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,200 g,4,['Carton'],['E322i - Lécithine'],['Lait'],,"['EMB 66136', 'Perpignan (Pyrénées-Orientales, France)']",,Chocolat blanc à la noix de coco râpée caramélisée,,,,,
1293,Chocolat blanc - Rik & Rok - 200g (2 * 100g),3254560860872,E,"['Rik & Rok', 'Auchan']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs']",,['Auchan'],['France'],"['sucre blanc', 'beurre de cacao', 'lait entier en poudre ', '23,5 %', ' ', ' émulsifiant : lécithines ', 'soja', ' ', ' arôme']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",36.1 g,en quantité élevée,22.4 g,en quantité élevée,55 g,en quantité élevée,0.19 g,en faible quantité,?,,571,+1%,2389 kj(571 kcal),+1%,"36,1",0%,"22,4",+4%,"55,5",+4%,55,+9%,6,-10%,"0,19",-26%,"0,076",-26%,27,+1%,E,+1%,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,200 g (2 * 100 g),4,"['Plastique', 'Aluminium']",['E322 - Lécithines'],"['Lait', 'Soja']",,,,,,,,,
1294,Thé Breakfast Sachets x25 - Auchan,3254565132905,,['Auchan'],,,['Auchan'],['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1295,Thé Citron - Auchan - 40g,3254565174110,A,['Auchan'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions', 'Thés noirs', 'Thés aromatisés', 'Thés noirs aromatisés', 'Thés au citron', 'Thés noirs aromatisés au citron', 'Boissons sans sucre ajouté']",,['Auchan'],['France'],"['Thé noir 80%', 'arôme citron 15%', 'écorce de citron 5%']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",,,,,,,,,?,,3,,,,"0,011",,,,"0,256",,,,"0,111",,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,40g,4,"['Carton', 'Boite', 'Sachets']",,,['Allemagne'],,,Thé noir au citron aromatisé,,,,,
1296,Steaks hachés pur bœuf façon bouchère - Auchan - 2x 125g.,3254565417873,E,['Auchan'],"['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Viandes fraîches', 'Steaks hachés', 'Steaks de bœuf hachés', 'Steaks hachés frais', 'Steaks hachés de bœuf frais', 'Steak haché pur boeuf']","['Viande-francaise', '100% muscle', 'Produit en braille', 'Pur bœuf', 'Viande-bovine-francaise', 'Taux de matières grasses inférieur à 5\xa0%']","['Simply', 'Auchan']",['France'],"['viande bovine 100% ', '5% de matière grasse']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4.7 g,en quantité modérée,1.6 g,en quantité modérée,0.5 g,en faible quantité,0.15 g,en faible quantité,?,,121,-27%,506 kj(121 kcal),-27%,"4,7",-54%,"1,6",-62%,"< 0,5",+179%,"< 0,5",+279%,"19,6",+1%,"0,15",-26%,"0,06",-26%,-3,-342%,A,-342%,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,2 x 125 g.,1,"['Barquette', 'Plastique', 'film soudé', 'sous atmosphère protectrice']",,,,"['FR 49.323.032 CE', ""Saint-Sylvain-d'Anjou (Maine-et-Loire, France)"", 'EMB 49323B', ""Saint-Sylvain-d'Anjou (Maine-et-Loire, France)""]",['France'],Steak haché pur boeuf 5% M.G. (haché gros),,,,,
1297,"Filets de Colin d'Alaska, Congelés - Auchan - 1kg",3254566478163,,"['Auchan', 'Groupe Auchan']","['Produits de la mer', 'Poissons', 'Surgelés', 'Fruits de mer surgelés', 'Poissons surgelés', 'Colins', ""Filets de colin d'Alaska""]","['Point Vert', 'Eco-Emballages', 'Sans arête']",['Auchan'],['France'],"[""Colin d'Alaska "", 'Theragra chalcogramma']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1.2 g,en faible quantité,,,,,,,332,,78,,332 kj(78 kcal),+14%,"1,2",+106%,,,0,-100%,,,"16,9",+8%,,,,,,,,,,,,,,,,1 kg,1,"['Surgelé', 'Sachet plastique']",,['Poisson'],,,"['Chine', 'FAO 61', 'Océan Pacifique']",Filets de colin d'Alaska pêché en Océan pacifique zone FAO 61,,,,,
1298,Céleri rémoulade - LE TRAITEUR Auchan - 200g,3254566706075,B,['LE TRAITEUR Auchan'],"['Plats préparés', 'Légumes préparés', 'Céleris Rémoulade']",,['Auchan'],['France'],"['Céleri râpé 78%', 'sauce rémoulade 13,6% [huile de colza', 'eau', 'sel', 'moutarde de Dijon ', 'eau', 'graines de moutarde', ""vinaigre d'al - cool"", 'sel', ""jaune d'œuf"", ""vinaigre d'alcool"", 'épaississant : gomme xan - thane', 'amidon modifié de pomme de terre]', 'fromage blanc 6% ', 'contient lait', ""moutarde à l'ancienne "", 'eau', 'graines de moutarde', ""vinaigre d'al - cool"", 'sel', 'sucre', ' Pourcentages exprimés sur le poids total de la recette']",['Non végétalien'],11 g,en quantité modérée,0.9 g,en faible quantité,1.9 g,en faible quantité,1.2 g,en quantité modérée,?,,126,-3%,527 kj(126 kcal),-3%,11,-5%,"0,9",-9%,"3,3",+1%,"1,9",+9%,"1,9",+57%,"1,2",+19%,"0,48",+19%,0,-100%,B,-100%,68.7%,4.1%,11.5%,9.5%,4.9%,1.3%,91,200 g,4,"['Barquette', 'Frais']",['E14XX - Amidons modifiés'],"['Œufs', 'Lait', 'Moutarde']",,"['EMB 56075D', 'Guer (Morbihan, France)']",,,,,,,
1299,Taboulé - Auchan,3254566710089,B,['Auchan'],"['Plats préparés', 'Taboulés']",,['Auchan'],['France'],"['Semoule de blé dur réhydratée 50,2% ', 'contient gluten', 'assaisonnement [huile de colza', 'eau', ""vinaigre d'alcool"", 'sel', 'moutarde de Dijon ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'amidon mo - difié de pomme de terre', 'poivre blanc', 'épaississant : gomme xanthane]', 'aiguillettes de poulet rôties traitées en salaison 12,5% ', 'aiguillettes de poulet 11,6% ', 'origine : UE', 'eau', 'dextrose', 'amidon de maïs', 'sel', 'maïs 7,7%', 'tomates 5,9%', 'fèves de soja 4%', 'oignons 3,7%', 'mélange']","['Non végétalien', 'Non végétarien']",8 g,en quantité modérée,0.6 g,en faible quantité,2 g,en faible quantité,1.3 g,en quantité modérée,?,,183,+9%,766 kj(183 kcal),+9%,8,+24%,"0,6",-16%,20,-6%,2,-39%,"6,8",+54%,"1,3",+38%,"0,52",+38%,1,-63%,B,-63%,63.1%,7.6%,11.4%,10.7%,5.7%,1.6%,94,,4,,['E415 - Gomme xanthane'],"['Gluten', 'Moutarde']",,"['EMB 56075D', 'Guer (Morbihan, France)']",,,,,,,
1300,Orocbat Baskische Pastete Mit Piment 'pâté Basque Au Piment - 180g,3254637001313,,['Orocbat'],['Pâtė'],,,['France'],"['foie de porc', 'maigre et gras de porc', 'sel', ""piment d'Espelette "", '1%', 'poivre', ""blanc d'œuf"", 'ail']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",30 g,en quantité élevée,11 g,en quantité élevée,1 g,en faible quantité,2.35 g,en quantité élevée,?,,338,,1414 kj(338 kcal),,30,,11,,1,,1,,16,,"2,35",,"0,94",,24,,E,,,,,,,,,180 g,3,"['Bocal', 'Verre']",,['Œufs'],,,,,,,,,
1301,100% Jus d'orange à base de jus d'orange concentré - Pressade - 1L,3254690062009,C,['Pressade'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits à base de concentré', ""Jus d'orange"", ""Jus d'orange à base de concentré""]","['en:FSC', 'FSC Mix', 'Sans sucre ajouté', 'Sans conservateurs', 'Source de vitamine C']",,['France'],"[""Jus d'orange à base de jus d'orange concentré""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,9 g,en quantité élevée,0 g,en faible quantité,187,+3%,44,+2%,187 kj(44 kcal),+3%,?,,,,"10,2",+5%,9,-1%,"0,6",-4%,0,-100%,0,-100%,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,1 L,1,"['Brique', 'Carton']",,,,,,,,,,,
1302,Le ptit bio orange - Pressade,3254691588997,,['Pressade'],['Boissons'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],"[""Jus d'orange à base de concentré* "", '70%', 'eau', ""sucre* Produits issus de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0 g,en faible quantité,?,,42,-25%,176 kj(42 kcal),-27%,0,-100%,0,-100%,10,-12%,10,+6%,"0,05",-90%,0,-100%,0,-100%,9,+17%,D,+17%,,,,,,,,,3,,,,,,,,,,,,
1303,Café pur arabica Amérique Centrale - U Bio - 250g,3256221407259,,"['U Bio', 'U']","['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Cafés']","['Bio', 'Conditionné en France', 'Réduction source']","['Magasins U', 'Super U']",['France'],"[""100% café arabica* d'AmériqueCentrale"", '*Ingrédient issu de l agriculturebiologique']",[],,,,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,,,,250 g,,['Paquet'],,,,,,,,,,,
1304,Lardons de volaille nature - U - 2x 100g,3256221674569,,['U'],"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Allumettes de volaille']","['Viande Française', 'Transformé en France', 'Poulet Français', 'Volaille-francaise']",['Magasins U'],['France'],"['viande de dinde ', '77 %', ' ', 'france', 'eau', 'peau de poulet', 'sel', 'conservateurs : lactate de potassium', 'acétate de sodium', 'nitrite de sodium ', ' protéines de lait', 'arômes naturels et arômes', 'dextrose de blé et/ou maïs', ""antioxydant : ascorbate de sodium traces éventuelles d'oeufs et dérivés"", 'soja et fruits à coque']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",10 g,en quantité modérée,2.9 g,en quantité modérée,0.6 g,en faible quantité,3 g,en quantité élevée,715,+8%,171,+11%,715 kj(171 kcal),+12%,10,+23%,"2,9",+13%,"0,6",-48%,"0,6",-23%,"19,4",+7%,3,+14%,"1,2",+14%,14,+9%,D,+9%,,,,,,,,2 x 100 g,4,['Frais'],"['E326 - Lactate de potassium', 'E262i - Acétate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Lait'],,,,,,,,,
1305,Eau de source de montagne des pyrénées - U,3256223010457,,['U'],['Boissons'],,['Magasins U'],['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,,,,,
1306,Tofu à l'indienne riz Basmati et lentilles - U Bio - 300g,3256224070306,,"['U Bio', 'U']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', ""Plats préparés d'origine végétale"", 'Plats préparés à réchauffer au micro-ondes']","['Bio', 'Bio européen', 'Cuisiné en France', 'Agriculture UE', 'FR-BIO-09', 'Point Vert', 'AB Agriculture Biologique']","['Super U', 'Magasins U']",['France'],"['Riz basmati* épicé précuit 26,6% ', 'riz basmati* 13,3%', 'eau', 'curcuma*', 'cardamome*', 'huile de colza*', 'sel marin', 'tofu* ', 'France', ' 17% [eau', 'SOJA*', 'gélifiant : Nigari ', 'chlorure de magnésium et autres sels de mer', ']', 'lentilles vertes* et riz rouge* précuits 15% ', 'eau', 'lentilles vertes* 5,8%', 'riz rouge* 1,6%', 'huile de colza*', 'sel marin', 'eau', 'champignons* ', 'champignons*', 'sel marin', 'oignons*', 'poivrons rouges*', 'poivrons verts*', 'raisins secs* ', 'raisins secs*', 'huile de tournesol*', 'huile de colza*', 'lait de coco*', 'fécule de pommes de terre*', 'sel marin', 'épices* 0,4% [dont curry* 0,1% ', 'curcuma*', 'coriandre*', 'gingembre*', 'cannelle*', 'fenugrec*', 'oignon*', 'poivre noir*', 'clou de girofle*', 'muscade*', ']', 'noix de coco*', 'sucre de canne*', 'épaississant : gomme de guar*', ""*Ingrédient issu de l'agriculture biologique"", 'Traces éventuelles de céréales contenant du gluten', 'oeuf et poisson']",[],5.3 g,en quantité modérée,1.1 g,en faible quantité,2.3 g,en faible quantité,1 g,en quantité modérée,616,+1%,147,-10%,616 kj(147 kcal),-8%,"5,3",-17%,"1,1",+10%,"17,3",+11%,"2,3",-5%,"5,9",-5%,1,+10%,"0,4",+10%,0,-100%,B,-100%,,,,,,,,300 g,4,"['Carton', 'Plastique', 'barquette micro-ondable']",['E412 - Gomme de guar'],['Soja'],['France'],,"['France', 'Hors France']",,,,,,
1307,"Jus mirabelle de Lorraine ""fruits de chez nous"" - U - 1l",3256224126539,B,['U'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de mirabelle']","['Fruits et Légumes de France', 'Récolté en France', 'Transformé en France', 'Fruits de France', 'Recyclé plastique']","['U Express', 'Magasins U']",['France'],"['Eau', 'purée de mirabelle de Lorraine I', 'G', 'P* 30% ', 'France', 'sucre', 'acidifiant : jus de citron à base de concentré', 'antioxydant : acide ascorbique', '*Indication Géographique Protégée']",[],0 g,en faible quantité,0 g,en faible quantité,11.1 g,en quantité élevée,0.025 g,en faible quantité,214,,50,+4%,214 kj(50 kcal),+5%,0,,0,,"12,3",+3%,"11,1",+2%,"0,2",-47%,"0,025",+162%,"0,01",+162%,16,,E,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,1 l,3,"['Bouteille', 'Plastique', 'Pet']",['E300 - Acide ascorbique'],,['France'],,['France'],Nectar de Mirabelle à base de purée de fruits,,,,,
1308,6 gros oeufs datés du jour de ponte - U - 6unités,3256224255000,B,['U'],"[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'Œufs de poules élevées en cage']","['Catégorie I', 'Oeufs de France', 'Conditionné en France', 'Bleu Blanc Cœur', 'BBC Œuf']",['Magasins U'],['France'],['Oeufs'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",9.9 g,en quantité modérée,2.5 g,en quantité modérée,0.7 g,en faible quantité,0.3 g,en quantité modérée,589,0%,141,-1%,589 kj(141 kcal),-1%,"9,9",-1%,"2,5",+6%,"0,7",+5%,"0,7",+29%,12,-4%,"0,3",+7%,"0,12",+7%,-1,,A,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,6 unités,1,"['Boite carton', 'Point vert']",,['Œufs'],['France'],"['FR 01.157.001 CE', 'Fareins (Ain, France)']",['France'],6 oeufs frais de poules élevées en cage catégorie A. Calibre gros,,,,,
1309,Boeuf aux oignons et nouilles - U - 300g,3256225038664,,['U'],"['Plats préparés', 'Plats préparés à réchauffer au micro-ondes']","['Viande Française', 'Cuisiné en France', 'Viande-bovine-francaise']",['Magasins U'],['France'],"['Nouilles cuisinées [pâtes précuites 29% ', 'semoule de BLE dur', 'eau', ""blanc d'OEUF"", 'huile de colza', 'sel]', 'viande de boeuf traitée en salaison et précuite 25% [viande bovine ', 'Origine: France', 'sel', 'stabilisants : E451 et E452]', 'eau', 'oignons 13,5%', 'carottes', 'champignons noirs réhydratés', 'amidon de maïs', 'sucre', ""vinaigre d'alcool"", 'sel', 'huile de colza', 'oignon poudre', 'gingembre', 'colorant : caramel ordinaire', 'coriandre', 'épaississant : gomme xanthane']","['Non végétalien', 'Non végétarien']",1.5 g,en faible quantité,0.2 g,en faible quantité,2 g,en faible quantité,0.86 g,en quantité modérée,363,-35%,86,-35%,363 kj(86 kcal),-35%,"1,5",-72%,"0,2",-90%,"9,8",-24%,2,+14%,"7,4",+11%,"0,86",+11%,"0,344",+11%,-1,-171%,A,-171%,,,,,,,,300 g,4,"['Micro-ondable', 'barquette micro-ondable']","['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E150a - Caramel E150a', 'E415 - Gomme xanthane']","['Œufs', 'Gluten']",,,,,,,,,
1310,CURCUMA - U - 37g,3256225471744,,['U'],['Epicerie'],,['Magasins U'],['France'],['Curcuma moulu Traces éventuelles de céleri et moutarde'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,,,,,,,,37 g,1,['format classique'],,,,,,,,,,,
1311,Paprika - U - 35g,3256225471805,,['U'],['Epicerie'],,['Magasins U'],['France'],['Paprika doux mouluTraces éventuelles de céleri et moutarde'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,,,,,,,,35 g,1,['format classique'],,,,,,,,,,,
1312,Pitch Choco Barre - Brioche Pasquier - 10,3256540001329,C,['Brioche Pasquier'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches au chocolat']",,,['France'],[],[],19.2 g,en quantité modérée,9.2 g,en quantité élevée,29 g,en quantité élevée,1 g,en quantité modérée,?,,420,+17%,1757 kj(420 kcal),+17%,"19,2",+44%,"9,2",+58%,"52,1",+3%,29,+63%,"7,7",0%,1,+17%,"0,4",+17%,24,+60%,E,+60%,77.5%,13.5%,5.4%,3.2%,0.4%,0.0%,63,10,,,,,,,,,,,,,
1313,6 Muffins nature à toaster - Pasquier - 300g,3256540034235,C,"['Pasquier', 'Brioche Pasquier']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains spéciaux', 'Pains Muffins']",['Fabriqué en France'],['Cora'],['France'],"['Farine de blé 15% ', 'gluten', ' - Levain ', 'farine de blé 6%', 'eau', 'sel', ' -  Oeufs frais 11% - Matière grasse végétale ', 'palme', "" - Glucose en poudre - Sucre - Semoule de blé dur \x95 Émulsifiant : mono et diglycérides d'acides gras - Épaississant : farine de graines de caroube - Levure - Sel - Antioxydant : acide ascorbique""]","['Huile de palme', 'Non végétalien']",12.5 g,en quantité modérée,5.9 g,en quantité élevée,12.1 g,en quantité modérée,1.3 g,en quantité modérée,1530,+50%,?,,1530 kj(366 kcal),+53%,"12,5",+317%,"5,9",+944%,"53,9",+34%,"12,1",+129%,"7,6",-25%,"1,3",+35%,"0,52",+35%,14,+32084%,D,+32084%,73.2%,15.1%,7.1%,4.0%,0.5%,0.0%,82,300 g,4,"['Sachet', 'Plastique']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E410 - Gomme de caroube', 'E300 - Acide ascorbique']","['Œufs', 'Gluten']",['France'],,,,,,,,
1314,Cidre brut - ecusson - 75cl,3256550501253,D,['Ecusson'],"['Boissons', 'Boissons alcoolisées', 'Cidres']",,,['France'],['Pommes'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,75 cl,3,['Bouteille'],,,,,,,,,,,
1315,Beurre demi sel - Gillot,3256760003226,E,['Gillot'],"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres demi-sel']",,,['France'],[],[],80 g,en quantité élevée,54 g,en quantité élevée,0.5 g,en faible quantité,3 g,en quantité élevée,?,,725,+1%,3033 kj(725 kcal),+1%,80,+1%,54,-0%,"0,5",-33%,"0,5",-19%,"0,7",+3%,3,+46%,"1,2",+46%,29,+9%,E,+9%,91.5%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,,,,,,,,,,,,
1316,"Eau pétillante - Lisbeth - 1,25L",3256860700117,,['Lisbeth'],"['Boissons', 'Boissons gazeuses', 'Eaux', 'Eaux de sources', 'Eaux gazeuses', 'Boissons sans sucre ajouté']","['Point Vert', 'Fabriqué en France', 'Origine France']",,['France'],['Eau pétillante avec adjonction de gaz carbonique'],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.06 g,en faible quantité,?,,0,,0 kj(0 kcal),-100%,0,-100%,0,,0,-100%,0,-100%,0,-100%,"0,06",+6%,"0,024",+6%,0,-100%,A,-100%,,,,,,,,"1,25 L",,"['Plastique', 'Bouteille']",,,"['France', 'Alsace']",,"['France', 'Alsace', 'Soultzmatt']",,,,,,
1317,"Elsass Cola - Source des pins - 1,25L",3256860703200,,"['Source des pins', 'Source de Soultzmatt']","['Boissons', 'Boissons avec sucre ajouté']",,,['France'],"['Eau de source Lisbeth', 'sucre', 'acidifiants : acide phosphorique et acide citrique', 'colorant : E150d', 'stabilisant : gomme arabique', 'arômes naturels', 'caféine', ' PENSEZ 125 cl AU TRI ! Boutei le elftique recoc']",[],0 g,en faible quantité,0 g,en faible quantité,9.4 g,en quantité élevée,0.01 g,en faible quantité,?,,38,-55%,159 kj(38 kcal),-57%,0,-100%,0,-100%,"9,4",-53%,"9,4",-49%,0,-100%,"0,01",-73%,"0,004",-73%,13,+9%,E,+9%,,,,,,,,"1,25L",4,,"['E338 - Acide orthophosphorique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', ""E150d - Caramel au sulfite d'ammonium"", ""E414 - Gomme d'acacia""]",,,,,,,,,,
1318,Champagne Blue Top Brut - Heidsieck & Co - 750ml,3256930103817,B,['Heidsieck & Co'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins effervescents', 'Champagnes', 'Champagnes bruts']",,['Carrefour Market'],"['France', 'Allemagne', 'Royaume-Uni']","['Champagne ', 'sulfites']",['Sans huile de palme'],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,750ml,3,"['Bouteille', 'Verre']",,['Anhydride sulfureux et sulfites'],['France'],,['France'],,,,,,
1319,Pissaladières niçoises - Coudène - 190g,3257630000444,B,['Coudène'],"['Plats préparés', 'Frais', 'Tartes', 'Pizzas tartes salées et quiches', 'Plats préparés au poisson', 'Tartes salées', 'Plats préparés frais', ""Tartes à l'oignon"", 'Pissaladière']",,,['France'],"['Oignons 56%', 'farine de BLÉ 22%', 'eau', 'ANCHOIS salés 3%', 'huile de colza', ""huile d'olive vierge extra"", 'olive noire ', 'olive', 'eau', 'sel', 'gluconate ferreux', 'sel', 'huile de tournesol', 'herbes de Provence', 'vinaigre de vin', 'malt de BLÉ']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",12 g,en quantité modérée,1.4 g,en faible quantité,6.5 g,en quantité modérée,,,995,,?,,995 kj(238 kcal),-4%,12,-11%,"1,4",-61%,26,+3%,"6,5",+39%,"5,4",+4%,,,,,,,,,57.0%,15.4%,5.3%,7.8%,3.1%,11.5%,77,190 g,3,['Barquette'],['E579 - Gluconate de fer'],"['Poisson', 'Gluten']","['France', 'Gard']","['FR 30.243.003 CE', 'Saint-Christol-lès-Alès (Gard, France)']",,Tartes garnies d'oignons et d'anchois,,,,,
1320,Brandade de morue - Coudène - 200g,3257630006033,E,['Coudène'],"['Produits de la mer', 'Poissons', 'Plats préparés', 'Plats préparés au poisson', 'Brandades de morue']",['Sud de France'],,['France'],"['Huile de colza', 'morue 32%', 'eau', 'protéines de lait', 'sel', 'épaississant : carraghénanes ', ""extrait d'algues marines""]","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",47 g,en quantité élevée,4 g,en quantité modérée,0.1 g,en faible quantité,0.975 g,en quantité modérée,?,,458,+107%,1916 kj(458 kcal),+108%,47,+183%,4,+90%,3,-62%,"0,1",-86%,"5,7",-16%,"0,975",+12%,"0,39",+12%,12,+183%,D,+183%,90.1%,2.6%,1.1%,5.1%,0.6%,0.4%,21,200g,4,['Verre'],"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","['Poisson', 'Lait']","['France', 'Gard']","['FR 30.243.003 CE', 'Saint-Christol-lès-Alès (Gard, France)']",,Spécialité à base de morue,,http://www.coudene.com,,,
