,name,bar_code,eco_score,brand,categories,labels,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,nova_score,packaging,additives,allergens,manufacturing,traceability_code,ingredients_origins,generic_name,palm_ingredients,link,brand_owner,producer_info,origin_detail
200,Chocolat Lait noisette - Lindt,3046920016773,E,"['Lindt', 'Lindt & Sprüngli']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats aux noisettes', 'Chocolats au lait aux noisettes']",,,['France'],[],[],36 g,en quantité élevée,16 g,en quantité élevée,49 g,en quantité élevée,0.22 g,en faible quantité,?,,560,-2%,2343 kj(560 kcal),-1%,36,-5%,16,-9%,49,+5%,49,+11%,"7,3",-13%,"0,22",+16%,"0,088",+16%,26,+6%,E,+6%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,,,,,,,,,,
201,Pizza 4 fromage - Leader Price,3263859473136,B,['Leader Price'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas au fromage']",,['Leader Price'],['France'],[],[],11 g,en quantité modérée,6.7 g,en quantité élevée,2.7 g,en faible quantité,1.1 g,en quantité modérée,?,,257,+6%,1075 kj(257 kcal),+5%,11,+15%,"6,7",+35%,25,-8%,"2,7",-5%,13,+17%,"1,1",-11%,"0,44",-11%,13,+31%,D,+31%,52.9%,15.6%,6.3%,7.9%,3.6%,13.7%,84,,,"['Film en plastique', 'Plaque en carton']",,,,,,,,,,,
202,Jus de fruits vitaminé - Auchan,3596710480081,D,"['Auchan', 'Auchan Production']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits']","['Sans sucre ajouté', 'Nutriscore']",['Auchan'],['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,10 g,en quantité élevée,0.02 g,en faible quantité,?,,46,0%,192 kj(46 kcal),0%,"0,5",+196%,"0,1",+256%,10,-6%,10,+3%,"0,6",+53%,"0,02",+102%,"0,008",+102%,4,+5%,C,+5%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,['Bouteille'],,,,"['EMB 21464', ""Nuits-Saint-Georges (Côte-d'Or, France)""]",,,,,,,
203,Sirop de fruits exotiques,3265261434699,B,,"['Boissons', 'Sirops', 'Sirops aromatisés']",,,['France'],[],[],,,,,,,,,?,,328,+32%,1372 kj(328 kcal),+28%,0,-100%,0,-100%,"79,9",+25%,"78,8",+29%,0,-100%,"0,03",+1%,"0,012",+1%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,,
204,Pois chiches - Auchan,3596710482764,,['Auchan'],,,['Auchan'],['France'],[],[],,,,,,,,,?,,118,,494 kj(118 kcal),,"2,2",,"0,4",,15,,"0,4",,"6,5",,"0,45",,"0,18",,,,,,,,,,,,,,,,,,,,,,,,,,
205,Riz kamalis - Taureau Ailé,3038359009426,,['Taureau Ailé'],,,,['France'],[],[],,,,,,,,,?,,349,,1460 kj(349 kcal),,"0,7",,"0,2",,78,,"0,2",,"7,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
206,PIZZA aux légumes - Casino Bio,3222477340527,C,['Casino Bio'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizza aux légumes']",['Bio'],['Casino'],['France'],[],[],6.6 g,en quantité modérée,3.3 g,en quantité modérée,4.6 g,en faible quantité,0.8 g,en quantité modérée,?,,185,-6%,774 kj(185 kcal),-5%,"6,6",+7%,"3,3",+37%,23,-12%,"4,6",+25%,"7,2",-3%,"0,8",-20%,"0,32",-20%,5,+63%,C,+63%,63.5%,14.6%,5.7%,4.9%,2.4%,8.9%,66,,,,,,,,,,,,,,
207,Garniture pour bouchées - 350g,26098463,,,,,,['France'],[],[],,,,,,,,,?,,83,,347 kj(83 kcal),,5,,"2,3",,"3,7",,"0,6",,"5,5",,,,,,,,,,,,,,,,,350 g,,,,,,,,,,,,,
208,Banane bio et équitable,3661273099633,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,['France'],[],[],,,,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,?,,,,?,,,,?,,,,,,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,,,,,,,,,,,
209,Bacon-Streifen - Dulano - 2x 125g,4056489115519,,['Dulano'],,,,"['Belgique', 'France']","['Schweinebauch*', 'Nitritpökelsalz ', 'Speisesalz', 'Konservierungsstoff: Natriumnitrit', 'Maltodextrin', 'Dextrose', 'Gewürze', 'Säuerungsmittel: Natriumacetate', ' Antioxidationsmittel: Natriumascorbat', ' Reifungskulturen', 'Rauch']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,,,1110,,268,,1110 kj(268 kcal),,22,,9,,1,,"0,5",,16,,"3,2",,"1,28",,,,,,,,,,,,,2 x 125 g,4,['Frais'],"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E262 - Acétates de sodium', 'E301 - Ascorbate de sodium']",,,,,,,,,,
