,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,markets,additives,allergens,nova_score,quantity,packaging,manufacturing,traceability_code,ingredients_origins,generic_name,link,palm_ingredients,origin_detail
498,Chocolat Noir 90%,3760051930035,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,Mousse de foie,35745389,['France'],[],[],?,297,1243 kj(297 kcal),26,"10,5","3,1",2,"12,4","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,Pinot gris,3589141593123,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,Dimes,8690558005026,['France'],[],[],?,46,192 kj(46 kcal),0,0,12,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Pâté de tête persillé,2471252017715,['France'],[],[],?,180,753 kj(180 kcal),14,"4,7","0,2","0,2","13,4","1,52","0,608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,Sanostol Multivitaminsaft (780 ML),4043027007184,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Macédoine de légumes,3255691008652,['France'],[],[],?,41,172 kj(41 kcal),"0,5","0,1","5,6","1,7","2,4","0,67","0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,Lunch fruits *16 decongeler,,['France'],[],[],?,325,1360 kj(325 kcal),17,"5,2",37,21,"4,1","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,From' Doux Monts Yssingelais,3387270110019,['France'],[],[],?,309,1293 kj(309 kcal),25,15,"1,8","0,3",19,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,Salade de harengs flamande,2800500018172,['France'],[],[],?,232,971 kj(232 kcal),12,"4,8","0,1","0,1",31,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,La souris d'agneau confite,2224658068092,['France'],[],[],?,125,523 kj(125 kcal),5,"1,9","1,9",0,18,"0,96","0,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Etui en carton'],,,,,,,
509,Mochiyaki,4978041024155,['France'],[],[],?,471,1971 kj(471 kcal),"16,5","1,8","75,3","0,2","5,9","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,Aubergines au brocciu,2245378048737,['France'],[],[],?,94,393 kj(94 kcal),"5,4","3,18","5,4","2,9","5,7","0,857","0,343",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Glace artisanale,3770015302013,['France'],[],[],?,203,849 kj(203 kcal),9,"5,2",25,22,"4,5","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,Biscotin de riz umai Senbei,4978041028054,['France'],[],[],?,377,1577 kj(377 kcal),"0,8","0,4","84,6","83,5","7,8","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,Mousse pur canard,0209091014044,['France'],[],[],?,402,1682 kj(402 kcal),"39,4","14,5","3,2","2,4","8,7","1,66","0,664",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 56.246.008 CE', 'Sourn (Morbihan, France)']",,,,,
514,Defenses naturelles - Yogi Tea,4012824405264,['France'],[],[],?,2,8 kj(2 kcal),"0,1","0,1","0,5","0,1","0,1",,,,,,,,,,,,,,,,,['Yogi Tea'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,St nectaire fermier,0210911099578,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,Saumon,0257190126670,['France'],[],[],?,86,360 kj(86 kcal),"13,6","2,6",0,0,"20,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,Sanko Ajishokunin Shoyu Okaki,4901626014258,['France'],[],[],?,393,1644 kj(393 kcal),"2,9","0,4","84,9","7,3","6,7","2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,Petit béret béarnais,3770014264053,['France'],[],[],?,455,1904 kj(455 kcal),13,1,75,47,"8,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Petit beurre au beurrre bordier demi-sel et chocolat - 150g,3760191050549,['France'],"['Farine de blé ', 'gluten', 'chocolat noir 20 % ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant: lécithine de soja', 'arôme naturel de vanille', 'beurre Bordier demi-sel 16 % ', 'lait', 'sucre', 'œuf frais entier', ""jaune d'œuf"", 'sel de Guérande', 'poudre à lever ', 'diphosphate disodique', 'carbonate acide de sodium', 'amidon de blé', 'Peut contenir des traces de fruits à coque et arachides']",['Non végétalien'],?,447,1870 kj(447 kcal),"22,2","14,34","53,33","22,26","6,95","1,26","0,504",D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits tablette de chocolat', 'Biscuits au chocolat noir', 'Biscuits tablette de chocolat noir']",,-11%,-8%,-14%,+3%,82.4%,11.3%,2.3%,2.5%,1.4%,0.0%,41,['Bordier'],22.2 g,en quantité élevée,14.3 g,en quantité élevée,22.3 g,en quantité élevée,1.26 g,en quantité modérée,-11%,-3%,-30%,+147%,+147%,24,+11%,E,+11%,['Fabriqué en France'],,"['E322i - Lécithine', 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']","['Œufs', 'Gluten', 'Lait', 'Soja']",4,150 g,,,,,,,,
520,Baptiste Languedoc 2019,3760069940439,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,SALCHICHON DE DINDE HALAL,8423759051079,['France'],[],[],?,275,1151 kj(275 kcal),"16,6",6,"4,1","2,7","27,2","4,5","1,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Poivre 4 Baies moulin - carrefour bio - 34g,3560071261597,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,"['carrefour bio', 'Carrefour']",,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['Carrefour'],,,,34g,['Verre'],,,,,,,
523,Foie gras,3113010147850,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,Scamorza affumicata,8030108530705,['France'],[],[],?,249,1042 kj(249 kcal),17,11,1,0,23,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,Handmade Rock Candy,8713305812736,['France'],[],[],?,377,1577 kj(377 kcal),0,0,99,53,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,Truffes coco,3370077585531,['France'],[],[],?,489,2046 kj(489 kcal),"34,9","22,8","35,7","33,8","5,4","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,Hard seltzer - saveur combava fleur de sureau,3760323590004,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,APPLE premium drink,6223000756539,['France'],[],[],?,63,264 kj(63 kcal),0,0,16,14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,Domaine du Charron,3661710009812,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,Cordon bleu frisches Schweinefleisch - Landjunker - 500g,4056489115878,['France'],"['61% Schweinefleisch*', 'Panade ', 'Weizenmehl', 'Trinkwasser', 'Weizenstärke', 'Speisesalz', 'Hefe', 'Gewürze', '9% Kochhinterschinken [Schweinefleisch*', 'Nitritpökelsalz ', 'Speisesalz', 'Konservierungsstoff: Natriumnitrit', 'Dextrose', 'Stabilisator: Triphosphate', ' Antioxidationsmittel: Natriumascorbat', ' Weißer Pfeffer]', '7 % Schnittkäse', 'Trinkwasser', 'Speisesalz', 'Glukosesirup', ' *QS-Ware', ' Kann Spuren von Senf und Sellerie enthalten']","['Non végétalien', 'Non végétarien']",?,?,,"5,5",,"13,6","2,1",17,"1,5","0,6",C,"['Viandes', 'Préparations de viande', 'Produits panés', 'Cordons bleus']",,,-55%,-2%,+29%,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,"['Landjunker', 'Lidl']",5.5 g,en quantité modérée,,,2.1 g,en faible quantité,1.5 g,en quantité modérée,,,+33%,+15%,+15%,,,,,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",['Gluten'],4,500g,['Plastique'],,"['DE NW-20028 EG', 'DE NW-20028 EG']",['Allemagne'],,,,
531,Matcha premium,4525234023077,['France'],[],[],?,302,1264 kj(302 kcal),"1,9","0,61","29,7","6,4","30,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,Aiguillettes de poulet,0215293034834,['France'],[],[],?,114,477 kj(114 kcal),2,"0,2",0,0,24,"0,15","0,06",D,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",,-10%,+8%,-100%,+6%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,2 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,0.15 g,en faible quantité,-9%,-58%,-100%,-66%,-66%,-4,,A,,,,,,,,,,,,,,,
533,PASTBZBR BREIZH,3259426041518,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,topicrem,3700281702699,['France'],"['PV/DS Cleansing Gelandndandadalo', 'ejodos Jyhs N11']",[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,Barbecue à sahbe,3770005926588,['France'],[],[],?,148,619 kj(148 kcal),"0,2",0,"34,8",0,"0,4",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,Miel brut de ruche,8411737003516,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,Mélange exotique,2600129012731,['France'],[],[],?,387,1619 kj(387 kcal),11,"10,1","69,8","57,2","1,9",21,"8,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,Chocolat Noir cacao 72%,3474341102773,['France'],[],[],?,581,2431 kj(581 kcal),44,27,33,26,"8,1",,,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,+4%,+12%,-15%,+6%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,44 g,en quantité élevée,27 g,en quantité élevée,26 g,en quantité élevée,,,+5%,+17%,-18%,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,
539,Donut de filet de poulet,3353473170044,['France'],[],[],?,228,954 kj(228 kcal),"12,4","3,5","20,6","1,1","9,4","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,Tartufo bianco white truffle,8004825003439,['France'],[],[],?,820,3431 kj(820 kcal),32,15,6,0,0,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,Tartare de concombre,0209856012995,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,3346941101015,3346941101015,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,Cocon Mini Pudding Mixed 375G. Pack,9556437005688,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,2276746033390,2276746033390,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,0775075705197,0775075705197,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,0078742313689,0078742313689,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,8032825270117,8032825270117,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,Sweet & Salty popcorn,8718537820597,['France'],[],[],?,474.9,1987 kj(474 kcal),"21,8","7,6","59,2",2,"5,9","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,Bière,3760093280457,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,nougat au chocolat,3328560540819,['France'],[],[],?,457,1912 kj(457 kcal),15,"2,8",71,56,"6,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,Lait ecreme,5425005961531,['France'],[],[],?,366,1531 kj(366 kcal),"1,5","0,8",54,54,34,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,Confiture extra de mure sauvage,3336770006445,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,Strucà con amarena,8006215006075,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,Mocaccino détox,3770013018084,['France'],[],[],?,290.5,1215 kj(290 kcal),"1,4","0,9","56,7","55,1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,Orée des bois,3583852000055,['France'],[],[],?,408,1707 kj(408 kcal),17,"4,1","71,2","40,8","4,1","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,100% issu de fruits - Saveurs attitudes,3299430065865,['France'],[],[],?,167,699 kj(167 kcal),"0,2","0,1","40,3","40,1","0,5","0,01","0,004",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de poires']",,-24%,-37%,-24%,+49%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,['Saveurs attitudes'],0.2 g,en faible quantité,0.1 g,en faible quantité,40.1 g,en quantité élevée,0.01 g,en faible quantité,-24%,+41%,-22%,-73%,-73%,10,+10%,C,+10%,"['Bio', 'Fabriqué en France']",,,,,,,,,,,,,
557,Chaï Curcuma - Yogi Tea,4012824405158,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,['Yogi Tea'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,Poitrine salée plate,2259981026761,['France'],[],[],?,422,1766 kj(422 kcal),"37,8","13,4","0,9","0,6",21,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,All Stars Clean Bar Peanut Butter Chocolate,4250031354238,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,Citron en saumure (Beldi),6111249601539,['France'],[],[],?,?,,?,,?,,?,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,The vert à la menthe,3585810084916,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,Pate a pizza bio,3292774717575,['France'],[],[],?,280,1172 kj(280 kcal),"4,4","0,8",47,"2,1",7,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,Paté campagne supérieur 210g,2212400015098,['France'],[],[],?,306,1280 kj(306 kcal),26,10,4,1,14,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,Poitrine cuite supérieure 3 tranches VPF 239g,2478872022501,['France'],[],[],?,270,1130 kj(270 kcal),"21,4","8,5",1,"0,2","18,3","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 35.152.002 CE', 'Liffré (Ille-et-Vilaine, France)']",,,,,
565,World café,3487772019985,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,Seazon,3701456307046,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,['Seazon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,Dahl de pois cassés à la courge - Seazon,3701456301891,['France'],[],[],?,132,552 kj(132 kcal),6,5,14,3,4,1,"0,4",,,,,,,,,,,,,,,['Seazon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,Fusilli IGP et dinde a la tomate - Seazon,3701456300900,['France'],[],[],?,114,477 kj(114 kcal),3,1,14,1,7,1,"0,4",,,,,,,,,,,,,,,['Seazon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,My prot gainer,5056379503975,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,Lady Gaga - Chromatica K7 Rose,0602508854224,['France'],[],[],?,1000,4184 kj(1000 kcal),0,0,0,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,"Filet de poulet, pommes de terre et condiment carotte-moutarde - Seazon",3701456301877,['France'],[],[],?,89,372 kj(89 kcal),2,1,8,2,9,1,"0,4",,,,,,,,,,,,,,,['Seazon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,Cidre doux Bio,3260420089659,['France'],[],[],?,?,,?,,?,,?,,,D,"['Boissons', 'Boissons alcoolisées', 'Cidres', 'Cidres doux']",,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,Pâte à tartiner,3770010956594,['France'],[],[],?,567,2372 kj(567 kcal),"42,7","5,3","24,9","17,2","16,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,Raisin moelleux,3700741002789,['France'],[],[],?,290,1213 kj(290 kcal),"0,5","0,2",64,58,"2,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,Écrasée de pomme de terre au thon,3660088166844,['France'],[],[],?,116,485 kj(116 kcal),"6,2","0,8","7,5","0,1","6,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,Le integrali della casa is malloreddus medi,8005825001159,['France'],[],[],?,500,2092 kj(500 kcal),"2,3","0,4",66,"4,7",14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,Farine de mais,3770003127017,['France'],[],[],?,350,1464 kj(350 kcal),"1,8","0,2","73,5","1,6",7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,Yaourt biologiqye,3760156081007,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,5411181095764,5411181095764,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,Gaufrettes fourrees arome chocolat,0023872000275,['France'],[],[],?,511,2138 kj(511 kcal),"24,9","18,6","66,6","41,5","4,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,Cherry&Berry,6938888889896,['France'],[],[],?,45,188 kj(45 kcal),0,0,11,"7,7",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,Pom’en jus,3770012275136,['France'],[],[],?,48,201 kj(48 kcal),"0,1","0,1",12,12,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,2155075003154,2155075003154,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,Tamari Genuine Soy 250ML,9312336101117,['France'],[],[],?,315,1318 kj(315 kcal),1,0,"8,3","3,4","9,8","5,8","2,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,Locox tt,1852970,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,8029404005024,8029404005024,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,Fiorellini,3760133676189,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,Chaussons au pomme,0203242023619,['France'],[],[],?,0.4,2 kj(0 kcal),16,10,31,10,"3,8","0,56","0,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,Foie gras de canard,3563480001105,['France'],[],[],?,534,2234 kj(534 kcal),"54,6","23,1","3,2","0,9","7,5","0,77","0,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,Filet tranche de dinde,2276702023755,['France'],[],[],?,105,439 kj(105 kcal),"1,4","0,4",23,0,23,"0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,0200498035229,0200498035229,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,7613269753957,7613269753957,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,8437009775820,8437009775820,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,4260446581082,4260446581082,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,8714368008470,8714368008470,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,Sandwich thon œuf,2242211981459,['France'],[],[],?,280,1172 kj(280 kcal),14,"1,2",27,"4,9",11,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Barquette', 'Film en plastique']",,,,,,,
597,Saucisson volaille goût boeuf naturel,5413203022147,['France'],[],[],?,29,121 kj(29 kcal),26,8,"0,3","0,2",7,"2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,Veritable rosette a l’ancienne,2634235019025,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,Cranberries sechees en moitiés,2600298032349,['France'],[],[],?,355,1485 kj(355 kcal),"0,5","0,5","83,2",65,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,Banane,0208634002494,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,Fromage de chevre,2699999061208,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,Préparation pour chocolat chaud,3760245080416,['France'],[],[],?,46,192 kj(46 kcal),"32,3","19,4","35,1","27,2","9,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,Tartare rosso,2956164455470,['France'],[],[],?,148,619 kj(148 kcal),12,"1,5","6,8","3,4","1,6","1,43","0,572",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,8425962100612,8425962100612,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,Roulade au fromage,3327750000447,['France'],[],[],?,312,1305 kj(312 kcal),"28,5","10,75","1,9","1,6",12,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,Velouté de potimarron,3760248013510,['France'],[],[],?,28,117 kj(28 kcal),"1,2","0,77","4,4","1,4","0,6","0,53","0,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,Ragù con carne di razza maremmana,57837352,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,Extra Gaufrettes à la noisette,3770014533029,['France'],[],[],?,483,2021 kj(483 kcal),"19,4","10,6","76,6","38,7","2,4","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
