,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,markets,additives,allergens,nova_score,quantity,packaging,manufacturing,traceability_code,ingredients_origins,generic_name,link,palm_ingredients,origin_detail
941,Tortilla de maiz,9120053751467,['France'],[],[],?,222,929 kj(222 kcal),"2,5","0,3",47,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,Poulet rôti,0209404043297,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,Truffes de luxe,9003600490999,['France'],[],[],?,521,2180 kj(521 kcal),32,19,48,46,"4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,Biscuits au chocolat et crème d'érable,0621299000016,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,Olives cassées à l'ail,2609709016602,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,Saucisson à l’ail -fumé au hêtre,3440970011106,['France'],[],[],?,268.3,1123 kj(268 kcal),"24,12","8,95","0,77","0,61","27,35","1,77","0,708",E,"['Viandes', 'Charcuteries', 'Saucissons', ""Saucissons à l'ail""]",,-2%,+8%,-30%,+71%,80.5%,12.7%,2.9%,1.1%,0.6%,2.3%,21,,24.1 g,en quantité élevée,8.95 g,en quantité élevée,0.61 g,en faible quantité,1.77 g,en quantité élevée,-2%,+5%,-15%,-16%,-16%,18,-7%,D,-7%,"[""Saucisson à l'ail""]",,,,,,,,,,,,,
947,Salade de pates dolce vita,2208251024600,['France'],[],[],?,241.83,1012 kj(241 kcal),"7,21","1,46","44,74","3,32","9,35","0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,Gros Sel,2001085203582,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,Saucisson à la Truffe d’été 2%,3019898465034,['France'],[],[],?,365,1527 kj(365 kcal),29,"11,6",1,1,25,"3,6","1,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,4 rostis burgers,2006050025961,['France'],[],[],?,195,816 kj(195 kcal),12,"3,5",15,"0,5","6,7","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Film en plastique', 'Barquette en plastique']",,"['FR 56.010.001 CE', 'Baud (Morbihan, France)']",,,,,
951,Ketchup aux tomates corses,0637913289934,['France'],[],[],?,37.5,157 kj(37 kcal),"0,68",0,"4,3","2,4","0,7","3,2","1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 28037', 'Bérou-la-Mulotière (Eure-et-Loir, France)']",,,,,
952,Échalotes,3662093405024,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,Master chocolatier collection - Lindt,4000539395642,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,['Lindt'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,Filet de canard,2255143058052,['France'],[],[],?,?,,?,,?,,?,0,0,D,"['Viandes', 'Volailles', 'Canards', 'Filets de canard']",,,,,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,0 g,en faible quantité,,,,-100%,-100%,,,,,,,,,,,"['Barquette', 'Film en plastique']",,,,,,,
955,Lachcha semai,0831730006594,['France'],[],[],?,0,0 kj(0 kcal),"28,5",0,56,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,French fraiz,3701043800844,['France'],[],[],?,352,1473 kj(352 kcal),"0,5","0,1",83,59,"4,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,Pain au chocolat pur beurre,0262300019353,['France'],[],[],?,600,2510 kj(600 kcal),100,100,3,"0,146",0,25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,2869878044152,2869878044152,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,Tendre Nougat de Provence,3701043800608,['France'],[],[],?,455,1904 kj(455 kcal),"18,1","1,4","64,3","59,8","5,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans gluten'],,,,,,,,,,,,,
960,Sel de mer,3760194226521,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,Patate,3520716502690,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
