,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,allergens,ingredients_origins,manufacturing,link,palm_ingredients,brand_owner
214,Sauce tomate basico - Bioteam,3609761400011,,,,['Bioteam'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],"['tomate* 99,2%', 'basilic* 0,6%', 'sel de mer', ""correcteur d'acidité : acide citrique"", "" *issu de l'agriculture biologique Peut contenir soja"", 'céleri', 'gluten et fruits à coque']",['E330 - Acide citrique'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,?,,27,,113 kj(27 kcal),,"0,5",,"0,1",,"4,5",,"2,4",,"1,3",,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,
215,Sauce Tomate basilic,3609761400059,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'IT-BIO-008']",,['France'],[],,[],,,,,,,,,,?,,59,,247 kj(59 kcal),,"3,5",,"0,6",,"4,9",,"3,4",,"1,2",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,
216,Huile de sesame vierge -,3609761700111,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Matières grasses', 'Céréales et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de céréales', 'Huiles de sésame']","['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']",,['France'],['graines de sésame'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",2,100 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+5%,3766 kj(900 kcal),+5%,100,+4%,14,-5%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,11,-4%,D,-4%,C,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,,['Graines de sésame'],,,,,
217,"Vinaigre balsamique de Modène IGP - 1.2.3 BIO - 0,5L",3609761800033,,"0,5L",,['1.2.3 BIO'],"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']","['Bio', 'Bio européen', 'IGP', 'AB Agriculture Biologique']",,['France'],"['vinaigre de vin*', 'moûts de raisins* concentrés et cuits', "" *issu de l'agriculture biologique Acidité : 6%""]",,[],2,0 g,en faible quantité,0 g,en faible quantité,13 g,en quantité élevée,0.05 g,en faible quantité,?,,311,+112%,1301 kj(311 kcal),+112%,0,-100%,0,-100%,19,-40%,13,-55%,"0,6",-10%,"0,05",-29%,"0,02",-29%,,,,,B,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,['Italie'],,,,
218,Vinaigre balsamiques de pomme - 1.2.3 Bio,3609761800071,,,,['1.2.3 Bio'],['FR:Vinaigre balsamiques de pomme'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],,[],,0.003 g,en faible quantité,0.003 g,en faible quantité,8.6 g,en quantité modérée,0.01 g,en faible quantité,?,,59,,247 kj(59 kcal),,"0,003",,"0,003",,10,,"8,6",,"0,2",,"0,01",,"0,004",,1,,B,,,,,,,,,,,,,,,,
219,Infusion en gelée à la grenade et coco,3610340017476,,,,,,,,['France'],[],,[],,,,,,,,,,?,,234,,979 kj(234 kcal),,0,,0,,"58,4",,"44,1",,"0,13",,"0,32",,"0,128",,,,,,,,,,,,,,,,,,,,
220,Les Fleurons d'Apt - Clémentines confites,3612645634013,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Fruits confits', 'Clémentines confites']",,,['France'],[],,[],,0.5 g,en faible quantité,0.3 g,en faible quantité,50 g,en quantité élevée,0 g,en faible quantité,?,,290,+3%,1213 kj(290 kcal),+3%,"0,5",+47%,"0,3",+259%,70,+5%,50,-9%,1,+34%,0,-100%,0,-100%,8,+10%,C,+10%,,,,,,,,,,,,,,,
221,Macedoines De Fruits Confits - Sans marque - 200g e,3612645927214,,200 g e,"['Plastique', 'Pot']",['Sans marque'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Fruits confits']",,,['France'],"['Pastèque', ""écorce d'orange"", 'sirop de glucose-fructose', 'saccharose', 'conservateurs : E202', 'E220 ', 'sulfites', 'colorants : E150a', 'E120', 'E133', ""correcteur d'acidité : E330""]","['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition', 'E150a - Caramel E150a', 'E120 - Acide carminique', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E330 - Acide citrique']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['EMB 84003W', 'Apt (Vaucluse, France)', 'EMB 84003', 'Apt (Vaucluse, France)']",['Anhydride sulfureux et sulfites'],,,,,
222,Jeunes pousses d'epinards - Priméale,3613460007204,,,['Sachet'],['Priméale'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes-feuilles', 'Épinards', 'en:raw-spinach-young-leaves']",,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,A,45.1%,0.0%,0.0%,22.1%,31.7%,1.1%,99,"['EMB 13027Y', 'Châteaurenard (Bouches-du-Rhône, France)']",,,,,,
223,Mache - Priméale,3613460008867,,,,['Priméale'],,['Point Vert'],,['France'],[],,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,"0,1",,"0,04",,,,,,,,,,,,,,"['EMB 13027Y', 'Châteaurenard (Bouches-du-Rhône, France)']",,,,,,
224,Darne de merlu blanc,3613550000825,,,,,"['Plats préparés', 'Plats préparés au poisson', 'Merlu', 'Merlu blanc']",,,['France'],[],,[],,1.6 g,en faible quantité,0.51 g,en faible quantité,0.6 g,en faible quantité,0.19 g,en faible quantité,?,,81,-54%,339 kj(81 kcal),-53%,"1,6",-85%,"0,51",-81%,"0,6",-93%,"0,6",-60%,"16,6",+78%,"0,19",-82%,"0,076",-82%,-4,-185%,A,-185%,E,89.4%,0.0%,1.6%,8.0%,0.8%,0.2%,28,"['EMB 62160', 'Boulogne-sur-Mer (Pas-de-Calais, France)']",,,,,,
225,Chèvre - Chavroux - 150g,3614070059317,,150 g,['Frais'],"['Chavroux', 'Savencia']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre']",,,"['Belgique', 'France', 'Suisse']",[],,[],,,,18 g,en quantité élevée,0.5 g,en faible quantité,1.8 g,en quantité élevée,?,,309,+9%,1293 kj(309 kcal),+10%,?,,18,+12%,?,,"0,5",-48%,20,+16%,"1,8",+33%,"0,72",+33%,,,,,E,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,"['FR 79.268.001 CE', 'Saint-Loup-Lamairé (Deux-Sèvres, France)']",,,,,,
226,Le Dail - Savencia,3614070059324,,,,['Savencia'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,,['France'],[],,[],,27 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,1.8 g,en quantité élevée,?,,315,-4%,1318 kj(315 kcal),-4%,27,+2%,18,+1%,1,-17%,"0,5",-33%,17,-17%,"1,8",+38%,"0,72",+38%,15,+9%,D,+9%,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,
227,Pure origine Pérou,3618800000006,,,,,,,,['France'],[],,[],,,,,,,,,,?,,603,,2523 kj(603 kcal),,"50,3",,"30,4",,"32,8",,"28,6",,"5,6",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,
228,Les biscuits de Nono,3619777022039,,,,,,,,['France'],[],,[],,,,,,,,,,?,,1,,4 kj(1 kcal),,1,,1,,1,,1,,1,,1,,"0,4",,,,,,,,,,,,,,,,,,,,
229,Chocapic duo - Nestlé,36131945,,,,"['Nestlé', 'Chocapic']",,,,['France'],[],,[],,,,,,,,,,?,,392,,1640 kj(392 kcal),,"5,3",,"1,8",,"74,8",,"28,8",,"8,1",,"0,26",,"0,104",,,,,,,,,,,,,,,,,,,,
230,GRANY Fraises et framboises,3637760502399,,,,,,,,['France'],[],,[],,,,,,,,,,?,,408,,1707 kj(408 kcal),,13,,"3,5",,69,,19,,"5,2",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,
231,fromage blanc pâturages - 1kg,36560103,,1 kg,['pot en plastique'],['Paturages'],['Produits laitiers'],,['Intermarche'],['France'],"['INGREDIENTS : Lait écrémé et crème pasteurisés', ' ferments lactiques']",,['Non végétalien'],3,3.2 g,en quantité modérée,1.9 g,en quantité modérée,3.8 g,en faible quantité,0.09 g,en faible quantité,?,,307,+24%,1284 kj(307 kcal),+27%,"3,2",-82%,"1,9",-84%,"3,8",-23%,"3,8",-7%,"7,3",-41%,"0,09",-88%,"0,036",-88%,0,-100%,B,-100%,,,,,,,,,,['Lait'],,,,,
232,Defiligne draineur minceur - Yves Rocher,3660005489049,,,,['Yves Rocher'],"['Boissons', 'Boissons édulcorées']",,,['France'],"[""COV GELS D'UTILISATION : Bien agiter la bouteille avant utilisation"", "" Diluer l'équivalent doseur "", '45ml', "" dans ur litre d'eau"", 'à consommer tout au long journée', ' Programme de 10 jours renouvelable', ' Un légerdépôtaufond de la bouteille est normal']",,[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,1,-93%,4 kj(1 kcal),-93%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,1,-77%,B,-77%,,,,,,,,,,,,,,,
233,Couscous et semoule COLLET,3660014113614,,,,['Collet'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de semoule', 'Couscous préparés']",,,['France'],"['GARNITURE 77,1% : Mélange de légumes en proportions variables 30,7% ', 'carotte', 'navet', 'CELERI', 'courgette', 'poivrons', 'pois chiche', 'poulet caramélisé 21,1% ', 'haut de cuisse de poulet ', 'origine UE', 'eau', 'colorant caramel ordinaire', 'sucre de canne', 'eau', 'merguez 10,2% ', 'viande de boeuf ', 'origine UE', 'gras de bœuf', 'gras de mouton', 'eau', 'poitrine de mouton ', 'origine France', 'sel', 'mix merguez ', 'aromates', ""épices et extrait d'épices"", 'huile végétale de tournesol', 'LACTOSE', 'sirop de glucose', 'dextrose', 'conservateurs : nitrite de sodium', 'ascorbate de sodium', 'colorants : extrait de paprika', 'rouge de betterave', 'acidifiant : acétate de sodium', 'arômes naturels', 'boyau naturel de mouton', 'maltodextrine', 'amidon modifié', 'sel', 'extrait de navet et tomate', 'épices', 'dextrose', 'fariné de BLE', 'arômes naturels', 'gélatine alimentaire ', 'contient SULFITES', 'harissa ', 'piment', 'ail', 'coriandre', 'carvi', 'sel', ' \rSEMOULE 22,9%: Eau', 'semoule de BLÉ dur 9,3%', ""huile d'olive"", 'raisins sec 0,5% ', 'dont huile de tournesol et/ou graines de coton', 'sel', ' \rTraces éventuelles de mollusque', 'poisson', 'crustacé', 'oeuf', 'soja', 'fruits à coque', 'moutarde', 'sésame', 'arachide et lupin']","['E150a - Caramel E150a', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E160c - Extrait de paprika', 'E162 - Rouge de betterave', 'E262i - Acétate de sodium', 'E14XX - Amidons modifiés', 'E428 - Gélatine']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,7.2 g,en quantité modérée,1.3 g,en faible quantité,2 g,en faible quantité,0.83 g,en quantité modérée,?,,119,-22%,498 kj(119 kcal),-22%,"7,2",+67%,"1,3",+10%,"6,7",-62%,2,-6%,"6,6",-11%,"0,83",+9%,"0,332",+9%,1,+1673%,B,+1673%,,,,,,,,,,"['Céleri', 'Gluten', 'Lait', 'Anhydride sulfureux et sulfites']",,,,,
234,Brandade de morue parmentière -  - 350g,3660014114161,,350 g,,,"['Plats préparés', 'Plats préparés au poisson', 'Brandades de morue', 'Brandades de morue parmentière', 'en:preparations-made-from-fish-meat']",,,['France'],[],,[],,12.1 g,en quantité modérée,1.2 g,en faible quantité,2.7 g,en faible quantité,0.9 g,en quantité modérée,?,,186,+27%,778 kj(186 kcal),+28%,"12,1",+41%,"1,2",-28%,"10,4",+9%,"2,7",+198%,"8,4",+24%,"0,9",+9%,"0,36",+9%,1,-43%,B,-43%,E,90.1%,2.6%,1.1%,5.1%,0.6%,0.4%,21,"['FR 44.131.008 CE', 'Pornic (Loire-Atlantique, France)']",,,,,,
235,Saucisse purée COLLET 350g - 350g,3660014114734,,350 g,,,,,,['France'],[],,[],,,,,,,,,,?,,155,,649 kj(155 kcal),,"10,6",,"3,6",,"8,1",,"1,3",,"6,4",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,
236,Hachis parmentier - Auchan - 300g,3660014117353,,300 g,"['Barquette', 'Plastique']",['Auchan'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Réfrigérés', 'Plats préparés à réchauffer au micro-ondes', 'Plats préparés réfrigérés', 'Hachis parmentier']",,['Auchan'],['France'],"['Eau', 'viande de bœuf ', 'origine France 17', '2%', 'préparation pour purée déshydratée 9', '2% ', 'pomme de terre ', 'dont SULFITES', 'LACTOSERUM en poudre', 'LAIT entier et écrémé en poudre', 'huile de tournesol', 'maltodextrine et protéines de LAIT', 'colorant : riboflavine', 'CRÈME fraîche', 'CRÈME liquide ', 'stabilisants carraqhénanes', 'oignons', 'LAIT écrémé en poudre', 'persil', ""huile d'olive"", 'fécule modifiée', 'sel', 'chapelure ', 'farine de BLÉ', 'sel', 'levure', 'arômes naturels', 'ail', 'épaississant : xanthane']","['E101i - Riboflavine', 'E415 - Gomme xanthane']","['Non végétalien', 'Non végétarien']",4,7.4 g,en quantité modérée,2.5 g,en quantité modérée,2.5 g,en faible quantité,0.4 g,en quantité modérée,?,,83,-34%,347 kj(83 kcal),-33%,"7,4",+21%,"2,5",-14%,"8,9",-11%,"2,5",+55%,"5,8",-6%,"0,4",-45%,"0,16",-45%,1,-65%,B,-65%,E,91.5%,4.4%,1.4%,1.5%,0.8%,0.5%,27,"['FR 44.131.008 CE', 'Pornic (Loire-Atlantique, France)']","['Gluten', 'Lait', 'Anhydride sulfureux et sulfites']",,,,,
237,Miel De Manuka Bio Actif 16+ - 500 G - Dr Theiss - KFactor,3660050026633,,,,['KFactor'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de manuka']",['Bio'],,['France'],['OXRE G'],,[],,0 g,en faible quantité,0 g,en faible quantité,76 g,en quantité élevée,0 g,en faible quantité,?,,285,-10%,1192 kj(285 kcal),-10%,0,-100%,0,-100%,80,+3%,76,+12%,0,-100%,0,-100%,0,-100%,13,+7%,D,+7%,,,,,,,,,,,,,,,
238,Fuet catalan paprika - Del Pais - 160g,3660071004665,,160 g,,['Del Pais'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses espagnoles', 'Fouets catalans', 'Fuet Catalan']",['Fabriqué en Espagne'],,['France'],"['FUET CATALAN PAPRIKA guet extra Espagnol avec une couverture de 9i•prika', 'ATS•', 'N ande et gras de porc', 'sel', 'LACTOSE', 'LAIT ÉCRÉMÉ EN POUDRE', 'épiœs', 'conservateurs: nitrite de sodium', 'nitrate de potassium et acétate de soHium arôme naturel de levure', 'antioxydant: érythorbate de sodium', 'dextrose ferments', ' ', 'Produit de couverture 12%1 paprika', ""agent d'enrobage: E47T et E410 conservateur: E235 et caseinate de calcium"", ' Boyau naturel de porc comestible 154g de viande de porc mis en oeuvre pour 100g de produit fini']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E410 - Gomme de caroube', 'E235 - Natamycine']",['Non végétalien'],4,35 g,en quantité élevée,16 g,en quantité élevée,0.5 g,en faible quantité,3.7 g,en quantité élevée,?,,435,-3%,1820 kj(435 kcal),-3%,35,-3%,16,+23%,"0,8",-76%,"0,5",-77%,31,+14%,"3,7",-9%,"1,48",-9%,25,-0%,E,-0%,,,,,,,,,,['Lait'],,,,,
239,Jambon Mangalica -,3660071005846,Jambon cru 22 mois d'âge minimum en tranches.,,"['Frais', 'Plastique']",,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'Jambons ibériques', 'en:raw-cured-ham']",['Fabriqué en Espagne'],,['France'],"['Jambon de porc mangalica', 'sel', 'sucre conservateurs : nitrite de sodium et nitrate de potassium', 'antioxydant : ascorbate de sodium']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",[],3,16 g,en quantité modérée,5.3 g,en quantité élevée,0 g,en faible quantité,5 g,en quantité élevée,?,,272,-11%,1138 kj(272 kcal),-9%,16,-19%,"5,3",-27%,0,-100%,0,-100%,32,+6%,5,+23%,2,+23%,18,-10%,D,-10%,E,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,['Hongrie'],['Espagne'],,,
240,"Artichauts marinés, 200g - 200g",3660071026469,,200 g,,,,,,['France'],[],,[],,,,,,,,,,?,,97,,406 kj(97 kcal),,"9,6",,"0,6",,3,,"0,5",,"2,2",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,
241,Petits poivrons farcis au fromage de vache,3660071029897,,,,,,,,['France'],[],,[],,,,,,,,,,?,,186,,778 kj(186 kcal),,17,,"5,7",,"3,9",,"2,5",,"5,2",,"0,31",,"0,124",,,,,,,,,,,,,,,,,,,,
242,Arôme naturel note fleut d oranher,3660085000110,,,,,,,,['France'],[],,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
243,Sardines Chaudes au Beurre de Baratte - La belle-iloise - 230g,3660088101128,,230 g,['Conserve'],['La belle-iloise'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve']",,,['France'],"['Sardines ', '70%', 'beurre de baratte ', 'lait', ' ', '26,5%', 'jus de citron ', '2,3%', 'sel']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,23.6 g,en quantité élevée,13.2 g,en quantité élevée,0.3 g,en faible quantité,1.2 g,en quantité modérée,1224,+25%,295,+28%,1224 kj(295 kcal),+27%,"23,6",+48%,"13,17",+266%,"0,3",-47%,"0,3",-1%,"20,1",-2%,"1,2",+30%,"0,48",+30%,18,+251%,D,+251%,D,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,"['FR 56.186.004 CE', 'Quiberon (Morbihan, France)']","['Poisson', 'Lait']",,"['France', 'Quiberon']",https://www.labelleiloise.fr/fr/produits/sardine/sardines-cuisinees-a-deguster-chaud-au-beurre-de-baratte-26_29#/10-conditionnement-lot_de_3_boites_1_6/24-quantite_consommateur-4_a_6_sardines/31-poids-115_g/44-lotissement-3,,
244,Sardines à l'huile sauce Pitomaïl - LA BELLE ILOISE - 115g,3660088110571,,115 g,['Conserve'],['LA BELLE ILOISE'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive"", ""Sardines à l'huile et au piment"", 'Sardines à la tomate']",,,['France'],"['Sardines ', '70%', ""huile d'arachide "", '10,6%', ""huile d'olive extra"", 'concentré de tomate ', '7,8%', 'eau', 'sel', 'ail haché ', '0,9%', ""vinaigre d'alcool"", 'piment doux ', '0,08%', 'farine de guar', 'arôme']",['E412 - Gomme de guar'],"['Non végétalien', 'Non végétarien']",4,29.5 g,en quantité élevée,5.28 g,en quantité élevée,0.7 g,en faible quantité,0.6 g,en quantité modérée,1409,+32%,340,+43%,1409 kj(340 kcal),+42%,"29,5",+76%,"5,28",+50%,"0,7",+68%,"0,7",+179%,"17,4",-18%,"0,6",-39%,"0,24",-39%,11,+110%,D,+110%,D,26.4%,30.5%,28.5%,13.5%,0.9%,0.3%,52,"['FR 56.186.004 CE', 'Quiberon (Morbihan, France)']","['Poisson', 'Arachides']",,"['Quiberon', 'France']",https://www.labelleiloise.fr/fr/produits/sardine/sardines-a-l-huile-sauce-pitomail-24_27#/1-conditionnement-lot_de_5_boites_1_6/24-quantite_consommateur-4_a_6_sardines/31-poids-115_g/46-lotissement-5,,
245,Sardine sans arêtes à l’huile d’olive et à la tomate - La belle-iloise - 115g,3660088110649,,115 g,['Conserve'],['La belle-iloise'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive"", 'Sardines à la tomate']",,,['France'],"['Sardines ', '65%', 'eau', 'concentré de tomate ', '12%', 'huile d’olive vierge extra ', '5,3%', 'sel', 'vinaigre d’alcool', 'épices', 'arôme']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,19.6 g,en quantité modérée,4.43 g,en quantité modérée,1 g,en faible quantité,0.5 g,en quantité modérée,1052,+23%,253,+38%,1052 kj(253 kcal),+36%,"19,6",+63%,"4,43",+45%,1,-39%,1,+6%,"17,9",+3%,"0,5",-47%,"0,2",-47%,4,+16%,C,+16%,D,26.4%,30.5%,28.5%,13.5%,0.9%,0.3%,52,"['FR 56.186.004 CE', 'Quiberon (Morbihan, France)']",['Poisson'],,"['Quiberon', 'France']",https://www.labelleiloise.fr/fr/produits/sardine/sardines-sans-aretes-a-l-huile-d-olive-et-a-la-tomate-5-boites-de-115g-8_8#/1-conditionnement-lot_de_5_boites/24-quantite_consommateur-4_a_6_sardines/31-poids-115_g/46-lotissement-5,,
246,"Préparation pour sandwich Maquereaux, cœurs d’artichauts et andouille - La belle-iloise - 115g",3660088111462,"Préparation pour sandwich Maquereaux, cœurs d’artichauts et andouille",115 g,['Conserve'],['La belle-iloise'],"['Conserves', 'Produits de la mer', 'Poissons', 'Plats préparés', 'Préparations de poisson', 'Plats préparés au poisson', 'Maquereaux', 'Plats préparés en conserve']",,['La belle-iloise'],['France'],"['Chair de maquereaux ', '49,4%', 'eau', 'cœurs d’artichauts ', '10%', 'huile de colza', 'jaune d’œuf', 'carottes ', '6%', 'andouille ', '4%', 'fécule de manioc', 'champignons noirs', 'sel', 'poivre']",,['Non végétalien'],3,19.3 g,en quantité modérée,3.44 g,en quantité modérée,0.5 g,en faible quantité,1 g,en quantité modérée,945,+8%,228,+3%,945 kj(228 kcal),+2%,"19,3",+18%,"3,44",-6%,"< 0,5",-55%,"< 0,5",-9%,"11,9",-27%,1,-9%,"0,4",-9%,4,-35%,C,-35%,,,,,,,,,"['FR 56.186.004 CE', 'Quiberon (Morbihan, France)']","['Œufs', 'Poisson']",,"['Quiberon', 'France']",https://www.labelleiloise.fr/fr/salades-sandwich-012,,
247,Petite Marmite De Langoustines Aux Pleurotes - La belle iloise - 190g,3660088112698,Petite Marmite De Langoustines Aux Pleurotes,190 g,"['Carton', 'Conserve', 'Métal']",['La belle iloise'],"['Conserves', 'Plats préparés', 'Plats préparés au poisson', 'Plats préparés en conserve']",,,['France'],"['Langoustines ', '24%', ' pleurotes ', '14%', '/ lait de coco', 'oignons', 'tomates/ vin blanc ', 'sulfites', '/ huile de colza eau/ fécule de pomme de terre/ farine de blé ', 'gluten', '/ cognac/ arômes ', 'crustacés et produits à base de crustacés', 'mollusques', 'gluten', '/ concentré de tomates/ oignons rissolés', 'sel/ plantes aromatiques', 'extrait de levure/ sucre', 'épaississant : farine de guar ', ' épice']",['E412 - Gomme de guar'],"['Non végétalien', 'Non végétarien']",4,6.8 g,en quantité modérée,2.2 g,en quantité modérée,3.1 g,en faible quantité,1.1 g,en quantité modérée,?,,110,+3%,460 kj(110 kcal),+3%,"6,8",+46%,"2,2",+48%,"7,6",-2%,"3,1",+96%,"5,4",-12%,"1,1",+22%,"0,44",+22%,4,+254%,C,+254%,,,,,,,,,"['FR 56.186.004 CE', 'Quiberon (Morbihan, France)']","['Crustacés', 'Gluten', 'Mollusques', 'Anhydride sulfureux et sulfites']",,"['Quiberon', 'Bretagne', 'France']",,,
248,Nos Toasts Chauds Moules au Curry - La Belle Iloise - 105g,3660088136809,Toasts Chauds Moules au Curry,105 g,"['Conserve', 'métal']",['La Belle Iloise'],"['Conserves', 'Produits de la mer', 'Plats préparés', 'Mollusques', 'Plats préparés en conserve', 'Moules', 'Moules au Curry']","['Point Vert', 'Fabriqué en France']",,['France'],"['Moules ', '32,9%', 'huile de colza', 'jus de moules ', 'mollusques et sulfites', 'carottes', 'lait de coco', 'vin blanc ', 'sulfites', 'farine de blé ', 'gluten', ""jaune d'œuf"", 'noix de coco ', 'bisulfite de sodium', 'curry ', '1,3%', ' ', 'épices', 'contient des graines de moutarde', 'plantes aromatiques', 'oignons rissolés', 'concentré de moule ', 'mollusques et sulfites', 'arôme naturel de moule ', 'mollusque et gluten', 'épices', 'extrait de levure', 'épaississants : farine de guar', 'gomme xanthane', 'carraghénanes']","['E222 - Bisulfite de sodium', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",4,21.7 g,en quantité élevée,3.3 g,en quantité modérée,2.9 g,en faible quantité,1.6 g,en quantité élevée,1023,+78%,248,+64%,1023 kj(248 kcal),+63%,"21,7",+161%,"3,3",+112%,4,+4%,"2,9",+768%,"6,8",-53%,"1,6",+34%,"0,64",+34%,13,+302%,D,+302%,C,50.0%,0.0%,15.2%,14.1%,7.7%,13.0%,56,"['FR 56.186.004 CE', 'Quiberon (Morbihan, France)']","['Œufs', 'Gluten', 'Mollusques', 'Moutarde', 'Anhydride sulfureux et sulfites', 'Bisulfite de sodium']",,"['France', 'Bretagne']",http://www.labelleiloise.fr/fr/pour-l-aperitif/tous-nos-produits-pour-l-aperitif/toasts-chauds-moules-curry.htm,,
