,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,allergens,ingredients_origins,manufacturing,link,palm_ingredients,brand_owner
1058,Gynéfam,3701172200027,,,,,,,,['France'],[],,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,
1059,Whey Protéine Bio - Alter Nutrition,3701182300052,,,,['Alter Nutrition'],,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-15', 'AB Agriculture Biologique']",,['France'],"['lactosérum• en poudre bio ', '9096', 'cacao maigre Bio et']",,['Non végétalien'],4,,,,,,,,,?,,365,,1527 kj(365 kcal),,"5,6",,"3,7",,5,,"3,2",,72,,"0,47",,"0,188",,,,,,,,,,,,,,,,,,,,
1060,Protéines de chanvre - Alter Nutrition,3701182300182,,,,['Alter Nutrition'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Sans sucre ajouté']",,['France'],['Protéines de chanvre en poudre Bio*'],,[],,,,,,,,,,?,,350,,1464 kj(350 kcal),,11,,"1,4",,"8,8",,"4,2",,45,,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,
1061,Pur jus de pommes - Les vergers des Jouardières - 1L,3701205200000,Pur jus de pommes pasteurisé,1 L,"['Bouteille', 'Verre', 'Bouteille verre et capsule à recycler']",['Les vergers des Jouardières'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']","['Point Vert', 'Sans colorants', 'Sans conservateurs', 'Pur jus', '100\xa0% fruits de nos vergers']",['Leclerc'],['France'],['Jus de pommes 100%'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0.01 g,en faible quantité,?,,44,-4%,184 kj(44 kcal),-4%,0,-100%,0,-100%,11,0%,11,+6%,0,-100%,"< 0,01",-20%,"0,004",-20%,5,+20%,C,+20%,A,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,"['EMB 79049', 'Bressuire (Deux-Sèvres, France)']",,['France'],"['79350', 'Clessé', 'Deux-Sèvres', 'Nouvelle Aquitaine', 'France']",,,
1062,Michelettes - St Michel,3701537500847,"Gaufrettes fourrées praline 30%, chocolat 12%",,"['Sachet', 'Plastique']",['St Michel'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Gaufrettes', 'Gaufrettes fourrées']",,,['France'],"['Sucre', 'farine de blé', 'noisettes', 'pâte de cacao', 'lait écrémé en poudre', 'huile de coprah non hydrogénée', 'beurre de cacao', ""poudre de jaune d'œufs de poules élevées en plein air"", 'cacao maigre en poudre', 'émulsifiant: lécithines', 'sel', 'arôme naturel de vanille', 'arôme naturel']",['E322 - Lécithines'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,19 g,en quantité modérée,6 g,en quantité élevée,43 g,en quantité élevée,0.25 g,en faible quantité,1992,-4%,?,,1992 kj(476 kcal),-5%,19,-23%,6,-60%,66,+6%,43,+22%,8,+53%,"0,25",-23%,"0,1",-23%,16,-28%,D,-28%,C,76.6%,12.3%,5.4%,2.8%,2.9%,0.0%,70,,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",,,,,
1063,Sorbet pêche - Gaec des Plantaz - 55cl,3701957000002,,55 cl,,['Gaec des Plantaz'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets à la pêche']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,['France'],"['Pêches 70%', 'sucre', 'eau']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,,,,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,?,,,,?,,,,?,,,,,,,,,,C,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,,,,,,,
1064,Tirlibibi - Haribo,3703220009927,,,,['Haribo'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,E,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,
1065,Miel toutes fleurs,3760000410304,,,,,,,,['France'],[],,[],,,,,,,,,,?,,304,,1272 kj(304 kcal),,0,,0,,"82,4",,"82,12",,"0,3",,"0,004",,"0,002",,,,,,,,,,,,,,,,,,,,
1066,Miel - Saveur Karayb,3760000410601,,,,['Saveur Karayb'],,,,['France'],['$ Valeur nutritionnelle moyenne pour 100 G'],,[],,,,,,,,,,?,,304,,1272 kj(304 kcal),,0,,0,,"82,4",,"82,12",,"0,3",,0,,0,,,,,,,,,,,,,,,,,,,,
1067,Rosaces au saumon et beurre aillé - Le Marin Vendéen - 250g (2pièces de 125g environ),3760000750189,,250 g (2 pièces de 125 g environ),"['Barquette plastique transparente', 'Conditionné sous atmosphère protectrice']",['Le Marin Vendéen'],,['Élevé en Norvège'],,['France'],"['SAUMON 54,4% dont 28,8% de chair et 25,6% de filet ', 'Salmo salar', 'élevé en Norvège', 'Ecosse', 'Islande', 'poissons blancs 23,4% ', 'Filet de COLIN D’ALASKA 16,2% ', 'Theragra chalcogramma', 'pêché en Océan Pacifique', 'pulpe de CABILLAUD 7,2% ', 'Gadus morhua', 'pêché en Atlantique nord-est', 'ENCORNET GEANT 7,2% ', 'Dosidicus gigas', 'pêché au Pérou', 'Océan Pacifique', ' émincé de poireaux', 'fécule de pomme de terre', 'eau', 'assaisonnement BEURRE d’escargot 2,4% ', 'BEURRE', 'persil', 'ail', 'sel', 'poivre blanc', 'blanc d’OEUF', 'sel', 'arôme naturel de poivre', 'échalote', 'persil']",,"['Non végétalien', 'Non végétarien']",4,,,,,,,,,725,,174,,725 kj(174 kcal),,"10,9",,"2,6",,"3,4",,"0,1",,"15,8",,"0,1",,"0,04",,,,,,,,,,,,,,"['FR 85.003.005 CE', 'Aizenay (Vendée, France)']","['Œufs', 'Poisson', 'Lait', 'Mollusques']",,"['Vendée', 'France']",,,
1068,Eau de source - Beaupré - 50cl,3760000950442,,50 cl,"['Bouteille', 'Plastique']",['Beaupré'],"['Boissons', 'Eaux', 'Eaux de sources', 'Boissons sans sucre ajouté']",['Point Vert'],,['France'],['Eau de source'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.00762 g,en faible quantité,?,,0,,0 kj(0 kcal),,0,,0,,0,-100%,0,-100%,0,-100%,"0,008",-84%,"0,003",-84%,0,-100%,A,-100%,,,,,,,,,"['EMB 83127', 'Signes (Var, France)']",,['France'],['France'],,,
1069,Propolis Pure à Mâcher - 10 G - Propolia,3760001820027,,,,['Propolia'],,['Fabriqué en France'],,['France'],['100% propolis purifiée'],,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,
1070,6 Saucisses LES 3 RIVIERES,3760002120713,,,,,,,,['France'],[],,[],,,,,,,,,,?,,178,,745 kj(178 kcal),,12,,"4,4",,"0,3",,"0,3",,18,,"2,3",,"0,92",,,,,,,,,,,,,,,,,,,,
1071,Galettes fines pur beurre,3760002251479,,,,,,,,['France'],[],,[],,,,,,,,,,?,,516,,2159 kj(516 kcal),,26,,17,,65,,31,,"5,7",,"0,83",,"0,332",,,,,,,,,,,,,,,,,,,,
1072,Soupe de poissons - Biscuiterie des marais - 100cl (1000g),3760002252322,,100 cl (1000 g),"['Bouteille', 'Verre']",['Biscuiterie des marais'],"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",['Fabriqué en France'],,['France'],"['Eau', 'poissons et crustacés mis en œuvre 20% ', 'dont tacaud', 'grondin', 'congre', 'langoustine', 'crave vert', 'légumes', 'concentré de tomate', 'vin blanc', 'amidon de pomme de terre et de riz', 'sel', 'huile végétale', 'épaississant : gomme xanthane', 'épices et aromates']",['E415 - Gomme xanthane'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,1.1 g,en faible quantité,0.1 g,en faible quantité,0.8 g,en faible quantité,0.9 g,en quantité modérée,?,,37,-23%,155 kj(37 kcal),-22%,"1,1",-42%,"0,1",-78%,"2,2",+21%,"0,8",+23%,"4,1",-21%,"0,9",+2%,"0,36",+2%,1,+15%,B,+15%,E,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,"['EMB 86137', 'Loudun (Vienne, France)', 'EMB 86137T', 'Loudun (Vienne, France)']","['Crustacés', 'Poisson']",,,,,
1073,Dessert de fruits  ! - L'arbre à Jus,3760002690322,,,,"[""L'arbre à Jus""]",,"['Sans arômes artificiels', 'Sans colorants', 'Sans conservateurs']",,['France'],"['78% de purée de pomme', '20% de purée de fraise', 'antioxydant : acide ascorbique', 'Pulpe de fruits obtenue après épluchag', ' raffinage et cuisson', ' Sans colorant', 'sans conservateur', 'sans arôme artificiel', 'conformément à la réglementation']",['E300 - Acide ascorbique'],[],,,,,,,,,,?,,67,,280 kj(67 kcal),,"0,44",,"0,24",,"13,94",,"11,2",,"0,34",,"0,003",,"0,001",,,,,,,,,,,,,,"['EMB 42271B', 'Saint-Paul-en-Jarez (Loire, France)']",,,,,,
