,name,eco_score,packaging,brand,categories,labels,manufacturing,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,markets,additives,allergens,nova_score,generic_name,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,traceability_code,link,palm_ingredients,bar_code
10,Bière - 33 Export - 25cl,C,"['Bouteille', 'Verre', 'Bouteille:verre verte', 'Capsule:twist off']",['33 Export'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blondes']","['Déconseillé à certaines catégories de personnes', 'Déconseillé aux femmes enceintes']",,['France'],[],[],?,,?,,?,,?,,?,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,25 cl,,,,,Bière blonde,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Crème Entière liquide 30 % de matière grasse - Envia - 50cl,B,['Bouteille plastique'],['Envia'],"['Produits laitiers', 'Crèmes', 'Crèmes entières', 'Crèmes liquides']","['Point Vert', 'Eco Emballage']",['Molkerei Gropper GmbH & Co. KG Am Mühlberg 2 D-86657 BISSINGEN Allemagne'],['France'],"['crème fraîche pasteurisée ', 'lait', 'stabilisant : carraghénanes']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1204,-3%,?,,30,-4%,3,-6%,?,,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,50 cl,"['Lidll', 'Lidl']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",['Lait'],4,Crème liquide,30 g,en quantité élevée,20 g,en quantité élevée,3 g,en faible quantité,0.08 g,en faible quantité,1204 kj(288 kcal),-5%,20,-5%,3,-2%,"0,08",-6%,"0,032",-6%,,,,,['Allemagne'],['DE BY 77723 EG'],,,
12,Jus d'orange - Goldhorn - 33cl,D,"['Bouteille', 'Plastique']",['Goldhorn'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits à base de concentré', ""Jus d'orange"", ""Jus d'orange à base de concentré""]",['Eco Emballages'],"['Groupe Fructa Partner 119 rue Michel Aulas F-69400 Limas', 'France', 'Belgique']",['France'],"[""Jus d'orange a base de concentré"", 'vitamine C', 'antioxydant : acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",179,-2%,42,-2%,0,-100%,"8,6",-11%,"0,7",+12%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,33 cl,['ALDI'],,,1,Jus d'orange,0 g,en faible quantité,0 g,en faible quantité,8.6 g,en quantité élevée,0 g,en faible quantité,179 kj(42 kcal),-2%,0,-100%,"8,6",-6%,0,-100%,0,-100%,2,-33%,C,-33%,,['EMB 69400'],,,
13,Filet de saumon et ratatouille provençale - Très bien merci! - 320g,,['Frais'],['Très bien merci!'],"['Produits de la mer', 'Poissons', 'Plats préparés', 'Frais', 'Plats préparés au poisson', 'Plats préparés frais', 'Plats au saumon']",,['France'],['France'],"['78', '1% de ratatouille : courgettes 23%', 'aubergines 21%', 'tomates 16%', 'oignons frits ', 'oignons', ""huile d'olive"", 'sel', 'préparation à base de tomates ', 'tomates', 'huile de tournesol', 'sucre', 'amidon modifié de pommes de terre', 'oignons', 'sel', 'ail', 'poivrons rouges 7', '5%', 'poivrons jaunes 6', '6%', ""huile d'olive vierge extra"", 'concentré de tomates', 'ail', 'sel', 'amidon modifié de tapioca', 'thym', ""piment d'Espelette"", 'poivre', '\r21', '9% de saumon : saumon Atlantique ', '99%', 'sel']","['Non végétalien', 'Non végétarien']",?,,77,-48%,"3,7",-48%,"3,7",-70%,"7,3",+4%,,,,,,,,320g,,['E14XX - Amidons modifiés'],['Poisson'],4,Filet de saumon et ratatouille provençale,3.7 g,en quantité modérée,,,,,0.7 g,en quantité modérée,322 kj(77 kcal),-47%,,,,,"0,7",-4%,"0,28",-4%,,,,,,"['FR 85.182.005', 'Pouzauges (Vendée, France)']",https://www.tresbienmerci.fr/,,
14,"Filet de merlu coulis de piquillos, tagliatelles et brocolis - Très bien merci! - 350g",,['Frais'],['Très bien merci!'],"['Plats préparés', 'Frais', 'Plats préparés frais']",,['France'],['France'],"['34', '3% de tagliatelles : tagliatelles 96% ', 'eau', 'semoule de blé dur', 'oeufs', ""huile d'olive vierge extra"", 'sel', 'curcuma', '\r25', '7% de merlu : filet de merlu 99%', 'sel', '\r22', '3% de brocolis : brocolis 99%', 'sel', '\r17', '1% de coulis de poivrons piquillos : eau', 'poivrons piquillos 21% ', 'poivron piquillo 76%', 'eau', 'sucre', 'sel ', ' acidifiant : acide citrique ', ' affermissant : chlorure de calcium', 'tomates', 'amidon de riz', ""huile d'olive vierge extra"", 'poudre de lait écrémé', 'concentré de tomates', 'sel', 'aneth', 'harissa ', 'piment extra fort', 'piment', 'curcuma', 'ail', 'sel', 'poivre', 'persil']","['Non végétalien', 'Non végétarien']",105,-86%,?,,"2,8",-66%,11,-35%,9,+20%,,,,,,,,350g,,"['E330 - Acide citrique', 'E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition']","['Œufs', 'Poisson', 'Gluten', 'Lait']",4,"Filet de merlu coulis de piquillos, tagliatelles et brocolis",2.8 g,en faible quantité,,,,,0.58 g,en quantité modérée,105 kj(25 kcal),-86%,,,,,"0,58",-43%,"0,232",-43%,,,,,,"['FR 85.182.005', 'Pouzauges (Vendée, France)']",https://www.tresbienmerci.fr/,,
15,Filet de merlu coulis de piquillos et tian d'aubergines - Très bien merci! - 340g,,['Frais'],['Très bien merci!'],"['Plats préparés', 'Plats préparés au poisson']",,['France'],['France'],"['55', ""9% de tian d'aubergines : aubergines 45% "", 'aubergines', 'sel', 'courgettes ', 'courgettes', 'sel', 'tomates', 'préparation à base de tomates ', 'tomates', 'huile de tournesol', 'sucre', 'amidon modifié de pommes de terre', 'oignons', 'sel', 'ail', 'oignons frits ', 'oignons', ""huile d'olive"", 'sel', 'parmesan', 'concentré de tomates', 'amidon modifié de tapioca', 'sel', 'ail', 'poivre', 'thym', '\r26', '5% de merlu : filet de merlu 99%', 'sel', '\r17', '6% de coulis de piquillos : eau', 'poivrons piquillos 21% ', 'poivron piquillo 76%', 'eau', 'sucre', 'sel ', ' acidifiant : acide citrique ', ' affermissant : chlorure de calcium', 'tomates', 'amidons de riz', ""huile d'olive vierge extra"", 'poudre de lait écrémé', 'concentré de tomates', 'sel', 'aneth', 'harissa ', 'piment extra fort', 'piment', 'curcuma', 'ail', 'sel', 'poivre', 'persil']","['Non végétalien', 'Non végétarien']",?,,68,-62%,"2,1",-80%,"4,3",-48%,"7,9",-16%,,,,,,,,340g,,"['E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition']","['Poisson', 'Lait']",4,Filet de merlu coulis de piquillos et tian d'aubergines,2.1 g,en faible quantité,,,,,0.55 g,en quantité modérée,285 kj(68 kcal),-61%,,,,,"0,55",-47%,"0,22",-47%,,,,,,"['FR 85.182.005', 'Pouzauges (Vendée, France)']",https://www.tresbienmerci.fr/,,
16,Poêlée de Saint-Jacques à la tomate et légumes à la coriandre - Très bien merci! - 350g,,['Frais'],['Très bien merci!'],"['Plats préparés', 'Frais', 'Plats préparés frais']",,['France'],['France'],"['57', '1% de légumes : carottes 49%', 'daïkon 24%', 'courgettes 24%', ""huile d'olive vierge extra"", 'sel', 'coriandre 0', '05%', '\r42', '9% de noix de Saint-Jacques à la tomate : noix de Saint-Jacques 53% ', 'chlamys opercularis Irlande', 'tomates 23%', 'préparation à base de tomates ', 'tomates', 'huile de tournesol', 'sucre', 'amidon modifié de pommes de terre', 'oignons', 'sel', 'ail', 'oignons frits ', 'oignons', ""huile d'olive"", 'sel', ""huile d'olive vierge extra"", 'concentré de tomates', 'amidon modifié de tapioca', 'sel', 'ail', ""piment d'Espelette"", 'poivre', 'thym']","['Non végétalien', 'Non végétarien']",69,-91%,?,,"2,5",-70%,"3,9",-77%,"7,6",+1%,,,,,,,,350g,,['E14XX - Amidons modifiés'],['Mollusques'],4,Poêlée de Saint-Jacques à la tomate et légumes à la coriandre,2.5 g,en faible quantité,,,,,0.7 g,en quantité modérée,69 kj(16 kcal),-91%,,,,,"0,7",-31%,"0,28",-31%,,,,,,"['FR 85.182.005', 'Pouzauges (Vendée, France)']",https://www.tresbienmerci.fr/,,
17,Velouté d'asperges et petits pois aux Saint-Jacques - Très bien merci! - 450g,,['Frais'],['Très bien merci!'],"['Plats préparés', 'Frais', 'Plats préparés frais']",,['France'],['France'],"['Asperges vertes 31%', 'noix de Saint-Jacques 16% ', 'zygochlamys patagonica Argentine', 'jus de cuisson des asperges', 'bouillon de poule [bouillon ', 'poule', 'eau', 'oignons', 'céleri', 'thym', 'persil', 'carottes', 'poireaux', 'sel', 'poivre', 'coriandre', 'clou de girofle', 'gingembre]', 'petits pois 14%', 'amidons transformés de riz', 'crème fraîche', 'pâte de wasabi ', 'eau', 'Raifort', 'sorbitol', 'huile végétale', 'lactose', 'sel', 'arôme', 'fécule de maïs', 'poudre de curcuma ', ' épaississant : gomme de xanthane ', ' colorant : bleu brillant FCF']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",48,-94%,?,,"1,2",-86%,"3,8",-77%,"5,6",-25%,,,,,,,,450g,,"['E14XX - Amidons modifiés', 'E420 - Sorbitol', 'E415 - Gomme xanthane', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']","['Céleri', 'Lait', 'Mollusques']",4,Velouté d'asperges et petits pois aux Saint-Jacques,1.2 g,en faible quantité,,,,,0.7 g,en quantité modérée,48 kj(11 kcal),-94%,,,,,"0,7",-31%,"0,28",-31%,,,,,,"['FR 85.182.005', 'Pouzauges (Vendée, France)']",https://www.tresbienmerci.fr/,,
18,Pot-au-feu aux légumes d'hiver - Très bien merci! - 400g,,['Frais'],['Très bien merci!'],"['Plats préparés', 'Frais', 'Plats préparés frais']",,['France'],['France'],"['Carottes 28%', 'bouillon ', 'eau', 'céleri', 'sel', 'clou de girofle', 'paleron de boeuf 17', '5%', 'rutabagas 15%', 'céleri 7', '5%', 'poireaux 6', '2%', 'sel']",[],55,-93%,?,,"1,1",-87%,"2,7",-84%,"6,7",-11%,,,,,,,,400g,,,['Céleri'],3,Pot-au-feu aux légumes d'hiver,1.1 g,en faible quantité,,,,,0.6 g,en quantité modérée,55 kj(13 kcal),-93%,,,,,"0,6",-41%,"0,24",-41%,,,,,,"['FR 85.182.005', 'Pouzauges (Vendée, France)']",https://www.tresbienmerci.fr/,,
19,Pot-au-feu légumes d'hiver et pommes de terre - Très bien merci! - 400g,,['Frais'],['Très bien merci!'],"['Plats préparés', 'Frais', 'Plats préparés frais']",,['France'],['France'],"['Bouillon ', 'eau', 'céleri', 'sel', 'clou de girofle', 'carottes 20%', 'paleron de boeuf 17', '5%', 'pommes de terre 13% ', 'pommes de terre', 'sel', 'rutabagas 10%', 'céleri 7', '5%', 'poireaux 6', '2%']",[],55,-93%,?,,"1,3",-84%,"4,5",-73%,"6,3",-16%,,,,,,,,400g,,,['Céleri'],3,Pot-au-feu légumes d'hiver et pommes de terre,1.3 g,en faible quantité,,,,,0.58 g,en quantité modérée,55 kj(13 kcal),-93%,,,,,"0,58",-43%,"0,232",-43%,,,,,,"['FR 85.182.005 CE', 'Pouzauges (Vendée, France)']",https://www.tresbienmerci.fr/,,
20,Poulet et crevettes en bouillon de volaille au gingembre - Très bien merci! - 370g,,['Frais'],['Très bien merci!'],"['Plats préparés', 'Frais', 'Plats préparés frais']",,['France'],['France'],"['51', '4% de poulet et crevettes : capellini cuits 41% ', 'eau', 'semoule de blé dur', 'sel', 'cuisse de poulet 23%', 'crevettes 12% ', 'crevettes', 'sel', 'poireaux ', 'poireaux', 'sel', 'shiitakés', 'feuille de roquette', 'huile de colza', ""huile d'olive vierge extra"", 'sel', 'piment', '\r48', '6% de bouillon de poule au gingembre : bouillon de poule 99% ', 'poule', 'eau', 'oignons', 'céleri', 'thym', 'persil', 'carottes', 'poireaux', 'sel', 'poivre', 'coriandre', 'clou de girofle', 'gingembre 0', '95%']","['Non végétalien', 'Non végétarien']",65,-91%,?,,"1,7",-80%,"5,1",-70%,"7,2",-4%,,,,,,,,370g,,,"['Céleri', 'Crustacés', 'Gluten']",3,Poulet et crevettes en bouillon de volaille au gingembre,1.7 g,en faible quantité,,,,,0.7 g,en quantité modérée,65 kj(16 kcal),-91%,,,,,"0,7",-31%,"0,28",-31%,,,,,,"['FR 85.182.005', 'Pouzauges (Vendée, France)']",https://www.tresbienmerci.fr/,,
21,Sauté de porc au romarin et duo de carottes - Très bien merci! - 340g,,['Frais'],['Très bien merci!'],"['Plats préparés', 'Frais', 'Plats préparés frais']",,['France'],['France'],"['61', '8% de carottes : carottes jaunes et rouges 89%', 'oignons 9', '6%', ""huile d'olive vierge extra"", 'sel', '\r38', '2% de sauté de porc au romarin : joue de porc 67%', 'bouillon de porc ', 'eau', 'os de porc', 'vin blanc', 'concentré de tomates', 'sucre', 'sel', 'carotte', 'céleri', 'oignon', 'poireau', 'eau', 'sauce soja ', 'eau', 'graines de soja', 'blé', 'sel', 'amidon de riz', 'huile de colza', 'vinaigre balsamique ', 'vinaigre de vin', 'moût de raisin', 'colorant : caramel', 'romarin 0', '4%', 'sel', ""extrait de malt d'orge"", 'poivre']","['Non végétalien', 'Non végétarien']",92,-88%,?,,"3,8",-54%,"4,7",-72%,"9,8",+30%,,,,,,,,340g,,['E150 - Caramel'],"['Céleri', 'Gluten', 'Soja']",4,Sauté de porc au romarin et duo de carottes,3.8 g,en quantité modérée,,,,,0.7 g,en quantité modérée,92 kj(22 kcal),-88%,,,,,"0,7",-31%,"0,28",-31%,,,,,,"['FR 85.182.005', 'Pouzauges (Vendée, France)']",https://www.tresbienmerci.fr/,,
22,Tagine de veau et légumes fondants - Très bien merci! - 360g,,['Frais'],['Très bien merci!'],"['Plats préparés', 'Frais', 'Plats préparés frais']",,['France'],['France'],"['Carottes 33% ', 'carottes', 'sel', 'courgettes 22%', 'veau 19% ', 'viande de veau', 'sel', 'jus de cuisson du veau', 'poivrons rouges 5', '5%', 'oignons 5', '1%', 'concentré de tomates', 'gingembre', 'jus de citron 0', '4%', 'coriandre', 'amidon transformé de riz', 'ail', 'sel', 'citron jaune confit 0', '2% ', 'citron confit', 'eau', 'sel ', ' acidifiants : acide lactique', 'acide acétique', 'curry ', 'curcuma', 'coriandre', 'fenouil', 'fenugrec', 'cannelle', 'sel', 'cardamone', 'poivre', 'ail', 'piment', 'girofle', 'autres épices', 'vinaigre de citron 0', '1% ', 'pulpe de calamansi', ""vinaigre d'eau de vie"", 'sucre de canne roux', 'poivre']","['Non végétalien', 'Non végétarien']",73,-90%,?,,"2,5",-70%,"3,7",-78%,"8,9",+19%,,,,,,,,360g,,"['E14XX - Amidons modifiés', 'E270 - Acide lactique', 'E260 - Acide acétique']",,4,Tagine de veau et légumes fondants,2.5 g,en faible quantité,,,,,0.68 g,en quantité modérée,73 kj(17 kcal),-90%,,,,,"0,68",-33%,"0,272",-33%,,,,,,"['FR 85.182.005', 'Pouzauges (Vendée, France)']",https://www.tresbienmerci.fr/,,
23,"Bœuf au paprika, rouleaux de riz et daïkon - Très bien merci! - 350g",,['Frais'],['Très bien merci!'],"['Plats préparés', 'Frais', 'Plats préparés frais']",,['France'],['France'],"['45', '7% de viande de boeuf sauce tomate paprika : viande de boeuf 50% ', 'viande de boeuf 98%', 'sel', 'glucose', 'amidon de riz', 'tomates 29%', 'jus de cuisson du boeuf', 'oignons frits ', 'oignons', ""huile d'olive"", 'sel', ""huile d'olive vierge extra"", 'concentré de tomates', 'ail', 'sel', 'paprika 0', '4%', 'muscade', 'thym', 'poivre', 'piment', 'laurier', '\r34', '3% de rouleaux de riz : riz cuit 94% ', 'eau', 'riz', 'mirin ', ""sirop d'amidon glutineux"", 'extrait de riz fermenté ', 'riz', 'sel', 'sirop de mélasse', 'alcool', 'acidifiant : acide citrique', 'huile de colza', 'saké ', 'eau', 'riz', 'sel', '\r20% de daïkon : daïkon 98% ', 'daïkon', 'sel', 'huile de colza']","['Non végétalien', 'Non végétarien']",120,-84%,?,,"3,7",-55%,14,-17%,"7,6",+1%,,,,,,,,350g,,['E330 - Acide citrique'],,4,"Bœuf au paprika, rouleaux de riz et daïkon",3.7 g,en quantité modérée,,,,,0.58 g,en quantité modérée,120 kj(29 kcal),-84%,,,,,"0,58",-43%,"0,232",-43%,,,,,,"['FR 85.182.005', 'Pouzauges (Vendée, France)']",https://www.tresbienmerci.fr/,,
24,"Bœuf au paprika, daïkon, chou pak choï et carottes - Très bien merci! - 380g",,['Frais'],['Très bien merci!'],"['Plats préparés', 'Frais', 'Plats préparés frais']",,['France'],['France'],"['42', '1% de viande de boeuf sauce tomate paprika : viande de boeuf 50% ', 'viande de boeuf 98%', 'sel', 'glucose', 'amidon de riz', 'tomates 29%', 'jus de cuisson du boeuf', 'oignons frits ', 'oignons', ""huile d'olive"", 'sel', ""huile d'olive vierge extra"", 'concentré de tomates', 'ail', 'sel', 'paprika 0', '4%', 'muscade', 'thym', 'poivre', 'piment', 'laurier', '\r36', '8% de daïkon et carottes : carottes 50% ', 'carottes', 'sel', 'daïkon 49% ', 'daïkon', 'sel', 'huile de colza', '\r21', '1% de choux : choux 99%', 'sel']","['Non végétalien', 'Non végétarien']",77,-90%,?,,"3,3",-60%,"2,6",-85%,"9,1",+21%,,,,,,,,380g,,,,4,"Bœuf au paprika, daïkon, chou pak choï et carottes",3.3 g,en quantité modérée,,,,,0.58 g,en quantité modérée,77 kj(18 kcal),-90%,,,,,"0,58",-43%,"0,232",-43%,,,,,,"['FR 85.182.005', 'Pouzauges (Vendée, France)']",https://www.tresbienmerci.fr/,,
