,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,palm_ingredients,allergens,nova_score,generic_name,manufacturing,traceability_code,markets,ingredients_origins,link,origin_detail,brand_owner
448,Pasco Brinjal Pickles - 280g,7178600000638,,280g,,['Pasco'],,['en:gluten-free'],['France'],[],[],,,,,,,,,?,,367,,1536 kj(367 kcal),,"24,4",,"1,7",,"34,6",,"32,6",,"2,2",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,
449,Chiffonnade Blanc Dinde - HOD LAVAN,7290000153568,D,,,['HOD LAVAN'],"['Viandes', 'Charcuteries', 'Volailles', 'Dindes', 'Charcuteries cuites', 'Blancs de volaille en tranches', 'Blancs de dinde en tranches', 'Blancs de dinde']",,['France'],"['Poitrine de dinde ', '78%', 'eau ', '17%', 'amidon modifié ', 'El 420', ' ', '1 %', 'sucre', 'sel', 'stabilisants ', 'E407', 'E452', 'conservateurs ', 'E250', 'E325', 'poivre noir', 'paprika épicé', 'romarin', 'fibres alimentaires', 'arôme fumée', 'arôme de poulet', ' Peut contenir les traces de : soja', 'céleri', 'moutarde']","['Non végétalien', 'Non végétarien']",1 g,en faible quantité,0.3 g,en faible quantité,1.5 g,en faible quantité,1.75 g,en quantité élevée,?,,89,-14%,372 kj(89 kcal),-15%,1,-47%,"0,3",-49%,4,+99%,"1,5",+86%,16,-16%,"1,75",-5%,"0,7",-5%,3,-29%,C,-29%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,"['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E325 - Lactate de sodium']",,,4,,,,,,,,
450,Poitrine de Dinde Fumée - Hod Lavan - 125g,7290000153599,,125 g,,['Hod Lavan'],,,['France'],[],[],,,,,,,,,?,,89,,372 kj(89 kcal),,1,,"0,3",,6,,"0,5",,16,,"1,75",,"0,7",,,,,,,,,,,,,,,,,,,,,,,,
451,Filet De Poulet - HOD LAVAN - 142g,7290000155890,D,142 g,,['HOD LAVAN'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Kascher'],['France'],"['Poitrine de poulet ', '80%', 'eau ', '14%', 'Fécule de pomme de terre', 'sucre', 'sel', 'stabilisants ', 'E451', 'E452', 'E407', 'E410', 'antioxydant ', 'E301', 'conservateurs ', 'E250,E262', 'E325', 'E327', 'poivre noir', 'paprika épicé', 'romarin', 'fibres alimentaires', 'arôme de poulet', 'arôme fumée', ' \rContient: de la moutarde', ' Peut contenir des traces de : du sésame', 'du soja et du céleri']","['Non végétalien', 'Non végétarien']",1 g,en faible quantité,0.3 g,en faible quantité,0.5 g,en faible quantité,1.5 g,en quantité modérée,?,,93,-29%,389 kj(93 kcal),-28%,1,-65%,"0,3",-60%,3,+526%,"0,5",+106%,18,-21%,"1,5",+100%,"0,6",+100%,2,,B,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E410 - Gomme de caroube', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E262 - Acétates de sodium', 'E325 - Lactate de sodium', 'E327 - Lactate de calcium']",,['Moutarde'],4,,,,,,,,
452,Pastrami De Dinde / Poivre- 142 g - Hod Lavan,7290000155913,,142 g,,['Hod Lavan'],,['Kascher'],['France'],"['Cuisse de dinde ', '76 %', 'eau ', '19 %', 'amidon ', '1 %', 'sucre', 'sel', 'stabilisants ', 'E452', 'E407', 'antioxydant ', 'E301', 'conservateurs ', 'E250', 'E325', 'poivre noir', 'paprika épicé', 'ail', 'romarin', 'fibres alimentaires', 'arôme de poulet']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,108,,452 kj(108 kcal),,4,,"1,5",,4,,"1,5",,14,,"1,7",,"0,68",,,,,,,,,,,,,"['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E325 - Lactate de sodium']",,,4,,['Israël'],,,,,,
453,Roulade De Dinde - HOD LAVAN,7290000155920,,,,['HOD LAVAN'],,,['France'],[],[],,,,,,,,,?,,109,,456 kj(109 kcal),,3,,"0,5",,2,,"0,5",,16,,"1,725",,"0,69",,,,,,,,,,,,,,,,,,,,,,,,
454,"Pastrami de Dinde, Rôti au Miel - Hod Lavan",7290000156095,,,,['Hod Lavan'],,,['France'],[],[],,,,,,,,,?,,116,,485 kj(116 kcal),,4,,"1,5",,6,,2,,14,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,
455,Nuggets Blanc de Poulet - Of Tov - 350g,7290000156385,D,350 g,"['Sachet', 'Plastique', 'Surgelé']",['Of Tov'],"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Volailles cuites', 'Plats à la volaille', 'Préparations au poulet', 'Poulets cuisinés', 'Plats au poulet', 'Nuggets de volaille', 'Poulets panés', 'Nuggets de poulet']","['Kascher', 'Sans colorants', 'Sans conservateurs']",['France'],"['Poitrine de poulet ', '64%', 'Eau', 'graisse de poulet', 'glucides', 'sel', 'flocons de pomme de terre', 'concentrat de protéine de soja', 'stabilisants ', 'E451', 'E407', ' épices', '\rChapelure ', '20%', ' : Farine de_blé_ ', 'contient ', 'gluten', 'eau', 'sel', 'levure', 'dextrose', ' paprika', 'turmeric', '\rPâte ', '7%', ' : Eau', 'farine de blé ', 'contient du_ gluten_', 'amidon modiﬁé ', 'E1404', 'sel', 'stabilisants ', 'E466', 'E412', ' Préfrit dans l’huile végétale']","['Non végétalien', 'Non végétarien']",9 g,en quantité modérée,2 g,en quantité modérée,0.5 g,en faible quantité,0.94 g,en quantité modérée,870,-6%,205,-8%,870 kj(205 kcal),-7%,9,-20%,2,0%,18,+7%,"0,5",-62%,13,+2%,"0,94",-20%,"0,376",-20%,2,-46%,B,-46%,71.2%,17.5%,4.4%,1.9%,1.1%,4.0%,36,"['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E1404 - Amidon oxydé', 'E466 - Carboxyméthylcellulose', 'E412 - Gomme de guar']",,"['Gluten', 'Soja']",4,"Blancs de poulet reconstitués, panés et précuits",['Israël'],,['Franprix'],,http://www.maayane.fr/tov,,
456,Saucisses Viennoises - Hod Lavan,7290000158709,,,,['Hod Lavan'],"['Viandes', 'Charcuteries', 'Saucisses']",,['France'],[],[],6 g,en quantité modérée,2 g,en quantité modérée,0.2 g,en faible quantité,1.6 g,en quantité élevée,?,,75.6,-70%,316 kj(75 kcal),-70%,6,-71%,2,-75%,2,+40%,"0,2",-73%,4,-74%,"1,6",-18%,"0,64",-18%,3,-83%,C,-83%,,,,,,,,,,,,,,,,,,,
457,"Poulet Braisé, 14 Tranches, 300 Grammes, Marque Yarden - 300g",7290000367453,,300 g,,['Yarden'],,,['France'],"['Poitrine de Poulet ', '87%', 'eau ', '8%', 'amidon modifié', 'sel', 'conservateurs E-326', 'E-261', 'E-250', 'maltodextrine', 'sucre', 'stabilisants: ', 'E-450', 'E-452', ""exhausteurs de goût'"", ' [E-621', 'protéine vég tale hydrolysée ', 'mais', 'épices', 'antioxydant: E-316 - ', 'pendant pessah: E-301', ' Peut contenir des traces de soja et céleri']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,89,,372 kj(89 kcal),,1,,"0,3",,4,,"1,5",,16,,"1,7",,"0,68",,,,,,,,,,,,,"['E14XX - Amidons modifiés', 'E326 - Lactate de potassium', 'E261 - Acétates de potassium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E301 - Ascorbate de sodium']",,,4,,,,,,,,
458,Blanc de poulet fumé - Yarden - 300g,7290000367484,D,300 g,"['Boite', 'Plastique', 'sous atmosphère protectrice']",['Yarden'],"['Viandes', 'Charcuteries', 'Volailles', 'Poulets', 'Volailles cuites', 'Charcuteries cuites', 'Blancs de volaille en tranches', 'Blancs de poulet en tranches', 'Blancs de poulet fumé', 'Produit Kasher']",['Kascher'],['France'],"['Poitrine de poulet 87%', 'eau', 'amidon modifié', 'sel', 'conservateurs: ', 'E-326', 'E-261', 'E-250', 'sucre', 'stabilisants: ', 'E-450', 'E-452', 'exhausteur de goût: [E-621', 'protéine végétale hydrolysée ', 'soja', ',', 'pas pendant pessah', 'épices', 'antioxydant: E-316', '- ', 'pendant pessah : E-301']","['Non végétalien', 'Non végétarien']",1.5 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,1.5 g,en quantité modérée,421,,99.5,-37%,421 kj(99 kcal),-33%,"1,5",-81%,"0,5",-76%,"1,5",+15%,0,-100%,20,+5%,"1,5",-13%,"0,6",-13%,2,-69%,B,-69%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,"['E14XX - Amidons modifiés', 'E326 - Lactate de potassium', 'E261 - Acétates de potassium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E301 - Ascorbate de sodium']",,['Soja'],4,Blanc de poulet fumé,,,['Monoprix'],['Israël'],,,
459,Sweetener Sucrazit  Sugar Free,7290000504049,,,,,,['Sans lactose'],['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,"46,15",,"18,46",,,,,,,,,,,,,,,,,,,,,,,,
460,Vous rend la vie plus douce - 63g,7290000504278,,63 g,,,,['Sans lactose'],['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
461,Chiffonnade Poitrine Dinde Grillée - Soglowek - 150g,7290000531922,D,150 g,,['Soglowek'],"['Viandes', 'Charcuteries', 'Volailles', 'Dindes', 'Blancs de dinde']",['en:gluten-free'],"['France', 'Espagne']","['Poitrine de dinde ', '60%', 'poitrine de poulet', 'eau', 'sel', 'maltodextrine', 'fécule de pomme de terre', 'Amidon modifié: E1442', 'conservateurs: E326', 'E262', 'E250', 'Épaississants: E407a', 'E410', 'épices', 'Stabilisant: E451i', 'Antioxygène: E316']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",2 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,1.98 g,en quantité élevée,?,,102,0%,427 kj(102 kcal),-0%,2,+24%,"0,7",+37%,4,+167%,0,-100%,17,-15%,"1,975",+0%,"0,79",+0%,4,-24%,C,-24%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,"['E14XX - Amidons modifiés', 'E1442 - Phosphate de diamidon hydroxypropyle', 'E326 - Lactate de potassium', 'E262 - Acétates de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition', 'E410 - Gomme de caroube', 'E451i - TPP', 'E316 - Érythorbate de sodium']",,,4,,,,,,,,
462,Nectar Mangue - Spring,7290001247099,D,,,['Spring'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de mangue']",['Sans conservateurs'],['France'],"['eau', 'purée de mangues ', '25%', 'sucre', 'acide citrique', 'parfums et arômes naturels', 'vitamine C']",[],0 g,en faible quantité,0 g,en faible quantité,9 g,en quantité élevée,0.0025 g,en faible quantité,?,,40,-23%,167 kj(40 kcal),-23%,0,-100%,0,-100%,"9,9",-20%,9,-22%,0,-100%,"0,002",-76%,"0,001",-76%,12,-23%,E,-23%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,['E330 - Acide citrique'],,,3,,,,,,,,
463,Nectar Pomme,7290001247143,D,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de pomme']",,['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,2.25 g,en faible quantité,0 g,en faible quantité,?,,40,+3%,167 kj(40 kcal),+2%,0,-100%,0,-100%,"8,7",-8%,"2,25",-75%,0,-100%,0,-100%,0,-100%,8,-11%,D,-11%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,
464,Blanc de poulet - La Grange,7290001567302,,,,['La Grange'],"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Blancs de volaille en tranches']",['Sans conservateurs'],['France'],[],[],2 g,en faible quantité,0.7 g,en faible quantité,1 g,en faible quantité,1.9 g,en quantité élevée,?,,110,+2%,460 kj(110 kcal),+3%,2,-9%,"0,7",+7%,5,+268%,1,+14%,18,-10%,"1,9",+1%,"0,76",+1%,4,-17%,C,-17%,,,,,,,,,,,,,,,,,,,
465,Blanc de dinde - La Grange,7290001567517,D,,,['La Grange'],"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Blancs de volaille en tranches', 'Blancs de dinde en tranches']",['Sans conservateurs'],['France'],"['Blanc de dinde ', '80%', 'eau', 'maltodextrine', 'arômes', 'sel', 'fécule de pomme de terre', 'amidon modifié: E1442', 'épaississants: E407', 'E410', 'jus concentré de céleri', 'stabilisant: E451', 'ferment', 'épices', 'antioxydant: E316', ' Allergènes: contient du céleri', ' Traces éventuelles de soja et de moutarde']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",2 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,1.9 g,en quantité élevée,?,,102,-1%,427 kj(102 kcal),-2%,2,+7%,"0,7",+19%,4,+99%,0,-100%,17,-11%,"1,9",+3%,"0,76",+3%,4,-5%,C,-5%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,"['E14XX - Amidons modifiés', 'E1442 - Phosphate de diamidon hydroxypropyle', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E410 - Gomme de caroube', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium']",,['Céleri'],4,,,,,,,,
466,Aubergine braisées - Eden Gourmet - 250g,7290002358176,,250 g,,['Eden Gourmet'],,,['France'],[],[],,,,,,,,,?,,103,,431 kj(103 kcal),,"8,5",,"1,2",,"3,5",,0,,2,,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,
467,Chiffonnade de dinde au - Yarden,7290002371137,,,,['Yarden'],,,['France'],"['Chiffonnade De Dinde Au Miel Wafer Thin Honey Roasted Turkey Breast Valeur Pour 50g / Each 50g Contains Energy •turates', 'Sugar Sait 207kj lg o', '25g Trace 1', '2 ONLY 296 FAT / SEULEMENT 296 DE MATIERE GRASSE']",[],,,,,,,,,?,,98,,410 kj(98 kcal),,2,,"0,5",,4,,"0,5",,16,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,
468,Aubergines Grillées Epicées - Kerets,7290002485384,,,,['Kerets'],,"['en:gluten-free', 'Sans lactose']",['France'],[],[],,,,,,,,,?,,133,,556 kj(133 kcal),,"12,2",,"1,8",,"3,9",,"2,8",,"0,7",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,
469,"Ail Pilé Prét à L'emploi, 190 Grammes, Marque Yarden - 200g",7290002862987,,200 g,,['Yarden'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Ail et dérivés']",,['France'],[],[],0.7 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,3.08 g,en quantité élevée,?,,70,-29%,293 kj(70 kcal),-35%,"0,7",-78%,"0,3",-27%,"10,5",-18%,0,-100%,"4,9",+26%,"3,075",+196%,"1,23",+196%,2,,B,,,,,,,,,,,,,,,,,,,,
470,Bavarois - Yarden - 190g (2 * 85g),7290005431401,,190 g (2 * 85 g),"['Carton', 'Plastique', 'boîte', 'surgelé']",['Yarden'],"['Snacks', 'Snacks sucrés', 'Surgelés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Gâteaux et pâtisseries surgelés']","['Kascher', 'Kasher LePessah']",['France'],"['Crème non laitière ', 'eau', 'huile végétale hydrogénée', 'sucre', 'glucose', 'émulsifiants ', 'E471', 'E475', 'E481', 'E435', 'lécithine de SOJA ', 'E322', 'stabilisants ', 'E410', 'E460', 'E464', 'E466', 'E339', 'E331', 'sel', 'arômes', 'colorant alimentaire ', 'E160a', 'eau', 'sucre', 'ŒUFS', 'sirop de chocolat ', '20 %', 'sucre', 'eau', 'glucose', 'cacao', 'amidon modifié ', 'E1422', 'stabilisant ', 'E407', 'conservateurs ', 'E202', 'E330', 'sel', 'biscuit thé ', '5 %', 'farine de BLÉ', 'sucre', 'huile végétale', 'agents levants ', 'E500', 'E503', 'sel', 'lécithine de SOJA ', 'E322', 'arômes', 'rehausseur de gout ', 'sulfite', 'NOIX DE COCO grillée ', '5 %', 'amidon modifié ', 'E1422', 'stabilisants ', 'gélatine de POISSON', 'E415', ' arômes', 'conservateur ', 'E202']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",14.7 g,en quantité modérée,11.9 g,en quantité élevée,21 g,en quantité élevée,0.052 g,en faible quantité,?,,234,-30%,979 kj(234 kcal),-31%,"14,7",-15%,"11,9",+30%,24,-38%,21,-17%,"1,9",-62%,"0,052",-81%,"0,021",-81%,16,+2%,D,+2%,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E475 - Esters polyglycériques d'acides gras"", 'E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition', 'E435 - Monostéarate de polyoxyéthylène sorbitane', '', 'Risque modéré de sur-exposition', 'E322i - Lécithine', 'E322 - Lécithines', 'E410 - Gomme de caroube', 'E460 - Cellulose', 'E464 - Hydroxypropylméthylcellulose', 'E466 - Carboxyméthylcellulose', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E160a - Carotènes mélangés', 'E14XX - Amidons modifiés', 'E1422 - Adipate de diamidon acétylé', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium"", 'E428 - Gélatine', 'E415 - Gomme xanthane']",,"['Œufs', 'Poisson', 'Gluten', 'Fruits à coque', 'Soja', 'Anhydride sulfureux et sulfites']",4,"Crème non laitière goût vanille avec des miettes de biscuits, sirop de chocolat et noix de coco.",,,,,,,
471,"Sesame crunchies, cacahuètes enrobées de croustillant au sésame - Yarden",7290005855276,,,,['Yarden'],,,['France'],"['Farine ', 'contient du gluten', 'cacahuète', 'sucre', 'sésame', 'amidon modifié ', 'E1422', 'sel', 'glucose', '\rContient du gluten', 'cacahuète', 'sésame', ' \rPeut contenir: Amandes', 'noix', 'Soy']",[],,,,,,,,,?,,465,,1946 kj(465 kcal),,17,,3,,64,,20,,14,,"0,43",,"0,172",,,,,,,,,,,,,"['E14XX - Amidons modifiés', 'E1422 - Adipate de diamidon acétylé']",,"['Gluten', 'Fruits à coque', 'Arachides', 'Graines de sésame', 'Soja']",4,,,,,,,,
472,Grains de tournesol grillées et salées - Yarden - 250g,7290005855382,C,250 g,"['Sachet', 'Plastique']",['Yarden'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Graines de tournesol et dérivés', 'Graines de tournesol', 'Graines de tournesol grillées', 'Graines de tournesol grillées et salées']","['Kascher', 'Kascher pareve']",['France'],"['Graines de tournesol', 'sel', 'amidon de pomme de terre']","['Sans huile de palme', 'Végétalien', 'Végétarien']",24 g,en quantité élevée,3 g,en quantité modérée,1 g,en faible quantité,5 g,en quantité élevée,?,,296,-41%,1238 kj(296 kcal),-42%,24,-41%,3,-26%,7,-44%,1,-53%,13,-34%,5,+40%,2,+40%,15,+10%,D,+10%,78.2%,0.0%,8.3%,4.3%,5.7%,3.5%,55,,,,3,,,,,,,,
473,Ahva Orange Cake,7290006775016,,,,['Ahva'],,,['France'],[],[],,,,,,,,,?,,418,,1749 kj(418 kcal),,?,,8,,?,,25,,6,,"21,4",,"8,56",,,,,,,,,,,,,,,,,,,,,,,,
474,Gâteau marbré - Yarden,7290006775054,D,,,['Yarden'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux marbrés']",['100% végétal'],['France'],"['Farine de blé ', 'contient du gluten', 'Sucre', 'végétale ', 'Soja', 'Palme', 'Agents Levants ', 'E500', 'E450', 'Amidon de Maïis', 'Stabilisant ', 'E415', 'Émulsifiants ', 'E471', 'E477', 'E433', 'E570', 'E422', 'Humectant ', 'E1520', 'Conservateur ', 'E200', 'E202', 'E282', 'Poudre de cacao', 'Chocolat ', 'Liqueur de Cacao', 'Sucre', 'Beurre de Cacao', 'Lécithine de Soja', 'Vanilline', 'Sel', 'Cacao: 55% minimum', ' Farine de soja', 'Acidifiants ', 'E525', 'Acide citrique', 'Arômes', 'Sel', 'Sulfites', 'Caféine', ' Allergènes: Contient Oeufs', 'Gluten ', 'farine', 'Sulfites et soja', ' Peut contenir des traces de Sésame', 'Noix', 'Amandes', 'Noix de Cajou et Pistaches', ' Poids Net: 450g ', '15-9 oz']",['Huile de palme'],18 g,en quantité modérée,8 g,en quantité élevée,25 g,en quantité élevée,0.211 g,en faible quantité,?,,391,-10%,1636 kj(391 kcal),-10%,18,-22%,8,+59%,52,+4%,25,-10%,6,+5%,"0,211",-68%,"0,084",-68%,15,-10%,D,-10%,81.2%,10.7%,3.9%,2.1%,2.1%,0.0%,55,"['E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E477 - Esters du propylène-glycol d'acide gras"", 'E433 - Monooléate de polyoxyéthylène de sorbitane', '', 'Risque modéré de sur-exposition', 'E570 - Acide stéarique', 'E422 - Glycérol', 'E1520 - Propylène glycol', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E282 - Propionate de calcium', 'E322i - Lécithine', 'E525 - Hydroxyde de potassium', 'E330 - Acide citrique']",['Huile de palme'],"['Œufs', 'Gluten', 'Soja', 'Anhydride sulfureux et sulfites']",4,,,,,,,,
475,Chawarma Dinde - Yarden,7290006895318,,,"['Sachet', 'Plastique', 'Surgelé']",['Yarden'],,['Sans colorants'],['France'],[],[],,,,,,,,,?,,741,,3100 kj(741 kcal),,7,,"2,4",,"4,5",,1,,24,,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,,,
476,Nuggets poulet,7290008154222,D,,,,"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Volailles cuites', 'Préparations au poulet', 'Poulets cuisinés', 'Nuggets de volaille', 'Poulets panés', 'Nuggets de poulet']",,['France'],[],[],12 g,en quantité modérée,3.6 g,en quantité modérée,0 g,en faible quantité,5 g,en quantité élevée,?,,219,-2%,916 kj(219 kcal),-2%,12,+7%,"3,6",+80%,20,+19%,0,-100%,11,-14%,5,+327%,2,+327%,15,+309%,D,+309%,71.2%,17.5%,4.4%,1.9%,1.1%,4.0%,36,,,,,,,,,,,,
477,Poitrine de dinde fumée au bois de hêtre - Hod Lavan,7290008154444,,,,['Hod Lavan'],,['Kascher'],['France'],"['Poitrine de poulet', ' 78%', 'Eau', ' 17% ', 'Amidon modifié ', 'El ', 'sucre', 'sel', 'stabilisants ', ' E452,E407', 'Antioxydant', 'E301', 'Conservateurs ', ' E250,E325', 'Poivre noir', 'Paprika épicé', 'Romarin', 'Fibres alimentaires', 'Arôme de Poulet', 'Arôme Fumée', ' Peut contenir les traces de : Soja', 'Céleri', 'Moutarde,']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,89,,372 kj(89 kcal),,1,,"0,3",,4,,"1,5",,16,,"1,725",,"0,69",,,,,,,,,,,,,"['E14XX - Amidons modifiés', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E325 - Lactate de sodium']",,,4,,,,,,,,
478,Nouilles Instantanées Goût Champignon - Willi food,7290010259854,,,,['Willi food'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",,['France'],[],[],,,,,,,,,?,,320,+7%,1339 kj(320 kcal),+6%,8,-31%,7,+33%,10,-75%,3,+24%,5,-21%,10,+283%,4,+283%,,,,,,,,,,,,,,,,,,,,,,,
479,Granola bar - Vitalia Nikola Doo,7290011131135,,,,['Vitalia Nikola Doo'],"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']","['Sans colorants', 'Sans conservateurs']",['France'],"['oat flakes 49%', 'canola oil', 'brown sugar', 'extruded rice 6%', 'corn flour', 'almond 2%', 'barley malt', 'honey 1 % ', 'salt', 'emulsifier: soy lecithin', 'raising agent: sodium bicarbonate', 'flavor', ' 49 Made from 49% wholegrain cereals', ' Allergen information: The product contains gluten', 'soy and nuts', 'may contain trace of sesame and milk', ' Keep in a cool', 'shade and dry place', ' Production date & best before date printed on the package', ' Kosher Parve approval of the Chief Rabbin - ate of Israel', ' Warning: Choking danger for children under age 5']",[],15.4 g,en quantité modérée,1.7 g,en quantité modérée,21.7 g,en quantité élevée,1.9 g,en quantité élevée,?,,408,-4%,1707 kj(408 kcal),-4%,"15,4",-3%,"1,7",-71%,"59,7",-1%,"21,7",-20%,"8,3",+11%,"1,9",+386%,"0,76",+386%,13,-2%,D,-2%,,,,,,,,['E500ii - Carbonate acide de sodium'],,"['Gluten', 'Fruits à coque', 'Soja']",,,,,,,,,
