,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,palm_ingredients,allergens,nova_score,generic_name,manufacturing,traceability_code,markets,ingredients_origins,link,origin_detail,brand_owner
1057,Pimientos sel piquillos,8412540900153,,,,,,,['France'],[],[],,,,,,,,,?,,32,,134 kj(32 kcal),,"0,3",,0,,"4,6",,"4,6",,1,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,
1058,Frutos Secos - Frumesa,8412669011389,,,,['Frumesa'],,,['France'],"['Informacién nutricional ', 'Valores medios por 100 go Valor energético 2763kJ/']",[],,,,,,,,,?,,667,,2791 kj(667 kcal),,53,,"4,1",,21,,"4,9",,21,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
1059,Cacahouètes,8412669030021,,,,,,,['France'],[],[],,,,,,,,,?,,607,,2540 kj(607 kcal),,48,,"8,6",,"5,9",,"4,2",,29,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,
1060,Torta turrón de Alicante - Artesania - 150g,8412704001825,E,150 g,,['Artesania'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux amandes', 'Tourons croquants aux amandes']",,['France'],[],[],34 g,en quantité élevée,2.9 g,en quantité modérée,39 g,en quantité élevée,0 g,en faible quantité,?,,553,+3%,2314 kj(553 kcal),+3%,34,+2%,"2,9",+2%,42,-1%,39,+4%,16,+16%,0,-100%,0,-100%,16,+12%,D,+12%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,
1061,Maïs grillés salés Plis Plas pot - 300g,8412805999243,,300 g,"['Pot', 'Plastique']",['Plis-Plas'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Maïs']",,"['France', 'Espagne']","['Maiz', 'aceite de palma refinadada', 'potenciador ', 'E-621', 'sal']",[],13.5 g,en quantité modérée,1.7 g,en quantité modérée,1.1 g,en faible quantité,1.6 g,en quantité élevée,?,,450,+181%,1883 kj(450 kcal),+182%,"13,5",+344%,"1,7",+223%,"74,1",+182%,"1,1",-69%,"7,4",+79%,"1,6",+234%,"0,64",+234%,13,,D,,,,,,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",,,4,Maíz pequeño frito,['Espagne'],,['Venta Peio'],,,,
1062,Maïs Grillé Salés - Plis Plas,8412805999540,,,,['Plis Plas'],"['en:roasted-corn-kernels', 'Mais-grille-et-sale']",,['France'],"['Maïs', 'huile de tournesol', 'et sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",8.6 g,en quantité modérée,5.3 g,en quantité élevée,0 g,en faible quantité,2.5 g,en quantité élevée,?,,444,-0%,1858 kj(444 kcal),-0%,"8,6",-31%,"5,3",+19%,57,-15%,0,-100%,"7,4",+10%,"2,5",+23%,1,+23%,20,+22%,E,+22%,,,,,,,,,,,3,,,,,,,,
1063,Chips De Pomme De Terre,8412861191551,B,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']",,['France'],[],[],32.2 g,en quantité élevée,4.6 g,en quantité modérée,0.5 g,en faible quantité,1.4 g,en quantité modérée,?,,474,-11%,1983 kj(474 kcal),-11%,"32,2",-1%,"4,6",+49%,"43,9",-15%,"0,5",-64%,"7,8",+31%,"1,4",+8%,"0,56",+8%,15,+33%,D,+33%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,,,,,,
1064,8413080069416,8413080069416,B,,,,"['Epicerie', 'Sauces', 'Sauces tomate', 'Sauces bravas']",,"['France', 'Espagne']",[],[],0.3 g,en faible quantité,0.1 g,en faible quantité,15.7 g,en quantité élevée,2.54 g,en quantité élevée,?,,101,-42%,423 kj(101 kcal),-42%,"0,3",-98%,"0,1",-95%,"22,2",+125%,"15,7",+150%,"1,3",+11%,"2,54",-12%,"1,016",-12%,14,+4%,D,+4%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,,,,,,,,,,,
1065,Espã Rrecs Extra 9 / 12 Peces Flascó - Gourmet,8413080080961,,,,['Gourmet'],"['Conserves', 'Plats préparés', 'Plats préparés en conserve']",,"['France', 'Espagne']",[],[],0.24 g,en faible quantité,0.24 g,en faible quantité,1.45 g,en faible quantité,1.15 g,en quantité modérée,?,,17,-84%,71 kj(17 kcal),-84%,"0,24",-95%,"0,24",-84%,"1,45",-81%,"1,45",-8%,"1,3",-79%,"1,15",+28%,"0,46",+28%,5,+342%,C,+342%,,,,,,,,,,,,,,,,,,,
1066,Guindillas Gourmet,8413080137375,,,,,,,['France'],[],[],,,,,,,,,?,,41,,172 kj(41 kcal),,"0,4",,"0,2",,"7,1",,"0,2",,"2,9",,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,
1067,Zumo Gourmet Melocoton Cristal 200ML.,8413080289333,D,,,['Gourmet'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de pêche']",,['France'],[],[],0.1 g,en faible quantité,0 g,en faible quantité,10.9 g,en quantité élevée,0 g,en faible quantité,?,,90,+76%,377 kj(90 kcal),+75%,"0,1",-33%,0,-100%,"21,8",+79%,"10,9",-4%,"0,5",+31%,0,-100%,0,-100%,16,+8%,E,+8%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,
1068,Snatts Poppes Chips Sour Cream & Onion -,8413164011324,,,,,,"['en:gluten-free', 'Fabriqué en Espagne']",['France'],[],[],,,,,,,,,?,,455,,1904 kj(455 kcal),,17,,"1,2",,68,,"3,6",,"5,6",,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,,,
1069,Pan de molde integral - Coaliment,8413176916440,B,,,['Coaliment'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']",,['France'],[],[],3.1 g,en quantité modérée,0.8 g,en faible quantité,3 g,en faible quantité,1.3 g,en quantité modérée,?,,232,-13%,971 kj(232 kcal),-13%,"3,1",-31%,"0,8",+23%,39,-15%,3,-42%,"9,1",+8%,"1,3",+14%,"0,52",+14%,2,+38%,B,+38%,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,,,,,,,,,,,,
1070,Tête de mort - Vidal,8413178271301,,,,['Vidal'],,['en:gluten-free'],['France'],[],[],,,,,,,,,?,,328,,1372 kj(328 kcal),,"0,2",,"0,2",,77,,62,,"4,2",,"0,17",,"0,068",,,,,,,,,,,,,,,,,,,,,,,,
1071,Dipper XL sabor fresa - Vidal,8413178321808,E,,,['Vidal'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['en:gluten-free'],"['France', 'Espagne']",[],[],1.9 g,en faible quantité,1.1 g,en faible quantité,66 g,en quantité élevée,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,"1,9",+2%,"1,1",+4%,87,+4%,66,+14%,0,-100%,0,-100%,0,-100%,11,-24%,D,-24%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,
1072,Caramelos Candies Halloween - Intervan,8413209312072,,,,['Intervan'],"[""Aliments et boissons d'Halloween""]",,['France'],[],[],2 g,en faible quantité,1 g,en faible quantité,76 g,en quantité élevée,0 g,en faible quantité,?,,403,0%,1686 kj(403 kcal),+0%,2,-80%,1,-80%,97,+35%,76,+38%,0,-100%,0,-100%,0,-100%,15,-14%,D,-14%,,,,,,,,,,,,,,,,,,,
