,name,bar_code,eco_score,brand,categories,labels,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,manufacturing,additives,allergens,nova_score,ingredients_origins,brand_owner,generic_name,link,palm_ingredients
1839,Black protein,3662072015886,,['Black Protein'],,,,['France'],[],[],?,,373,,"0,3",,"61,6",,"30,5",,,,,,,,,1561 kj(373 kcal),"0,3",6,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,Chips saveur fromage et crėme douce,20161453,,,,,,['France'],[],[],?,,540,,34,,"50,5",,6,,,,,,,,,2259 kj(540 kcal),"2,7","3,1","1,53","0,612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,Fitness Nutritious Energy Fruits - Nestlé,5900020020994,,['Nestlé'],,,,['France'],[],[],?,,363,,"2,7",,"73,8",,"7,4",,,,,,,,,1519 kj(363 kcal),"1,7","24,7","0,72","0,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,Riz tartare tuna - Sushi Gourmet,3760228712587,,['Sushi Gourmet'],,,,['France'],"['Riz vinaigré ', 'riz', 'assaisonnement pour sushi ', 'sucre', ""vinaigre d'alcool "", ""préparé à partir d'alcool avec riz et lie de saké"", ""vinaigre d'alcool"", 'eau', 'sel', 'eau', 'thon listao en morceaux au naturel ', 'thon', 'eau', 'sel', ' 30%', 'et mayonnaise ', 'huile de colza ', '79', '2%', 'eau', ""jaunes d'oeufs "", '61%', 'vinaigre', 'moutarde ', 'eau', 'graines de moutarde', 'sel', 'vinaigre', 'curcuma', 'sel', 'dextrose', 'conservateur : sorbate de potassium', 'stabilisateur : E412', 'arôme', 'avocat', 'graines de sésame']","['Non végétalien', 'Non végétarien']",706,,168,,7,,20,,6,,,,,,,,,706 kj(168 kcal),"0,6","< 0,5",,,['Monoprix'],,,,,,,,,,,,,,,,,,,['Barquette en plastique transparent'],,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar']","['Œufs', 'Poisson', 'Moutarde', 'Graines de sésame']",4,,,"Riz, tartare de thon-mayonnaise, avocat, sésame",https://sushigourmet.eu/produit/riz-tartare-tuna/,
1843,"Rose d'Anjou Les Celliers de Haute Croix, la bouteille de",3531380012378,C,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', ""Rosé d'Anjou""]",,,['France'],[],[],?,,67,+60%,"1,4",-44%,"1,4",-65%,"0,2",-90%,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,280 kj(67 kcal),"0,33","0,38",1,"0,4",,,,,,,,,,+69%,-59%,-74%,+199%,+199%,,,,,,,,,,,['France'],,,,
1844,5 saucisses nature de volaille bio,2444012030248,E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de volaille']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],[],?,,136,-24%,"6,2",-47%,"0,7",-44%,19,+15%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,569 kj(136 kcal),"1,7","0,7","1,8","0,72",,6.2 g,en quantité modérée,1.7 g,en quantité modérée,0.7 g,en faible quantité,1.8 g,en quantité élevée,-25%,-53%,+34%,+1%,+1%,4,-59%,C,-59%,,,,,,,,,,,
1845,Kambly,7614800490133,,['Kambly'],,,,['France'],[],[],?,,522,,27,,62,,"6,8",,,,,,,,,2184 kj(522 kcal),18,34,"0,42","0,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,Cuisse de poulet,2255739042182,D,,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",['Bio'],,['France'],[],[],?,,165,-14%,"8,8",-29%,"0,5",+57%,21,+14%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,690 kj(165 kcal),"2,5","0,5","1,3","0,52",,8.8 g,en quantité modérée,2.5 g,en quantité modérée,0.5 g,en faible quantité,1.3 g,en quantité modérée,-14%,-25%,+223%,+71%,+71%,4,+13%,C,+13%,,,,,,,,,,,
1847,Frutos Secos - Graines de tournesol - 175g,8412669041362,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Graines de tournesol et dérivés', 'Graines de tournesol']",['Point Vert'],,['France'],[],[],?,,560,-2%,42,-8%,13,-2%,26,+18%,78.2%,0.0%,8.3%,4.3%,5.7%,3.5%,55,2343 kj(560 kcal),"5,6","2,4","0,44","0,176",,42 g,en quantité élevée,5.6 g,en quantité élevée,2.4 g,en faible quantité,0.44 g,en quantité modérée,-2%,+13%,-0%,-76%,-76%,12,-10%,D,-10%,175 g,,,,,,,,,,
1848,Melange tonus,2600285028737,,,,,,['France'],[],[],?,,460,,22,,42,,20,,,,,,,,,1925 kj(460 kcal),"2,1",26,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
