,name,bar_code,eco_score,brand,categories,labels,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,manufacturing,additives,allergens,nova_score,ingredients_origins,brand_owner,generic_name,link,palm_ingredients
375,Madiran,3270040339188,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Riz gluant,8853969011561,,,,,,['France'],[],[],?,,354,,1,,79,,"6,9",,,,,,,,,1481 kj(354 kcal),"0,3",1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,"Sorbet plein fruit 3 AGRUMES, 42% de fruit - HDG - 750ml (487.5g)",3267180390261,C,"['HDG', 'Histoires De Glaces']","['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets multifruits']","['en:gluten-free', 'Point Vert', 'Fabriqué en France', 'Sans colorants', 'Triman']",,['France'],"['Eau', ""jus de kalamansi d'Asie 20%"", 'purée de citron vert 13%', 'sucre', 'purée de mandarine de Sicile 9%', 'sirop de glucose déshydraté', 'dextrose', 'épaississant : gomme xanthane', 'stabilisants : pectine', 'farine de graines de guar']",[],?,,125,+7%,"0,4",+5%,"29,7",+9%,"0,2",-65%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,523 kj(125 kcal),0,"25,6",0,0,,0.4 g,en faible quantité,0 g,en faible quantité,25.6 g,en quantité élevée,0 g,en faible quantité,+6%,-100%,+15%,-100%,-100%,5,+16%,C,+16%,750 ml (487.5 g),['Barquette'],['Reventin-vaugris'],"['E415 - Gomme xanthane', 'E440 - Pectines', 'E412 - Gomme de guar']",,4,,,Sorbet plein fruit 3 Agrumes,,
378,Café grand arabica 1851 - Legal,3227540207509,,['Legal'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés']",,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,Cr.cassis De Bourgogne 15ï¿½ 70CL - 70cL,3267681217012,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70 cL,,,,,,,,,,
380,Thon,5589358128741,D,,"['Produits de la mer', 'Poissons', 'Thons']",,,['France'],[],[],?,,?,,?,,?,,?,,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Espritz,3760014296734,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Génépi Le grand tétras - Bigallet - 70cl,3336770000573,D,['Bigallet'],"['Boissons', 'Boissons alcoolisées', 'Liqueurs', 'Génépi']",['Déconseillé aux femmes enceintes'],,['France'],"['Eau', 'alcool', 'sucre', 'génépi ', 'Artemisia mutellina']",[],?,,?,,?,,?,,?,,57.4%,11.3%,20.5%,8.1%,1.7%,1.0%,33,,,,,,,,,,,,,,,,,,,,,,,,70 cl,"['Bouteille', 'Verre']",,,,3,,,,,
383,P.Paves Saveur Auchan Noix X5,2030500251587,,['Auchan'],,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Proteína natural vegana chocolate - Natural Athlete,8436575050454,,['Natural Athlete'],"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Protéines en poudre']","['Bio', 'Végétarien', 'Bio européen', 'Sans gluten', 'Végétalien']",,"['France', 'Espagne']",[],"['Végétalien', 'Végétarien']",?,,369,-1%,"1,42",-67%,"1,75",-75%,"70,04",-1%,,,,,,,,1544 kj(369 kcal),"0,78","0,03","2,3","0,92",,1.42 g,en faible quantité,0.78 g,en faible quantité,0.03 g,en faible quantité,2.3 g,en quantité élevée,-0%,-55%,-99%,+207%,+207%,14,+217%,D,+217%,,,,,,,,,,,
385,Vin Rouge,3356209110024,,,"['Boissons', 'Boissons alcoolisées', 'Vins']","['Bio', 'Bio européen', 'FR-BIO-01']",,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,Œuf chocolat Magic Unicorn,8435477903394,,,,,,['France'],[],[],?,,540,,31,,60,,"4,7",,,,,,,,,2259 kj(540 kcal),19,59,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,Huile pour friture - Delhaize,5400113505044,,['Delhaize'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de friture']",,,['France'],[],[],?,,900,+5%,100,+5%,0,,0,,,,,,,,,3766 kj(900 kcal),"9,6",0,0,0,,100 g,en quantité élevée,9.6 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+6%,+5%,,,,10,-6%,C,-6%,,,,,,,,,,,
388,Sugo di pomodoro all' arrabbiata,8033100278323,,,,,,['France'],[],[],?,,77,,"5,2",,"5,3",,"1,4",,,,,,,,,322 kj(77 kcal),"0,8",5,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Chocolat baguette magique harry potter,0071570008963,,['Harry Potter'],,,,['France'],[],[],?,,552,,36,,52,,"6,2",,,,,,,,,2310 kj(552 kcal),22,51,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Lait et éclats de noisttes - Le Chocolat des Français,3701198800553,,['Le Chocolat des Français'],,"['Bio', 'Bio européen', 'Sans conservateurs', 'Agriculture UE/Non UE', 'FR-BIO-01', 'en:palm-oil-free', 'AB Agriculture Biologique']",,['France'],[],['Sans huile de palme'],?,,591,,"42,4",,"43,4",,"8,7",,,,,,,,,2473 kj(591 kcal),"24,7","34,7","0,27","0,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Roulé De Surimi -  - 2kg,3760048440448,B,,"['Produits de la mer', 'Poissons', 'Préparations de poisson', 'Surimi']",,,['France'],[],[],?,,94,-21%,"1,3",-72%,15,+32%,"6,7",-10%,52.0%,22.5%,10.3%,8.6%,5.2%,1.4%,92,393 kj(94 kcal),"0,1","2,1","2,1","0,84",,1.3 g,en faible quantité,0.1 g,en faible quantité,2.1 g,en faible quantité,2.1 g,en quantité élevée,-21%,-85%,-27%,+22%,+22%,6,+36%,C,+36%,2 kg,,,,,,,,Surimi saveur crabe,,
392,Bouchée praliné craquant enrobage noir,,,,,,,['France'],[],[],?,,568,,"38,68",,"44,1",,"9,13",,,,,,,,,2377 kj(568 kcal),"13,44","39,45","0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Slimfast Milkshake-pulver Vanilj,5055967500716,,,,,,['France'],[],[],?,,364,,"1,1",,"14,1",,"5,6",,,,,,,,,1523 kj(364 kcal),"0,2","7,7","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,Cocotte en chocolat noir,3760059921677,,,,,,['France'],[],[],?,,577,,"43,2",,"32,7",,"9,3",,,,,,,,,2414 kj(577 kcal),"26,7","28,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,Creme dessert edulcoree - Delical - 4x 200g,3551100163357,,['Delical'],['Desserts'],"['en:gluten-free', 'Sans lactose']",,['France'],[],[],?,,150,-15%,7,+3%,"10,1",-57%,10,+216%,,,,,,,,628 kj(150 kcal),"0,6","0,5","0,1","0,04",,7 g,en quantité modérée,0.6 g,en faible quantité,0.5 g,en faible quantité,0.1 g,en faible quantité,-15%,-83%,-97%,-25%,-25%,-4,-159%,A,-159%,4 x 200 g,,,,,,,,,,
396,Galettes riz - Bjorg,3760129600280,,['Bjorg'],,,,['France'],[],[],?,,493,,23,,62,,"7,8",,,,,,,,,2063 kj(493 kcal),14,27,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Tablette chocolat noir 67%,3760110970163,,,,,,['France'],[],[],?,,603,,"46,3",,36,,"6,6",,,,,,,,,2523 kj(603 kcal),28,30,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,croix basques au Patxaran,3760203430437,,,,,,['France'],[],[],?,,486,,20,,67,,"8,2",,,,,,,,,2033 kj(486 kcal),12,28,"0,73","0,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,Bifteck 100% charolais x 1 - Marque Repère - 140g,3661112098179,,"['Marque Repère', 'Férial']",,"['Viande-francaise', 'Viande-bovine-francaise']",,"['Belgique', 'France']",['1x steak*** a griller charolais'],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,140 g,,,,,,,,,,
400,Garlic Green Peas,4710126029279,,,,,,['France'],[],[],?,,479,,"21,4",,"53,6",,"17,9",,,,,,,,,2004 kj(479 kcal),"10,8","1,5","1,81","0,724",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,BEER SAS Pils,5412896353804,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Bonbon des Vosges,3760115260870,,,,"['Bio', 'Bio européen', 'Sans colorants', 'AB Agriculture Biologique']",,['France'],[],[],?,,389,,"0,2",,"98,6",,1,,,,,,,,,1628 kj(389 kcal),"0,14",72,"0,025","0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,agneau de lanzer - charal - 200g,3559480326959,,['Charal'],"['Viandes', ""Viandes d'agneau""]",['Sans OGM'],,['France'],['Ail échalotes agneau de lanzer'],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200g,['Sachet'],,,,,,,,,
404,Pure Camomille,5037365191505,,,,"['Végétarien', 'Végétalien']",,['France'],[],"['Végétalien', 'Végétarien']",?,,0,,0,,0,,0,,,,,,,,,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,Cider Vinegar Paladin,5601517131017,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Huile Dolive,8437008717524,,,,,,['France'],[],[],?,,900,,100,,0,,0,,,,,,,,,3766 kj(900 kcal),17,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,Pearl onions - Develey,91189103,,['Develey'],,,,['France'],[],[],?,,30,,"0,2",,5,,"0,7",,,,,,,,,126 kj(30 kcal),"0,1",5,"0,64","0,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Viande bovine hachée,3660903802575,,,,"['Viande-francaise', 'Viande-bovine-francaise']","['FR 49.099.024 CE', 'Cholet (Maine-et-Loire, France)']",['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,Coop Qualité & Prix Fish Sticks,7613356849532,E,"['Qualité & Prix', 'Coop']","['Produits de la mer', 'Poissons', 'Préparations de poisson', 'Produits panés', 'Poissons panés', 'Batonnets de poisson']",,,['France'],[],[],?,,188,+6%,"8,2",+6%,15,+2%,13,+23%,88.5%,2.2%,1.2%,5.1%,0.6%,2.3%,21,787 kj(188 kcal),1,2,"0,55","0,22",,8.2 g,en quantité modérée,1 g,en faible quantité,2 g,en faible quantité,0.55 g,en quantité modérée,+8%,-11%,+12%,-51%,-51%,-1,-148%,A,-148%,,,,,,,,,,,
410,Moulages de chocolats au lait,3173287047406,,,,,,['France'],[],[],?,,556,,34,,54,,0,,,,,,,,,2326 kj(556 kcal),21,53,"0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,Cabernet sauvignon,8012156001765,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,Escalope de dinde,2447038024864,D,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,['France'],[],[],?,,?,,?,,?,,?,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Les délicieux caramels tendres au beurre salé,3561770001101,,,,,,['France'],[],[],?,,418,,"12,5",,72,,"4,3",,,,,,,,,1749 kj(418 kcal),7,"47,4","1,08","0,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Chocolat au lait 29% de cacao - Weiss - 400g,3595181906588,E,['Weiss'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",['Point Vert'],,['France'],[],[],?,,543,-2%,"31,6",-8%,"55,6",+7%,"7,7",+7%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,2272 kj(543 kcal),"19,5","55,2","0,21","0,084",,31.6 g,en quantité élevée,19.5 g,en quantité élevée,55.2 g,en quantité élevée,0.21 g,en faible quantité,-2%,-1%,+13%,-10%,-10%,26,+2%,E,+2%,400 g,,,,,,,,,,
415,Steak Haché Halal 15% MG - Wassila,3222473672516,,['Wassila'],,"['Halal', 'Viande-francaise', 'Viande-bovine-francaise']",,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,3701232600606,3701232600606,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Kruidenzout voor frietjes - Portland,27079515,,['Portland'],,,,['France'],[],[],?,,52,,"1,4",,"5,6",,"2,1",,,,,,,,,218 kj(52 kcal),"0,4",5,"83,6","33,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,Carb crusher (beurre de cacahuète) - MyProtein - 12x 60g,5055534368510,,['MyProtein'],,,,['France'],[],[],?,,358,,14,,20,,35,,,,,,,,,1498 kj(358 kcal),"7,2","4,5","0,75","0,3",,,,,,,,,,,,,,,,,,,12 x 60 g,,,,,,,,,,
419,Suprême de pintade aux écrevisses,3565350002243,,,,,"['FR 44.063.001 CE', 'Gétigné (Loire-Atlantique, France)']",['France'],[],[],?,,139,,"7,1",,"5,6",,"12,8",,,,,,,,,582 kj(139 kcal),"3,9",1,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Hellmann's EST.1913,8712423007512,,"[""Hellmann's""]",,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Tuna steak 3 packs - 80g,00813839,D,,"['Produits de la mer', 'Poissons', 'Thons']",,,['France'],[],[],?,,422,+131%,"0,6",-94%,0,-100%,"23,5",+9%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,1766 kj(422 kcal),"0,2",0,"0,75","0,3",,0.6 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,0.75 g,en quantité modérée,+132%,-89%,-100%,-27%,-27%,3,-2%,C,-2%,80 g,,,,,,,,,,
422,Baie de Timur,3664335001001,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,MR. Noodles beef,0846816006252,,,,,,['France'],[],[],?,,460,,17,,66,,10,,,,,,,,,1925 kj(460 kcal),8,2,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,Le thaï,1038547446561,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz thaï']",,,['France'],[],[],?,,348,-1%,"0,6",-43%,78,+3%,"7,5",+2%,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,1456 kj(348 kcal),"0,2","0,1","0,02","0,008",,0.6 g,en faible quantité,0.2 g,en faible quantité,0.1 g,en faible quantité,0.02 g,en faible quantité,-1%,-22%,-61%,+79%,+79%,0,,B,,,,,,,,,,,,
425,Coulis de mûres,3278930006653,,,,,,['France'],[],[],?,,121,,"0,2",,29,,"0,9",,,,,,,,,506 kj(121 kcal),0,29,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,Aardbeienconfiture,3045320014266,,,,,,['France'],[],[],?,,241,,"0,1",,59,,"0,4",,,,,,,,,1008 kj(241 kcal),0,59,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,Bouleau Totum - Dietaroma,3460341506628,,['Dietaroma'],,['Bio'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Carottes Jeunes Extra Fines Rochambeau,3439497017050,,['Rochambeau'],,,,['France'],[],[],?,,31,,"0,4",,5,,"0,8",,,,,,,,,130 kj(31 kcal),0,"3,1","0,53","0,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Olives vertes entières - Montperal,3760048330459,,['Montperal'],,,,['France'],[],[],?,,164,,"15,9",,"3,8",,"1,3",,,,,,,,,686 kj(164 kcal),"3,56","0,5","5,32","2,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,The whey cookies & cream - MyProtein,5056185787323,,['MyProtein'],,,,['France'],[],[],?,,378,,"2,4",,"5,5",,83,,,,,,,,,1582 kj(378 kcal),1,"4,6","0,79","0,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,4841638001153,4841638001153,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,7898994609865,7898994609865,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,Vin rouge - Bordeaux roc de lussac - 150ml,3423290014620,C,['Bordeaux roc de lussac'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",,,['France'],[],[],?,,?,,?,,?,,?,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,150 ml,,,,,,['France'],,,,
434,Kvarg drink - Nestlé,3023290033036,,['Nestlé'],,,,"['France', 'Espagne']",[],[],?,,50,,"0,8",,"3,4",,"6,7",,,,,,,,,209 kj(50 kcal),"0,5","3,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,Chevreau de Pâques demi chevreau,2637412238905,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,Noir 54% sans sucres ajoutés - De Neuville,3662457210271,,['De Neuville'],,['Sans sucre ajouté'],,['France'],[],[],?,,477,,36,,"45,6",,"5,1",,,,,,,,,1996 kj(477 kcal),"21,6","0,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,Sucre de canne roux - Sélection des comptoirs,3760239180894,B,['Sélection des comptoirs'],"['Édulcorants', 'Sucres', 'Sucres roux']",['Bio'],,['France'],[],[],?,,400,+2%,0,-100%,100,+2%,0,-100%,87.6%,0.0%,7.4%,3.3%,1.8%,0.0%,81,1674 kj(400 kcal),0,100,0,0,,0 g,en faible quantité,0 g,en faible quantité,100 g,en quantité élevée,0 g,en faible quantité,+2%,-100%,+3%,-100%,-100%,14,-1%,D,-1%,,,,,,,,,,,
438,Penne Rigate - Granoro,8007290575081,,['Granoro'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Penne', 'Penne rigate']","['Bio', 'Bio européen', 'IT-BIO-006']",,['France'],[],[],?,,352,0%,"2,4",+42%,67,-4%,"11,5",-4%,,,,,,,,1473 kj(352 kcal),"0,6","3,4",0,0,,2.4 g,en faible quantité,0.6 g,en faible quantité,3.4 g,en faible quantité,0 g,en faible quantité,-0%,+61%,+16%,-100%,-100%,-1,,A,,,,,,,,,,,,
439,Gluten Free Organic rice pasta,8856848000182,,,,"['Végétarien', 'Végétalien', 'en:gluten-free']",,['France'],[],"['Végétalien', 'Végétarien']",?,,359,,"0,7",,80,,"7,9",,,,,,,,,1502 kj(359 kcal),"0,4",0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Back&Decor,4049583111471,,,,,,['France'],[],[],?,,396,,"0,5",,98,,1,,,,,,,,,1657 kj(396 kcal),"0,1",96,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,Chocolat de couverture noir Louvre - Cacao Barry,3073416101019,,['Cacao Barry'],,,,['France'],[],[],?,,585,,46,,30,,"7,2",,,,,,,,,2448 kj(585 kcal),28,26,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,Sac à œufs surprise - Fizzy - 100g,3395502868447,,['Fizzy'],,,,['France'],[],[],?,,378,,0,,"94,5",,0,,,,,,,,,1582 kj(378 kcal),0,"84,7",0,0,,,,,,,,,,,,,,,,,,,100g,,,,,,,,,,
443,Poulet blanc fermier,2209345006717,,,,['Label Rouge'],,['France'],[],[],?,,147,,7,,"0,5",,21,,,,,,,,,615 kj(147 kcal),2,"0,5","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,Macaron pistache,0202241012143,D,,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",,,['France'],[],[],?,,475,+12%,"27,2",+53%,"46,2",-17%,"10,3",+20%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,1987 kj(475 kcal),"10,6","45,2","0,14","0,056",,27.2 g,en quantité élevée,10.6 g,en quantité élevée,45.2 g,en quantité élevée,0.14 g,en faible quantité,+12%,+135%,-10%,-2%,-2%,25,+42%,E,+42%,,,,,,,,,,,
445,Langkorn Spitzenreis - Penny - 1000g,22954626,,['Penny'],,,,"['France', 'Allemagne']",[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000g,,,,,,,,,,
446,Mousse de foie de canard,2055672100891,,,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Mousses salées', 'Mousses de foies']",,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,pain au chocolat pur beurre,2644760019353,D,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",,,['France'],[],[],?,,?,,?,,?,,?,,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,Cuve de kerisac,5425001005925,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,Hydrolade Rhubarbe + Lavande - Simone a Soif! - 33cl,,B,['Simone a Soif!'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Aliments et boissons à base de légumes', 'Boissons aux fruits', 'Boissons aux légumes']","['Peu ou pas de sucre', 'Bio', 'Bio européen', 'Sans colorants', 'Sans conservateurs', 'BE-BIO-01', 'Sans sucre ajouté', 'AB Agriculture Biologique']",,"['Belgique', 'France']","['eau', 'poire 35%', 'rhubarbe 15%', 'betterave', 'hydrolat de lavande 0,6 %']",[],19,-82%,?,,0,-100%,"4,9",-11%,0,-100%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,19 kj(5 kcal),0,"3,7",0,0,"['Delhaize', 'Bioplanet', 'Farm']",0 g,en faible quantité,0 g,en faible quantité,3.7 g,en quantité modérée,0 g,en faible quantité,-83%,-100%,-23%,-100%,-100%,2,,C,,33 cl,['Verre'],['Belgique'],,,1,,,Boisson rafraîchissante aux fruits plate,,
450,Baguette Viennoise - Intermarché - 200g,0260016005257,,['Intermarché'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains briochés']",,,['France'],"['Farine de BLE', 'eau', 'sucre', 'levure graisse végétale de colza ', 'sirop de glucose protéines de LAIT', 'arômes nałurels', 'poudre & creme ', 'LAIT', 'gluten de BLE', 'sel', 'farine de BE malté', 'émulsifiants : E471 et E472e', 'agent traitement de la farine: acide ascorbique', 'colort E101']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,,?,,?,,?,,?,,,,,,,,,,,,,,['Intermarché'],,,,,,,,,,,,,,,,,,200g,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E300 - Acide ascorbique']","['Gluten', 'Lait']",4,,,,,
451,Bacon de dinde,2512608003478,,,,['Halal'],,['France'],[],[],?,,176,,"9,5",,"1,4",,22,,,,,,,,,736 kj(176 kcal),"3,4","0,5","3,5","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,Cookie au chocolat au lait et noisettes du Piémont,3770006165054,,,,['en:gluten-free'],,['France'],[],[],?,,530,,31,,55,,"5,5",,,,,,,,,2218 kj(530 kcal),17,28,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,pop corn sucre bio -,3760018854619,B,,"['Snacks', 'Snacks sucrés', 'Popcorn', 'Popcorn sucré']",['Bio'],,['France'],[],[],?,,447,-0%,"14,4",-7%,"68,6",+1%,"6,5",+14%,57.3%,1.4%,8.6%,4.7%,11.7%,16.3%,90,1870 kj(447 kcal),"1,4","23,8","0,1","0,04",,14.4 g,en quantité modérée,1.4 g,en faible quantité,23.8 g,en quantité élevée,0.1 g,en faible quantité,0%,-62%,-21%,-58%,-58%,11,-15%,D,-15%,,,,,,,,,,,
