,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,brand,packaging,ingredients_origins,markets,nova_score,traceability_code,generic_name,manufacturing,link,allergens,additives,brand_owner,palm_ingredients
1178,Brioche tressée,0200010012806,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches tressées']",['France'],[],[],12 g,en quantité modérée,2.4 g,en quantité modérée,9.8 g,en quantité modérée,1.1 g,en quantité modérée,?,,348,-3%,1456 kj(348 kcal),-2%,12,-6%,"2,4",-62%,52,+1%,"9,8",-32%,7,-13%,"1,1",+10%,"0,44",+10%,12,-25%,D,-25%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,,,,
1179,Lemon Meringue Tulip Muffin,5024333188391,,,['France'],[],[],,,,,,,,,?,,483,,2021 kj(483 kcal),,23,,"3,5",,64,,43,,"5,3",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,Olio di coco vergine pressato a freddo,04365662,,,['France'],[],[],,,,,,,,,?,,820,,3431 kj(820 kcal),,"90,9",,"85,5",,0,,0,,0,,"0,02",,"0,008",,,,,,,,,,,,,"['Bio', 'Bio européen', 'IT-BIO-007']",,,,,,,,,,,,,,
1181,Pain d'épices aux amandes et noisettes - 350g,3760114342331,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],350 g,,,,,,,,,,,,,
1182,Appelkoeken ×4 - 200g,5425002287047,,,['France'],[],[],,,,,,,,,?,,399,,1669 kj(399 kcal),,14,,7,,63,,36,,4,,"0,45",,"0,18",,,,,,,,,,,,,,200 g,,,,,,,,,,,,,
1183,Melange de noix - Winny - 300g,5400247003454,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués']",['France'],[],[],61.7 g,en quantité élevée,5.53 g,en quantité élevée,5.62 g,en quantité modérée,0 g,en faible quantité,?,,660,+5%,2761 kj(660 kcal),+5%,"61,74",+17%,"5,53",+21%,"11,9",-10%,"5,62",+30%,"16,93",-13%,0,-100%,0,-100%,14,+714%,D,+714%,,,,,,,,,300 g,['Winny'],,,,,,,,,,,,
1184,Miel du printemps,3770003135319,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,Boudin blanc,2291126031629,D,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,,,,,,,,,,,,,
1186,Huile d'olive,2900083000004,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,,,,,,
1187,Matin Leger - Lactel,3428273444401,,,['France'],[],[],,,,,,,,,?,,34,,142 kj(34 kcal),,"0,2",,0,,"4,8",,"4,8",,"3,2",,"0,1",,"0,04",,,,,,,,,,,,,['Sans lactose'],,['Lactel'],,,,,,,,,,,,
1188,Boudin noir,2204306019157,,,['France'],[],[],,,,,,,,,?,,272,,1138 kj(272 kcal),,24,,"8,7",,"1,9",,1,,12,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,Boudin blanc,2215305017976,D,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté']",['France'],[],[],14 g,en quantité modérée,6 g,en quantité élevée,1.4 g,en faible quantité,2.2 g,en quantité élevée,?,,182,-25%,761 kj(182 kcal),-25%,14,-31%,6,-23%,"2,1",-51%,"1,4",-29%,11,+7%,"2,2",+48%,"0,88",+48%,16,0%,D,0%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,"['Viande Française', 'Viande Porcine Française']",,,,,,,"['FR 72.039.003 CE', 'Bonnétable (Sarthe, France)']",,,,,,,
1190,Duo de lantilles - 500g,3276350021973,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,,,
1191,Stevia,3147281952301,,,['France'],[],[],,,,,,,,,?,,85,,356 kj(85 kcal),,"3,6",,"1,4",,"14,1",,"12,3",,0,,"0,2",,"0,08",,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified', 'en:utz-certified-cacao']",,,,,,,,,,,,,,
1192,Pain spéciale équilibre - 400g,0260082015747,,,['France'],[],[],,,,,,,,,?,,265,,1109 kj(265 kcal),,13,,"1,9",,"5,9",,0,,25,,1,,"0,4",,,,,,,,,,,,,,400 g,,,,,,,,,,,,,
1193,Boudin blanc a l'ancienne - Maison Prunier,2477875020996,D,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté', ""Boudins blanc à l'ancienne""]",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,"['Point Vert', 'Sans colorants', 'Bleu Blanc Cœur']",,['Maison Prunier'],,,,,,,,,,,,
1194,Boudin noir a l'ancienne - Maison Prunier,2477874021840,,,['France'],[],[],,,,,,,,,?,,274,,1146 kj(274 kcal),,25,,9,,"2,2",,"0,7",,10,,"1,5",,"0,6",,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française', 'Point Vert', 'Sans colorants']",,['Maison Prunier'],,,,,,,,,,,,
1195,Pâte de sucre,8019447247765,,,['France'],[],[],,,,,,,,,?,,407,,1703 kj(407 kcal),,"6,4",,"3,5",,87,,82,,0,,"0,04",,"0,016",,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,
1196,Jus ultra frais oressé,3770001414560,,,['France'],[],[],,,,,,,,,?,,50,,209 kj(50 kcal),,"0,3",,"0,1",,"10,4",,"8,8",,"0,7",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,La Mirandelle,3354901503137,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,Comté doux,0209702037325,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",['France'],[],[],34 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.82 g,en quantité modérée,?,,418,-0%,1749 kj(418 kcal),-0%,34,-2%,23,+1%,0,-100%,0,-100%,26,-3%,"0,82",-2%,"0,328",-2%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,
1199,Comte AOP,0210844024739,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",['France'],[],[],35 g,en quantité élevée,26 g,en quantité élevée,0.5 g,en faible quantité,0.9 g,en quantité modérée,?,,429,+2%,1795 kj(429 kcal),+3%,35,+1%,26,+15%,"1,6",+246%,"0,5",+87%,27,+0%,"0,9",+7%,"0,36",+7%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,"['FR 25.427.001 CE', 'Noironte (Doubs, France)']",,,,,,,
1200,Huile d'olive - 750ml,5200102951032,,,['France'],[],[],,,,,,,,,?,,900,,3766 kj(900 kcal),,100,,14,,0,,0,,0,,0,,0,,,,,,,,,,,,,,750 ml,,,,,,,,,,,,,
1201,Comte fruité,2404966027688,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",['France'],[],[],34 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,?,,410,-2%,1715 kj(410 kcal),-2%,34,-2%,22,-3%,"0,5",+8%,"0,5",+87%,26,-3%,"0,8",-5%,"0,32",-5%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,
1202,Amandes décortiquées,2600112023942,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Amandes', 'Amandes décortiquées']",['France'],[],[],49.9 g,en quantité élevée,3.8 g,en quantité modérée,4.2 g,en faible quantité,0.01 g,en faible quantité,?,,645,+3%,2699 kj(645 kcal),+3%,"49,9",-3%,"3,8",-5%,"21,5",+64%,"4,2",+7%,"21,1",-6%,"0,01",-57%,"0,004",-57%,1,,B,,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,,,,,,,,,,,
1203,Brochette yakitori de poulet Marine cuit,3067850000502,E,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Préparations de viande', 'Volailles', 'Brochettes', 'Poulets', 'Brochettes de viande', 'Plats à la volaille', 'Préparations au poulet', 'Brochettes de volailles', 'Brochettes de poulet', 'Brochettes de poulet Yakitori']",['France'],[],[],1.4 g,en faible quantité,0.4 g,en faible quantité,7.9 g,en quantité modérée,1.8 g,en quantité élevée,?,,147,-5%,615 kj(147 kcal),-5%,"1,4",-70%,"0,4",-71%,15,+44%,"7,9",+16%,18,+7%,"1,8",+40%,"0,72",+40%,4,-18%,C,-18%,76.9%,15.4%,4.2%,1.9%,0.9%,0.7%,32,,,,,,,,,,,,,,,
1204,Tomates séchées leclerc - 250g,3700650900602,,,['France'],[],[],,,,,,,,,?,,258,,1079 kj(258 kcal),,"2,9",,"0,49",,"43,3",,"37,5",,"14,1",,"0,617",,"0,247",,,,,,,,,,,,,,250 g,,,,,,,,,,,,,
1205,Mini Biscuits Sarrasin Citron - 40g,3760031830430,,,['France'],[],[],,,,,,,,,?,,482,,2017 kj(482 kcal),,"22,7",,"10,4",,"60,5",,"23,9",,"7,7",,"0,89",,"0,356",,,,,,,,,,,,,"['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France']",40 g,,,,,,,,,,,,,
1206,Blackcurrant Jam - Chivers,5098732000592,,,['France'],[],[],,,,,,,,,?,,248,,1038 kj(248 kcal),,"0,5",,"0,2",,"59,7",,"53,8",,"0,5",,"0,3",,"0,12",,,,,,,,,,,,,,,['Chivers'],,,,,,,,,,,,
1207,Lomo embuchado - 50g,8423759050546,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['en:gluten-free'],50 g,,,,,,,,,,,,,
1208,Riz jasmin Thailandais - 20kg,3379140618848,,,['France'],[],[],,,,,,,,,?,,340,,1423 kj(340 kcal),,0,,0,,80,,0,,6,,0,,0,,,,,,,,,,,,,,20 kg,,,,,,,,,,,,,
1209,Vin,3303537501208,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,Courgettes rondes vertes - Mon Marché Plaisir,3250392509224,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Légumes frais', 'Courgettes', 'Courgettes fraîches']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,['Mon Marché Plaisir'],,['France'],,,,,,,,,,
1211,Tomate ovale roma,3760005724871,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,
1212,Knacks Volaille,08785282,,,['France'],[],[],,,,,,,,,?,,238,,996 kj(238 kcal),,20,,"5,8",,"0,5",,"0,5",,13,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,Poulet U - La Nouvelle Agriculture,0253088015743,,,['France'],[],[],,,,,,,,,?,,440,,1841 kj(440 kcal),,"1,3",,"0,4",,0,,0,,23,,"0,11",,"0,044",,,,,,,,,,,,,,,['La Nouvelle Agriculture'],,,,,,,,,,,,
