,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,brand,packaging,ingredients_origins,markets,nova_score,traceability_code,generic_name,manufacturing,link,allergens,additives,brand_owner,palm_ingredients
261,Farci du Poitou BIO,3760209288483,,,['France'],[],[],,,,,,,,,?,,181,,757 kj(181 kcal),,16,,"5,2",,"3,4",,"1,6",,"5,1",,"1,3",,"0,52",,,,,,,,,,,,,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique']",,,,,,,,,,,,,,
262,Saint nectaire laitier AOP,2225654014373,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Saint-Nectaire laitier']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,
263,Gallo Tallarines,8410069014719,,,['France'],[],[],,,,,,,,,?,,344,,1439 kj(344 kcal),,2,,"0,5",,68,,"3,5",,12,,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,
264,SuccoMio Pera - 200ml,8018161001530,,,['France'],[],[],,,,,,,,,?,,64,,268 kj(64 kcal),,"0,3",,"0,1",,15,,14,,"0,2",,"0,01",,"0,004",,,,,,,,,,,,,['Fabriqué en Italie'],200 ml,,,,,,,,,,,,,
265,Pastèque - Bouquet Bio,8412276313210,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'ES-ECO-024-MU']",,['Bouquet Bio'],,,,,,,,,,,,
266,Chocolate crests - 1oz,0071570008390,,,['France'],[],[],,,,,,,,,?,,160,,669 kj(160 kcal),,9,,6,,15,,14,,2,,0,,0,,,,,,,,,,,,,,1 oz,,,,,,,,,,,,,
267,Rich and creamy feta stuffed olives - Waitrose,5000169314708,,,['France'],[],[],,,,,,,,,?,,192,,803 kj(192 kcal),,18,,"4,2",,"4,3",,"0,2",,"1,8",,3,,"1,2",,,,,,,,,,,,,,,['Waitrose'],,,,,,,,,,,,
268,Vitamina,95744155,,,['France'],[],[],,,,,,,,,?,,250,,1046 kj(250 kcal),,"0,59",,0,,"57,39",,"42,6",,4,,"0,02",,"0,008",,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,
269,Minisnacks,5604925015108,,,['France'],[],[],,,,,,,,,?,,412,,1724 kj(412 kcal),,31,,12,,"5,2",,"1,7",,28,,"3,2",,"1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Taglioni bio all'uovo,8011207071535,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,
271,Purée de 3 poivre - Unilever Food Solutions,8722700482451,,,['France'],[],[],,,,,,,,,?,,160,,669 kj(160 kcal),,7,,3,,22,,8,,1,,"8,6",,"3,44",,,,,,,,,,,,,,,"['Unilever Food Solutions', 'Unilever']",,,,,,,,,,,,
272,Authentic vintage potatoes rosmarino e sale,8007537005944,,,['France'],[],[],,,,,,,,,?,,496,,2075 kj(496 kcal),,"24,3",,"2,2",,"60,5",,"3,3",,"6,8",,"0,72",,"0,288",,,,,,,,,,,,,,,,,,,,,,,,,,,
273,L'excellence du the vert naturel,6901048216023,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Tablette coco brune,3578600001293,,,['France'],[],[],,,,,,,,,?,,451,,1887 kj(451 kcal),,19,,17,,66,,66,,"2,3",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Olives sauce pistou,2609867016278,,,['France'],[],[],,,,,,,,,?,,220,,920 kj(220 kcal),,22,,"2,8",,"4,4",,"0,5",,"1,5",,"3,44",,"1,376",,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,,
276,Grand Saveur - Thiriet,3292590528409,,,['France'],[],[],,,,,,,,,?,,121,,506 kj(121 kcal),,"0,2",,"0,002",,"29,1",,25,,"0,3",,"0,01",,"0,004",,,,,,,,,,,,,,,['Thiriet'],,,['Thiriet'],,,,,,,,,
277,Plateau 2 verrines autrefois,3604071104529,,,['France'],[],[],,,,,,,,,?,,396,,1657 kj(396 kcal),,"0,5",,"0,1",,97,,66,,"0,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Farine de froment Minoterie Bilien,3473451001631,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Pate recette landaise,2473675025322,,,['France'],[],[],,,,,,,,,?,,326,,1364 kj(326 kcal),,28,,11,,"2,3",,0,,15,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Salade strasbourgeoise,3300842240402,,,['France'],[],[],,,,,,,,,?,,141,,590 kj(141 kcal),,"9,7",,"1,7",,11,,"1,1",,"2,4",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,
281,mouton cadet vin,3262151787750,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Tri-pack reposteria,8412666025174,,,['France'],[],[],,,,,,,,,?,,439,,1837 kj(439 kcal),,11,,"4,8",,82,,80,,"2,4",,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Mus owocowy - Bakoma,5900197023897,,,['France'],[],[],,,,,,,,,?,,62,,259 kj(62 kcal),,"0,5",,"0,1",,13,,12,,0,,"0,01",,"0,004",,,,,,,,,,,,,"['Bio', 'Bio européen', 'BE-BIO-01']",,['Bakoma'],,,,,,,,,,,,
284,Suprême de tomate,04957379,,,['France'],[],[],,,,,,,,,?,,188,,787 kj(188 kcal),,16,,"6,7",,"6,9",,"6,3",,"2,5",,"5,81",,"2,324",,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,
285,Petits calissons fantaisies,3102621010677,,,['France'],[],[],,,,,,,,,?,,446,,1866 kj(446 kcal),,18,,"1,7",,61,,50,,"7,5",,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Saucisson sec pur boeuf,3660903800311,,,['France'],[],[],,,,,,,,,?,,266,,1113 kj(266 kcal),,12,,5,,3,,3,,37,,5,,2,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,,,,,
287,Cantal jeune AOP,0202700023611,,,['France'],[],[],,,,,,,,,?,,372,,1556 kj(372 kcal),,30,,22,,"1,5",,"0,5",,24,,19,,"7,6",,,,,,,,,,,,,,,,,,,,"['FR 26.362.001 CE', 'Valence (Drôme, France)']",,,,,,,
288,"Pommeau de Normandie 17%vol, l'unité 70CL - 70cL",3478700010105,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,70 cL,,,,,,,,,,,,,
289,G.verde Cor MARGAL.450,8410076007070,,,['France'],[],[],,,,,,,,,?,,113,,473 kj(113 kcal),,"0,1",,0,,"2,9",,"1,1",,"2,4",,"0,83",,"0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Beef Jerky Honey BBQ,5060030548465,,,['France'],[],[],,,,,,,,,?,,308,,1289 kj(308 kcal),,"3,2",,"1,3",,"39,6",,38,,"29,6",,"3,4",,"1,36",,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Polenta de tradition - 500g,3760101490380,,,['France'],[],[],,,,,,,,,?,,353,,1477 kj(353 kcal),,"1,4",,0,,81,,0,,"7,3",,0,,0,,,,,,,,,,,,,['Fabriqué en Italie'],500 g,,,,,,,,,,,,,
292,Cantal,2467431024735,,,['France'],[],[],,,,,,,,,?,,371,,1552 kj(371 kcal),,"30,3",,19,,"0,18",,"0,01",,"24,7",,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,"['FR 16.141.001 CE', 'Fontenille (Charente, France)']",,,,,,,
293,Salade de fruits de mer -  - 200g,8410972150559,,['Produits de la mer'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,,,
294,Jambon supérieur cuit,39248534,,,['France'],[],[],,,,,,,,,?,,129,,540 kj(129 kcal),,4,,1,,0,,0,,22,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Liademans Framboise,5411223100982,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Saucisson de l'île de beauté,2658952033065,,,['France'],[],[],,,,,,,,,?,,381,,1594 kj(381 kcal),,28,,12,,"0,6",,0,,33,,"5,2",,"2,08",,,,,,,,,,,,,,,,,,,,['FR 2B.332.001 CE'],,,,,,,
297,BIO Bouchée Choco no gluten & vegan,6344387876242,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'BE-BIO-01', 'Agriculture UE/Non UE']",,,,,,,,,,,,,,
298,Confiture de pêche jaune - 225g,3760124232349,,,['France'],[],[],,,,,,,,,?,,235,,983 kj(235 kcal),,"0,13",,"0,01",,58,,58,,"0,43",,"0,26",,"0,104",,,,,,,,,,,,,,225 g,,,,,,,,,,,,,
299,Crème glacée menthe,3760169278814,,,['France'],[],[],,,,,,,,,?,,733,,3067 kj(733 kcal),,"9,3",,"3,9",,"20,4",,"18,4",,"2,1",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Crème glacée menthe,3760169278814,,,['France'],[],[],,,,,,,,,?,,733,,3067 kj(733 kcal),,"9,3",,"3,9",,"20,4",,"18,4",,"2,1",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Liqueur de violette,3376370095975,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Rôtie de porc cuit à l'ancienne,2448679028600,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,
303,Bandol - Les Lys d'Or,3417340200392,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Glace,0645760019956,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,Rillettes de canard,3760117331271,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",['France'],[],[],30 g,en quantité élevée,8.15 g,en quantité élevée,0 g,en faible quantité,1.39 g,en quantité modérée,?,,335,-16%,1402 kj(335 kcal),-17%,30,-18%,"8,15",-35%,"2,77",+379%,0,-100%,14,-14%,"1,39",+1%,"0,556",+1%,18,-7%,D,-7%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,,,
306,Picodon aop,3589110392207,,,['France'],[],[],,,,,,,,,?,,300,,1255 kj(300 kcal),,24,,20,,1,,1,,20,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,"['FR 69.273.010 CE', 'Corbas (Rhône, France)']",,,,,,,
307,Filets de maqureau fumé à la mexicaine,2316761002640,,,['France'],[],[],,,,,,,,,?,,305,,1276 kj(305 kcal),,"23,7",,"5,5",,"2,1",,"0,4",,"21,1",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Fleur de sel d'oleron,3760058540671,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Slade niçoise,8426920010271,,,['France'],[],[],,,,,,,,,?,,135,,565 kj(135 kcal),,"8,9",,1,,"7,3",,"2,8",,"5,9",,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Eau de fleurs  d'oranger,6194048700016,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Gênoise aux fraises,3276550654292,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Thon en salade - Leclerc,2629454013053,,,['France'],[],[],,,,,,,,,?,,160,,669 kj(160 kcal),,"9,8",,"0,8",,"9,2",,"4,6",,"8,1",,"0,65",,"0,26",,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,
313,Fresquito magic - Fiesta,8411402182553,,,['France'],[],[],,,,,,,,,?,,393,,1644 kj(393 kcal),,0,,0,,"99,9",,"68,8",,0,,0,,0,,,,,,,,,,,,,,,['Fiesta'],,,,,,,,,,,,
314,Le Fruit De Monin Cerise 1L,3052911236914,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Monin'],,,,,,,,,,,,
315,Café moulu pur arabica,3353900125029,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Mélange pour piña colada,3491955354855,,,['France'],[],[],,,,,,,,,?,,420,,1757 kj(420 kcal),,8,,5,,84,,76,,1,,"0,175",,"0,07",,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Valencay Blanc 12° -75cl,3539414120037,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Fat Binder - MyProtein,5056104504291,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['MyProtein'],,,,,,,,,,,,
319,Fiambre de peru,5601119956919,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,"My Thermo X-treme, 100G Entspricht 1 Kapsel",5055936832367,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Rillettes pur canard,3547170000036,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,,,
322,Chocolat,3664206000485,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Fusilli - Carrefour - 500g,07858789,,,['France'],[],[],,,,,,,,,?,,354,,1481 kj(354 kcal),,"1,5",,0,,72,,"3,5",,12,,"0,03",,"0,012",,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",500 g,['Carrefour'],,,['Carrefour'],,,,,,,,,
324,Ketchup - La Vie Claire - 560g,3266191026770,,,['France'],[],[],,,,,,,,,?,,117,,490 kj(117 kcal),,"0,3",,"0,1",,"28,2",,"21,7",,"1,5",,"2,5",,1,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",560 g,['La Vie Claire'],,,['La Vie Claire'],,,,,,,,,
325,Merguez,2422671042833,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Tortillons - ArruaBarrena,8413760003051,,,['France'],[],[],,,,,,,,,?,,561,,2347 kj(561 kcal),,32,,15,,60,,20,,"4,8",,"0,8",,"0,32",,,,,,,,,,,,,,,['ArruaBarrena'],,,,,,,,,,,,
327,Blue Sin Alcohol,8412141201468,,,['France'],[],[],,,,,,,,,?,,47,,197 kj(47 kcal),,"0,5",,"0,1",,"11,8",,"10,8",,0,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Saucisses volaille aux herbes,2266539043422,,,['France'],[],[],,,,,,,,,?,,119,,498 kj(119 kcal),,"2,8",,"0,7",,"3,5",,"0,3",,20,,"1,4",,"0,56",,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,
329,4 coquilles aux fruits de mer & au poisson,3325710132047,,,['France'],[],[],,,,,,,,,?,,105,,439 kj(105 kcal),,"5,3",,"3,6",,"7,5",,"3,3",,"7,1",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Snapple pink lemonade,0076183003299,,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Limonades', 'Boissons avec sucre ajouté']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,49 g,en quantité élevée,0 g,en faible quantité,?,,210,+577%,879 kj(210 kcal),+598%,0,-100%,0,-100%,49,+555%,49,+571%,0,-100%,0,-100%,0,-100%,20,+96%,E,+96%,,,,,,,,['en:gluten-free'],,['Snapple'],,,,,,,,,,,,
331,Doony's chocolat,0209429014432,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Nestlé naturnes pomme,4613248488439,,,['France'],[],[],,,,,,,,,?,,55,,230 kj(55 kcal),,"0,1",,0,,"12,2",,"11,8",,"0,3",,0,,0,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Sans sucre ajouté', 'PL-EKO-07']",,['Nestlé'],,,,,,,,,,,,
333,Potage poireaux pommes de terre,4002999012299,,,['France'],[],[],,,,,,,,,?,,318,,1331 kj(318 kcal),,"6,1",,"3,8",,"50,9",,"3,8",,"11,9",,"14,75",,"5,9",,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Koriander,4311527620111,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['döschen'],,,,,,,,,,,
335,Pâtes grecques traditionnelles à la tomate - Supersec,5425033150327,,,['France'],[],[],,,,,,,,,?,,341,,1427 kj(341 kcal),,"1,92",,"0,2",,"76,2",,2,,"12,3",,"0,002",,"0,001",,,,,,,,,,,,,,,['Supersec'],,,,,,,,,,,,
336,Vodka et caramel - Rushkinoff,8414037927063,C,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Vodkas']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,,['Rushkinoff'],,,,,,,,,,,,
337,Creme glacé,3760092343924,,,['France'],[],[],,,,,,,,,?,,173,,724 kj(173 kcal),,"7,4",,"4,4",,"22,1",,"20,3",,"4,4",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Victorine jus d'orange bio,5404023471109,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,
339,Limonade Artisanale Peche Blanche,3760229200021,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Pop corn caramel,3760018851465,,,['France'],[],[],,,,,,,,,?,,415,,1736 kj(415 kcal),,"4,4",,"0,5",,89,,59,,3,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Escargotine à la bourguignonne,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Escargots au court-bouillol,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Life Super Fruit Detox Grape-Apple-Orange-Pomegranate,5201037404136,,,['France'],[],[],,,,,,,,,?,,60,,251 kj(60 kcal),,"0,1",,0,,14,,"13,5",,"0,8",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Esc'apero,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Terrines d'escargots au ratafia,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,L'instinct Bio,3770002635131,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,
347,Amandes décortiquées,2600112048082,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Amandes', 'Amandes décortiquées']",['France'],[],[],49.9 g,en quantité élevée,3.8 g,en quantité modérée,4.2 g,en faible quantité,0.01 g,en faible quantité,?,,645,+3%,2699 kj(645 kcal),+3%,"49,9",-3%,"3,8",-5%,"21,5",+64%,"4,2",+7%,"21,1",-6%,"0,01",-57%,"0,004",-57%,1,,B,,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,,,,,,,,,,,
348,Goral,8696000002919,,,['France'],[],[],,,,,,,,,?,,453,,1895 kj(453 kcal),,16,,"4,9",,65,,16,,12,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Pomme de terre - Nouvelle récolte à chair ferme CHERIE,26086125,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Chapli Kabab,0788821036025,,,['France'],[],[],,,,,,,,,?,,300,,1255 kj(300 kcal),,10,,0,,50,,0,,10,,30,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,"Kvas - Steinhauser - 1,5l",9581727600144,,"['Boissons', 'Produits fermentés', 'Boissons fermentées', 'Kvass']",['France'],"['Eau', 'sucre', ""jus de pomme concentré 3,6% extrait de malt d'orge 1,8%"", 'acide carbonique', ""extrait d'acacia"", 'régulateur acide: acide citrique', 'levure', 'agent antioxydant : acide ascorbique']",[],0 g,en faible quantité,0 g,en faible quantité,6.2 g,en quantité modérée,0 g,en faible quantité,119,-59%,?,,119 kj(28 kcal),-58%,0,-100%,0,-100%,"6,9",-31%,"6,2",-35%,"0,07",-98%,0,-100%,0,-100%,9,-40%,D,-40%,,,,,,,,,"1,5l","['Steinhauser', 'Monolith']",['Bouteille plastique'],,,4,,,['Lettonie'],,,"['E290 - Dioxyde de carbone', 'E330 - Acide citrique']",,
352,Espérelles de Petit Épeautre,3770004412327,,,['France'],[],[],,,,,,,,,?,,389,,1628 kj(389 kcal),,"2,1",,"0,3",,"78,8",,"5,7",,"13,7",,"0,1",,"0,04",,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,
353,Huile d'olive arome basilic,3700389714709,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,Kvas monactypckii,4038745602186,,,['France'],[],[],,,,,,,,,?,,30,,126 kj(30 kcal),,0,,0,,"7,6",,"7,6",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,Tartinable aux tomates Bio - Domaine des terres rouges,3435567000625,,,['France'],[],[],,,,,,,,,?,,532,,2226 kj(532 kcal),,53,,"5,8",,"6,7",,"6,2",,"5,3",,"4,4",,"1,76",,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['Domaine des terres rouges'],,,,,,,,,,,,
356,Saucisson de Lacaune,3322982507603,,,['France'],[],[],,,,,,,,,?,,416,,1741 kj(416 kcal),,25,,"9,3",,"1,7",,1,,"27,6",,"4,7",,"1,88",,,,,,,,,,,,,,,,,,,,,,,,,,,
357,Mojo Verde Suave,84352958,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Nougat tendre Amandes et Noisettes,3486729002247,,,['France'],[],[],,,,,,,,,?,,415,,1736 kj(415 kcal),,16,,"1,19",,70,,58,,"6,55",,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Maxibon - Nestlé,8000309654395,,,['France'],[],[],,,,,,,,,?,,334,,1397 kj(334 kcal),,"15,7",,"12,1",,"43,5",,"25,6",,4,,"0,24",,"0,096",,,,,,,,,,,,,,,['Nestlé'],,,,,,,,,,,,
360,Galette De Riz 16CM Pour Nems Jeune Fille Vietnam 500G,3387370845422,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Gozio Amaretto,8002020008105,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Rose sorbet sirop,4792040080215,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Liquirizia danese,5710858001276,,,"['France', 'Pays-Bas']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Chocolate,8718564310146,,,"['France', 'Pays-Bas']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Tablette'],,,,,,,,,,,
365,Saucisses de porc noir confites,3760039286802,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Maroilles à La Bierre Aoc 26% - 760g,3340040000439,,,['France'],[],[],,,,,,,,,?,,340,,1423 kj(340 kcal),,26,,17,,"0,5",,"0,5",,"22,6",,"2,2",,"0,88",,,,,,,,,,,,,,760 g,,,,,,,,,,,,,
367,Swedish liquorice,7350059552023,,,"['France', 'Pays-Bas']",[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,
