,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,manufacturing,traceability_code,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,additives,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,link,palm_ingredients,producer_info
1911,Perl'amande Amandelmelk Chocolade Glutenvrij Bio 3X200ML - 3x 200ml,3267110008273,,3 x 200 ml,,"[""Perl'Amande""]",,"['Végétarien', 'Sans gluten', 'Végétalien', 'Fabriqué en France', 'en:The Vegan Society']",,,,['France'],[],,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,84,,351 kj(84 kcal),,"3,8",,"0,4",,"10,9",,"8,9",,"1,65",,"0,025",,"0,01",,,,,,,,,,,,,,,,,,
1912,Amandina - 50cl,3267110488327,,50 cl,,,,"['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'FR-BIO-01', 'Fabriqué en France']",,,,['France'],[],,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,256,,1071 kj(256 kcal),,"4,1",,"0,4",,"4,3",,"3,4",,"1,6",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,
1913,Quatre quarts,3267114801085,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,443,,1854 kj(443 kcal),,25,,15,,48,,27,,"6,3",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,
1914,Tartinde de sesam - Perl Amande,3267119009677,,,,['Perl Amande'],,"['Bio', 'Végétarien', 'Sans gluten', 'Végétalien']",,,,['France'],"[""maïs et raplae pour D'UTILISATION : Sur une tartine ou dans les DE SESAME : Sésame* 32 %"", 'Sucre roux de canne* Eau ISirtr•', 'luten,Amïïdëï7', ""Maltodextrine* Sirop de mali's* *Issus fruits à coque - Sar lactose"", 'ni gluten', ""A et à l'abri de l'humidit"", ' et de la lumière', ' Convient a,: et végétalien', ' préférence avant / *üehoudbaar tot / Mindestens haltbar bis :']",['Graines de sésame'],"['Végétalien', 'Végétarien']",,,,,,,,,,?,,399,,1669 kj(399 kcal),,"19,7",,"2,6",,"47,2",,"40,6",,"6,9",,"0,12",,"0,048",,,,,,,,,,,,,,,,,,
1915,Pâte à tartiner au cacao noisettes,3267119009738,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']","['Bio', 'en:gluten-free', 'Sans lactose']",,,,['France'],[],,[],,42.6 g,en quantité élevée,12.9 g,en quantité élevée,37 g,en quantité élevée,0.05 g,en faible quantité,?,,580,+6%,2427 kj(580 kcal),+6%,"42,6",+25%,"12,9",+68%,"38,5",-25%,37,-22%,"6,6",-3%,"0,05",-51%,"0,02",-51%,25,+21%,E,+21%,D,,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,,,,
1916,Sirop de sucre de canne -,3267130017378,,,,,['Sirops'],,,,,['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,84 g,en quantité élevée,,,?,,336,+31%,1406 kj(336 kcal),+28%,0,-100%,0,-100%,84,+29%,84,+37%,0,-100%,,,,,,,,,,,,,,,,,,,,,
1917,Puree de noisette,3267154444884,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques', 'Purées de noisette']","['Bio', 'Végétarien', 'en:gluten-free', 'Végétalien', 'Sans lactose']",,,,['France'],[],,"['Végétalien', 'Végétarien']",,62 g,en quantité élevée,4.2 g,en quantité modérée,4.3 g,en faible quantité,0.025 g,en faible quantité,?,,662,-0%,2770 kj(662 kcal),-0%,62,+3%,"4,2",-13%,"5,7",-48%,"4,3",-42%,"15,7",+5%,"0,025",-12%,"0,01",-12%,12,+66%,D,+66%,,,,,,,,,,,,,
1918,Filet de Cabillaud - Gineys - 300g,3267180064414,,300 g,,['Gineys'],"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Morues', 'Filets de cabillaud']",,,,,['France'],[],,[],,0.6 g,en faible quantité,0.14 g,en faible quantité,0 g,en faible quantité,,,?,,80,-32%,335 kj(80 kcal),-29%,"0,6",-80%,"0,14",-66%,0,-100%,0,-100%,19,+22%,,,,,,,,,E,,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,,,,
1919,"Crepes geantes jambon emmental GINEY'S, 6 pieces -",3267180069051,,,,,"['Plats préparés', 'Crêpes au fromage', 'Crêpes au jambon']",,,,,['France'],[],,[],,5.7 g,en quantité modérée,1.1 g,en faible quantité,4.3 g,en faible quantité,1.1 g,en quantité modérée,?,,154,-10%,644 kj(154 kcal),-9%,"5,7",-16%,"1,1",-55%,"20,1",+12%,"4,3",+33%,"5,1",-32%,"1,1",+15%,"0,44",+15%,3,-20%,C,-20%,B,,57.1%,15.7%,5.5%,6.6%,3.2%,11.9%,79,,,,
1920,Vanille Bourbon - Histoires De Glaces,3267180295825,,,,['Histoires De Glaces'],,,,,,['France'],[],,[],,,,,,,,,,?,,207,,866 kj(207 kcal),,12,,"7,6",,19,,15,,"4,6",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,
