,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,manufacturing,traceability_code,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,additives,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,link,palm_ingredients,producer_info
155,Pastilles miel de thym - 200g,3263626266220,,200 g,,,,,,,,['France'],[],,[],,,,,,,,,,?,,396,,1657 kj(396 kcal),,"0,5",,"0,1",,97,,66,,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,
156,Bonbons Framboises Myrtilles - Famille Perronneau,3263626459714,,,,['Famille Perronneau'],,['Bio'],,,,['France'],"['Bonbons au Miel Saveur Myrtille Framboise BIC', ' IngrédÈnts ', ' sucre* ', 'sirop de glucose* ', 'miel 10%* ', ' acide citrique', 'arômes naturels', 'ius concentré de carotte pourpre', ""jus de sureau *ingrédients issus de l'agriculture biologique"", ' Peut contenir des traces de lait et fruits à coque', ' À conservé a l’abri de la chaleur et de L’humidité']",,['Non végétalien'],4,,,,,,,,,?,,392,,1640 kj(392 kcal),,"0,5",,"0,1",,96,,76,,"0,5",,"0,01",,"0,004",,,,,,,['E330 - Acide citrique'],,,,,,,,,,,
157,Bonbons Crocodiles -  - 120g,3263626462325,,120 g,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés', 'Crocodiles gélifiés']",,,,,['France'],[],,[],,0.5 g,en faible quantité,0.2 g,en faible quantité,60 g,en quantité élevée,0.024 g,en faible quantité,?,,324,-4%,1356 kj(324 kcal),-4%,"0,5",+37%,"0,2",+147%,77,-2%,60,+10%,"4,5",-14%,"0,024",-66%,"0,01",-66%,14,+1%,D,+1%,E,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,
158,Bonbons Fraises 120G -,3263626462523,,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,,['France'],[],,[],,3 g,en quantité modérée,1 g,en faible quantité,65 g,en quantité élevée,0.1 g,en faible quantité,?,,340,-4%,1423 kj(340 kcal),-5%,3,+61%,1,-6%,"79,9",-4%,65,+12%,"4,4",+108%,"0,1",-17%,"0,04",-17%,14,-3%,D,-3%,E,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,
159,Bonbons Sapin Vert 120G,3263626463728,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,327,,1368 kj(327 kcal),,0,,0,,76,,65,,"5,6",,0,,0,,,,,,,,,,,,,,,,,,
160,Anneaux pêche au miel,3263626463827,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,332,,1389 kj(332 kcal),,"0,5",,"0,1",,78,,68,,5,,"0,026",,"0,01",,,,,,,,,,,,,,,,,,
161,Bonbons Perles Plantes Des Montagnes 120G,3263626464022,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,386,,1615 kj(386 kcal),,0,,0,,"95,3",,"62,3",,"0,1",,,,,,,,,,,,,,,,,,,,,,
162,Bonbons Pastille Menthe Bio 120G,3263626464213,,,,,,['Bio'],,,,['France'],[],,[],,,,,,,,,,?,,396,,1657 kj(396 kcal),,"0,5",,"0,1",,97,,77,,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,
163,Bonbons Pastille Menthe Fraîche 120G -,3263626464220,,120g,,,,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
164,BONBONS PERLES a LA SEVE DE PIN - Perle Sève De Pin,3263626464916,,,,['Perle Sève De Pin'],,['Bio'],,,,['France'],['Sève de Pin'],,[],,,,,,,,,,?,,396,,1657 kj(396 kcal),,"0,5",,"0,1",,97,,77,,"0,5",,0,,0,,,,,,,,,,,,,,,,,,
165,Bonbons Tranches Orange Citron 120G - Apidis,3263626466620,,,,['Apidis'],,,,,,['France'],"['Tranches orange citron : sucre de canne', 'sirop de glucose', 'miel 12%', 'acidifiant : acide citrique', ""arômes d'origine naturelle : citron"", 'orange', 'colorants naturels : curcumine', 'extrait de paprika']",,['Non végétalien'],4,,,,,,,,,?,,386,,1615 kj(386 kcal),,0,,0,,"95,3",,"62,3",,"0,1",,0,,0,,,,,,,"['E330 - Acide citrique', 'E100 - Curcumine', 'E160c - Extrait de paprika']",,,,,,,,,,,
166,Berlingots assortis - gabriel perronneau,3263626467924,,,,['gabriel perronneau'],,,,,,['France'],"['Sucre', 'sirop de g ucose', 'miel /0%', 'acidifiant : acide citrique', 'atome naturel', 'colorant : rouge de betterave', 'Bouquet de Violettes ', ' Ingrédients : Sucre', ""sirop de glucosel miel' 10%"", 'acidifiant : acide citrique', 'natutel', 'colorants : carmins', 'charbon végétalz \\ Peti!tes au miel u Ingrédients : Sucre', 'sirop de mie', ' menthe fraîcheur : Ingrédients ', ' Sucre', 'glucose', 'miel', '10%} arôme naturel', 'aromatisante naturelle : menthol', 'es f""ontagnes : Ingrédients ecoset arôme naturel', ' sucre', 'sirop de naturel', 'colorant']",,"['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,386,,1615 kj(386 kcal),,0,,0,,"95,3",,"62,3",,"0,1",,0,,0,,,,,,,"['E330 - Acide citrique', 'E162 - Rouge de betterave', 'E120 - Acide carminique']",,,,,,,,,,,
167,Coquelicots au miel,3263626475226,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,386,,1615 kj(386 kcal),,0,,0,,"95,3",,"62,3",,"0,1",,,,,,,,,,,,,,,,,,,,,,
168,Confiture Ananas Coco Au Miel,3263627971062,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits tropicaux', ""Confitures d'ananas""]",,,,,['France'],[],,[],,0.1 g,en faible quantité,0.1 g,en faible quantité,59.5 g,en quantité élevée,,,?,,242,+5%,1013 kj(242 kcal),+5%,"0,1",-78%,"0,1",+53%,"59,7",+7%,"59,5",+11%,"0,2",-54%,,,,,,,,,D,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,
169,Confiture Cassis - Les Ruchers De Bourgogne,3263627973066,,,,['Les Ruchers De Bourgogne'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de cassis']",,,,,['France'],"['Cassis au miel 45<1 de fruits VX', 'ur 100g / Teneur tote Sucre canne', ' cassis 45%', 'riel 6%', 'Peut server au frais']",,[],,0 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,0 g,en faible quantité,?,,257,+12%,1075 kj(257 kcal),+12%,0,-100%,0,-100%,62,+14%,59,+14%,"0,4",-34%,0,-100%,0,-100%,12,+30%,D,+30%,D,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,
170,Confiture Kiwi Pomme Au Miel - L'Abeille Diligente - 375g,3263627973165,,375 g,,"[""L'Abeille Diligente"", 'Apidis']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures multifruits']",,,,,['France'],[],,[],,1.7 g,en faible quantité,0.1 g,en faible quantité,56.6 g,en quantité élevée,0 g,en faible quantité,?,,225,+4%,941 kj(225 kcal),+3%,"1,7",+469%,"0,1",+93%,"58,4",+12%,"56,6",+12%,"0,7",+28%,0,-100%,0,-100%,11,+15%,D,+15%,D,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,
171,Confiture Abricots - Finabeil,3263627974063,,,,['Finabeil'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",,,,,['France'],[],,[],,0.1 g,en faible quantité,0 g,en faible quantité,60 g,en quantité élevée,,,?,,249,+14%,1042 kj(249 kcal),+14%,"0,1",-56%,0,-100%,61,+15%,60,+19%,5,+896%,,,,,,,,,B,,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,
172,Spécialité au citron - meringue miel - Finabeil,3263627975268,,,,['Finabeil'],,,,,,['France'],[],,[],,,,,,,,,,?,,260,,1088 kj(260 kcal),,"4,9",,"0,4",,"48,9",,"48,3",,"2,6",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,
173,Miel d'eucalyptus - Famille Perronneau - 375g,3263628006060,,375g,,"['Famille Perronneau', 'Apidis']","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'eucalyptus""]",,['France'],,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,['Espagne'],,,
174,Miel de citronnier - Les Ruchers de Bourgogne - 375g,3263628019060,,375 g,"['Pot', 'Verre']",['Les Ruchers de Bourgogne'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'agrumes"", 'Miels de citronnier']",,['France'],,,['France'],['Miel de citronnier'],,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,A,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,['Espagne'],,,
175,Miel de romarin - Famille Perronneau,3263628025016,,,['Pot en verre'],"['Famille Perronneau', 'Apidis']","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de romarin']","['Bio', 'Bio européen', 'Agriculture Espagne']",,,,['France'],['miel'],,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,A,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,['Espagne'],,,
176,Miel de pommier - Famille Perronneau,3263628031666,,,,"['Famille Perronneau', 'Finabeil']","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de pommier']",,,,,['France'],['Valeurs PGüf Conservatton +6QC'],,[],,2 g,en faible quantité,0.8 g,en faible quantité,6 g,en quantité modérée,0.1 g,en faible quantité,?,,57,-80%,238 kj(57 kcal),-80%,2,+1735%,"0,8",+2062%,6,-92%,6,-91%,"4,2",+1188%,"0,1",+517%,"0,04",+517%,,,,,B,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,
177,Miel de thym - Famille Perronneau,3263628032014,,,,"['Famille Perronneau', 'Apidis']","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de thym']","['Bio', 'Bio européen', 'FR-BIO-01']",,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,
178,Miel de Lorraine - Famille Perronneau - 375g,3263628037163,,375 g,,['Famille Perronneau'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français']",,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,['France'],,,
179,Miel & Epices Traversée Nordique - Apidis,3263628190110,,,,['Apidis'],,,,,,['France'],[],,[],,,,,,,,,,?,,327,,1368 kj(327 kcal),,"0,06",,0,,"81,1",,"79,1",,"0,4",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,
180,Miel  & épices,3263628190615,,,,,,['Bio'],,,,['France'],[],,[],,,,,,,,,,?,,327,,1368 kj(327 kcal),,"0,06",,0,,"81,1",,"79,1",,"0,4",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,
181,Miel et epices periple Indonésien,3263628190714,,,,,,['Bio'],,,,['France'],[],,[],,,,,,,,,,?,,327,,1368 kj(327 kcal),,"0,06",,"0,001",,"81,1",,"79,1",,"0,4",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,
182,n 5 miel & epieces,3263628190769,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,327,,1368 kj(327 kcal),,"0,06",,0,,"81,1",,"79,1",,"0,4",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,
183,N°6 MIEL & ÉPICES,3263628190868,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,327,,1368 kj(327 kcal),,"0,6",,0,,"81,1",,"79,1",,"0,4",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,
184,Assortiment miels - L'Abeille Diligente - 250g (5x 50g),3263628689362,,250 g (5 x 50 g),"['Carton', 'Pots', 'Verre']","[""L'Abeille Diligente""]","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,
185,Boules fourrées au miel d'Acacia,3263628860266,,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Produits de la ruche', 'Bonbons', 'Bonbons au miel', ""Bonbons au miel d'Acacia"", ""Boules fourrées au miel d'Acacia""]",,,,,['France'],[],,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,66 g,en quantité élevée,0.01 g,en faible quantité,?,,400,+4%,1674 kj(400 kcal),+4%,"0,5",+79%,"0,1",+13%,98,+4%,66,-5%,"0,5",+19%,"0,01",-50%,"0,004",-50%,14,+1%,D,+1%,E,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,
186,Boules fourrées au miel de chataignier - Famille Perronneau,3263628860365,,,,['Famille Perronneau'],,,,,,['France'],"['Bonbons au miel: Sucre', 'sirop de glucose', 'miel de châtaignier 10%', '  peut Contenir des traces de lait et de fruits à coque']",,['Non végétalien'],4,,,,,,,,,?,,400,,1674 kj(400 kcal),,"0,5",,"0,1",,98,,66,,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,
187,Pain d'épices au miel poire caramel vanille - Le Bon Miel - 300g,3263628865322,,300 g,['Plastique'],['Le Bon Miel'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices"", 'Prianiki']",,,,,['France'],"['Sirop de glucose-fructose', 'farine de seigle', 'miel ', '10 %', 'poire ', '7 %', ' ', 'sirop de fructose-glucose', 'purée de poire concentrée', 'sucre', 'humectant : glycérol', 'fibre de blé', 'graisse végétale', 'amidon de riz', 'gélifiant : pectine', ""correcteur d'acidité : acide malique"", 'arômes', 'antioxydant : acide ascorbique', 'caramel ', '6 %', 'fruit ', 'purée de pomme', 'fibre de pommes', 'sucrose', 'sirop de glucose', 'farine de riz', 'sirop de fructose', 'sirop de caramel', 'crème en poudre', 'arôme', 'graisse végétale', 'agent gélifiant : pectine', 'lait condensé', 'poudres à lever ', 'carbonate acide de sodium', 'diphosphate disodique', 'bourbon vanille ', '0,1 %', ' ', 'sucre', 'bourbon vanille', ' et arômes']",['Gluten'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,1.6 g,en faible quantité,0.7 g,en faible quantité,41.9 g,en quantité élevée,0.53 g,en quantité modérée,?,,329,-1%,1377 kj(329 kcal),-1%,"1,6",-20%,"0,7",+3%,"73,9",+2%,"41,9",-2%,"2,7",-24%,"0,53",+14%,"0,212",+14%,15,+14%,D,+14%,B,"['E422 - Glycérol', 'E440 - Pectines', 'E296 - Acide malique', 'E300 - Acide ascorbique', 'E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide']",61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,
188,Pain d'epice au miel,3263628865704,,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",,,,,['France'],[],,[],,0.4 g,en faible quantité,0.1 g,en faible quantité,36.6 g,en quantité élevée,0.5 g,en quantité modérée,?,,287,-15%,1201 kj(287 kcal),-15%,"0,4",-89%,"0,1",-92%,"65,5",-7%,"36,6",-10%,3,-31%,"0,5",+15%,"0,2",+15%,13,-8%,D,-8%,B,,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,
189,Bonbons au Miel de Sapin,3263628866466,,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Produits de la ruche', 'Bonbons', 'Bonbons au miel']",,,,,['France'],[],,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,66 g,en quantité élevée,0.01 g,en faible quantité,?,,400,+4%,1674 kj(400 kcal),+4%,"0,5",+79%,"0,1",+13%,98,+4%,66,-5%,"0,5",+19%,"0,01",-50%,"0,004",-50%,14,+1%,D,+1%,E,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,
190,Moutarde forte au miel,3263628869061,,,"['Bocal', 'Verre']",,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,,,,['France'],[],,[],,10.8 g,en quantité modérée,0.7 g,en faible quantité,9.5 g,en quantité modérée,5.7 g,en quantité élevée,?,,752,+342%,3146 kj(752 kcal),+343%,"10,8",0%,"0,7",-15%,"10,8",+57%,"9,5",+146%,"6,8",+4%,"5,7",+21%,"2,28",+21%,21,+81%,E,+81%,B,,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,
191,Moutarde au miel crème de cassis,3263628869269,,,"['Bocal', 'Verre']",,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes au miel']",,,,,['France'],[],,[],,9.6 g,en quantité modérée,0.6 g,en faible quantité,8.7 g,en quantité modérée,3.6 g,en quantité élevée,?,,183,-15%,766 kj(183 kcal),-14%,"9,6",-5%,"0,6",-18%,"10,1",-42%,"8,7",-40%,"6,8",+21%,"3,6",-0%,"1,44",-0%,13,-8%,D,-8%,B,,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,
192,Moutarde,3263628869467,,,"['Bocal', 'Verre']",,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,,,,['France'],[],,[],,13.6 g,en quantité modérée,1.1 g,en faible quantité,5.6 g,en quantité modérée,5.8 g,en quantité élevée,?,,191,+12%,799 kj(191 kcal),+13%,"13,6",+26%,"1,1",+34%,7,+1%,"5,6",+45%,"6,9",+5%,"5,8",+23%,"2,32",+23%,14,+21%,D,+21%,B,,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,
193,Confit d'oignons au miel - Famille Perronneau,3263628869566,,,,['Famille Perronneau'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Plantes condimentaires', 'Produits à tartiner salés', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Oignons et dérivés', ""Confits d'oignons""]",,,,,['France'],"['Oignons 66%', 'sucre de canne', 'miel 7%', 'vinaigre de vin rouge ', 'sulfites', 'sel', 'gélifiant : pectine de fruits', 'gingembre', ' Peut contenir des traces de lait et de fruits à coque']",['Anhydride sulfureux et sulfites'],"['Sans huile de palme', 'Non végétalien']",4,0.6 g,en faible quantité,0 g,en faible quantité,34 g,en quantité élevée,1.1 g,en quantité modérée,?,,154,-8%,644 kj(154 kcal),-9%,"0,6",-63%,0,-100%,36,+3%,34,+5%,"0,9",-10%,"1,1",+76%,"0,44",+76%,10,+52%,C,+52%,,['E440 - Pectines'],,,,,,,,,,,
194,Moutarde au miel - Famille Perronneau,3263628869764,,,,['Famille Perronneau'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,,,,['France'],"['Graines de moutarde', 'miel 10%', ""vinaigre d'alcool,5 eau"", 'sel', 'sucre', 'épices 0,6%', 'acidifiant ', ""acide' citrique"", 'conservateur ', ""disulfite'de botassium""]",['Moutarde'],['Non végétalien'],3,10.4 g,en quantité modérée,0.7 g,en faible quantité,12.5 g,en quantité modérée,5.5 g,en quantité élevée,?,,187,+10%,782 kj(187 kcal),+10%,"10,4",-4%,"0,7",-15%,"13,7",+99%,"12,5",+224%,"6,5",-1%,"5,5",+17%,"2,2",+17%,14,+21%,D,+21%,B,['E330 - Acide citrique'],57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,
195,Confiture de Lait au miel - Famille Perronneau,3263628871767,,,,['Famille Perronneau'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Confitures de lait']",,,,,['France'],[],,[],,3.4 g,en quantité modérée,1.9 g,en quantité modérée,57 g,en quantité élevée,0.34 g,en quantité modérée,?,,289,-3%,1209 kj(289 kcal),-2%,"3,4",-39%,"1,9",-41%,58,+5%,57,+12%,"7,2",+11%,"0,34",+1%,"0,136",+1%,15,-10%,D,-10%,B,,46.2%,16.3%,23.6%,9.1%,3.8%,1.0%,85,,,,
196,Pate a tartiner chocolat noisette - Famille Perronneau,3263628873426,,,,['Famille Perronneau'],,['en:palm-oil-free'],,,,['France'],"['Sucre', 'huile coprah', 'eau', 'noisettes 9%', 'cacao maigre 6%', 'lait écrémé ', ' en Poudre', 'miel 5%', 'chocolat 3% ', 'sucre pâte de cacao 44,5%', 'b', ""eurre' de cacao 1%"", 'émulsifiant : ecithine de soja', 'vanilline', 'atomes naturels', 'sel', ' PA M L']","['Lait', 'Fruits à coque']","['Sans huile de palme', 'Non végétalien']",4,,,,,,,,,?,,473,,1979 kj(473 kcal),,"32,5",,"24,3",,"38,9",,"36,1",,5,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,
197,Bonbon au miel saveur coquelicot - Famille Perronneau,3263628875260,,,,['Famille Perronneau'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Produits de la ruche', 'Bonbons', 'Bonbons au miel']",,,,,['France'],[],,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,65 g,en quantité élevée,0.01 g,en faible quantité,?,,392,+2%,1640 kj(392 kcal),+2%,"0,5",+79%,"0,1",+13%,96,+2%,65,-6%,"0,5",+19%,"0,01",-50%,"0,004",-50%,14,+1%,D,+1%,E,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,
198,Miel et pollen,3263628883562,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,329,,1377 kj(329 kcal),,"0,5",,"0,5",,80,,77,,"1,5",,0,,0,,,,,,,,,,,,,,,,,,
199,Preparation de miel et de propolis,3263628885665,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', 'Produits à tartiner sucrés', 'Édulcorants', 'Préparations à base de miel', 'Préparations à base de miel et propolis']",,,,,['France'],[],,[],,0.06 g,en faible quantité,0 g,en faible quantité,79 g,en quantité élevée,0.01 g,en faible quantité,?,,327,+3%,1368 kj(327 kcal),+2%,"0,06",-47%,0,-100%,"81,1",-1%,"79,01",+2%,"0,4",+44%,"0,01",-17%,"0,004",-17%,14,+3%,D,+3%,,,,,,,,,,,,,
200,Pistaches au miel - Famille Perronneau,3263628889762,,,,['Famille Perronneau'],,,,,,['France'],"['Miel 76%', 'Pistaches 24%']",['Fruits à coque'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,,?,,393,,1644 kj(393 kcal),,"11,2",,"1,3",,"64,5",,"61,4",,"6,3",,"0,11",,"0,044",,,,,,,,,,,,,,,,,,
201,Canne en sucre d'orge Ananas -  - 28g,3263629764303,,28 g,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', ""Sucres d'orge""]",,,,,['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,95 g,en quantité élevée,,,?,,380,-2%,1590 kj(380 kcal),-2%,0,-100%,0,-100%,95,-1%,95,+20%,0,-100%,,,,,,,,,E,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,
202,Canne Sucre Arc En Ciel Fraise 28G - Apidis,3263629791606,,,,['Apidis'],,,,,,['France'],"['Sirop de Glucose Acidifiant: acide Citroque Arôme Naturel: frajse', 'Colorants Naturels: curcumine', 'cochinille', 'bêta-carotène', 'anthocyanes', 'extrait d’ortie et d’épinard', 'spiruline concentré']",,"[""Pourrait contenir de l'huile de palme""]",4,,,,,,,,,?,,380,,1590 kj(380 kcal),,0,,0,,95,,95,,0,,0,,0,,,,,,,"['E100 - Curcumine', 'E160ai - Bêta-carotène', 'E163 - Anthocyanes']",,,,,,,,,,,
203,Nonettes au miel et à la mandarine - Famille Perronneau - 200g,3263629965045,,200 g,,['Famille Perronneau'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux fourrés', 'Nonnettes']",,,,,['France'],"['Farine de FROMENT', 'confiture de mandarine 26% ', 'sirop de glucose fructose', 'mandarine 35%"" saccharose', 'citrate trisodique,gélifiant pectines de fruits', 'miel 21%', 'sirop de sucre inverti', 'sucre', 'poudres à lever carbonates de sodium', 'carbonates ďammonium', 'acidifiants acide citrique', ""jaune d'OEUFS"", ""arôme naturel d'orange"", ' * % exprimé sur la confiture', "" Peut contenir des traces d'amandes et de lait""]","['Œufs', 'Gluten']",['Non végétalien'],4,1.7 g,en faible quantité,0.4 g,en faible quantité,35 g,en quantité élevée,0.34 g,en quantité modérée,?,,350,+3%,1464 kj(350 kcal),+3%,"1,7",-14%,"0,4",-4%,78,+3%,35,-23%,4,+8%,"0,34",-36%,"0,136",-36%,12,-20%,D,-20%,,"['E331iii - Citrate trisodique', 'E500 - Carbonates de sodium', 'E502 - Carbonates', 'E330 - Acide citrique']",,,,,,,,,,,
204,Nougat Blanc Au Miel Barre 100G,3263629968305,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,457,,1912 kj(457 kcal),,"17,7",,"1,5",,"64,8",,61,,8,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,
