,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,categories,manufacturing,eco_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,labels,traceability_code,ingredients_origins,markets,nova_score,additives,link,allergens,generic_name,brand_owner,producer_info,palm_ingredients
480,Foie gras de canard entier mi-cuit - Panache des Landes,3356650005313,['France'],[],[],?,485,2029 kj(485 kcal),"50,1","22,9","1,6",0,"6,9","1,2","0,48",,['Panache des Landes'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers', 'Foies gras mi-cuits']",,B,50.1 g,en quantité élevée,22.9 g,en quantité élevée,0 g,en faible quantité,1.2 g,en quantité modérée,,-8%,-7%,-8%,-1%,-32%,-100%,-0%,+3%,+3%,21,+2%,E,+2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,['Label Rouge'],,,,,,,,,,,
481,Mandeln smokey BBQ - Alesto,20937027,['France'],[],[],?,635,2657 kj(635 kcal),55,"4,6","6,8","5,3",24,"1,77","0,708",,['Alesto'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,Nougat aux cramberries - Les Vergers d'Escoute,3481010093980,['France'],[],[],?,0,0 kj(0 kcal),6,"0,6",80,53,3,"0,02","0,008",,"[""Les Vergers d'Escoute""]","['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats']",,E,6 g,en quantité modérée,0.6 g,en faible quantité,53 g,en quantité élevée,0.02 g,en faible quantité,,-100%,-100%,-64%,-70%,+22%,-3%,-58%,-73%,-73%,9,-44%,C,-44%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,
483,Epoisses -50% - Berthaut - 250g,29004621,['France'],[],[],?,291,1218 kj(291 kcal),24,17,0,0,18,"1,8","0,72",250g,['Berthaut'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte molle à croûte lavée', 'Époisses']",,D,24 g,en quantité élevée,17 g,en quantité élevée,0 g,en faible quantité,1.8 g,en quantité élevée,,+2%,+2%,+1%,+1%,-100%,-100%,+6%,-2%,-2%,15,-1%,D,-1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Frais'],['AOP'],,,,,,,,,,,
484,Pommes bio pinova,3760197582006,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
485,Miel de fleurs - Le Rucher du Florival - 500g,3770003188193,['France'],[],[],?,?,,?,,?,,?,,,500 g,['Le Rucher du Florival'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",['Buhl France'],B,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,['Bocal'],,,,,,,http://www.le-rucher-du-florival.fr,,,,,
486,Curry rouge pâte - Boni - 100G,5400141123982,"['Belgique', 'France']",[],[],?,386,1615 kj(386 kcal),"5,5","0,8","7,2","7,2","1,7","9,3","3,72",100G,['Boni'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pot'],,,,['Colruyt'],,,,,,,,
487,La madeleine coque chocolat - Maison Colibri - 240g,3700157510137,['France'],"['chocolat 33,3% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant: lécithine de tournesol', 'arôme', 'farine de blé', 'beurre pâtissier 14,9%', 'œufs frais 13,5%', 'sucre', 'sirop de glucose', 'stabilisants: sorbitols - glycérol', 'poudres à lever : diphosphates et carbonates de sodium ', 'blé', 'arôme naturel de vanille', 'sirop de sucre inverti', ""sel fin de l'Ile de Ré"", ' Traces de fruits à coque et soin']",['Non végétalien'],?,483,2021 kj(483 kcal),27,17,53,34,"5,3","0,42","0,168",240g,['Maison Colibri'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Madeleines', 'Madeleines au chocolat']",,D,27 g,en quantité élevée,17 g,en quantité élevée,34 g,en quantité élevée,0.42 g,en quantité modérée,,+8%,+8%,+15%,+155%,+2%,+20%,-7%,-45%,-45%,24,+30%,E,+30%,82.9%,10.9%,2.4%,2.5%,1.3%,0.0%,39,,['Fabriqué en France'],,,,4,"['E322i - Lécithine', 'E420 - Sorbitol', 'E422 - Glycérol', 'E450i - Pyrophosphate de sodium acide', 'E500 - Carbonates de sodium']",https://www.maison-colibri.com/produit/madeleine-chocolat/,"['Œufs', 'Gluten', 'Lait']",Madeleine aux oeufs frais moulée au chocolat,,,
488,Riegelein Weihnachts-mischbeutel 225G,4013900975152,['France'],[],[],?,457,1912 kj(457 kcal),21,13,62,55,"3,7","0,1","0,04",,['Riegelein'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,Miel cremeux - La Miellerie du Pays Charolais - 250g,3479550000506,['France'],[],[],?,?,,?,,?,,?,,,250 g,['La Miellerie du Pays Charolais'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels crémeux']",,B,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,['France'],,,,,,,,,
490,2 Délices myrtille mascarpone - Thiriet,3292590281656,['France'],[],[],?,127,531 kj(127 kcal),"2,4","1,6",24,19,"1,4","0,07","0,028",,['Thiriet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Thiriet'],,,,,,,,
491,Calve Pindakaas Creamy 350GR,8722700462996,['France'],[],[],?,663,2774 kj(663 kcal),58,"1,3",15,8,18,"0,43","0,172",,"['Calvé', 'Unilever']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
