,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,categories,manufacturing,eco_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,labels,traceability_code,ingredients_origins,markets,nova_score,additives,link,allergens,generic_name,brand_owner,producer_info,palm_ingredients
992,Saucisson Cuit Fumé,3266110500695,['France'],[],[],?,243,1017 kj(243 kcal),20,8,"0,8","0,8",15,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 22.046.001 CE', ""Collinée (Côtes-d'Armor, France)""]",,,,,,,,,,
993,Amandes caramélisées - Maître Prunille - 1,3502490218363,['France'],[],[],?,?,,?,,?,,?,,,1,['Maître Prunille'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Confiseries', 'Fruits à coques et dérivés', 'Confiseries de fruits à coques', 'Amandes caramélisées']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994,Poulet fermier - Maître Coq,0215212101616,['France'],[],[],?,?,,?,,?,,?,,,,['Maître Coq'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-09']",,,,,,,,,,,
995,Orzo macinato biologico - Conad,8003170057784,"['France', 'Italie']",[],[],?,350,1464 kj(350 kcal),"3,1","0,9",59,0,12,"0,01","0,004",,['Conad'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,['Conad'],,,,,,,,
996,Boisson pétillante sans alcool,3564700654743,['France'],[],[],?,44,184 kj(44 kcal),"0,5","0,1",11,10,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans alcool'],,,,,,,,,,,
997,Terrine de saumon - Leaderprice,3263858788415,['France'],[],[],?,236,987 kj(236 kcal),"19,5","2,5","4,3","0,6","10,9","1,26","0,504",,['Leaderprice'],"['Terrines', 'Terrines de poisson', 'Terrines de saumon']",,,19.5 g,en quantité modérée,2.5 g,en quantité modérée,0.6 g,en faible quantité,1.26 g,en quantité modérée,,+15%,+15%,+27%,-28%,+2%,-57%,-2%,+12%,+12%,4,-35%,C,-35%,,,,,,,,,,,,,,,,,,,,
998,Chocolat noir à la menthe - Orset - 100g,7640159890331,['France'],[],[],?,559,2339 kj(559 kcal),39,24,43,40,5,"0,01","0,004",100 g,['Orset'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']",,,39 g,en quantité élevée,24 g,en quantité élevée,40 g,en quantité élevée,0.01 g,en faible quantité,,+1%,+2%,+7%,+14%,-7%,-3%,-31%,-93%,-93%,24,+2%,E,+2%,,,,,,,,['Carton'],,,,,,,,,,,,
999,100% végétal - William Saurin,3261055946584,['France'],[],[],?,73,305 kj(73 kcal),2,"0,3",11,"1,6","2,3","0,9","0,36",,['William Saurin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,MIEL DE LA MAYENNE - 250g,3770009400022,['France'],[],[],?,?,,?,,?,,?,,,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Filets de poulet,0287458026442,['France'],[],[],?,?,,?,,?,,?,,,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,D,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,"['Viande Française', 'Label Rouge', 'Volaille-francaise']",,,,,,,,,,,
1002,Picos - horno el antequerano,8437011162168,"['France', 'Espagne']",[],[],?,406,1699 kj(406 kcal),"7,9","1,2","69,9","2,6","11,6","3,6","1,44",,['horno el antequerano'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains spéciaux', 'Gressins', 'es:Picos de pan']",,B,7.9 g,en quantité modérée,1.2 g,en faible quantité,2.6 g,en faible quantité,3.6 g,en quantité élevée,,+6%,+6%,+91%,+75%,-3%,+20%,+9%,+70%,+70%,16,+29%,D,+29%,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,,,,,,,,,
1003,Cadbury freddo chocolate pieces - 72g,7622210291578,"['France', 'États-Unis']","['milk**', 'sugar', 'cocoa butter', 'cocoa mass', 'vegetable fats ', 'palm', 'shea', 'emulsifiers ', 'e442', 'e476', 'flavourings', '**the equivalent of 426ml of fresh liquid milk in every 227g of milk chocolate', 'milk solids 20% minimum', 'actual 23%,cocoa solids 20% minimum,contains vegetable fats in addition to cocoa butter', 'may contain nuts,']","['Huile de palme', 'Non végétalien']",?,529,2213 kj(529 kcal),"30,5","18,5",57,56,"7,6","0,24","0,096",72 g,['Cadbury'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Biscuits et gâteaux', 'Biscuits', 'Chocolats', 'Biscuits au chocolat', 'Chocolats au lait', 'Biscuits au chocolat au lait']",,E,30.5 g,en quantité élevée,18.5 g,en quantité élevée,56 g,en quantité élevée,0.24 g,en faible quantité,,+5%,+5%,+26%,+36%,-9%,+60%,+13%,-57%,-57%,27,+15%,E,+15%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,['cardboard box  plastic bag'],,,,,4,"[""E442 - Phosphatides d'ammonium"", ""E476 - Esters polyglycériques d'acides gras d'huile de ricin""]",,['Lait'],,,,
1004,Ital D'oro Tramezzini,20084912,['France'],[],[],?,244,1021 kj(244 kcal),"2,7","0,5","45,4","4,5","7,9","1,13","0,452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,Hustenreizstiller,4010355335371,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,Pizza saumon - U,,['France'],[],[],?,?,,?,,?,,?,,,,['U'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizza au saumon']",,C,,,,,,,,,,,,,,,,,,,,,,,66.0%,11.0%,4.2%,7.2%,2.4%,9.2%,67,,,,,,,,,,,,,
1007,Brassés aux fruits mixés - Leader Price - 800g,3263858678112,['France'],[],[],?,99,414 kj(99 kcal),"3,1",2,14,14,"3,8","0,13","0,052",800 g,['Leader Price'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']","['EMB 28015', 'Auneau (Eure-et-Loir, France)']",,['Leader Price'],,,,,,,,
1008,Chips à la crevette,3780306303902,['France'],[],[],?,543,2272 kj(543 kcal),"31,2","2,7",63,"6,7",2,"1,9","0,76",,,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de manioc', 'Chips de manioc à la crevette']",,C,31.2 g,en quantité élevée,2.7 g,en quantité modérée,6.7 g,en quantité modérée,1.9 g,en quantité élevée,,+9%,+9%,+23%,+15%,-2%,-13%,+18%,-4%,-4%,17,+3%,D,+3%,65.0%,16.6%,5.2%,10.9%,2.4%,0.0%,61,,,,,,,,,,,,,
1009,Knack -,3252831304155,['France'],[],[],?,252,1054 kj(252 kcal),21,8,3,3,13,"2,6","1,04",,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Strasbourg', 'Knacks industrielles']",,E,21 g,en quantité élevée,8 g,en quantité élevée,3 g,en faible quantité,2.6 g,en quantité élevée,,-6%,-6%,-11%,-9%,+91%,+133%,+4%,+36%,+36%,20,+9%,E,+9%,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,,,"['EMB 95018', ""Argenteuil (Val-d'Oise, France)""]",,,,,,,,,,
1010,Foie gras d'oie entier - Les Occitanes - 170g,3018170460156,['France'],"[""foie gras d'oie"", 'sel', 'Armagnac', 'poivre', 'sucre', 'antioxydant: acide ascorbique ', 'E300', 'conservateur: nitrite de sodium ', 'E250']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,507,2121 kj(507 kcal),"47,8",20,2,"1,6","8,2","1,27","0,508",170 g,['Les Occitanes'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras entiers', ""Foies gras d'oies""]",,B,47.8 g,en quantité élevée,20 g,en quantité élevée,1.6 g,en faible quantité,1.27 g,en quantité modérée,,+11%,+10%,+3%,+5%,-9%,+13%,+3%,+1%,+1%,21,+4%,E,+4%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,3,"['E300 - Acide ascorbique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,
1011,Triangle Gouda -,5425016570340,['France'],[],[],996,238,996 kj(238 kcal),"13,1","5,3","20,3",2,"9,4","1,3","0,52",,,"['Sandwichs', 'Sandwichs au fromage']",,C,13.1 g,en quantité modérée,5.3 g,en quantité élevée,2 g,en faible quantité,1.3 g,en quantité modérée,-5%,-6%,-5%,+19%,+29%,-21%,-38%,-15%,-10%,-10%,12,+18%,D,+18%,72.9%,13.3%,5.8%,4.9%,2.5%,0.7%,68,,,,,,,,,,,,,
1012,Brötchen-Mix - 270g,7613404016558,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,270 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['stück'],,,,,,,,,,,,
1013,Fitness original,7501058614032,['France'],[],[],?,104,435 kj(104 kcal),"0,84","0,33","3,3","3,3","2,73","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,Skittles,0022000020833,"['France', 'Koweït', 'Espagne']",[],[],?,210,879 kj(210 kcal),2,2,38,38,0,"0,01","0,004",,['Skittles'],"['Snacks', 'Snacks sucrés', 'Confiseries']",,,2 g,en faible quantité,2 g,en quantité modérée,38 g,en quantité élevée,0.01 g,en faible quantité,,-50%,-50%,-86%,-69%,-43%,-23%,-100%,-93%,-93%,11,-40%,D,-40%,,,,,,,,,,,,,,,,,,,,
1015,Rillettes pur porc au sel de Guérande - Les Saveurs Granvillaises,3701257300239,['France'],"['viande de porc ', '62%', 'gras de porc', 'vin blanc ', 'sulfite', 'sel de Guérande', 'poivre', 'muscade']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,339,1418 kj(339 kcal),"31,8","11,4","1,6","0,9","10,8","1,5","0,6",,['Les Saveurs Granvillaises'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande rouge', 'Rillettes de porc']",,D,31.8 g,en quantité élevée,11.4 g,en quantité élevée,0.9 g,en faible quantité,1.5 g,en quantité modérée,,-14%,-14%,-14%,-19%,+216%,+165%,-32%,+17%,+17%,20,+3%,E,+3%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,['Verres'],,,,,3,,,['Anhydride sulfureux et sulfites'],,,,
1016,Waldquelle,9001521000358,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,Miel de Franche Comté -,3263628033165,['France'],[],[],?,?,,?,,?,,?,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Miels français', 'Miels crémeux']",,B,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,
1018,Mélange De Confiseries - Bocal 1.5 L - 265g,3700345902553,['France'],[],[],?,361,1510 kj(361 kcal),"0,1","0,1","87,9","71,6","1,7","0,3","0,12",265 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,Marrons glacés,3101740030528,['France'],[],[],?,311,1301 kj(311 kcal),1,"0,2",73,48,"1,1","0,02","0,008",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Confiseries', 'Fruits à coques et dérivés', 'Confiseries de fruits à coques', 'Marrons glacés']",,,1 g,en faible quantité,0.2 g,en faible quantité,48 g,en quantité élevée,0.02 g,en faible quantité,,-2%,-2%,+12%,+28%,-2%,-5%,+8%,-47%,-47%,13,+10%,D,+10%,,,,,,,,,,,,,,,,,,,,
1020,Bûche glacée fraise passion mangue - Erhard - 420g,3428420002904,['France'],[],[],?,199,833 kj(199 kcal),7,"4,6",31,28,"1,7","0,03","0,012",420g,['Erhard'],"['Desserts', 'Surgelés', 'Biscuits et gâteaux', 'Aliments et boissons de Noël', 'Desserts glacés', 'Gâteaux', 'Bûches de Noël', 'Bûches glacées']",,D,7 g,en quantité modérée,4.6 g,en quantité modérée,28 g,en quantité élevée,0.03 g,en faible quantité,,-0%,+0%,-14%,-15%,+8%,+13%,-27%,-76%,-76%,12,+6%,D,+6%,79.8%,13.5%,2.6%,2.8%,1.4%,0.0%,41,['Surgele'],,,,,,,,,,,,
1021,Classic Branches Mini - Frey,7616500661707,"['France', 'Suisse']",[],[],2273,?,2273 kj(543 kcal),33,15,53,51,"7,2","0,15","0,06",,['Frey'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,Orangettes chocolat noir - Valrhona - 130g,3395328232118,['France'],"['powdered candied orange zests ', 'orange peel', 'sugar', 'glucose P%', 'cocoa beans', 'sugar', 'cocoa butter', 'concentrated butter ', 'milk', 'emulsifier ', 'soja lecithin']",['Non végétalien'],?,439,1837 kj(439 kcal),19,12,60,55,"3,3","0,01","0,004",130 g,['Valrhona'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Confiseries aux fruits', 'Fruits enrobés de chocolat', 'Orangettes']",,,19 g,en quantité modérée,12 g,en quantité élevée,55 g,en quantité élevée,0.01 g,en faible quantité,,+3%,+3%,+6%,+8%,+0%,+8%,-8%,-75%,-75%,25,+14%,E,+14%,,,,,,,,['étui carton'],,,,,4,['E322i - Lécithine'],,['Lait'],,,,
1023,Mélange Quatre épices - La Vie Claire,3266191021607,['France'],[],[],?,?,,?,,?,,?,,,,['La Vie Claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', ""Mélanges d'épices""]",,B,,,,,,,,,,,,,,,,,,,,,,,57.6%,0.0%,22.5%,15.7%,4.2%,0.0%,86,,['Bio'],,,['La Vie Claire'],,,,,,,,
1024,Galantine de chevreuil aux cèpes,3350241580470,['France'],[],[],?,220,920 kj(220 kcal),17,6,"5,6","2,1",11,"2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,Cookies au chocolat,3556940901657,['France'],[],[],?,500,2092 kj(500 kcal),"24,8","13,1","60,6","33,2","6,5",1,"0,4",,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",,D,24.8 g,en quantité élevée,13.1 g,en quantité élevée,33.2 g,en quantité élevée,1 g,en quantité modérée,,+2%,+2%,+6%,+11%,-3%,+2%,-1%,+81%,+81%,27,+26%,E,+26%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,,,,,,,,,,
1026,Pain de mie,9100000136998,['France'],[],[],?,66,276 kj(66 kcal),1,"0,6",12,"0,9","2,3","0,37","0,148",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']",,B,1 g,en faible quantité,0.6 g,en faible quantité,0.9 g,en faible quantité,0.37 g,en quantité modérée,,-75%,-75%,-78%,-7%,-74%,-83%,-73%,-68%,-68%,0,-100%,B,-100%,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,,,,,,,,,,,,,
1027,Bloc de foie gras de canard des landes - 180g,3442780001759,['France'],[],[],?,511,2138 kj(511 kcal),"52,4","21,1","0,9",0,9,"1,2","0,48",180 g,,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']",,B,52.4 g,en quantité élevée,21.1 g,en quantité élevée,0 g,en faible quantité,1.2 g,en quantité modérée,,+4%,+5%,+4%,-2%,-58%,-100%,+47%,-2%,-2%,21,+3%,E,+3%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,,,,
1028,Foie gras - Maistres Occitans,3443705044219,['France'],[],[],?,531,2222 kj(531 kcal),55,22,"2,1","1,9","5,5","0,85","0,34",,['Maistres Occitans'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,Delice d hiver,3585810071190,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,,,,,
1030,Sauce Mafé -,3760283120136,['France'],"['tomate 65%', 'patate douce 18%', 'beurre de cacahuète 11%', 'oignons', 'sucre roux,sel', 'ail', 'piment végétarien']",[],?,473,1979 kj(473 kcal),6,"1,2",10,6,"3,7","2,45","0,98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,Galette des rois,3461180356191,['France'],[],[],?,415,1736 kj(415 kcal),29,16,31,"7,8","6,7","0,61","0,244",,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,D,29 g,en quantité élevée,16 g,en quantité élevée,7.8 g,en quantité modérée,0.61 g,en quantité modérée,,-2%,-1%,+10%,+8%,-20%,-40%,+6%,-12%,-12%,18,-6%,D,-6%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,,,,
1032,2 Mini bûches glacées Framboise - Casino - 160g,3222477074682,['France'],"['Purée de framboise 41,8% - eau - sucre - sirop de glucose-fructose - framboise 4,2% - dextrose - sirop de sucre inverti cristallisé - humectant : glycérol - stabilisants : farine de graines de caroube', 'hydroxypropylméthylcellulose', ""gomme guar - correcteurs d'acidité : acide citrique"", 'citrates de calcium', 'citrates de sodium', 'phosphates de potassium - denrée alimentaire colorante ', 'concentré de betterave rouge', 'pomme et potiron', "" - jus de citron - purée d'abricot - épaississant : pectines - gélifiant : carraghénanes"", 'traces de gluten', 'lait', 'oeufs', 'soja et fruits à coque']","['Sans huile de palme', 'Végétalien', 'Végétarien']",530,125,530 kj(125 kcal),0,0,29,27,"0,6","0,02","0,008",160 g,['Casino'],"['Desserts', 'Surgelés', 'Aliments et boissons de Noël', 'Desserts glacés', 'Bûches de Noël', 'Bûches glacées']",,D,0 g,en faible quantité,0 g,en faible quantité,27 g,en quantité élevée,0.02 g,en faible quantité,-33%,-38%,-36%,-100%,-100%,+1%,+9%,-74%,-84%,-84%,2,-82%,B,-82%,79.8%,13.5%,2.6%,2.8%,1.4%,0.0%,41,,,,,['Casino'],4,"['E422 - Glycérol', 'E410 - Gomme de caroube', 'E464 - Hydroxypropylméthylcellulose', 'E412 - Gomme de guar', 'E330 - Acide citrique', 'E333 - Citrates de calcium', 'E331 - Citrates de sodium', 'E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition', 'E440 - Pectines', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,,"2 mini bûches glacées composées d'un sorbet plein fruit à la framboise (79,7%) décorées d'un enrobage à la framboise (16%) et d'une framboise en décor (4,3%), surgelées",,,
1033,Rillettes écrevisse au colombo,3760029052103,['France'],[],[],?,149,623 kj(149 kcal),11,"5,4","4,2","0,7","8,3","0,91","0,364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,Brioche aux pralines,3276550769248,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,Sour patch Kids,0070462304145,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,Le casse croute de pépé Gaston,3443705060813,['France'],[],[],?,319,1335 kj(319 kcal),27,10,"0,8","0,5",18,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,Noix de muscade - Bedros,3580283040247,['France'],[],[],?,?,,?,,?,,?,,,,['Bedros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Produits de le muscadier', 'Noix de muscade', 'Noix de muscade entières']",,B,,,,,,,,,,,,,,,,,,,,,,,37.2%,0.0%,30.9%,21.7%,10.2%,0.0%,93,,,,,,,,,,,,,
1038,Tassimo - Carte Noire,8711000415252,['France'],[],[],?,?,,?,,?,,?,,,,"['Carte Noire', 'Tassimo']","['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Tassimo']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Barquette'],,,,,,,,,,,,
1039,Les Igloos - Les Créations,3250392528980,['France'],[],[],?,259,1084 kj(259 kcal),"16,2","10,1","24,1","22,3","3,7","0,13","0,052",,['Les Créations'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,Kabisa,5906874145005,['France'],[],[],?,46,192 kj(46 kcal),0,0,"10,8","10,8","0,35","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,Calissons - Le Roy René,3102621010325,['France'],"['Amandes', 'sucre', 'melons confits ', 'melons', 'sirop de glucose-fructose', 'sucre', 'sirop de glucose-fructose', 'préparation concentrée de mandarine 4% ', 'concentré de mandarine', 'eau', 'huile essentielle de mandarine', ""écorces d'oranges confites "", ""écorces d'oranges"", 'sirop de glucose-fructose', 'sucre', ""blanc d'oeuf"", 'sirop de sorbitol', 'pain azyme ', 'fécule de pomme de terre', 'huile de tournesol', 'arômes naturels ', 'quinine', 'arôme naturel de mandarine', 'colorants extrait de paprika', 'bétacarotène', 'denrée alimentaire colorante ', 'concentre de carthame', 'citron', 'pomme', ' Peut contenir des traces de fruits à coque']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,446,1866 kj(446 kcal),19,"1,9",58,46,8,"0,03","0,012",,['Le Roy René'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Calissons']",,B,19 g,en quantité modérée,1.9 g,en quantité modérée,46 g,en quantité élevée,0.03 g,en faible quantité,,+1%,+1%,+6%,+18%,-5%,-7%,+4%,-41%,-41%,16,+10%,D,+10%,43.9%,29.6%,15.5%,7.5%,3.5%,0.0%,95,,,,,,4,"['E420ii - Sirop de sorbitol', 'E160c - Extrait de paprika']",,"['Œufs', 'Fruits à coque']",,,,
1042,Abricot -figue,3465511423330,['France'],[],[],?,371,1552 kj(371 kcal),10,"1,4",61,38,"5,6","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
1043,Assortiment 8 vienoiserie - Leclerc,,['France'],[],[],?,371,1552 kj(371 kcal),18,11,45,11,"6,5","1,1","0,44",,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,Blattsalat Rohkost mix - 200g,4003910006397,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['07'],,,,,,,,,,,,
1045,Fisolen - 1000g,24012478,"['Autriche', 'France']",[],[],?,?,,?,,?,,?,,,1000 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,Confiture de pays de fraises LOU FENERET,3479391000802,['France'],[],[],?,230,962 kj(230 kcal),"0,2","0,01",55,50,"0,4",0,0,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,D,0.2 g,en faible quantité,0.01 g,en faible quantité,50 g,en quantité élevée,0 g,en faible quantité,,+6%,+5%,-17%,-78%,+4%,-1%,-10%,-100%,-100%,7,-20%,C,-20%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,
1047,Rillettes de saumon à la ciboulette - Gastromer,3269660015794,['France'],[],[],?,250,1046 kj(250 kcal),20,11,"2,2","1,2",16,"1,54","0,616",,['Gastromer'],"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Plats préparés', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Plats préparés au poisson', 'Rillettes de poissons', 'Rillettes de saumon', 'en:preparations-made-from-fish-meat']",,E,20 g,en quantité modérée,11 g,en quantité élevée,1.2 g,en faible quantité,1.54 g,en quantité élevée,,+14%,+13%,+16%,+127%,-1%,+32%,+19%,+35%,+35%,19,+116%,E,+116%,88.2%,4.1%,1.6%,5.2%,0.7%,0.2%,25,,,,,,,,,,,,,
1048,"Château de Carpena 2012 - 0,75l",3760123630955,['France'],[],[],?,?,,?,,?,,?,,,"0,75l",['Château de Carpena 2012'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Bordeaux', 'Côtes-de-bourg']",,C,,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,['France'],,,,,,,,,
1049,Truffle dark chocolate,3173284131955,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,
1050,Palais des Thés,3700256706301,['France'],[],[],?,?,,?,,?,,?,,,,['Palais des Thés'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,Vitmain  D3,0713179312903,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,Pâte d'amande,8717624526343,['France'],[],[],?,?,,?,,?,,?,,,,,"['Massepain', ""Pâtes d'amande""]",,E,,,,,,,,,,,,,,,,,,,,,,,92.2%,3.6%,1.7%,1.8%,0.8%,0.0%,25,,,,,,,,,,,,,
