,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,labels,traceability_code,quantity,additives,nova_score,ingredients_origins,manufacturing,markets,packaging,allergens,link,generic_name,palm_ingredients,brand_owner
226,Skyr Vanille bio -  - 135g,7610900018895,C,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Fromages à la crème', 'Skyr']","['France', 'Suisse']","['Yogurt product with vanilla', '1', '0 % fat In the raw cane sugar*', 'water', 'rice starch*', 'vanilla extract*', 'vanilla seeds*', 'lemon juice concentrate']",[],0.8 g,en faible quantité,0.5 g,en faible quantité,13 g,en quantité élevée,0.11 g,en faible quantité,?,,86,+26%,360 kj(86 kcal),+26%,"0,8",+118%,"0,5",+175%,13,+101%,13,+122%,"6,4",-31%,"0,11",+4%,"0,044",+4%,0,,B,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,"['Bio', 'Bio européen', 'CH-BIO-006']",,135 g,,3,,,,,,,,,
227,Brownie au chocolat - La pateliere,3278584360163,,,['France'],[],[],,,,,,,,,?,,390,,1632 kj(390 kcal),,"4,1",,"1,6",,80,,60,,"5,4",,"0,16",,"0,064",,,,,,,,,,,,,['La pateliere'],['Bio'],,,,,,,,,,,,,
228,Saucisse sèche - 300g,3280960642725,D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucisses sèches']",['France'],[],[],44 g,en quantité élevée,18 g,en quantité élevée,1.8 g,en faible quantité,4.9 g,en quantité élevée,?,,494,+20%,2067 kj(494 kcal),+20%,44,+37%,18,+43%,"1,8",-19%,"1,8",+22%,"22,7",-21%,"4,9",+6%,"1,96",+6%,26,+8%,E,+8%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,['Point Vert'],"['FR 71.350.001 CE', 'Pierreclos (Saône-et-Loire, France)']",300 g,,,,,,,,,,,
229,Lait De Suite 2ème âge Bio - 600G - Holle,7640104951186,,,['France'],[],[],,,,,,,,,?,,494,,2067 kj(494 kcal),,"23,5",,"8,1",,"58,7",,"32,1",,11,,"0,5",,"0,2",,,,,,,,,,,,,['Holle'],['Bio'],,,,,,,,,,,,,
230,Abricot sec,2600110024538,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",['France'],[],[],0.5 g,en faible quantité,0.02 g,en faible quantité,53.4 g,en quantité élevée,0.02 g,en faible quantité,?,,283,+8%,1184 kj(283 kcal),+8%,"0,5",+3%,"0,02",-67%,"62,6",+8%,"53,4",+18%,"3,4",+10%,"0,02",-43%,"0,008",-43%,6,+73%,C,+73%,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,,,,,,,,,,,,,
231,2 Pavés de Saumon Sauce au beurre - Thiriet - 300g,3292590875145,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Pavés de saumon']",['France'],[],[],16 g,en quantité modérée,6.4 g,en quantité élevée,1 g,en faible quantité,0.52 g,en quantité modérée,?,,208,+9%,870 kj(208 kcal),+10%,16,+36%,"6,4",+215%,2,+378%,1,+459%,14,-31%,"0,52",+44%,"0,208",+44%,5,,C,,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,['Thiriet'],,,300 g,,,,,['Thiriet'],,,,,,
232,Thym - La Vie Claire,3266191018379,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['La Vie Claire'],"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,
233,GIANT Straws - Haribo,5012035954864,,,['France'],[],[],,,,,,,,,?,,334,,1397 kj(334 kcal),,"0,5",,"0,1",,82,,42,,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,['Haribo'],,,,,,,,,,,,,,
234,Barquettes chocolat & noisettes -,3036852916968,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Barquettes', 'Barquettes au chocolat']",['France'],[],[],23 g,en quantité élevée,2.7 g,en quantité modérée,47 g,en quantité élevée,0.3 g,en quantité modérée,?,,486,+10%,2033 kj(486 kcal),+8%,23,+4%,"2,7",+10%,62,+2%,47,+8%,"6,5",-6%,"0,3",-18%,"0,12",-18%,19,+14%,E,+14%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,,,,,,,,,,,,
235,Mojito saveur fraise - Lidl,3014409006812,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Lidl'],,,,,,,,,,,,,,
