,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,labels,traceability_code,quantity,additives,nova_score,ingredients_origins,manufacturing,markets,packaging,allergens,link,generic_name,palm_ingredients,brand_owner
871,Baguette a la farine de mais,2030000025176,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,Sauce au soja fermenté,6921204802204,,,['France'],[],[],,,,,,,,,?,,137,,573 kj(137 kcal),,"3,1",,0,,"15,2",,"6,2",,12,,"10,5",,"4,2",,,,,,,,,,,,,,,,,,,,,,,,,,,
873,Mauricette,0234143019029,,,['France'],[],[],,,,,,,,,?,,282,,1180 kj(282 kcal),,12,,"5,5",,30,,3,,13,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,
874,Sirop artisanal de Franche Comte Citron - Rieme,3292483420025,B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de citron']",['France'],[],[],,,,,,,,,?,,348,+65%,1456 kj(348 kcal),+63%,"0,5",+303%,0,-100%,"85,7",+64%,"83,2",+68%,0,-100%,0,-100%,0,-100%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,['Rieme'],"['Bio', 'Bio européen', 'FR-BIO-01', 'Fabriqué en France']",,,,,,,,,,,,,
875,Daniel Hechter Tonic Suit Trousers,20663582,,,['France'],[],[],,,,,,,,,?,,41,,172 kj(41 kcal),,"0,2",,0,,"9,2",,"8,3",,"0,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,Pinot Noir Grande Réserve Maison Castel - 0.75l,3211200037469,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rosés']",['France'],"['MAISON CASTEL ', ' FRANCE', ' Maison Castel vous offre au travers de ses vins Grande Réserve', 'toute la quintessence des plus nobles cépages de France', ' Des cépages sélectionnés', 'vinifiés et élevés avec une attention toute particuliere Maison Castel Grande Réserve range of wines brings you the carefully selected', 'vinified and bottled for your drinking pleasure quintessence of the finest French grape varieties', ""which have been PINOT NOIR GRANDE RESERVE PAYS D'OC Indication Geographique Protégée BOUCHE/PALATE - Bouche fraîche"", 'acidulée', 'arómes de fruits rau et petits fruits noirs-Fresh and sour', 'with notes of red fruits and small black fruits', ' ACCORDS/FOOD PAIRING-Melon', 'viandes grillées et fromage Cantaloupe', 'grilled meats and cheese', ' QUALITE 45827 Servir Entre 10 et 12°C-Between 10 and 12°C 10250Wrl&75cl PRODUIT DE FRANCE MIS EN BOUTEILLE PAR MAISON CASIEL À BEZERS-FRANCE vin-maison-castel', 'com utent des oufifies,Contains sulphites', 'Enthält Sulfite PAYS DU een Contene sofit indetholder sulfiter', 'Sisaltaa nnetaler gulfer', 'Zawiera siarczyny', 'Obsahuje canine sufti', 'obsatuje sinöitany', 'Sátur sulfitus', 'llaraimaz szuffick fiepiěyei Benbőn', 'SO2 3 211200637']",[],,,,,,,,,?,,70,+106%,293 kj(70 kcal),+77%,0,-100%,0,-100%,?,,"1,5",-70%,0,-100%,0,-100%,0,-100%,,,,,46.7%,3.7%,29.6%,13.4%,5.1%,1.4%,45,['Maison Castel'],['Fabriqué en France'],,0.75 l,,,,,,,,,,,
877,Free Margherita Pizza gluten free - Bofrost,0121969100560,B,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas margherita']",['France'],[],[],11.9 g,en quantité modérée,4.5 g,en quantité modérée,3 g,en faible quantité,1.5 g,en quantité modérée,?,,273,+20%,1142 kj(273 kcal),+20%,"11,9",+59%,"4,5",+28%,"33,6",+15%,3,+12%,"6,7",-29%,"1,5",+18%,"0,6",+18%,13,+81%,D,+81%,52.9%,15.6%,6.3%,7.9%,3.6%,13.7%,84,['Bofrost'],,,,,,,,,,,,,,
878,Krem Şanti - 300g,8682005319794,,,['France'],[],[],,,,,,,,,?,,188,,787 kj(188 kcal),,10,,"8,8",,"21,7",,"16,1",,"2,7",,"0,06",,"0,024",,,,,,,,,,,,,,,,300 g,,,,,,,,,,,
879,Nuts ´N more,4099200047478,,,['France'],[],[],,,,,,,,,?,,593,,2481 kj(593 kcal),,45,,9,,23,,5,,20,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,
880,Baba au génépi,3381660004247,,,['France'],[],[],,,,,,,,,?,,247,,1033 kj(247 kcal),,2,,"1,1",,37,,"33,2",,"1,2",,"0,11",,"0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,
881,Rosé nature,3244089200006,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,"['Sans conservateurs', 'Sans sucre ajouté']",,,,,,,,,,,,,
882,brioche tranchée,3286636900007,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches tranchées']",['France'],[],[],15.5 g,en quantité modérée,1.9 g,en quantité modérée,10.8 g,en quantité modérée,1.3 g,en quantité modérée,?,,375,+7%,1569 kj(375 kcal),+6%,"15,5",+26%,"1,9",-68%,"50,2",-3%,"10,8",-19%,"9,9",+24%,"1,3",+30%,"0,52",+30%,12,-19%,D,-19%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,,,,
883,Saumon,7613269482840,E,"['Produits de la mer', 'Poissons', 'Saumons']",['France'],[],[],13 g,en quantité modérée,2.5 g,en quantité modérée,0.5 g,en faible quantité,2.9 g,en quantité élevée,?,,195,+6%,816 kj(195 kcal),+6%,13,+24%,"2,5",+23%,"0,5",-3%,"0,5",+57%,19,-12%,"2,9",+20%,"1,16",+20%,14,+27%,D,+27%,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,,,
884,Filets de poulet roti - Le Gaulois,2431628023429,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],[],5.8 g,en quantité modérée,1.4 g,en faible quantité,0.01 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,"0,01",-98%,"0,01",-96%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Le Gaulois'],['Sans conservateurs'],,,,,,,,,,,,,
885,Croissant beurre,0202115013788,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants', 'Croissants au beurre']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,78.5%,13.2%,5.3%,2.6%,0.4%,0.0%,69,,,,,,,,,,,,,,,
886,8801133004826,8801133004826,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,"Orange Valencia late, calibre 7/8 catégorie 2 - U - girsac1,5kg",3256226088682,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Agrumes', 'Fruits frais', 'Oranges', 'Oranges fraîches']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['U', 'U Bio']",['Bio'],,"girsac1,5 kg",,,['Espagne'],,"['Magasins U', 'Super U']",,,,,,
888,"Lord Nelson, Erdbeere Himbeere",20228743,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Lord Nelson'],,,,,,,,,,,,,,
889,Milka 330G Alpen Milk Vanilla Chocolates,7622210282835,,,['France'],[],[],,,,,,,,,?,,429,,1795 kj(429 kcal),,22,,11,,54,,44,,"3,4",,"0,13",,"0,052",,,,,,,,,,,,,"['Milka', 'Mondelez']",,,,,,,,,,,,,,
890,Saveur'délice goût bœuf aux olives - Isla Délice - 1500g,3512690004789,,"['Viandes', 'Charcuteries', 'Viandes fraîches', 'Préparations de viande fraîches', 'Charcuteries cuites']",['France'],"['Iande séparée mécaniquement de dinde halal 51%', 'eau', 'fécule de pomme de terre', 'olives vertes 3,7%', 'viande de dinde', 'viande de poulet', 'sel', 'arômes', 'stabilisants ', 'E451', 'E450', 'dextrose', 'sirop de glucose', 'protéines de soja', ""épices et extrait d'épices"", 'exhausteur de goût ', 'E621', 'conservateurs ', 'E250', 'E262', 'antioxydants ', 'E300', 'E301', 'E316', 'E331', 'colorant ', 'caramel E150a']","['Non végétalien', 'Non végétarien']",10.8 g,en quantité modérée,3.9 g,en quantité modérée,0.5 g,en faible quantité,2 g,en quantité élevée,716,-6%,172,-15%,716 kj(172 kcal),-13%,"10,8",-21%,"3,9",-27%,"9,5",+338%,"0,5",-28%,"9,1",-42%,2,+75%,"0,8",+75%,13,+40%,D,+40%,,,,,,,,['Isla Délice'],['Halal'],"['FR 42.156.006 CE', 'Neulise (Loire, France)', 'FR 42.156.000 CE', 'Neulise (Loire, France)']",1500 g,"['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E262 - Acétates de sodium', 'E300 - Acide ascorbique', 'E301 - Ascorbate de sodium', 'E316 - Érythorbate de sodium', 'E331 - Citrates de sodium', 'E150a - Caramel E150a']",4,['Viandes UE'],,['Carrefour'],['Boyau plastique'],['Soja'],,Saveur'délice gout bœuf aux olives 500G LOT DE 2 + 1 OFT,,
891,Mes idées apéritifs carotte Potiron lentilles - Croc'Frais,3524130005799,,,['France'],[],[],,,,,,,,,?,,79,,331 kj(79 kcal),,"2,1",,"0,2",,"10,8",,"7,2",,"2,5",,"1,1",,"0,44",,,,,,,,,,,,,"[""Croc'Frais""]","['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,
892,Petit Billy,0211152018373,,,['France'],[],[],,,,,,,,,?,,748,,3130 kj(748 kcal),,14,,11,,"2,5",,"2,5",,11,,10,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,3760121071071,3760121071071,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,Mayonnaise Nature Bio 185 g - Alélor,3275550005578,D,"['Epicerie', 'Sauces', 'Mayonnaises']",['France'],[],[],79 g,en quantité élevée,8 g,en quantité élevée,0.5 g,en faible quantité,1 g,en quantité modérée,?,,721,+18%,3017 kj(721 kcal),+18%,79,+19%,8,+29%,"0,5",-81%,"0,5",-66%,"1,2",-2%,1,-25%,"0,4",-25%,20,+12%,E,+12%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,['Alélor'],['Bio'],,,,,,,,,,,,,
895,Aubergine bio - Brio - 500g,3661949000536,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Aubergines', 'Légumes frais', 'Aubergines fraîches']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,94.7%,0.0%,0.0%,2.7%,2.4%,0.1%,54,['Brio'],"['Bio', 'Bio européen', 'ES-ECO-004-AN']",,500 g,,,['Espagne'],,,,,,,,
896,Flan pâtissier nature,,B,"['Produits laitiers', 'Desserts', 'Biscuits et gâteaux', 'Desserts lactés', 'Pâtisseries', 'Flans gélifiés', 'Flans pâtissiers']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,71.0%,14.6%,7.1%,3.5%,3.7%,0.0%,81,,,,,,,,,,,,,,,
897,Native Whey Isolat Instant - AM NUTRITION - 3kg,3662072026073,,"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Protéines en poudre', 'Comple']",['France'],"['91% isolat de whey protéine de lait natives instant ', 'avec lécithine de tournesol non OGM', 'arôme chocolat', '1,5% de poudre de cacao*', 'édulcorants : sucralose et glycosides de stéviol']",[],1.6 g,en faible quantité,0.2 g,en faible quantité,4.9 g,en faible quantité,0.2 g,en faible quantité,?,,349,-6%,1460 kj(349 kcal),-6%,"1,6",-63%,"0,2",-89%,"5,1",-28%,"4,9",+58%,"77,9",+10%,"0,2",-73%,"0,08",-73%,0,-100%,B,-100%,,,,,,,,['AM NUTRITION'],"['Lait Français', 'Fabriqué en France']",,3 kg,"['E955 - Sucralose', 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition']",4,,['France'],,,,https://boutique.all-musculation.com/boutique/native-whey-isolat/,Native Whey Isolat Instant chocolat AM Nutrition,,
898,Jeunes pousses d'épinard France - Priméale - 125g,3613460007921,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Légumes-feuilles', 'Légumes frais', 'Épinards', 'Épinards frais', 'en:raw-spinach-young-leaves']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,45.1%,0.0%,0.0%,22.1%,31.7%,1.1%,99,['Priméale'],,"['EMB 13027Y', 'Châteaurenard (Bouches-du-Rhône, France)']",125 g,,,['France'],,,,,,,,
899,Super deliss gout ketchup 350gr - Isla Délice - 350g,3512690004505,,,['France'],"['Viande séparée mécaniquement de dinde halal ', 'origine UE', ' 50%', 'eau', 'gras de dinde halal', 'fécule de pomme deterre', 'concentré de tomate', 'saccharose', 'sel', 'acidifiants ', 'E325 E262 E260 E575', 'protéines de soja', 'fibre de pois,exhausteur de goût ', 'E621', 'dextrose', 'stabilisants ', 'E450 E452 E451', 'arômes et arômes de fumée', 'plantesaromatiques ', 'dont oignon', 'antioxydants ', 'E316 E392', 'gélifiant ', 'E407', 'colorant ', 'E160c', 'conservateur ', 'E250', ' SOJA']",[],,,,,,,,,925,,222,,925 kj(222 kcal),,15,,"4,6",,"11,1",,"3,2",,"10,8",,"2,9",,"1,16",,,,,,,,,,,,,['Isla Délice'],['Halal'],,350 g,"['E325 - Lactate de sodium', 'E262 - Acétates de sodium', 'E575 - Glucono-delta-lactone', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E392 - Extrait de romarin', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E160c - Extrait de paprika', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,,,,,"['Lait', 'Soja']",,Super deliss gout ketchup 350gr,,
900,"Chupa Chups ""forever fun'' 60 years",8410031964059,,,['France'],[],[],,,,,,,,,?,,385,,1611 kj(385 kcal),,"0,2",,"0,1",,95,,82,,0,,"0,13",,"0,052",,,,,,,,,,,,,['Chupa Chups'],,,,,,,,,,,,,,
901,Marimba's -  - 200g,3700411907802,,"['Biscuits et gâteaux', 'Gâteaux']",['France'],"['28% noix de coco', 'sucre', 'sirop de glucose-fructose', 'farine de froment', 'eau', 'purée de fraises', 'oeufs de poules élevées au sol', 'crème au beurre ', 'lait', 'poudre à lever: E450/ E500', 'épaississant: pectine', ""correcteur d'acidité: acide citrique/ E333"", 'acidifiant: citrates de potassium', 'amidon de blé', 'concentrés fruits et de plantes: concentré baies de sureau', 'arôme', 'conservateur: E202', 'colorants naturel', ' Peut contenir des traces de soja et fruits à coques']",['Non végétalien'],19 g,en quantité modérée,1.7 g,en quantité modérée,45 g,en quantité élevée,0.14 g,en faible quantité,?,,409,+1%,1711 kj(409 kcal),+2%,19,-3%,"1,7",-78%,54,+9%,45,+61%,"3,4",-38%,"0,14",-77%,"0,056",-77%,15,-16%,D,-16%,,,,,,,,,,,200 g,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E440 - Pectines', 'E330 - Acide citrique', 'E333 - Citrates de calcium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,,,['Monoprix'],"['Film en plastique', 'Barquette en plastique']","['Gluten', 'Lait']",,,,
902,Limonade Mina,3760255150437,,,['France'],[],[],,,,,,,,,?,,18,,75 kj(18 kcal),,0,,0,,"4,4",,"4,2",,0,,0,,0,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,
903,Peanuts ROASTER AND SALTED - Snackline - 750g,9002859070907,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Snacks', 'Légumineuses', 'Snacks salés', 'Fruits à coques et dérivés', 'Fruits à coques', 'Pistaches', 'Cacahuètes', 'Fruits à coque salés', 'Pistaches salées']",['France'],"['al ge / nformation Hawintcaamn /Wasso Drdnisse geritet umd gesibzen', ' Zutater Erdnisse 95%', 'Sonnenblumen Kann Sparm von Schalenrichten ', 'C Rartschalenobst enthalten', ' Unter Scutza sphäre verpacit', ' Hergestelt in den Niederlanden', ' Trocken und vor Wärme geschüz kagem', ' ', 'F', ' Arachidies grillées et sailées', ' ingrédients arachides 95%', 'huile de taumesal', 'sel', ' Pet cantenir des traces de fruits à coque', ' Conditionné sOus atmosphete tectrice Produit aux Pays-Bas']",[],50.8 g,en quantité élevée,7.9 g,en quantité élevée,5.3 g,en quantité modérée,1 g,en quantité modérée,?,,617,+2%,2582 kj(617 kcal),+2%,"50,8",+2%,"7,9",+13%,"11,1",-20%,"5,3",-23%,"24,7",+8%,1,-25%,"0,4",-25%,9,+48%,C,+48%,91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,['Snackline'],,['21024'],750g,,,,['Pays-Bas'],['LE TRIANGLE SUPERMARCHE'],['Sous atmosphère protectrice'],,http://www.gunz.cc,,,
904,Ail - Naturaplan - 150g,7613413935314,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Ail et dérivés', 'Ail']","['France', 'Suisse']",['Ail'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,58.5%,0.0%,0.0%,19.1%,16.5%,5.8%,98,['Naturaplan'],"['Bio', 'Bio européen', 'IT-BIO-007']",,150 g,,1,['Italie'],,,['Sachet'],,,,,
905,CAKE AU CITRON surgelé -  - 240g,3663219003247,,,['France'],[],[],,,,,,,,,?,,362,,1515 kj(362 kcal),,18,,"2,4",,43,,28,,"5,8",,"0,47",,"0,188",,,,,,,,,,,,,,,"['EMB 56126A', 'Marzan (Morbihan, France)']",240 g,,,,,,,,,,,
906,Abba Löksill,7311171004067,,,['France'],[],[],,,,,,,,,?,,230,,962 kj(230 kcal),,12,,"3,9",,21,,18,,"9,6",,3,,"1,2",,,,,,,,,,,,,['Abba'],,,,,,,,,,,,,,
907,Pate de campagne,2274702013585,D,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']",['France'],[],[],27.1 g,en quantité élevée,10.7 g,en quantité élevée,1.4 g,en faible quantité,2.9 g,en quantité élevée,?,,320,+3%,1339 kj(320 kcal),+3%,"27,1",+0%,"10,7",+6%,"3,8",+58%,"1,4",+52%,"15,3",+8%,"2,9",+75%,"1,16",+75%,23,+21%,E,+21%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,,,
908,Ristretto string édition - Nescafé,7617014188414,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Nescafé'],,,,,,,,,,,,,,
909,Huile d'olive Bab El Oued 100% vierge,3760198720674,,,['France'],[],[],,,,,,,,,?,,884,,3699 kj(884 kcal),,100,,14,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,3058325802448,3058325802448,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,L'originale pâte de curry - Le coq noir,3269710112824,,,['France'],[],[],,,,,,,,,?,,252,,1054 kj(252 kcal),,20,,"2,1",,14,,"1,4",,"3,1",,"5,6",,"2,24",,,,,,,,,,,,,['Le coq noir'],,,,,,,,,,,,,,
912,Cannabis tea with - Euphoria - 30g,8594018433544,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'it:cannabis', 'it:integratore-alimentare']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,['Euphoria'],,,30 g,,,['Unione europea'],['unione europea'],['cannabis store'],['Carta'],,,,,
913,Dinkel Bällchen - Mogli,4260311981399,,,['France'],[],[],,,,,,,,,?,,500,,2092 kj(500 kcal),,27,,"3,3",,54,,2,,"8,5",,"2,5",,1,,,,,,,,,,,,,['Mogli'],"['Bio', 'Bio-dynamie', 'Demeter']",,,,,,,,,,,,,
914,Avocats bio variété HASS origine espagne 2 pièces - Les Paysans Bio,3760074475223,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Avocats']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.4%,0.0%,0.0%,8.7%,3.8%,3.1%,50,['Les Paysans Bio'],"['Bio', 'Bio européen', 'Agriculture UE', 'AB Agriculture Biologique']","['EMB 84035U', 'Cavaillon (Vaucluse, France)']",,,,['Espagne'],,,,,,,,
915,Turchinu,3700013100540,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,Tomate Cocktail,3435535001661,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,Bourgogne aligoté,3660989204973,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Bourgogne', 'Vins blancs', 'Bourgogne aligoté']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,['France'],,,,,,,,
918,Pois chiche,6132506710115,,,['France'],[],[],,,,,,,,,?,,402,,1682 kj(402 kcal),,0,,0,,"57,82",,0,,"22,39",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,
919,Pains au chocolat,3021990078883,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,Mini moëlleux coeur fraise X5 - Casino - 150g,3222477195905,,"['Biscuits et gâteaux', 'Gâteaux']",['France'],"['Sucre - farine de blé - œufs frais 14% - huile de colza - purée concentrée de fraise 8', '1% - sirop de glucose - stabilisants : glycérol', 'sorbitols - fibre de chicorée - sirop de glucose-fructose - arômes ', 'contient alcool', ' - poudres à lever : diphosphates', 'carbonates de sodium - sel - amidon de blé - colorants : extrait de paprika', 'lutéine', 'anthocyanes - gélifiant : pectines - acidifiant : acide lactique', '\r traces de lait et de fruits à coque']",['Non végétalien'],13 g,en quantité modérée,1.3 g,en faible quantité,31 g,en quantité élevée,0.88 g,en quantité modérée,1567,-8%,373,-7%,1567 kj(373 kcal),-7%,13,-33%,"1,3",-83%,59,+19%,31,+11%,"4,4",-19%,"0,88",+45%,"0,352",+45%,13,-27%,D,-27%,,,,,,,,['Casino'],,,150 g,"['E422 - Glycérol', 'E420 - Sorbitol', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E160c - Extrait de paprika', 'E161b - Lutéine', 'E163 - Anthocyanes', 'E440 - Pectines', 'E270 - Acide lactique']",4,,,['Casino'],,"['Œufs', 'Gluten']",,"Petits gâteaux avec un fourrage (30%) à la fraise, aromatisé fraise",,
921,3770005260231,3770005260231,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,Vin biologique,3760093632515,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,
923,Confiture fraise - Le Bois Jumel,3176630002718,,,['France'],[],[],,,,,,,,,?,,239,,1000 kj(239 kcal),,0,,0,,58,,58,,"0,6",,0,,0,,,,,,,,,,,,,['Le Bois Jumel'],,,,,,,,,,,,,,
924,pain au chocolat -,4015300001400,,,['France'],[],[],,,,,,,,,?,,369,,1544 kj(369 kcal),,18,,11,,44,,"8,5",,"6,6",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,
925,Poulet fermier - paysan breton,2288044034702,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['paysan breton'],,,,,,,,,,,,,,
926,Merguez véritable mouton x12,3273625852317,,,['France'],[],[],,,,,,,,,?,,259,,1084 kj(259 kcal),,22,,"9,3",,"2,3",,"0,44",,13,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,
927,Palmier Pur beurre Nature - Bisson,3380380088803,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits feuilletés', 'Palmiers']",['France'],[],['Sans huile de palme'],26 g,en quantité élevée,18 g,en quantité élevée,22 g,en quantité élevée,0.95 g,en quantité modérée,?,,510,-1%,2134 kj(510 kcal),-1%,26,-5%,18,+15%,61,+1%,22,0%,"6,7",+13%,"0,95",-6%,"0,38",-6%,24,+3%,E,+3%,79.4%,12.3%,3.8%,2.3%,2.3%,0.0%,59,['Bisson'],"['Bio', 'en:palm-oil-free']",,,,,,,,,,,,,
928,Chorizo précuit à griller,3289744413070,,,['France'],[],[],,,,,,,,,?,,226,,946 kj(226 kcal),,16,,"5,9",,"2,1",,"1,4",,19,,"2,4",,"0,96",,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,,,,
929,Poulpe En Morceaux cuit au naturel,8422107070410,,,['France'],[],[],,,,,,,,,?,,87,,364 kj(87 kcal),,"0,8",,"0,3",,0,,0,,20,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,
