,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,brand,categories,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,packaging,manufacturing,markets,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,ingredients_origins,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,traceability_code,brand_owner,generic_name,link,palm_ingredients
1481,Salade avec du thon à l'italienne - Nixe,4056489020325,['France'],[],[],?,100,"2,2",11,"8,2",,['Nixe'],"['Plats préparés', 'Salades', 'Plats préparés au poisson', 'Salades composées', 'Salades au thon']",1 g,en quantité modérée,,-34%,-74%,+40%,+2%,1,+3%,"0,4",+3%,418 kj(100 kcal),"0,3","2,5",,,,,,,2.2 g,en faible quantité,0.3 g,en faible quantité,2.5 g,en faible quantité,0,B,,,,,,,,,,,-32%,-67%,+24%,-100%,-100%,,,,,
1482,Endives chicorée cicoria,3700279926137,['France'],[],[],?,?,?,?,?,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes-feuilles', 'Endives']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,68.9%,0.0%,0.0%,11.3%,16.2%,3.6%,96,,,,,,,,,,,,
1483,"Tuiles au Parmigiano Reggiono à la truffe d'été 1,8% - Carmiano 1926 - 60g",8056539610502,['France'],"['Farine de FROMENT', 'PARMIGIANO REGGIANO AOP 24 mois ', '14%', ' ', 'LAIT', 'sel', 'présure', 'YAOURT écrémé', 'huile de tournesol', 'arômes', ""truffe d'été 1,8% "", 'Tuber Aestivum Vitt', 'sel', ""jus de truffe d'été""]",['Non végétalien'],?,433,14,61,15,60g,['Carmiano 1926'],"['Snacks', 'Snacks salés', 'Apéritif']",1.9 g,en quantité élevée,,-7%,-42%,+18%,+96%,"1,9",+22%,"0,76",+22%,1812 kj(433 kcal),"4,3","5,2",,,,,"['Gluten', 'Lait']",4,14 g,en quantité modérée,4.3 g,en quantité modérée,5.2 g,en quantité modérée,18,D,,,,,,,,,,,-8%,+5%,+67%,+42%,+42%,,,,,
1484,Cadbury Roundie Caramel,7622210734167,['France'],[],[],?,526,28,61,"5,3",,['Cadbury'],,,,,,,,,"0,23",,"0,092",,2201 kj(526 kcal),16,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485,Raisin Muscat AOP du Ventoux - Paysans du Ventoux - 750g,3385763339619,['France'],['Origine: FRANCE Produit : RAISIN Varleté: A0P Muscat du Ventoux Catégorie: Extra Poids'],[],?,?,?,?,?,750g,['Paysans du Ventoux'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Raisins', 'Raisins frais']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,68.7%,0.0%,0.0%,15.2%,12.1%,4.0%,97,['Fabriqué en France'],,,,,,,,,,,
1486,Seaweed Chips,5711954001030,['France'],[],"['Végétalien', 'Végétarien']",?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,
1487,william peel whisky - 70cl,04475725,['France'],[],[],?,?,?,?,?,70cl,,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Whiskys']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,,,,,,,,,,,
1488,The Mint Factory - 16g,1733240577115,['France'],[],[],?,?,?,?,?,16g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,Boudin noir aux oignons - Iller,3481910511607,['France'],[],[],?,288,24,"3,1",15,,['Iller'],"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins noirs', 'Boudins noirs aux oignons']",1.6 g,en quantité élevée,,+13%,+11%,+2%,+29%,"1,6",+20%,"0,64",+20%,1205 kj(288 kcal),"9,4","2,2",,,,,,,24 g,en quantité élevée,9.4 g,en quantité élevée,2.2 g,en faible quantité,19,E,D,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,+14%,+13%,+9%,+21%,+21%,,,,,
1490,12oeufs frais de poules élevées en plein air,3281234567898,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491,Pressed tomato juice,00919029,['France'],[],[],?,18,"0,1","3,2","0,5",,,,,,,,,,,"0,5",,"0,2",,75 kj(18 kcal),"0,1","3,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1492,Kebab lamelle de poulet,5902082413844,['France'],[],[],?,95,"1,5","0,7",20,,,,,,,,,,,"0,15",,"0,06",,397 kj(95 kcal),"0,5","0,5",,,,,,,,,,,,,,,,,,,,,,,['Halal'],,,,,,,,,,,
1493,Jean Degaves,3439495301786,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494,Les exquis - ALSACE LAIT - 250g,3262970805901,['France'],"['Lait* pasteurisé', 'crème* pasteurisée', 'sucre : 11 %', 'eau : 7,3 %', ""pulpe et écorce d'orange : 5 %"", 'chocolat noir ', 'pâte de cacao', 'sucre', 'poudre de cacao maigre', ' : 3,3 %', 'sirop de glucose-fructose', 'amidon', 'jus de citron concentré', 'jus de carotte concentré', ""arôme naturel d'orange avec d'autres arômes naturels"", 'épaississants : amidon modifié', 'pectine et carraghénanes', 'ferments lactiques', ' * Origine : France']","['Sans huile de palme', 'Non végétalien']",538,128,3,19,"5,8",250g,['ALSACE LAIT'],"['Spécialité laitière', ""Yaourts à l'orange sur lit de chocolat""]",0.1 g,en faible quantité,,,,,,"0,1",,"0,04",,538 kj(128 kcal),"2,1",19,['250g (2 pots de 125g)'],"['ALSACE', 'COOPÉRATIVE ALSACE LAIT BP 140- 67723 HOERDT CEDEX']",['INTERMARCHE'],"['E14XX - Amidons modifiés', 'E440 - Pectines', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",['Lait'],4,3 g,en quantité modérée,2.1 g,en quantité modérée,19 g,en quantité élevée,4,C,,,,,,,,,,"['France', 'Autres']",,,,,,"['FR 67.205.001 CE', 'Hœrdt (Bas-Rhin, France)']",,Spécialité laitière sucrée à l'orange sur lit de chocolat noir,,
