,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,traceability_code,allergens,nova_score,generic_name,packaging,additives,palm_ingredients,manufacturing,brand_owner,ingredients_origins,link,producer_info
840,CAROTTES BIO - 1kg,3000050041692,,['France'],[],[],?,?,,?,,?,,?,,,1 kg,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,Taralli,8032804630116,,"['France', 'Espagne']",[],[],?,480,2008 kj(480 kcal),"13,55",5,67,"1,9","8,35","2,3","0,92",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",,13.6 g,en quantité modérée,5 g,en quantité modérée,1.9 g,en faible quantité,2.3 g,en quantité élevée,,+46%,+46%,+121%,+327%,+22%,-52%,-12%,+80%,+80%,19,+273%,E,+273%,,,,,,,,,,,,,,,,,,,,
842,magret de canard mariné aux herbes de provence - montfort - 2,2446492058316,['Montfort'],['France'],"['magret de canard 71', '8%', 'marinade ', 'eau', ' acidifiant E325', 'sel', 'épices', 'herbes de Provence 0,19%', 'E301', 'acidifiant E330', 'épaississant E415', ' Viande de canard Origine: France']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,2,E,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Magrets de canard']",,,,,,,,,,,,,,,,,,,,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,4,,['sous vide'],"['E325 - Lactate de sodium', 'E301 - Ascorbate de sodium', 'E330 - Acide citrique', 'E415 - Gomme xanthane']",,['64230'],,,,
843,8 carrés de chocolat,3391860004473,,['France'],[],[],?,568,2377 kj(568 kcal),37,22,52,51,"5,8","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,Tee Erdbeer-Zauber,4030716712764,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,Salam de sibiu,5941460011395,,['France'],[],[],?,475,1987 kj(475 kcal),"41,5","16,6","1,9","0,8","23,4","3,8","1,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,Bloc de foie gras de canard - Cora,3257981231269,['Cora'],['France'],"['Foie gras de canard du Sud-Ouest - morceaux de canard du Sud-Ouest ', '30%', ' - eau - sel - Porto blanc - Armagnac - Sucre - conservateur: nitrite de sodium', 'antioxydant: ascorbate de sodium']","['Non végétalien', 'Non végétarien']",?,484,2025 kj(484 kcal),50,22,2,"1,2","6,6","1,5","0,6",,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras', 'Bloc de foie gras avec morceaux']",,50 g,en quantité élevée,22 g,en quantité élevée,1.2 g,en faible quantité,1.5 g,en quantité modérée,,-2%,-1%,-2%,0%,-10%,-5%,+4%,+20%,+20%,22,+7%,E,+7%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['Cora'],,,3,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",,,,,,
847,Happy box,3191220008598,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,Bloc de Foie Gras de Canard au Porto - Larnaudie,3113010137257,['Larnaudie'],['France'],[],[],?,518,2167 kj(518 kcal),"54,3","24,3","2,2","1,7","5,1","1,27","0,508",,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']",,54.3 g,en quantité élevée,24.3 g,en quantité élevée,1.7 g,en faible quantité,1.27 g,en quantité modérée,,+6%,+6%,+7%,+13%,+4%,+28%,-17%,+4%,+4%,21,+3%,E,+3%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,,,,
849,Petit Salé Aux Lentilles - Dia,8480017680297,['Dia'],"['France', 'Espagne']",[],[],?,94,393 kj(94 kcal),"2,6","0,7","8,1","0,4","8,4","0,78","0,312",,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande']",,2.6 g,en faible quantité,0.7 g,en faible quantité,0.4 g,en faible quantité,0.78 g,en quantité modérée,,-41%,-41%,-65%,-72%,-23%,-75%,-11%,-18%,-18%,-1,-130%,A,-130%,,,,,,,,,,,,,,,,,,,,
850,Rôti de chapon - Farce aux marrons et aux figues - congelé - Le Délicat - 800 g,3250392648718,['Le Délicat'],['France'],[],[],?,258,1079 kj(258 kcal),"19,6","6,4","3,8","1,7","15,8","0,55","0,22",,,"['Viandes', 'Surgelés', 'Volailles', 'Volailles surgelées']",,19.6 g,en quantité modérée,6.4 g,en quantité élevée,1.7 g,en faible quantité,0.55 g,en quantité modérée,,+47%,+48%,+90%,+100%,+133%,+159%,-12%,-4%,-4%,11,+368%,D,+368%,,,,,,,,['Netto'],,,,,['Boite'],,,['Nueil les Aubiers (79)'],,['France'],,
851,Tourte au riesling,2488459093282,,['France'],[],[],?,251,1050 kj(251 kcal),"12,6","6,2","23,7","2,25","10,2","1,45","0,58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,Le petit beurre Mayennais,3512243678320,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,Clementine - 1kg,3663269000012,,['France'],[],[],?,?,,?,,?,,?,,,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,Yaourt sucré a la framboise,3730472000013,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 73.304.001 CE', ""Val-d'Isère (Savoie, France)""]",,,,,,,,,,,
855,PIZZA BAMBINO - Leclerc - 1,0204805038057,['Leclerc'],['France'],[],[],?,?,,?,,?,,?,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,"Bonbons ""Salade de fruits"" -",3266051141032,,['France'],['sucre - sirop de glucose - arômes fruits - acisifiant : E330 - colorants : curcumma-carmi-bleu patente V-chlorophile-paprika'],[],?,388,1623 kj(388 kcal),"0,5","0,1",94,57,"0,5","0,01","0,004",,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,0.5 g,en faible quantité,0.1 g,en faible quantité,57 g,en quantité élevée,0.01 g,en faible quantité,,+9%,+8%,-73%,-91%,+13%,-2%,-76%,-92%,-92%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,4,,,['E330 - Acide citrique'],,,,,,
857,Saumon atlantique fumé - Capitaine Cook,3250392647810,['Capitaine Cook'],['France'],[],[],?,196,820 kj(196 kcal),11,"2,2","0,5","0,5",23,"2,9","1,16",,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', 'Saumons Atlantique fumés']",,11 g,en quantité modérée,2.2 g,en quantité modérée,0.5 g,en faible quantité,2.9 g,en quantité élevée,,+4%,+4%,+2%,+3%,-6%,+47%,+4%,+4%,+4%,14,+4%,D,+4%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,
858,parizer,5941864006201,,['France'],[],[],?,274,1146 kj(274 kcal),25,16,2,"0,5",10,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,Confit d'oignons au vin d'irouleguy et au piment d'espelette - Sakari,3281230003390,['Sakari'],['France'],[],[],?,720,3012 kj(720 kcal),10,,10,,8,5,2,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Plantes condimentaires', 'Produits à tartiner salés', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Oignons et dérivés', ""Confits d'oignons""]",,10 g,en quantité modérée,,,,,5 g,en quantité élevée,,+329%,+328%,+510%,,-71%,,+703%,+699%,+699%,,,,,,,,,,,,,,,,,,,,,,,,
860,Yogourt mandarine - Cristallina - 175g,7610900046003,['Cristallina'],"['France', 'Suisse']",[],[],400,?,400 kj(96 kcal),3,"1,8",13,12,"3,5","0,08","0,032",175 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,Pecorissimo,8004603103580,,['France'],[],[],?,401,1678 kj(401 kcal),33,"23,6",0,0,26,"4,8","1,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,huile d olive - 500ml,8437001254408,,['France'],[],[],?,?,,?,,?,,?,,,500 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,Natural cashew nuts,8934648150112,,['France'],[],[],?,606,2536 kj(606 kcal),"45,6",9,25,"6,72","23,8","0,434","0,174",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,Homann Nudelsalat Italienische Art,4030800132010,['Homann'],"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,"['Plats préparés', 'Plats à base de pâtes', 'Salades', 'Salades composées', 'Salades de pâtes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,Foie gras d'oie entier - Labeyrie,3033610031246,['Labeyrie'],['France'],"[""Foie gras d'oie"", 'sel', 'Sauternes AOP', 'épices', 'sucre', 'conservateur: E250']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,511,2138 kj(511 kcal),52,22,2,1,"8,8","1,2","0,48",,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras entiers', ""Foies gras d'oies"", ""Foie gras d'oie entier""]",,52 g,en quantité élevée,22 g,en quantité élevée,1 g,en faible quantité,1.2 g,en quantité modérée,,+6%,+6%,+7%,+12%,-10%,-22%,+11%,+7%,+7%,21,+6%,E,+6%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,3,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,
866,Butter Flavoyred COOKIES,8710998417293,,['France'],[],[],?,497,2079 kj(497 kcal),"26,3","9,2","58,6","18,8","6,8","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,Farce de volaille aux éclats de marrons et raisins blancs,3531937325005,,['France'],[],[],?,199,833 kj(199 kcal),10,"2,9",14,7,15,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,Boudins blancs au Porto,2691743030041,,['France'],[],[],?,224,937 kj(224 kcal),19,"8,2","3,1","2,2","9,3","2,1","0,84",,D,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté']",,19 g,en quantité modérée,8.2 g,en quantité élevée,2.2 g,en faible quantité,2.1 g,en quantité élevée,,-8%,-8%,-6%,+5%,-28%,+12%,-10%,+41%,+41%,19,+19%,E,+19%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,,,,,,,,,,,
869,Poêlée penne poulet aux champignons,3184034280373,,['France'],[],[],?,117,490 kj(117 kcal),"3,1","2,2","13,7","0,5","7,8","0,73","0,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,Zimtstangen -,4005924865373,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Assaisonnements']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,Cornflake clusters - Morrisons,5010251907916,['Morrisons'],"['France', 'Royaume-Uni']",[],[],?,474,1983 kj(474 kcal),"18,2","10,8","70,4","35,9","6,2","0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,Pepins De Pamplemousse Vitarmonyl,3286010008862,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,Saucisse de Morteau,2454631046315,,['France'],[],[],?,333,1393 kj(333 kcal),"30,2","11,7",0,0,"15,2","8,09","3,236",,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Morteau']",,30.2 g,en quantité élevée,11.7 g,en quantité élevée,0 g,en faible quantité,8.09 g,en quantité élevée,,+5%,+5%,+10%,+10%,-100%,-100%,-10%,+263%,+263%,24,+10%,E,+10%,72.4%,18.3%,4.1%,1.4%,0.8%,3.0%,28,,,,,,,,,,,,,
874,Raifort d'Alsace râpé - Alelor,3279021001007,['Alelor'],['France'],[],[],?,85,356 kj(85 kcal),"3,4","0,4","16,1",4,"2,8","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,Foie gras d'oie entier Mi-cuit - Panache des Landes,3356650007218,['Panache des Landes'],['France'],"[""foie gras d'oie"", 'sel', 'poivre', ' Oie origine: France - Sud-Ouest']","['Non végétalien', 'Non végétarien']",?,511,2138 kj(511 kcal),"52,4","21,1","0,9",0,9,"1,23","0,492",,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras entiers', ""Foies gras d'oies"", 'Foies gras mi-cuits', ""Foie gras d'oie entier""]",['Sans nitrite de sodium'],52.4 g,en quantité élevée,21.1 g,en quantité élevée,0 g,en faible quantité,1.23 g,en quantité modérée,,+6%,+6%,+8%,+8%,-59%,-100%,+13%,+10%,+10%,21,+6%,E,+6%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,3,,,,,,,['France'],,
876,Bonbons Miel 150G,3760112140021,,['France'],[],[],?,0,0 kj(0 kcal),"0,5","0,1",94,68,"1,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,Escargots Willm - Française de Gastronomie,3576280390317,['Française de Gastronomie'],['France'],[],[],?,447,1870 kj(447 kcal),34,21,26,"0,7","8,2","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,Cookie mix,5996071687804,,['France'],[],[],?,383,1602 kj(383 kcal),9,"5,5",80,36,"7,3","0,21","0,084",,,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,Foie gras de canard entier de Gasgogne - Delpeyrat - 180g,3067163631868,['Delpeyrat'],['France'],"['Foie gras de canard de Gascogne ', 'Origine: France', 'sel', 'poivre', 'conservateur : nitrite de sodium']",[],?,?,,?,,?,,?,,,180 g,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers']",,,,,,,,,,,,,,,,,,,,,,,,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,3,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,
880,Tomme de Savoie,2489458038182,,['France'],[],[],?,246,1029 kj(246 kcal),13,"9,5","2,4","0,5",30,"1,4","0,56",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Produits de montagne', 'Fromages de montagne', 'Tommes', 'en:tomme-cheese-from-mountain-or-savoy']",,13 g,en quantité modérée,9.5 g,en quantité élevée,0.5 g,en faible quantité,1.4 g,en quantité modérée,,-31%,-30%,-54%,-51%,+149%,+61%,+21%,-4%,-4%,13,-12%,D,-12%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,
881,Cafe crown,8690504095569,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,Pâtes de dinde aux olives - 180g,3443705061797,,['France'],[],[],?,190,795 kj(190 kcal),13,"3,8","3,6",1,13,"1,5","0,6",180 g,,,['Halal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,Chocolate boules,2031189699998,,['France'],[],[],?,536,2243 kj(536 kcal),"31,2","18,4","56,8","53,8","6,1","0,28","0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,Caviar oscietre selection - 30g,3392072001878,,['France'],[],[],?,248,1038 kj(248 kcal),"15,6","3,9","4,3","0,2","23,7","1,3","0,52",30 g,,"['Œufs de poisson', 'Caviars', 'Caviars sauvages', 'Caviar osciètre']",,15.6 g,en quantité modérée,3.9 g,en quantité modérée,0.2 g,en faible quantité,1.3 g,en quantité modérée,,-4%,-4%,-4%,+3%,+81%,-62%,-6%,-60%,-60%,11,-32%,D,-32%,,,,,,,,,,,,,,,,,,,,
885,Colorant liquide,3700105238892,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,Basilic - Les Crudettes,3701035100679,['Les Crudettes'],['France'],[],[],?,?,,?,,?,,?,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,Marrons glace,3588400261018,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Confiseries', 'Fruits à coques et dérivés', 'Confiseries de fruits à coques', 'Marrons glacés']",,,,,,,,,,,-100%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,Brioche de boudin blanc Le Caprice - Le Prestige - 320g,3760039215079,['Le Prestige'],['France'],"['Viande fraîche de porc', 'oignons', 'lait', 'œuf', 'échalotes', 'sel', 'poivre', 'épices', ' Pâte : farine de blé', 'beurre', 'saindoux', 'levure', 'eau', 'sel']",['Non végétalien'],?,?,,?,,?,,?,,,320 g,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au porc']",['Fabrication artisanale'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 08.362.078 CE', 'Rethel (Ardennes, France)']","['Œufs', 'Gluten', 'Lait']",3,,"['Barquette', 'Plastique']",,,"['Ardennes', 'France']",,,,
889,Croquant tout chocolat - Metro Chef,3439496408392,['Metro Chef'],['France'],[],[],?,362,1515 kj(362 kcal),23,15,33,25,"4,8","0,1","0,04",,,,['Produits destinés aux professionnels'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,Fromage blanc de ferme,3551050001013,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,BISCUITS SALÉS,3237580162560,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,Bloc foie gras d'oie,3161450154747,,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Poissons et viandes et oeufs', 'Foies gras', ""Foies gras d'oies""]",,,,,,,,,,,,,,,,,,,,,,,,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,,,,
893,Ultra Street Fighter IV,5055060929834,,['France'],[],[],?,263,1100 kj(263 kcal),12,6,34,32,"0,7","2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,Pesto Rote Bete - Tartex - 125g,4005514081978,['Tartex'],"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,125 g,B,"['Epicerie', 'Sauces', 'Sauces Pesto']","['Bio', 'Bio européen', 'DE-ÖKO-003']",,,,,,,,,,,,,,,,,,,,,,,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,,,['Glas'],,,,,,,
895,"Rimuss Fruité 70 CL, 1 Bouteille",7610334957043,,['France'],[],[],?,38,159 kj(38 kcal),"0,4",0,"9,4","9,4","0,4",0,0,70 cL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,Fondue Chinoise Hirsch - 200g,7613312088715,,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,Fondue Chinoise Strauss - 200g,7613312048917,,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,Fondue Chinoise Kalb - 450g,7610200290984,,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,450 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pack'],,,,,,,
899,Comté,0239995018435,,['France'],[],[],?,431,1803 kj(431 kcal),35,24,2,"0,5",27,"0,9","0,36",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['AOP'],35 g,en quantité élevée,24 g,en quantité élevée,0.5 g,en faible quantité,0.9 g,en quantité modérée,,+9%,+9%,+7%,+11%,+333%,+80%,+7%,-8%,-8%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,
900,Filets de Crocodile - Evasion Festive,2478589076354,['Evasion Festive'],['France'],[],[],?,119,498 kj(119 kcal),"1,7","0,9","5,9","1,8",20,2,"0,8",,,"['Viandes', 'Viande de crocodile']",,1.7 g,en faible quantité,0.9 g,en faible quantité,1.8 g,en faible quantité,2 g,en quantité élevée,,-12%,-11%,-61%,-24%,+64%,+92%,0%,+36%,+36%,4,+62%,C,+62%,,,,,,,,,,,,,,,,,,,,
901,Duo de carottes et celeri finement rapé,2253026008460,,['France'],[],[],?,132,552 kj(132 kcal),12,"0,9",4,"2,6",1,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,Pastilles D'huiles Essentielles Bio - Voies Respiratoires - 6g,3700446405892,,['France'],[],[],?,?,,?,,?,,?,,,6 g,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,Vitamines C Acérola +,3535400004565,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,Rochers chocolats - Comptoir du Cacao,3760078997684,['Comptoir du Cacao'],['France'],[],[],?,513,2146 kj(513 kcal),27,17,59,46,6,"0,44","0,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,Chenin  blanc,3172258000716,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,Saucisson fumé lorrain au porc fermier,2223814047490,,['France'],[],[],?,?,,?,,?,,?,,,,,,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,Le dôme gianduja - Dardenne,3258590005470,['Dardenne'],['France'],[],[],?,540,2259 kj(540 kcal),37,13,41,35,11,"0,04","0,016",,,,"['Bio', 'Bio européen', 'en:gluten-free', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,Napoletana Pasta Sauce,9300645110227,,"['Australie', 'France']",[],[],?,47,197 kj(47 kcal),"1,3","0,2","6,5","5,2","1,4","0,36","0,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Woolworths'],,,,,,,,,,,,
909,Boeuf Sous Vide 500G Marion,3280590569324,,['France'],[],[],?,113,473 kj(113 kcal),"4,7","1,8","0,5","0,5","17,6",18,"7,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,Chapon farci foie gras & raisins,2116966027505,,['France'],[],[],?,244,1021 kj(244 kcal),19,"6,4",1,"0,8",17,"0,43","0,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,Œufs de Truite de Bretagne,5358050918222,,['France'],[],[],?,197,824 kj(197 kcal),"9,7","1,9","0,5","0,5",27,"2,6","1,04",,,"['en:Trout eggs', 'Oeufs de truite']",,9.7 g,en quantité modérée,1.9 g,en quantité modérée,0.5 g,en faible quantité,2.6 g,en quantité élevée,,+7%,+7%,+23%,+44%,-78%,+56%,+1%,-4%,-4%,13,+2%,D,+2%,,,,,,,,,,,,,,,,,,,,
912,Sirop gingembre,3217690030751,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,"['en:gluten-free', 'Kascher']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,Elusanes Passiflore 200MG,3400934225697,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,"Foie gras de canard du Sud-Ouest - La Truffe - 0,500kg",2487836117740,['La Truffe'],['France'],"['Foie gras de canard cru ', 'origine France']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,"0,500 kg",B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers', 'Foies-gras-crus']",['IGP'],,,,,,,,,,,,,,,,,,,,,,,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,"['FR 24.037.032 CE', 'Bergerac (Dordogne, France)']",,1,,"['Barquette', 'Plastique', 'Sous vide']",,,['France'],,['France'],,
915,Cèpes français cuisinés à l'huile,3301221004608,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,Organic cacao nibs,5060426630057,,['France'],[],"['Végétalien', 'Végétarien']",?,604,2527 kj(604 kcal),"50,3","34,2","18,2",1,13,"0,3","0,12",,,,"['Végétarien', 'Végétalien', 'en:The Vegan Society']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
