,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,traceability_code,allergens,nova_score,generic_name,packaging,additives,palm_ingredients,manufacturing,brand_owner,ingredients_origins,link,producer_info
25,16 canapés divins - Fauchon,3251515380003,['Fauchon'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Verrine A'pero écrevisses  homard - Guyader,3276770027364,['Guyader'],['France'],[],[],?,167,699 kj(167 kcal),12,"1,9","3,5","1,6","8,3","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Roastbeef,2179427014681,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Salade haricots blancs et patates douces,7290017094687,,['France'],[],[],?,120,502 kj(120 kcal),"0,9","0,1",19,7,"5,2","0,12","0,048",,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Foie gras de canard des landes - Panaché des landes 40180 HINX. - 0,480gr..",2404200133823,['Panaché des landes 40180 HINX.'],['France'],[],[],?,?,,?,,?,,?,,,"0,480gr..",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 40.194.002 CE', 'Montfort-en-Chalosse (Landes, France)']",,,,,,,,,,,
30,Rillettes de saumon au camembert,3760186360530,,['France'],[],[],?,190,795 kj(190 kcal),14,"7,5","5,7","0,5","9,8","0,2","0,08",,E,"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Plats préparés', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Plats préparés au poisson', 'Rillettes de poissons', 'Rillettes de saumon', 'en:preparations-made-from-fish-meat']",,14 g,en quantité modérée,7.5 g,en quantité élevée,0.5 g,en faible quantité,0.2 g,en faible quantité,,-14%,-14%,-19%,+55%,+157%,-45%,-27%,-82%,-82%,4,-54%,C,-54%,88.2%,4.1%,1.6%,5.2%,0.7%,0.2%,25,,,,,,,,,,,,,
31,Bouchées au saumon,20703295,,['France'],[],[],?,219,916 kj(219 kcal),18,11,"2,3","2,1",12,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Le saumon - Delpeyrat,3067163637280,['Delpeyrat'],['France'],[],[],?,200,837 kj(200 kcal),12,"2,71","0,51","0,44","22,4","2,54","1,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Les rillettes de cuisses de canard,3760082245344,,['France'],[],[],?,505,2113 kj(505 kcal),51,18,0,0,11,"1,7","0,68",,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",,51 g,en quantité élevée,18 g,en quantité élevée,0 g,en faible quantité,1.7 g,en quantité élevée,,+26%,+26%,+39%,+44%,-100%,-100%,-32%,+24%,+24%,23,+19%,E,+19%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,
34,Lait entier pasteurisé - GAEC Baguet - 1L,3760143520038,['GAEC Baguet'],['France'],[],[],?,?,,?,,?,,?,,,1 L,C,"['Produits laitiers', 'Laits', 'Laits pasteurisés', 'Laits entiers', 'Laits de vache']",['Bleu Blanc Cœur'],,,,,,,,,,,,,,,,,,,,,,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,"['FR 15.259.020 CE', 'Vieillespesse (Cantal, France)']",,,,,,,,,,,
