,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,traceability_code,eco_score,quantity,packaging,brand,categories,manufacturing,link,markets,nova_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,generic_name,allergens,ingredients_origins,brand_owner,palm_ingredients,producer_info
1923,Igp Oc Sauvignon Blanc 12.5°,3760200891309,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,,?,,,['IGP'],,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,-100%,,,,,,,,,,,,,,,,,,,-100%,-100%,,,,,,,,,,,,,,
1924,Calpis soda - 500ml,4901340010543,['France'],[],[],?,36,151 kj(36 kcal),0,0,"8,9","8,9","0,2",0,0,,,,500 ml,,,"['Boissons', 'Boissons avec sucre ajouté']",,,,,,-58%,-100%,-55%,-63%,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,8.9 g,en quantité élevée,0 g,en faible quantité,-59%,-100%,-51%,-100%,-100%,12,+1%,E,+1%,,,,,,,
1925,Brooklyn à tube S 60,3663849301348,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,Skyr à l'islandaise,29002276,['France'],[],[],?,75,314 kj(75 kcal),"2,2","1,6","3,5","3,5","10,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927,2869805044613,2869805044613,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,Galettes bio - Mademoiselle Breizh - 4,3288880161494,['France'],"['2 moutures de sarrasin*', 'eau', 'sel de Guérande', 'sans conservateurs,']",[],?,?,,?,,?,,?,,,"['Bio', 'Sans conservateurs']",,B,4,,['Mademoiselle Breizh'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Crêpes et galettes', 'Galettes de céréales soufflées', 'Galettes', 'Galettes de sarrasin soufflé']",,,,3,,,,,,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,,,,,,,,,,,,,,,,,,,,,,,,
1929,Compote de pommes BIO - 400g,3700977780086,['France'],[],[],?,68,285 kj(68 kcal),"0,6","0,2",15,14,"0,5",,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'Fabriqué en France']",,,400 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930,Détoxication tuocha - Léa Nature,3760020507626,['France'],[],[],?,?,,?,,?,,?,,,['Fabriqué en France'],,,,,"['Léa Nature', 'Floressance']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,Roquefort AOP Papillon,2488789026578,['France'],[],[],?,379,1586 kj(379 kcal),32,20,"1,8",0,21,"3,6","1,44",['AOP'],,D,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', 'Fromages de brebis', 'Roqueforts']",,,,,,+3%,+0%,+176%,+8%,88.4%,4.4%,2.4%,3.1%,1.4%,0.4%,44,32 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,3.6 g,en quantité élevée,+4%,-10%,-100%,+1%,+1%,19,0%,E,0%,,,,,,,
1932,Elembal - Papier cuisson -,3564700732533,['France'],[],[],?,?,,?,,?,,?,,,,,,,['boîte'],,"['Non alimentaire', 'Open Products Facts']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
