,name,bar_code,eco_score,packaging,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,additives,allergens,nova_score,labels,markets,generic_name,quantity,palm_ingredients,manufacturing,traceability_code,link,ingredients_origins,producer_info,origin_detail
462,Petits pots de creme chocolat - Cora - 4x100g,3257984122731,,['pot en verre'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Desserts au chocolat']",['France'],"['Lait entier 45,3% - crème 16,7% - eau - sucre - chocolat 7,6% ', 'pâte de cacao - sucre - émulsifiant : lécithine de soja - extrait de vanille', ' - œuf frais 5% - cacao maigre - poudre de lait écrémé - épaississants : cellulose', 'carboxymethylcellulose', 'carraghénanes-Correcteur d’acidité : hydroxyde de sodium']",['Non végétalien'],9 g,en quantité modérée,5.5 g,en quantité élevée,17 g,en quantité élevée,0.1 g,en faible quantité,?,,178,-10%,745 kj(178 kcal),-8%,9,-5%,"5,5",-4%,19,-7%,17,-3%,"4,6",+2%,"0,1",-43%,"0,04",-43%,8,-5%,C,-5%,,,,,,,,['Cora'],"['E322i - Lécithine', 'E460 - Cellulose', 'E466 - Carboxyméthylcellulose', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E524 - Hydroxyde de sodium']","['Œufs', 'Lait']",4,,['Cora'],,4x100g,,['france 57'],"['EMB 57132', 'Château-Salins (Moselle, France)', 'FR 57.132.001 CE', 'Château-Salins (Moselle, France)']",,,,
463,Olives noires et vertes - Cora,3257984524856,,,,['France'],[],[],,,,,,,,,?,,200,,837 kj(200 kcal),,20,,"2,2",,"1,6",,"0,8",,"1,6",,"3,7",,"1,48",,,,,,,,,,,,,['Cora'],,,,,['Cora'],,,,,,,,,
464,Compote - Cora - 540g (6x90g),3257984584997,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes à boire']",['France'],"['Pomme 99,9%', 'antioxydant : acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.5 g,en faible quantité,0 g,en faible quantité,10.6 g,en quantité modérée,0 g,en faible quantité,?,,53,-15%,222 kj(53 kcal),-16%,"0,5",+37%,0,-100%,"12,4",-9%,"10,6",-15%,"0,5",+23%,0,-100%,0,-100%,-4,,A,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,['Cora'],['E300 - Acide ascorbique'],,1,['Sans sucre ajouté'],['Cora'],,540g (6x90g),,,,,,,
465,Tablettes de chocolat au lait - Cora - 100g,3257984932569,E,"['Sous atmosphère protectrice', 'Film en plastique']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",['France'],"['Sucre - beurre de cacao - lait écrémé en poudre - pâte de cacao - lactosérum en poudre - matière grasse de lait anhydre - pâte de noisettes - émulsifiant : lécithine de tournesol - arôme vanille', '\rTraces éventuelles d’autres fruits à coque et de gluten\rCacao\xa0: 30\xa0% minimum']","['Sans huile de palme', 'Non végétalien']",31 g,en quantité élevée,19 g,en quantité élevée,55 g,en quantité élevée,0.28 g,en faible quantité,?,,539,-3%,2255 kj(539 kcal),-2%,31,-10%,19,-3%,56,+8%,55,+12%,"8,1",+13%,"0,28",+20%,"0,112",+20%,27,+6%,E,+6%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,['Cora'],['E322i - Lécithine'],,4,,['Cora'],,100 g,,,,,,,
466,Cola - Cora - 50cl,3257985302323,B,,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops cola']",['France'],['Eau gazéifiée - sucre - colorant : E150d - acidifiant : acide orthophosphorique - arôme naturel - caféine'],"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",,,,,,,,,?,,43,-76%,180 kj(43 kcal),-76%,0,-100%,0,-100%,"10,7",-76%,"10,6",-73%,0,-100%,"< 0,01",-22%,"0,004",-22%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,['Cora'],"[""E150d - Caramel au sulfite d'ammonium"", 'E338 - Acide orthophosphorique', '', 'Risque élevé de sur-exposition']",,4,,['Cora'],,50 cl,,,"['EMB 49099K', 'Cholet (Maine-et-Loire, France)']",,,,
467,Saint Marcellin,3258130902306,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Saint-Marcellin']",['France'],[],[],23 g,en quantité élevée,16 g,en quantité élevée,1.4 g,en faible quantité,1.3 g,en quantité modérée,?,,280,+3%,1172 kj(280 kcal),+4%,23,+2%,16,-5%,"2,2",+67%,"1,4",+79%,16,+1%,"1,3",-2%,"0,52",-2%,13,-4%,D,-4%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,,
468,Supermix apero - Biodyne,3258260004734,,,"['Biscuits et gâteaux', 'Aides culinaires', 'Gâteaux', 'Préparations pour desserts', 'Aides à la pâtisserie', 'Préparations pour gâteaux']",['France'],"['Farine de riz complet* ', 'sirop de riz* épaississant : gomme de guar*', 'algues marines 2,25% ', 'Lithothamnium calcareum', 'Fucus vesicu/osus Ascophy//um nodosurn Laminaria digitata', '? épaississant : gomme de caroube*', "" *issus d'agriculture biologique""]","['Végétalien', 'Végétarien']",,,,,,,,,?,,371,-0%,1552 kj(371 kcal),+0%,3,-71%,"0,6",-86%,75,+27%,2,-93%,9,+50%,"0,1",-84%,"0,04",-84%,,,,,,,,,,,,['Biodyne'],"['E412 - Gomme de guar', 'E410 - Gomme de caroube']",,4,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Sans lactose']",['Magasins U'],,,,,,,,,
469,Super boisson noisette - Biodyne - 280g,3258260024527,,,['Préparation'],['France'],[],[],7 g,en quantité modérée,0.5 g,en faible quantité,7 g,en quantité modérée,0.1 g,en faible quantité,?,,370,,1548 kj(370 kcal),+24%,7,-19%,"0,5",,51,+21%,7,,19,,"0,1",-91%,"0,04",-91%,-5,,A,,,,,,,,,['Biodyne'],,,,['Bio'],['Magasins U'],,280g,,,,,,,
470,Assortiment de biscuits - Belle France - 375g,3258561021393,D,"['Carton', 'Plastique']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",['France'],[],[],28.4 g,en quantité élevée,16.3 g,en quantité élevée,42.4 g,en quantité élevée,0.4 g,en quantité modérée,2209,+7%,528,+7%,2209 kj(528 kcal),+7%,"28,4",+21%,"16,3",+38%,"61,6",-1%,"42,4",+30%,"5,7",-13%,"0,4",-28%,"0,16",-28%,24,+12%,E,+12%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,['Belle France'],,,,,,,375 g,,,,,,,
471,Saveur intense - Belle France - 500g,3258561040134,C,['Carton'],"['Boissons', 'Petit-déjeuners', 'Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Boissons instantanées', 'Chocolats en poudre']",['France'],"['Sucre', 'cacao maigre en poudre ', '32 %', 'émulsifiant: lécithines ', 'tournesol', 'arôme vanille', ' Traces éventuelles de gluten et de lait']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",,,,,,,,,?,,376,+13%,1573 kj(376 kcal),+10%,"4,9",+14%,"2,4",-6%,70,+10%,66,+17%,"7,5",+18%,"0,02",-90%,"0,008",-90%,,,,,75.0%,1.1%,15.1%,5.7%,3.2%,0.0%,52,['Belle France'],['E322i - Lécithine'],,4,['en:gluten-free'],,,500 g,,,,,,,
472,L. 2T. 100 Chocolate Blanc B. F - Belle France - 100g,3258561060378,E,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs']",['France'],"['sucre', 'beurre de cacao', 'poudre de lait entier ', '24%', 'lactosérum en poudre', 'matière grasse de lait anhydre', 'émulsifiant : lécithines ', 'tournesol', 'arômes']","['Sans huile de palme', 'Non végétalien']",34 g,en quantité élevée,21 g,en quantité élevée,57 g,en quantité élevée,0.29 g,en faible quantité,?,,560,-1%,2343 kj(560 kcal),-1%,34,-6%,21,-3%,57,+7%,57,+13%,"6,6",-1%,"0,29",+13%,"0,116",+13%,27,+1%,E,+1%,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,['Belle France'],['E322i - Lécithine'],['Lait'],4,,,,100 g,,,,,,,
473,Bonbons a la menthe sans sucre - Belle France,3258561070445,E,"['Sachet', 'Plastique', 'Film en plastique']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],"['édulcorants : maltitols', 'sucralose', ' arômes naturels de menthe', ' colorant: indigotine', ' Peut contenir des traces de lait et de fruits à Coque']",[],0 g,en faible quantité,0 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,?,,233,-35%,975 kj(233 kcal),-35%,0,-100%,0,-100%,"96,9",+16%,"0,2",-100%,0,-100%,0,-100%,0,-100%,2,-86%,B,-86%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,['Belle France'],"['E965 - Maltitol', 'E955 - Sucralose', ""E132 - Indigotine carmin d'indigo""]",,4,"['Peu ou pas de sucre', 'Sans sucre']",,,,,,,,,,
474,Cornichons extra-fins - Belle France - 350g / 370ml /185g égoutté,3258561140049,,"['Bocal', 'Verre', 'métal']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons', 'Cornichons extra-fins', 'Cornichons au vinaigre']",['France'],"['Cornichons extra-fins', 'eau', 'vinaigre ', '18 %', 'oignons blancs au vinaigre', 'sel', 'graines de moutarde', ""coriandre feuilles d'estragon"", 'affermissant chlorure de calcium', 'conservateur : disulfite de potassium']",[],0.8 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.6 g,en quantité modérée,?,,16,-20%,67 kj(16 kcal),-13%,"0,8",+150%,0,-100%,"1,1",-28%,0,-100%,"1,2",+6%,"0,6",-67%,"0,24",-67%,2,-5%,B,-5%,,,,,,,,['Belle France'],"['E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']","['Moutarde', 'Anhydride sulfureux et sulfites']",4,,,,350 g / 370 ml /185 g égoutté,,,,,,,
475,Compote Pom / Prun. S / S. - Belle France - 400g e (4 * 100g),3258561202259,B,"['Frais', 'Carton', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes pruneau']",['France'],"['Purée de pommes ', '74 %', 'purée de pruneaux ', 'pruneaux 16,6 %', 'eau', 'antioxydant : açide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.5 g,en faible quantité,0.5 g,en faible quantité,12.9 g,en quantité élevée,0 g,en faible quantité,?,,79,-2%,331 kj(79 kcal),+2%,"0,5",+50%,"0,5",+550%,"17,9",+5%,"12,9",-12%,"0,7",+23%,0,-100%,0,-100%,-3,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,['Belle France'],['E300 - Acide ascorbique'],,1,"['Peu ou pas de sucre', 'Sans sucre ajouté']",,,400 g e (4 * 100 g),,,"['EMB 19123', 'Malemort-sur-Corrèze (Corrèze, France)']",http://bit.ly/2sa1egU,,,
476,Champignons de Paris - Belle France - 800g,3258561210803,A,"['Conserve', 'Boîte en métal']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Champignons et produits dérivés', 'Champignons', 'Champignons en conserve', 'Champignons de Paris en conserve', 'Champignons de Paris entiers en conserve']",['France'],"['champignon de Paris', 'eau', 'sel', 'acidifiant : acide citrique', 'antioxydant : acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.4 g,en faible quantité,0.4 g,en faible quantité,0.6 g,en faible quantité,0.7 g,en quantité modérée,?,,79,+295%,331 kj(79 kcal),+299%,"0,4",+15%,"0,4",+367%,"0,6",-23%,"0,6",+75%,"2,2",-3%,"0,7",+5%,"0,28",+5%,-5,,A,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,['Belle France'],"['E330 - Acide citrique', 'E300 - Acide ascorbique']",,3,,,,800 g,,,,,,,
477,Petit Salé aux lentilles cuisinées - Belle France - 840g e,3258561240350,C,"['Conserve', 'Métal']","['Conserves', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au porc', 'Plats préparés en conserve', 'Petits salés aux lentilles']",['France'],"['Lentilles précuites 34 %', 'eau', 'épaule de porc traitée en salaison 24 % ', 'épaule de porc', 'eau', 'sel', 'stabilisants : triphosphates - polyphosphates', 'conservateur : nitrite de sodium', 'carottes', 'oignons', 'saindoux', ' arômes', 'farine de blé', 'épaississants : farine de graines de caroube et gomme guar']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3.7 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,11 g,en quantité élevée,436,-9%,104,-17%,436 kj(104 kcal),-14%,"3,7",-23%,"1,4",-15%,"7,8",+0%,"0,5",-34%,"8,3",-12%,11,+1094%,"4,4",+1094%,10,,C,,64.9%,20.7%,7.0%,3.9%,2.1%,1.5%,59,['Belle France'],"['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E410 - Gomme de caroube', 'E412 - Gomme de guar']",['Gluten'],4,"['Point Vert', 'Tidy man']",,,840 g e,,['France'],"['FR 77.438.001 CE', 'Saint-Thibault-des-Vignes (Seine-et-Marne, France)', 'EMB 77438', 'Saint-Thibault-des-Vignes (Seine-et-Marne, France)']",,['Union européenne'],,
478,"Pet 4X20Cl Orange Abc Bf, - Belle France - 80cl (4 *20cl e)",3258561301143,D,"['Plastique', 'Bouteille', 'Film plastique', 'PET']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits à base de concentré', ""Jus d'orange"", ""Jus d'orange à base de concentré""]",['France'],"[""Jus d'orange à base de jus concentré"", 'antioxydant : acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.3 g,en faible quantité,0.1 g,en faible quantité,10 g,en quantité élevée,0.01 g,en faible quantité,?,,42,-2%,176 kj(42 kcal),-3%,"0,3",+58%,"0,1",+203%,10,+3%,10,+10%,1,+59%,"0,01",+21%,"0,004",+21%,3,0%,C,0%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,['Belle France'],['E300 - Acide ascorbique'],,1,,,Jus d'orange à base de concentré,80 cl (4 *20 cl e),,,,,,,
479,Petit pois - Belle France - 1kg,3258561412320,B,"['Sachet', 'Plastique', 'surgelé']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumineuses surgelées', 'Légumes surgelés', 'Petits pois', 'Petits pois surgelés']",['France'],['Petits pois extra-fins'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0.4 g,en faible quantité,0.2 g,en faible quantité,2.5 g,en faible quantité,5 g,en quantité élevée,?,,168,+100%,703 kj(168 kcal),+102%,"0,4",-32%,"0,2",+77%,"9,7",+18%,"2,5",-18%,"0,09",-98%,5,+7849%,2,+7849%,2,,B,,53.1%,0.0%,14.8%,11.8%,14.0%,6.3%,94,['Belle France'],,,1,,,,1 kg,,,,,,,
480,Torsades ç la carbonara - Belle France - 900g,3258561412948,C,"['Sachet en plastique', 'Surgelé']","['Plats préparés', 'Plats à base de pâtes', 'Pâtes à la carbonara']",['France'],"['pâtes précuites 51,9% ', 'eau', 'semoule de blé dur', 'eau', 'crème fraîche 11,5%', 'lardons crus fumés 8,8% ', 'poitrine de porc ', 'origine : UE', 'eau', 'sel', 'sirop de glucose', 'dextrose', 'arôme', 'arôme de fumée', 'conservateurs : E250 - E316', 'emmental', 'poudre de lait entier', 'amidon transformé de maïs', 'arômes et arômes de fumée ', 'contient lait', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",7.7 g,en quantité modérée,4.2 g,en quantité modérée,1.5 g,en faible quantité,0.65 g,en quantité modérée,702,+0%,168,-6%,702 kj(168 kcal),-4%,"7,7",-17%,"4,2",-12%,18,+16%,"1,5",+24%,"5,8",-6%,"0,65",-11%,"0,26",-11%,4,-29%,C,-29%,67.1%,20.0%,4.3%,4.5%,2.4%,1.7%,66,['Belle France'],"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E14XX - Amidons modifiés']","['Gluten', 'Lait']",4,,,,900 g,,,,,,,
481,6 oeufs frais - Belle France,3258561420851,B,['Carton'],"[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'Œufs de poules élevées en cage']",['France'],"['Œufs de poules élevées en cage ', ""code du producteur sur l'œuf : 3 cage - FR France 3 lettres identification de l'élevage 2 chiffres NO du bâtiment""]",['Non végétalien'],10.3 g,en quantité modérée,2.7 g,en quantité modérée,0.7 g,en faible quantité,0.325 g,en quantité modérée,?,,145,+1%,607 kj(145 kcal),+2%,"10,3",+3%,"2,7",+14%,"0,7",+5%,"0,7",+29%,"12,3",-2%,"0,325",+16%,"0,13",+16%,-1,,A,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,['Belle France'],,['Aucun'],,['Pondu en France'],,,6 oeufs,,['France'],"['FR 78.263.001 CE', 'Gambais (Yvelines, France)']",,['France'],,
482,Oeufs frais calibres gros - Belle France - 6oeufs,3258561421575,B,['Boîte carton à recycler'],"[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'Œufs de poules élevées au sol']",['France'],['Oeufs calibre gros'],[],10.3 g,en quantité modérée,2.7 g,en quantité modérée,0.7 g,en faible quantité,0.3 g,en quantité modérée,?,,144,+3%,602 kj(144 kcal),+2%,"10,3",+4%,"2,7",+8%,"0,7",+29%,"0,7",+60%,"12,3",-2%,"0,3",+7%,"0,12",+7%,-1,,A,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,['Belle France'],,,,"['Pondu en France', 'Poules élevées au sol']",['Coccimarket'],,6 oeufs,,['France'],,,['France'],,
483,Brique de Brebis - Belle France - 150g,3258561430522,B,"['Papier', 'Carton']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages pasteurisés', 'Fromages de brebis']",['France'],"['Lait de brebis pasteurisé', 'ferments lactiques', 'sel', 'présure animale', 'chlorure de calcium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",26.3 g,en quantité élevée,18.7 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,1262,-10%,305,-16%,1262 kj(305 kcal),-16%,"26,3",-15%,"18,7",-11%,0,-100%,0,-100%,17,-15%,"1,5",-39%,"0,6",-39%,14,-20%,D,-20%,87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,['Belle France'],,['Lait'],3,['Fabriqué en France'],['Coccinelle'],Fromage de brebis au lait pasteurisé,150 g,,['France'],"['FR 46.177.001 CE', 'Loubressac (Lot, France)']",,['France'],,
484,"Bleu Lait Entier 250G. Bf, - Belle France - 250g",3258561430737,B,"['Point vert', 'Carton', 'Papier', 'Frais', 'Point vert']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée']",['France'],"['Lait pasteurisé 92,6% ', 'Origine : France', 'crème pasteurisée 6,9%', 'ferments lactiques et d’affinage', 'sel', 'présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",31 g,en quantité élevée,22.2 g,en quantité élevée,1 g,en faible quantité,1.9 g,en quantité élevée,?,,351,-0%,1469 kj(351 kcal),-0%,31,+3%,"22,2",+6%,1,+40%,1,+408%,"15,9",-18%,"1,9",-26%,"0,76",-26%,17,-4%,D,-4%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Belle France'],,['Lait'],3,['Fabriqué en France'],,Fromage à pâte persillée au lait et à la crème pasteurisés,250 g,,"['Société Fromagère de Riom', '15400', 'Riom-ès-Montagnes', 'France']","['FR 15.162.001 CE', 'Riom-ès-Montagnes (Cantal, France)', 'EMB 15162A', 'Riom-ès-Montagnes (Cantal, France)']",,,,
485,Coeur de scarole - Belle France - 200g,3258561449852,B,"['Sachet', 'Plastique', 'Frais']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Salades', 'Aliments à base de plantes frais', 'Légumes-feuilles', 'Légumes frais', 'Scarole', 'Salades vertes']",['France'],['Scarole'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,59.4%,0.0%,0.0%,13.2%,18.9%,8.4%,95,['Belle France'],,,1,['Point Vert'],,,200 g,,,"['EMB 45082', 'Châteauneuf-sur-Loire (Loiret, France)', 'EMB 13018D', 'Cabannes (Bouches-du-Rhône, France)']",,,,
486,Lardons Allumettes Fumés - Belle France,3258561450216,D,,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Allumettes de porc', 'Lardons de porc', 'Lardons de porc fumés']",['France'],"['poitrine de porc', 'sel', 'lactose', 'dextrose', 'antioxydant : ascorbate de sodium', 'conservateurs : nitrite de sodium - nitrate de potassium', 'substances aromatisantes naturelles']","['Non végétalien', 'Non végétarien']",19.1 g,en quantité modérée,6.9 g,en quantité élevée,0.77 g,en faible quantité,3.23 g,en quantité élevée,1016,-4%,?,,1016 kj(243 kcal),-8%,"19,1",-12%,"6,9",-16%,"0,77",-6%,"0,77",+20%,17,+4%,"3,23",+22%,"1,292",+22%,19,-5%,E,-5%,85.6%,9.1%,2.1%,1.8%,1.1%,0.3%,36,['Belle France'],"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",['Lait'],4,,,,,,,"['EMB 42175A', 'Pouilly-lès-Feurs (Loire, France)', 'FR 42.175.001 CE', 'Pouilly-lès-Feurs (Loire, France)']",,,,
487,Cervelas - Belle France - 300g,3258561450940,E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Cervelas']",['France'],"['colorant : carmins', ' A consommer sans le Elaboré en Fronceù rtirdeporcori inéU', 'EtDéclaration nutritionnellepour100g: dontsaturés:gg - GIICides : g dontSucrer0,èy - Protéines 5 g - Sel : Q Conservation : ù conserver entre OOC et+4QC']","['Non végétalien', 'Non végétarien']",25.2 g,en quantité élevée,9 g,en quantité élevée,0.2 g,en faible quantité,2.5 g,en quantité élevée,?,,278,+3%,1163 kj(278 kcal),+3%,"25,2",+5%,9,+6%,"0,2",-84%,"0,2",-76%,"12,5",0%,"2,5",+19%,1,+19%,21,+8%,E,+8%,84.8%,9.7%,1.8%,1.2%,0.7%,1.9%,15,['Belle France'],['E120 - Acide carminique'],,4,,,,300 g,,,"['FR 44.180.004 CE', 'Saint-Mars-la-Jaille (Loire-Atlantique, France)', 'EMB 44180C', 'Saint-Mars-la-Jaille (Loire-Atlantique, France)']",,,,
488,Pâté en croute cocktail - Belle france,3258561461731,E,['Conserve'],"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Pâté en croûte']",['France'],[],[],17 g,en quantité modérée,7.6 g,en quantité élevée,1.4 g,en faible quantité,1.8 g,en quantité élevée,1220,-2%,292,-0%,1220 kj(292 kcal),0%,17,-7%,"7,6",-4%,25,+22%,"1,4",+27%,"9,3",-13%,"1,8",+7%,"0,72",+7%,16,-6%,D,-6%,84.3%,11.4%,2.7%,1.0%,0.5%,0.1%,17,['Belle france'],,,,['Fabriqué en France'],,,,,,"['FR 39.475.003 CE', 'Saint-Amour (Jura, France)', 'EMB 39173A', 'Cousance (Jura, France)']",,,,
489,Palets bretons - Les Délices de Belle France - 100g,3258563020240,C,"['Carton', 'boîte', 'Plastique']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Palets']",['France'],"['Farine de blé', 'beurre frais 33 % ', 'lait', 'sucre', ""jaunes d'œufs"", 'lait entier', 'sel', 'poudre', 'à lever : carbonates de sodium', 'dorure : lait écrémé']",['Non végétalien'],29 g,en quantité élevée,19 g,en quantité élevée,20 g,en quantité élevée,1.11 g,en quantité modérée,?,,523,+5%,2188 kj(523 kcal),+5%,29,+14%,19,+16%,60,-1%,20,-23%,"6,2",+5%,"1,11",+27%,"0,444",+27%,23,-5%,E,-5%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,"['Les Délices de Belle France', 'Belle France']",,"['Œufs', 'Gluten', 'Lait']",3,['Pur beurre'],,,100 g,,,,,,,
490,Assortiment de pâtes de fruits aux 6 saveurs - Belle france - 300g e,3258563070382,C,['Boite carton'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits', 'Confiseries gélifiées aromatisées']",['France'],"['sucre', 'sirop de glucose', 'purées de fruits 12,8% ', 'framboise', 'cassis', 'mandarine', 'pomme', 'jus concentrés de fruits 10,5%* ', 'coing', 'cassis', 'framboise', 'fruits de la passion', 'orange', 'pomme', 'gélifiant : pectine de fruits', 'acidifiant : acide citrique', ' Amidon de blé', ' *Equivalent à 50% de jus de fruits avant concentration']",[],0 g,en faible quantité,0 g,en faible quantité,73 g,en quantité élevée,0.375 g,en quantité modérée,1378,+4%,329,+4%,1378 kj(329 kcal),+4%,0,-100%,0,-100%,79,+4%,73,+10%,"0,2",-69%,"0,375",+212%,"0,15",+212%,10,+21%,C,+21%,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,['Belle france'],"['E440 - Pectines', 'E330 - Acide citrique']",['Gluten'],4,['Fabriqué en France'],,Confiseries gélifiées aromatisées,300 g e,,['F-19120 ALTILLAC'],"['EMB 19007', 'Altillac (Corrèze, France)']",,,,
