,name,bar_code,quantity,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,eco_score,categories,markets,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,manufacturing,packaging,link,brand_owner,ingredients_origins,generic_name,palm_ingredients
814,Honey mustard,8718719781951,,['France'],[],[],?,150,628 kj(150 kcal),"3,7","0,2","24,9","20,4","2,7","1,9","0,76",,B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,,,,3.7 g,en quantité modérée,0.2 g,en faible quantité,20.4 g,en quantité élevée,1.9 g,en quantité élevée,,-12%,-12%,-66%,-76%,+261%,+428%,-59%,-60%,-60%,13,+12%,D,+12%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,
815,Filet mignon porc,2106662006980,,['France'],[],[],?,119,498 kj(119 kcal),3,"1,2",0,0,23,"0,18","0,072",,,"['Viandes', 'Porc', 'Filets mignons de porc']",,,,,3 g,en quantité modérée,1.2 g,en faible quantité,0 g,en faible quantité,0.18 g,en faible quantité,,-6%,-6%,-20%,-20%,-100%,-100%,+6%,-53%,-53%,-3,,A,,,,,,,,,,['DE NW-20028 EG'],,,,,,,
816,Schweinefilet,2186870005920,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['stück'],,,,,
817,Rinderhüftsteak -,146900,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,E,"['Viandes', 'Bœuf', 'Steaks de bœuf', 'en:raw-beef-steaks']",,,,,,,,,,,,,,,,,,,,,,,,,,,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,,,['Beutel'],,,,Rinderhüftsteak,
818,Pomme,3590920700748,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,Récré,09777729,,['France'],[],[],?,44,184 kj(44 kcal),0,0,"10,2",9,"0,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs']",,,,,,,,
820,Birlin-mühle,4029296704313,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,100g,8421906074155,100 g,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,Aiguillettes de poulet surgelés,3700158781284,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,D,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",,,,,,,,,,,0 g,en faible quantité,,-100%,-100%,,,,,,-100%,-100%,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,"['FR 56.081.001 CE', 'Guiscriff (Morbihan, France)']",,,,,,,
823,airwaves,4009900469968,,['France'],[],[],?,?,,?,,?,,?,,,"['Airwaves', ""Wrigley's""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,Coeur de saumon fumé,5400742902191,,['France'],[],[],?,228,954 kj(228 kcal),"15,1","5,8","0,6","0,5","22,4","3,3","1,32",,D,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,,,,15.1 g,en quantité modérée,5.8 g,en quantité élevée,0.5 g,en faible quantité,3.3 g,en quantité élevée,,+23%,+23%,+44%,+182%,+21%,+50%,+1%,+17%,+17%,17,+30%,D,+30%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,"['Bio', 'Bio européen', 'BE-BIO-01', 'Agriculture UE/Non UE']",,,,,,,,
825,Poulet nourri aux graines - Maître Coq,0215703032016,,['France'],[],[],?,114,477 kj(114 kcal),2,"0,2",0,0,24,"0,15","0,06",['Maître Coq'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,Conchiglie nature tomate épinard,3770012837082,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,Felinity,3664133000312,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,Chutney abricot façon pain d'épice - Favols,3469670413102,,['France'],[],[],?,?,,?,,?,,?,0,0,['Favols'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Chutneys de fruit']",,,,,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,,,,,,,,,,,,,,,,
829,pain au lait,07778889,,['France'],[],[],?,375,1569 kj(375 kcal),13,5,55,14,9,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,Talon de jambon,0000124000009,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,Aiguilette de poulet,2297815017714,,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,
832,Boulettes épicées,2273348025655,,['France'],[],[],?,217,908 kj(217 kcal),16,"6,4","2,2","0,9",16,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,
833,Mayonnaise,5412465998986,,['France'],[],[],?,730,3054 kj(730 kcal),"80,3","6,3","0,5","0,3","1,6","0,9","0,36",,D,"['Epicerie', 'Sauces', 'Mayonnaises', 'en:Epicerie']",,,,,80.3 g,en quantité élevée,6.3 g,en quantité élevée,0.3 g,en faible quantité,0.9 g,en quantité modérée,,+165%,+168%,+277%,+174%,-95%,-96%,-20%,-68%,-68%,18,+38%,D,+38%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,
834,Granola Mix - Morrisons,5010251746515,,['France'],[],[],?,403,1686 kj(403 kcal),"11,6","2,9","66,5","48,3","5,5","0,25","0,1",['Morrisons'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,Filets Poulet Fermier - Monoprix,0206975062580,,['France'],[],[],?,?,,?,,?,,?,0,0,['Monoprix'],,,['Monoprix'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'Point Vert']",,,,,,,,
836,Galettte des rois,0201305058714,,['France'],[],[],?,442,1849 kj(442 kcal),28,17,40,11,"7,3","0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,Chorizo,8421395742122,,['France'],[],[],?,1500,6276 kj(1500 kcal),"30,9","11,5","3,7","1,8",22,"5,7","2,28",,D,"['Viandes', 'Charcuteries', 'Saucissons', 'Chorizo']",,,,,30.9 g,en quantité élevée,11.5 g,en quantité élevée,1.8 g,en faible quantité,5.7 g,en quantité élevée,,+269%,+267%,-9%,-11%,+27%,+1%,-4%,+52%,+52%,30,+26%,E,+26%,76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,,,,,,,,,
838,The pork cube - Knorr,5000184161240,,['France'],[],[],?,7,29 kj(7 kcal),"0,5","0,3","0,5","0,5","0,5","0,93","0,372",['Knorr'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,
839,Cajun chicken double decker,5391526156308,,['France'],[],[],?,239,1000 kj(239 kcal),"12,6","1,7",0,0,"8,8","1,23","0,492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,Yop,0204977007943,,['France'],[],[],?,279,1167 kj(279 kcal),"0,8","0,5","10,7","10,5",3,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,Abricot sec,2600110032472,,['France'],[],[],?,?,,?,,?,,?,0,0,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",,,,,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,,,,,,,
842,Pain waldkorn,0202066010171,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,Danette par 16,3033491554612,,['France'],[],[],?,122,510 kj(122 kcal),3,"1,9","19,9","17,5","3,3","0,14","0,056",['Danette'],,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",,,,,3 g,en quantité modérée,1.9 g,en quantité modérée,17.5 g,en quantité élevée,0.14 g,en faible quantité,,+33%,+33%,-8%,-7%,+81%,+73%,-12%,+22%,+22%,3,-2%,C,-2%,,,,,,,,"['Lait Français', 'Point Vert']","['FR 38.408.002 CE', 'Saint-Just-Chaleyssin (Isère, France)']",['France'],"['Frais', 'Pot']",,,,,
844,Boulettes au Veau,3346231698003,,['France'],[],[],?,193,808 kj(193 kcal),12,"5,1","6,6","1,1",14,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 24.053.001 CE', 'Boulazac (Dordogne, France)']",,,,,,,
845,Ananas,2416346032991,,['France'],[],[],?,53,222 kj(53 kcal),"0,24","0,01",11,"10,4","0,52",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,Les falinettes,3735007727281,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,Rôti de porc cuit à l'ancienne,0253102027752,,['France'],[],[],?,250,1046 kj(250 kcal),16,"6,4","0,6","0,5",26,"1,6","0,64",,E,"['Viandes', 'Porc', 'Rôtis de porc']",,,,,16 g,en quantité modérée,6.4 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,,+74%,+76%,+218%,+206%,-27%,-20%,+16%,-7%,-7%,16,+124%,D,+124%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,"['Viande Française', 'Viande Porcine Française']","['FR 85.006.001 CE', 'Apremont (Vendée, France)']",,,,,,,
848,Coeur coulant decongele,0204652023947,,['France'],[],[],?,368,1540 kj(368 kcal),20,14,40,35,"5,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,Pates Bolognaise,2206771026241,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,Hydroxydase Menthe - 10 Flacons - Hydroxydase,3401581788610,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,
851,Lasagne,6194002260006,,['France'],[],[],?,348,1456 kj(348 kcal),0,0,70,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,Soupe de tomates,3530340000066,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,Repas Cochon D'inde Spécial Poils Long / Rosette 900 GR,3469980005837,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Point Vert'],,,,,,,,
854,Banane,2803327004465,,['France'],[],[],?,?,,?,,?,,?,0,0,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,,,,,,
855,Yaourt de brebis au citron,0205661008468,,['France'],[],[],?,?,,?,,?,,?,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au lait de brebis']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,Blueberry fruit perls - 450g,4710007520390,450 g,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,Poulet Saumuré cuit et fumé - Carrefour,0276382038706,,['France'],[],[],?,157,657 kj(157 kcal),"7,4",2,"0,6","0,5",22,"1,1","0,44",['Carrefour'],,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,TRIPES - LES BOUCHERS REGIONAUX - 330g,22204330021973,330 g,['France'],"['Panse de boeuf français 71%,oignons', 'carottes', 'gélatine de porc vin blanc ', 'SULFITES', 'poireau sel', 'poivre']",[],425,101,425 kj(101 kcal),3,"1,5","0,5","0,2",18,"1,4","0,56",['LES BOUCHERS REGIONAUX'],,"['Poissons et viandes et oeufs', 'Abats', 'Produits tripiers', 'Tripes']",['Bouchers Régionaux'],['E428 - Gélatine'],['Anhydride sulfureux et sulfites'],4,3 g,en quantité modérée,1.5 g,en quantité modérée,0.2 g,en faible quantité,1.4 g,en quantité modérée,+2%,+1%,+1%,-9%,+6%,-33%,-49%,+10%,+22%,+22%,3,+127%,C,+127%,,,,,,,,,"['FR 72.181.005', 'Mans (Sarthe, France)']",['Le Mans'],"['Plastique', 'Sous vide']",,,['France'],TRIPE,
859,Pomme - 900g,3661072346952,900 g,['France'],[],[],?,54,226 kj(54 kcal),0,0,"11,6",11,"0,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,Châtaigne avec morceaux,3511281005099,,['France'],[],[],?,236,987 kj(236 kcal),"0,5","0,1",56,47,"0,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,Crozets,15837868,,['France'],[],[],?,0,0 kj(0 kcal),3,"0,8",70,"2,5",13,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,Éclair,0260304016408,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,Lou miel,3418361112503,,['France'],[],[],?,?,,?,,?,,?,0,0,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,
864,Mini nuggets de poulet coquillettes à l'emmental - Fleury Michon,3302748808502,,['France'],[],[],?,?,,?,,?,,?,0,0,['Fleury Michon'],D,"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Préparations au poulet', 'Nuggets de volaille', 'Poulets panés', 'Nuggets de poulet']",,,,,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,71.2%,17.5%,4.4%,1.9%,1.1%,4.0%,36,"['Point Vert', 'Nutriscore', 'Nutriscore C']",,,,,,,,
865,Quest bar chocolate flavor,0888849010516,,['France'],[],[],?,?,,?,,?,,?,,,['Quest'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', ""Fabriqué dans l'UE""]",,,,,,,,
866,Viande bovine - Pièces a brochettes / fondues,2493617039293,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 42.305.004 CE', 'Talaudière (Loire, France)', 'FR 42.187.001 CE', 'Roanne (Loire, France)', 'FR 42.187.002 CE', 'Roanne (Loire, France)']",,,,,,,
867,Le special du moment,3350033678712,,['France'],[],[],?,314,1314 kj(314 kcal),17,"8,9",28,"3,5",11,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 60139A', 'Chambly (Oise, France)']",,,,,,,
868,Poulet fermier,2209346007133,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Label Rouge'],,,,,,,,
869,Paté de foie pur porc,3376780000613,,['France'],[],[],?,343,1435 kj(343 kcal),"29,71","11,74","3,7","0,3","15,3","2,07","0,828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,Houmouss type - tartinade - La Vache Qui Regarde Passer Les Trains,4008164728484,,['France'],[],"['Végétalien', 'Végétarien']",?,342,1431 kj(342 kcal),32,"2,6","6,9","2,3","4,2","0,8","0,32",['La Vache Qui Regarde Passer Les Trains'],B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",,,,,32 g,en quantité élevée,2.6 g,en quantité modérée,2.3 g,en faible quantité,0.8 g,en quantité modérée,,+30%,+30%,+58%,+6%,-35%,+72%,-35%,-23%,-23%,7,+40%,C,+40%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,"['Végétarien', 'Végétalien']",,,,,,,,
871,Pecorino romano dop - Ambrosi,8002503301150,,['France'],[],[],?,388,1623 kj(388 kcal),32,19,0,0,25,"5,5","2,2",['Ambrosi'],D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages de brebis', 'Pecorino', 'Pecorino Romano']",,,,,32 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,5.5 g,en quantité élevée,,-2%,-2%,-1%,-1%,-100%,-100%,-4%,+17%,+17%,19,-1%,E,-1%,87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,['AOP'],,,,,,,,
872,Makla,54009066,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,Popped portait chips,29035199,,['France'],[],[],?,414,1732 kj(414 kcal),"10,4","0,8","72,4","3,7",6,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,Mitonné de canard braisé aux haricots - Les Garibotes,3340950208062,,['France'],[],[],?,129,540 kj(129 kcal),6,"2,2",7,"0,5","9,5","1,1","0,44",['Les Garibotes'],,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande']",,,,,6 g,en quantité modérée,2.2 g,en quantité modérée,0.5 g,en faible quantité,1.1 g,en quantité modérée,,-19%,-18%,-19%,-13%,-33%,-68%,+1%,+16%,+16%,2,-40%,B,-40%,,,,,,,,,,,,,,,,
875,Assortiment poisson pour bouillabaisse,3700068144360,,['France'],[],[],?,72,301 kj(72 kcal),"0,9","0,1","0,4","0,4",16,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Point Vert'],,,,,,,,
876,Oeufs plein air,3700454360022,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,Banane,2184435001738,,['France'],[],[],?,?,,?,,?,,?,0,0,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,['Bio'],,,,,,,,
878,Faut filet mignon de porc,2209779006017,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,4x millefeuilles,3050000002792,,['France'],[],[],?,329,1377 kj(329 kcal),18,"8,5",39,23,"3,1","0,3","0,12",,B,"['Biscuits et gâteaux', 'Pâtisseries', 'Millefeuilles']",,,,,18 g,en quantité modérée,8.5 g,en quantité élevée,23 g,en quantité élevée,0.3 g,en quantité modérée,,+5%,+5%,+20%,-16%,-2%,+16%,-19%,-36%,-36%,18,+6%,D,+6%,73.1%,14.7%,6.0%,3.0%,3.2%,0.0%,75,,,,,,,,,
880,Fruit biscuit - 4x 25g,5711070603392,4 x 25 g,['France'],[],[],?,465,1946 kj(465 kcal),23,13,57,36,"6,8","0,48","0,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,Pâtes de fruits maison Moinet - 300g,3162210995020,300 g,['France'],[],[],?,338,1414 kj(338 kcal),1,0,"83,5",62,"0,4","0,07","0,028",,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits']",,,,,1 g,en faible quantité,0 g,en faible quantité,62 g,en quantité élevée,0.07 g,en faible quantité,,+7%,+7%,+194%,-100%,+10%,-7%,-38%,-42%,-42%,9,+9%,C,+9%,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,,,,,,,
882,Poularde farcie aux airelles et foie gras,0215405160383,,['France'],[],[],?,251,1050 kj(251 kcal),20,"6,7","1,1","1,1",17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,Pain au mais,0207322010506,,['France'],[],[],?,329,1377 kj(329 kcal),"6,8","1,2",52,"1,4",13,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,Carotte râpée,3767954098619,,['France'],[],[],?,144,602 kj(144 kcal),"8,7","0,6","7,2","5,8","0,8","0,8","0,32",,B,"['Plats préparés', 'Légumes préparés', 'Carottes râpées']",,,,,8.7 g,en quantité modérée,0.6 g,en faible quantité,5.8 g,en quantité modérée,0.8 g,en quantité modérée,,+87%,+89%,+87%,+48%,+20%,+18%,-9%,+29%,+29%,5,+817%,C,+817%,62.4%,0.0%,0.0%,18.7%,12.9%,6.0%,98,,,,,,,,,
885,Velouté de potiron enrichi en protéines,3300060400312,,['France'],[],[],?,72,301 kj(72 kcal),"2,5","1,1","6,8","3,8","5,3","0,64","0,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,
886,M&m's caramel,6637957999039,,['France'],[],[],?,130,544 kj(130 kcal),5,"3,5",20,18,1,"0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,Itv Vanip´s Eucalipto S / a KG.,8413209315400,,['France'],[],[],?,237,992 kj(237 kcal),0,0,97,97,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,Plain naan - 500g,4260058595705,500 g,['France'],[],[],?,360,1506 kj(360 kcal),"21,7","15,7",36,"1,5","4,9","0,7","0,28",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains spéciaux', 'Naans']",,,,,21.7 g,en quantité élevée,15.7 g,en quantité élevée,1.5 g,en faible quantité,0.7 g,en quantité modérée,,+41%,+37%,+268%,+1817%,-23%,-53%,-40%,-28%,-28%,17,+1329%,D,+1329%,,,,,,,,['Halal'],,,,,,,,
889,Thé du Hammam - Palais des Thés,3700256716638,,['France'],[],[],?,?,,?,,?,,?,,,['Palais des Thés'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,Serovance,8400365401900,,['France'],[],[],?,125,523 kj(125 kcal),8,4,7,2,9,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Point Vert'],,,,,,,,
891,Pommmes Gala,2805198013584,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,Miel de forêt de France - 250g,3301080004436,250 g,['France'],[],[],?,?,,?,,?,,?,0,0,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français']",,,,,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,
893,Jambonneau - 400g,3349010000011,400 g,['France'],[],[],?,144,602 kj(144 kcal),"6,1","2,2","0,4","0,4","22,1","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,Poulet fermier bio,0227645028408,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen']",,,,,,,,
895,Mini epis de mais - Sharon Valley,3564040047151,,['France'],[],[],?,114,477 kj(114 kcal),"0,5",0,"4,6","1,3","1,4","0,61","0,244",['Sharon Valley'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,Radiateur,3601020016407,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,Couronne chocolat,0204303029526,,['France'],[],[],?,467,1954 kj(467 kcal),28,18,43,19,"7,9","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,Monsieur Madame,3395503060482,,['France'],[],[],?,375,1569 kj(375 kcal),1,"0,9",97,96,0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,Patis'gel,3700105211062,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,100% Fruta Banana & Morango - Continente - 100g,5601312074137,100 g,['France'],[],[],?,63,264 kj(63 kcal),"0,1","0,1",14,13,"0,8","0,03","0,012",['Continente'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
