,name,bar_code,quantity,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,eco_score,categories,markets,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,manufacturing,packaging,link,brand_owner,ingredients_origins,generic_name,palm_ingredients
631,Thé yellow power - Fitvia,4260515895515,,['France'],[],[],?,3,13 kj(3 kcal),"0,1","0,1","0,7","0,7","0,5","0,1","0,04",['Fitvia'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,Brioche Nanterre,0203566017059,,['France'],[],[],?,405,1695 kj(405 kcal),21,14,43,"4,3","9,7","0,89","0,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,Sardines huile de tournesol - Conserverie parmentier,07375767,,['France'],[],[],?,229,958 kj(229 kcal),15,3,0,0,"23,5",0,0,['Conserverie parmentier'],D,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile de tournesol""]",,,,,15 g,en quantité modérée,3 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,,+5%,+6%,+8%,-9%,-100%,-100%,+10%,-100%,-100%,-1,-127%,A,-127%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,,,,,,
634,écorces Cacao Bio - Léa Nature,3760020508272,,['France'],[],[],?,?,,?,,?,,?,,,['Léa Nature'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,
635,Protéine,5060578320318,,['France'],[],[],?,376,1573 kj(376 kcal),"5,8",1,"3,2","1,4",47,"0,96","0,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,Cuisses de poulet - 396g,2121307005951,396 g,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,
637,Taille de geisha,3363795000059,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,Rooibis vert mirabelle,3700600000369,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,Moelleux aux amandes,3760111204052,,['France'],[],[],?,399,1669 kj(399 kcal),22,"4,1",39,37,"8,9","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,Mini candy cannes,4003196031847,,['France'],[],[],?,398,1665 kj(398 kcal),0,0,"99,6",89,0,0,0,,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,,0 g,en faible quantité,0 g,en faible quantité,89 g,en quantité élevée,0 g,en faible quantité,,+12%,+11%,-100%,-100%,+20%,+53%,-100%,-100%,-100%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,
641,Roch taste & original flavour,6211078113422,,['France'],[],[],?,509,2130 kj(509 kcal),33,14,21,0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,Rillettes pur porc,3583420000159,,['France'],[],[],?,449,1879 kj(449 kcal),42,19,"0,5","0,5",17,"1,19","0,476",,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande rouge', 'Rillettes de porc']",,,,,42 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,1.19 g,en quantité modérée,,+14%,+14%,+14%,+35%,-1%,+47%,+8%,-7%,-7%,20,+3%,E,+3%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,
643,Beignets au chocolat-noisette - 750g,0207088023949,750 g,['France'],[],['Sans huile de palme'],?,385,1611 kj(385 kcal),18,2,47,19,"6,5","0,71","0,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:palm-oil-free'],,,,,,,,
644,Yaourt aromatisé sucré,3780125651123,,['France'],[],[],?,86,360 kj(86 kcal),"3,3","1,4","10,9","10,9","3,5","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,Nems de poulet - 560g,0205579026240,560 g,['France'],[],[],?,793,3318 kj(793 kcal),"8,6","1,6",21,"2,4","6,2","1,3","0,52",,C,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au poulet', 'Nems', 'Nems au poulet']",,,,,8.6 g,en quantité modérée,1.6 g,en quantité modérée,2.4 g,en faible quantité,1.3 g,en quantité modérée,,+296%,+300%,+9%,+26%,-8%,-9%,-14%,+3%,+3%,15,+255%,D,+255%,62.8%,18.1%,4.7%,5.0%,2.0%,7.4%,57,,,,,,,,,
646,Tomate grap,0240009000000,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,Casino bio noir 74%,3222477364196,,['France'],[],[],?,?,,?,,?,,?,,,['Casino Bio'],,,['Casino'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,
648,Moutarde  au piment  d espelette - Fauchon,3457041161455,,['France'],[],[],?,205,858 kj(205 kcal),"14,1",1,"9,3","5,1","9,2","5,5","2,2",['Fauchon'],B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'en:Moutarde', ""en:Moutarde au piment d'espelette"", ""Moutarde au piment d'espelette""]",,,,,14.1 g,en quantité modérée,1 g,en faible quantité,5.1 g,en quantité modérée,5.5 g,en quantité élevée,,+42%,+42%,+10%,+23%,+43%,+48%,+50%,+19%,+19%,13,+7%,D,+7%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,['Fabriqué en France'],,,,,,,,
649,Rouleaux imperiaux aux legumes,3760269070745,,['France'],[],[],?,143,598 kj(143 kcal),2,"0,3",25,"7,2",4,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,Premium Select Manuka Honey,5060391845968,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,Spaghetti Pomodoro all' panna,7610227915280,,['France'],[],[],?,124,519 kj(124 kcal),"4,6","1,3",17,"2,2","3,2","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,"Cuisses de pintade - P'tit Duc - 0,432kg",03831738,"0,432 kg",['France'],['pintade'],[],?,?,,?,,?,,?,0,0,"[""P'tit Duc""]",,"['Viandes', 'Volailles']",,,,,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,,,,,,,,,,,['Sous-vide'],,,,,
653,Godiveaux nature,0220011043104,,['France'],[],[],?,253,1059 kj(253 kcal),"20,6","7,61",1,"0,32","15,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,Thé vert Jasmin - 100g,3770000660067,100 g,['France'],[],[],?,?,,?,,?,,?,0,0,,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",,,,,,,,,,,,,,,,,,,,,-100%,-100%,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,"['Commerce équitable', 'Max Havelaar']",,,,,,,,
655,Cassoulet - Clos Saint Sozy,3443705059787,,['France'],[],[],?,154,644 kj(154 kcal),"7,8",3,11,"0,5",10,"0,84","0,336",['Clos Saint Sozy'],B,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de haricots', 'Cassoulets']",,,,,7.8 g,en quantité modérée,3 g,en quantité modérée,0.5 g,en faible quantité,0.84 g,en quantité modérée,,+9%,+10%,+13%,+19%,+36%,-36%,+6%,-5%,-5%,1,+56%,B,+56%,14.6%,32.7%,20.0%,15.1%,8.8%,8.8%,95,"['Sans colorants', 'Sans conservateurs']",,,,,,,,
656,Leche Desnatada Enriquecida En Vitaminas A Y D. Uht,8411700804355,,['France'],[],[],?,35,146 kj(35 kcal),"0,3","0,2","4,8","4,8","3,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,Trufle z wawelu - Wawel,5900102012312,,['France'],[],[],?,445,1862 kj(445 kcal),16,8,68,64,"3,9","0,18","0,072",['Wawel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,Orgran Amaretti Biscotti (5.2 Oz),0720516021190,,['France'],[],[],?,486,2033 kj(486 kcal),24,"15,4","63,3",24,"2,2","0,4","0,16",['Orgran'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,Le Gusto Bouillon Gemüse,28510581,,['France'],[],[],?,4,17 kj(4 kcal),"0,2","0,1","0,3","0,1","0,2","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,St Moret - format familial - 300g,8219770097642,300g,['France'],[],[],?,205,858 kj(205 kcal),"17,8","13,2",3,3,"8,3","1,3","0,52","['St Môret', 'Savencia']",D,"['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages à tartiner']",,,,,17.8 g,en quantité modérée,13.2 g,en quantité élevée,3 g,en faible quantité,1.3 g,en quantité modérée,,-12%,-13%,-15%,-6%,-11%,+1%,-1%,+11%,+11%,12,0%,D,0%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,['Fresh'],,,,,
661,Less sodium rich & flaky crackers,0060383772840,,['France'],[],[],?,464.28571428571,1943 kj(464 kcal),"17,857","3,571","67,857","7,143","7,143","0,982","0,393",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,Raisins secs blonds - Auchan,8435177052125,,['France'],[],[],?,314,1314 kj(314 kcal),"0,5","0,2",71,71,"2,6","0,2","0,08",['Auchan'],D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Raisins secs']",['Auchan'],,,,0.5 g,en faible quantité,0.2 g,en faible quantité,71 g,en quantité élevée,0.2 g,en faible quantité,,-1%,-0%,-14%,+43%,-2%,+13%,-8%,+270%,+270%,7,+24%,C,+24%,37.4%,55.6%,3.3%,1.3%,2.3%,0.0%,44,['Nutriscore'],,,,,,,,
663,Piment,3760287032244,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,Creakys - 700g,8412669033152,700 g,['France'],[],[],?,622,2602 kj(622 kcal),52,"9,1","8,9","4,4",25,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,Auguillettes de poulet curry coco,3230890002922,,['France'],[],[],?,105,439 kj(105 kcal),"1,4","0,5","2,2","1,3",21,"0,82","0,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,Ajo molinillo - Ducros,3166298430404,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,['Ducros'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,Filet de poulet,2448090053724,,['France'],[],[],?,108,452 kj(108 kcal),"1,8","0,5","0,5",0,23,"0,13","0,052",,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,1.8 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,0.13 g,en faible quantité,,-18%,-17%,-38%,-33%,+4%,-100%,+1%,-83%,-83%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,
668,Beignet de crevettes - 140g,0205482019681,140 g,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 69.243.004 CE', 'Tarare (Rhône, France)']",,,,,,,
669,Thé noir Earl Grey Bergamote,3760239182492,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'LK-BIO-149']",,,,,,,,
670,Pate a tartiner - Nocilla,41700570,,['France'],[],[],?,565,2364 kj(565 kcal),33,13,65,63,2,8,"3,2",['Nocilla'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,Miel,3770001073187,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,Poudre curcuma,3373020031598,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,Filet de pouletdu perigord - Monoprix Gourmet,0206845031685,,['France'],[],[],?,?,,?,,?,,?,,,"['Monoprix Gourmet', 'Monoprix']",,,['Monoprix'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 24.547.003 CE', 'Terrasson-Lavilledieu (Dordogne, France)']",,,,,,,
674,Sachets gressins,5030101029315,,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",,,,,,,,,,,,,,,,,,,,,,,,,,,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,,,,,
