,name,bar_code,brand,labels,sales_countries,ingredients_list,allergens,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,nova_score,eco_score,manufacturing,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,ingredients_origins,palm_ingredients,traceability_code,link,brand_owner
985,Fruit cocktail,5000378998454,,['Sans sucre ajouté'],['France'],[],,[],?,54,226 kj(54 kcal),"0,2","0,1","11,5","9,9","0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,Rockstar Regular PM - 500ml,5000382022336,['Rockstar'],,['France'],"['Boisson energisante ROCKSTAR ENERGY Eau gazéifiée', 'sucre', 'dextrine de mais', 'acide citrique', 'taurine ', '0,4%', ""régulateurs d'acidité "", 'trisodium citrate', 'phosphate de potassium', 'exhausteur de goût ', 'erythritol', 'arômes', 'caféine ', '0,03%', 'glucoronolactone', 'colorants caramel', 'sucralose', 'acesulfame k', 'inositol', 'extrait de ginseng ', '0,01%', 'extrait de guarana ', '0,01%']",,[],?,24,100 kj(24 kcal),0,0,"5,1","4,8","0,5","0,2","0,08",500 ml,['canette metal'],"['Boissons', 'Boissons gazeuses', 'Sodas']",0 g,en faible quantité,0 g,en faible quantité,4.8 g,en quantité modérée,0.2 g,en quantité modérée,,-11%,-14%,-100%,-100%,-25%,-27%,+811%,+1339%,+1339%,8,-13%,D,-13%,"['E1400 - Dextrines', 'E330 - Acide citrique', 'E331iii - Citrate trisodique', 'E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition', 'E968 - Érythritol', 'E150 - Caramel', 'E955 - Sucralose', 'E950 - Acésulfame K']",4,,,,,,,,,,,,,,,,
987,Irn Bru - Barr - 33cl,5000382029816,['Barr'],,"['France', 'Royaume-Uni']","['Eau gazéifiée', 'sucre', 'acidifiant ', 'acide citrique', 'arôme ', 'dont la caféine', 'la quinine', 'conservateur ', 'E211', 'colorants ', 'jaune orangé S', 'rouge cochenille A', 'citrate de fer ammoniacal']",,"['Non végétalien', 'Non végétarien']",?,42,176 kj(42 kcal),0,0,"10,3","10,3",0,"0,01","0,004",33 cl,"['Canette', 'métal']","['Boissons', 'Boissons gazeuses', 'Sodas', 'Boissons avec sucre ajouté']",0 g,en faible quantité,0 g,en faible quantité,10.3 g,en quantité élevée,0.01 g,en faible quantité,,+56%,+52%,-100%,-100%,+52%,+56%,-100%,-28%,-28%,13,+41%,E,+41%,"['E330 - Acide citrique', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E110 - Jaune orangé S', 'E124 - Ponceau 4R']",4,,,['Tesco'],,,,,,,,,,,,,
988,energy drink blue raspberry,5000382043607,,,['France'],[],,[],?,24,100 kj(24 kcal),0,0,"5,1","4,7","0,5","0,01","0,004",,['aluminium-can'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,Sun Exotic Tropical Fruit,5000382044710,['Sun Exotic'],,['France'],"['water', 'from Concentrate 16% ', 'orange', 'Pineapple', 'Apple', 'Passionfruit', 'Sugar', 'Fruit Puree 5% ', 'Banana', 'Mango', 'Guava', 'Lychee', 'Guanabana', 'Acid ', 'Citric Acid', 'Stabiliser ', 'Pectin', 'Vitamin C', 'Colour ', 'Anthocyanin', 'Algal Carotenes', 'Flavourings', ' consume']",,"[""Pourrait contenir de l'huile de palme""]",?,50,209 kj(50 kcal),0,0,12,"11,8",0,0,0,,,"['Boissons', 'Boissons avec sucre ajouté']",0 g,en faible quantité,0 g,en faible quantité,11.8 g,en quantité élevée,0 g,en faible quantité,,-41%,-44%,-100%,-100%,-39%,-36%,-100%,-100%,-100%,15,+26%,E,+26%,"['E330 - Acide citrique', 'E440 - Pectines', 'E163 - Anthocyanes', ""E160aiv - Carotènes d'algues""]",4,,,,,,,,,,,,,,,,
990,Packing a Fruit Punch,5000382100737,,,['France'],[],,[],?,21,88 kj(21 kcal),0,0,"4,9","4,8",0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,Snapple Lemonade,5000382100812,['Snapple'],,['France'],[],,[],?,23,96 kj(23 kcal),0,0,"5,7","4,8",0,"0,1","0,04",,,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Limonades']",0 g,en faible quantité,0 g,en faible quantité,4.8 g,en quantité modérée,0.1 g,en faible quantité,,-26%,-24%,-100%,-100%,-24%,-34%,-100%,+652%,+652%,8,-22%,D,-22%,,,,,,,,,,,,,,,,,,
992,Rubicon fizzy drink,5000382102144,"['Rubicon', 'Morphet farm', 'Pom bears']",,['France'],"['RUBICON STRAW8ERRY FR', ' tus ', 'e d {citrate ', ' nes E12: V•', 'V trust']",,[],?,2,8 kj(2 kcal),0,0,"0,5","0,5",0,"0,01","0,004",,"['pet-bottle', 'hdpe-cap', 'sleeve']",['Boissons'],0 g,en faible quantité,0 g,en faible quantité,0.5 g,en faible quantité,0.01 g,en faible quantité,,-96%,-97%,-100%,-100%,-96%,-95%,-100%,-76%,-76%,2,-74%,C,-74%,['E330 - Acide citrique'],,,,,,,,,,,,,,,,,
993,Rubicon Spring Orange Mango - 2x 250ml,5000382102168,['Rubicon'],['Entrepreneurs + Engagés'],['France'],"['E', 'Naüal Raurings', 'Hifi Nabiral Ravourings', 'Cobur ', 'Carotenes', 'Iridium Ci±', ',']",,[],?,3,13 kj(3 kcal),0,0,"0,5","0,5",0,"0,1","0,04",2 x 250 ml,['pet-bottle'],,,,,,,,,,,,,,,,,,,,,,,,['E160 - Caroténoïdes'],4,,,,,,,,,,,,,,,,
994,Spring Strawberry Kiwi Flavoured Sparkling Spring Water - Rubicon,5000382102182,['Rubicon'],,['France'],"['Concentrate ', 'Strawberr avouftgs', 'Mab', 'Sweetener ', 'Idsodium Citrate', 'Co!our or flavours', 'cool', 'dry place away from Üect ', ' opening and consume like to hear you to vrite to us at sposat']",,[],?,2,8 kj(2 kcal),0,0,"0,5","0,5",0,"0,01","0,004",,,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,0.5 g,en faible quantité,0.01 g,en faible quantité,,-96%,-97%,-100%,-100%,-96%,-95%,-100%,-76%,-76%,2,-74%,C,-74%,,,,,,,,,,,,,,,,,,
995,Irn-Bru Xtra - Barr - 500ml e,5000382102458,['Barr'],"['Peu ou pas de sucre', 'Sans sucre', 'en:Contains-a-source-of-phenylaniline', 'en:May have an adverse avect on the attention and activity of children']","['France', 'Royaume-Uni']","['carbonated water', 'acid ', 'citric acid', 'flavourings ', 'including caffeine', 'ammonium ferric citrate', 'quinine', 'sweeteners ', 'aspartame', 'acesulfame-K', 'preservative ', 'E211', 'colours ', 'Sunset yellow', 'ponceau 4R']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,2,8 kj(2 kcal),0,0,0,0,"0,5","0,01","0,004",500 ml e,"['Bottle - plastic widely recycled', 'Plastic', 'Bottle']","['Boissons', 'Boissons gazeuses', 'Sodas', 'Boissons avec sucre ajouté']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.01 g,en faible quantité,,-93%,-93%,-100%,-100%,-100%,-100%,+811%,-28%,-28%,1,-89%,B,-89%,"['E330 - Acide citrique', ""E381 - Citrate ferrique d'ammonium"", 'E951 - Aspartame', 'E950 - Acésulfame K', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E110 - Jaune orangé S', 'E124 - Ponceau 4R']",4,,"['Scotland', 'United Kingdom']",['Morrisons'],,,,,,,,Sparkling low calorie flavoured soft drink with sweeteners,,,,,
996,Deluxe guava - Rubicon,5000382104919,['Rubicon'],,['France'],[],,[],?,52,218 kj(52 kcal),"0,25","0,25","12,5","12,5",0,"0,005","0,002",,['composite-carton'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,Digestive - McVitie's - 200g,5000396018646,"[""McVitie's""]",['Arômes naturels'],"['France', 'Italie']","['FARINA ', '39%', ' ', 'FARINA DI GRANO', 'CARBONATO DI CALCIO', 'FERRO', 'NIACINA', 'TTAVIINA', 'CIOCCOLATO ', '30%', ' [ZUCCHERO', 'PASTA DI CACAO', 'GRASSI VEGETALI ', 'CONTIENE PALMA E/O SAL', 'SHEA', ' OLIO DI BURRO ', 'LATTE', 'BURRO DI CACAO', 'EMULSIONANTI ', 'LECITINA DI SOIA', 'E476', 'AROMI NATURALI]', 'OLIO DI PALMA', 'FARINA INTEGRALE DI GRANO ', '9%', 'ZUCCHERO', 'SCIROPPO DI GLUCOSIO-FRUTTOSIO', 'AGENTI LIEVITANTI ', 'CARBONATI DI SODIO', 'ACIDO MALICO', 'CARBONATI DI AMMONIO', 'SALE']","['Lait', 'Soja']","['Huile de palme', 'Non végétalien']",?,495,2071 kj(495 kcal),"24,2","12,8","60,8","27,6",6,"0,87","0,348",200 g,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', 'Biscuit sec fourré']",24.2 g,en quantité élevée,12.8 g,en quantité élevée,27.6 g,en quantité élevée,0.87 g,en quantité modérée,,+10%,+10%,+48%,+108%,-9%,-13%,-18%,+85%,+85%,25,+48%,E,+48%,"[""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E500 - Carbonates de sodium', 'E296 - Acide malique', ""E503 - Carbonates d'ammonium""]",4,D,,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,Biscotti al cioccolato,,,,,
998,Creams Chocolate,5000396030945,,['Sans colorants'],['France'],[],,[],?,488,2042 kj(488 kcal),"21,6","13,1","66,1","30,3","5,4","0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,Flatbreads,5000396034059,,,['France'],[],,[],?,419,1753 kj(419 kcal),"8,8","3,1","71,2","3,2","11,3","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,McVitie's Go Ahead - McVities - 5x43.6g 218g,5000396036152,['McVities'],,"['Australie', 'France']",[],,[],?,394,1648 kj(394 kcal),7,"0,7","74,8","31,5","5,2","0,236","0,094",5x43.6g 218g,['Plastic'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",7 g,en quantité modérée,0.7 g,en faible quantité,31.5 g,en quantité élevée,0.236 g,en faible quantité,,-17%,-17%,-66%,-93%,+17%,+7%,-20%,-60%,-60%,12,-39%,D,-39%,,,C,,['Woolworths'],80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,
1001,Carrs Cream Crackers 200G - Carr's - 200g,5000396036640,"[""Carr's""]",,['France'],"['MEHL ', 'WEIZENMEHL', 'CALCIUMCARBONAT', 'EISEN', 'NIACIN', 'THIAMIN', 'PALMÔL', 'SAIZ', 'BACKTRIEBMITTEL ', 'NATRIUMCARBONATE', ' S CREAM CRACKERS', ' INGREDIENSER: MJÔL ', 'VETEMJÔL', 'KALCIUMKARBOANT', 'JÀRN', 'NIACIN', 'TIAMIN', 'PALMOLJA', 'SALT', 'JÂST', 'BAKPULVER ', 'NATRIUMKARBONAT', ' N CREAM CRACKERS', ' INGREDIENSER: MEL ', 'HVETEMEL', 'KALSIUMKARBONATI', 'JERN', 'NIACIN,TIAMIN', 'PALMEOLJE', 'SALT', 'GJ?R', 'HEVEMIDDEL ', 'NATRIUMKARBONAT', ' DK OSTEKIKS', ' INGREDIENSER: MEL ', 'HVEDEMEL', 'CALCIUMCARBONATI', 'JERN', 'NIAClNjTHlAMlN', 'PALMEOLIE', 'SALT', 'G?R', 'HEVEMIDDEL', 'NATRIUMKARBONATER', ' FIN VOILEIPÂKEKSEJÂ', ' AINESOSAT: JAUHO ', 'VEHIVÀJAUHQ KALSIUMKARBONAATTI', 'RAUTA', 'NIASIINI', 'TIAMllNl', 'j PALMUÔLJY', 'SUOL HIMA', 'NOSTATUSAINE ', 'NATRIUMKARBONAATII']","['Gluten', 'Lait']",['Non végétalien'],?,442,1849 kj(442 kcal),13,6,68,"1,4",10,"1,2","0,48",200 g,,"['Snacks', 'Snacks salés', 'Apéritif', 'Plats préparés', 'Biscuits apéritifs', 'Entrées']",13 g,en quantité modérée,6 g,en quantité élevée,1.4 g,en faible quantité,1.2 g,en quantité modérée,,+90%,+96%,+2%,+162%,+245%,-52%,+99%,+12%,+12%,11,+83%,D,+83%,"['E500 - Carbonates de sodium', 'E500i - Carbonate de sodium']",,B,,,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,,,
1002,Wholesense - McVities,5000396038255,['McVities'],,['France'],[],,[],?,196,820 kj(196 kcal),"20,8","4,6","19,1","19,1","8,3","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,"Good Morning, cranberry - Biscuits pour le petit déjeuner - McVitie's - 205g e",5000396039887,"[""McVitie's"", 'United Biscuits']","['Point Vert', 'Fabriqué en France']",['France'],"['Flocons d’avoine ', '31,8%', ' - farine de blé ', '31,4%', ' - graisse végétale ', 'palme', 'colza', ' - sucre - pépites de cranberries ', '7%', 'cranberries ', '4%', 'sucre', 'humectant : glycérine', ""correcteur d'acidité : acide citrique"", 'huile de tournesol', ' - sirop de sucre inverti - billettes de riz soufflées ', 'riz ', '4%', 'sucre', 'gluten de blé', 'avoine sirop de malt d’orge', 'sel', ' - poudre à lever: carbonates de sodium - émulsifiant : E472e - sel - arôme - vitamines [niacine ', 'B3', 'riboflavine ', 'B2', 'B12', 'D3', 'B6 thiamine ', 'B1 ', '] - fer']",['Gluten'],['Huile de palme'],?,452,1891 kj(452 kcal),"16,3","6,7","66,7","21,3","7,4","0,8","0,32",205 g e,"['Boîte', 'Plastique', 'Sachet']","['Epicerie', 'Snacks', 'Snacks sucrés', 'Petit-déjeuners', 'Biscuits et gâteaux', 'Biscuits petits-déjeuners']",16.3 g,en quantité modérée,6.7 g,en quantité élevée,21.3 g,en quantité élevée,0.8 g,en quantité modérée,,-1%,-2%,-7%,+25%,+2%,-16%,-2%,+18%,+18%,14,+12%,D,+12%,"['E422 - Glycérol', 'E330 - Acide citrique', 'E500 - Carbonates de sodium', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras""]",4,,"['France', 'Grenoble']","['Auchan', 'Casino']",,,,,,,,Biscuits pour le petit-déjeuner,,['Huile de palme'],,https://www.facebook.com/McVitiesFrance/,
1004,Good Morning Nature - McVitie's - 205g e,5000396039900,"[""McVitie's"", 'United Biscuits']","['Point Vert', 'Fabriqué en France', 'Triman']",['France'],"['Flocons d’avoine ', '34,4%', ' - farine de blé ', '33,7%', ' — graisse végétale ', 'palme', 'colza', ' — sucre — sirop de sucre inverti ', '8%', ' — billettes de riz soufflées ', 'riz ', '4%', 'sucre', 'gluten de blé', 'avoine sirop de malt d’orge', 'sel', ' — poudre à lever: carbonates de sodium - émulsifiant : E472e - sel — arôme — vitamines [niacine ', 'B3', 'riboflavine ', 'B2', 'B12', 'D3', 'B6 thiamine ', 'B1 ', '] — fer']","['Gluten', 'Avoine']",['Huile de palme'],1902,453,1902 kj(453 kcal),"16,7","6,9","65,9","19,2","7,9","0,9","0,36",205 g e,"['Carton', 'Sachet', 'Plastique', 'boîte']","['Epicerie', 'Snacks', 'Snacks sucrés', 'Petit-déjeuners', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits petits-déjeuners']",16.7 g,en quantité modérée,6.9 g,en quantité élevée,19.2 g,en quantité élevée,0.9 g,en quantité modérée,-1%,-1%,-1%,-5%,+28%,+1%,-25%,+4%,+33%,+33%,14,+12%,D,+12%,"['E500 - Carbonates de sodium', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras""]",4,D,['France'],"['Cora', 'Auchan']",80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,Biscuits pour le petit-déjeuner,,['Huile de palme'],,,
1005,Digestive - McVitie's,5000396041392,"[""McVitie's"", 'McVities']",['Arômes naturels'],['France'],"['Mehl ', '39 %', ' ', 'Weizenmehl', 'Calciumcarbonat', 'Eisen', 'Niacin', 'Thiamin', 'Schokolade ', '30 %', ' [Zucker', 'Kakaomasse', 'pflanzliche Fette ', 'enthält Palmfett', 'Sal und/oder Shea', 'Butteröl ', 'Milch', 'Kakaobutter', 'Emulgatoren ', 'Sojalecithine Polyglycerin-Polyricinoleat', 'natürliche Aromen]', 'Palmöl', 'Vollkornweizenmehl ', '9 %', 'Zucker', 'Glukose-Fruktose-Sirup', 'Backtriebmittel ', 'Natriumcarbonate', 'Apfelsäure', 'Ammoniumcarbonate', 'Salz', 'Allergene', 'inklusive Gluten enthaltendes Getreide', 'sind fett gedruckt', 'Ohne Zusatz von Farbstoffen und künstlichen Aromen Enthalten kein gehärtetes Pflanzenöl']","['Gluten', 'Lait']","['Huile de palme', 'Non végétalien']",?,495,2071 kj(495 kcal),24,13,61,28,6,1,"0,4",,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Sablés nappés de chocolat']",24 g,en quantité élevée,13 g,en quantité élevée,28 g,en quantité élevée,1 g,en quantité modérée,,-1%,-1%,+1%,+8%,-3%,+3%,-14%,+33%,+33%,26,+21%,E,+21%,"['E500 - Carbonates de sodium', 'E296 - Acide malique']",4,D,,,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,,,
1006,Bisc. mc Vities Dig. ciocc. gr168,5000396042269,,,['France'],[],,[],?,508,2125 kj(508 kcal),"26,2","15,8",30,30,"5,9","0,83","0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,Mc Vitie's Digestive - McVitie's,5000396042993,"[""McVitie's""]",['Pur beurre de cacao'],['France'],"['Wheat Flour ', '39%', 'Chocolate ', '30%', ' [Sugar', 'Cocoa Mass', 'Vegetable Fats ', 'contains Palm', 'Sal and/or Shea', 'Butter Oil', 'Cocoa Butter', 'Emulsifiers ', 'Soya Lecithin', 'Polyglycerol Polyricinoleate Vegetable', 'Natural Flavouring ', 'Vanilla', ']', 'Vegetable Oil ', 'Palm', 'Wholemeal Wheat Flour ', '9%', 'Sugar', 'Glucose-Fructose Synup', 'Raising Agents ', 'Sodium Bicarbonate', 'Malic Acid', 'Ammonium Bicarbonate', 'Salt', ' الجلوكوز الفركتوز، مواد رافعة ', 'بیكربونات الصوديوم Contains: Milk', 'Soya', 'Gluten', ' The ingredients in this biscuit do not contain any substance that assists digestion']","['Gluten', 'Lait', 'Soja']","['Huile de palme', 'Non végétalien']",?,495,2071 kj(495 kcal),"24,2","12,8","60,8","27,6",6,"0,352","0,141",,,['Buiscuit-sec'],24.2 g,en quantité élevée,12.8 g,en quantité élevée,27.6 g,en quantité élevée,0.352 g,en quantité modérée,,,,,,,,,,,23,,E,,"['E322i - Lécithine', 'E500ii - Carbonate acide de sodium', 'E296 - Acide malique', ""E503ii - Carbonate acide d'ammonium""]",4,,,,,,,,,,,,,,,,
1008,Boules de biscuit enrobées de chocolat noir - McVitie's - 120g ℮,5000396044515,"[""McVitie's""]",,['France'],"['Chocolat ', '54 %', ' ', 'sucre - pâte de cacao - beurre de cacao - cacao en poudre - émulsifiants : lécithine de soja', 'E492 - arôme', "" - farine de blé - huile de palme - farine de blé complète - sucre - sirop de glucose - sirop de glucose-fructose - sel - poudres à lever : carbonates de sodium et d'ammonium - correcteur d'acidité : acide tartrique - lait écrémé en poudre - agents d'enrobage : gomme arabique"", 'shellac']","['Gluten', 'Lait', 'Soja']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,523,2188 kj(523 kcal),"27,2","16,2",63,"31,3","6,5","0,25","0,1",120 g ℮,['Sachet plastique'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",27.2 g,en quantité élevée,16.2 g,en quantité élevée,31.3 g,en quantité élevée,0.25 g,en faible quantité,,+6%,+6%,+16%,+37%,+1%,-4%,-1%,-55%,-55%,24,+12%,E,+12%,"['E322i - Lécithine', 'E492 - Tristéarate de sorbitane', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium"", 'E334 - Acide L-tartrique', ""E414 - Gomme d'acacia"", 'E904 - Gomme-laque']",4,D,,"['Magasins U', 'Super U']",84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,Boules de biscuit enrobées de chocolat noir,,['Huile de palme'],,,
1009,Tesco Tagliatelle,5000436101949,['TESCO'],,"['France', 'Royaume-Uni']",['Durum Wheat Semolina'],,[],?,176,736 kj(176 kcal),"0,7","0,2","35,7","1,1","5,8","0,1","0,04",,['mixed plastic-bag'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,Tesco Baked Beans In Tomato Sauce,5000436532538,['Tesco'],,"['France', 'Royaume-Uni']",[],,[],?,87,364 kj(87 kcal),"0,5","0,1","14,1","5,5","4,3","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,Unsweetened soya - Tesco - 1L,5000436769255,['Tesco'],['Agriculture UE/Non UE'],"['France', 'Royaume-Uni']","['Water', 'Organic Soya Beans ', '6%', 'Natural Flavouring']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,33,138 kj(33 kcal),"1,9","0,3","0,4","0,1","3,4","0,1","0,04",1 L,['composite-carton'],,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
1012,T.lightly Salted Tortilla Chips 200G - Tesco - 200g,5000436802389,['Tesco'],,"['France', 'Royaume-Uni']",[],,[],?,499,2088 kj(499 kcal),"23,5",2,"64,9",1,"5,5","0,8","0,32",200 g,['mixed plastic-bag'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de maïs']",23.5 g,en quantité élevée,2 g,en quantité modérée,1 g,en faible quantité,0.8 g,en quantité modérée,,+3%,+3%,+4%,-32%,+8%,-47%,-14%,-32%,-32%,4,-59%,C,-59%,,,B,,,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,
1013,Bran Flakes - Tesco - 1kg,5000436815938,['Tesco'],,"['France', 'Royaume-Uni']","['80 % de blé entier', 'son de blé', 'sucre', 'orge', ""extrait de malt d'orge"", 'sel', 'niacine', 'fer', 'acide pantothénique', 'thiamine', 'vitamine B6', 'riboflavine', 'acide folique', 'vitamine D', 'vitamine B12']",['Gluten'],['Sans huile de palme'],?,356,1490 kj(356 kcal),"2,4","0,4","64,3","13,6","10,8","0,6","0,24",1 kg,"['Boîte', 'Carton', 'Sachet', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",2.4 g,en faible quantité,0.4 g,en faible quantité,13.6 g,en quantité élevée,0.6 g,en quantité modérée,,-11%,-11%,-72%,-82%,-4%,-19%,+16%,+68%,+68%,-1,-119%,A,-119%,,3,C,,['Tesco'],74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,
1014,Seafood sticks - tesco - 250g,5000436868941,['Tesco'],"['Pêche durable', 'Pêche durable MSC']","['France', 'Royaume-Uni']","['ingredients surimi ', '45%', 'water', 'wheat starch', 'potato starch', 'rapeseed oil', 'sugar', 'salt', 'dried egg white', 'flavourings', 'crab extract ', 'crustacean', 'colour ', 'lycopene', 'dried egg', 'typical energy surimi contains: white fish', 'sugar', 'fat']",['Crustacés'],"['Non végétalien', 'Non végétarien']",?,482,2017 kj(482 kcal),"2,4","0,2","13,9","4,1",9,"1,8","0,72",250g,,,,,,,,,,,,,,,,,,,,,,,,,['E160d - Lycopène'],4,,,,,,,,,,,,,,['MSC-C-53520'],,
1015,Doughnuts - Krispy Kreme,5000462346611,['Krispy Kreme'],,['France'],[],,[],?,265,1109 kj(265 kcal),21,"13,8","3,4","0,9","15,2","0,7","0,28",,['mixed plastic-tub'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,Sweet Pancakes - Tesco,5000462504103,['Tesco'],,['France'],[],,[],?,263,1100 kj(263 kcal),"11,2","2,2","33,9","13,9",5,"0,7","0,28",,,['Pancakes'],11.2 g,en quantité modérée,2.2 g,en quantité modérée,13.9 g,en quantité élevée,0.7 g,en quantité modérée,,-13%,-13%,+21%,+11%,-18%,-14%,-46%,-31%,-31%,11,+1%,D,+1%,,,,,,,,,,,,,,,,,,
1017,Tesco Strawberry Flavour Lances 75G Pe,5000462822436,['Tesco'],,"['France', 'Royaume-Uni']",[],,[],?,362,1515 kj(362 kcal),"2,3","1,2","80,4","59,5","2,6","0,1","0,04",,['mixed plastic-packet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,Rescue Nuit Perles - 14 Perles - Bach,5000488109023,,,['France'],[],,[],?,1,4 kj(1 kcal),1,1,1,1,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,Bn chocolat -,5007996141408,,,['France'],[],,[],?,463,1937 kj(463 kcal),"16,7","9,4",70,"32,6","6,4","0,5","0,2",,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits fourrés']",16.7 g,en quantité modérée,9.4 g,en quantité élevée,32.6 g,en quantité élevée,0.5 g,en quantité modérée,,-1%,-2%,-13%,+11%,+5%,-1%,+10%,-10%,-10%,23,+16%,E,+16%,,,D,,,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,,,
1020,5008107004001,5008107004001,,,['France'],[],,[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,Rosemary - Schwartz,50019878,['Schwartz'],,['France'],[],,[],?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques', 'Herbes aromatiques', 'Plantes en pot', 'Plantes aromatiques en pot', 'Romarin', 'Romarin en pot']",,,,,,,,,,,,,,,,,,,,,,,,,B,,,63.0%,0.0%,17.1%,8.8%,8.2%,2.9%,94,,,,,,
1022,Coriander ground - Schwartz - 24g,50020034,['Schwartz'],,['France'],[],,[],?,?,,?,,?,,?,,,24 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques', 'Herbes aromatiques', 'Plantes en pot', 'Produits de coriandre', 'Plantes aromatiques en pot', 'Feuilles de coriandre', 'Coriandre en pot']",,,,,,,,,,,,,,,,,,,,,,,,,B,,,54.7%,0.0%,17.4%,16.5%,8.4%,3.0%,95,,,,,,
