,name,bar_code,brand,labels,sales_countries,ingredients_list,allergens,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,nova_score,eco_score,manufacturing,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,ingredients_origins,palm_ingredients,traceability_code,link,brand_owner
353,Plat Végétarien Abalone - Wu chung - 280g,4710597050475,['Wu chung'],['Halal'],['France'],"['TRADE MARK INGRÉDIENT • Gluten frit ', 'blé', 'huile de soja', 'Sauce de soja ', 'graine de soja', 'blé', 'eau', 'sel', 'sucre,Huile de soja', 'sel']","['Gluten', 'Soja']",[],?,158,661 kj(158 kcal),"11,06","1,93","5,87","5,38","8,62","1,42","0,568",280g,['Conserve'],,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,['Taiwan'],,,,
354,Vegetarian Mock Chicken - Wu Chung - 290 G,4710597080816,['Wu Chung'],['HACCP'],['France'],"['Gluten frit', 'sauce de soja', 'sucre', 'sel', 'huile de soja']","['Gluten', 'Soja']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,90,377 kj(90 kcal),"2,17","0,41","6,15","3,66","11,59","0,98","0,392",290 g,['Conserve'],"['Conserves', 'Plats préparés', 'Plats préparés en conserve']",2.17 g,en faible quantité,0.41 g,en faible quantité,3.66 g,en faible quantité,0.98 g,en quantité modérée,,-16%,-15%,-54%,-72%,-21%,+132%,+89%,+9%,+9%,0,-100%,B,-100%,,4,,['Taïwan'],['Supermarché Asie'],,,,,,,,Poulet végétarien,,,,,
355,Sauce Pimentée Pour Raviolis - Master,4710678230314,['Master'],,['France'],['HU:lEOESfSAllfI'],,[],?,191,799 kj(191 kcal),"6,6",0,"26,4","19,8","6,6","7,7","3,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,Pate de soja pimentee a l'huile de sesame,4710678380828,,,['France'],[],,[],?,224,937 kj(224 kcal),"4,9","0,9",36,0,"8,9","5,7","2,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,Soupe Miso - Wei Tao - 80g (8 * 10g),4710762512326,['Wei Tao'],,['France'],"['Miso', 'tofu', 'bonito rasé', 'algues', 'biscuit salé de riz', 'échalote', 'maltodextine', 'lactose', 'sucre', 'sel', ""agent d' assaisonnement""]","['Lait', 'Soja', 'Bonito']",['Non végétalien'],?,355,1485 kj(355 kcal),"4,5","0,4","67,3","2,6","11,2","1,422","0,569",80 g (8 * 10 g),"['Carton', 'boîte', 'Plastique']","['Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Soupes', 'Plats préparés déshydratés', 'Soupes déshydratées', 'Soupe miso']",,,,,,,,,,+147%,+152%,+26%,-16%,+337%,-62%,+40%,-81%,-81%,,,,,,4,,['Taïwan'],,,,,,,,,,,,,,
358,Pineapple Vinegar - Shih-Chuan - 140ml,4710783055116,"['Shih-Chuan', '十全']","['HACCP', 'ISO 22000', 'Sans conservateurs']","['France', 'Taiwan']","['Eau', 'vinaigre de riz fermenté 5', '6%', 'fructose', ""jus d'ananas 4"", '8%']",,[],105,25,105 kj(25 kcal),0,0,"5,9","5,8","0,3","0,1","0,04",140ml,['Frais'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons à base de végétaux', 'Boissons aux fruits', 'Boissons sans sucre ajouté', '飲品']",0 g,en faible quantité,0 g,en faible quantité,5.8 g,en quantité modérée,0.1 g,en faible quantité,-66%,-43%,-47%,-100%,-100%,-32%,-14%,-40%,+111%,+111%,8,+45%,D,+45%,,1,C,['Taïwan'],['Tang Frères'],36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,Boisson au vinaigre et au jus d'ananas,,,,,
359,Black sesame cereal,4710859981622,,,['France'],[],,[],?,186,778 kj(186 kcal),"9,21","1,67","10,7","10,7","4,63","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,King Kung Taro Coconut Milk -,4710859982759,,,['France'],[],,[],?,430,1799 kj(430 kcal),"9,6","9,5",83,"44,6","2,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Farm House Ching Poo Luong - Famous house,4710873200112,['Famous house'],,['France'],"['ORGE PERLE', ' GRAf%S LOTUS', 'CACAHUETE', ' OIOSCOREA', ' RIZ ROUGE', ' AVOINE', ' sucpg']","['Gluten', 'Avoine', 'Arachides']",[],?,67,280 kj(67 kcal),0,0,"15,8",11,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Dried pearl barley,4710943112574,,,['France'],[],,[],?,347,1452 kj(347 kcal),0,0,"77,1",0,"8,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
