,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,nova_score,labels,allergens,ingredients_origins,manufacturing,link,palm_ingredients,markets,generic_name,brand_owner,traceability_code
637,Soif de lait - Jaouda - 260g,6111242102606,['Jaouda'],"['France', 'Maroc']",[],[],?,76,318 kj(76 kcal),"1,4",0,"13,7",4,"2,3","0,085","0,034",260 g,,E,"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire']",1.4 g,en faible quantité,0 g,en faible quantité,4 g,en quantité modérée,0.085 g,en faible quantité,,+6%,+5%,-7%,-100%,+21%,-63%,-21%,-20%,-20%,13,-19%,E,-19%,67.5%,13.2%,8.7%,6.1%,3.6%,1.0%,32,,,,,,,,,,,,
638,Yaourt grec - Jaouda,6111242104013,['Jaouda'],['France'],[],[],?,164,686 kj(164 kcal),9,0,0,0,"3,4",,,,,B,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aromatisés', 'Yaourts à la grecque']",9 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,,,,+80%,+81%,+226%,-100%,-100%,-100%,-4%,,,,,,,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,92,,,,,,,,,,,,
639,Press up - 950g,6111242104549,['press up'],"['France', 'Maroc']","['Purée de pêche', ""jus d'orange"", 'eau', 'sucre', 'acidifiant: acide citrique', ""vitamine c'arôme naturel""]",[],?,52,218 kj(52 kcal),0,"0,1",6,6,"0,4","0,06","0,024",950g,['Plastique'],C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits']",0 g,en faible quantité,0.1 g,en faible quantité,6 g,en quantité modérée,0.06 g,en faible quantité,,+16%,+17%,-100%,+276%,-42%,-38%,+19%,+471%,+471%,12,+78%,E,+78%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,"['E330 - Acide citrique', 'E300 - Acide ascorbique']",3,['Riche en vitamine C'],,,,,,,,,
640,Mary trini,6111242530300,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,Dyfane - Lahdia - 200g,6111242663879,['Lahdia'],['France'],[],[],?,?,,?,,?,,?,,,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,Nocilla,6111242850057,['Nocilla'],['France'],"['Sucre', 'huiles végétales de palme ', 'de tournesol et de tournesol en haute teneur en acide oléique', 'cacao dégraissé en poudre ', '4,5%', ' ', 'lait écrémé en poudre ', '4,5%', ' ', 'noisettes ', '4%', 'solides lactés', 'émulsifiants', ' lécithine de soja', ' ', 'arôme']","['Huile de palme', 'Non végétalien']",?,544,2276 kj(544 kcal),32,11,58,56,5,"0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E322i - Lécithine'],4,,"['Fruits à coque', 'Soja']",,,,['Huile de palme'],,,,
643,Tomates cocktail - Les Domaines - 500g,6111243381550,['Les Domaines'],['France'],['Tomates'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,500 g,"['Barquette', 'Plastique']",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Tomates et dérivés', 'Aliments à base de plantes frais', 'Tomates', 'Légumes frais', 'Tomates fraîches', 'Tomates cocktail']",,,,,,,,,,,,,,,,,,,,,,,67.0%,0.0%,0.0%,15.7%,13.1%,4.3%,97,,1,"['en:saveurs-de-l-annee-france', ""Saveurs de l'Année 2015""]",,['Maroc'],,,,['Carrefour'],,,
644,Mandarines - Les Domaines - 10kg,6111243381994,['Les Domaines'],['France'],"['Mandarines', 'calibre 2/108', ' Enrobées de cires végétales ', 'E914', 'E904', ' Traitées à Imazalil', 'Thiabendazole', 'Pyriméthanil', 'CPP']","['Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,10 kg,['Cagette'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Agrumes', 'Fruits frais', 'Mandarines', 'Mandarines fraîches']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E914 - Cire de polyéthylène oxydée', 'E904 - Gomme-laque', 'E233 - Thiabendazole']",4,"['Catégorie I', ""Saveurs de l'Année"", ""Saveurs de l'Année 2016"", 'en:saveurs-de-l-annee-france']",,['Maroc'],,,,['Cora'],,,
645,Petit plomb - Dalia,6111243620956,['Dalia'],['France'],['100% blé sélectionné'],[],?,350,1464 kj(350 kcal),2,0,72,0,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,Ice Tonic,6111243860987,['Ice'],['France'],['39 - KJ Vëieers nutritionnelles moyenne cour 100'],[],?,39,163 kj(39 kcal),0,0,10,10,0,0,0,,,,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0 g,en faible quantité,,-30%,-32%,-100%,-100%,-12%,+6%,-100%,-100%,-100%,13,+70%,E,+70%,,,,,,,,,,,,,,,,,,,
647,Mozzarella râpé,6111245340166,,['France'],[],[],?,235,983 kj(235 kcal),18,13,"0,4","0,3",18,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,Olives vertes,6111245661865,,['France'],[],[],?,165,690 kj(165 kcal),"16,2","2,5","5,4","5,4","0,6",2,"0,8",,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes']",16.2 g,en quantité modérée,2.5 g,en quantité modérée,5.4 g,en quantité modérée,2 g,en quantité élevée,,+1%,+1%,+1%,-4%,+253%,+2412%,-53%,-41%,-41%,13,+8%,D,+8%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,,,,,,
649,Cartier Capres 360 GRS,6111245661919,,['France'],[],[],?,23,96 kj(23 kcal),"0,4","0,1","1,9","1,2","2,3",8,"3,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,Mascarpone - الراعي - 250g,6111246720462,"['الراعي', 'Le Berger']",['France'],[],[],?,?,,?,,?,,?,,,250 g,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à la crème', 'Mascarpone']",,,,,,,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,
651,Petit frais -,6111246720790,,['France'],"['Lait_ entier pasteurisé', 'ferments', 'présure', 'sel', 'ail', 'fines herbes', 'stabilisants']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,37,155 kj(37 kcal),0,0,9,9,0,0,0,,"['Frais', 'Plastique']",D,"['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages à tartiner']",0 g,en faible quantité,0 g,en faible quantité,9 g,en quantité modérée,0 g,en faible quantité,,-84%,-84%,-100%,-100%,+167%,+204%,-100%,-100%,-100%,1,-92%,B,-92%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,3,,['Lait'],,,,,,,,
652,Yaourt - Jibal,6111246951026,['Jibal'],['France'],"[""Fabriqué au Maroc par : Beni Melia' - Azilal"", ' LPL']",[],?,9,38 kj(9 kcal),9,5,8,6,4,"0,12","0,048",,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",9 g,en quantité modérée,5 g,en quantité modérée,6 g,en quantité modérée,0.12 g,en faible quantité,,-90%,-90%,+175%,+144%,-27%,-41%,+6%,+4%,+4%,-2,-165%,A,-165%,,,,,,,,,,,,,,,,,,,
653,Sunjus,6111246952856,,['France'],[],[],?,53,222 kj(53 kcal),"0,1","0,1","12,7",10,"0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,
654,Taz,6111246953297,,['France'],[],[],?,70,293 kj(70 kcal),"1,06","1,06","13,36","13,36","1,717","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,Jibal Tweety,6111246953556,,['France'],[],[],?,67,280 kj(67 kcal),1,"0,5",13,"11,5","1,5","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,Sablés à la confiture de fraise,6111248160556,,['France'],[],[],?,230,962 kj(230 kcal),9,6,34,10,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,Croquants aux pepites de chocolat,6111248160587,,['France'],[],[],?,460,1925 kj(460 kcal),18,12,68,20,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,Carotte poulet 6 mois,6111248332168,,['France'],[],[],?,54,226 kj(54 kcal),"0,1","0,1","6,9","0,1","2,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,Vita Ring's - Vita Pop's - 1kg,6111248332359,"[""Vita Pop's"", 'Agro-Food Industrie']",['France'],"['Farine de blé', 'maïs 70%', 'sucre', 'sirop de glucose-fructose', 'sucre caramélisé', 'sel', 'extrait de malt ', 'gluten', 'émulsifiant ', 'lécithine de colza', 'arômes ', 'caramel', 'vanilline']",['Sans huile de palme'],?,387,1619 kj(387 kcal),"3,4","0,4",79,24,"9,3","0,56","0,224",1 kg,['Sachet'],C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales au caramel', 'Céréales au miel']",3.4 g,en quantité modérée,0.4 g,en faible quantité,24 g,en quantité élevée,0.56 g,en quantité modérée,,-5%,-5%,-51%,-79%,+5%,-13%,+22%,+22%,+22%,8,-11%,C,-11%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,['E322i - Lécithine'],4,"['Halal', 'Fabriqué au Maroc']",['Gluten'],,"['Marrakech', 'Maroc']",,,,Anneaux de céréales au miel,,
660,Boisson ananas - Marrakech,6111248920280,['Marrakech'],['France'],[],[],?,48,201 kj(48 kcal),0,0,12,"11,7","0,06","0,005","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,Sucre roux pure canne,6111248930098,,['France'],[],[],?,387,1619 kj(387 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,Sardines au naturel - Tamima - 125g (90g égoutté),6111249190965,"['Tamima', 'Damsa']",['France'],"['Sardines 72 % ', 'Sardina pilchardus', 'eau', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']","627,6",?,"627,6 kj(150 kcal)","4,96","1,56","0,3",~ 0,"25,73","0,6","0,24",125 g (90 g égoutté),"['Conserve', 'Carton', 'PAP', 'FE']",D,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', 'Sardines au naturel']",4.96 g,en quantité modérée,1.56 g,en quantité modérée,0 g,en faible quantité,0.6 g,en quantité modérée,-36%,,-35%,-69%,-57%,-47%,-100%,+25%,-35%,-35%,-1,-119%,A,-119%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,3,"['Riche en Oméga-3', 'Omega-3']",['Poisson'],['FAO 34'],['Maroc'],,,['Noz'],,,['MA 5210 DU']
663,6111249470012,6111249470012,,['France'],[],[],?,900,3766 kj(900 kcal),100,19,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,Miel de thym bio du Maroc,6111249470104,,['France'],[],[],?,301,1259 kj(301 kcal),0,0,75,0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
665,Spaghetti - PANTERA - 500g,6111249570071,['PANTERA'],"['France', 'Maroc']",['Semoule de blé dur de qualité superieure المكونات: سميد القمح الصلب ذات جودة عالية'],[],?,357,1494 kj(357 kcal),"1,7","0,4","73,3","2,5","10,7","0,004","0,002",500 g,['Plastic'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Spaghetti']",1.7 g,en faible quantité,0.4 g,en faible quantité,2.5 g,en faible quantité,0.004 g,en faible quantité,,+2%,+1%,-3%,+8%,+6%,-16%,-9%,-83%,-83%,-4,,A,,,,,,,,,,,['Qualité supérieure'],,['Turquie'],['Turkey'],,,,,,
666,Couscous Complet - Alitkane - 1kg,6111249941321,['Alitkane'],"['France', 'Maroc']",['100% semoule de blé dur'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,350,1464 kj(350 kcal),1,0,72,1,12,"0,013","0,005",1 kg,['paquet plastique'],B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Semoules de céréales', 'Semoules de blé', 'Semoules de blé dur', 'Semoules de blé dur pour couscous']",1 g,en faible quantité,0 g,en faible quantité,1 g,en faible quantité,0.0127 g,en faible quantité,,-2%,-2%,-50%,-100%,+3%,-62%,-2%,-91%,-91%,-6,,A,,69.1%,16.2%,7.3%,3.3%,4.1%,0.0%,80,,1,"['Couscous', 'Couscous-complet', 'Semoule', 'Semoule-de-ble-dur']",,,,,,['Bim'],,,
667,Manyana,6111249980887,,['France'],[],[],?,450,1883 kj(450 kcal),"12,9","2,4",77,0,"6,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,Moniich,6111250012096,,['France'],[],[],?,74,310 kj(74 kcal),"1,4",0,"13,9",0,"1,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,Perles d'oliviers du désert,6111250310895,,['France'],[],[],?,74,310 kj(74 kcal),32,"0,03","28,7",3,"0,5","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'en:MA-BIO-132']",,,,,,,,,
670,Le Tropical,6111250472876,,['France'],[],[],?,54,226 kj(54 kcal),0,0,"13,3",13,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,Suncrops - 500g,6111250979993,['Suncrops'],['France'],[],[],?,?,,?,,?,,?,,,500 g,"['Barquette', 'Plastique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,Essentiel tonus - Valencia,6111251751017,['Valencia'],['France'],[],[],?,45,188 kj(45 kcal),0,0,9,9,"0,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,
673,Jus - Valencia,6111251751802,['Valencia'],['France'],[],[],?,53,222 kj(53 kcal),"0,1",0,"12,3",12,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,
674,Spiruline Bio - NutriMax,6111251850055,['NutriMax'],['France'],[],[],?,10,42 kj(10 kcal),"0,1","0,06","0,7",0,"1,3","0,07","0,028",,,D,"['Compléments alimentaires', 'Spiruline']",0.1 g,en faible quantité,0.06 g,en faible quantité,0 g,en faible quantité,0.07 g,en faible quantité,,-96%,-96%,-97%,-95%,-93%,-100%,-97%,-94%,-94%,0,-100%,B,-100%,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,"['Bio', 'Bio européen', 'IT-BIO-009']",,,,,,,,,
675,Amlou Beldi,6111252370149,,['France'],[],[],?,75,314 kj(75 kcal),8,1,4,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,Pepsi,6111252420059,['Pepsi'],['France'],[],[],?,42,176 kj(42 kcal),0,0,11,11,0,"0,006","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,7 up lemon & lime,6111252420202,['7 up'],['France'],[],[],?,44,184 kj(44 kcal),0,0,11,11,0,"1,272","0,509",,,,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,1.27 g,en quantité élevée,,-21%,-24%,-100%,-100%,-3%,+17%,-100%,+2965%,+2965%,20,+161%,E,+161%,,,,,,,,,,,,,,,,,,,
678,7up,6111252420226,,['France'],[],[],?,19,79 kj(19 kcal),0,0,5,5,0,"0,022","0,009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,"Thé vert à la menthe bio - Dar CHoumicha - 37,5g",6111252700175,['Dar CHoumicha'],['France'],[],[],?,?,,?,,?,,?,,,"37,5g",,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Infusions', 'Thés à la menthe', 'Thés verts à la menthe']",,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,"['Bio', 'Bio européen', 'en:MA-BIO-143', 'en:MA-BIO-154']",,,,,,,,,
680,Verveine,6111254080084,,['France'],[],[],?,0,0 kj(0 kcal),0,0,"0,5",0,"0,5",,,,,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Verbénacées', 'Verveine']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,-100%,-100%,,,+173%,-100%,+265%,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,
681,Tuiles creme & oignon,6111254876823,,['France'],[],[],?,506,2117 kj(506 kcal),28,13,56,"1,6",5,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,
682,Sardines Huile De Tournesol - Ocean Wind,6111255060641,['Ocean Wind'],['France'],[],[],?,200,837 kj(200 kcal),"10,7","2,4",0,0,"29,9","1,13","0,452",,['Conserve'],D,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile de tournesol""]",10.7 g,en quantité modérée,2.4 g,en quantité modérée,0 g,en faible quantité,1.13 g,en quantité modérée,,-8%,-8%,-23%,-27%,-100%,-100%,+40%,+24%,+24%,4,+8%,C,+8%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,['Friend of the Sea'],,,,,,['Auchan'],,,
683,Sardines à la tomate - Ocean Wind - 125g (90g égoutté),6111255060672,['Ocean Wind'],['France'],"['Sardines ', 'poisson', ',Sardina pilchardus', 'pêchées en FAO 34 ', 'Atlantique Centre-Est', ' à la senne', 'purée de tomates', 'huile végétale de tournesol', 'sel']","['Non végétalien', 'Non végétarien']",?,153,640 kj(153 kcal),"7,1","2,04",2,"0,7","20,5","0,926","0,37",125 g (90 g égoutté),['Conserve'],D,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile de tournesol"", 'Sardines à la tomate']",7.1 g,en quantité modérée,2.04 g,en quantité modérée,0.7 g,en faible quantité,0.926 g,en quantité modérée,,-30%,-29%,-49%,-38%,+227%,+170%,-4%,+2%,+2%,1,-73%,B,-73%,26.4%,30.5%,28.5%,13.5%,0.9%,0.3%,52,,3,['Pêché à la senne'],['Poisson'],['FAO 34'],,,,,,,
684,Madeleines longues,6111255270071,,['France'],[],[],?,445,1862 kj(445 kcal),22,"2,3",55,28,"6,1",1,"0,4",,,B,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines', 'Madeleines longues']",22 g,en quantité élevée,2.3 g,en quantité modérée,28 g,en quantité élevée,1 g,en quantité modérée,,+1%,+2%,+4%,-34%,+0%,-1%,+9%,+19%,+19%,17,+5%,D,+5%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,,,,,,,,
685,15 The Vert Oxygene Tchaba,6111255360536,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,15 Infusion Peaceful Night - Tchaba,6111255360659,['Tchaba'],['France'],[],[],?,4,17 kj(4 kcal),0,0,0,0,0,0,0,,,,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-93%,-93%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,1,-87%,B,-87%,,,,,,,,,,,,,,,,,,,
687,Pop corn,6111255560066,,['France'],[],[],?,119,498 kj(119 kcal),6,3,12,6,3,"1,37","0,548",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,"Melon, Variété Charentais",6111259871021,,['France'],[],[],?,1000,4184 kj(1000 kcal),0,0,0,0,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,Amlou Beldi,6111260430149,,['France'],[],[],?,545,2280 kj(545 kcal),54,15,5,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,Sardines à l'huile,6111260550236,,['France'],[],[],?,153,640 kj(153 kcal),"5,3","1,31","0,6","0,2","25,6","0,61","0,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,Filets de sardine,6111260550656,,['France'],[],[],?,170,711 kj(170 kcal),"7,6","1,52","0,4","0,1","25,3","0,898","0,359",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,Juicy Lemon - Kaya Tea,6111261020035,['Kaya Tea'],['France'],[],[],?,18,75 kj(18 kcal),"0,5","0,1","4,2","4,1","0,5","0,01","0,004",,,,['Boissons'],0.5 g,en faible quantité,0.1 g,en faible quantité,4.1 g,en quantité modérée,0.01 g,en faible quantité,,-68%,-69%,+44%,-15%,-63%,-57%,+1%,-76%,-76%,6,-22%,D,-22%,,,,,,,,,,,,,,,,,,,
693,6117220001800,6117220001800,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,525 Spiced Sardines In Veg. Oil Yellow,6118001030316,,['France'],[],[],?,289,1209 kj(289 kcal),20,"2,8",0,0,"3,2","0,533","0,213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,Perrier -,6119740121884,,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Boissons', 'Eaux', 'Eaux de sources', 'Eaux minérales']",,,,,,,,,,,,,,,,,,,0,-100%,A,-100%,,,,,,,,,,,,,,,,,,,
696,Terre d'Oc,61149120,"[""Terre d'Oc""]",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Fabriqué en France']",,,,,,,,,
697,Terre d'Oc,61158300,"[""Terre d'Oc""]",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,61163730,61163730,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
699,Mayonnaise légère  - Benedicta - 190Gr,6128142406000,['Benedicta'],['France'],"['Eau', 'huile de colza', 'lait fermenté', 'amidon modifié', 'sucre', 'moutarde de Dijon ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', ""jaunes d'œufs 2,5%"", 'sel', ""vinaigre d'alcool"", 'jus concentré de citron', 'stabilisants', 'gomme xanthane', 'pectine', 'arômes', 'conservateur ', 'sorbate de potassium', 'colorant : bêta-carotène']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",575,138,575 kj(138 kcal),"9,8","0,9","11,3","5,3",1,"2,6","1,04",190 Gr,['Tube'],D,"['Epicerie', 'Sauces', 'Mayonnaises', 'Mayonnaises allégées']",9.8 g,en quantité modérée,0.9 g,en faible quantité,5.3 g,en quantité modérée,2.6 g,en quantité élevée,-55%,-54%,-54%,-66%,-73%,+41%,+42%,+3%,+37%,+37%,12,-12%,D,-12%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E440 - Pectines', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E160ai - Bêta-carotène']",4,,"['Œufs', 'Moutarde']",,,http://www.benedicta.com/Gammes/Mayonnaises/Mayonnaise-Legere.html,,,,,
700,Excellence mangue - Rouiba,6130002000549,['Rouiba'],"['Algérie', 'France']","['Eau', 'purée de mangue', 'sucre', ' Teneur en fruits : 25 % minimum']",[],?,46,192 kj(46 kcal),"0,1","0,1",11,"0,1","0,1","0,1","0,04",,,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de mangue']",0.1 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,,-12%,-12%,-43%,+333%,-11%,-99%,-63%,+871%,+871%,8,-49%,D,-49%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,3,,,,,,,,,,
701,Pule - Rouiba,6130002002581,['Rouiba'],"['Algérie', 'France']","['Eau', 'jus concentrés de fruits rouges ', 'raisin rouge', 'framboise', 'myrtille', 'sucre', 'jus de citron concentré', 'concentré de carotte rouge', 'arome', ""régulateur de l'acidité: acide citrique"", 'stabilisant: pectine']",[],?,48,201 kj(48 kcal),0,0,12,0,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E330 - Acide citrique', 'E440 - Pectines']",4,,,,,,,,,,
