,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,nova_score,labels,allergens,ingredients_origins,manufacturing,link,palm_ingredients,markets,generic_name,brand_owner,traceability_code
1833,Ricola Eucaliptolo Senza Zucchero,7610700901014,['Ricola'],['France'],[],[],?,235,983 kj(235 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,Ricola Ribes Nero,7610700901045,['Ricola'],['France'],[],[],?,235,983 kj(235 kcal),0,0,96,96,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,Ricola Kruidenpastilles Lemon Mint Suikervrij 50 Gram,7610700944196,['Ricola'],"['France', 'Pays-Bas']","['Zoetstof ', 'isomalt', 'voedingszuur ', 'citroenzuur', 'extract ', '0', '3 %', ' van citroenmelisse', 'Ricola kruiden-mix', 'natuurlijk citrus aroma', 'zoetstoffen ', 'aspartaam', 'acesulfaam-K', 'natuurlijk munt aroma', 'menthol', 'kleurstof ', 'carotenen']","[""Pourrait contenir de l'huile de palme""]",?,235,983 kj(235 kcal),0,0,96,96,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E953 - Isomalt', 'E330 - Acide citrique', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E160a - Carotènes mélangés']",4,,,,,,,,,,
1836,Bonbon aux plantes  - Ricola  - 75g,7610700945032,['Ricola'],['France'],[],[],?,?,,?,,?,,?,,,75g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,Menthe pomme - Ricola - 50g,7610700948293,['Ricola'],"['France', 'Suisse']",[],[],990,?,990 kj(237 kcal),0,0,97,0,0,,,50g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,Morchelsauce,7610703042271,,['France'],[],[],?,323,1351 kj(323 kcal),"6,3",2,50,9,11,"12,1","4,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans additifs'],,,,,,,,,
1839,Potage Vegetal Poudre - Oswald,7610703151300,['Oswald'],['France'],[],[],?,7,29 kj(7 kcal),0,0,"1,2","1,1","0,6","0,43","0,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans additifs'],,,,,,,,,
1840,Végétal Gemüsebouillon - Oswald - 800g,7610703306007,['Oswald'],"['France', 'Suisse']",[],[],?,2,8 kj(2 kcal),0,0,0,0,0,"0,89","0,356",800 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,Sauce Caramel - Oswald - 340g,7610703450007,['Oswald'],"['France', 'Suisse']","['Sucre caramélisé', 'eau', ' Végétal']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1360,?,1360 kj(325 kcal),0,0,80,80,0,0,0,340 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,
1842,Quorn hot dog - Cornatur - 180g,7610745681100,"['Cornatur', 'Migros']","['France', 'Suisse']","['Produit champignon Quorn 49% ', 'OSAV N° 300332', 'eau', 'huile de colza', 'protéine de petits pois', ""blanc d'oeuf "", ""d'élevage en plein air"", 'condiment en poudre ', 'avec arôme', 'arôme de fumée', 'gélifiant: pectine', 'colorant: E172']","['Non végétalien', 'Végétarien']",951,?,951 kj(227 kcal),17,"1,5","3,5",1,14,"0,3","0,12",180 g,"['Carton', 'barquette plastique']",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', 'Substituts de viande']",17 g,en quantité modérée,1.5 g,en quantité modérée,1 g,en faible quantité,0.3 g,en quantité modérée,+20%,,+19%,+94%,+11%,-66%,-38%,-1%,-72%,-72%,-4,-481%,A,-481%,,,,,,,,"['E440 - Pectines', 'E172 - Oxyde et hydroxyde de fer']",4,"['Végétarien', 'Union Végétarienne Européenne']",['Œufs'],,['United Kingdom'],,,['Migros'],Saucisses de quorn fumées,,
