,name,bar_code,eco_score,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,packaging,traceability_code,labels,markets,generic_name,ingredients_origins,palm_ingredients,manufacturing,link,brand_owner
165,Spécialité du moulin aux chataignes - Moulin des moines - 250g,3347430019750,,250 g,['Moulin des moines'],,['France'],[],[],,,,,,,,,,?,,350,,1464 kj(350 kcal),,"2,05",,"0,42",,"69,54",,"5,75",,"10,49",,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,
166,Spécialités au basilic - Moulin des moines - 250g,3347430019149,,250 g,['Moulin des moines'],,['France'],[],[],,,,,,,,,,?,,340,,1423 kj(340 kcal),,"1,68",,"0,38",,"65,55",,"2,18",,"12,04",,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,
167,"Thé Des Lords, Palais Des Thés",3700256704437,,,['Palais Des Thés'],,['France'],[],[],,,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Thé des moines - Palais des Thés,3700256704482,,,['Palais des Thés'],,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Salatöl Omega 3 - 500ml,4304218721860,,500 ml,,,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Flasche'],,,,,,,,,
170,Ravioli 4 Fromages - Lustucru - 300g,3240931531625,,300 g,['Lustucru'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Plats préparés', 'Frais', 'Plats à base de pâtes', 'Pâtes alimentaires', 'Pâtes farcies', 'Plats préparés frais', 'Pâtes fraîches', 'Ravioli', 'Pâtes farcies au fromage', 'Ravioli au fromage', 'en:Four Cheese Ravioli']",['France'],"['Farce : 50% ', 'Fromage frais 11%', 'Ricotta ', 'Lactoserum', 'lait', 'sel', ""correcteurs d'acidité : acide citrique"", 'acide lactique', ' 10,7%', 'semoule de blé dur', 'crème fraîche', 'flocons de pomme de terre ', 'pommes terre déshydratées', 'émulsifiant : mono et diglycérides d’acides gras', 'anti-oxydant : acide ascorbique', 'épice : curcuma', 'lactose et protéines de lait', 'eau', 'emmental ', 'lait', 'sel', 'ferments lactiques', 'coagulant', ' 2,4%', 'Grana Padano AOP ', ""conservateur : lysozyme d'oeufs"", ' 1,5%', 'huile de colza', 'arômes ', 'lait', 'persil', 'sel', 'Pâte : 50% ', 'semoule de blé dur', 'eau', 'oeufs frais 3,8%']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,6.7 g,en quantité modérée,2.3 g,en quantité modérée,3.9 g,en faible quantité,0.8 g,en quantité modérée,1046,-3%,248,-2%,1046 kj(248 kcal),-1%,"6,7",-16%,"2,3",-43%,36,+7%,"3,9",+27%,10,-2%,"0,8",-25%,"0,32",-25%,1,-86%,B,-86%,,,,,,,,"['E330 - Acide citrique', 'E270 - Acide lactique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E300 - Acide ascorbique', 'E1105 - Lysozyme']","['Œufs', 'Lait']",,,,,,,,,,
171,Ravioli Jambon Fromage - Lustucru - 300g,3240931531656,E,300 g,['Lustucru'],"['Viandes', 'Plats préparés', 'Charcuteries', 'Frais', 'Plats à base de pâtes', 'Jambons', 'Pâtes farcies', 'Plats préparés frais', 'Pates farcies à la viande', 'Ravioli', 'Ravioli à la viande', 'Pâtes farcies au fromage', 'Ravioli au fromage', 'Ravioli au jambon']",['France'],"['Pâte : 50% ', 'semoule de blé dur', 'eau', 'oeufs frais 3,8%', 'Farce : 50% ', 'semoule de blé dur', 'jambon cuit de porc* de qualité supérieure ', 'jambon de porc*', 'bouillon : eau', 'couennes de porc*', 'oignons', 'os de porc*', 'carottes', 'sel', 'épices et aromates ', ' chlorure de potassium', 'dextrose', 'arômes naturels', 'conservateurs : nitrite de sodium', 'erythorbate de sodium', ' 8,5%', 'fromage frais 8%', 'eau', 'crème fraîche', 'emmental ', 'lait', 'sel', 'ferments lactiques', 'coagulant', ' 2,2%', 'flocons de pomme de terre ', 'pommes terre déshydratées', 'émulsifiant : mono et diglycérides d’acides gras', 'anti-oxydant : acide ascorbique', 'épice : curcuma', 'lactose et protéines de lait', 'poitrine de porc* fumée ', 'poitrine de porc', 'sel', 'dextrose', 'acidifiant : acide citrique', 'arôme', 'conservateurs : ascorbate de sodium', 'nitrite de sodium', ' 2%', 'huile de colza', 'arômes : arôme-arôme de fumée ', 'lait', 'sel', ""extrait d'épice"", '\r Pourcentages exprimés sur le produit total', '\r Informations en gras destinées aux personnes allergiques', '\r Peut contenir des traces de fruits à coque', '\r *Viande de porc origine :UE']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,6.1 g,en quantité modérée,2.6 g,en quantité modérée,2.8 g,en faible quantité,1.2 g,en quantité modérée,1023,+2%,243,-1%,1023 kj(243 kcal),-1%,"6,1",+9%,"2,6",+16%,36,-3%,"2,8",+12%,10,-7%,"1,2",+28%,"0,48",+28%,4,+9%,C,+9%,92.9%,3.7%,1.3%,1.1%,0.6%,0.4%,19,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E300 - Acide ascorbique', 'E330 - Acide citrique', 'E301 - Ascorbate de sodium']","['Œufs', 'Lait']",,,,,,,,,,
172,Oodles,0025675302280,,,,,['France'],[],[],,,,,,,,,,?,,1410,,5899 kj(1410 kcal),,"2,4",,"2,2",,79,,52,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
173,Triglioni gourmet tomate chevre - Lustucru - 250g,3240931539263,,250 g,['Lustucru'],"['en:Goat cheese ravioli', 'en:Triglioni']",['France'],"['Specialite cerealiere 47% : ', 'semoule de ble dur', 'oeufs frais 20%', 'eau', 'colorant: extraits de curcuma et de paprika', '\rPourcentage exprime sur la specialite cerealiere', '\rFarce 53% : ', 'tomate puree 38%', 'fromage de chevre 15%', 'flocons de pomme de terre', ""huile d'olive vierge extra"", 'mozzarella 7%', 'tomates mi-sechees 7%', 'huile de colza', 'beurre concentre', 'chapelure ', 'gluten', 'sucre', 'sel', 'fibres de ble et psyllium ', 'gluten', 'arome ', 'lait', 'lactose et proteines de lait', 'ail', 'legumes rissoles ', 'oignon', 'carotte', 'ail', 'huile de tournesol', 'sel', ""extrait d'epice"", 'extrait de levure', 'ciboulette 0', '1%']",['Non végétalien'],4,13 g,en quantité modérée,4.1 g,en quantité modérée,4.4 g,en faible quantité,1.1 g,en quantité modérée,1208,,288,,1208 kj(288 kcal),,13,,"4,1",,33,,"4,4",,"9,3",,"1,1",,"0,44",,11,,D,,,,,,,,,['E100 - Curcumine'],"['Œufs', 'Gluten', 'Lait']",,,,,,,,,,
174,1 &1 Iransk Mynt Vatten,6261004016716,,,,,['France'],[],[],,,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Lunch Box Pasta Regina - Lustucru - 300g,3240931539379,C,300 g,['Lustucru'],"['Plats préparés', 'Plats à base de pâtes', 'Pâtes instantanées', 'Plats préparés à réchauffer au micro-ondes', 'Pâtes instantanées au fromage', 'en:Pasta regina']",['France'],"['Serpentini cuits : 56% ', 'eau', ""spécialité céréalière à base de semoule de BLE dur et blanc d'ŒUF"", 'huile de colza', 'émulsifiant : lécithine de SOJA', 'sel', 'arôme ', 'LAIT', 'colorant : extraits de curcuma et de paprika', 'conservateur : acétate de sodium', "" Accompagnés d'une sauce cuisinée : 40% "", 'tomate pulpe et purée 48%', 'eau', 'jambon de porc cuit 10%', 'MOZZARELLA 6,5%', 'olives noires 6%', 'champignons de Paris 5,5%', 'oignons', 'EMMENTAL 2,5%', ""huile d'olive vierge extra"", 'sucre', 'amidon transformé', 'arômes ', 'LAIT', 'BLE', 'ail', 'sel', 'origan', 'conservateur : sorbate de potassium', 'poivre', 'thym', ' Pourcentages exprimés sur la sauce', "" Et d'un sachet de mozzarella : 4% "", 'LAIT de vache pasteurisé', 'sel', 'ferments lactiques', 'coagulant', 'anti-agglomérant : E460ii', 'Peut contenir des traces de poisson', 'crustacés', 'fruits à coque']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,2046,,489,,2046 kj(489 kcal),,20,,"5,2",,59,,"8,6",,17,,"6,25",,"2,5",,,,,,73.8%,12.9%,4.4%,4.7%,2.4%,1.8%,67,"['E322i - Lécithine', 'E100 - Curcumine', 'E262i - Acétate de sodium', 'E14XX - Amidons modifiés', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E460ii - Cellulose en poudre']","['Œufs', 'Gluten', 'Lait', 'Soja']",,,,,,,,,,
176,Pastasauce Sahne Paprika - K Classic - 400g,4337185440656,,400g,['K Classic'],"['Epicerie', 'Sauces']","['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Portionen'],,,,,,,,,
177,Lasagne a Bolognese - Lustucru - 300g,3240931539508,D,300 g,['Lustucru'],"['Plats préparés', 'Plats à base de pâtes', 'Lasagnes préparées', 'Lasagnes à la bolognaise', 'en:Bolognese pasta', 'en:Lasagna bolognese']",['France'],"['Sauce bolognaise cuisinée aux fromages : 50% ', 'tomate pulpe et purée 46%', 'viande de boeuf VBF cuite salée 14%', 'crème UHT 7% stabilisant : carraghénanes', 'oignons 6%', 'préparation de viande de boeuf VBFn hachée cuite 6%', 'emmental 6%', 'ricotta 5%', 'carottes 3%', 'ail', 'arômes lait', 'sucre', 'amidon transformé sel', 'épaississant : xanthane', 'conservateur : sorbate de potassium', ""extrait d'épices"", 'thym déshydraté 0', '05% - Lasagnette cuites : 45% ', 'pâtes : semoule de blé dur', 'eau', 'oeufs frais', 'sel', 'eau', 'huile de colza', 'émulsifiant : lécithine de soja', 'sel', 'colorant : extrait de curcuma et de paprika', 'arôme', 'lait', 'conservateur : acétate de sodium', "" - Sachet d'emmental râpé 5% : emmental râpé"", 'lait pasteurisé de vache', 'ferments lactique', 'coagulant : sel', 'anti-agglomérant : E460ii', "" Viande bovine provenant d'animaux nés"", 'éléves et abbatus en France', ' Peut contenir des traces de poisson', 'crustacés et fruits à coque']",['Non végétalien'],4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,79.9%,12.1%,2.7%,2.8%,1.5%,1.1%,47,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine', 'E100 - Curcumine', 'E262i - Acétate de sodium', 'E460ii - Cellulose en poudre']","['Œufs', 'Lait']",,,,,,,,,,
178,Tortellini a poeler champignons jambon emmental - Lustucru - 300g,3240931539584,,300 g,['Lustucru'],"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Tortellini', 'Tortellini à la viande', 'en:Ham and cheese tortellini', 'en:mushroom tortellini']",['France'],"['Pates fraiches farcis cuites ', 'pate farci: 67% ', 'pate: 43% ', 'semoule de ble dur', 'eau', 'oeufs frais', 'farce: 24% ', 'champignons cuits 7', '8% ', 'champignons de Paris 7%', 'huile de colza', 'sel', 'flocons de pomme de terre', 'semoule de ble dur', 'jambon cuit de porc* de qualite superieure ', 'gluten', ' 2', '4%', 'fromage frais 1', '6%', 'eau ', 'gluten', 'moutarde', 'ail', ""extrait d'epice"", 'eau', 'huile de colza', 'aromes-arome de fumee ', 'lait', 'gluten', 'creme UHT', 'sel', 'amidon transforme']",['Non végétalien'],4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['E14XX - Amidons modifiés'],"['Œufs', 'Gluten', 'Lait', 'Moutarde']",,,,,,,,,,
179,HARICOTS LINGOT,3509474000440,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Coquillettes au jambon et au fromage - Marie - 616g (2x (280g + 28g)),3248830688280,,616 g (2 x (280 g + 28 g)),['Marie'],"['Plats préparés', 'Plats préparés à réchauffer au micro-ondes', 'en:Ham and cheese pasta', 'en:Macaroni with cheese and ham']",['France'],"['coquillettes cuites 61% ', 'eau', 'semoule de blé dur', 'huile de colza', 'eau', 'jambon supérieur fumé 11,8% ', 'jambon de porc origine France', 'eau', 'sel', 'sirop de glucose', 'arômes naturels', 'bouillon de légumes', 'ferments', 'emmental 7,1%', 'crème fraîche 5,8%', 'farine de blé', 'sel', 'poivre', 'curcuma', 'muscade']",['Non végétalien'],3,7.7 g,en quantité modérée,3 g,en quantité modérée,0.5 g,en faible quantité,0.61 g,en quantité modérée,690,+24%,165,+24%,690 kj(165 kcal),+24%,"7,7",+42%,3,+46%,16,+24%,"0,5",-71%,"7,5",+12%,"0,61",-21%,"0,244",-21%,2,+42%,B,+42%,,,,,,,,,"['Gluten', 'Lait']",,,"['Nutriscore', 'Expérimentation Nutriscore', 'Expérimentation Nutriscore B', 'Nutriscore B']",,,,,,,
181,Choucroute Garnie d'alsace - Stoeffler - 1058g,3180950008008,C,1058 g,['Stoeffler'],"['Plats préparés', 'Choucroutes', 'Choucroutes garnies']",['France'],"['Choucroute cuisinée 61% : Choucroute', 'bouillon ', 'jus de cuisson', 'huile de tournesol', 'bière ', 'dont malt d’ORGE', 'arôme naturel', 'oignons', 'sel', 'antioxydant : acide ascorbique', ' Garniture carnée 26% : viande de porc*', 'poitrine de porc*', 'eau', 'viande de boeuf*', 'gras de porc*', 'sel plasma déshydraté', 'épices', 'plantes aromatiques et extraits d’épices', 'arômes naturels', 'dextrose', 'saccharose', 'poireau', 'stabilisants : diphosphates et triphosphates', 'antioxydants : acide ascorbique et ascorbate de sodium', 'conservateur : nitrite de sodium', ' Boyaux naturels de porc et de mouton', ' Fumée au bois de hêtre', ' Pommes de terre cuites 13% pommes de terre', 'eau', 'sel', ' *Origine UE', ' Présence éventuelle de lait', 'gluten', 'moutarde', 'oeuf et fruits à coque']","['Non végétalien', 'Non végétarien']",4,8 g,en quantité modérée,2.4 g,en quantité modérée,0 g,en faible quantité,1.3 g,en quantité modérée,451,+2%,109,-4%,451 kj(109 kcal),-4%,8,-6%,"2,4",-25%,"3,7",+68%,0,-100%,"4,5",-18%,"1,3",-2%,"0,52",-2%,3,-47%,C,-47%,59.3%,25.1%,6.2%,5.0%,2.6%,1.9%,70,"['E300 - Acide ascorbique', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten', 'Moutarde', 'Fruits à coque']",,,,,,,,,,
182,8 PETITS PAINS AUX GRAINES - Casino - 520g,3222475756344,,520 g,['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'en:Bread rolls with grains', 'en:Dinner rolls', 'en:Seeded bread rolls']",['France'],"['Farine de blé - eau-levain de blé ', 'eau - farine de blé - gluten de blé - farine de blé malté', ' - alcool - sel - levure - graines de tournesol 0', '75% - graines de sésame grillées 0', '75% - gluten de blé - farine de blé malté - graines de pavot 0', '5% - épaississant : gomme guar', 'Les informations en gras sont destinées aux personnes intolérantes ou allergiques']",[],4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['E412 - Gomme de guar'],['Gluten'],,,,['Casino'],,,,,,
183,TIP Locken Eiernudeln - 500g,4335718171084,,500 g,,,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Produkt'],,,,,,,,,
184,TIP Macceroni Eiernudeln,4335718171039,,,['TiP'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles']","['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Galettes jambon emmental x 2 - Sodebo - 300g,3242271730850,B,300 g,['Sodebo'],"['Crêpes et galettes', 'Galettes', 'Galettes de blé noir', 'en:Ham and cheese galettes']",['France'],"['Pâte à galette ', 'eau', 'farine de blé noir et de blé', 'jaune d’ oeuf', 'blanc d’ oeuf', 'huile de colza', 'sucre', 'sel', 'emmental', 'jambon de porc', 'eau', 'lait écrémé', 'crème fraiche légère', 'farine de blé', 'amidon de maïs', 'protéines de lait', 'lactose', 'sirop de glucose', 'dextrose', 'ferment', 'conservateurs : E250 et E202', 'gélifiant : E407', 'antioxydant : E316', 'sel', 'arome naturel', 'bouillon de porc', 'poivre']","['Non végétalien', 'Non végétarien']",4,9.8 g,en quantité modérée,4.4 g,en quantité modérée,0.9 g,en faible quantité,1.6 g,en quantité élevée,803,+8%,192,+8%,803 kj(192 kcal),+8%,"9,8",+152%,"4,4",+177%,13,-52%,"0,9",+26%,11,+61%,"1,6",+21%,"0,64",+21%,10,+94%,C,+94%,31.3%,30.2%,19.0%,10.8%,8.7%,0.0%,96,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium']","['Œufs', 'Gluten', 'Lait']",,,"['Nutriscore', 'Expérimentation Nutriscore', 'Expérimentation Nutriscore C', 'Nutriscore C']",,,,,,,
186,Galette jambon emmental mozzarella x 2 - Sodebo - 350g,3242271730959,,350 g,['Sodebo'],"['Crêpes et galettes', 'Galettes', 'en:Ham and cheese galette']",['France'],"['Garniture 63% : jambon cuit standard 25% ', 'jambon de porc', 'eau', 'sel', 'sirop de glucose', 'dextrose', 'stabilisant : E451', 'gélifiant : E407', 'LACTOSE', 'arôme naturel', 'bouillon de porc', 'antioxydant : E316', 'conservateur : E250', 'ferments', 'sauce blanche à la crème fraîche légère ', ' LAIT écrémé', 'eau', 'CREME FRAICHE légère', 'EMMENTAL 1%', 'farine de BLE', 'LACTOSE et protéines de LAIT', 'sel', 'conservateur: E202', 'poivre', 'amidon de maïs', 'EMMENTAL 18%\rGalette au blé noir et au blé 37% : eau', 'farine de blé noir 11%', 'huile de colza', ""blanc d' OEUF"", ""jaune d' OEUF"", 'farine de BLE 0,4%', 'caramel ', 'sucre', 'eau', 'sel', '\rPorc: Origine UE']","['Non végétalien', 'Non végétarien']",4,11 g,en quantité modérée,2.4 g,en quantité modérée,1.6 g,en faible quantité,1.6 g,en quantité élevée,802,-4%,192,-4%,802 kj(192 kcal),-4%,11,+114%,"2,4",+9%,12,-59%,"1,6",-2%,11,+57%,"1,6",+26%,"0,64",+26%,8,+33%,C,+33%,,,,,,,,"['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten', 'Lait']",,,"['Nutriscore', 'Expérimentation Nutriscore', 'Expérimentation Nutriscore C', 'Nutriscore C']",,,,,,,
187,Eismann Pasta Spargelpfanne,4059699012340,,,,,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Spaghetti - 500g,4028242015183,,500 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Spaghetti']","['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Pillons poulet,2227426031625,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['barquette et film plastique à jeter'],,,,,,,,,
190,TIP Zitronenlimonade - 9l,4009418289003,,9 l,,,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['6er pack'],,,,,,,,,
191,Escalope poulet,2456030050573,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,"['FR 85.223.001 CE', 'Sainte-Hermine (Vendée, France)']","['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,
192,Erdbeermarmelade 1935,8008660101329,C,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']","['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,['Glas'],,,,,,,,,
193,Eismann Zartes Landgemüse - Coles - 600g,5853,,600 g,"['Coles', 'Eismann']",,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Produkt'],,,,,,,,,
194,Pâte feuilletée,0250026023297,,,,,['France'],[],[],,,,,,,,,,?,,417,,1745 kj(417 kcal),,27,,0,,35,,0,,6,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,
195,Mûre bleue - Vidal,8413178333979,,,['Vidal'],,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,
196,Kirschtomaten - Casa Rinaldi - 400g,8006165388412,B,400 g,['Casa Rinaldi'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Tomates et dérivés', 'Tomates', 'Tomates en conserve']","['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,67.0%,0.0%,0.0%,15.7%,13.1%,4.3%,97,,,['stück'],,,,,,,,,
197,Getrocknete Tomaten - 280g,4306188033356,,280 g,,,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Glas'],,,,,,,,,
198,Tikka Masala Paste - sabita - 125g,4013200862053,,125g,['Sabita'],,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Bocal'],,,,,,,,,
199,Cranberries - 320g,4100240151824,,320 g,,,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['frais désséché'],,,,,,,,,
200,M&M's crispy,5000159474993,,,"[""M&M's""]","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",['France'],[],[],,21 g,en quantité élevée,14 g,en quantité élevée,57 g,en quantité élevée,0.32 g,en quantité modérée,?,,485,-8%,2029 kj(485 kcal),-8%,21,-34%,14,-20%,69,+32%,57,+20%,"4,2",-29%,"0,32",+109%,"0,128",+109%,27,+11%,E,+11%,,,,,,,,,,,,,,,,,,,
201,Spaghetti bio Auchan - 500g,3596719648758,,500 g,['Auchan'],,['France'],[],[],,,,,,,,,,?,,350,,1464 kj(350 kcal),,"1,6",,"0,4",,70,,3,,"12,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['Auchan'],,,,,,
202,"Jambon ""miche""avec couenne",2860460068617,,,,,['France'],[],[],,,,,,,,,,?,,106,,444 kj(106 kcal),,"2,3",,1,,"0,6",,"0,5",,21,,"2,5",,1,,,,,,,,,,,,,,,,,,,,,,,,
203,Assaisonnement pour fajitas FMP1014-5918 - Amigos - 1kg,3351700035432,,1 kg,['Amigos'],,['France'],[],[],,,,,,,,,,?,,240,,1004 kj(240 kcal),,"1,58",,"0,14",,"46,4",,"4,07",,"6,06",,"27,5",,11,,,,,,,,,,,,,,,,,,,,,,,,
204,400G Chat Adulte Repas Poulet Riz Ultima,8410650153063,,,,,['France'],[],[],,,,,,,,,,?,,15,,63 kj(15 kcal),,20,,0,,10,,0,,54,,3,,"1,2",,,,,,,,,,,,,,,,,['Sans colorants'],,,,,,,
205,Croissant,2635448014432,,,,,['France'],[],[],,,,,,,,,,?,,430,,1799 kj(430 kcal),,23,,15,,45,,"9,7",,"8,4",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,
206,Caissette côte sans os,0203676059956,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Filet de maquereau fumé au poivre,0209305033069,D,,,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux', 'en:Filets de maquereau']",['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,,,,,,,,,,,,
208,Infusion fée enchantée - Quai Sud,3662051009615,,,['Quai Sud'],,['France'],[],[],,,,,,,,,,?,,110,,460 kj(110 kcal),,1,,"0,5",,18,,16,,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Velouté de poisson,3251870004521,,,,,['France'],[],[],,,,,,,,,,?,,38,,159 kj(38 kcal),,"2,1",,"0,5",,3,,0,,"1,4",,"1,05",,"0,42",,,,,,,,,,,,,,,,"['FR 13.078.002 CE', 'Port-Saint-Louis-du-Rhône (Bouches-du-Rhône, France)']",,,,,,,,
