,name,bar_code,eco_score,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,packaging,traceability_code,labels,markets,generic_name,ingredients_origins,palm_ingredients,manufacturing,link,brand_owner
1801,Lasagne „Bolognese“,01637,,,,,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,Biere,06730666,C,,,"['Boissons', 'Boissons alcoolisées', 'Bières']",['France'],[],[],,,,,,,,,,?,,?,,,,?,,0,-100%,?,,,,?,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,
1803,Bofrost American Ice Cream 11182,11182,,,['Bofrost'],,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1804,Riso Baldo  Ardizzina,8032505850349,,,,,"['France', 'Italie']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,Sablé des rois fourrage pruneaux,3413910093067,,,,,['France'],[],[],,,,,,,,,,?,,425,,1778 kj(425 kcal),,"16,2",,"11,1",,"60,1",,"30,4",,"4,8",,"0,75",,"0,3",,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,
1806,Préparation pour crème dessert saveur chocolat noisette,3700413404163,,,,,['France'],[],[],,,,,,,,,,?,,397,,1661 kj(397 kcal),,10,,"2,9",,"8,5",,"4,2",,64,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,
1807,Terres et cereales bio crok' fondant chocolat noisettes,99910242,,,,,['France'],[],[],,,,,,,,,,?,,417,,1745 kj(417 kcal),,13,,"2,3",,64,,26,,"8,4",,"0,81",,"0,324",,,,,,,,,,,,,,,,,"['Bio', 'Sans huile de palme']",,,,,,,
1808,0977702627166,0977702627166,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Film en plastique'],,,,,,,,,
1809,Almonds smoked,5057621672722,,,,,['France'],[],[],,,,,,,,,,?,,597,,2498 kj(597 kcal),,49,,4,,10,,3,,"22,5",,"1,69",,"0,676",,,,,,,,,,,,,,,,,,,,,,,,
1810,Chocolat Noir 300g Maître Truffout,9002859042676,,,,,['France'],[],[],,,,,,,,,,?,,508,,2125 kj(508 kcal),,30,,19,,51,,49,,"0,04",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
1811,Boutons de rose bio,3663787451501,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1812,ADANA KEBAP - 600g,4047187002102,,600 g,,,['France'],[],[],,,,,,,,,,?,,194,,812 kj(194 kcal),,"12,8",,"6,7",,"4,6",,0,,"15,1",,"0,9",,"0,36",,,,,,,,,,,,,,,,,['Halal'],,,,,,,
1813,Madeleine,3770014059178,,,,,['France'],[],[],,,,,,,,,,?,,475,,1987 kj(475 kcal),,23,,14,,58,,32,,"8,5",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,
1814,Pierrot saucisson de cheval,3434221540002,,,,,['France'],[],[],,,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815,SUISSE RAISIN,0202113012790,,,,,['France'],[],[],,,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816,Salatmayonaise - 125g,4400038813119,,125 g,,,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
