,name,bar_code,eco_score,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,ingredients_origins,manufacturing,traceability_code,link,markets,additives,nova_score,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,producer_info,allergens,palm_ingredients,brand_owner,origin_detail
1504,Poire - T'air de famille - 1kg,3760230730548,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Poires', 'Purée de fruits sans sucres ajoutés']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",['France'],"['purée de poire*', "" *produit issu de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,37.4%,25.4%,14.3%,13.6%,7.2%,2.0%,96,1kg,['Bocal'],"[""T'air de famille""]",,,,,,,1,,,,,,,,,,
1505,Filet de poulet,0213400029919,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,['France'],[],[],1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,?,,104,-21%,435 kj(104 kcal),-20%,"1,3",-55%,"0,4",-46%,0,-100%,0,-100%,23,+1%,"0,11",-85%,"0,044",-85%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,-4,,A,,,,,,,
1506,"Mélange canadien - L’ukulélé - 0,28kg",2600706027554,,['Epicerie'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,"0,28kg",,['L’ukulélé'],,,,,,,,,,,,,,,,,
1507,Bio-Heublumen-schinken,9120009450574,,,"['Bio', 'Bio européen', 'AT-BIO-301']",['France'],[],[],,,,,,,,,?,,107,,448 kj(107 kcal),,4,,"1,6",,"1,6",,"0,9",,16,,"2,5",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,Olive verte - 3kg,5412535002278,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,3 kg,,,,,,,,,,,,,,,,,,,
1509,Massale - 100g,3266840001080,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']",,['France'],[],[],,,,,,,0 g,en faible quantité,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,,,,100 g,,,,,,,,,,,,,,,,,,,
1510,Acelora -,3700067372436,,"[""Pastilles d'acerola""]","['Bio', 'Bio européen', 'Agriculture non UE', 'FR-BIO-01', 'Point Vert', 'Fabriqué en France', 'Triman']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511,NOIR Raisins Amandes - Jardin Bio - 100g,3456300013184,D,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']","['Bio', 'Bio européen', 'Commerce équitable', 'FR-BIO-01', 'Fabriqué en France']",['France'],[],[],40 g,en quantité élevée,23 g,en quantité élevée,30 g,en quantité élevée,0 g,en faible quantité,?,,564,+1%,2360 kj(564 kcal),+2%,40,+2%,23,-0%,39,+1%,30,-5%,"7,5",-2%,0,-100%,0,-100%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,100 g,"['Carton', 'Etui en carton', 'Feuille en métal']",['Jardin Bio'],,,['FSC-C095159'],,,,,18,-15%,D,-15%,,,,,,
1512,Pomme bio du limousin,3701201356985,,,['Bio'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,Fresh Milk - 5x 200ml,5011024002050,,,,['France'],[],[],,,,,,,,,?,,64,,268 kj(64 kcal),,"3,5",,"2,2",,"4,7",,"4,7",,"3,4",,"0,11",,"0,044",,,,,,,,,5 x 200 ml,,,,,,,,,,,,,,,,,,,
1514,Sauce au Gingembre,3387370840182,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,M&M's barre de chocolat aux amandes,0058496448141,,,,['France'],"['milk chocolate ', 'sugar', 'milk ingredients', 'cocoa butter', 'cocoa mass', 'lactose', 'soy lecithin', 'polyglycerol polyricinoleate', 'artificial flavour', ""m&m's® minis milk chocolate candies [milk chocolate "", 'sugar', 'cocoa mass', 'milk ingredients', 'cocoa butter', 'lactose', 'soy lecithin', 'salt', 'artificial flavour', 'flavour', 'sugar', 'colour ', 'with tartrazine', 'corn syrup', 'tapioca dextrin', 'cornstarch', 'carnauba wax', 'modified coconut oil and / or modified palm oil ', 'medium chain triglycerides', ']', 'almonds', 'tbhq', ' may contain: peanuts', ' ud']",['Non végétalien'],,,,,,,,,?,,200,,837 kj(200 kcal),,20,,10,,21,,20,,3,,0,,0,,,,,,,,,,,"[""M&M's""]",,,,,,"['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E102 - Tartrazine', 'E1400 - Dextrines', 'E903 - Cire de carnauba', 'E319 - Butylhydroquinone tertiaire']",4,,,,,,,"['Lait', 'Fruits à coque', 'Soja']",,,
