,name,bar_code,eco_score,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,ingredients_origins,manufacturing,traceability_code,link,markets,additives,nova_score,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,producer_info,allergens,palm_ingredients,brand_owner,origin_detail
513,Sauce Pala Poisson Fermente,0084909026842,,,,['France'],[],[],,,,,,,,,?,,65,,272 kj(65 kcal),,"2,1",,"0,7",,"6,4",,0,,5,,19,,"7,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,"Brownies - U - x4, 240g",3256227460760,D,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Brownies']",,['France'],"['Chocolat 18% ', 'sucre', 'masse de cacao', 'oeufs', 'huile de colza', 'sucre', 'farine de ble', 'beurre concentré', 'sirop de glucose', 'stabilisant: glycérol', 'noisettes hachées 3,5%', 'pépites de chocolat 3,5% ', 'sucre', 'masse de cacao', 'beurre de cacao', 'émulsifiant: lécithine de soja', 'arôme naturel de vanille', 'cacao maigre en poudre', 'sirop de glucose-fructose', 'farine de maïs', 'cacao en poudre', 'sel', 'conservateur: sorbate de potassium', 'poudre à lever : carbonates de sodium', 'arômes', 'émulsifiant : lécithine de colza', ' traces éventuelles de graines de sésame']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",24 g,en quantité élevée,7.2 g,en quantité élevée,29 g,en quantité élevée,0.37 g,en quantité modérée,1880,-1%,450,-1%,1880 kj(450 kcal),-1%,24,-6%,"7,2",-12%,52,+8%,29,-15%,6,+1%,"0,37",-3%,"0,148",-3%,84.5%,9.8%,2.3%,2.2%,1.2%,0.0%,37,"x4, 240 g",,['U'],,,,,['Magasins U'],"['E422 - Glycérol', 'E322i - Lécithine', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']",4,17,-11%,D,-11%,,,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",,,
515,Sedani rigati 500g voiello 2015 - 500g,8076810500469,,,,"['France', 'Suisse', 'Belgien']","['Semoule de BLÉ dur variété AUREO', 'eau', ' Peut contenir des traces de SOJA']",[],,,,,,,,,1521,,359,,1521 kj(359 kcal),,2,,"0,4",,"69,7",,"3,5",,14,,"0,013",,"0,005",,,,,,,,,500 g,,['Voiello'],,,,,,,,,,,,Pâtes alimentaires,,['Gluten'],,,
516,Caramelos de goma surtidos tarrina - Miguelañez,8411823900316,,,,['France'],[],[],,,,,,,,,?,,332,,1389 kj(332 kcal),,0,,0,,"79,7",,"58,5",,"3,8",,"0,1",,"0,04",,,,,,,,,,,['Miguelañez'],,,,,,,,,,,,,,,,,
517,Pop Fruit ACE - Maison de la Glace,3760124194166,,,,['France'],[],[],,,,,,,,,?,,80,,335 kj(80 kcal),,"0,1",,0,,19,,18,,"0,3",,0,,0,,,,,,,,,,,['Maison de la Glace'],,,,,,,,,,,,,,,,,
518,Pop Fruit Cactus Lime - Maison de la Glace - 4x 70g,3760124194159,,,,['France'],[],[],,,,,,,,,?,,87,,364 kj(87 kcal),,0,,0,,21,,21,,"0,3",,0,,0,,,,,,,,,4 x 70 g,,['Maison de la Glace'],,,,,,,,,,,,,,,,,
519,Boule de soja - dietplus - 35g,1000000000021,,,,['France'],"['Mélange de protéines ', 'protéines de soja isolée', 'protéine de lait concentrée', 'sucre', 'huile de palmiste modifiée', 'poudre de cacao', 'amidon de tapioca', 'farine de riz', 'agent levant: carbonate de calcium émulsifiant: lécithine de soja', 'arômes édulcorant: sucralose', 'farine de cacahuète partiellement dégraissée']",['Non végétalien'],,,,,,,,,664,,451,,664 kj(451 kcal),,"17,6",,"14,1",,"28,9",,"16,5",,"42,9",,"0,86",,"0,344",,,,,,,,,35 g,['sachet de 35 g'],['Dietplus'],,['Canada'],,,['Dietplus'],"['E322i - Lécithine', 'E955 - Sucralose']",4,,,,,,,"['Lait', 'Soja']",['Huile de palme'],,
520,Gerlinéa Easy Go Citron Barres Repas,5410063028135,,,,['France'],[],[],,,,,,,,,?,,373,,1561 kj(373 kcal),,11,,5,,42,,29,,25,,"0,85",,"0,34",,,,,,,,,,,['Gerlinéa'],,,,,,,,,,,,,,,,,
521,Jambon cuit fumé - saint Alby - 303g,2205872003489,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Charcuteries cuites']",,['France'],"['Jambon de qualité supérieur', 'cuit', 'fumé', ' Ingrédients viande de porc ', 'origine UE', 'sel nitrité ', 'sel', 'conservateur : nitrite de sodium', ""extraits d'épices"", 'épices', 'dextrose', 'antioxydant: ascorbate de sodium ', ' fumée de bois de hêtre', ' FR Conseil:pour plus de saveur', 'sortez le jambon de son emballage 5 minutes avant de le déguster']",[],4.5 g,en quantité modérée,1.5 g,en quantité modérée,0.5 g,en faible quantité,1.9 g,en quantité élevée,?,,125,-25%,523 kj(125 kcal),-22%,"4,5",-47%,"1,5",-54%,1,-28%,"0,5",-31%,20,+7%,"1,9",0%,"0,76",0%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,303 g,['sous vide'],['saint Alby'],['Union européenne'],['Allemagne'],['33L2205X145G19'],DERP03001EG,['Lidl'],"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",4,5,-48%,C,-48%,,,,,,
522,Jus de pomme - Zuegg,80094944,,,,['France'],[],[],,,,,,,,,?,,45,,188 kj(45 kcal),,0,,0,,"11,2",,"9,6",,0,,0,,0,,,,,,,,,,,['Zuegg'],,,,,,,,,,,,,,,,,
523,Caffè latte -  - 261g,20230463,,"['Boissons', 'Produits laitiers', 'Boissons lactées', 'Boissons au café', 'Boissons lactées au café']",['Rainforest Alliance'],['France'],"['lait entier 75%', 'café arabica 17%', 'crème 5%', 'Sucre', 'stabilisant : carbonates de sodium', 'carraghénanes']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",3.9 g,en quantité modérée,2.5 g,en quantité modérée,6.8 g,en quantité élevée,0.15 g,en quantité modérée,?,,74,-62%,310 kj(74 kcal),-60%,"3,9",-34%,"2,5",-44%,"6,8",-76%,"6,8",-68%,"2,9",-48%,"0,15",-61%,"0,06",-61%,,,,,,,,261 g,,,,,,,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",4,17,+21%,E,+21%,,,['Lait'],,,
524,Macarons - Biscuiterie de Saint-Julien - 250g,3346982100046,D,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",,['France'],[],[],20.2 g,en quantité élevée,18.2 g,en quantité élevée,61.4 g,en quantité élevée,0.1 g,en faible quantité,?,,457,+7%,1912 kj(457 kcal),+7%,"20,2",+13%,"18,2",+303%,"61,6",+11%,"61,4",+22%,"4,5",-47%,"0,1",-30%,"0,04",-30%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,250 g,,['Biscuiterie de Saint-Julien'],,,,,,,,25,+42%,E,+42%,,,,,,
525,Tartinable gourmand aux poivrons confits - Avenia - 150g,3770006664502,,['Aides culinaires'],"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'FR-BIO-01']",['France'],"['Poivrons rouges séchés* 61,5%', 'huile de colza désodorisé""', 'concentré de tomates*', 'jus de citron concentré*', 'ail""', 'sel', ""sucre de canne 0,5%* piment d'Espelette*0,1%""]","['Végétalien', 'Végétarien']",20 g,en quantité modérée,1.7 g,en quantité modérée,10 g,en quantité modérée,0.83 g,en quantité modérée,1010,-30%,244,-26%,1010 kj(244 kcal),-27%,20,+166%,"1,7",-41%,11,-80%,10,-70%,"2,7",-40%,"0,83",+52%,"0,332",+52%,,,,,,,,150g,['Frais'],['Avenia'],"['France', 'Pays de la Loire']","['Loire-Atlantique', 'France']",,https://www.avenia.fr/tartinable-poivrons-confits-2/,['Biocoop'],,3,5,-59%,C,-59%,,,,,,
526,chips de carottes,3760259130527,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,400,,1674 kj(400 kcal),,"11,2",,"0,1",,"62,7",,"7,5",,"6,8",,"2,3",,"0,92",,,,,,,,,,,,,,,,['Biocoop Caluire'],,,,,,,,,,,,
527,Flavoured sparkling water - Hema,8716618571178,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,"0,04",,"0,016",,,,,,,,,,,['Hema'],,,,,,,,,,,,,,,,,
528,Sauce déshydratée Poivre Vert - U - 30g,3256227447945,B,"['Epicerie', 'Sauces', 'Sauces au poivre']",,['France'],"['Amidon modifié de maïs', 'CRÈME', 'farine de BLÉ', 'maltodextrine', 'extrait de levure', 'PROTÉINES DE LAIT', 'sel', 'oignon', 'poivres ', 'poivre vert 3,9%', 'poivre noir 0,5%', 'extrait de vin blanc', 'tomate', 'sucre', 'ail', 'arôme naturel d oignon', 'arôme', 'extrait de viande de boeuf', 'colorant: caramel ordinaire', ' Traces eventuelles de: oeuf', 'soja', 'céleri', 'poisson et crustacés']","['Non végétalien', 'Non végétarien']",6.2 g,en quantité modérée,4.2 g,en quantité modérée,11 g,en quantité modérée,7.9 g,en quantité élevée,1471,+43%,348,+11%,1471 kj(348 kcal),+15%,"6,2",-77%,"4,2",+8%,57,+546%,11,+246%,15,+724%,"7,9",+241%,"3,16",+241%,51.5%,31.1%,7.1%,5.2%,3.0%,2.1%,76,30 g,['Sachet'],['U'],,,,,['Magasins U'],"['E14XX - Amidons modifiés', 'E150a - Caramel E150a']",4,18,+23%,D,+23%,,,"['Gluten', 'Lait']",,,
529,JBL NovoRed 100 ML Nourriture Pour Poissons Rouges,4014162000613,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,Govinda Ayurvedisk økologisk Ghee (ghi) - 420g,4038507003664,,,,['France'],[],[],,,,,,,,,?,,895,,3745 kj(895 kcal),,99,,66,,"0,5",,"0,2",,0,,1,,"0,4",,,,,,,,,420 g,,['Govinda'],,,,,,,,,,,,,,,,,
531,Chocolat de plantation,0659253129060,,,,['France'],[],[],,,,,,,,,?,,570,,2385 kj(570 kcal),,"41,6",,"25,7",,"46,1",,"32,8",,"6,8",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,Apple Juice - Metro Chef,4337182087366,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits à base de concentré', 'Jus de pomme', 'Jus de pomme à base de concentré']",['Produits destinés aux professionnels'],"['Belgique', 'France']",[],[],0.1 g,en faible quantité,0.1 g,en faible quantité,9.5 g,en quantité élevée,0.01 g,en faible quantité,?,,42,-5%,176 kj(42 kcal),-5%,"0,1",-37%,"0,1",+210%,10,-5%,"9,5",-6%,"0,1",-56%,"0,01",+96%,"0,004",+96%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,['Metro Chef'],,,,,,,,3,-22%,C,-22%,,,,,,
533,Pancetta - 70g,3333680001317,,,,['France'],[],[],,,,,,,,,?,,298,,1247 kj(298 kcal),,24,,"8,5",,"0,5",,"0,5",,21,,"4,5",,"1,8",,,,,,,,,70 g,,,,,,,,,,,,,,,,,,,
534,"Vapeur petit pois doux cuisson - U - 4/4, 530g",3256227458927,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Petits pois', 'Petits pois en conserve']","['Fruits et Légumes de France', 'Transformé en France', 'Légumes de France']",['France'],"['Petits pois doux', 'eau', 'sucre', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.9 g,en faible quantité,0.2 g,en faible quantité,2.6 g,en faible quantité,0.47 g,en quantité modérée,331,+0%,79,+4%,331 kj(79 kcal),+3%,"0,9",+30%,"0,2",+32%,"8,8",-13%,"2,6",-21%,"5,7",+18%,"0,47",-15%,"0,188",-15%,37.9%,30.3%,14.5%,7.3%,4.0%,5.9%,85,"4/4, 530 g","['Conserve en métal', 'boîte']",['U'],,['Indéfini'],,,['Magasins U'],,3,-11,,A,,,,,,,
535,Sour patch kids - Mondelez - 141g,0070462098617,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,"['France', 'États-Unis']","['sugar', 'invert sugar', 'corn syrup', 'modified corn starch', 'contains less than 2% of tartaric acid', 'citric acid', 'natural and artificial flavor', 'yellow 6', 'red 40', 'yellow 5', 'blue 1,']",[],0 g,en faible quantité,0 g,en faible quantité,80 g,en quantité élevée,0.207 g,en faible quantité,?,,367,+3%,1536 kj(367 kcal),+2%,0,-100%,0,-100%,90,+8%,80,+38%,0,-100%,"0,208",+71%,"0,083",+71%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,141 g,,['Mondelez'],,,,,,"['E334 - Acide L-tartrique', 'E330 - Acide citrique', 'E110 - Jaune orangé S', 'E129 - Rouge allura AC', 'E102 - Tartrazine', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",4,14,-3%,D,-3%,,,,,Mondelez Int. US (0074819091009),
536,Abbaye De Vauclair Blonde,3261570004622,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,Vermicelle de Longkou,5420038404918,,,,['France'],[],[],,,,,,,,,?,,165,,690 kj(165 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,Lucozade Zero Pink Lemonade,5054267004856,,,"['Végétarien', 'Contient une source de phénylalanine', 'en:Végétarien']",['France'],"['Carbonated Water', 'Fruit Juices from Concentrate ', '1', '3%', ' ', 'Lemon', 'Cranberry', 'Raspberry', 'Acid ', 'Citric Acid', 'Acidity Regulator ', 'Sodium Gluconate', 'Comminuted Lemon ', '0', '4%', 'Sweeteners ', 'Aspartame', 'Acesulfame K', 'Flavourings', 'Preservative ', 'Potassium Sorbate', 'Caffeine', 'Colour ', 'Anthocyanins', 'Stabilisers Locust Bean Gum', 'Acacia Gum', 'Glycerol Esters of Wood Rosins', ' Contains a source of Phenylalanine']",['Végétarien'],,,,,,,,,?,,2,,8 kj(2 kcal),,0,,0,,"0,1",,"0,1",,0,,"0,04",,"0,016",,,,,,,,,,['mixed plastic-bottle'],['Lucozade'],,,,,,"['E330 - Acide citrique', 'E576 - Gluconate de sodium', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E163 - Anthocyanes', ""E414 - Gomme d'acacia"", 'E445 - Esters glycériques de résine de bois']",4,,,,,,,,,,
539,"Borlotti-bohnen, In Salzwasser",8005360000365,,,,['France'],[],[],,,,,,,,,?,,89,,372 kj(89 kcal),,"0,5",,"0,2",,12,,"0,6",,"6,5",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,Table Salt - Lidl,5010251556305,,,,"['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,"['Container', 'hdpe-bottle']",['Lidl'],,,,,,,,,,,,,,,,,
541,Whey Proteines Fruits Rouges,3701182300298,,,"['Bio', 'Végétarien', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'Union Végétarienne Européenne', 'FR-BIO-15', 'Sans sucre ajouté', 'AB Agriculture Biologique']",['France'],[],['Végétarien'],,,,,,,,,?,,360,,1506 kj(360 kcal),,"4,7",,"3,1",,7,,"4,9",,73,,"0,48",,"0,192",,,,,,,,,,,,,,,,['Biocoop Caluire'],,,,,,,,,,,,
542,NORVIA,5391531742008,,,,['France'],[],[],,,,,,,,,?,,364,,1523 kj(364 kcal),,"8,5",,"1,3",,"31,6",,"27,9",,36,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,Mini brioches,3700009269565,,,,['France'],[],[],,,,,,,,,?,,273,,1142 kj(273 kcal),,12,,"7,6",,33,,"4,7",,"6,9",,"1,3",,"0,52",,,,,,,,,,['Barquette en plastique'],,,,,,,,,,,,,,,,,,
544,Bio-babymüesli,7610994000592,,,"['Bio', 'Sans sucre ajouté']",['France'],[],[],,,,,,,,,?,,351,,1469 kj(351 kcal),,4,,"0,8",,66,,5,,11,,"0,09",,"0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,Cookie chocolat blanc,3760253290203,,,,['France'],[],[],,,,,,,,,?,,506,,2117 kj(506 kcal),,"29,1",,"18,87",,"53,7",,"33,5",,"6,8",,"0,541",,"0,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,Tartare sauce,8714100536148,B,"['Epicerie', 'Sauces', 'Sauces tartare']",,"['France', 'Royaume-Uni']","['spirit vinegar', 'rapeseed oil', 'water', 'sugar', 'glucose-fructose syrup', 'gherkins ', '8%', ' ', 'gherkins', 'salt', 'water', 'acid ', 'lacic acid', 'salt', 'free tonge british egg yolk powder ', '1,9%', 'modified potato starch', 'capers ,3%', 'mustard flour', 'thickener ', 'xanthan gum', 'brifish parsley 0,18%', 'preservative ', 'potassium sorbate', 'dextrose', 'garlic powder,']",[],24 g,en quantité élevée,1 g,en faible quantité,15 g,en quantité élevée,3.2 g,en quantité élevée,?,,291,-44%,1218 kj(291 kcal),-44%,24,-56%,1,-78%,17,+262%,15,+456%,"1,3",+11%,"3,2",+79%,"1,28",+79%,52.2%,31.5%,7.2%,5.2%,3.1%,0.8%,77,,"['Tube', 'jar']",,,,,,,"['E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,16,-9%,D,-9%,,,,,,
547,Sticks & bretzels - dia - 300g,8480017729057,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains spéciaux', 'Pains Bretzels']",,"['France', 'Espagne']",[],[],3 g,en quantité modérée,0.3 g,en faible quantité,2.5 g,en faible quantité,3 g,en quantité élevée,?,,382,+20%,1598 kj(382 kcal),+19%,3,-56%,"0,3",-69%,"76,3",+43%,"2,5",-33%,11,+27%,3,+66%,"1,2",+66%,,,,,,,,300 g,,['Dia'],,,,,,,,14,+56%,D,+56%,,,,,,
548,Swizzles Loadsa Sweets - Swizzels - 189g,5010478847330,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,"['France', 'Royaume-Uni']",[],[],4.2 g,en quantité modérée,3.3 g,en quantité modérée,89 g,en quantité élevée,0.4 g,en quantité modérée,?,,406,+14%,1699 kj(406 kcal),+13%,"4,2",+126%,"3,3",+211%,"90,7",+9%,89,+53%,"0,2",-91%,"0,4",+231%,"0,16",+231%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,189 g,,['Swizzels'],,,,,['Iceland'],,,19,+32%,E,+32%,,,,,,
549,Saucisson sec tranché - Auchan - 120g,3596710473588,D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']","['Fabriqué en France', 'Nutriscore', 'Nutriscore E']",['France'],"['Viande de porc', 'sel', 'sirop de glucose', 'lactose ', 'lait', 'dextrose', 'épices', 'plante aromatique', 'conservateur: nitrate de potassium', 'ferments', ' \rTraces éventuelles de fruits à coque']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",31 g,en quantité élevée,13 g,en quantité élevée,0.5 g,en faible quantité,5.6 g,en quantité élevée,?,,384,-5%,1607 kj(384 kcal),-5%,31,-2%,13,+6%,"1,1",-51%,"0,5",-64%,25,-9%,"5,6",+20%,"2,24",+20%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,120 g,,['Auchan'],,,"['FR 12.300.005 CE', 'Villefranche-de-Rouergue (Aveyron, France)']",,['Auchan'],"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",4,24,0%,E,0%,,,['Lait'],,,
550,BREIZH TOASTS - Breizh toasts blé noir - 125g,3760133530368,A,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Toasts-apero']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-09']",['France'],"['Farine de blé noir* ', '39,4%', 'graines ', '32,6%', ' lin brun*', 'tournesol décortigué*', 'sésame complet*', 'pavot bleu*', 'huile d\'olive extra vierge""', 'sel', 'eau', ""* Issus de l'agriculture biologique""]",[],45 g,en quantité élevée,5.9 g,en quantité élevée,1.3 g,en faible quantité,1.7 g,en quantité élevée,?,,600,+29%,2510 kj(600 kcal),+28%,45,+126%,"5,9",+9%,33,-44%,"1,3",-67%,12,+21%,"1,7",-15%,"0,68",-15%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,125 g,['Sachet'],['Breizh toasts blé noir'],,['biscuiterie des Vénètes'],,,['Biocoop'],,3,19,+23%,E,+23%,,,,,,
551,Le coffret des petites gourmandises,3700774300845,,,['en:palm-oil-free'],['France'],[],['Sans huile de palme'],,,,,,,,,?,,583,,2439 kj(583 kcal),,40,,"6,4",,47,,45,,"6,8",,"0,11",,"0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,Bloc de foie gras de canard - Esprit Gourmet,3700766401291,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']",,['France'],[],[],49 g,en quantité élevée,21 g,en quantité élevée,1.8 g,en faible quantité,1.3 g,en quantité modérée,?,,479,-2%,2004 kj(479 kcal),-2%,49,-3%,21,-2%,"2,3",+8%,"1,8",+35%,"6,8",+11%,"1,3",+7%,"0,52",+7%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,['Esprit Gourmet'],,,,,,,,20,-2%,E,-2%,,,,,,
553,"Yaourt 0% mat.gr., aux fruits, aromatisé, avec édulcorants - Yoplait - 520g",3329770063907,,,,['France'],"['Yaourt ', 'LAIT écrémé à base de poudre de LAIT - LAIT écrémé - Poudre de LAIT écrémé - Ferments LACTIQUES ', 'LAIT', ' - Framboise 8% - Amidon transformé de maïs - Concentré des minéraux du LAIT - Epaississant : Carraghénanes - Arômes naturels - Edulcorants : Aspartame', 'Acesulfame K', ""LAIT D'ORIGINE FRANCEContient une source de phénylalanine""]","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",,,,,,,,,196,,46,,196 kj(46 kcal),,"0,1",,"0,1",,"5,6",,"5,3",,"4,6",,"0,17",,"0,068",,,,,,,,,520 g,"['Pot en plastique', 'Etui en carton']","['Yoplait', 'Panier 0%']",,,,,,"['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E951 - Aspartame', 'E950 - Acésulfame K']",4,,,,,"Yaourt 0% mat.gr., aux fruits, aromatisé, avec édulcorants",,['Lait'],,,
554,Farine toastée sarrasin,3476880506012,,,"['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']",['France'],[],[],,,,,,,,,?,,152,,636 kj(152 kcal),,"3,4",,"0,8",,"64,8",,"1,95",,"12,6",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,Escargots préparés pur beurre,3267060171027,C,"['Viandes', 'Préparations de viande', 'Escargots', 'Escargots préparés']",,['France'],[],[],29 g,en quantité élevée,21 g,en quantité élevée,1.2 g,en faible quantité,1.4 g,en quantité modérée,?,,312,-5%,1305 kj(312 kcal),-5%,29,-6%,21,+0%,"1,2",-64%,"1,2",+9%,11,+21%,"1,4",+1%,"0,56",+1%,65.7%,14.4%,4.7%,3.9%,2.4%,9.0%,66,,,,,,,,,,,19,+1%,E,+1%,,,,,,
556,Carpaccio - Vantastic Foods,4260430655676,,,"['Végétarien', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,226,,946 kj(226 kcal),,"0,9",,0,,14,,"3,8",,27,,"1,7",,"0,68",,,,,,,,,,,['Vantastic Foods'],,,,,,,,,,,,,,,,,
557,Baguette de campagne poulet rôti - Auchan - 220g,3596710472512,,"['Sandwichs', 'Sandwichs à la volaille']",,['France'],"['Pain spécial 50% ', 'farine de blé ', 'farine de ble', 'gluten de blé', 'farine de blé malté', 'agent de traitement de la farine : acide ascorbique', 'eau', 'semoule de blé dur', 'farine de seigle', 'levure', 'sel', 'huile sésame et soja', ' de colza', 'épaississant: gomme guar', 'protéines de blé Pourcentages exprimés sur le total de la recette', ' partiellement hydrolysees', 'levure désactivée', 'farine de Elaboré à partir de poulet origine France', "" malt d'orge torréfiée"", ""émulsifiant mono - et diglycerides d'acides gras"", 'antioxydant acide ascorbique', 'enzymes', 'morceaux de filet de poulet traités en salaison et rôtis 20,5% ', 'filet de poulet 17,9%', 'eau', 'fécule de manioc', 'dextrose', 'sel', 'tomate 13', '6%', 'mayonnaise allégée en matières grasses 11', '4%', 'eau', 'huile de colza', ""vinaigre d'alcool"", ""jaune d'œuf"", 'amidon modifié de mais ou de pommes de terre', 'sucre', 'moutarde de Dijon', 'eau', 'graines de moutarde', 'vinaigre', 'sel', 'sel', 'lait écrémé reconstitué', 'acidifiant : acide citrique', 'épécissant : gomme xanthane', 'salade 6%']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",6 g,en quantité modérée,1.2 g,en faible quantité,1.8 g,en faible quantité,1.3 g,en quantité modérée,?,,219,-2%,916 kj(219 kcal),-2%,6,-28%,"1,2",-18%,30,+17%,"1,8",-45%,"9,8",-3%,"1,3",+7%,"0,52",+7%,,,,,,,,220g,['Plastique'],['Auchan'],,,,,['Auchan'],"['E300 - Acide ascorbique', 'E412 - Gomme de guar', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E415 - Gomme xanthane']",4,3,+9%,C,+9%,,,"['Œufs', 'Gluten', 'Moutarde', 'Soja']",,,
558,Day Time - Lagunitas - 355ml,0723830770010,C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières américaines', 'Bières blondes']","['Déconseillé aux femmes enceintes', 'Conduite interdite']","['France', 'La Réunion']","[""CONTIENT\xa0: MALT D'ORGE"", 'MALT DE BLÉ', 'AVOINE']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,355ml,"['Bouteille', 'Verre', 'Capsule', 'métal', 'Capsule en métal']","['Lagunitas', 'The Langunitas Brewing Company']",,"['États-Unis', 'Californie', 'Petaluma']",,https://lagunitas.com/beer/daytime,['Carrefour Market'],,3,,,,,Bière IPA américaine,,"['Gluten', 'Avoine']",,,
