,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,markets,quantity,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,labels,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,ingredients_origins,origin_detail,manufacturing,additives,nova_score,allergens,generic_name,producer_info,traceability_code,link,palm_ingredients
10,Main\'or,6511214641117,"[""Main\\'or""]",['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Arenas,9088808499111,['Arenas'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,comté au lait cru - marque repère,356470659843001,['marque repère'],['France'],[],[],?,?,?,?,?,['Leclerc'],,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,,,,,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Confit de figue - Jean là raidir - 150g,113010142534,['Jean là raidir'],['France'],[],[],?,?,?,?,?,,150g,,,,,,,,,,,,,,,['Verre'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Sencha kagoshima bio - Sunday natural,1684711161480,['Sunday natural'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Chicorée-café - Carrefour Discount,560070330515,['Carrefour Discount'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Saint Louis,220034041009,['Saint Louis'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Sauce soja - Tanoshi,229820792262,['Tanoshi'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Pavé crf bio 500g - Carrefour,6104611214611,"['Carrefour', 'Carrefour Bio']",['France'],[],[],?,?,?,?,?,['Carrefour'],,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Huile de coco - Léa Nature,456300011623,['Léa Nature'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Crème dessert biologique au chocolat - Tante Hélène,3173220135702,['Tante Hélène'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Sérum visage - Typology - 15ml,3665467004304,['Typology'],['France'],[],[],?,?,?,?,?,,15ml,['Serum'],,,,,,,,,,,,,,['Verre'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Mouliné aux légumes d\'autrefois - Carrefour,560071082758,['Carrefour'],['France'],[],[],?,?,?,?,?,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Asperges blanches moyennes - Marque repère Notre jardin,356470077590505,['Marque repère Notre jardin'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Rosé - Coteaux d\'aix en Provence,2151704774211,"[""Coteaux d\\'aix en Provence""]",['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,petits pains grillés au froment - Carrefour bio,35600712358,['Carrefour bio'],['France'],[],[],?,?,?,?,?,['Carrefour'],,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,crème au chocolat - Laiterie du col Bayard,3368249611171,['Laiterie du col Bayard'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,THÉ VERT - DESTINATION,700110012074,['DESTINATION'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,classique - senseo,3228470006,['Senseo'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,mimolette 1/2 vieille bio - isigny ste mère,254550031909,['isigny ste mère'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,mimolette - isigny sainte mère,325455003,['isigny sainte mère'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PACHERENC - CARTE D\'OR,3270250306,"[""CARTE D\\'OR""]",['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,BAISER ROSE - DOMAINE BELLE DAME,37601256500,['DOMAINE BELLE DAME'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,SOURCE MONCLAR - CARREFOUR,3245414228,['CARREFOUR'],['France'],[],[],?,?,?,?,?,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PURE CANNE - LA PERRUCHE,3174660032,['LA PERRUCHE'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,FIBRES - WASA,7300400481,['WASA'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,GALETTES RIZ SESAME - BJORG,3229820167,['BJORG'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,THE BLEU VERT A LA VIOLETTE - LA MARCHANDE DE VIOLETTES,3760148532173,['LA MARCHANDE DE VIOLETTES'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,POIVRE GRIS MOULU - DUCROS,3166296211,['DUCROS'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Boudins blancs ananas - 13,3345100011936,,['France'],[],[],?,?,?,?,?,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Tradilége - repére,366111205469406,['repére'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Ricoré - Nestlé,4813242851295,['Nestlé'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Spiruline bio,3770015453012,,['France'],[],[],?,?,?,?,?,,,"['Compléments alimentaires', 'Spiruline']",,,,,,E,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,sojade,327322018,['Sojade'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,les Tines - Saint Amour,3760044757014,['Saint Amour'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Framboise - Confit de Provence,3480412202211,['Confit de Provence'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,12 mois - Comté,0110643143030,['Comté'],['France'],[],[],?,?,?,?,?,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,,,,,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,pinot gris Marckrain 2018 - Alsace Grand Cru Camille Meyer,3225820068062,['Alsace Grand Cru Camille Meyer'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,thé vert ceylan - biosens et saveurs,3558421312440,['biosens et saveurs'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,thé vert ceylan - biosens & saveur,35584213112440,['biosens & saveur'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Bagel poulet au curry & miel,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Onctueux intensément fraise - Andros,36085808791,['Andros'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Pasta aromi,0020244811101,['Pasta aromi'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Figues moelleuses - Carrefour bio,1111080714417,['Carrefour bio'],['France'],[],[],?,?,?,?,?,['Carrefour'],,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,EKORIGIN - CEREAL FOOD,805274569,['CEREAL FOOD'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Décaféinié moulu 2x250g - Carte Noire,000070200098,['Carte Noire'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,couscous  aux épices - grain de frais,580281040102,['grain de frais'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Flute tomate romarin saveur meditérranéenne,3770013667541,,['France'],[],[],?,527.55,"33,19","47,12","8,11",,,,,,,,,,,,,,,,,,,2207 kj(527 kcal),"1,56","1,09","2,06","0,824",,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Abricots bio - Les Comtes de Provence,332449999,['Les Comtes de Provence'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,boisson soja saveur chocolat - biovillage,356470710559003,['Biovillage'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Pralinette chouchou vrac - Biocoop,0230039009976,['Biocoop'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Maquereau moutarde douce bio - Saupiquet,165950221053,['Saupiquet'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Régamiel - Bisson,3160005041068,['Bisson'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Framboise - Confit de Provence,8471200004013,['Confit de Provence'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Oranger (fleurs) - Ouma,3760280270544,['Ouma'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Arabica moulu Equateur - Ethiquable,376009720016,['Ethiquable'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Coquillettes - Panzani,3180312453842,['Panzani'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Oeufs vrac plein air calibre gros Ovalis,3760150110499,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Moutarde - Amoura,8712101315953,['Amoura'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Premium Fish Sauce - AROY-D,01622992443,['AROY-D'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,GNOCCHI - TURINI,356470064873504,['TURINI'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,ROCHER - FERRERO,000500167113,['FERRERO'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,CHAIR DE TOMATE - AUCHAN BIO,359671030892,['AUCHAN BIO'],['France'],[],[],?,?,?,?,?,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Tomates et dérivés', 'Tomates', 'Tomates en conserve', 'Tomates pelées', 'Chair de tomates']",,,,,,B,67.0%,0.0%,0.0%,15.7%,13.1%,4.3%,97,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,SAUCE AIGRE DOUCE - RUSTICA,356470043837404,['RUSTICA'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Le bon paris - Herta,7613038851693,['Herta'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Duo de sésame pamplemousse - gerble,3175681248,['Gerble'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Cake au rapadura - Marlette,5011182000011,['Marlette'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Château de ripailles,3579750000013,['Château de ripailles'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Pur jus citron - Jardin bio,3416300002502,['Jardin bio'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Cassoulet Toulousain - Raynal et Roquelaure,30216901012,['Raynal et Roquelaure'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,LAIT DEBRETAGNE - LES ELEVEURS DE BRETAGNE,34966080001360,['LES ELEVEURS DE BRETAGNE'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,BEURRE DOUX - ELLE ET VIRE,451909351,['ELLE ET VIRE'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,beurre doux - ELLE ET VIRE,4517909351,['ELLE ET VIRE'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,amandes décortiquées - carrefour,560070769131,['Carrefour'],['France'],[],[],?,?,?,?,?,['Carrefour'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Amandes', 'Amandes décortiquées']",,,,,,E,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,La perle - 5L,3582571402409,['La Perle'],['France'],[],[],3700,900,100,0,0,,5L,['Huile olive'],,,,,,,,,,,,,,['Bidon'],,3700 kj(900 kcal),15,0,0,0,100 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,20,E,,,,,,,,,,,,,,,,,,
85,Cornichon - Hugo Reitzel - 4100gr,3701037406014,['Hugo Reitzel'],['France'],[],[],61,15,"0,4","0,6","1,2",,4100gr,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",-27%,-44%,+35%,-83%,+19%,,,,,,,,,['boite 5/1'],,61 kj(15 kcal),"0,1","0,5","2,1","0,84",0.4 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,2.1 g,en quantité élevée,3,C,-43%,+46%,-81%,+22%,+22%,+38%,+38%,,,,,,,,,,,
86,eau gazeuse - san pellegrino,0800270015328,['san pellegrino'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Coriandre entière - Espig - 250g,3102870004434,['Espig'],['France'],[],[],?,?,?,?,?,,250g,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Boissons chaudes', 'Boissons à base de végétaux', 'Epices', 'Infusions', 'Produits de coriandre', 'Graines de coriandre']",,,,,,D,42.7%,0.0%,35.4%,15.3%,6.5%,0.0%,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Yaourt à la grecque - Biocoop,760121215109,['Biocoop'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Jockey - Danone,30334905066,['Danone'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Matin léger Bio - Lactel,342827211,['Lactel'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,La ferme de vaulerand,333851007,['La ferme de vaulerand'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,picccolini - barilla,807680952,['Barilla'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,jambon serrano - gourmet,335003322,['Gourmet'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Praires farcies de Normandie - Promaree surgel,332900007271,['Promaree surgel'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,le suedois bio - la vie claire,376019878101,['la vie claire'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,cotes du rhone - dauvergne ranvier,3700689907801,['dauvergne ranvier'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,des petits producyeurs - malongo,318757007,['Malongo'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Honduras - Grain de sail,37602262605,['Grain de sail'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Confit de Canard - Volex la Tradition du Foie gras - 3825gr,3800224142015,['Volex la Tradition du Foie gras'],['France'],[],[],1482,357.6,30,"0,6","21,6",,3825gr,,,,,,,,,,,,,,,['boite 5/1'],,1482 kj(357 kcal),"10,1","0,5","0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Confit de Canard - Volex la Tradition du Foie gras - 3825gr,3800224142015,['Volex la Tradition du Foie gras'],['France'],[],[],1482,357.6,30,"0,6","21,6",,3825gr,,,,,,,,,,,,,,,['boite 5/1'],,1482 kj(357 kcal),"10,1","0,5","0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Poivrons rouge - Taboada - 2500gr,8410214530026,['Taboada'],['France'],[],[],141,33.4,"0,4","5,74","1,1",,2500gr,,,,,,,,,,,,,,,['Boite'],,141 kj(33 kcal),"0,04","4,39","1,71","0,684",,,,,,,,,,,,,,,,,,['Espagne'],,,,,,,,,,
102,Saucisse fraiche nature portion - Maison Montalet,2911014000000,['Maison Montalet'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,['Paquet'],,,,,,,,,,,,,,,,,,,,,,,,['France'],,,,,,,,,,
103,"Bleu d Auvergne - Volcan - 1,3kg",2343334013192,['Volcan'],['France'],[],[],1418,342,28,"1,5",21,,"1,3kg",,,,,,,,,,,,,,,,,1418 kj(342 kcal),20,"0,5","2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,"Jambon cuit superieur - André Bazin - 7,55Kg",2978103075509,['André Bazin'],['France'],[],[],505,120,4,1,20,,"7,55Kg",,,,,,,,,,,,,,,['Sous-vide'],,505 kj(120 kcal),"1,6","0,5",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Gâteau de riz - Nestle la laitière,8102661792378,['Nestle la laitière'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Pistole de chocolat Ariaga Noir 59% - Valrhona - 5kg,3395328164822,['Valrhona'],['France'],[],[],2316,557,37,45,"6,7",,5kg,,,,,,,,,,,,,,,['Carton'],,2316 kj(557 kcal),23,41,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Dufoux,760304870217,['Dufoux'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Chassagne Montrachet 2018,3443350039691,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Estivele - ondine,3410280078,['Ondine'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
