,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,link,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,manufacturing,ingredients_origins,brand_owner,traceability_code,palm_ingredients,origin_detail,producer_info
838,Sublimo - Carrefour Capsules - 52g(10capsules),3560071012090,,Capsules de café moulu aromatisé noisette.,52 g(10 capsules),,"['Carrefour Capsules', 'Carrefour']","['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes']",,,['Carrefour'],['France'],"['Café moulu Arabica 99,3%', 'arôme']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,,,,,,,,"['EMB 59368F', 'Madeleine (Nord, France)']",,,Torréfié et conditionné par EMB59368F pour Interdis.
839,Instant apéro - Mini Toasts froment - Carrefour - 75g e,3560071013547,B,Mini toasts au froment,75 g e,"['boîte', 'Carton', 'Sachet', 'Plastique']",['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'en:zwieback', 'Biscottes-au-froment']","['Labels de distributeurs', 'Qualité Carrefour', 'Point Vert']",,['Carrefour'],['France'],"['Farine de blé ', 'froment', ' 82%', 'sirop de glucose-fructose', 'levure', 'sel', 'graisse de palme', ""émulsifiants : lécithines de tournesol - esters monoacétyltartriques et diacétyltartriques des mono - et diglycérides d'acides gras"", 'sucre', 'poudre à lever : carbonates de sodium', 'farine de blé malté', 'agent de traitement de la farine : acide ascorbique']","['E322i - Lécithine', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E500 - Carbonates de sodium', 'E300 - Acide ascorbique']","['Huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,3.5 g,en quantité modérée,1.2 g,en faible quantité,10 g,en quantité modérée,1.8 g,en quantité élevée,1666,+2%,394,+1%,1666 kj(394 kcal),+2%,"3,5",-34%,"1,2",+24%,77,+6%,10,+48%,12,+11%,"1,8",+32%,"0,72",+32%,11,+61%,D,+61%,48.2%,30.5%,12.1%,8.1%,1.1%,0.0%,95,['Gluten'],['Pays-Bas'],,,,['Huile de palme'],,
840,Crème légère Fluide - Carrefour - 40cl,3560071028374,B,Crème légère fluide à 12% de matière grasse.,40 cl,"['Frais', 'Bouteille']",['Carrefour'],"['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Spécialité à base de crème légère fluide à 8% de matières grasses', 'Crèmes légères', 'Crèmes liquides', 'Crèmes légères fluides']","['Lait Français', 'Fabriqué en France', 'Nutriscore', 'Nutriscore D', 'Lait-francais-french-milk']",,['Carrefour'],['France'],"['Crème légère stérilisée 98,7%', ""émulsifiant : esters lactiques des mono - et diglycérides d'acides gras"", 'épaississants : gomme xanthane et carraghénanes']","[""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", 'E415 - Gomme xanthane', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","[""Pourrait contenir de l'huile de palme""]",4,14 g,en quantité modérée,9.4 g,en quantité élevée,4.2 g,en faible quantité,0.14 g,en faible quantité,620,-5%,150,-7%,620 kj(150 kcal),-7%,14,-1%,"9,4",+0%,"4,2",-23%,"4,2",+8%,"2,9",+5%,"0,14",+30%,"0,056",+30%,9,-9%,C,-9%,68.4%,19.8%,4.5%,4.1%,2.5%,0.7%,70,,['France'],['France'],,"['FR 89.263.001 CE', 'Monéteau (Yonne, France)']",,Cette crème est fabriquée en France à partir de lait origine France.,Fabriqué en France par EMB 89263 pour Interdis.
841,Legume&fruit - Carrefour - 50cl,3560071091224,,,50 cl,['Bouteille'],['Carrefour'],"['Boissons', 'Boissons sans alcool']",,,['Carrefour'],['France'],"['Jus dananas ', '57%', 'purée de carotte ', '20%', 'purée de barare ', '12%', ' ,pure de mangue ', '10%', 'purée de gingembre ', '1%']",,[],,0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,0.03 g,en faible quantité,?,,52,+37%,218 kj(52 kcal),+31%,0,-100%,0,-100%,12,+39%,12,+63%,"0,6",+163%,"0,03",+44%,"0,012",+44%,16,+128%,E,+128%,,,,,,,,,,,,,,,
842,Croquant de Cordes - FEFLETS DE FRANCE - 90g e,3560071092986,C,,90 g e,"['Carton', 'Plastique']",['FEFLETS DE FRANCE'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Croquants aux amandes']","['Point Vert', 'Fabriqué en France']",,['Carrefour'],['France'],"['Sucre', 'amandes 23 %', 'farine de blé', ""blancs d'œufs""]",,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,13 g,en quantité modérée,1.1 g,en faible quantité,60 g,en quantité élevée,0.07 g,en faible quantité,?,,450,-1%,1883 kj(450 kcal),-1%,13,-27%,"1,1",-78%,71,+16%,60,+64%,"9,8",+16%,"0,07",-76%,"0,028",-76%,13,-23%,D,-23%,89.3%,5.9%,1.9%,1.8%,1.1%,0.0%,35,"['Œufs', 'Gluten', 'Fruits à coque']",['France'],"['France', 'Hors France']",,,,,
843,Bolognaise + de viande - Carrefour - 420g,3560071111830,,,420 g,,['Carrefour'],,,,['Carrefour'],['France'],"['purée de tomate à base de concentré 48%', 'viande bovine précuite 17,5% ', 'équivaut à 25% de viande crue', 'pulpe de tomate 15% ', 'tomate pelée 9%', 'jus de tomate 6%', 'acidifiant : acide citrique', 'oignon', 'carottes', 'huile de colza', 'sucre', 'amidon modifié de pomme de terre', 'sel', 'céleri', 'acidifiant : acide lactique', 'persil', 'arôme naturel de bœuf ail', 'poivre', ' Peut contenir des traces de lait et de moutardei Conservation : Avant ouverture,']","['E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E270 - Acide lactique']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,91,,381 kj(91 kcal),,"4,8",,"1,6",,"6,8",,"4,3",,"4,5",,"1,3",,"0,52",,,,,,,,,,,,,['Céleri'],,,,"['EMB 84029A', 'Camaret-sur-Aigues (Vaucluse, France)']",,,
844,Fromage blanc de campagne - CARREFOUR - 1kg,3560071153144,,,1 kg,['Pot'],['CARREFOUR'],,['Fabriqué en France'],,['Carrefour'],['France'],"['Fromage frais au lait entier pasteurisé 7% de matière grasse', "" Contient plus de 82% d'humidité"", ' Origine : Ce fromage frais est fabriqué en France à partir de lait origine France', ' Conservation :']",,[],,,,,,,,,,?,,94,,393 kj(94 kcal),,7,,"4,4",,"3,3",,"3,3",,"4,5",,"0,15",,"0,06",,,,,,,,,,,,,,,['France'],,"['EMB 50579', 'Sottevast (Manche, France)', 'FR 50.579.001 CE', 'Sottevast (Manche, France)']",,,
845,Vinaigre d'orleans,3560071160876,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,"['EMB 45147', 'Fleury-les-Aubrais (Loiret, France)']",,,
846,The vert infuse saveur citron & menthe - Carrefour - 1l,3560071170820,,"Boisson rafraîchissante à l'infusion de thé vert et de menthe, au jus de citron à base de concentré, aromatisée menthe.",1 l,,['Carrefour'],"['Boissons', 'Tisanes infusées']",,,['Carrefour'],['France'],"['Eau', 'infusion de thé vert et de menthe 40% ', 'eau', 'thé vert 0,28%', 'menthe 0,12%', 'sucre', 'jus de citron à base de concentré 0,9%', 'acidifiants: acide citrique et acide malique', 'arôme naturel de menthe avec autres arômes naturels', 'arôme naturel', ""correcteur d'acidité : citrates de sodium"", 'arôme naturel de menthe', 'antioxydant: acide ascorbique']","['E330 - Acide citrique', 'E296 - Acide malique', 'E331 - Citrates de sodium', 'E300 - Acide ascorbique']",[],4,0 g,en faible quantité,0 g,en faible quantité,4.5 g,en quantité modérée,0.02 g,en faible quantité,77,,18,+350%,77 kj(18 kcal),+381%,0,-100%,0,-100%,"4,5",+474%,"4,5",+576%,0,-100%,"0,02",+1261%,"0,008",+1261%,6,+209%,D,+209%,,,,,,,,,['France'],,,"['EMB 67434', 'Sarre-Union (Bas-Rhin, France)']",,"Cette boisson est fabriquée en France à partir de sucre issu de l'Union Européenne, de thé cultivé en Asie, de menthe et de citron issus de diverses origines.",Fabriqué par EMB 67434 pour Interdis
847,Ciao le Sel Doux - Aromandise - 70g,3560468797074,,Substitut de sel,70 g,['Carton'],['Aromandise'],"['Epicerie', 'Condiments', 'Assaisonnements', 'Substituts de sel']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10']",,"['Satoriz', 'Biocoop']",['France'],"['Persil', 'carotte', 'morceaux de panais', 'graine de citrouille', 'tomate', ""morceaux d'oignon"", 'paprika doux', 'betterave', 'livèche', 'curcuma', 'ail des ours', 'ail']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,3.59 g,en quantité modérée,0.65 g,en faible quantité,31.4 g,en quantité élevée,0.3 g,en quantité modérée,?,,320,+57%,1339 kj(320 kcal),+48%,"3,59",-61%,"0,65",-49%,"45,12",+113%,"31,43",+235%,"14,15",+238%,"0,3",-97%,"0,12",-97%,11,-1%,D,-1%,,,,,,,,,"['Montpellier', 'France']",,,,,,
848,Sirop de menthe - Frucci - 150cl,3564700003268,A,Sirop de menthe,150 cl,['bouteille verre'],"['Frucci', 'Marque Repère']","['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de menthe', 'Boissons avec sucre ajouté']",,,['Leclerc'],['France'],"['Sucre ', ' eau ', ' arôme naturel de menthe ', ' colorants : caramel ordinaire', 'E133']","['E150a - Caramel E150a', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,,,,,,,,,1207,+11%,?,,1207 kj(288 kcal),+17%,"0,5",+355%,"0,1",+237%,71,+15%,71,+20%,"0,5",+339%,0,-100%,0,-100%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,['France'],,,,,
849,Gaufrettes enrobées chocolat - P'tit Déli - 150g,3564700024560,D,Gaufrettes fourrage parfum chocolat enrobées de chocolat fin,150 g,"['Boite', 'Carton', 'Plastique']","[""P'tit Déli"", 'Marque Repère']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Gaufrettes', 'Gaufrettes fourrées', 'Gaufrettes fourrées au chocolat']",,,['Leclerc'],['France'],"['Chocolat 38% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'lait en poudre écrémé', 'matière grasse laitière', 'émulsifiant : lécithines ', 'soja', 'arôme naturel de vanille', ' ', ' farine de blé ', ' graisse végétale totalement hydrogénée de coprah ', ' sucre ', ' cacao maigre en poudre 7% ', ' lait en poudre écrémé ', ' dextrose ', ' farine de lupin ', "" jaunes d'oeufs en poudre "", ' sel ', ' huile de tournesol ', ' poudres à lever : E500', 'E504 ', ' émulsifiant : lécithines de colza ', 'dont blé', 'Traces de fruits à coque']","['E322i - Lécithine', 'E500 - Carbonates de sodium', 'E504 - Carbonates de magnésium']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,31 g,en quantité élevée,25 g,en quantité élevée,37 g,en quantité élevée,0.2 g,en faible quantité,2232,+3%,?,,2232 kj(533 kcal),+3%,31,+13%,25,+43%,54,-10%,37,+5%,"7,4",+21%,"0,2",-25%,"0,08",-25%,19,-16%,E,-16%,82.4%,11.3%,2.3%,2.5%,1.4%,0.0%,41,"['Œufs', 'Gluten', 'Lupin', 'Lait', 'Soja']",,,,,,,
850,Asperges vertes miniatures bocal - Notre Jardin - 100g,3564700050354,B,,100 g,"['Bocal', 'Verre', 'Bocal']","['Notre Jardin', 'Marque Repère']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Légumes tiges', 'Asperges', 'Aliments à base de plantes frais', 'Légumes frais', 'Asperges vertes', 'Asperges miniatures']",['Point Vert'],,['Leclerc'],['France'],"['Asperges vertes', 'eau', 'sel', 'acidifiant : acide citrique']",['E330 - Acide citrique'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.5 g,en faible quantité,0.1 g,en faible quantité,0.8 g,en faible quantité,0.7 g,en quantité modérée,57,-30%,?,,57 kj(14 kcal),-37%,"0,5",+83%,"0,1",+52%,"1,7",-9%,"0,8",-13%,"1,3",-35%,"0,7",+7%,"0,28",+7%,-2,,A,,87.5%,0.0%,0.0%,5.2%,5.7%,1.5%,80,,,['Pérou'],,"['EMB 94041N', 'Ivry-sur-Seine (Val-de-Marne, France)']",,,
851,Epinards en branches à la crème - Notre Jardin - 1kg,3564700152454,B,,1 kg,,"['Notre Jardin', 'Marque Repère']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés', 'Légumes-feuilles', 'Épinards', 'Épinards surgelés']",,,['Leclerc'],['France'],"['Epinards en branches 70 %', 'eau', 'CREME fraîche 7,5 %', 'amidon modifié de riz', 'sel', 'amidon de riz', 'amidon de manioc', 'poudre de LAIT écrémé', 'extrait de muscade', 'épaississant : gomme xanthane', 'arôme naturel', 'extraits de poivre']","['E14XX - Amidons modifiés', 'E415 - Gomme xanthane']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,2.6 g,en faible quantité,1.5 g,en quantité modérée,0.5 g,en faible quantité,0.8 g,en quantité modérée,172,+39%,?,,172 kj(41 kcal),+10%,"2,6",+77%,"1,5",+129%,"1,8",-10%,"0,5",-29%,"1,8",-34%,"0,8",+142%,"0,32",+142%,0,,B,,45.1%,0.0%,0.0%,22.1%,31.7%,1.1%,99,['Lait'],,,,,,,
852,Crêpes demi-lunes champignons - x 6 - Côté Table - 300g,3564700157909,,,300 g,,"['Côté Table', 'Marque Repère']",,,,['Leclerc'],['France'],"['Eau', 'farine de blé', 'champignons de Paris 17 %', 'lait écrémé en poudre', 'œufs frais 3,9 %', 'crème fraîche', 'sel', 'huile de tournesol', 'poivre blanc', 'Traces de fruits à coque et soja']",,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,,474,,?,,474 kj(113 kcal),,2,,"0,8",,18,,"3,2",,5,,"0,7",,"0,28",,,,,,,,,,,,,"['Œufs', 'Gluten', 'Lait']",,,,"['FR 17.300.105 CE', 'Rochelle (Charente-Maritime, France)']",,,
853,Carottes en rondelles - Notre Jardin - 1kg,3564700280331,B,Carottes en rondelles,1 kg,"['Surgelé', 'Sachet plastique à jeter', 'Sachet à ouverture facile']","['Notre Jardin', 'Marque Repère', 'Scamark (Filiale E. Leclerc)']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés', 'Carottes', 'Carottes surgelées', 'Carottes en rondelles surgelées']","['Nutriscore', 'Point Vert', 'Nutriscore A', 'Eco-Emballages']","http://www.e-leclerc.com/catalogue/marques-distributeurs/marque-repere/alimentaire/frais/surgeles-sales/carottes-en-rondelles---1-kg,1367",['Leclerc'],['France'],['Carottes en rondelles [facultatif]'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.5 g,en faible quantité,0.1 g,en faible quantité,4.6 g,en faible quantité,0.1 g,en faible quantité,114,-7%,?,,114 kj(27 kcal),-12%,"0,5",+47%,"0,1",+46%,"4,9",-4%,"4,6",+1%,"0,6",-9%,"0,1",-7%,"0,04",-7%,-6,,A,,36.5%,2.4%,17.8%,14.7%,21.0%,7.6%,96,,,,,,,,
854,Pur jus d'ananas Costa Rica - Jafaden - 1l,3564700292440,C,,1 l,"['Brique', 'Carton']","['Jafaden', 'Marque Repère']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'ananas"", 'Jus de fruits pur jus', ""Jus d'ananas pur jus""]",,,['Leclerc'],['France'],"[""Jus d'ananas"", 'vitamine C']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.5 g,en faible quantité,0.1 g,en faible quantité,12 g,en quantité élevée,0 g,en faible quantité,204,-3%,?,,204 kj(49 kcal),-1%,"0,5",+144%,"0,1",+223%,12,+3%,12,+5%,"0,5",+45%,0,-100%,0,-100%,5,-4%,C,-4%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,['Costa Rica'],,,,,
855,Sauce mexicaine medium - Tables du Monde - 315g,3564700299067,A,Sauce épicée à base de tomates et morceaux de poivrons,315 g,"['Verre', 'Bocal']","['Tables du Monde', 'Marque Repère']","['Epicerie', 'Sauces', 'Sauces tomate', 'Sauces tomates pimentées', 'Sauces mexicaines', 'Sauces salsas']",['Point Vert'],,['Leclerc'],['France'],"['Tomates 32 %', 'eau', 'oignons 11 %', 'poivrons verts 11 %', 'sucre', 'concentré de tomates 3,5 %', ""vinaigre d'alcool"", 'amidon modifié de riz', 'sel', 'arôme', 'épices et plantes aromatiques ', 'dont moutarde']",['E14XX - Amidons modifiés'],"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0.5 g,en faible quantité,0.1 g,en faible quantité,6.5 g,en quantité modérée,1.8 g,en quantité élevée,183,-9%,?,,183 kj(44 kcal),-27%,"0,5",-74%,"0,1",-62%,"9,5",+32%,"6,5",+20%,"0,8",-44%,"1,8",+49%,"0,72",+49%,5,+100%,C,+100%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,['Moutarde'],,,,,,,
856,Bac crème glacée fraise - Eskiss - 500g,3564700327678,B,"Crème glacée a la fraise 90 %, préparation de morceaux de fraise 10 %. - Crème Glacée Fraise avec Morceaux de Fraise",500 g,"['Film', 'Bac', 'Plastique', 'Surgelé']","['Eskiss', 'Marque Repère']","['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces à la fraise']",['Point Vert'],"http://www.e-leclerc.com/catalogue/marques-distributeurs/marque-repere/alimentaire/frais/surgeles-sucres/bac-creme-glacee-fraise-500g,107794",['Leclerc'],['France'],"['Eau ', ' lait écrémé reconstitué ', ' purée de fraise 13', '5 % * ', ' sirop de glucose-fructose ', ' crème ', ' sucre ', ' morceaux de fraise 6', '5 % ', ' lactose et protéines de lait ', ' émulsifiant : E471 ', ' gélifiants : farine de graines de caroube', 'gomme guar', 'carraghénanes', 'gomme xanthane ', ' arôme naturel ', ' colorant : rouge de betterave ', "" correcteur d'acidité : acide citrique "", ' purée reconstituée de fraise 0', '1 % ', ' amidon modifié de maïs ', ' jus concentré de fruits rouges', 'Traces de gluten', 'œufs', 'arachides', 'soja et fruits à coque', '* 15 % de purée de fraise dans la crème glacée à la fraise aromatisée']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E162 - Rouge de betterave', 'E330 - Acide citrique', 'E14XX - Amidons modifiés']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,5.2 g,en quantité modérée,3.4 g,en quantité modérée,25 g,en quantité élevée,0.1 g,en faible quantité,682,,?,,682 kj(163 kcal),-10%,"5,2",-18%,"3,4",-26%,27,-4%,25,+3%,"1,8",-11%,"0,1",-7%,"0,04",-7%,9,-13%,C,-13%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,['Lait'],,,,,,,
857,Crêpes 1/2 lune jambon/emmental x 20 - Côté Table - 1kg,3564700349830,B,,1 kg,,"['Côté Table', 'Marque Repère']","['Plats préparés', 'Crêpes au fromage', 'Crêpes au jambon']",,,['Leclerc'],['France'],"['Eau ', ' farine de blé ', ' jambon cuit supérieur 8,8 % ', 'jambon de porc ', 'origine : France', 'sel', 'sirop de glucose', 'dextrose', 'antioxydant : E301', 'conservateur : E250', ' ', ' lait écrémé en poudre ', ' œufs frais 3,9 % ', ' emmental 2,2 % ', ' sel ', ' huile de tournesol ', ' poivre blanc ', ' muscade', 'Traces de fruits à coque et soja']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,2.1 g,en faible quantité,0.8 g,en faible quantité,3.4 g,en faible quantité,0.8 g,en quantité modérée,515,-22%,?,,515 kj(123 kcal),-27%,"2,1",-69%,"0,8",-67%,18,0%,"3,4",+5%,"7,3",-2%,"0,8",-17%,"0,32",-17%,0,-100%,B,-100%,57.1%,15.7%,5.5%,6.6%,3.2%,11.9%,79,"['Œufs', 'Gluten', 'Lait']",,,,"['FR 17.300.105 CE', 'Rochelle (Charente-Maritime, France)']",,,
858,Tagliatelles fraîches - Turini - 350g,3564700371770,,Pâtes fraîches,350 g,['Barquette'],"['Turini', 'Marque Repère']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles', 'Pâtes alimentaires', 'Pâtes fraîches', 'Nouilles aux oeufs', 'Tagliatelles aux œufs', 'Tagliatelles', 'Tagliatelles fraîches']",,,['Leclerc'],['France'],"['Semoule de blé dur de qualité supérieure 73,9 %', 'eau', 'oeufs frais 10,4 % ', ""soit 140 g d'oeufs frais par kg de semoule"", 'sel']",,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,1.9 g,en faible quantité,0.5 g,en faible quantité,2 g,en faible quantité,0.8 g,en quantité modérée,1198,+3%,?,,1198 kj(286 kcal),+4%,"1,9",-12%,"0,5",-12%,54,+3%,2,+30%,11,+9%,"0,8",+520%,"0,32",+520%,-1,,A,,,,,,,,,['Œufs'],,,,,,,
859,"Fromage frais framboise 5,5%mg - Délisse - 500g",3564700424506,C,,500 g,"['Pot', 'Couvercle', 'Plastique', 'Frais']","['Délisse', 'Marque Repère']","['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Quark', 'Fromages blancs', 'Fromages à la crème']","['Point Vert', 'Nutriscore', 'Nutriscore C', 'Nutriscore E']",,['Leclerc'],"['France', 'Espagne']","['Fromage frais 80 % ', 'lait entier pasteurisé* 72 %', 'crème pasteurisée*', 'ferments lactiques', ' ', ' sucre 9,4 % ', ' framboise 5,4 % ', ' purée de framboise concentrée 2,6 % ', ' sirop de glucose-fructose ', ' amidon modifié de maïs ', ' concentré de carotte', ""d'aronia et de raisin "", "" correcteur d'acidité : E331 "", ' épaississants : carraghénanes', 'gomme xanthane ', ' arôme ', ' conservateur : E202', ' Pourcentages exprimés sur le produit total', '*origine : France']","['E14XX - Amidons modifiés', 'E331 - Citrates de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Non végétalien'],4,5.3 g,en quantité modérée,3.5 g,en quantité modérée,14 g,en quantité élevée,0.1 g,en faible quantité,515,+24%,?,,515 kj(123 kcal),+19%,"5,3",+68%,"3,5",+78%,14,+23%,14,+35%,"4,5",-31%,"0,1",-14%,"0,04",-14%,5,+363%,C,+363%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,['Lait'],,,,"['FR 14.366.001 CE', 'Lisieux (Calvados, France)']",,,
860,Eau de source de montagne - Laqueuille - 33cl,3564700427057,,,33 cl,"['Bouteille', 'Plastique']",['Laqueuille'],"['Boissons', 'Eaux', 'Eaux de sources', 'Eaux minérales', 'Produits de montagne', 'Eaux de montagne']",,,,['France'],['Eau de source'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,0.00147 g,en faible quantité,?,,?,,,,?,,,,?,,,,?,,"0,001",-78%,"0,001",-78%,0,,A,,,,,,,,,,,,,,,,
861,Fromage frais nature mini portions 25% Mat. Gr. - Les Croisés - 9x 20g,3564700438282,B,,9 x 20 g,"['Frais', 'Plastique']","['Les Croisés', 'Marque Repère']","['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages à tartiner']","['Point Vert', 'en:lait-francais-french-milk']",,['Leclerc'],['France'],"['Babeurre pasteurisé ', 'lait', 'crème pasteurisée', 'lait écrémé pasteurisé', 'sel', 'babeurre déshydraté ', 'lait', 'protéines laitières', 'ferments lactiques', 'Traces de fruits à coque', ""Fabriqué à partir de lait et de crème d'origine France""]",,['Non végétalien'],4,22 g,en quantité élevée,15 g,en quantité élevée,3 g,en faible quantité,0.9 g,en quantité modérée,967,-9%,?,,967 kj(231 kcal),-1%,22,+5%,15,+6%,3,-11%,3,+1%,6,-28%,"0,9",-23%,"0,36",-23%,12,0%,D,0%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Lait'],['France'],['France'],,"['FR 22.049.001 CE', ""Créhen (Côtes-d'Armor, France)""]",,,
862,Poireaux en rondelles - Notre Jardin - 1kg,3564700441442,B,,1 kg,"['Sachet', 'Plastique', 'Surgelé', 'Sachet']","['Notre Jardin', 'Marque Repère']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes tiges', 'Légumes surgelés', 'Poireaux', 'Poireaux surgelés']",,,['Leclerc'],"['Canada', 'France']",['Rondelles de poireaux[facultative]'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1.4 g,en faible quantité,0.3 g,en faible quantité,2.8 g,en faible quantité,0 g,en faible quantité,154,,?,,154 kj(37 kcal),+34%,"1,4",+141%,"0,3",+200%,"3,4",+8%,"2,8",+8%,"1,4",+1%,0,-100%,0,-100%,-7,,A,,51.6%,1.8%,13.4%,11.1%,16.3%,5.7%,93,,,,,,,,
