,name,bar_code,eco_score,brand,categories,ingredients_origins,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,labels,markets,allergens,traceability_code,palm_ingredients,manufacturing,generic_name,link,brand_owner
1019,Crackers croccanti,8005476942573,,,,,['France'],[],,[],,,,,,,,,,?,,416,,1741 kj(416 kcal),,"8,9",,"0,9",,"72,5",,"2,1",,10,,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,,,,
1020,Mélange bio pour Gin - Nature et Decouvertes - 35g,61166580,,['Nature et Decouvertes'],,,['France'],"['genièvre bio 39,3 %', 'coriandre bio', ' cannelle bio', 'orange écorces bio', 'citronnelle bio', 'badiane bio', 'poivre sauvage bio']",,[],,,,,,,,,,?,,200,,837 kj(200 kcal),,7,,"0,1",,23,,3,,8,,"0,075",,"0,03",,,,,,,,,,,,,35 g,['glass bottle'],"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10']",,,,,,,,
1021,Saumon Fumé,2760254170642,E,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,['France'],[],,[],,13 g,en quantité modérée,1.9 g,en quantité modérée,0.5 g,en faible quantité,3 g,en quantité élevée,?,,210,+14%,879 kj(210 kcal),+14%,13,+24%,"1,9",-8%,"0,5",+1%,"0,5",+50%,22,-0%,3,+6%,"1,2",+6%,13,-1%,D,-1%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,,
1022,Houmous extra au basilic - Blini,3292070009114,B,['Blini'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",,['France'],[],,[],,23.6 g,en quantité élevée,10.1 g,en quantité élevée,0.5 g,en faible quantité,1.25 g,en quantité modérée,?,,292,+11%,1222 kj(292 kcal),+11%,"23,6",+17%,"10,1",+311%,"8,9",-16%,"0,5",-63%,"6,9",+6%,"1,25",+20%,"0,5",+20%,18,+261%,D,+261%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,,,,,,,,,
1023,Saucisse de Strasbourg,2274733017583,E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Strasbourg']",,['France'],[],,[],,17.9 g,en quantité modérée,7.5 g,en quantité élevée,1.4 g,en faible quantité,2.19 g,en quantité élevée,?,,231,-16%,967 kj(231 kcal),-16%,"17,9",-26%,"7,5",-19%,"2,3",+61%,"1,4",+24%,"15,1",+20%,"2,19",+13%,"0,876",+13%,18,-6%,D,-6%,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,,,,,,,,,,,
1024,Coquilles saint jacques a la bretonne,3418840015783,,,,,['France'],[],,[],,,,,,,,,,?,,113,,473 kj(113 kcal),,"6,6",,"4,1",,"8,1",,"2,3",,"4,8",,"0,79",,"0,316",,,,,,,,,,,,,,,,,,"['EMB 29250A', 'Saint-Hernin (Finistère, France)']",,,,,
1025,blé nature - 500g,3073190014697,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,500 g,['boîte'],,,,,,,,,
1026,Muffins au triple chocolat,,,,,,['France'],[],,[],,,,,,,,,,?,,429,,1795 kj(429 kcal),,22,,"4,8",,50,,25,,"5,5",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,
1027,Fines herbes,6111242802124,,,,,['France'],[],,[],,,,,,,,,,?,,397,,1661 kj(397 kcal),,"0,12",,"0,12",,"51,66",,"7,27",,"22,42",,"0,452",,"0,181",,,,,,,,,,,,,,,,,,,,,,,
1028,Houmous a la truffe blanche - Blini,3292070009053,B,['Blini'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",,['France'],[],,[],,26.5 g,en quantité élevée,2.2 g,en quantité modérée,0.8 g,en faible quantité,1.25 g,en quantité modérée,?,,313,+19%,1310 kj(313 kcal),+19%,"26,5",+31%,"2,2",-11%,"10,3",-3%,"0,8",-40%,"6,6",+2%,"1,25",+20%,"0,5",+20%,6,+20%,C,+20%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,['Point Vert'],,,,,,,,
