,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,packaging,categories,ingredients_origins,manufacturing,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,allergens,nova_score,labels,producer_info,traceability_code,additives,link,generic_name,palm_ingredients,origin_detail,brand_owner
520,Ayran - Milsani - 250g,2009010004044,['Milsani'],"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,250 g,,['Becher'],"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Ayrans et doughs', 'Ayrans']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,Fuel 10K,5060201623168,,['France'],[],[],?,370,1548 kj(370 kcal),"5,9",1,"57,4","20,7","18,6","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Poire de normandie 75cl - 75cL,3503310512494,,['France'],[],[],?,32,134 kj(32 kcal),"2,4","0,56","2,4","0,66",0,0,0,75 cL,,,['Poiré de normandie'],,,2.4 g,en faible quantité,0.56 g,en faible quantité,0.66 g,en faible quantité,0 g,en faible quantité,,,,,,,,,,,0,,B,,,,,,,,,,,,,,,,,,,,
523,Pommes de terre à la sarladaise - à la graisse de canard - Casino - 600g,3222476998088,['Casino'],['France'],"['Pommes de terre préfrites 83,8% ', 'pommes de terre - huile de tournesol - dextrose', "" - graisse de canard 8,7% - ail 3,1% - persil 1,7% - farine de riz - sel - dextrose - arôme naturel d'ail avec autres arômes naturels"", 'Tous les ingrédients ne proviennent pas du Lot et Garonne']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",843,202,843 kj(202 kcal),11,"2,8",22,"0,6","2,3","0,7","0,28",600 g,,,"['Plats préparés', 'Poêlées', 'Poêlées à la sarladaise']",,,11 g,en quantité modérée,2.8 g,en quantité modérée,0.6 g,en faible quantité,0.7 g,en quantité modérée,,-2%,-1%,-8%,-11%,+10%,-34%,-2%,+15%,+15%,3,-21%,C,-21%,,,,,,,,['Casino'],,4,,,,,,"Pommes de terre préfrites en rondelles enrobées à la graisse de canard, à l'ail, aromatisées et au persil, surgelées",,,
524,Chicken wings,20149765,,['France'],[],[],?,300,1255 kj(300 kcal),"20,3","3,7","14,6","0,3","14,2","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,Tonyina clara - Bonpreu,8422410254712,['Bonpreu'],['France'],[],[],?,155,649 kj(155 kcal),"5,9","0,9",0,0,25,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,Rillettes de poulet aux 5 poivres,3662026001026,,['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,
527,3147697616903,3147697616903,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Lulu l'ourson - Fontaneda,7622300656270,['Fontaneda'],"['France', 'Espagne']",[],[],?,395,1653 kj(395 kcal),16,"3,3",58,31,6,"0,8","0,32",,,,"['Biscuits et gâteaux', 'Pâtisseries']",,,16 g,en quantité modérée,3.3 g,en quantité modérée,31 g,en quantité élevée,0.8 g,en quantité modérée,,+5%,+5%,-5%,-59%,+21%,+6%,+12%,+93%,+93%,16,-6%,D,-6%,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,
529,Délices de lait Pêche Banane Mangue,4062300342958,,['France'],[],[],?,78,326 kj(78 kcal),"1,4","0,8","14,3","10,2","1,7","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,
530,Buzet rosé A.O.C. 2017 - Marque Repère - 75cl,3564700772928,"['Marque Repère', ""Terrasses d'Autan""]",['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,75 cl,C,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Buzet']",['France'],,,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['Leclerc'],['Anhydride sulfureux et sulfites'],3,,,,,,,,,
531,Natural energy drink,5906441350283,,['France'],[],[],?,45,188 kj(45 kcal),"0,4","0,1",11,11,"0,4","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,Mediterranean Chickpea Salad,7613356853904,,['France'],[],"['Végétalien', 'Végétarien']",?,153,640 kj(153 kcal),7,"0,5",15,4,5,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,
533,Champignons de Paris,20799854,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,Buiscuits de manioc,6091307250018,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,
535,Galette des rois à la crème d'amande,3700411903491,,['France'],[],[],?,496,2075 kj(496 kcal),33,15,43,15,"6,2","0,6","0,24",,D,,"['Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,,33 g,en quantité élevée,15 g,en quantité élevée,15 g,en quantité élevée,0.6 g,en quantité modérée,,+18%,+18%,+25%,+1%,+11%,+16%,-2%,-14%,-14%,21,+9%,E,+9%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,,,
