,name,bar_code,quantity,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,brand,categories,additives,allergens,nova_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,packaging,ingredients_origins,manufacturing,traceability_code,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,palm_ingredients,generic_name,link,brand_owner
994,confiture de banane rhum raisin - j'aime BOC'OH - 350g,3770008034174,350 g,,['France'],"['Ingrédients de la délicieuse recette: 52% de bananes perdues,4% de raisins secs macérés dans du rhum blanc et un peu de sucre']",[],?,218,0,55,1,0,0,,"[""j'aime BOC'OH""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades']",,,,,-2%,-100%,+2%,+99%,,,,,,,,912 kj(218 kcal),,54,['pot en verre'],,['Savoie'],['3770008034174'],,0 g,en faible quantité,,,54 g,en quantité élevée,0 g,en faible quantité,-3%,,+5%,-100%,-100%,,,,,,,,
995,Beurre de baratte,3332621012658,,,['France'],[],[],?,704,79,"1,8","1,1","1,6","0,64",E,,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres de baratte']",,,,,-4%,-2%,+161%,+55%,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,2946 kj(704 kcal),52,1,,,,"['FR 50.267.001 CE', 'Lessay (Manche, France)']",,79 g,en quantité élevée,52 g,en quantité élevée,1 g,en faible quantité,1.6 g,en quantité élevée,-4%,-4%,+79%,+36%,+36%,25,+9%,E,+9%,,,,
996,Galettes de blé noir - 325g,3326120010628,325 g,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,176,"1,9",32,6,"1,4","0,56",B,,"['Crêpes et galettes', 'Galettes', 'Galettes de blé noir']",,,,,-1%,-51%,+17%,-12%,31.3%,30.2%,19.0%,10.8%,8.7%,0.0%,96,736 kj(176 kcal),"0,4","0,5",,,,,,1.9 g,en faible quantité,0.4 g,en faible quantité,0.5 g,en faible quantité,1.4 g,en quantité modérée,-1%,-75%,-30%,+6%,+6%,5,-3%,C,-3%,,,,
997,Ossau Iraty -,2441826033069,,,['France'],[],[],?,412,38,0,23,"1,8","0,72",D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages pasteurisés']",,,,,+32%,+46%,-100%,+24%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,1724 kj(412 kcal),23,0,,,,,,38 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,1.8 g,en quantité élevée,+32%,+29%,-100%,+25%,+25%,17,+19%,D,+19%,,,,
998,Cotes de Porc 1eres x4,3266110093609,,,['France'],[],[],?,0,?,?,?,0,0,,,,,,,,,,,,,,,,,,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,Toskana + Pasta - Edeka,4311527601240,,,['France'],[],[],?,163,"11,5","10,9","3,7","0,45","0,18",,['Edeka'],,,,,,,,,,,,,,,,,682 kj(163 kcal),"1,9","3,7",,,,,,,,,,,,,,,,,,,,,,,,,,
1000,Pulpo cocido troceado - meripul - 500gr,8436036000035,500 gr,"['Point Vert', 'Sans conservateurs']",['France'],[],[],?,87,1,"0,5","19,4","0,78","0,312",,['Meripul'],,,,,,,,,,,,,,,,,364 kj(87 kcal),"0,35","0,5",['al vacío'],['en:Marruecos'],['Marruecos'],,,,,,,,,,,,,,,,,,,,,,,
1001,Eclair chocolat x4 decongele,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,paté de foie forestier supérieur - Clermont - 210g,3363710007576,210 g,,['France'],"['gras de porc', 'LAIT', 'foie de volaille 15%', 'foie de porc 15%', 'graisse de canard', 'viande de porc', 'crème ', 'LAIT', ' 3,4% Bolets', 'couenne de porc', 'cognac', '2,8% Pleurotes', '2,7% Champignons noirs', 'fécule de pomme de terre', 'lactose ', 'LAIT', 'sel', 'protéines de LAIT', 'épices', 'amidon modifié', 'conservateur : E250', 'antioxydants : E300', 'E316', 'arômes', 'sucre', 'stabilisants : E450', 'E451', 'colorants : E120', 'caramel', 'gélatine', 'épaississant : E415', 'acidifiant : E330']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,349,"31,6","5,4","10,7","1,6","0,64",,['Clermont'],"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de foie']","['E14XX - Amidons modifiés', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E316 - Érythorbate de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique', 'E150 - Caramel', 'E428 - Gélatine', 'E415 - Gomme xanthane', 'E330 - Acide citrique']",['Lait'],4,,-2%,-3%,+165%,-6%,,,,,,,,1460 kj(349 kcal),"12,6","2,4","['film plastique jetable', 'barquette plastique recyclable']",['Porc VPF = france'],['france Bretagne 35341 liffré'],"['FR 35.152.002 CE', 'Liffré (Ille-et-Vilaine, France)']",,31.6 g,en quantité élevée,12.6 g,en quantité élevée,2.4 g,en faible quantité,1.6 g,en quantité élevée,-1%,+2%,+197%,-2%,-2%,21,+4%,E,+4%,,,,
1003,Saucisson pur porc  myrtilles,3252889087017,,,['France'],[],[],?,508,"44,1","2,9",25,"4,82","1,928",,,,,,,,,,,,,,,,,,,2125 kj(508 kcal),"18,5","1,1",,,,,,,,,,,,,,,,,,,,,,,,,,
1004,2 FILETS DE POULET FERMIER - Bio Village,2860294042241,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,?,?,?,?,0,0,C,['Bio Village'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,['Leclerc'],,,,,,,0 g,en faible quantité,,,,-100%,-100%,,,,,,,,
1005,Dark Chocolate 72% - Menakao,3760155713237,,,['France'],[],[],?,594.07,"41,27","42,96","12,7","0,03","0,012",E,['Menakao'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,,,,+7%,+5%,+11%,+66%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,2486 kj(594 kcal),"10,39","36,5",,,,,,41.3 g,en quantité élevée,10.4 g,en quantité élevée,36.5 g,en quantité élevée,0.03 g,en faible quantité,+7%,-55%,+15%,-36%,-36%,25,+18%,E,+18%,,,https://menakao.com/chocolat-noir-72-cacao-min/,
1006,Yaourt fermier au chocolat,3760115950122,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,Burger chargrill - Lidl,09103979,,,['France'],[],[],?,387,11,55,15,"1,3","0,52",,['Lidl'],,,,,,,,,,,,,,,,,1619 kj(387 kcal),"4,2","7,1",,,,,,,,,,,,,,,,,,,,,,,,,,
1008,Ail,3180500107113,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,400g,103220045602,400 g,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,Cassolettes montagnardes - Clermont,3363710004568,,,['France'],[],[],?,100,12,"8,1","6,7","2,1","0,84",,['Clermont'],,,,,,,,,,,,,,,,,418 kj(100 kcal),6,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,
1011,Nezo Salt & Balck Pepper,8715800002063,,,['France'],[],[],?,0,?,?,?,0,0,,,,,,,,,,,,,,,,,,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Canard sauce potimarron foie gras aux  eclats de châtaignes,3700766409525,,,['France'],[],[],?,518,"7,4","3,2",11,"1,3","0,52",,,,,,,,,,,,,,,,,,,2167 kj(518 kcal),"1,6","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,
1013,Museli choco'choc,3273120030609,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Sans additifs']",['France'],[],[],?,398,"11,52","50,7","20,1","0,3","0,12",,,,,,,,,,,,,,,,,,,1665 kj(398 kcal),"2,8","13,5",,,,,,,,,,,,,,,,,,,,,,,,,,
1014,Orange,13319313,,,['France'],[],[],?,48,"0,1","10,9","0,6",0,0,,,,,,,,,,,,,,,,,,,201 kj(48 kcal),0,"9,3",,,,,,,,,,,,,,,,,,,,,,,,,,
1015,saucisse de Toulouse - Carrefour - 554g,2480737041459,554 g,,['France'],"['Ing viande de porc', 'origine france', '90,6%', 'Sel: Epices', ""extrait d'epices: Sirop de glucose"", 'Saccharose', 'Acidifiant : E262 E326 Antioxygene : E316: Persil', 'Boyaux naturels de porc', ' tomate confite', 'ail persil ', ' 1actate de potatiuMbbbbbbb bbbbbbb bbbbbbb']","['Non végétalien', 'Non végétarien']",?,?,?,?,?,,,,['Carrefour'],"['Viandes', 'Porc']","['E262 - Acétates de sodium', 'E326 - Lactate de potassium', 'E316 - Érythorbate de sodium']",,4,,,,,,,,,,,,,,,,['Barquette'],['France'],['Ollioules'],,"['Carrefour Ollioules', 'Carrefour']",,,,,,,,,,,,,,,,,,,,,
1016,Canti estate moscato d asti - 750ml,8005415049936,750 ml,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,Mr. Brown Arequipe,7705326079084,,,['France'],[],[],?,90,4,13,1,1,"0,4",,,,,,,,,,,,,,,,,,,377 kj(90 kcal),2,10,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,Vantardises - Conserveries du manoir - 122g,2221118059959,122g,,['France'],[],[],?,?,?,?,?,,,E,['Conserveries du manoir'],"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Magrets de canard']",,,,,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,Ubiquinol,3770000228250,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,Sirop d'agave avec jus de framboise - 250ml,8719153015596,250 ml,,['France'],[],[],?,310,0,78,0,0,0,,,"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'agave""]",,,,,0%,-100%,+1%,-100%,,,,,,,,1297 kj(310 kcal),0,77,,,,,,0 g,en faible quantité,0 g,en faible quantité,77 g,en quantité élevée,0 g,en faible quantité,-0%,-100%,+5%,-100%,-100%,13,+1%,D,+1%,,,,
1021,Dattes bio - Bio Pays,3760002451947,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],[],[],?,?,?,?,?,,,B,['Bio Pays'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Dattes', 'Dattes Deglet Nour']",,,,,,,,,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,,,['Tunisie'],,,,,,,,,,,,,,,,,,,,,,,,
1022,Touareg,3700809360097,,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,Cioco snack - Dolciando - 5x 26g,8017596105172,5 x 26 g,,['France'],[],[],?,514,26,64,"5,2","0,42","0,168",,['Dolciando'],,,,,,,,,,,,,,,,,2151 kj(514 kcal),16,42,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,Japanese Yuzu & Lemon juice,5060040190111,,,['France'],[],[],?,29,"0,1","7,3","0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,121 kj(29 kcal),0,"6,6",,,,,,,,,,,,,,,,,,,,,,,,,,
1025,Miel de lavande - Rayon d'Or,3301510194218,,,['France'],[],[],?,?,?,?,?,0,0,B,"[""Rayon d'Or""]","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,0 g,en faible quantité,,,,-100%,-100%,,,,,,,,
1026,Propolis Sirop Confort Respiratoire.,5425012760745,,,['France'],[],[],?,0,?,?,?,0,0,,,,,,,,,,,,,,,,,,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,Café SATI,3149330003347,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,['sous vide'],,,,,,,,,,,,,,,,,,,,,,,,,
1028,Confiture de Framboise,3700422213299,,,"['France', 'Suisse']",[],[],949,224,"0,2","53,1","0,7","0,02","0,008",C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",,,,+0%,0%,-26%,-1%,+4%,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,949 kj(224 kcal),0,"52,6",,,,,,0.2 g,en faible quantité,0 g,en faible quantité,52.6 g,en quantité élevée,0.02 g,en faible quantité,+1%,-100%,+2%,-6%,-6%,11,+24%,D,+24%,,,,
1029,Galettes des rois frangipane mini - Casino - 3X,3602826462139,3X,,['France'],[],[],?,0,?,?,?,0,0,D,['Casino'],"['Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,,,,-100%,,,,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,0 kj(0 kcal),,,,,,,['Casino'],,,,,,,0 g,en faible quantité,-100%,,,-100%,-100%,,,,,,,,
1030,Apéro aubergine poivron - ? - 1,3770008034648,1,,['France'],[],[],?,?,?,?,?,,,,['?'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,Nouilles instantanées saveur fruits de mer à la citronelle - Apollo,6091091003739,,,['France'],[],[],?,440,"15,2",65,"10,8","11,5","4,6",,['Apollo'],,,,,,,,,,,,,,,,,1841 kj(440 kcal),"7,2","6,2",,,,,,,,,,,,,,,,,,,,,,,,,,
1032,Céréales Corn Pops (format Géant) - Kellogg's,0064100595743,,,['France'],[],[],?,375,0,"90,625","3,125","1,172","0,469",,"[""Kellogg's""]",,,,,,,,,,,,,,,,,1569 kj(375 kcal),0,"31,25",,,,,,,,,,,,,,,,,,,,,,,,,,
1033,Kiluva 30 Pearls Stabilium,8423263900184,,,['France'],[],[],?,0,?,?,?,0,0,,,,,,,,,,,,,,,,,,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,Mâche,3760115411609,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,Fusetea,5449000216359,,,['France'],[],[],?,33,"8,2","8,2",0,"0,04","0,016",,,,,,,,,,,,,,,,,,,138 kj(33 kcal),0,"8,2",,,,,,,,,,,,,,,,,,,,,,,,,,
1036,Nems au poulet - Le cantonnais - 280g,3492592011330,280 g,,['France'],[],[],?,169,"2,9","26,5","8,2","1,3","0,52",C,['Le cantonnais'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au poulet', 'Nems', 'Nems au poulet']",,,,,-16%,-63%,+16%,+14%,62.8%,18.1%,4.7%,5.0%,2.0%,7.4%,57,707 kj(169 kcal),"0,5",3,,,,,,2.9 g,en faible quantité,0.5 g,en faible quantité,3 g,en faible quantité,1.3 g,en quantité modérée,-15%,-61%,+14%,+3%,+3%,2,-53%,B,-53%,,,,
1037,Champagne Larmigny,3430823421114,,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,Knacks de Bourgogne - Sabatier - 280g,3441700286405,280g,['Fabriqué en France'],['France'],[],[],?,?,?,?,?,,,,['Sabatier'],,,,,,,,,,,,,,,,,,,,,,,"['FR 21.231.005 CE', ""Dijon (Côte-d'Or, France)""]",,,,,,,,,,,,,,,,,,,,,,
1039,Vino generoso oloroso solera de jerez,8410023020039,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,Pâte de Marron d'Ardèche,3760079221450,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,Millefeuille,20960520,,['Fabriqué en Belgique'],"['Belgique', 'France']",[],[],?,293,13,39,"3,5","0,48","0,192",B,,"['Biscuits et gâteaux', 'Pâtisseries', 'Millefeuilles']",,,,,-6%,-13%,-2%,-9%,73.1%,14.7%,6.0%,3.0%,3.2%,0.0%,75,1226 kj(293 kcal),"7,5",24,['Carton'],,,,,13 g,en quantité modérée,7.5 g,en quantité élevée,24 g,en quantité élevée,0.48 g,en quantité modérée,-6%,-26%,+21%,+2%,+2%,17,0%,D,0%,,,,
1042,Casse dents de Provence,3300810209110,,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,Arachides Sucrees,3418011267751,,,['France'],[],[],?,517,27,57,15,"0,1","0,04",,,,,,,,,,,,,,,,,,,2163 kj(517 kcal),3,43,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,Mogette de la Goichonnière,3375169001241,,,['France'],[],[],?,80,"0,8",15,"5,9","0,8","0,32",,,,,,,,,,,,,,,,,,,335 kj(80 kcal),"0,1","0,4",,,,"['FR 85.166.011 CE', 'Olonne-sur-Mer (Vendée, France)']",,,,,,,,,,,,,,,,,,,,,,
1045,Pannetonne Bag,0029981002360,,,['France'],[],[],?,361,"13,3","54,2",6,"0,3","0,12",,,,,,,,,,,,,,,,,,,1510 kj(361 kcal),"9,8",22,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,miel de fleurs sauvages - 250g,3375801567012,250 g,,['France'],[],[],?,?,?,?,?,0,0,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,0 g,en faible quantité,,,,-100%,-100%,,,,,,,,
1047,Altis,5208069000701,,,['France'],[],[],?,824,92,0,0,0,0,,,,,,,,,,,,,,,,,,,3448 kj(824 kcal),13,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,Miel MIL FLORS,8413900081574,,,['France'],[],[],?,?,?,?,?,,,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,Noistte enrobées,3760109930130,,,['France'],[],[],?,0,9,9,0,0,0,,,,,,,,,,,,,,,,,,,0 kj(0 kcal),0,8,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,TOMMETTE ALLÉGÉE fromage au lait cru - 500g,3760014990526,500 g,,['France'],[],[],?,230,12,"0,5",19,1,"0,4",,,,,,,,,,,,,,,,,,,962 kj(230 kcal),"8,5","0,5",,,,"['FR 03.094.002 CE', 'Creuzier-le-Vieux (Allier, France)']",,,,,,,,,,,,,,,,,,,,,,
1051,lait de coco,8857101711302,,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,Strained lowfat yogurt Blueberry,0850004694015,,,"['France', 'États-Unis']","['Pasteurized skim milk', 'pasteurized cream', 'blueberries', 'cane sugar', 'fruit pectin', 'live active cultures']",['Non végétalien'],?,88,2,"8,8","9,6","0,1","0,04",,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",['E440 - Pectines'],,4,,-4%,-39%,-20%,+155%,,,,,,,,368 kj(88 kcal),"1,2","7,2",,,,,,2 g,en faible quantité,1.2 g,en faible quantité,7.2 g,en quantité modérée,0.1 g,en faible quantité,-4%,-41%,-29%,-13%,-13%,-2,-165%,A,-165%,,,,SIGGI'S
1053,Omelette aux fin herbe,3215200014222,,,['France'],[],[],?,523,"8,2","2,3",10,"0,91","0,364",,,,,,,,,,,,,,,,,,,2188 kj(523 kcal),"2,6","1,3",,,,,,,,,,,,,,,,,,,,,,,,,,
1054,3411900209207,3411900209207,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,Vin chateau monplaisir,3423290197637,,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,APIZEN l'élixir sérénité,3760115093492,,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,"Cabernet sauvignon - 0,75l",5400117535474,"0,75 l","[""Pays d'oc""]","['Belgique', 'France']",[],[],?,?,?,?,?,,,B,['Cabernet sauvignon'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,['bouteille de verre'],['France'],['France'],,['Delhaize'],,,,,,,,,,,,,,,,,,,,,
1058,"Emincé de poulet, pâtes aux oeufs et champignons",3366760045376,,,['France'],[],[],?,126,"4,6",13,"7,8","0,62","0,248",,,,,,,,,,,,,,,,,,,527 kj(126 kcal),2,"1,3",,,,,,,,,,,,,,,,,,,,,,,,,,
1059,Peau saine et nette - Arkopharma,3578835500240,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France', 'Sans conservateurs']",['France'],[],[],?,?,?,?,?,,,,['Arkopharma'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,Miel d'aubépine d'Anjou - Famille Mary,3760115097933,,,['France'],[],[],?,?,?,?,?,,,B,['Famille Mary'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,3700008515403,3700008515403,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,Soupe de courges - 750g,3770006126048,750 g,['Bio'],['France'],[],[],?,35.42,"2,13","2,92","0,47","0,04","0,016",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes']",,,,,-14%,+23%,-36%,-50%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,148 kj(35 kcal),"0,47","1,73",,,,,,2.13 g,en faible quantité,0.47 g,en faible quantité,1.73 g,en faible quantité,0.04 g,en faible quantité,-14%,-16%,-11%,-94%,-94%,0,-100%,B,-100%,,,,
1063,Bio-reiswaffeln,20246716,,['en:gluten-free'],['France'],[],[],?,480,"22,6","59,5","6,9",0,0,,,,,,,,,,,,,,,,,,,2008 kj(480 kcal),"13,4","21,4",,,,,,,,,,,,,,,,,,,,,,,,,,
1064,Booster - Le fruit de l'exploit,3330720006745,,,['France'],[],[],?,307,"0,5",76,"0,5","0,1","0,04",,,,,,,,,,,,,,,,,,,1284 kj(307 kcal),"0,1",66,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,Jambon superieur sans couenne,2273694013788,,,['France'],[],[],?,468,3,1,20,"2,1","0,84",E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Jambon sans couenne']",,,,,+255%,-38%,+49%,-5%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,1958 kj(468 kcal),"1,2","0,5",,,,,,3 g,en quantité modérée,1.2 g,en faible quantité,0.5 g,en faible quantité,2.1 g,en quantité élevée,+258%,-35%,-16%,+12%,+12%,15,+113%,D,+113%,,,,
1066,Le reveil du terroir,3142806815895,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,Café - Nestlé,7630047653056,,,['France'],[],[],?,?,?,?,?,0,0,,"['Nestlé', 'Nespresso']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100%,-100%,,,,,,,,
1068,Carotte rapé,0202154008868,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,Couronne Roi Fruitsconfits X2,3523680272002,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,Sauce curry - Mieum - 125g,3770014343116,125 g,"['Bio', 'Bio européen', '100% végétal', 'AB Agriculture Biologique', 'Sans additifs', 'Nutriscore', 'Nutriscore A']",['France'],"['Eau', 'jus de citron*', 'huile de colza*', 'purée de tomate*', 'farine de LUPIN*', 'farine de maïs*', 'vinaigre de cidre 5°*', 'curry en poudre* ', '3,13%', 'farine de lin*', 'jus de canneberges*', 'sirop d’agave*', 'sel', 'poivre noir*', '\r*ingrédients issus de l’agriculture biologique']",[],703,169,"12,38","7,4","4,88","0,57","0,228",A,['Mieum'],"['Epicerie', 'Sauces', 'Sauces au curry']",,['Lupin'],3,-8%,-27%,-32%,-30%,+205%,21.5%,33.8%,17.7%,14.0%,7.6%,5.3%,96,703 kj(169 kcal),"1,12","1,5","['Bocal', 'Verre']",,"['Montigny le Bretonneux', 'France']",,,12.4 g,en quantité modérée,1.12 g,en faible quantité,1.5 g,en faible quantité,0.57 g,en quantité modérée,-24%,-67%,-75%,-66%,-66%,-1,-109%,A,-109%,,Sauce condimentaire au curry,http://www.mieum.fr,
