,name,bar_code,eco_score,quantity,packaging,brand,categories,ingredients_origins,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,manufacturing,traceability_code,nova_score,additives,allergens,palm_ingredients,generic_name,origin_detail,producer_info,link,brand_owner
1505,Sardines à la tomate - Cap Dinec - 125g,3251870002121,D,125 g,['boite de conserve'],['Cap Dinec'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile de tournesol"", 'Sardines à la tomate']",,['Dia'],['France'],"['sardines', 'eau', 'concentré de tomates ', '8', '5%', 'huile de tournesol', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",10.4 g,en quantité modérée,4 g,en quantité modérée,0.5 g,en faible quantité,0.88 g,en quantité modérée,?,,179,-18%,749 kj(179 kcal),-17%,"10,4",-25%,4,+22%,"2,1",+244%,"0,5",+93%,"19,3",-10%,"0,88",-3%,"0,352",-3%,3,-19%,C,-19%,26.4%,30.5%,28.5%,13.5%,0.9%,0.3%,52,,['Maroc'],,3,,['Poisson'],,Sardines à la tomate,,,,
1506,Sardines,3251870002275,,,,,,,,['France'],[],[],,,,,,,,,?,,179,,749 kj(179 kcal),,"10,4",,4,,"2,1",,"0,5",,"19,3",,"0,9",,"0,36",,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,
1507,Morceaux de thon,3251870002985,,,,,,,,['France'],[],[],,,,,,,,,?,,115,,481 kj(115 kcal),,1,,"0,5",,"0,5",,0,,26,,"0,71",,"0,284",,,,,,,,,,,,,,,,,,,,,,,,
1508,Rouille -,3251870004149,,,,,"['Epicerie', 'Sauces']",,,['France'],[],[],33.3 g,en quantité élevée,3.7 g,en quantité modérée,1.1 g,en faible quantité,2.1 g,en quantité élevée,?,,338,+42%,1414 kj(338 kcal),+43%,"33,3",+84%,"3,7",+71%,"5,3",-47%,"1,1",-83%,"3,6",+34%,"2,1",-13%,"0,84",-13%,16,+38%,D,+38%,,,,,,,,,,,,,,,,,,,
1509,Croutons,3251870004163,D,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Croûtons']",,,['France'],[],[],6.2 g,en quantité modérée,0.9 g,en faible quantité,4.4 g,en faible quantité,2.07 g,en quantité élevée,?,,392,-17%,1640 kj(392 kcal),-17%,"6,2",-70%,"0,9",-70%,"70,6",+20%,"4,4",+19%,"11,9",+26%,"2,07",+6%,"0,828",+6%,13,-11%,D,-11%,87.8%,8.3%,1.9%,1.8%,0.2%,0.0%,35,,,,,,,,,,,,
1510,Bouillabaisse -,3251870004514,,,,,"['Plats préparés', 'Plats préparés au poisson', 'Bouillabaisses']",,,['France'],[],[],3.1 g,en quantité modérée,0.8 g,en faible quantité,0 g,en faible quantité,0.75 g,en quantité modérée,?,,73,+9%,305 kj(73 kcal),+9%,"3,1",+21%,"0,8",+50%,0,-100%,0,-100%,10,+24%,"0,75",-2%,"0,3",-2%,-2,,A,,,,,,,,,,,"['FR 13.078.002 CE', 'Port-Saint-Louis-du-Rhône (Bouches-du-Rhône, France)']",,,,,,,,,
1511,Soupe Rouge à la Setouse,3251870004576,,,,,,,,['France'],[],[],,,,,,,,,?,,37,,155 kj(37 kcal),,"2,6",,"0,4",,"0,2",,"0,001",,"3,1",,"0,83",,"0,332",,,,,,,,,,,,,,,"['FR 13.078.002 CE', 'Port-Saint-Louis-du-Rhône (Bouches-du-Rhône, France)']",,,,,,,,,
1512,Tapenade noire -,3251870004675,C,,,,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades noires']",,,['France'],[],[],28 g,en quantité élevée,3.8 g,en quantité modérée,0 g,en faible quantité,3.5 g,en quantité élevée,?,,265,-4%,1109 kj(265 kcal),-4%,28,+4%,"3,8",+8%,0,-100%,0,-100%,"1,7",-3%,"3,5",+12%,"1,4",+12%,16,+8%,D,+8%,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,,,,,,,,,
1513,Soupe de Favouilles,3251870004866,,,,,,,,['France'],[],[],,,,,,,,,?,,37,,155 kj(37 kcal),,"2,6",,"0,4",,"0,2",,"0,2",,"3,1",,"0,83",,"0,332",,,,,,,,,,,,,,,,,,,,,,,,
1514,Aioli - Lou Ferrignade,3251870006297,D,,,['Lou Ferrignade'],"['Epicerie', 'Sauces', 'Aïolis']",,,['France'],"['Eau', 'huile de tournesol', 'ail', 'moutarde', 'jaune d’œufs', 'amidon de pommes de terre', 'protéines de lait', 'sel', 'vinaigre', 'poivre']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",33.3 g,en quantité élevée,3.7 g,en quantité modérée,1.1 g,en faible quantité,2.1 g,en quantité élevée,?,,338,-45%,1414 kj(338 kcal),-44%,"33,3",-49%,"3,7",-46%,"5,3",+48%,"1,1",-8%,"3,6",+154%,"2,1",+65%,"0,84",+65%,16,-13%,D,-13%,81.4%,9.6%,3.6%,3.4%,1.6%,0.4%,47,,,,4,,"['Œufs', 'Lait', 'Moutarde']",,,,,,
