,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,labels,eco_score,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,traceability_code,markets,additives,ingredients_origins,manufacturing,link,allergens,nova_score,generic_name,origin_detail,brand_owner,palm_ingredients,producer_info
948,CHAIR DE TOMAT.BASILIC BTE 1/2 - Louis martin,3142952505312,['France'],[],[],?,47,197 kj(47 kcal),"1,6","0,2","5,5","5,5","1,3",1,"0,4",['Louis martin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,Garniture pizza «pizza bella» - Louis Martin,3142952644011,['France'],[],[],?,52,218 kj(52 kcal),"1,8","0,25","5,9","5,8","1,6",1,"0,4",['Louis Martin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,Tomates séchées - Éric Bur,3144550004457,['France'],[],[],?,4,17 kj(4 kcal),"13,4","1,8","20,9","5,5","4,3","7,2","2,88",['Éric Bur'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,Moutarde a l'ail et au persil ERIC BUR - 200g,3144550005805,['France'],"['Eau', 'graines de moutarde', ""vinaigre d'alcool"", 'persil ', '7 %', 'sel', 'ail ', '2 %', ' Allergènes : sulfites']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,178,745 kj(178 kcal),"13,55","0,91","4,39","2,7","5,76","5,925","2,37",['Éric Bur'],,B,200 g,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', ""Moutardes à l'ail""]",13.6 g,en quantité modérée,0.91 g,en faible quantité,2.7 g,en faible quantité,5.92 g,en quantité élevée,,+5%,+5%,+25%,+11%,-36%,-30%,-12%,+26%,+26%,10,-14%,C,-14%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,"['Bocal', 'Verre']",,,,,,,"['Moutarde', 'Anhydride sulfureux et sulfites']",3,,,,,
952,Eric Bur Marrons A L Etouffe Bocal 37Cl,3144550006567,['France'],['100% Marrons UE'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,177,741 kj(177 kcal),"1,3","0,22","35,6","8,3","2,6","0,025","0,01",['Eric bur'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,Confiture de quetsches ERIC BUR,3144550008431,['France'],[],[],?,220,920 kj(220 kcal),"0,1","0,1","56,6","56,6","0,4","0,1","0,04",['Éric Bur'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,Confiture extra de framboise sans pépins ERIC BUR,3144550008479,['France'],[],[],?,254,1063 kj(254 kcal),"0,2",0,61,61,"0,8",0,0,['Eric bur'],,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",0.2 g,en faible quantité,0 g,en faible quantité,61 g,en quantité élevée,0 g,en faible quantité,,+13%,+13%,-26%,-100%,+14%,+19%,+19%,-100%,-100%,12,+36%,D,+36%,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,,,,,,,,,,,,,,
955,Tripes a La Mode De Caen - Tripes paillard,3155060010203,['France'],"['Estomacs et pieds de bœuf ', '73 %', 'fond ', 'de sauce : eau', 'carottes', 'oignons', 'vin aroma', '>o calvados', ""extrait naturel d'épices et d'arom - acidifiant : acide citrique"", 'pulpe dic']",[],?,120,502 kj(120 kcal),4,2,0,0,"20,5","1,1","0,44",['Tripes paillard'],,E,,"['Plats préparés', 'Poissons et viandes et oeufs', 'Produits à la viande', 'Plats préparés à la viande', 'Abats', 'Spécialités à base de tripes', 'Tripes à la mode de Caen']",4 g,en quantité modérée,2 g,en quantité modérée,0 g,en faible quantité,1.1 g,en quantité modérée,,-4%,+4%,+23%,+33%,-100%,-100%,+15%,-6%,-6%,0,-100%,B,-100%,96.2%,1.8%,0.7%,0.7%,0.4%,0.3%,8,,,,['E330 - Acide citrique'],,,,,3,,,,,
956,Crème Fraîche épaisse Légère 15 % Pour Sauces Et c - Président Professionnel,3155250003527,['France'],"['Crème légère ', '97 %', 'amidons modifiés', 'épaississant : pectine', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,169,707 kj(169 kcal),15,0,"6,1",0,"2,5",0,0,"['Président Professionnel', 'Président']",,C,,"['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Crèmes fraîches', 'Crèmes légères']",15 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,+5%,+6%,+6%,-100%,+13%,-100%,-9%,-100%,-100%,1,-90%,B,-90%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,"['Frais', 'Pot', 'Plastique']",,,"['E14XX - Amidons modifiés', 'E440 - Pectines']",,,,['Lait'],4,,,,,
957,Beurre doux - Leader Price - 250g,3155250032022,['France'],"['milk', ' ', 'ori in: EU', ' - lactic culture ', 'milk', ' The information bold intende for the allergic or intolerant people', ' Best before: see on tub', ' Keep retrigerated between TC and 80C', ' Poids Net weight']",[],?,745,3117 kj(745 kcal),82,57,1,1,"0,7","0,03","0,012",['Leader Price'],,,250 g,['Matières grasses'],82 g,en quantité élevée,57 g,en quantité élevée,1 g,en faible quantité,0.03 g,en faible quantité,,-7%,-7%,-7%,+150%,+346%,+517%,+295%,-85%,-85%,19,+68%,E,+68%,,,,,,,,,,['Leader Price'],,,,,['Lait'],,,,,,
958,Lait de Bretagne - Le éleveurs je Bretagne - 1L,3155250368732,['France'],[],[],?,64,268 kj(64 kcal),"3,6","2,2","4,8","4,8","3,2","0,1","0,04",['Le éleveurs je Bretagne'],,,1L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bouteille'],"['FR 35.131.001 CE', 'Hermitage (Ille-et-Vilaine, France)']",,,,,,,,,,,,
959,Moutarde de Meaux - Pommery - 250g,3158697781263,['France'],"['Eau', 'graines de moutarde', 'vinaigre', 'sel', 'épices']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,124,519 kj(124 kcal),"8,91","0,63","8,87","1,8","6,73","5,9","2,36",['Pommery'],,B,250 g,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes de Meaux']",8.91 g,en quantité modérée,0.63 g,en faible quantité,1.8 g,en faible quantité,5.9 g,en quantité élevée,,-27%,-27%,-18%,-23%,+29%,-53%,+2%,+25%,+25%,11,-5%,D,-5%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,"['Pot', 'Grès']",,,,,['France'],http://www.moutarde-de-meaux.com/3-moutarde-250g/3-la-moutarde-meaux-pommery-ciree-250g.htm,['Moutarde'],3,,,,,
960,vinaigre balsamique de Modene,3158697781546,['France'],[],[],?,1,4 kj(1 kcal),1,1,1,1,0,1,"0,4",,,B,,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène', 'Vinaigre balsamique de Mod�ne']",1 g,en faible quantité,1 g,en faible quantité,1 g,en faible quantité,1 g,en quantité modérée,,-99%,-99%,-78%,+124%,-94%,-93%,-100%,+226%,+226%,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,['Italie'],,,,,,,,,
961,Boost Juvamine,3160920644207,['France'],[],[],?,?,,?,,?,,?,,,['Juvamine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962,"Celliflore Infusion Confort Digestif - 37,5g",3160920713248,['France'],[],[],?,1,4 kj(1 kcal),"0,1","0,1","0,1","0,1","0,1","0,1","0,04",['Celliflore'],['Bio'],,"37,5 g",['Boissons'],0.1 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,,-98%,-98%,-71%,-15%,-99%,-99%,-80%,+141%,+141%,2,-74%,C,-74%,,,,,,,,,"['EMB 75112W', 'Paris 12e  Arrondissement (Paris, France)']",,,,,,,,,,,,
963,Bloc De Foie Gras De Canard 30 % Morceaux Boîte 1 - Rougié - 400g,3161451024667,['France'],"['Foie gras de canard', 'morceaux de foie gras de canard 30 %', 'eau', 'Armagnac', 'sel', 'sucre', 'poivre', 'antioxydant: ascorbate de sodium', 'conservateur: nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,488,2042 kj(488 kcal),50,21,"3,1","0,9",6,"1,075","0,43","['Rougié', 'Euralis Gastronomie']",,A,400 g,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras', 'Bloc de foie gras avec morceaux']",50 g,en quantité élevée,21 g,en quantité élevée,0.9 g,en faible quantité,1.07 g,en quantité modérée,,-1%,-0%,-2%,-5%,+39%,-29%,-5%,-14%,-14%,20,-2%,E,-2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,"['Conserve', 'métal', 'Frais']",,,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['France'],['France'],,,3,,,,,
964,Amandes en poudre - Sainte Lucie,3162050018323,['France'],[],[],?,612,2561 kj(612 kcal),53,"4,3","5,6",4,29,0,0,['Sainte Lucie'],,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines', 'Fruits à coques et dérivés', 'Farines de fruits à coques', 'Amandes en poudre']",53 g,en quantité élevée,4.3 g,en quantité modérée,4 g,en faible quantité,0 g,en faible quantité,,-2%,-2%,-1%,+2%,-36%,-5%,+25%,-100%,-100%,11,+97%,D,+97%,,,,,,,,['Sachet en plastique'],,,,,,,,,,,,,
