,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,manufacturing,link,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,ingredients_origins,brand_owner,palm_ingredients,origin_detail,producer_info
1636,Esprit des Marées,3441260396019,,,,,,,,,,,['France'],[],,[],,?,,229,,"0,5",,55,,"0,5",,,,,,,,,,,,,,,,,,958 kj(229 kcal),,"0,3",,55,,"0,25",,"0,1",,,,,,,,,,,
1637,Modena Lungo - Bellarom,4056489136071,,,,,['Bellarom'],,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638,Black label,5000267125046,,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,
1639,Huile d'olive,3760286980485,C,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-10']",,,,['France'],[],,[],,?,,899,+5%,"99,9",+5%,0,,0,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,99.9 g,en quantité élevée,13.8 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,3761 kj(899 kcal),+5%,"13,8",-1%,0,,0,-100%,0,-100%,6,-2%,C,-2%,,,,,,
1640,Orange Smarties - Nestlé,7613037026122,,,,,['Nestlé'],,,,,,['France'],[],,[],,?,,481,,"19,6",,"70,6",,"5,1",,,,,,,,,,,,,,,,,,2013 kj(481 kcal),,"11,3",,"66,1",,"0,14",,"0,056",,,,,,,,,,,
1641,Le coq d'or,3304820601049,E,,,,"[""Le Coq d'Or""]","['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire']",,,,,['France'],[],,[],,?,,80,+11%,3,+99%,10,-12%,"2,9",0%,67.5%,13.2%,8.7%,6.1%,3.6%,1.0%,32,"['FR 01.163.002 CE', 'Foissiat (Ain, France)']",3 g,en quantité modérée,2 g,en quantité modérée,8.5 g,en quantité élevée,0.1 g,en faible quantité,335 kj(80 kcal),+10%,2,+112%,"8,5",-21%,"0,1",-6%,"0,04",-6%,17,+6%,E,+6%,,,,,,
1642,Terrine de Troyes andouillette et Marc champenois - 180g,1234500001406,,,180 g,,,,,,,,['France'],[],,[],,?,,290,,"25,5",,"3,5",,"13,2",,,,,,,,,"['FR 10.047.001 CE', 'Blignicourt (Aube, France)']",,,,,,,,,1213 kj(290 kcal),,"9,5",,"0,6",,"1,6",,"0,64",,,,,,,,,,,
1643,Real gourmet stock,9322715008883,,,,,,,,,,,['France'],"['salt', 'dehydrated vegetables 15,5% ', 'carrot', 'parsnip', 'potate store in a cool dry place', 'best before: see bottom of tin', 'free call australia: 1800 834 382 ', '1800 vegeta', ""info@podravka,com,au packed in australia for: podravka int'l pty ltd 88 carnarvon st"", 'silverwater nsw 2128 made in croatia by podravka d,d', 'from local and imported ingredients', 'serving size: 1/2 teaspoon ', '1,5 g', ' makes 250 ml stock 3poddravha average quantities per serving per 100 ml nutrition information servings per package: 166 co es of prepared stock energy protein', 'tota - gluten fat', 'total saturated carbohydrate', 'total 4,6 kj 9,3 kj 0,1 g *nd 0,006 g 0,003 g 0,4g 0,3 g 0,07 g 341 mg 0,05 g *nd 0,002 g 0,001 g 0,2 g 0,1 g 0,03 g 137 mg sugars dietary fibre sodium *not detectable with routine testing']",,[],,?,,1.09,,"0,002",,"0,2",,"0,05",,,,,,,,,,,,,,,,,,5 kj(1 kcal),,"0,001",,"0,1",,"0,137",,"0,055",,,,,,,,,,,
1644,Pomme clementine canelle,30178595,,,,,,,['Sans sucre ajouté'],,,,['France'],[],,[],,?,,49,,"0,1",,"10,9",,"0,4",,,,,,,,,,,,,,,,,,205 kj(49 kcal),,"0,01",,10,,"0,01",,"0,004",,,,,,,,,,,
1645,1/2 céleri rave - les ateliers fraîcheur MARAIS,3197009901999,,,,,['les ateliers fraîcheur MARAIS'],,,['les sorinieres 44840'],groupe marais BP 12 44840 les sorinieres,['super u'],['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,"['44198E', 'EMB 44198F', 'Sorinières (Loire-Atlantique, France)']",,,,,,,,,,,,,,,,,,,,,,,,['France'],,,,
