,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,brand,traceability_code,additives,allergens,nova_score,markets,brand_owner,ingredients_origins,manufacturing,link,generic_name
427,Salade thaï au poulet roti,3342280893079,,,['France'],[],[],,,,,,,,,?,,127,,531 kj(127 kcal),,"5,4",,"0,5",,13,,"1,6",,"5,5",,"0,88",,"0,352",,,,,,,,,,,,,,,,,,,,,,,,,,
428,Demi lapin,0211704036084,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Pièces sushis,3760282080196,,,['France'],[],[],,,,,,,,,?,,173,,724 kj(173 kcal),,"4,6",,"0,9",,"24,4",,"3,7",,"7,8",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
430,Terrine de l'estran,3770003617846,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Lardon demi sel cru fumé,0290036021654,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,Reactine Antiallergikum,07387580,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Schachtel'],,,,,,,,,,,
433,Hummus tahini,0617241003778,,,['France'],[],[],,,,,,,,,?,,98,,410 kj(98 kcal),,17,,"2,2",,0,,0,,6,,"0,54",,"0,216",,,,,,,,,,,,,,,,,,,,,,,,,,
434,Kol Tov  marbré de dinde - 140g,3324321279059,,,['France'],[],[],,,,,,,,,?,,107,,448 kj(107 kcal),,3,,1,,3,,"0,5",,17,,"2,3",,"0,92",,,,,,,,,,,,,,140 g,,,,,,,,,,,,
435,Contramutan N,06800629,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Schachtel'],,,,,,,,,,,
436,Esberitox Compact,10014374,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Schachtel'],,,,,,,,,,,
437,Vitamin C -,4061458007825,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Schachtel'],,,,,,,,,,,
438,Dekristolvit D3,10818546,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Schachtel'],,,,,,,,,,,
439,ACC akut 600mg Hustenlöser,03294723,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Meditonsin Tropfen,10192710,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,octenisept,4032651737116,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Flasche'],,,,,,,,,,,
442,Haddok,0240609055036,,,['France'],[],[],,,,,,,,,?,,101,,423 kj(101 kcal),,"0,7",,"0,1",,0,,0,,24,,"4,6",,"1,84",,,,,,,,,,,,,"['Fabriqué en France', 'Sans conservateurs']",,,,,,,,,,,,,
443,Oeufs de truite bio - Dom Petroff,3019897984628,,"['en:Trout eggs', 'Oeufs de truite']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,['Dom Petroff'],,,,,,,,,,
444,nitrox - biotechusa - 340,5999076224418,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,340,,['Biotechusa'],,,,,,,,,,
445,Bepanthen Antiseptische Wundcreme - 20g,01987824,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,20 g,,,,,,,,,,,,
446,Bepanthen Wund- und Heilsalbe - Bayer - 20g,01580241,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,20 g,,['Bayer'],,,,,,,,,,
447,Thermacare Wärmeumschläge,00707366,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Schachtel'],,,,,,,,,,,
448,Fanta Strawberry 1.5LTR -,5449000062536,,,['France'],[],[],,,,,,,,,?,,51,,213 kj(51 kcal),,0,,0,,"12,4",,"12,3",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
449,ThermaCare Wärmeauflagen,10079273,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Tomates séchées,2600102024072,,,['France'],[],[],,,,,,,,,?,,114,,477 kj(114 kcal),,0,,0,,25,,21,,0,,"4,06",,"1,624",,,,,,,,,,,,,,,,,,,,,,,,,,
451,Mehl 5 Kg,4000462810083,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,Saucisse blanche au munster - Iller,3481910516541,,,['France'],[],[],,,,,,,,,?,,310,,1297 kj(310 kcal),,28,,11,,"0,5",,"0,5",,14,,2,,"0,8",,,,,,,,,,,,,,,,['Iller'],,,,,,,,,,
453,Sobrasada de mallorca,8423395000042,,,['France'],[],[],,,,,,,,,?,,597,,2498 kj(597 kcal),,61,,22,,0,,0,,"10,2",,"2,5",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
454,Dolce Gusto Chococino - 256g,7613035690677,,['Dosettes Dolce Gusto'],"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,256 g,['Carton'],['Dolce Gusto'],,,,,,,,,,
455,Amendes décortiquées,2600112025984,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Amandes', 'Amandes décortiquées']",['France'],[],[],49.9 g,en quantité élevée,3.8 g,en quantité modérée,4.2 g,en faible quantité,,,?,,645,+3%,2699 kj(645 kcal),+3%,"49,9",-3%,"3,8",-5%,"21,5",+64%,"4,2",+7%,"21,1",-6%,,,,,,,,,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,,,,,,,,,,
456,Roti epaule de porc,0258260058648,E,"['Viandes', 'Porc', 'Rôtis de porc']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,,
457,Pomme Belle de Boskoop,3000050046192,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,Sel rose de l'himalaya,5060265323844,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,Poulet cuit fumée,2209625006444,,,['France'],[],[],,,,,,,,,?,,712,,2979 kj(712 kcal),,"9,6",,"2,8",,1,,"0,9",,20,,"1,3",,"0,52",,,,,,,,,,,,,,,"['Film en plastique', 'Barquette en plastique']",,,,,,,,,,,
460,Whey protein balls - 500g,000095442,,,['France'],[],[],,,,,,,,,?,,464,,1941 kj(464 kcal),,"18,3",,"11,5",,"53,2",,40,,20,,"0,19",,"0,076",,,,,,,,,,,,,,500 g,,,,,,,,,,,,
461,Wrap poulet tex mex - Starbucks,3700365098915,,"['Sandwichs', 'Wraps']",['France'],[],[],7.9 g,en quantité modérée,1.1 g,en faible quantité,1.9 g,en faible quantité,1.2 g,en quantité modérée,?,,219,-6%,916 kj(219 kcal),-4%,"7,9",-13%,"1,1",-51%,"27,9",+8%,"1,9",-22%,"7,6",-13%,"1,2",+4%,"0,48",+4%,4,-0%,C,-0%,,,,,,,,,,,['Starbucks'],"['EMB 91286H', 'Grigny (Essonne, France)']",,,,,,,,,
462,L'Autochtone,3186128059681,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'Déconseillé aux femmes enceintes']",,['Bottle'],,,,,,,,,,,
463,Spirulina,395272,E,"['Compléments alimentaires', 'Spiruline']","['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,['Dose'],,,,,,,,,,,
464,Donut caramel,0270874025915,B,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",['France'],[],[],17 g,en quantité modérée,11 g,en quantité élevée,22 g,en quantité élevée,0.8 g,en quantité modérée,?,,371,-9%,1552 kj(371 kcal),-9%,17,-25%,11,+4%,50,+12%,22,+31%,"4,6",-22%,"0,8",-16%,"0,32",-16%,21,+8%,E,+8%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,,,,,,,
465,Chewing-gum,80783350,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Dessert gourmand pistache - Lehmann,3700613101039,,,['France'],[],[],,,,,,,,,?,,168,,703 kj(168 kcal),,"9,6",,"6,3",,17,,15,,"3,3",,"0,1",,"0,04",,,,,,,,,,,,,,,,['Lehmann'],,,,,,,,,,
467,Harina de trigo ecológica,8435209200081,,,['France'],[],[],,,,,,,,,?,,341,,1427 kj(341 kcal),,"1,4",,"0,3",,"69,8",,"1,8",,11,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,
468,Eclair au chocolat,0204858012530,,"['Biscuits et gâteaux', 'Pâtisseries', 'Éclairs', 'Éclairs au chocolat']",['France'],[],[],6.8 g,en quantité modérée,2.6 g,en quantité modérée,30 g,en quantité élevée,0.37 g,en quantité modérée,?,,236,-8%,987 kj(236 kcal),-8%,"6,8",-45%,"2,6",-55%,41,+30%,30,+49%,"2,7",-38%,"0,37",-3%,"0,148",-3%,11,-15%,D,-15%,,,,,,,,,,,,,,,,,,,,,
469,Llave Con Plastico Fo-6p(alpaca),,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,Tartelette Fraises,0201634014108,,,['France'],[],[],,,,,,,,,?,,391,,1636 kj(391 kcal),,18,,12,,49,,22,,"5,8",,"0,24",,"0,096",,,,,,,,,,,,,,,,,,,,,,,,,,
471,La sauce tomates cuisinée - Raynal et Roquelaure,09374867,,,['France'],[],[],,,,,,,,,?,,54,,226 kj(54 kcal),,"0,2",,"0,05",,"10,5",,"6,5",,2,,1,,"0,4",,,,,,,,,,,,,,,['Boîte en métal'],['Raynal et Roquelaure'],,,,,,,,,,
472,Moutoncadet,3262151001184,,,['France'],[],[],,,,,,,,,?,,5,,21 kj(5 kcal),,99,,65,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
473,Pain au chocolat le choix du goût,2011000023058,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
474,Lalllll,9780201379648,,['Non alimentaire'],['France'],[],[],0.45 g,en faible quantité,0.45 g,en faible quantité,0.58 g,en faible quantité,0 g,en faible quantité,?,,28,-87%,117 kj(28 kcal),-87%,"0,45",-96%,"0,45",-87%,"4,11",-82%,"0,58",-94%,"1,45",-79%,0,-100%,0,-100%,,,,,,,,,,,,,,,,,,,,,,,,,
475,RAINBOW - 75g,0795169000168,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,75 g,,,,,,,,,,,,
476,Sprotten in öl,4260428462323,,,['France'],[],[],,,,,,,,,?,,147,,615 kj(147 kcal),,14,,"4,1",,0,,0,,12,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,
477,Vinaigre de Reims aromatisé a la Truffe,3077319685959,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,Beignet chocolat noisette,0202783022969,,,['France'],[],[],,,,,,,,,?,,428,,1791 kj(428 kcal),,24,,"8,5",,45,,19,,"6,8",,"0,72",,"0,288",,,,,,,,,,,,,"['Sans arômes artificiels', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,
479,Maki,3760022330680,,,['France'],[],[],,,,,,,,,?,,166,,695 kj(166 kcal),,"3,6",,"0,4",,29,,"6,5",,"4,5",,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,,,,,
480,Saucisse,0247883046576,,,['France'],[],[],,,,,,,,,?,,344,,1439 kj(344 kcal),,25,,"9,1",,"0,8",,"0,05",,29,,3,,"1,2",,,,,,,,,,,,,,,,,"['FR 43.268.017 CE', 'Yssingeaux (Haute-Loire, France)']",,,,,,,,,
481,Vin cotes rocheuses,3192040229262,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,Lait de croissance 3ème âge,66943039480533,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,Lait d amande chocolat - Bjorg,13795788,,,['France'],[],[],,,,,,,,,?,,250,,1046 kj(250 kcal),,"2,1",,"0,5",,"9,1",,7,,"0,7",,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,['Bjorg'],,,,,,,,,,
484,Tortils aux cèpes,83553653,,,['France'],[],[],,,,,,,,,?,,347,,1452 kj(347 kcal),,"1,4",,"0,3",,"68,3",,"4,5",,"11,4",,"0,1",,"0,04",,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,
485,Gouda 1000 jours,2218864036082,,,['France'],[],[],,,,,,,,,?,,471,,1971 kj(471 kcal),,39,,27,,0,,0,,30,,"2,34",,"0,936",,,,,,,,,,,,,,,,,,,,,,,,,,
486,Salsa medium - Casino,3222477404489,,,['France'],[],[],,,,,,,,,?,,130,,544 kj(130 kcal),,0,,0,,6,,4,,"1,2",,"1,7",,"0,68",,,,,,,,,,,,,,,,['Casino'],,,,,['Casino'],,,,,
487,Rioja,8410113550156,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,miel d acacia france,3375801667026,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",['France'],[],[],,,,,,,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
489,Jambon espagnol - Argal,8410764032100,,,['France'],[],[],,,,,,,,,?,,192,,803 kj(192 kcal),,8,,"3,2",,"0,1",,"0,1",,30,,6,,"2,4",,,,,,,,,,,,,,,,['Argal'],,,,,,,,,,
490,Rissolées aux pruneaux - 300g,3513433001621,,,['France'],[],[],,,,,,,,,?,,402,,1682 kj(402 kcal),,"12,3",,"7,4",,"68,3",,37,,"5,6",,"1,4",,"0,56",,,,,,,,,,,,,,300 g,,,,,,,,,,,,
491,Le pur jus artisanal de poire,15898364,,,['France'],[],[],,,,,,,,,?,,54,,226 kj(54 kcal),,"0,5",,"0,1",,"13,5",,"9,1",,"0,5",,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,
492,"Origan, 15 Grammes, Marque Amora",3250541003146,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,Miel de haute montagne,3770000522396,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Produits de montagne', 'Miels de montagne']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
494,Mini doony's chocolat X8,0202497020992,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,Bio Gelbwurst - 0.09000000357627869g,4047334009701,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Sans gluten']",0.09000000357627869 g,['stück'],,,,,,,,,,,
496,Veg&Crock chips croustillante - Noberasco - 15g,8005120219419,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Sans conservateurs'],15 g,,['Noberasco'],,,,,,,,,,
497,Mung-Dal,4032582006381,,,"['France', 'Suisse']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Kunststoff'],,,,,,,,,,,
498,Saucisson du marin,0276182058256,,,['France'],[],[],,,,,,,,,?,,342,,1431 kj(342 kcal),,23,,"9,9",,"0,7",,"0,3",,33,,"5,3",,"2,12",,,,,,,,,,,,,,,,,,,,,,,,,,
499,Pizza royale,0205976045264,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,Fraisier - 780g,0202270101351,,,['France'],[],[],,,,,,,,,?,,197,,824 kj(197 kcal),,"8,4",,"5,3",,27,,21,,"2,7",,,,,,,,,,,,,,,,,,780 g,,,"['EMB 25563A', 'Thurey-le-Mont (Doubs, France)']",,,,,,,,,
501,Baies de goji sechees,2609844060027,,,['France'],[],[],,,,,,,,,?,,317,,1326 kj(317 kcal),,"2,7",,"0,3",,"53,9",,"53,1",,13,,"0,76",,"0,304",,,,,,,,,,,,,,,,,,,,,,,,,,
502,Croissant Amande,3248288137033,,,['France'],[],[],,,,,,,,,?,,306,,1280 kj(306 kcal),,10,,"5,4",,47,,13,,"8,2",,"0,86",,"0,344",,,,,,,,,,,,,,,,,,,,,,,,,,
503,Pavé de boeuf - Lion - 260g,26017693,,,['France'],[],[],,,,,,,,,?,,136,,569 kj(136 kcal),,"6,1",,"1,4",,"1,2",,"0,6",,19,,"1,3",,"0,52",,,,,,,,,,,,,,260 g,,"['Lion', 'Plus', 'Aldi']",,,,,,,,,,
504,Linsen schwarz,7611631124176,,,"['France', 'Suisse']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,Biopur active perte de poids - Léa Nature,3456300007299,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique']",,,['Léa Nature'],,,,,,,,,,
506,Vitali,3389380240044,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
507,Banane Bio,2809596010237,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,
508,Sablé pur beurre nappés de chocolat au lait,2080350200051,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Sablés au beurre']",['France'],[],[],22.8 g,en quantité élevée,13.8 g,en quantité élevée,31.6 g,en quantité élevée,0.39 g,en quantité modérée,?,,500,+2%,2092 kj(500 kcal),+2%,"22,8",-0%,"13,8",-4%,"65,7",+3%,"31,6",+24%,"6,9",+7%,"0,39",-42%,"0,156",-42%,24,+4%,E,+4%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,,,,,,,,,
509,Endive de pleine terre du nord - Nos Régions ont du Talent,3564709020099,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes-feuilles', 'Endives']",['France'],[],[],,,,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,?,,,,?,,,,?,,,,,,,,,,68.9%,0.0%,0.0%,11.3%,16.2%,3.6%,96,,,,['Nos Régions ont du Talent'],,,,,,,,,,
510,Saumon fumé,2333585010361,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",['France'],[],[],11 g,en quantité modérée,1.5 g,en quantité modérée,0 g,en faible quantité,3.3 g,en quantité élevée,?,,187,+1%,782 kj(187 kcal),+1%,11,+5%,"1,5",-27%,1,+102%,0,-100%,22,-0%,"3,3",+17%,"1,32",+17%,13,-1%,D,-1%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,,
511,Cannelloni à la viande,3760275811165,,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Cannelloni préparés']",['France'],[],[],3.4 g,en quantité modérée,1.2 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,?,,271,+75%,1134 kj(271 kcal),+78%,"3,4",-34%,"1,2",-43%,46,+184%,"0,1",-97%,14,+124%,"0,1",-87%,"0,04",-87%,-1,-140%,A,-140%,,,,,,,,,,,,,,,,,,,,,
512,Sirop mojito,3424096060002,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,Baguette,0207800007875,,,['France'],[],[],,,,,,,,,?,,277,,1159 kj(277 kcal),,3,,"0,3",,"54,6",,"3,3",,"10,3",,"1,16",,"0,464",,,,,,,,,,,,,,,,,,,,,,,,,,
514,Filets de canard,0217229042838,D,"['Viandes', 'Volailles', 'Canards', 'Filets de canard']",['France'],[],[],12 g,en quantité modérée,4.4 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,?,,180,-9%,753 kj(180 kcal),-9%,12,-5%,"4,4",+19%,0,-100%,0,-100%,17,-12%,1,-7%,"0,4",-7%,5,+12%,C,+12%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,,,,,,,
515,Pink lady,3700476611454,,,['France'],[],[],,,,,,,,,?,,263,,1100 kj(263 kcal),,"0,5",,"0,01",,"13,8",,"12,3",,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,Popped corn triangles sweat & salt,29036370,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,427,,1787 kj(427 kcal),,10,,1,,"76,3",,"4,7",,"6,4",,"1,13",,"0,452",,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,
517,Saucisse sèche supérieure,2602602032342,,,['France'],[],[],,,,,,,,,?,,462,,1933 kj(462 kcal),,"36,6",,15,,"4,3",,"3,32",,"28,8",,"4,7",,"1,88",,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,,,,
518,Creme de cassis,3352682210114,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Gouda mini Twist,8710873078373,,,['France'],[],[],,,,,,,,,?,,554,,2318 kj(554 kcal),,35,,18,,44,,"0,4",,12,,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,,
520,High Protein Granola BITES,8718836395406,,,['France'],[],[],,,,,,,,,?,,363,,1519 kj(363 kcal),,"16,2",,0,,"11,3",,0,,34,,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,,
521,Napoletana - Barilla,14643630,,,['France'],[],[],,,,,,,,,?,,67,,280 kj(67 kcal),,"3,7",,"0,4",,"6,2",,"5,2",,"1,4",,"0,96",,"0,384",,,,,,,,,,,,,['en:gluten-free'],,,['Barilla'],,,,,,,,,,
522,Sweet Protein Lemon cheesecake,4040653300016,,,['France'],[],[],,,,,,,,,?,,158,,661 kj(158 kcal),,"4,6",,"2,6",,"18,7",,"2,9",,"16,1",,"0,35",,"0,14",,,,,,,,,,,,,"['Fabriqué en Allemagne', 'Sans sucre ajouté']",,,,,,,,,,,,,
523,"Touraine AOP, blanc",3510170000153,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,Presskopf canard,2251700016145,,,['France'],[],[],,,,,,,,,?,,61,,255 kj(61 kcal),,"1,7",,"0,56",,"0,2",,0,,"11,3",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
525,Huile d'olive -,00193520,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['France'],[],[],100 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,3700,+5%,900,+5%,3700 kj(900 kcal),+3%,100,+5%,13,-7%,0,,0,,0,,0,-100%,0,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,
526,Sis Whey 20 Strawberry,5025324018086,,,['France'],[],[],,,,,,,,,?,,116,,485 kj(116 kcal),,"0,1",,0,,"2,3",,"1,8",,26,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
527,Lentilles,3267615700238,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,PinaColada Ananas - Casino,3222477310452,,,['France'],[],[],,,,,,,,,?,,34,,142 kj(34 kcal),,0,,0,,"8,4",,"8,4",,0,,0,,0,,,,,,,,,,,,,,,,['Casino'],,,,,['Casino'],,,,,
529,Rome,3760127531098,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
