,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,brand,traceability_code,additives,allergens,nova_score,markets,brand_owner,ingredients_origins,manufacturing,link,generic_name
1617,Jambon Fumé,0281451019685,,,['France'],[],[],,,,,,,,,?,,126,,527 kj(126 kcal),,?,,,,"0,5",,,,21,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,Banane cavendish bio,0222164025525,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Commerce équitable', 'FR-BIO-01', 'Max Havelaar']",,,,,,,,,,,,,
1619,Vin tour du burail 2016,3760127800538,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,['France'],,,
1620,Sbulicola - 280g,3700443001011,,,['France'],[],[],,,,,,,,,?,,334,,1397 kj(334 kcal),,"0,1",,"0,1",,"76,6",,"55,7",,"5,6",,"0,1",,"0,04",,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",280 g,,,,,,,,,,,,
1621,1869,1869,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Packet'],,,,,,,,,,,
1622,Molokheya - 250g,3760197942190,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,,,
1623,Barres de cereales - 126g,18389876,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,126 g,,,,,,,,,,,,
1624,Saumon fumé - 140g,5060374373310,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",['France'],[],[],11 g,en quantité modérée,2.1 g,en quantité modérée,0.5 g,en faible quantité,2.8 g,en quantité élevée,?,,190,+3%,795 kj(190 kcal),+3%,11,+5%,"2,1",+2%,"0,5",+1%,"0,5",+50%,"22,3",+1%,"2,8",-1%,"1,12",-1%,14,+7%,D,+7%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,140 g,,,,,,,,,,,,
1625,Deligom,3401560197945,,,['France'],[],[],,,,,,,,,?,,275,,1151 kj(275 kcal),,0,,0,,"48,7",,"33,1",,"1,1",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,
1626,Fougasse Chorizo,2030000027156,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Plastique'],,,,,,,,,,,
1627,Steak,3273230253134,,,['France'],[],[],,,,,,,,,?,,252,,1054 kj(252 kcal),,20,,"9,2",,3,,"1,5",,15,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,
1628,Spectacular grains,5018357012336,,,['France'],[],[],,,,,,,,,?,,385,,1611 kj(385 kcal),,"6,9",,1,,"65,9",,"13,1",,"10,9",,"0,48",,"0,192",,,,,,,,,,,,,,,,,,,,,,,,,,
1629,Aiguillette de poulet certifié - Maître Coq,0215293038702,D,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",['France'],[],[],2 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,0.15 g,en faible quantité,?,,114,-10%,477 kj(114 kcal),-9%,2,+8%,"0,2",-58%,0,-100%,0,-100%,24,+6%,"0,15",-66%,"0,06",-66%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Nutriscore'],,,['Maître Coq'],"['FR 85.215.001 CE', 'Saint-Fulgent (Vendée, France)']",,,,['Auchan'],,,,,
1630,Pate de Foie,2253134016791,,,['France'],[],[],,,,,,,,,?,,420,,1757 kj(420 kcal),,41,,"16,5",,3,,"1,6",,"9,5",,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,,
1631,Campbell's Tomato Soup 295g,5000175401379,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,"4,4",,"0,6",,"17,2",,"6,6",,"1,4",,"0,47",,"0,188",,,,,,,,,,,,,,,,,,,,,,,,,,
1632,Aiguillettes de Poulet,0212550023815,D,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
1633,Rumsteak cheval,2224000029320,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,"['FR 27.656.001 CE', 'Toutainville (Eure, France)']",,,,,,,,,
1634,Filet de haddock entier fumer,2297019075176,,,['France'],[],[],,,,,,,,,?,,81,,339 kj(81 kcal),,"0,6",,"0,1",,0,,0,,19,,3,,"1,2",,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,
1635,Filet mignon de porc,2209250004334,,,['France'],[],[],,,,,,,,,?,,128,,536 kj(128 kcal),,4,,"1,3",,0,,0,,23,,"0,15",,"0,06",,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,,
