,name,bar_code,eco_score,quantity,packaging,brand,categories,manufacturing,traceability_code,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,labels,origin_detail,ingredients_origins,producer_info,allergens,link,palm_ingredients,brand_owner
1273,Yaourts de chèvre nature bio - Bernard Gaborit - 500g (4x125g),3438860001863,A,500 g (4x125g),"['Frais', 'Carton']",['Bernard Gaborit'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature', 'Yaourts au lait de chèvre', 'Yaourts entiers']",,,,['France'],"['Lait entier de chèvre ', 'bio', 'ferments lactiques']",,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,4.18 g,en quantité modérée,2.93 g,en quantité modérée,2.48 g,en faible quantité,0 g,en faible quantité,286,-19%,69,-22%,286 kj(69 kcal),-24%,"4,18",-1%,"2,93",+2%,"3,89",-52%,"2,48",-66%,"3,83",-5%,0,-100%,0,-100%,0,-100%,B,-100%,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'Bio-Cohérence', 'en:lait-francais-french-milk', 'Agriculture France']",,['France'],,['Lait'],http://www.bernardgaborit.fr,,
1274,Lait Ribot demi-écrémé - Kerguillet - 1L,3442310000016,B,1 L,"['bouteille plastique', 'Frais', 'Plastique']",['Kerguillet'],"['Produits laitiers', 'Laits', 'Laits demi-écrémés']",['France'],"['FR 56.166.504 CE', 'Plouay (Morbihan, France)']",['La Louve'],['France'],"['Lait demi écrémé*', 'ferments lactiques', ' *Biologique']",,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,2.4 g,en faible quantité,0.07 g,en faible quantité,4.4 g,en faible quantité,0.15 g,en faible quantité,284,+46%,68,+45%,284 kj(68 kcal),+46%,"2,4",+53%,"0,07",-93%,7,+46%,"4,4",-8%,"4,5",+38%,"0,15",+36%,"0,06",+36%,-2,,A,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,Lait biologique - Lait Ribot Tradition,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,"['France', 'Union européenne', 'Lait du Morbihan']",,['Lait'],,,
1275,Miel de fleurs - Les Compagnons du miel - 750g,3445731105919,B,750g,,['Les Compagnons du miel'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'en:Miels', 'en:Miels de fleurs', 'en:Petit-déjeuners', ""en:Produits d'élevages"", 'en:Produits de la ruche', 'en:Produits à tartiner', 'en:Produits à tartiner sucrés', 'en:Édulcorants']",,,,['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,82 g,en quantité élevée,0.1 g,en faible quantité,?,,300,-7%,1255 kj(300 kcal),-6%,0,-100%,0,-100%,82,+56%,82,+69%,0,-100%,"0,1",+170%,"0,04",+170%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,
1276,Jambon fume - Aoste - 0.22kg,3449848343004,D,0.22 kg,['Sous atmosphère protectrice'],"['Aoste', 'Grandes Tranches']","['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons crus fumés', 'en:raw-cured-ham']",,"['EMB 38012', 'Aoste (Isère, France)']",,['France'],"['Jambon de porc origine France', 'sel', 'Présence possible de fruits à coques et de lait']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,18 g,en quantité modérée,7.4 g,en quantité élevée,0.99 g,en faible quantité,5.7 g,en quantité élevée,1142,+11%,274,+7%,1142 kj(274 kcal),+7%,18,+11%,"7,4",+16%,1,+18%,"0,99",+83%,27,+3%,"5,7",+23%,"2,28",+23%,20,+10%,E,+10%,81.5%,16.7%,0.3%,0.9%,0.5%,0.1%,13,Jambon sec traditionnel,"['Viande Française', 'Viande Porcine Française', 'Sans conservateurs']",,"['France', 'Jambon de porc origine France', 'Porc origine France']",,['Lait'],,,
1277,Petits bâtons nature 75g - Justin Bridou  - 0.075kg,3449851140850,D,0.075 kg,['Film en plastique'],"['Justin Bridou', 'Bâton de Berger Petit']","['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs', 'Saucissons secs pur porc']",,"['EMB 42129', 'Maclas (Loire, France)', 'EMB 42129B', 'Maclas (Loire, France)']",,['France'],"['Viande de porc ', 'origine: UE', 'sel', 'LACTOSE', 'dextrose', 'épices et plantes aromatiques', 'antioxydant : acide ascorbique', 'conservateur : nitrite de sodium', 'ferments', ' Enveloppe : alginate de sodium', 'cellulose ou collagène', 'cellulose', 'Présence possible de fruits à coque', '180 g de viande utilisés pour la préparation de 100 g de produit fini']","['E300 - Acide ascorbique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E401 - Alginate de sodium', 'E460 - Cellulose']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,42 g,en quantité élevée,16 g,en quantité élevée,3.2 g,en faible quantité,5 g,en quantité élevée,2116,+24%,510,+24%,2116 kj(510 kcal),+23%,42,+29%,16,+25%,"4,1",+76%,"3,2",+109%,29,+6%,5,+8%,2,+8%,26,+7%,E,+7%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,Saucisson sec supérieur pur porc,['Fabriqué en France'],,,,['Lait'],,,
1278,Les chiffonnades - Jambon au sel marin - Aoste - 0.09kg,3449860421384,,0.09 kg,['conditionné sous atmosphère protectrice'],"['Aoste', 'Chiffonades']","['Viandes', 'Charcuteries', 'Jambons', 'en:raw-cured-ham']",['France'],"['FR 38.012.001 CE', 'Aoste (Isère, France)', 'EMB 38012', 'Aoste (Isère, France)']","['supermarché', 'hypermarché']",['France'],"['Jambon de porc origine France', 'sel', '#Présence possible de fruits à coques et de lait']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,18 g,en quantité modérée,7.4 g,en quantité élevée,1 g,en faible quantité,5.7 g,en quantité élevée,1142,+13%,274,+14%,1142 kj(274 kcal),+14%,18,+33%,"7,4",+43%,1,+54%,1,+130%,27,-6%,"5,7",+16%,"2,28",+16%,20,+18%,E,+18%,,,,,,,,Jambon sec traditionnel,"['Viande Française', 'en:gluten-free', 'Viande Porcine Française', 'Sans conservateurs', 'Sans nitrite de sodium']",,,,"['Lait', 'Fruits à coque']",http://www.aoste.fr,,
1279,Bresaola italienne - Aoste - 0.08kg,3449865238789,E,0.08 kg,['conditionné sous atmosphère protectrice'],"['Aoste', 'Spécialités']","['Viandes', 'Charcuteries', 'Bœuf', 'Préparations de viande', 'Préparations de viande bovine', 'Viandes séchées', 'Viande de bœuf séchée', 'Bresaola']",['France'],"['FR 38.012.001 CE', 'Aoste (Isère, France)', 'EMB 38012', 'Aoste (Isère, France)']","['supermarché', 'hypermarché']",['France'],"['Viande de boeuf origine U', 'E', ' ou hors U', 'E', 'sel', 'dextrose', 'arômes naturels', 'conservateurs : nitrite de sodium', 'nitrate de potassium', 'Présence possible de fruits a coques et de lait']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",4,2.6 g,en faible quantité,0.6 g,en faible quantité,0.5 g,en faible quantité,3.6 g,en quantité élevée,678,,160,-1%,678 kj(160 kcal),+0%,"2,6",-18%,"0,6",-54%,"0,5",+14%,"0,5",+51%,34,+4%,"3,6",-8%,"1,44",-8%,12,-2%,D,-2%,81.5%,16.7%,0.3%,0.9%,0.5%,0.1%,13,Spécialité de viande de bœuf séchée bresaola italienne,"['en:gluten-free', 'Sans colorants']",,,,['Lait'],http://www.aoste.fr,,
1280,Rosette grande tranche - Cochonou - 0.1kg,3449865263835,C,0.1 kg,"['Frais', 'sous vide']",['Cochonou'],"['Viandes', 'Charcuteries', 'Saucissons', 'Rosettes']",['Aoste'],"['FR 38.012.001 CE', 'Aoste (Isère, France)']",,['France'],"['Viande de porc origine France', 'sel de mer et minéraux de mer ', 'potassium', 'magnésium', 'calcium', 'LACTOSE', 'épices', 'dextrose', 'sucre', 'conservateurs : acide ascorbique', 'nitrate de potassium', 'ferments', '145 g de viande utilisés pour la préparation de 100g de produit fini', 'Présence possible de fruits à coques', 'protéines de lait et protéines de soja']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,31 g,en quantité élevée,13 g,en quantité élevée,1.5 g,en faible quantité,3.4 g,en quantité élevée,1606,+3%,387,+6%,1606 kj(387 kcal),+5%,31,+8%,13,+14%,2,+3%,"1,5",+3%,25,-2%,"3,4",-25%,"1,36",-25%,24,+2%,E,+2%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,Rosette,"['Viande Française', 'Viande Porcine Française', 'Sans colorants']",,['France'],,['Lait'],,,
1281,Le bâton de berger l'original - Justin Bridou - 0.275kg,3449865268281,,0.275 kg,"['Sous atmosphère protectrice', 'Film en plastique']","['Justin Bridou', 'Baton de Berger']","['Viandes', 'Charcuteries', 'Saucissons']",,,,['France'],"['Viande de porc ', 'origine UE', 'sel', 'LACTOSE', 'dextrose', 'épices et plantes aromatiques', 'sucre', 'conservateur: nitrite de sodium', 'nitrate de potassium ', 'ferments', ' 155 g de viande utilisés pour la préparation de 100 g de produit fini', 'Présence possible de fruits à coques']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,40 g,en quantité élevée,17 g,en quantité élevée,2.2 g,en faible quantité,4.5 g,en quantité élevée,1968,+21%,475,+23%,1968 kj(475 kcal),+21%,40,+30%,17,+43%,"2,7",+25%,"2,2",+65%,26,+3%,"4,5",+7%,"1,8",+7%,25,+7%,E,+7%,,,,,,,,Saucisson sec supérieurpur porc,,,,,['Lait'],,,
1282,Saucisson sec à l'ancienne - Cochonou - 0.225kg,3449865283192,C,0.225 kg,['Film en plastique'],['Cochonou'],"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",,"['EMB 07338A', 'Vernoux-en-Vivarais (Ardèche, France)']",['Magasins U'],['France'],"['Viande de porc origine France', 'sel', 'épices', 'sucre', 'conservateur : nitrate de potassium', 'ferments', ' Boyau naturel de porc', '165g de viande utilisés pour la préparation de 100g de produit fini', 'Présence possible de lait']","['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,32 g,en quantité élevée,12 g,en quantité élevée,0.1 g,en faible quantité,4.2 g,en quantité élevée,1658,-4%,400,-1%,1658 kj(400 kcal),-2%,32,+1%,12,-2%,"0,9",-60%,"0,1",-93%,27,-2%,"4,2",-10%,"1,68",-10%,24,0%,E,0%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,"Saucisson sec pur porc à l'ancienne, qualité supérieure","['Sans colorants', 'Sans conservateurs']",,,,,,,
1283,Chorizo - Saint Agaune - 180g,3450160007697,D,180 g,"['Plastique', 'Carton']",['Saint Agaune'],"['Viandes', 'Charcuteries', 'Saucissons', 'Chorizo']",,"['FR 43.211.010 CE', 'Saint-Maurice-de-Lignon (Haute-Loire, France)']",['Magasins U'],['France'],"['Viande porc', 'piment', 'sel', 'sucres ', 'lactose', 'saccharose', 'épices', 'conservateur ', 'nitrate de potassium', ' ', 'ferments']","['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,13.2 g,en quantité modérée,4.7 g,en quantité modérée,3 g,en faible quantité,4.92 g,en quantité élevée,?,,285,-30%,1192 kj(285 kcal),-30%,"13,2",-61%,"4,7",-64%,"3,5",+20%,3,+68%,38,+66%,"4,925",+31%,"1,97",+31%,17,-29%,D,-29%,76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,,['Sans colorants'],,['Union européenne'],,['Lait'],,,
1284,Double Concentré de Tomates - Eco+ - 140gr,3450970001212,,140 gr,"['Conservegh', 'conserve']","['Eco+', 'Eco +']",,,,,['France'],"['purée de tomates double concentrée ', '99%', 'sel', 'acidifiant : E330']",['E330 - Acide citrique'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,?,,81,,339 kj(81 kcal),,"0,5",,0,,14,,14,,"4,5",,"1,34",,"0,536",,,,,,,,,,,,,,,,,,,,,
1285,Champignons pieds morceaux 1/2 - Eco+ - 390g,3450970006415,A,390 g,"['Conserve', 'Couvercle en métal']",['Eco+'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Champignons et produits dérivés', 'Champignons', 'Champignons en conserve', 'Champignons de Paris en conserve']",,,['Leclerc'],['France'],"['Champignons de Paris', 'eau', 'sel', 'acidifiant: E330', 'antioxydant: E300']","['E330 - Acide citrique', 'E300 - Acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.63 g,en quantité modérée,?,,14,-36%,59 kj(14 kcal),-33%,"0,5",+49%,"0,1",+47%,"0,5",-40%,"0,5",+60%,"2,1",-7%,"0,63",-3%,"0,252",-3%,-6,,A,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,,,,,,,,,
1286,Camembert (21% MG) au lait pasteurisé 250 g - Eco+,3450970024273,B,250 g,"['Frais', 'Boîte', 'Agrafe', 'Métal']","['Eco+', 'Eco +', 'Leclerc']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Frais', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Camemberts', 'Fromages de France', 'Fromages pasteurisés', 'Fromages industriels', 'Camemberts pasteurisés']",,"['FR 86.092.001 CE', 'Dangé-Saint-Romain (Vienne, France)', 'FR 86.092.001 CE', 'Dangé-Saint-Romain (Vienne, France)']",['Leclerc'],['France'],"['lait de vache pasteurisé ', 'origine France', 'sel', 'ferments lactiques', 'coagulant']",,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,24 g,en quantité élevée,16 g,en quantité élevée,1.5 g,en faible quantité,1.5 g,en quantité modérée,?,,290,+6%,1213 kj(290 kcal),+6%,24,+12%,16,+5%,"1,5",+190%,"1,5",+470%,17,-12%,"1,5",+5%,"0,6",+5%,14,0%,D,0%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"Fromage industriel de France, à pâte molle à croûte fleurie, au lait pasteurisé de vache",,,"['France', 'Lait origine France']",,['Lait'],,,
1287,Lait demi-écrémé stérilisé - ECO+ - 1litre,3450970102209,B,1litre,"['Bouteille', 'Plastique']",['ECO+'],"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits demi-écrémés', 'Laits UHT']",,"['FR 35.131.001 CE', 'Hermitage (Ille-et-Vilaine, France)', 'FR 82.121.103 CE', 'Montauban (Tarn-et-Garonne, France)', 'FR 35.360.001 CE', 'Vitré (Ille-et-Vilaine, France)']",,['France'],['lait demi-écrémé stérilisé UHT'],,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",1,1.5 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.11 g,en faible quantité,?,,46,-2%,192 kj(46 kcal),-3%,"1,5",-11%,1,-3%,"4,8",0%,"4,8",+0%,"3,2",-1%,"0,11",-1%,"0,044",-1%,0,-100%,B,-100%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,"['France', 'Lait origine France']",,['Lait'],,,
1288,Tomato Ketchup - Eco+ - 560g,3450970103268,B,560 g,"['Flacon', 'Plastique']",['Eco+'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",,,['E.LECLERC'],['France'],"['Purée de tomates mi-réduites 43%', 'eau', 'sirop de glucose-fructose', ""vinaigre d'alcool"", 'sucre', 'amidon modifié de maïs', 'sel', ""arôme naturel d'épices""]",['E14XX - Amidons modifiés'],"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0.5 g,en faible quantité,0.1 g,en faible quantité,17 g,en quantité élevée,2 g,en quantité élevée,370,-14%,87,-18%,370 kj(87 kcal),-16%,"< 0,5",+105%,"< 0,1",+57%,20,-12%,17,-13%,"1,1",-15%,2,+1%,"0,8",+1%,10,-17%,C,-17%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,Tomato Ketchup,,,,,"['Céleri', 'Lait', 'Moutarde']",,,
1289,Chicorée Café Soluble - Éco+ - 200g,3450970109215,E,200 g,['Plastique'],['Éco+'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons instantanées', 'Boissons au café', 'Chicorée soluble', 'Boissons-a-la-chicoree']",,,['Leclerc'],['France'],"['Chicorée soluble 80%', 'Café soluble 20%', ' CONSERVATION']",,[],1,0 g,en faible quantité,0 g,en faible quantité,6.2 g,en quantité modérée,0.37 g,en quantité modérée,1423,+19%,16,-92%,1423 kj(16 kcal),+50%,0,-100%,0,-100%,72,+76%,"6,2",-58%,"7,7",+38%,"0,37",-12%,"0,148",-12%,,,,,78.8%,9.8%,6.8%,3.1%,1.4%,0.0%,25,Mélange soluble de café (40%) et de chicorée 60%),,,,,,,,
1290,La Crème legère fluide en brique de Normandie - Elle & Vire - 1l,3451790895913,B,1 l,"['Brique', 'Carton', 'Plastique', 'Brique en carton et bouchon plastique']",['Elle & Vire'],"['Produits laitiers', 'Crèmes', 'Crème de lait semi-épaisse', 'Crèmes UHT', 'Crèmes légères', 'Crèmes liquides']","['France', 'Normandie']","['FR 50.139.001 CE', 'Condé-sur-Vire (Manche, France)']","['Magasins U', 'Toutes enseignes GMS']",['France'],"['CREME légère de Normandie', 'amidon modifié', 'stabilisant : pectine', 'émulsifiant : E472e ', 'origine végétale']","['E14XX - Amidons modifiés', 'E440 - Pectines', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Végétarien']",4,12 g,en quantité modérée,8.5 g,en quantité élevée,4 g,en faible quantité,0.11 g,en faible quantité,602,-27%,145,-38%,602 kj(145 kcal),-36%,12,-46%,"8,5",-43%,"6,4",+46%,4,+10%,"2,8",+12%,"0,11",+11%,"0,044",+11%,8,-28%,C,-28%,68.3%,19.8%,4.5%,4.0%,2.6%,0.7%,70,Crème UHT légère,"['en:FSC', 'en:fsc-c014047', 'FSC Mix', 'Point Vert']",Crème légère de Normandie,"['France', 'Normandie']",,['Lait'],,,Savencia
1291,Crème fraîche épaisse de vache bio 30% MG - Yogourmand - 20cl,3454840009179,C,20 cl,['pot plastique'],['Yogourmand'],"['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Crèmes fraîches']","['Yéo frais', '183 av des Etats-Unis 31016 Toulouse']","['FR 31.555.001 CE', 'Toulouse (Haute-Garonne, France)']",['Biocoop'],['France'],"['Crème fraîche pasteurisée', 'ferments lactiques ', 'contient lait']",,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,30 g,en quantité élevée,20.2 g,en quantité élevée,3 g,en faible quantité,0.12 g,en faible quantité,?,,291,-0%,1218 kj(291 kcal),+2%,30,+1%,"20,2",+2%,"3,1",-5%,3,+5%,"2,2",-7%,"0,12",+42%,"0,048",+42%,13,0%,D,0%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,Crème fraiche,['Bio'],,,,['Lait'],,,
1292,Céréales au saumon - Jardin Bio,3456300007923,,,,['Jardin Bio'],"['Plats préparés', 'Plats à base de pâtes']",,,,['France'],"['aux du FR a Préparation culinaire à base de légumes', 'céréales et saumon bio sarrasin* 7%', ""épinards'"", 'petits oignons*', ' 5 huile vierge extra', 'de eo amidon de maïs % carottes* ', 'poireaux"" plantes céleri*', 'basilic* ', 'curcuma ', "" *Produits issus de l'agriculture biologique"", ' Peut des traces de sésame et œufs', ' EN a Organic food preparation madewith vegetables', 'grains and salmon ', ' NGRED/ENTS: water', 'cracked* wheat J 3%', 'zucchini* 8%', 'buckwheat* 7%', 'ooked salmon* 5%', 'cracked soybeans * ', 'extra virgin olive oil*', 'vegetablefroth* ', 'sea nlt', 'corn starch* xtrdct*t sunftower oil*', 'carrots*', 'leeks*', 'spices*', 'herbs*', 'celery*', 'basil*', 'garlic*', 'blâik pepper*', 'turmerjd *Products from organic farming methods', ' Might contain traces of eggsgnd sesame', ' 1 NL Biologische culinaire bereiding op basis van groenten', 'granen enzalm ', ' EDIÉNTEN/ ter', 'gebroken tarwekorrels* 13%', 'courgette* 8%', 'boekweit* 7%', 'spinazie*', 'doperwtentf gekookte zalm* 5%', 'sojagrits*', 'extra vierge olifolie*', 'groentebouillonpoeder* ', 'zeezout', 'maïszet?heej Sext4act ', 'zoumeb/oemo/ie*', 'wortel*', 'prei*', 'specerijen*', 'kruiden*', 'selderij*', 'basilicum*', 'knofiook*', 'peper*', 'kurkùma*', ' *Ingrediënt afkomstig uit de biologische landbouw', ' Kan sporen bevatten van eieren ensesam']",,[],,5.1 g,en quantité modérée,1 g,en faible quantité,0.3 g,en faible quantité,0.65 g,en quantité modérée,?,,134,-26%,561 kj(134 kcal),-25%,"5,1",-19%,1,-59%,"14,8",-29%,"0,3",-88%,"5,9",-20%,"0,65",-28%,"0,26",-28%,-2,-154%,A,-154%,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'Fabriqué en France']",,,,,,,
1293,Aligot - Bistrot 12,3456700250028,B,,['Film en plastique'],['Bistrot 12'],"['Plats préparés', 'Aligots']",,"['FR 12.004.007 CE', 'Almont-les-Junies (Aveyron, France)']",,['France'],"['Purée de pommes de terre Ingrédients réhydratées 6970 [flocons de pommes de terre ', 'émulsifiant : E471', 'antioxydants : E304', 'E300 et E223 ', 'dont sulfites', ""correcteur d'acidité : E330"", 'épice', 'arôme naturel', 'crème UHT ', 'crème', 'stabilisant : carraghénane', 'sel', 'tome fraîche 31% ', 'fromage frais']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E304 - Acide palmityle-6-L-ascorbique', 'E300 - Acide ascorbique', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,11 g,en quantité modérée,7.1 g,en quantité élevée,0.9 g,en faible quantité,0.8 g,en quantité modérée,?,,178,-11%,745 kj(178 kcal),-10%,11,-11%,"7,1",-11%,"10,6",-2%,"0,9",+57%,"7,8",-12%,"0,8",-19%,"0,32",-19%,12,-2%,D,-2%,73.0%,13.9%,4.3%,4.6%,2.4%,1.7%,67,,,,,,['Lait'],,"[""E304 - Palmitate d'ascorbyle""]",
1294,Blanc de Poulet halal - Isla Mondial - 160g,3459860004487,D,160 g,"['Barquette', 'Plastique']",['Isla Mondial'],"['Viandes', 'Charcuteries', 'Volailles', 'Poulets', 'Charcuteries cuites', 'Blancs de volaille en tranches', 'Blancs de poulet en tranches']",['France'],"['FR 56.166.001 CE', 'Plouay (Morbihan, France)']",['Auchan'],['France'],"['Filet de poulet ', '89%', 'eau', 'sel ', 'arômes', 'sirop de glucose', 'conservateurs : lactate de potassium et diacétate de sodium', 'gélifiant : carraghénanes', 'antioxydant : ascorbate de sodium', 'acidifiants : acide citrique', 'caramel pur sucre']","['E326 - Lactate de potassium', 'E262ii - Diacétate de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E330 - Acide citrique']","['Non végétalien', 'Non végétarien']",4,1.4 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,2.1 g,en quantité élevée,?,,95,-11%,397 kj(95 kcal),-11%,"1,4",-32%,"0,5",-17%,"0,8",-26%,0,-100%,"18,8",-9%,"2,1",+14%,"0,84",+14%,5,+12%,C,+12%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,"Blanc de Poulet cuit - qualité choix, traité en salaison","['en:gluten-free', 'Halal', 'Fabriqué en France', 'A Votre Service']",,,,,,,
1295,Lardons fumés qualité supérieure - BIOCOOP - 150g,3462800000319,B,150 g,['Plastique'],['BIOCOOP'],"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Porc', 'Allumettes de porc', 'Lardons de porc', 'Lardons de porc fumés']",['France'],"['FR 35.162.009 CE', 'Louvigné-du-Désert (Ille-et-Vilaine, France)']",['Biocoop'],['France'],"['Poitrine de porc', 'saumure ', 'eau', 'conservateur ', 'sel nitrité', 'sel de Guérande', 'lactose bio', 'sucre', 'poivre', 'oignons', 'clous de girofle', 'antioxydant: ascorbate de sodium', 'fumé au bois de hêtre non traité']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']","['Non végétalien', 'Non végétarien']",4,22 g,en quantité élevée,8.25 g,en quantité élevée,0.46 g,en faible quantité,3.2 g,en quantité élevée,?,,264,-1%,1105 kj(264 kcal),+0%,22,+1%,"8,25",-0%,"0,6",-27%,"0,46",-28%,16,-2%,"3,2",+21%,"1,28",+21%,21,+5%,E,+5%,85.6%,9.1%,2.1%,1.8%,1.1%,0.3%,36,Lardons fumés bio supérieur,"['Bio', 'Bio européen', 'FR-BIO-10', 'Fumé au bois de hêtre', 'AB Agriculture Biologique', 'Origine France']",,['France'],,['Lait'],,,
