,name,bar_code,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,quantity,packaging,labels,ingredients_origins,manufacturing,markets,allergens,nova_score,generic_name,additives,origin_detail,link,palm_ingredients,brand_owner
1034,douby domaine de la noir,3660989230392,,['France'],[],[],?,?,?,?,?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,Oeufs lait assortis,3275179371986,,['France'],[],[],?,549,32,55,7,2297 kj(549 kcal),15,53,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,Béarnaise,3334603004774,,['France'],[],[],?,477,"50,9",4,"0,5",1996 kj(477 kcal),"3,8","1,8","2,075","0,83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,Nouilles instantanées,9571022300023,,['France'],[],[],?,98,"3,5","14,4",21,410 kj(98 kcal),"2,3","0,7","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,Ana’dou,3661273029104,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,Deurscher Balsam weiss,2011111013986,,['France'],[],[],?,24,"0,5",24,24,100 kj(24 kcal),"0,1",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,Colin le poisson,3681000000008,,['France'],[],[],?,572,44,30,"7,6",2393 kj(572 kcal),26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,Vin rouge,3760043609093,,['France'],[],[],?,?,?,?,?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,Pilùna Primitivo,8000160673313,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,Lapin assis noir,3441803341650,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,Las redes,8410149020401,,['France'],[],[],?,176,"11,5",12,"25,7",736 kj(176 kcal),"3,1","0,03","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,Mélange grillade,3547400002359,,['France'],[],[],?,279,8,"13,9","15,2",1167 kj(279 kcal),"0,7","5,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,Nid de Pâques praliné,3276550576310,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,Pic Saint-Loup,3760181730321,,['France'],[],[],?,?,?,?,?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,Petillant de fruit,3701205200017,,['France'],[],[],?,44,0,11,0,184 kj(44 kcal),0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,Sucette de chocolat,3273072448354,,['France'],[],[],?,542,32,57,6,2268 kj(542 kcal),20,56,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,Échalote,3547402000575,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,Carotine intere surgelati,8003495002766,,['France'],[],[],?,32,0,6,"0,7",134 kj(32 kcal),0,"4,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,Miel de nigelle,3425601537606,,['France'],[],[],?,?,?,?,?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,Taze surme peynir,4260193516085,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,Pickles,3770015864061,,['France'],[],[],?,41,"0,2","9,3","0,6",172 kj(41 kcal),0,"8,9","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,Eurogolo,3588400261971,,['France'],[],[],?,385,"3,5",88,"0,5",1611 kj(385 kcal),"0,6","0,5","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,Morceaux choisis de poulet nourri aux grains de blé,0215075031167,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,
1057,Escargots de bourgogne,3422867770631,,['France'],[],[],?,348,33,5,"7,8",1456 kj(348 kcal),"22,7",0,"0,42","0,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,Harcots blancs prepares,3017800076620,,['France'],[],[],?,75,"0,6",10,5,314 kj(75 kcal),"0,1","0,8","0,84","0,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,Moulage de chocolat noir et des billes 3 céréales,3370077582066,,['France'],[],[],?,535,"34,3","48,4","5,5",2238 kj(535 kcal),"21,3","40,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,Sucette licorne,3760042512424,,['France'],[],[],?,566,35,56,"6,2",2368 kj(566 kcal),21,55,"0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,Pickled pepper,8697406270339,,['France'],[],[],?,25,"0,3","5,1","0,4",105 kj(25 kcal),0,"2,3","4,5","1,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,Chocolat,3273073407602,,['France'],[],[],?,542,32,57,6,2268 kj(542 kcal),20,56,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,Serge,3491955552169,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,Confit de cornichon,3592860018297,,['France'],[],[],?,76,"0,1","16,8","0,6",318 kj(76 kcal),0,"13,1","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,Crème au Chocolat,3760324540220,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,Lapin rose,9002859083235,,['France'],[],[],?,542,31,57,"7,1",2268 kj(542 kcal),19,54,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,Crousti bistro express,5099952059803,,['France'],[],[],?,239,"9,6",33,"3,1",1000 kj(239 kcal),"1,4","0,5","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,Oeufs praliné,3266055560068,,['France'],[],[],?,503.6,26,60,"5,4",2107 kj(503 kcal),13,55,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,La Fessée,3760099400606,,['France'],[],[],?,24.5,"2,2","4,6","0,9",103 kj(24 kcal),"0,1","3,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,Pilons de poulet,0213328016404,,['France'],[],[],?,133,6,"1,8",18,556 kj(133 kcal),"1,8",0,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,Saucisse de Toulouse,0237765020275,"['FR 69.170.012 CE', 'Rontalon (Rhône, France)']",['France'],[],[],?,230,"17,7","1,1","16,9",962 kj(230 kcal),7,"0,3","2,19","0,876",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,Paris Brest et tartiflette,0213100020995,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,Miel blanc du kirghizistan,4700003502926,,['France'],[],[],?,322,0,80,"0,5",1347 kj(322 kcal),0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,Filet poulet fermier bio,2860294041725,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,Foul Moudammas,5283003200461,,['France'],[],[],?,118,"0,4","17,6","7,6",494 kj(118 kcal),0,2,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,Chocolat amber,3770018576015,,['France'],[],[],?,594,42,45,"8,8",2485 kj(594 kcal),"25,7",45,"0,191","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,Praline du confiseur,7616500667594,,['France'],[],[],?,545,34,52,"6,3",2280 kj(545 kcal),18,50,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,Les oeufs du jardin,3340390003609,,['France'],[],[],?,473,"18,26","72,2","4,08",1979 kj(473 kcal),"10,56","67,1",4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,Veau marengo,3582340010699,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,Colomba Profumi du Sicilia,0872447001779,,['France'],[],[],?,360,14,51,6,1506 kj(360 kcal),"8,5",24,"0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,Grnadine,3470190441100,,['France'],[],[],?,33,0,8,0,138 kj(33 kcal),0,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,Friture chocolat noir,3474341100250,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,Irish peas,5011001296816,,['France'],[],[],?,105,"0,5",18,"5,6",439 kj(105 kcal),"0,1","2,53","0,71","0,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,Choco-Rose,4006814034879,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,Galette 3 choco,0206198016407,,['France'],[],[],?,317,"8,6",46,12,1326 kj(317 kcal),4,12,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086,Pécharmant 2008,3760025600087,,['France'],[],[],?,?,?,?,?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,Oeuf Decor Noir T2,04029,,['France'],[],[],?,?,?,?,?,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,Tendres poulet,5902082435112,,['France'],[],[],?,?,?,?,?,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,Panettone King Artisanal De Sicile,8030525003271,,['France'],[],[],?,401,19,49,"7,5",1678 kj(401 kcal),12,3,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,sorbet mangue alfonso,3760318100560,,['France'],[],[],?,134,"0,1",33,0,561 kj(134 kcal),"0,1",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,Donut’s,0201751026176,,['France'],[],[],?,466,27,48,6,1950 kj(466 kcal),14,19,"0,66","0,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,Orange pet,5000112516593,,['France'],[],[],?,48,0,"11,8",0,201 kj(48 kcal),0,"11,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,Vin terrasses du Larzac,3770012860035,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,Eiszeit Quell Feinperlend,4011470708989,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,Fondue,7610617400112,,['France'],[],[],?,237,16,3,15,992 kj(237 kcal),10,"0,5","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,Barres Gourmandes,3275179523033,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,Avocado,3700353611416,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,"Crisp´n Light, Rye / Roggen",7300400114486,,['France'],[],[],?,364,"2,5","68,3",11,1523 kj(364 kcal),"0,3",6,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,Vegemite,93560597,,['France'],[],[],?,742,"1,7","11,6","24,5",3105 kj(742 kcal),1,"4,1","3,3","1,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,3700798006945,3700798006945,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,Slim pancakes,3662072070144,,['France'],[],[],?,360,"6,7","43,1","25,8",1506 kj(360 kcal),"2,1","11,6","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,Friture blanche,0208961029522,,['France'],[],[],?,574,37,54,"6,3",2402 kj(574 kcal),23,54,"0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,Ultima croquette chien junior,3700260245131,,['France'],[],[],?,?,?,?,?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,Mr.Basil,5060401474584,,['France'],[],[],?,18,0,"4,7",0,75 kj(18 kcal),0,"4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,Oeufs pate de fruit,3760052695582,,['France'],[],[],?,301,0,75,"0,1",1259 kj(301 kcal),0,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,Diamant au chocolat,3760285801316,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,Gelato Artigianale Fragola,8057432865297,,['France'],[],[],?,127,0,32,0,531 kj(127 kcal),0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,Gelato Artigianale Pistacchio,8057432865365,,['France'],[],[],?,195,9,27,4,816 kj(195 kcal),3,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,Citron vert -,0208042017516,,['France'],[],[],?,?,?,?,?,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Agrumes', 'Citrons verts']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Vrac'],,,,,,,,,,,,
1110,Lotus leaf bum (gua bao),8888003170508,,['France'],[],[],?,182,"1,7",37,"4,8",761 kj(182 kcal),"0,6","4,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,Fromage blanc nature - Pâturage,3250300010590,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pâturage'],,,,,,,,,,,,,,
1112,Bananes - Bananes de Guadeloupe & Martinique,0208043015559,,['France'],[],[],?,?,?,?,?,,,,,,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,,,,,,,,,,,,,,,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,['Bananes de Guadeloupe & Martinique'],,['Vrac'],,['en:France (Guadeloupe & Martinique)'],,,,,,,,,,
1113,Fraise,3760294530146,,['France'],[],[],?,191.9,"0,6",55,"0,6",803 kj(191 kcal),"0,6",50,"0,125","0,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,Lebanese egg bowl - Seazon,3701456304175,,['France'],[],[],?,77,"7,3",4,5,322 kj(77 kcal),2,2,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Seazon'],,,,,,,,,,,,,,
1115,Seve de bouleau bio,3770000265965,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,Clémentine feuille - BRIO,0208083019944,,['France'],[],[],?,?,?,?,?,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Agrumes', 'Mandarines', 'Clémentines']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['BRIO'],,['Vrac'],,['Espagne'],,,,,,,,,,
1117,Loukoumi,5203937017911,,['France'],[],[],?,360,0,90,0,1506 kj(360 kcal),0,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,07804713,07804713,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,Gariguette - Gariguette Socaves - 250g,3507031250024,,['France'],[],[],?,?,?,?,?,,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits rouges', 'Fraises']",,,,,,,,,,,,,,,,,,,,,,,94.3%,0.0%,0.0%,3.0%,2.5%,0.1%,60,['Gariguette Socaves'],250 g,"['Plastique', 'Barquette', 'Film en plastique']",,['France'],,,,,,,,,,
1120,Un ai de gaufres,3770020425004,,['France'],[],[],?,343.9,"19,6",33,"5,3",1439 kj(343 kcal),"10,3","0,4","1,18","0,472",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Film en plastique'],,,,,,,,,,,,
1121,3474340026056,3474340026056,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,Giga lamp,6931722304678,,['France'],[],[],?,247,0,61,0,1033 kj(247 kcal),0,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,Queues de crevettes décortiquées,2278360042833,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,Baguette aux céréales - Leclerc - 250g,,,['France'],[],[],?,?,?,?,?,,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Baguettes']",,,,,,,,,,,,,,,,,,,,,,,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,['Leclerc'],250 g,"['Papier', 'plastique']",,['France'],,,,,,,,,,
1125,12 Maxi Crayons De Cire,8000825291203,,['France'],[],[],?,0,?,?,?,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,Mil tortilla,3760042990185,,['France'],[],[],?,481,"22,2","59,6","7,8",2013 kj(481 kcal),"2,1","0,6","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,Cremeux vanille poire chocolat,3760286220680,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,Cantina Di Santadi Grotta Rossa Doc 2008,8015647750128,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,Domaine du bois des Dames,3142920004601,,['France'],[],[],?,?,?,?,?,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,Popcorn president,3760018850079,,['France'],[],[],?,104,44,44,"3,9",435 kj(104 kcal),"0,5","22,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,Miel d'accacia,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,Essuie-tout compact écologique - Marque Repère - UniVert - 2,3564700465356,,['France'],[],[],?,?,?,?,?,,,,,,,['Essuie-tout'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Marque Repère - UniVert'],2,['Film en plastique'],['EU Ecolabel'],['France'],,,,,,,,,,
1133,Caramel tendre au beurre salé et a la fleur de sel de Guérande,3555080057071,,['France'],[],[],?,398,"8,5",78,"2,5",1665 kj(398 kcal),6,64,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,Les ANI'BIO - Abtey,3120470070130,,['France'],[],[],?,545,32,57,"6,1",2280 kj(545 kcal),20,56,"0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Abtey'],,['Clip en plastique'],"['Bio', 'Bio européen']",,,,,,,,,,,
1135,Perlege gâteau,5413777491806,,['France'],[],[],?,548,32,58,"5,3",2293 kj(548 kcal),26,"0,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,chocolat blanc bio pur beurre de cacao,3760059939795,,['France'],[],[],?,590,40,52,"5,6",2469 kj(590 kcal),24,52,"0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,Miel d’acacia,3162900466649,,['France'],[],[],?,?,?,?,?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,Pommes fuji,3000029046451,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139,Chili con carne et rie,3256228438300,,['France'],[],[],?,138,"5,9",14,"6,7",577 kj(138 kcal),"1,7","1,6","0,71","0,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A', 'Nutriscore B']",,,,,,,,,,,
1140,Kefir mangue,5060337221542,,['France'],[],[],?,65,"2,3","7,5","3,5",272 kj(65 kcal),"1,5","5,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,2 demi baguettes,3495566934925,,['France'],[],[],?,252,"1,6","50,5","8,5",1054 kj(252 kcal),"0,47","2,7","1,02","0,408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,Chausson morceaux x4,0209315019619,,['France'],[],[],?,347,21,34,"4,6",1452 kj(347 kcal),13,8,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,Oeuf en chocolat Blanc,3441803343210,,['France'],[],[],?,574,38,52,"6,2",2402 kj(574 kcal),23,51,"0,31","0,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,Foie gras de canard entier du Sud Ouest mi cuit au poivre 300 g,3443705018678,,['France'],[],[],?,548,57,"2,5","7,1",2293 kj(548 kcal),24,"1,9","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,Rocca Dei Forti Spumante Dolce ML. 750,80258933,,['France'],[],[],?,0,?,?,?,0 kj(0 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,Siggi’s,3023290038147,,['France'],[],[],?,89,"1,9","9,1","8,9",372 kj(89 kcal),"1,4","8,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,Preparation pour risotto cremeux au poulet et champignons - Maggi,30182141,,['France'],[],[],?,174,"9,1","16,9","3,8",728 kj(174 kcal),"0,9","9,8","6,5","2,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Maggi'],,,,,,,,,,,,,,
1148,Pâté de poulet,3870114001708,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,Peanuts,4056546181051,,['France'],[],[],?,608,"49,7","11,9",23,2544 kj(608 kcal),"9,2","5,5","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,4 Saucisses de Toulouse superieures,0210649036340,"['FR 26.347.022 CE', ""Tain-l'Hermitage (Drôme, France)""]",['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore D']",,,,,,,,,,,
1151,Fourne d ambert,0206400019158,,['France'],[],[],?,363,29,"4,1",19,1519 kj(363 kcal),18,"4,1","2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,Rohan confiserie,3273073007635,,['France'],[],[],?,542,32,57,6,2268 kj(542 kcal),20,56,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
